,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,More like 'Fifty Shades Greyer',2,17 July 2017,"Hopefully, as a heterosexual female student in her twenties with a love of film that spreads across all genres and decades, this will come over as a fair assessment of a film that genuinely did nothing for me.Like as was said in my review for 'Fifty Shades of Grey', have not read the books, though have heard conflicting opinions that has mostly been intense dislike. The reason for watching 'Fifty Shades Darker' was not due to wanting to hate on it, being a negative person, curiosity but for the reason of being at a film night with friends (who liked the books) recently and 'Fifty Shades Darker', like with 'Fifty Shades of Grey', happened to be the film choice. Just for the record, the general consensus ranged from indifference to hating it with a passion.'Fifty Shades Darker' is a small improvement over its predecessor but not by much. The flaws are still the same but it's not as quite as near-irredeemably bad, and it at least tries to give some raunchy edge while not exactly succeeding.Once again, the beguiling soundtrack, that has a soothing nostalgia and appropriately amorous quality, is the best thing about it. It also looks good, nice use of scenery and very nicely shot. There is one acting bright spot, which is Marcia Gay Harden who does very well with her role.However, the same flaws are all here. Like 'Fifty Shades of Grey', Danny Elfman's score is one-note and repetitive, as well as too derivative of his recent work. He has composed some wonderful stuff ('Edward Scissorhands' is magical) but this is really not his best work. Despite the change of director, the directing style feels too mannered and there is a real sense that the director was ill-suited to material that is beneath him, after all he's done stuff like 'House of Cards' and 'Glengarry Glenn Ross'.The rest of the supporting cast fail to stand out, with Kim Basinger having little to do, next to nothing actually. More problematic once more are the two leads, and the chemistry is next to zero once more. Understated can be a lovely quality to acting, as long as it also becomes nuanced and with believability given to the dialogue. Dakota Johnson, especially in the first third, is too understated that it feels more like there is a lack of personality or emotion. Jamie Dornan looks uncomfortable throughout, delivers his cringe-worthy lines awkwardly and is just bland as dishwater with no charisma whatsoever. Chemistry is non-existent.Again, the dialogue does no favours, dialogue so bad that absolutely nobody (even the best actors and actresses) can do anything with it. It causes unintentional laughter throughout, is embarrassingly clunky and is pure smut. Then there is the story that is so thin structurally, heavy in repetition, so badly plodding and without style or atmosphere that the film feels twice as long. Even with attempts to give more raunchiness and kinkiness, as well as edge, none of it comes over naturally, feeling horribly contrived. The rest of it is done far too tamely and the BDSM portrayal is still deceitful. The characters are little more than ciphers.Overall, a small improvement but still pretty dreadful even when giving it a fair chance. 2/10 Bethany Cox",Fifty Shades Darker
1,SnoopyStyle,bland,4,21 August 2017,"Anastasia Steele (Dakota Johnson) has left tycoon Christian Grey (Jamie Dornan) who is still obsessed with her. They decide to reignite their affair. She works for a small publisher under demanding boss Jack Hyde. Christian is looking to buy the company. They are being stalked by Christian's former sub Leila. Anastasia is slowly allowed into his family.I had low expectations before watching this and I'm not eager for it. It's either a low bar to clear or a preconceived notion. There is a bit of both. Johnson is a perfectly appealing actress but she's not allowed to do much. Dornan continues to be a stiff actor. Despite the promise of the edgy sexual matter, their romance is as boring as heck. Leila could have been a compelling thriller villain but she ends up as a secondary plot. The family drama is hinted at but delivers very little. There's a ridiculously undramatic helicopter crash for very little result. I don't hate this but I just find it boring.",Fifty Shades Darker
2,Horst_In_Translation,So little (or too much?) in so much,4,20 October 2017,"""Fifty Shades Darker"" is a new American film from this year that runs for a massive 2 hours and 10 minutes in the uncensored version. It is the sequel of course to ""Fifty Shades of Grey"" and experienced filmmaker James Foley took over here as director and he will also return in making the final(?) third film. The writer is Niall Leonard and it is surprising to see him in charge of such a prestigious movie script, but then again maybe they did not get anybody better to adapt the work by E.L. James as many thought this project was doomed from the very beginning and the bad literary work cannot be turned into a quality film. But I haven't read the book, so who knows. Anyway, Dakota Johnson and Jamie Dornan return of course playing the central characters and so do some of the others like Oscar winner Marcia Gay Harden. But there are also new characters like Kim Basinger's. Yep, another Oscar winner! However, the story is a mess. Let me explain my title now. For huge parts of the film, nothing was happening at all and then they rush in gunpoint scenes, plane crashes, marriage proposals etc. as if there was no tomorrow. Focus and balanced story-telling are completely nonexistent.Overall, the film is not a failure, but equally forgettable as the first. As a heterosexual male, I cannot deny that Johnson is still pretty gorgeous, even if I had some doubts about it in the first half. But sadly, the film is never on par with her looks. It's the same like the first film with the two protagonists trying to establish a relationship that satisfies them both with his desire for domination and her desire for normalcy. And then there are moments when she wants to be dominated and moments when he is normal, so trouble and conflict are simply inevitable. But these scenes are not enough of a foundation to construct a good film on. And the character writing is also disappointing as the ways in which they depict former lovers as evil, potential lovers (the boss) as evil and friends and family as good. Even Mr. Grey has zero shades and the title is a lie. His actions are so predictable for example that he only accepts the men in Ana's life who don't pose a danger from the romantic perspective. Then again, of course she wants nobody other than Grey anyway. The film is a kitschy movie with the only difference to romantic garbage films that it depicts some extremes. But none of it is handled competently and the result is a very bland 130 minutes you don't want to check out. Clearly a thumbs-down from me. Not recommended.",Fifty Shades Darker
3,claudio_carvalho,Spicy Soap Opera Entwined with Erotic Scenes,4,13 April 2017,"Anastasia ""Ana"" Steele (Dakota Johnson) is working as assistant editor in a publishing house. When she goes to a photography exposition of a friend of her, she stumbles upon Christian Grey (Jamie Dornan) that misses her. They dinner together and Christin proposes a new arrangement to Ana and they rekindle their love. But the old woman that seduced Christian a long time ago and a former submissive affair jeopardize their relationship.""Fifty Shades Darker"" is a spicy soap opera entwined with erotic scenes. There is a silly and shallow situation and then a soft sex scene along 1h 58 min running time. My vote is four.Title (Brazil): ""Cinquenta Tons Mais Escuros"" (""Fifty Shades Darker"")",Fifty Shades Darker
4,nogodnomasters,No rules. No Punishment. No Secrets.,7,29 July 2017,"I was not a fan of the first film and admit this was an improvement in character development. Christian (Jamie Dornan) comes crawling back to Anna (Dakota Johnson), this time, ""no rules, no punishment, no secrets."" But don't fret, if the only reason you watched the first film is to see Dakota get handcuffed, slapped around and taken from behind, it still happens. We discover more about Christian in this film as Anna attempts to end his possessiveness and need to control her. Appearing in the film is Bella Heathcote who looks like Anna giving me flashbacks to SWF. Their physical appearance is part of Christian's psyche.The film still suffers as did the first one as neither Dakota Johnson nor Jamie Dornan can act. They were cardboard in their roles. Kim Basinger of ""9 1/2 Weeks"" is suitable for her role as Elena, yet in the film I was bored by her too. I don't know if the characters were this wooden in the book, but they needed to do something for the film.Guide: F-word, sex, nudity",Fifty Shades Darker
5,jboothmillard,Fifty Shades Darker,5,22 February 2017,"The first film, based on the awful racy novel by E.L. James, was released on Valentine's Day and became a massive success, despite it being rather naff, including Razzie wins, the adaptation of the trilogy of books continued with this sequel, from Razzie nominated director James Foley (Glengarry Glen Ross, House of Cards). Basically it has been some time since young corporate executive Christian Grey (The Fall's Razzie nominated Jamie Dornan) and Anastasia ""Ana"" Steele (Razzie nominated Dakota Johnson) broke up, Ana is now working as an assistant to Jack Hyde (Eric Johnson), an editor at Seattle Independent Publishing, who has more than a casual interest in Ana. Ana attends the evening of the art gallery show for her photographer friend Jose Rodriguez (Victor Rasuk), she is shocked Christian is there, she reluctantly agrees to have dinner with him. Christian tells Ana he wants her back, but she is reluctant because his sexual pleasure in inflicting pain and sticking to his contract, he insists he is changing, and will agree to Ana's terms of no rules and no punishments, if they will resume their relationship, she agrees. A few days later, Ana is interrupted by a woman who bears a striking resemblance to her, she later goes to dinner with Jack, Christian sees him flirting with Ana, he warns her of Jack's obvious intentions, and tells her that he plans to take over SIP where Ana works. While out with Christian for breakfast, Ana sees the same woman watching from a distance, Christian does not answer Ana immediately when she asks who she is, at home he reveals it is Leila Williams (Bella Heathcote), one of his former submissives. Christian explains that after Leila's contract ended, she wanted more to their relationship, but he did not, she found herself a husband, but he died, this caused her to have a mental breakdown and become suicidal, she has been stalking Christian and Ana for a while. Christian invites Ana to a masquerade ball with an auction, to prepare for the ball Christian takes Ana to beauty salon Esclava, there Ana sees Elena Lincoln (Razzie winning Kim Basinger), Christian's former dominant who introduced him to the BDSM lifestyle, Ana is furious Christian would take her there, and that he co-owns the salon with Elena. At the ball, Ana learns more about Christian, including being expelled from schools for fighting, and his biological mother being a prostitute and crack addict, Christian reveals his mother committed suicide, Grace Trevelyan Grey (Marcia Gay Harden) cared for him in hospital, and later adopted him. Elena confronts Ana, telling her to break up with Christian and warning her, Ana ignores her and tells her to stop meddling in their relationship, returning home Christian and Ana find her car vandalised. A few days later, when the SIP offices close, Jack tries to seduce Ana, she refuses and escapes, Christian finds out and arranges for Jack to be dismissed, he also asks Ana to move in with him, she agrees, the next day Ana takes the vacant position of temporary acting editor for SIP. Ana and Christian go to her apartment to collect her belongings, there Leila appears and threatens Ana with a gun, she fires a shot into the wall, but Leila is subdued by Christian and his bodyguard Jason Taylor (Max Martini). Ana sees that Christian can still only be satisfied with his controlling and domination, she walks out and does not return until the night, Christian is furious with her, Ana explains she needs time. Christian does not want to lose Ana, he drops to his knees and turns submissive, finally allowing her to touch him in his restricted areas, they kiss and have sex. during the night, after being awoken by Ana from a nightmare, Christian asks Ana to marry him, she says she needs time to think about it. Christian leaves for a few days on a business trip, while piloting his helicopter there is engine failure, causing it to crash somewhere in the forest, the news breaks out that Christian is missing, Ana and Christian's family wait for news, until he unexpectedly arrives, Ana is overwhelmed he is safe, realising the extent of her feelings for Christian, she accepts his marriage proposal. At Christian's birthday party, the engagement is announced to the guests, Elena is there and furious, calling Ana a gold digger, Ana angrily throws a drink in her face and tells her to stop interfering, Christian and ? Grace overhear, Christian tells Elena she only taught him sex, never love, Grace slaps Elena and tells her to get out, Christian cuts all ties with Elena. In the end, as the birthday festivities begin, Christian proposes to Ana at the boathouse, with a ring, she accepts, as fireworks erupt in the sky, Jack is the watching Ana and Christian from afar. Also starring Luke Grimes as Elliot Grey, Eloise Mumford as Kate Kavanagh and singer Rita Ora as Mia Grey. Johnson is only slightly less naive as the besotted and feisty young woman, and Dornan is still a pervy billionaire, only slightly less controlling, they are more believable as a couple this time, and Basinger and Eric Johnson are only relatively alright being the nasty ones. I am relieved to say that I found this film much more bearable than the previous, the change of director helps, the writing is slightly improved, there are more softcore sex scenes that are a little more comfortable than before, and the kinky and edgy bits are a little less embarrassing, it remains glossy and somewhat gigglesome in its approach, but overall it is a slightly better erotic romantic drama. It won the Razzie for Worst Remake, Rip-Off or Sequel, and it was nominated for Worst Picture, Worst Screen Combo for Any Combination of Two Characters, Two Sex Toys or Two Sexual Positions and Worst Screenplay. Worth watching!",Fifty Shades Darker
6,sunwarrior13,The Reunion Between Anastasia And Christian Still Lacks Kinkiness,3,21 February 2017,"As moviegoers say,""Sex sells!!!"" Despite the poor screenplay and lack of chemistry between the leads,Fifty Shades Of Grey earned more than half a billion dollars world-wide.The producers knowing that this is a great money earner have placed their faith on the two sequels they plan to make such as Fifty Shades Darker and Fifty Shades Freed.Now it is 2017 and Fifty Shades Darker starring Dakota Johnson and Jamie Dornan as Anastasia Steele and Christian Grey respectively has been released in the theater together with Eric Johnson, Eloise Mumford, Bella Heathcote, Rita Ora, Luke Grimes, Victor Rasuk, Kim Basinger and Marcia Gay Harden.Director James Foley and screenwriter Niall Leonard provides another movie featuring the reunion of Anastasia,who just finished college degree and started working at Seattle Publishing House, and Christian Grey,who was taught by Anastasia with new values during their reunion. This led to both having sex as often as possible despite the fact that they don't go through BDSM to translate kinkiness on the big screen.Too bad that the sex scenes that they go through does not really produce anything interesting to the viewers.Just like the first film,the viewer would still notice that Dakota Johnson and Jamie Dornan still exhibit lack of chemistry with one another and they remain uncomfortable with their sex scenes they go through despite the fact that there is no BDSM involved.Added to that,the relationship between them would not look anything except like a one-night stand as both Dakota and Jamie lack good performance in their portrayal most especially when both are together having sex in bed. But in spite of the reasons mentioned in the previous paragraph,the movie have currently earned almost $300 million. Expect the film to earn more for as they say,""Sex sells"" all the time.Wanting to watch the lead characters in a lot of kinkiness would definitely lead many viewers into the theaters and buying the movie's DVD upon its release.That is in spite of the lack of realism and not-so-good story in involved in it.",Fifty Shades Darker
7,bevo-13678,Best trilogy since starwars,10,2 April 2020,The book was heaps better. To be honest I didn't see the movie or read the book but I preferred not reading the book.,Fifty Shades Darker
8,Theo Robertson,Masochism Offered To Us By Sadists,3,14 February 2017,"""Hey Theo , what's a young good looking boy like you doing sitting alone watching films on Valentines day ? You should be taking a beautiful woman out on a romantic date "" Well thanks for the concern but I really do think Christopher Hitchens summed up the long term sexual relationship perfectly by the soundbite ""Now this is masochism - but it's being offered to you by sadists"" . The Hitch was of course referring to religion but both religion and the long term sexual relationship have an identical definition . I'm also reminded of how Albert Einstein described idiocy:""Doing the same thing over and over again expecting a different result"" . In the case of the 50 SHADES narrative we're subjected to idiotic masochism If you've seen the first film you'll be entirely puzzled as to the casting because I don't think I've seen an actor and actress so badly cast in a film where the whole concept of the story revolves around sexual attraction . Both Jamie Dornan and Dakota Johnson are two actors best suited for lead roles in a bland daytime soap opera . Let's remind ourselves Christian Grey is a multi billionaire oozing in Byronic sexuality while Ana Steele is , or rather was a naïve young woman embarking on an intensely mind blowing sexual relationship with Grey and the casting really does not work . In fact several sexually charged scenes are unintentionally funny and will cause howls of laughter as the two leads spout their lines before engaging in sex . Add to this as a possible love rival in the form of Jack Hyde as played by Eric Johnson and you've got a hat trick of actors with the sexual charisma of drowned haddock . Casting Kim Basinger in a small role makes things worse because you're reminded of her on screen chemistry with Mickey Rourke in 91/2 WEEKS which while not being a great film did have an erotic quality to it and despite some fairly explicit sex scenes for a mainstream Hollywood movie in 50 SHADES DARKER it's fairly devoid of erotica",Fifty Shades Darker
9,preppy-3,As good as the first one.,7,20 February 2017,"This is a sequel to ""Fifty Shades of Grey"". You have to see the first film which introduces the characters and situations to get the second film. The first film ended with Anastasia Steele (Dakota Johnson) leaving Christian Grey (Jamie Dornan)because he had control issues and was heavily into S&M. This movie picks up months later. She's trying to move on but he still loves her and wants her. She decides to give him a second chance but has to deal with two of his exes--one wants her dead and the other (Kim Basinger) says she can never have him.I liked the first movie and I liked this too. The acting is better than the first. I always though Dornan was lousy in the first but he's better her. Johnson was great. Marcia Gay Harden is great in a supporting role. Even Basinger was good! As for sex and nudity--there are sex scenes and they're tasteful but explicit. And (naturally) Johnson shows more skin than Dornan. Also every single romantic cliché in existence is worked into the movie. I'm not complaining about that but it doesn't always work. My audience laughed at scenes that were supposed to be dramatic. It's also too long (2 hours). Still I enjoyed it. Recommended.",Fifty Shades Darker
