,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Not really a comedy...but well worth seeing.,8,28 June 2020,"Although this IS a Will Ferrell film, do not watch ""Eurovision Song Contest: The Story of Fire Saga"" thinking it will be anything like ""Talladega Nights"" or ""Anchorman"". In fact, I would go so far as to say I wouldn't even consider it a comedy...though it has some comedic portions. Instead, it's a strange tribute to Eurovision from some folks who seem to understand and love it.Now this MIGHT mean that the best audience for this movie are Europeans and folks from a few other countries that also compete in the competition (such as Israel, Turkey and Australia). After all, few Americans (apart from me and a few other strange folks) watch Eurovision or even know what it is or how it's conducted! But, if you don't know about it, you might still enjoy it...who knows?As far as the movie goes, it is the fictional story about Lars and Sigrit (Will Ferrell and Rachel McAdams)...a singing duo who, frankly, don't seem very good. But through an odd set of circumstances, they find themselves the Icelandic entry into Eurovision!! Do they stand a prayer? Probably not...but the film is about them and how they manage to salvage some dignity out of this!What really helps this story is that so many Eurovision winners and famous competitors appear in the film. Additionally, they must have gotten permission to use the name, bumper music and more...making the film look and sound exactly like Eurovision!Overall, a wonderful and enjoyable film for anyone who loves Eurovision...and a mildly enjoyable movie for anyone else.",Eurovision Song Contest - The Story of Fire Saga
1,Prismark10,Eurovision Song Contest: The Story of Fire Saga,6,13 July 2020,"The Eurovision Song Contest. It gave Abba its big break and lots of other winners based on incomprehensible voting patterns. You can be sure Greece will give Cyprus high marks and vice-versa.It was always campy but fun. Nowadays it is campier than an episode of RuPaul's Drag Race with countries that are nowhere near the continent of Europe being eligible to enter.Will Ferrell who is a fan of Eurovision co-wrote this story and it has a lot of elements from other Ferrell filmsAfter watching Abba win the contest as a small boy. Icelandic Lars (Ferrell) has dreamt of representing his country in the Eurovision Song Contest. His dream comes true when a freak explosion kills off the other Icelandic competitors.Together with best friend Sigrit (Rachel McAdams) their group Fire Saga get the chance to represent Iceland. However the group are not that good and are accident prone with their complicated staging. Lar's grumpy father, Erick (Pierce Brosnan) is very vocal with how bad his son's singing is.Fire Saga go off to Scotland where the contest his held. Sigrit is being romantically pursued by a Russian competitor Alexander Lemtov (Dan Stevens.) Bad luck still follows them every time they perform their song on stage.Ferrell just about gets away with his same old schtick. It is McAdams with Sigrit's obsession with magical elves, her love for Lars that gives the movie and the songs heart.The film is sporadically funny, it is too long and inconsistent. Graham Norton pops up to do the commentary.Somewhere up there, Terry Wogan is laughing his socks off that they made a movie about Eurovision.",Eurovision Song Contest - The Story of Fire Saga
2,nogodnomasters,Anger cannot turn the butter,7,21 July 2020,"The first question that comes to mind is ""Why did they shoot a close-up of Will Farrell's mouth with his lower front teeth so crooked?"" Who doesn't get work done? Okay Keira Knightly, but it looks good on her. Lars Erickssong (Farrell) and Sigrit Brickdottier (Rachel McAdams) are ""Fire Saga"" and sing ""Ja Ja Ding Dong"" at the town tavern. Through a series of flukes (caused by elves perhaps) they go on to Eurovision.The film had a few funny parts. Some parts just Farrell stupid like the stuffed pants. It ends on a heartwarming note.Guide: 1 f-word I heard. No sex or nudity.",Eurovision Song Contest - The Story of Fire Saga
3,kosmasp,Bigger than Super Bowl (?),8,5 July 2020,"Not my words, but what Rachel McAdams said on her press tour about Eurovision itself. She would never be so self centered to claim that about the movie or herself. Although since I'm not her, to me she is bigger than super bowl (and Eurovision for that matter).Now my love for her aside (what Ryan Gosling is for those who are into men from the Notebook, Rachel is for those into women ... well most of them anyway I would reckon), the movie is quite funny, while also being able to go dark. An explosion that is quite horrible (with body parts flying around), is being made fun of. This obviously is not for the faint hearted or easily offended or squeamish. If that is not something that is applicable to you and your humor alligns with that of the movie - there is quite some fun you can have. With a mesmerizing Rachel McAdams - in case I hadn't made that point clear already. Will Ferrell is nice too, but she (and even Dan Stevens as ""Russian"") steal the show - no pun intended!",Eurovision Song Contest - The Story of Fire Saga
4,jboothmillard,Eurovision Song Contest: The Story of Fire Saga,7,30 January 2021,"I, like many thousands, if not millions, across the world was upset when the Eurovision Song Contest 2020 was cancelled, due to the COVID-19 pandemic, but thankfully this film was brought out by Netflix, directed by David Dobkin (Wedding Crashers, The Change-Up, The Judge). Basically, in the small town of Húsavík, Iceland, Lars Erickssong (Will Ferrell, also writing and producing) and Sigrit Ericksdóttir (Rachel McAdams) have been best friends since childhood and make music together as the band Fire Saga. Lars has always dreamed of winning the Eurovision Song Contest since seeing ABBA in 1974, but his widowed father, Erick (Pierce Brosnan), has always disapproved of this. The pair apply and are randomly selected to take part in Söngvakeppnin, the Icelandic pre-selection for Eurovision. Sigrit, who believes in the old Icelandic tradition of elves, asks them to help them in the contest and hopes that Lars will finally return her romantic feelings for him. Due to technical difficulties, Fire Saga's performance is a disaster, and the talented Katiana Lindsdóttir (Demi Lovato) wins the pre-selection. Lars is dejected and declines to attend the boat party for all the finalists and sits disappointed on the dock as Sigrit tries to comfort him. The boat suddenly explodes, killing everyone on board. Fire Saga, according to the rules, as the only surviving contestants, are automatically Iceland's entrant to the 2020 Eurovision Song Contest. Lars and Sigrit arrive in Edinburgh, Scotland, where Eurovision is being held. Once there, a new remix of their song and Lars' desire for an elaborate stage design causes them to struggle with preparations. They meet Alexander Lemtov (Dan Stevens), a Russian singer who is the favourite to win the contest with his song ""Lion of Love"". He invites them to a party at his house, attended by many former Eurovision contestants. There, Alexander introduces Lars and Sigrit to the Greek contestant Mita Xenakis (Melissanthi Mahut). Alexander and Sigrit spend the night together, as do Lars and Mita, but neither pair have sex. This creates tensions within Fire Saga, and almost derails their plans for the semi-final. Lars overhears Sigrit working on a new song in their hotel room and wrongly assumes it is a love song for Alexander. Katiana's ghost appears to Lars and warns him that his life is in danger; he ignores her. Fire Saga reconcile before the semi-finals. The performance of their song ""Double Trouble"" initially goes very well, but disaster strikes when Sigrit's scarf is caught in the giant hamster wheel, sending the wheel and Sigrit to fall offstage and into the audience. They recover and finish the song but are met with deafening silence and scattered laughter. The exit the stage thinking they are a laughingstock. Lars is humiliated and refuses to watch the vote results with the other artists, feeling that Fire Saga have no chance. Sigrit pleads with him to stay, saying that they should put on a brave face, although she also believes they have lost. Angry, he says something dismissive about the song he heard her writing. Sigrit angrily tells him that she wrote it about him, Lars is stunned, but nevertheless decides to return to Iceland. Sigrit joining the other artists in the green room, is surprised to see the ranking placing them in the top ten going to the final. Unaware of Fire Saga's advancement in the contest, Lars has returned to Húsavík. On a fishing boat, he talks with his father and confesses his love for Sigrit, and Erick tells him to go back and fight for her love. When they find out that Iceland is in the Eurovision final, they are shocked, and Lars jumps off the boat to swim back to shore. On his way to Reykjavík, Victor Karlosson (Mikael Persbrandt), the governor of the Central Bank of Iceland, and one of the Icelandic organisational team members, attempts to murder Lars. He reveals he blew up the boat at Söngvakeppnin, as Iceland is bankrupt and cannot afford to host Eurovision the following year if Fire Saga were to win. Luckily, Lars is saved by unseen elves who kill Victor. Lars makes it to the grand finale just in time to perform, after hitchhiking with some initially unwilling American tourists, whom he made many negative stereotype comments about. Katiana's ghost appears briefly to warn Lars, but he informs her that Karlosson is dead, and she disappears. Interrupting the beginning of Sigrit's song, he encourages her to ditch their official entry and perform the song she has written for him, ""Húsavík"" (""My Hometown""). Watching at home, their friends and families are all touched, along with the entire auditorium. The beautiful song has lyrics paying homage to their town, features the Icelandic language and a stunning finale. Erick watches the contest proudly with Sigrit's mother, Helka (Elin Petersdottir). After their performance, Alexander is revealed to be gay, he knows that homosexuality is not accepted in Russia, and considers the possibility of moving to Greece with Mita. Fire Saga are disqualified for changing their song during the contest, but both Lars and Sigrit have lost interest in winning the competition, realising that their relationship is more important. On stage, they share their first kiss, finally expressing their feelings they have long had for each other. Fire Saga returns home, where they are greeted with a hero's welcome. Sometime later, Lars and Sigrit have had a baby, and Erick and Helka have just got married. Fire Saga performs at their wedding reception in the local bar, with the American tourists in attendance. The band offers to play their Eurovision song, but everyone just wants to hear the local favourite folk song, ""JaJa Ding Dong"". Also starring Trapped star Ólafur Darri Ólafsson as Neils Brongus, Graham Norton as himself, and Jamie Demetriou as Kevin Swain (Artistic Director). With cameos from Eurovision stars John Lundvik (Sweden, 2019 representative), Anna Odobescu (Moldova, 2019 representative), Bilal Hassani (France, 2019 representative), Loreen (Sweden, 2012 winner), Jessy Matador (France, 2010 representative), Alexander Rybak (Norway, 2009 winner and 2018 representative), Jamala (Ukrain, 2016 winner), Elina Nechayeva (Estonia, 2018 representative), Conchita Wurst (Austria, 2014 winner), and Netta (Israeli, 2018 winner). Ferrell is terrific as the deluded musical dreamer, McAdams is great as his besotted partner, Stevens is funny as the smarmy Russian rival, Norton makes funny appearances, and the inclusion of recognisable Eurovision singers is fun to watch. The real Eurovision Song Contest does have good singing and songs, but more often it is full of weird, cheesy, and over-the-top performances, so it is exactly the kind of the thing that would get either a spoof or homage movie. This film does have predictable moments you expect in this kind of story, but it works well deliberately mocking the contest and celebrating its quirkiness. You cannot help but go along with it, it is funny, and ""Volcano Man"", ""Lion of Love"", ""Double Trouble"" and other songs in the soundtrack are very memorable, a fun musical comedy. It was nominated the Oscar for Best Music (Original Song) for ""Husavik"". Very good!",Eurovision Song Contest - The Story of Fire Saga
5,bevo-13678,Pierce,10,14 July 2020,I like the bit at the start with the wooden box of beer,Eurovision Song Contest - The Story of Fire Saga
6,CinemaSerf,Seez pwa de moi,6,26 June 2020,"I suppose your view on this will very much depend on whether or not you like (or at least appreciate) the Eurovision Song Contest - much of the humour derives from decades of the subjugation of Europe by this: the epitome of campness, talentlessness, political bias and general tone deafness! If you do, then this will work; if not - then don't waste your time. Will Ferrell and Rachel McAdams are good as a couple who ever since Abba won in 1974, have been inspired to take part in the competition, representing their home nation of Iceland. After an exhaustive selection process - involving a bin and some CDs - they find themselves auditioning and well... you can guess the rest. It swipes at just about everything from the corny looks/lyrics; huge - frequently calamitous - staging; dodgy judging and just about anything American but it also manages to tap into what makes the whole event work - it's gentle sense of national pride; of silliness - epitomised by a superbly smouldering Dan Stevens as ""Alexander Lemtov"", the gorgeous, super sleazy Russian candidate - who is clearly enjoying himself. Graham Norton (who hosts the real BBC coverage in the UK) is as taciturn as ever as the event is showcased in Edinburgh. It is not, however, particularly well written; the jokes are a bit low-brow and the romance between the two characters is, frankly, quite distracting from the point of the whole thing. I have to admit that it did take me a good half an hour to recognise Pierce Brosnan! Oddly enough, there just isn't enough music in it - but it is still fun, if forgettable",Eurovision Song Contest - The Story of Fire Saga
7,Calicodreamin,Surprisingly good,8,27 June 2020,"I went in this with low exceptions, but found this surprisingly good. Rachel McAdams is so cute in this movie. It's the perfect mix of cheesy and goofy. Low key liked the songs and the acting was great from the whole cast. The storyline was well developed, though I could have done without the ghost of Demi Lovato. Otherwise, perfect.",Eurovision Song Contest - The Story of Fire Saga
8,deloudelouvain,Funny enough for me.,6,12 July 2020,"I remember the days when there were not many different tv channels to choose from, only about twelve, a couple from my country Belgium and the rest from neighboring countries. When it was Eurovision every freaking channel was broadcasting that show and I hated it. It's the lamest music possible, and the voting was quite ridiculous as neighboring countries would give eachother big scores no matter how bad it was. So yes i hated everything about that yearly show. Watching a movie about it would have never happened if Will Ferrell wasn't in it. I like everything with Will Ferrell, even though it's ridiculous humor, but he has one of those faces that makes me laugh so that's already enough for me to watch it. This one is probably not his best one but still I had some good giggles. The story is lame like the real Eurovision Song Contest is so it was funny enough quite realistic. I can see why people would hate it (those are the people that can't stand Will Ferrell) and I can see why people loved it (Eurosvision fanatics and Will Ferrell lovers), I'm between it so a six star rating seems fair to me.",Eurovision Song Contest - The Story of Fire Saga
9,FeastMode,a mixed bag,5,17 May 2021,"This movie started out awesome. Unfortunately the funniest scene is the opening music video. And the frequency of laughs decreases throughout the movie. I was laughing a lot early on, and barely at all in the last third of the movie.The three leads were awesome, especially mcadams and stevens. I generally had a good time watching, for the most part. But the movie overall isn't very good. There were a bunch of dumb parts, typical drama that feels forced and unnecessary, and one scene that made me cringe to the point of disbelief. (1 viewing, 5/16/2021)",Eurovision Song Contest - The Story of Fire Saga
