,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,intriguing start to old style romance,6,1 August 2021,"It's 1965 London. Jennifer Stirling (Shailene Woodley) returns home to her husband Laurence (Joe Alwyn) after a stay in the hospital. They're wealthy from the stuffy upper crust of society. It's a loveless and childless marriage. He's controlling and she's pining for escape. The couple goes on vacation. Reporter Anthony O'Hare (Callum Turner) arrives to interview Laurence. In modern day London, Ellie Haworth (Felicity Jones) is a dissatisfied single gal. She's been assigned to write a bio for a former editor of her paper. She had recently died and left her archival material with the paper. Ellie finds a mysterious love letter which intrigues her to investigate further.I like the start. It has good potential although the back and forth in time period always held a danger to the narrative flow. One side or the other could falter and stall the entire movie. To me, the emotional high point is the dinner early in the movie. This is a movie about Jennifer seeking independence from Laurence more than about a love story between Jennifer and Anthony. On top of that, they do the Love Affair turn going to meet on top of the Empire State Building. I'm disappointed that they're doing this old trope. Quite frankly, I'd rather have him die and she has to find independence by herself. The other side has a smaller issue for me. I want Rory to be more. They try to do the combative meet-cute between Ellie and Rory but he doesn't hold up his side of the bargain. He's too weak to fight back. This is an old style romance and there is nothing wrong with that. It's simply not anything more than passable.",The Last Letter from Your Lover
1,kosmasp,The Last Note Letter without a book,7,25 July 2021,"Well I can only imagine it is based on a book. And considering the similarities I can detect with Notebook (one of the best romantic dramas to ever grace our screens or wherever you choose to watch it) ... that should not be a surprise.Having said that, the movie has also really good actors for the different time periods it is playing and dishing out to us. You have to be inclined to like romantic movies at least a little ... otherwise do not even think about watching this. The timelines work (both) and you can see the connection (I don't think it is too hard to predict most of what is going to happen ... which is not really a bad thing ... it is the journey after all we embark on, that is the one that excites us)",The Last Letter from Your Lover
2,CinemaSerf,I think we will see more of Callum Turner...,7,15 September 2021,"It has taken them quite a while to realise that an A-list cast is only going to work if there is A-list writing too, but here Netflix appear to have managed to reconcile the two with this rather interesting tale. It all begins when Felicity Jones (""Ellie"") discovers an intriguing letter which, with the help of her archivist pal ""Rory"" (Nathan Rizwan), she decides to investigate further. What follows is a parallel story of the original, clandestine relationship from the 1960s featuring Callum Turner and Shailene Woodley told alongside the modern day tale of the search to find, and maybe to reconcile the two. It features some good writing, and the characterisations are engaging in a gentle sort of way. It has a simplicity to it that - especially from Turner and Woodley - elicits a sense of sympathy especially a the machinations of her then husband ""Lawrence"" (Joe Alwyn) become clearer to us. As you might expect, there is plenty of attention to the detail - costumes, lovely old cars and interiors that lend authenticity to this simple, but engagingly told story of love from a time when women had a right to choose how they lived their lives, but lacked much of the opportunity to implement that choice.",The Last Letter from Your Lover
3,vincentlynch-moonoi,Give it a few minutes,7,25 July 2021,"I have a somewhat flexible rule that when I start to watch a film if it hasn't captured my interest in 12 or so minutes I move on. And I was getting ready to move on when this film caught me. The problem in the first 12-15 minutes is that -- at least to me -- it seemed a bit confusing. Then it settled down, and what you have here is a very intriguing love story...of infidelity...that seems justified. That's not to say that infidelity is a good thing, but when your spouse is a jerk...Felicity Jones plays a young journalist who uncovers some old and mysterious love letters from 1965 that captivates her attention as she explores the archives of a present-day London newspaper. She finds quite a tale as she finds more and more of the letters, and eventually she discovers who wrote them.The lovers are played by Callum Turner as the financial journalist who falls in love with a rising young politician's wife played by Shailene Woodley.Meanwhile, as a side story, Felicity Jones' character has a fling with an archivist (played by Nabhaan Rizwan).Will the 1965's lovers ever get together. Well, the ending is not exactly a surprise, but there are many twists along the way as the story slowly unfolds as each newly discovered letter gives more clues.Toward the end of the film, the two lovers are played by Ben Cross and Diana Kent.With the exception Ben Cross, I wasn't familiar with any of these British actors, but they all do very nice job.The ending of the film is rather sweet, also I was a little dissatisfied with brief fantasy that the two old lovers have.But still, this film was very worth watching, and I recommend it.",The Last Letter from Your Lover
4,cruise01,Notebook meets the vow romantic drama with a sweet cast but dull direction.,6,29 October 2021,3 out of 5 stars.Fair romantic drama film which has a similar to premise from other romantic films. Sweet cast ensemble. Cute drama story. The direction is dull with the present story.,The Last Letter from Your Lover
5,lisafordeay,The Last Letter From Your Lover Movie Review,6,25 July 2021,"Set between 1965 and 2021,a young journalist named Ellie(Felicity Jones)uncovers love letters between a young socialite named Jennifer Sterling(Shailene Woodley) a married woman who's husband is a rich playboy named Larry(Joe Alwyn) who begins an affair with a young man named Anthony(Callum Turner).Will the two lovebirds get caught by Jennifer's husband or will Ellie track Jennifer and Anthony in present day?. The chemistry between Shailene and Callim was good and the costumes were nice too. I also like to add that the 60s setting was interesting.From the novel by Jojo Moyes who also wrote Me Before You. If you enjoyed The Longest Ride or The Notebook then you may like this film.Director: Augustus Frizzell (who is also an actress as she starred in Petes Dragon which was directed by her husband David Lowry.)",The Last Letter from Your Lover
6,JoBloTheMovieCritic,The Last Letter From Your Lover,7,23 July 2021,"7/10 - sweet intertwined romance stories may not change your life, but will certainly entertain the hopeless romantics out there and fans of Felicity Jones and or Shailene Woodley (of which I count myself as both)",The Last Letter from Your Lover
7,yusufpiskin,Augustine Frizzell,8,30 July 2021,"In this adaptation of Jojo Mayers, Augustine Frizzell takes us on a journey to the values we have forgotten. Daniel Hart, who I am already a huge fan of, and Augustine Frizzell, who has worked with him many times before, are here with a magnificent modern age melodrama. Felicity Jones and Shailene Woodley, who are also producing, impress themselves once again. Watch with red wine.",The Last Letter from Your Lover
8,ks-60500,Movie vs tv romance,7,5 September 2021,"Didn't watch a memorable touching love story a while, all my recent are tv romance with same storyline and crappy acting. Even it might be quite alike some other movie production before, but i really didn't care whether it's copycat or not, just it makes audience catch their eye and touch their soul will be a success. To me, this movie really did. Divergence girl has grown up and she has such a quality to be act in old time.",The Last Letter from Your Lover
9,martimusross,"Not A Romance, More A Tawdry Adulterous Fling!",6,28 July 2021,"The Last Letter From Your LoverI enjoyed this movie while I watched it, but with hindsight it was riddled with some bizarre plot holes and was just overly contrived.What was good, the styling and cinematography was ravishing and definitely brought up this movie. From the wallpapers to the interiors, not to mention the hair and the fabulous sixties fashions, this aspect was a treat and then set this is the Côte d'Azur how could you fail.The whole ensemble was committed, but Jennifer Stirling played by Shailene Woodley was a triumph of making some terrible scenarios and clunky script work. Callum Turner dominated his scenes and just gets better and better!The main problems,I could see little romance, a decadent wife of a industrialist embarks, out of boredom, on a tawdry holiday romance. She then flirts with the idea of running away from her ""awful"" marriage. Due to circumstance this fails, she then has a child and lives the next 30 years with her ""terrible"" husband for fear her child is taken from her.Of course this is drivel, the husband stood by her knowing her folly, and despite being cuckolded he clearly loved her and seemed very kind to her, if she had wanted to leave she could have left the minute the child reached 16, the laws on divorce changed in 1971 so she was not trapped, and her lover was a well known journalist in New York, hardly difficult to track down.The societal comment on the state of romanticism today, portrayed by Ellie and Rory, reflected how much today is all about me, me and more me, hardly convincing when it is self-evident that the bedrock of the United Kingdom is still, in the main, the traditional family unit.Overall, this is a weak 6 out of 10,",The Last Letter from Your Lover
10,bjarias,... beyond-not-good,4,25 July 2021,... two-favorite-actors having-zero-chemistry with-their-male-counterparts... a completely-boring-lifeless-script.. fast-forward.. fast-forward.. the-end.,The Last Letter from Your Lover
