,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Impossibly overrated and unsettling,6,11 September 2008,"Edward Norton and Brad Pitt form a very strange bond that seems, at times, like it has strong sadomasochistic and gay undertones. They both get off on fighting and at times there seems to be a very odd chemistry between them. During the course of their friendship, Pitt shows Norton how to be more and more and more bizarre and wrapped up in a weird hobby they created, the ""Fight Club"" where testosterone-hyped idiots experience the joy of beating each others' brains in so they can prove their manliness. However, as the film progresses, the club becomes more like a club for anarchists and Norton begins to question where they are headed.This is a movie that had lots of interesting little touches and twists. However, in many cases, they were very cool but also didn't particularly make much sense. The last 20 minutes of the film in particular is really cool--but it just doesn't make sense psychologically and seemed more interested in wowing the audience instead of ringing true. Because of this, I felt that this cult film is impossibly overrated--especially since it's now #25 all-time on IMDb! I won't spoil the surprises, don't worry but suffice to say that by the movie is finished you have absolutely no idea what actually happened.As a high school teacher, I also was alarmed that this film actually encouraged the growth of a sick subculture. A group of boys in my school started their own ""fight club"" and took great pleasure in proving their manliness. I guess if they didn't get off by hurting each other UFC-style, they'd have to ""prove"" their manliness by shooting bunnies or some other mindless guy way--but I hate to see that supposedly civilized people LIKE the idea of watching others become hurt.Additionally, the film is packed with some of the most brutal violence you'll find on celluloid and there is tons of nudity, sexuality and terrorism--just the sort of stuff you'd never want your teens to watch. Unfortunately, among teenage boys, this film is practically a ""must-see"". Parents, exercise some common sense and keep this nihilistic and cruel film away from your kids. If you want to see it yourself, fine, since you probably WON'T be tempted to imitate it. Kids will---I can attest to that.",Fight Club
1,TheLittleSongbird,"You love it or you hate it, personally I loved it",9,18 May 2010,"Perhaps a little too long, but Fight Club is just a very well-made, brilliantly written and superlatively performed film. Essentially a satirical fable, it tells of an insomniac loser teaming up with a seditious soap salesman to form a no-holds-barred-fight club as an outlet for their direction-less aggression. This concept is an intriguing and original one, and works really well. Then there is the script, it is absolutely superb, with dialogue that will make you both laugh and think. Fight Club is very well made, with elaborate production design, great editing and startling images. David Fincher's direction is brilliantly handled and the performances of Edward Norton and Brad Pitt are superb. Overall, just a great film, a mesmerising ride through the 1990s male psyche. 9/10 Bethany Cox",Fight Club
2,Leofwine_draca,Fincher's tour de force is a bruising assault on the senses,10,14 July 2016,"David Fincher's dark, brooding assault on the senses employs much of the same style as he used in SEVEN, to great effect. This is a complex, intelligent film which, for a change, doesn't take the viewer for granted. A big streak of black comedy runs through the centre, making things a bit easier to cope with, but it's still a morose, disturbing film, a good film, yes, but not one which makes you feel good after watching it.The plot twists and turns continually, from beginning to end. Things start off on a relatively small scale to become outrageous and explosive at the film's finale. There's also one of those very-clever twists at the end, so favoured by the likes of THE USUAL SUSPECTS. There is plenty of sick humour, the highlight being the hilarious scene involving the liposuction fat - you'll know it when you see it.With a film like this, the acting has to be brilliant, and it frequently is. Edward Norton excels as the narrator of the story, caught up in all the madness, and it's a multi-faceted, psychologically-focused performance. Brad Pitt doesn't really stretch himself but he fits the bill well and isn't afraid to put off his female fans by appearing broken and bloodied in a film like this. Other actors, ranging from Meat Loaf to Jared Leto, are also very good.The violence is extremely brutal and unglamourised. Heads are knocked hard against concrete, acid is poured over flesh, teeth are knocked out, and noses are split open. This is a hard film to watch, but fascinating at the same time. Fiendishly clever and highly suspenseful, I would rate FIGHT CLUB as one of the best films of 1999 - on par with THE SIXTH SENSE, and just under my favourite, THE BLAIR WITCH PROJECT. Buy it, rent it, steal it, but be prepared: you won't be the same afterwards.",Fight Club
3,SnoopyStyle,love the premise at the start but not the twist,6,20 December 2014,"A nameless man (Edward Norton) suffering from insomnia is a traveling investigator for a car company. He goes to a support meeting. He is addicted and starts going to all kinds of support meetings. He encounters another meeting groupie Marla Singer (Bonham Carter). She is uninhibited. On a flight home, he encounters Tyler Durden (Brad Pitt) who makes his own soap. They bond over their dislike of consumerism. Man with no name loses his apartment due to a gas explosion. Outside a bar, Tyler asks him to hit him. He starts staying at Tyler's dilapidated isolated mansion.I want to like this a lot more. I want this movie to say something about consumerism and effeminization of society. I want this movie to take a profound stance on the state of the male position in modern society. It also touches on the isolation of the modern world. It seems set up for something great but then the movie gives a twist that takes much of the punch away. The movie becomes about the twist and I don't know what the movie says about anything else.",Fight Club
4,Hitchcoc,It's Hard to Take Your Eyes Away,9,3 January 2007,"I'm not much into graphic violence. This film transcends that. It has wonderful direction, and, even though it is brutal, it takes things to another ledge. Edward Norton is really controlled as he realizes his power. It's too easy to throw in spoilers so I will leave things to the viewer. The search for self and the growing cult around Fight Club made me suspicious. Still, to watch what happens to the two men at the center and what they are without Fight Club is the core. One of the neat things about this film is seeing it a second town makes it even better. The mental byplay between Pitt and Norton increases tension to explosiveness. If you want to see what can happen to a story when put in masterful hands, read the book (which is outstanding), and see the movie. They show that art forms can treat the same material, each in their own ways.",Fight Club
5,Horst_In_Translation,Solid character study and a good performance from Norton,6,24 February 2015,"""Fight Club"" is an Academy Award nominated (sound effects) movie from roughly 15 years ago starring Edward Norton (a two-time Academy award nominee at under 30), Brad Pitt, Meat Loaf and Helena Bonham Carter. It's possibly the most famous movie from director David Fincher, although it's far from his best in my opinion. That does not mean it's a bad film. Not at all. However, many of the characters are simply way over the top that the film always is in danger of surpassing the fine line of entertainment and ridiculousness. It's based on a Palahniuk novel and the script comes from Jim Uhls, who had a surprisingly insignificant career after coming up with the words for this cult film.The dialogs are witty and almost too hip occasionally. It's not a film for easily offended people as it tends to be vulgar at times and the violence is graphic frequently, although that is certainly not a surprise for a film titled ""Fight Club"". In general, it's a pretty insane film, most of the time in a good way. The fact that two characters visit meetings of dying people, so they can feel better says it pretty much all already. I clearly preferred Norton over Pitt here and it is self-explanatory that Pitt did not get a single awards nomination for his work here. He becomes pretty much a caricature at times. Then again, his character does not really exist, so this can be used as some kind of apology I guess. The final plot twist comes unexpected and reminded me of the one in ""The Usual Suspects"", only that the main character is still unaware of his true identity. By the way, Norton looked pretty much the same age in this film as now 15 years later when he scored another Academy Award nomination for his work in a Best Picture winner.The ending was pretty great though and I liked how, with the disappearance of Pitt after the gunshot, we finally see also the darker side of Norton's character when he and Bonham Carter's character watch the explosions. But how did that gunshot do so little damage? Did the pain make Pitt's character go away? Anyway, ""Fight Club"" is a good movie. Not one of my personal favorites, but an entertaining 140 minutes, during which it almost never drags. One of my favorite scenes was near the end at the police station when he gets interrogated and almost emasculated. That was pretty funny there. Recommended.",Fight Club
6,classicsoncall,"""We have front row seats for this theater of mass destruction"".",8,26 August 2011,"There's a not so subtle irony in the premise of this picture that managed to intrude on my consciousness about the time I learned about Strinne green stripe patterns. Society's obsession with material goods has a dehumanizing effect on the individual, leading some to destructive behavior in an attempt to rid the shackles of mindless adherence to a herd mentality. Whenever this idea is presented in a commercial venture however, it itself falls victim to a form of circular logic. The success of the film depends on it's ability to denigrate itself as a form of commercial enterprise or achievement. The same can be said of the principal players; I highly doubt that Brad Pitt or Ed Norton go around bemoaning the fact that their wealth is somehow an obstacle to their self worth as human beings. There's an element of hypocrisy in all this, but I won't begrudge the actors or director for their part in it. They're trying to make a statement in a unique way, and often have to deliver a punch to the gut to get there.By the way, if you're paying attention, a clue to the identity of the narrator comes early when Tyler Durden (Pitt) opines on his views of life and mentions those same Strinne green stripe patterns. That line jarred me about as much as it did Ed Norton's character; the look on his face at that moment betrayed a moment of introspection that would be revealed at the end of the story. That was actually a clever clue planted by director Fincher, because the odds of two different people coming up with the exact same concept about home furnishing options defies probability.The troubling aspect about the film, aside from it's message however, is the glorification it seems to convey upon a youth culture bent on a form of self destruction. You see it in the copy cat rise of actual fight clubs in the wake of the picture, along with other forms of physical mayhem like extreme wrestling. One doesn't absorb the pain in real life quite as nobly as Tyler did while mocking the garage owner. But I guess some will only learn the hard way.Hey, did you catch that newspaper clipping that mentioned the street violence that was occurring after the fight club concept gained prominence - 'Missing Monkeys Found Shaved'. I wonder if there were twelve of them.",Fight Club
7,lee_eisenberg,This is what great movies are all about!,10,21 October 2005,"In the grand scheme of things, ""Fight Club"" is less about a group of people who like to fight than about how the commercialism inherent in our society drives people over the edge. The unnamed narrator (Edward Norton) joins up with soap-maker Tyler Durden (Brad Pitt) to found Project Mayhem, whose goal is to undermine everything corporate. Part of their modus operandi involves starting fistfights. But at some point, the narrator realizes that it's going too far...and he's helpless to stop the madness.""Fight Club"" was certainly one of the best movies of 1999. Not just because it was a full-scale indictment of commercialism, but also because the acting, script and direction are all top-notch. This movie is one of the best examples of a modern classic.",Fight Club
8,jboothmillard,Fight Club,7,19 April 2006,"From director David Fincher (Alien³, Se7en, Panic Room) this is a very inventive film with some strong violence, great acting and cool twists. Basically The Narrator/Jack (Edward Norton) is the office employee loser suffering severe insomnia, and he starts visiting therapy groups to get some attention from people, all for illnesses he doesn't have, apparently helping him sleep. Then he meets ""tourist Marla Singer (Helena Bonham Carter) who is almost the same. Later, on a plane, he meets soap salesman Tyler Durden (Brad Pitt) who as time goes by becomes a good friend and companion. One day, Tyler asks Jack to hit him as hard as he can, and this inspires them to create their own therapy group, Fight Club, where men can express themselves through extreme violence. Tyler has built up groups of faithful followers from the club, and they soon indulge in anarchic and destructive activities to basically kill commercialism. Jack realises the extent of Tyler's power and doesn't want to be part of it, but the big revelation will be Tyler's true person, he is Jack's alter ego who has been acting through Jack. Also starring singer Meat Loaf as Robert 'Bob' Paulson, Zach Grenier as Richard Chesler, Richmond Arquette as Intern and Terminator 3's David Andrews as Thomas. The iconic moments are Jack fighting himself in front of his boss, and the fights between Jack and Tyler (or technically just himself). It was nominated for the Oscar for Best Sound Effects Editing. Brad Pitt was number 15 on The 100 Greatest Movie Stars, he was number 5 on The 100 Greatest Sex Symbols, Pitt was also number 52 on The 100 Greatest Pop Culture Icons, and Helena Bonham Carter was number 41, and Pitt number 30 on The World's Greatest Actor, Carter was also number 13 on The 50 Greatest British Actresses, and the film was number 36 on Film 4's 50 Films To See Before You Die. Very good!",Fight Club
9,ccthemovieman-1,Sordid Flick That AppealsTo Young Crowd,5,14 March 2006,"Like ""The Sixth Sense,"" this is a film that has such a surprise ending that one almost needs to go back and see this again, from a different perspective. I can't say more without having to provide spoilers.This is a sick movie but I found it interesting in a perverse way. I am sorry so many young people love this movie so much because sordid and sleazy stories should not be so appealing.On the positive side, what I found most interesting was:(1) Pitt's character is totally without God but some of things he says about materialism sound really Biblical in nature. They were fascinating comments. (2) This film is stylishly-shot, a nice movie if you appreciate visuals as I do. (3) Edward Norton's narration was excellent.The characters in here are not clean-cut, high-ideal role models, to say the least. That includes Helena Bonham Carter's role in here. I couldn't take any of these people on the first viewing, but when a profanity filter was invented, I gave this another shot and the rating of the film was elevated from a 3 to a 6.5. Still, even with a filter, this is a bit too sleazy for middle-aged oldies like me. A sad comment that ""nasty"" seems to be so appealing to kids these days.",Fight Club
