,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,nogodnomasters,This is how it starts,4,24 September 2021,"William Tell (Oscar Isaac) spent 10 years in federal prison for the crime of torturing prisoners. He learned to count cards while in prison and keeps a low profile as a blackjack player. He meets Cirk (Tye Sheridan) whose life is a mess and La Linda (Tiffany Haddish) who runs a ""stable."" She gets backers for good players like Tell. Eventually Tell agrees and then plays poker (no card counting) for the rest of the feature. You keep waiting for him to beat a loud mouth.The film is a drama. Tell is haunted by his past, but deals with it in his own way. The film is a slow burn that never catches fire. The ending was messed up.Guide: F-word. Sex. Male nudity.",The Card Counter
1,CinemaSerf,Underwhelming and undercooked revenge drama...,6,7 November 2021,"I'm not quite sure what I was expecting - but this rather meandering drama left me leaving the cinema asking what or whom this film was for? Oscar Isaac (""William Tell"") is a gambler - a successful, under the radar kind of fellow - with a military past steeped in trauma. He encounters a young man ""Cirk"" (Tye Sheridan) with whom he has something in common - both men have suffered at the hands of his former CO ""Gordo"" (Willem Dafoe). The older man, wishes to temper the anger and lust for revenge of the younger, and takes him under his wing. Except, well, he doesn't really. He takes him on tours of the poker games, shares his winnings, introduces him to his fixer ""La Linda"" (Tiffany Haddish). That, though, is all he seems to be offering the young man - a shell upon which he can become a bored, barnacle!. That's when I found myself looking at my watch. Towards the end, the plot takes a swing for left field that is not only sad, but also a precursor to an ending that is frankly really quite poor. The dialogue is strained, and though Haddish easily wins on the star front here, the rest of the cast sort of loll around in a soporific haze of emotional baggage that really is quite dreary to watch. Maybe I just wasn't in the mood, but looking around me in the cinema - plenty of other people seemed to wondering why they hadn't gone to see ""Spencer"" too...",The Card Counter
2,neil-476,Not for everyone,6,10 November 2021,"The Card CounterWilliam is an excellent gambler who gambles and wins small so as not to attract unwanted attention. He has also served time for being photographed mistreating prisoners at Abu Ghraib - Gordo, who taught them all the tricks of mistreatment, didn't get photographed and is now doing very nicely thank you. William encounters Cirk, a troubled young man whose father shot himself in the aftermath of the Abu Ghraib debacle. Cirk wants revenge against Gordo. La Linda, who manages a stable of gamblers, extends an invitation to William.Paul Schrader writes and directs this four hander (with extras) and I don't really know what to make of it. Tiffany Haddish is good as La Linda, but almost entirely superfluous. Willen Dafoe as Gordo is pivotal, but not in it much. Most of the meaningful content is between Oscar Isaac's taciturn, dead-eyed William and Tye Sheridan's closed-off and unsympathetic Cirk.It's a slow burn. There's a lot of poker, but it's not a significant part of the drama. The final 10 minutes or so suddenly becomes gripping, but you may have lost interest before then. It held my interest. Just.",The Card Counter
3,bombersflyup,"Yeah, no.",2,17 September 2021,"The Card Counter is weird mostly, parts disturbing.Elements of ""Rounders"" and ""Casino Royale,"" teasing with a thought or two, but disappoints. With much of the setting at the casino and poker table, there's no table talk and only one hand shown and it's a silly one with an A2 and 7's calling on an 899 board. Also the same players getting to the end isn't reality, as playing perfect doesn't guarantee anything, cards still have to run out. The characters and performances beside Isaac are bad and he isn't great either. The music throughout awful as well, but most of all nothing happens and what does is just weird.",The Card Counter
4,blanbrn,Dark character study of doomed soul who's tortured past seems to follow him.,6,12 September 2021,"Director Paul Schrader seems to use a little bit of ""Taxi Driver"" as an influence with his latest dark character study drama film ""The Card Counter"". The story follows William(in a good performance from Oscar Isaac) as an ex military interrogator who after his prison release puts one of his learned skills and vices to good use. That happens to be he now travels as a poker and card player competing in world series games all around the country. However his life is still haunted by past memories and his old military boss Gordo(the great Willem Dafoe) plays a part and a connection and a return to a downfall is meant for William. Along the way William has a sidekick and partner in La Linda(the sexy Tiffany Haddish and I loved the scene in which she sports that sexy black bra in bed with Oscar!) a sexy and professional street smart gal who provided some sexy eye candy scenes, and she even bonded and gets intimate between the sheets with William as she guides his winning table ways. Overall film is nothing great still it entertains with drama as one is trying to escape a dark past still it shows life is all about luck and a gamble even when love and doom is both present.",The Card Counter
5,ops-52535,just another timeless...,4,17 September 2021,"Waste of my time to see something new and good on the fleemarket, because this game of cardmanship was a strange trip to the cardcounters wonderland, where the bunny is black and the deck of cards just like a deck of cards, with some segments of flashbacks of bad consiousness and a wrathening sense of revenge, that takes eventually place, but why , how and the outcome of the revenge is left in limbo, the whole film goes actually in limbo if you ask me. Only one aspect can be set in the limelight, very nice filmographical presentation, but thats it...acting is not bad but boring, story and plot is daft and slow, and if you pay the ticket to become a better pokerplayer, then the book ''poker for dummies '' will teach you more.Im a grumpy old man with a whole lot of time to spend, therefore im not angry about such foolplay of a movie and it doesnt hurt, but if you measure your life in money per hour, then save yourself from this one.",The Card Counter
6,UniqueParticle,Story driven and enriched with captivating characters,9,10 September 2021,I was blown away by Oscar Issacs performance he really embodied William Tell in the best way possible; I really hope he gets a fair amount of recognition and maybe a nomination! I'm so glad I got to see Card Counter in the theater it's everything a drama/thriller should be especially by acclaimed director Paul Schrader. The writing is so smooth in every instance needed and the gambling felt so authentic. I hope others appreciate this fairly paced drama about a man that loves blackjack and routine along with following rules quite a lovely film highly recommend!,The Card Counter
7,Thanos_Alfie,Simple but nice...,6,4 November 2021,"""The Card Counter"" is a Drama - Thriller movie in which we watch a man who is an ex-military interrogator becoming a gambler. His mistakes from the past haunt him and he tries to find redemption and salvation from his present actions.I liked this movie because it had a nice and interesting plot consisted of mystery and drama. The interpretation of Oscar Isaac who played as William Tell was very good and he made the difference. Some other interpretations that have to be mentioned were Tye Sheridan's who played as Cirk, Tiffany Haddish's who played as La Linda and Willem Dafoe's who played as Gordo. The direction which was made by Paul Schrader who is also the writer of it, it was very good and he presented his main character with very few information something that created a mystery behind him while he mainly focused on his present life. To sum up, I have to say that ""The Card Counter"" is an interesting movie with a simple plot that I am sure you will be interested on watching so, I recommend you to watch it.",The Card Counter
8,Fella_shibby,Mesmerizing performance by Isaac n a solid take on the trauma caused due to 'learned helplessness'.,9,3 October 2021,"Learned helplessness was the method created by Martin Seligman where he gave shocks to dogs in various states of restraints after which the animals simply accepted its fate.It was later used by CIA psychologist James Mitchell.Coming to this movie, the cinematography n acting is top notch.Can someone tell me why Williams Tell covers all the furniture in plain sheets secured with twine in motel rooms.",The Card Counter
9,imseeg,"Mesmirizing, cruel, suspenseful. BUT a bit uneven and lacking in spark at moments as well...",7,28 September 2021,"Beware: I had to skip some scenes that were just too cruel and nasty.The bad: this movie (like many other Paul Schrader movies) did confuse and disturb me in (un)pleasant ways. Let's not forget Paul Schrader wrote the brilliant ""Taxi Driver"", which Martin Scorsese directed. Now both Scorsese and Schrader are back together again, but did they create fireworks again? Not exactly. This movie is firstmost a character portrait of Oscar Isaac, a hustler at gambling, with a very shady past and HIS PAST comes back to haunt him. Unfortunately the execution of this story is simply not a directional gem. Not bad, but certainly not terrific either...The good: the acting is great. The suspense is good. The terror is haunting. I just kept guessing where this story would go. And THAT's the real charm of this movie: an INTRIGUEING plot, with excellent acting performances.This director Paul Schrader is bound to confuse and divide audiences. But THAT's the ""charm"" of many Schrader movies...",The Card Counter
