,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,A not so freaky Friday,3,12 January 2018,"'Friday the 13th' may have been panned by critics when first released but since then it is one of the most famous and influential horror films, the franchise containing one of horror's most iconic villains. The film is popular enough to become a franchise and spawn several sequels of varying quality and generally inferior to the one that started it all off. It is very easy to call the 2009 'Friday the 13th' as a remake, for reasons that are easy to understand. Personally am actually to judge 'Friday the 13th' (2009) as a reboot rather than a remake. While not quite as bad as has been said, it even fails by reboot standards. There was no point to it whatsoever, the series should just have stopped at the last sequel and even then the series was severely fatigued, the fifth or sixth for me was the last watchable 'Friday the 13th' film, and there is very little to recommend it judging it as an overall film. Entries like 'Jason Takes Manhattan' and 'Jason X' may have been heavily problematic and less than mediocre, but credit is due to them for trying to do something different. 'Friday the 13th' (2009) has very few ideas of its own and the very few attempted were either cheaply executed (such as an out of character Jason), felt like they were lifted from another film (too many of the deaths are sadistic enough to be near-'Saw' territory) and more horror genre clichés done to death.The story is suggestive of the series being completely stale and takes forever to get going after the first 20 minutes, with very little happening and with a lot of gratuitous, cheap and pointless elements. Apart from one respectable performance, the acting is horrendous even by 'Friday the 13th' standards, the characters are ones you want dead fast and have nothing interesting about them and the dialogue would likely make even more forgiving people embarrassed. The ending is far too abrupt and anti-climactic, as well as going too far with the ridiculousness.Very few of the deaths are that memorable or disturbing, they're just too sadistic and paced too fast to make much impact. There is a severe shortage of suspense and scares, next to zero in both departments past the opening, replaced instead by childish humour and an overdose of gore, nudity and profanity that adds nothing. Pacing is erratic and the direction is often lifeless, especially in most of the first half. Can remember very little distinguished or memorable about the music, mostly one of the series' best assets now completely forgettable here.Despite these many drawbacks, there are positives. The first 20 minutes were absolutely great, it was tense, scary, clever, suspenseful and compelling. It actually gave the feeling that the series had redeemed itself.Technically, apart from some slapdash MTV-like editing that just didn't belong the production values were stylish and atmospheric.Although no Kane Hodder, Derek Mears is a wholly respectable and imposingly unsettling Jason. Overall, started off so well and then went downhill like water down the plughole. 3/10 Bethany Cox",Friday the 13th
1,Leofwine_draca,The worst Friday yet,2,10 December 2011,"Of all the horror remakes of recent years, Friday THE 13TH has to be one of the worst. The reason? Because it fails to find a voice and style of its own, content instead to derivatively copy the look and feel of a dozen inferior horror outings such as WRONG TURN and THE Texas CHAINSAW MASSACRE remake. It starts off by following the plot of the first three films – featuring Mrs Vorhees, sack-head Jason and hockey mask Jason – before falling apart entirely with cliché after cliché as the killer goes after a bunch of dull people.This film fails because it doesn't have a single interesting character – least of all bland Jason, who doesn't have anything approaching the brutality of the killer once played by Kane Hodder. The victims are all of them irritating and faceless, so you'll look forward to seeing them die – except even the death scenes are unmemorable. A week after watching this and I don't recall a single murder from the film, it's that dull and lacking in creativity. The filmmakers throw in plenty of nudity in an attempt to liven things up, but needless to say it's not enough to sustain the movie. Even the godawful sequels, like JASON TAKES MANHATTAN, were better than this!",Friday the 13th
2,SnoopyStyle,Good slasher movie,6,1 January 2014,"A group of kids are camping at Crystal Lake. They find some marijuana plants, and ... Jason. Now 6 weeks later, another group has arrived at a lake house. Meanwhile Clay Miller (Jared Padalecki) is in the area searching for his sister Whitney (Amanda Righetti) from the previous massacre.This is a good traditional slasher movie. Jared Padalecki has the boyish charm to be lead hero. And he plays an interesting character. He isn't just some clueless young party animal. He gives a different dynamic to the traditional slasher movie. On the other hand, there is a need for more Amanda Righetti if she is going to be so prevalent in the final battle. The kills are good, but there are still a couple of problems. There isn't anything original. So I'll just give it a passing grade.",Friday the 13th
3,claudio_carvalho,Let Jason Rest in Peace,4,26 July 2009,"Wade (Jonathan Sadowski), Ritchie (Ben Feldman), Amanda (America Olivo), Mike (Bick Mennell) and Whitney (Amanda Righetti) travel to Crystal Lake to camp, but Wade and Ritchie have found a plantation of weed and intend to raise some money selling the dope. However, the group is brutally attacked by Jason Voorhees (Derek Mears). Six weeks later, Clay (Jared Padalecki) is seeking out his sister Whitney in Crystal Lake, distributing a missing poster with her picture to the locals. In a gas station, he stumbles with the arrogant Trent (Travis Van Winkle) that has invited his friends Jenna (Danielle Panabaker), Lawrence (Arlen Escarpeta), Chewie (Aaron Yoo), Nolan (Ryan Hansen), Chelsea (Willa Ford) and Bree (Julianna Guill) to spend the weekend in the cottage of his wealthy family. Jenna teams up with Clay in his quest and they discover that Jason is killing her friends. They run back to the cottage to warn her friends of the dangerous situation while Jason kills each one of them. ""Friday the 13th"" is an unoriginal and flawed collection of clichés with the omnipresent and indestructible Jason Voorhees. The story follows the same pattern of the other screenplays, with breasts and naked bodies of beautiful girls, drugs, booze, a group splitting and violent deaths. The imbecile conclusion of this sequel is terrible, and I hope that Jason had said ""hi"" to his mommy as recommended by Whitney and rest in peace without any other sequence, rip-off or remake. My vote is four.Title (Brazil): ""Sexta-Feira 13"" (""Friday the 13th"")",Friday the 13th
4,kosmasp,Every now and then,4,15 August 2010,"... there will be a Friday 13th. No seriously, look it up in your calendar! I guess it happens a couple of times in a year ... thankfully the movies don't come along that often though. Though I had a chance to meet Derek Mears personally (and he is more than a cool cat, infectious with his passion for Jason and his stunt work in general), I just can't like this movie that much.Not that it is bad per se. Quite frankly for some it wasn't bad enough. Meaning that the roughness of the original, which this was supposed to kick off again, has gone and out came this stylized product. While in some aspects it has rough edges (shaky cam which reminded me of the TCM remake ... directed by who? Exactly!), the overall feeling is that of a polished product.If you can cope with that and are an avid Friday fan (which I have to admit I'm not, still having watched every Jason movie there is) you will see some things you are familiar with. The movie is an origin Story and it has quite a few scenes that deal with things you are familiar with. Nice killings, quite a few exposed beautiful women and great SFx. It's up to you, if that weighs more than disposable characters, you won't even remember while you are watching the movie. And it always was about Jason with this movies anyways, wasn't it?",Friday the 13th
5,gavin6942,"Little Substance, Weak Style, But Great Entertainment",6,14 February 2009,"A group of young adults, some in search of the elusive illegal herb, stumbles upon Camp Crystal Lake, where a legend tells of a boy who grew up to be a killer. A few weeks later, another group enters that same woods. The body count begins to climb... is Jason back, and if so, can he be stopped? Let me make a confession: I really didn't want to like this movie. I loved the original series of films, I don't like remakes for the most part, and with Michael Bay's name attached, I knew it was going to be an action-packed film done in ADHD-ready music video format. Sadly, I wasn't wrong about the last part. However, the film as a whole isn't that bad.The Jason mythology is still here. His mother is still involved, there's still a hockey mask, and it all makes sense. I'm a little unclear as to why he has a home at Camp Crystal Lake (he has a permanent bed at a summer camp), but that's fine. We even have the brother off to find his little sister scenario, which hasn't been in the series since the 1980s... well done bringing back a one-dimensional character. Crazy Ralph isn't here, but an old woman does a weak job replacing him, which is better than nothing.If you're looking for sex, drugs and rock and roll, this film has it. Plenty of topless girl screen time (thanks, Willa Ford), although you should be warned that the two most attractive women (Whitney and Jenna) don't get naked. Sorry. Marijuana plants and bongs are around, as is the Pabst Blue Ribbon. Some might say ""if you only have PBR, you're out of beer"" but I disagree. As for the rock... they had Night Ranger's ""Sister Christian"". What more do you want? The theater audience I went with enjoyed singing along.Many good one-liner jokes, and the gore here is decent. I'm not going to say it's the best gore I've ever seen, but there's no shortage of bodies getting impaled, hacked up, shot with arrows... another reviewer summed this film up as ""killing spree"", and that couldn't be more true. There was almost no plot to speak of (this is the film's downfall), but how could there be when characters were getting killed off every five minutes? Derek Mears is a fine Jason. There is a better one -- Kane Hodder -- but Mears' version, where Jason looks like Darkman, is respectable. Despite all my misgivings about this film, it turned out to be alright. Not my favorite in the series, not by a long shot. But if you're into beautiful young people drinking, having sex and dying in bloody ways, this film should meet your criteria for quality. Next on the list, the ""Last House on the Left"" remake... if there's one film I think should have been left alone, that's it. But if they do as well as Marcus Nispel (a great guy, and director of one of the better ""Frankenstein"" incarnations) did on this one, it has a chance.",Friday the 13th
6,jboothmillard,Friday the 13th,4,15 January 2012,"Two years after Rob Zombie remade Halloween with a new Michael Myers, and one year before A Nightmare on Elm Street was remade with a new Freddy Krueger, director Marcus Nispel, who remade The Texas Chainsaw Massacre with a new Leatherface, decided to remake not just the first film, but the original four all rolled into one. Basically the film opens with the crazy Pamela Voorhees (Nana Visitor) wanting to kill people being so distraught over the death of her son Jason, and she is killed. Years later, Jason Voorhees (Derek Mears), a deformed individual, has returned to take revenge for the death of his mother by going on a killing spree, and he doesn't care who it is. Camping out on the site where he was supposed to be dead, Camp Crystal Lake, are a group of teenagers, Wade (Jonathan Sadowski), Richie (Ben Feldman), Amanda (America Olivo), Mike (Nick Mennell) and Whitney Miller (Amanda Righetti). On the site is a plantation of weed (marijuana), and the gang planned to take loads of it and sell it off, but of course Jason shows up and slaughters them all. Six weeks later, Clay Miller (House of Wax's Jared Padalecki) is looking for his missing sister Whitney, and he has been joined by friends Jenna (Sky High's Danielle Panabaker), Lawrence (Arlen Escarpeta), Chewie (Aaron Yoo), Nolan (Ryan Hansen), Chelsea (Willa Ford) and Bree (Julianna Guill) to live in his wealthy family's mansion as he searches. Of course they too come across the place the young Voorhees was rumoured to have been drowned years ago, and one by one they all fall victim to Jason's brutal revenge. Jenna and Clay look like the two last two survivors, until they find Whitney chained up in the killer's secret hideout, and they are all running for their lives as he chases them, wearing his iconic hockey mask and holding his large machete. In the end, after many failed attempts, it does look like the last two living characters, the brother and sister, have successfully killed the seemingly indestructible psycho, but of course (just like the original 1980 version, Jason leaps out of the water. Also starring Travis Van Winkle as Trent, Richard Burgi as Officer Bracke and Chris Coppola, Francis Ford's nephew as Gas Station Attendant. Like many originals this does have some of the moments from the original films that you recognise, it seems the makers were more interested in the more popular premise seen in the sequels than the original with the mother, and Jason Voorhees does still make an impact as the silent but deadly psycho killer we have seen before, and of course the inventive and very bloody deaths are most watchable, it is obviously not original and can be flat at times, but it is an alright four-films remake horror. Okay!",Friday the 13th
7,Woodyanders,Middling attempt at reviving the popular horror franchise,5,23 December 2020,"We all know the drill: A bunch of party hearty young folks run afoul of lethal hockey-masked psycho Jason Voorhees when they make the fatal mistake of stumbling into Jason's neck of the woods.While director Marcus Nispel keeps the familiar, yet still fairly enjoyable story moving along at a brisk enough pace and stages the brutal'n'gruesome murders with appropriately sadistic aplomb, he alas crucially fails to generate much in the way of any essential tension or creepy atmosphere. Moreover, the mostly obnoxious and unappealing youths are such a bunch of utterly reprehensible beer-swilling, pot-smoking, sex-crazed dolts that it's impossible to be remotely upset whenever Jason bumps one of 'em off. Only Jared Padalecki as the likeable Clay Miller and Danielle Panabaker as the sweet Jenny manage to elicit any sympathy from the viewer. Derek Mears makes for a suitably menacing and ferocious Jason.The changes made to Jason are strictly hit or miss: Having Jason being able to run definitely works because it makes it harder for people to easily get away from him, but the whole subplot with Jason keeping the one gal alive in his underground lair simply because she looks just like his mom (huh?) is super dumb and lame. Fortunately, this movie certainly delivers on the tasty gratuitous female nudity and hot raunchy sex, with buxom blonde stunner Julianna Guill a notable stand-out in this particular department. But ultimately this reboot comes across as pretty perfunctory and by the numbers. In other words, it's basically yet another piece of slick'n'soulless Hollywood product that's competently done, but totally lacking in any genuine heart or passion.",Friday the 13th
8,Tweekums,Rebooting an 80s horror classic,6,21 January 2019,"After numerous sequels, and a crossover with 'Nightmare on Elm Street', one might have thought there was nothing left to do with the Jason Voorhees character... the creators of this reboot clearly thought otherwise. This film can be considered to be an alternate version of what happened after the original film. In a prologue we are told how Jason's mother killed the camp councillors she blamed for his death before being killed and how Jason, returned from the dead, witnessed this.A group of youngsters go to Crystal Lake, hoping to get stoned and engage in premarital sex, as they sit around the camp fire one of them tells the story of Jason... inevitably it isn't long before he is killing them. Six weeks later Clay Miller, the brother of Whitney, one of the missing girls, is in the area trying to discover what happened. Also arriving are another group of youngsters hoping to have a fun weekend by the lake. Soon Jason starts to pick them off one by one... it is just a question of how many will survive till the end.I'm not sure we needed another 'Friday the 13th' film but if you wanted one this has some good elements, as well as some weak ones. On the plus side the series returns to its spiritual home at Crystal Lake and the story feels like it could have come from early in the original series and the cast of potential victims are given proper characters. One the downside Jason's character has changed somewhat; he is still an unstoppable killing machine but now he is more sadistic; tormenting victims rather than going for the quick kill. More strangely in this he takes a prisoner; something he never did before. There is more sex and nudity than the earlier films; it is fairly gratuitous. There is of course a lot of violence... one can hardly complain about that in a slasher movie. The deaths are fairly varied and sometimes quite disturbing. The cast are decent enough, most notably Jared Padalecki and Amanda Righetti as Clay and Whitney Miller and Danielle Panabaker as Jenna. Derek Mears does a solid job as Jason; making him menacing and fast rather than the lumbering threat from before. Overall this is a decent enough addition to the series; not the best but certainly not the worst.",Friday the 13th
9,BA_Harrison,Friday the 13th 2009: unlucky for horror fans.,4,13 June 2009,"Neither a true remake, a re-imagining, nor a sequel, Marcus Nispel's Friday the 13th takes an alternate time-line following the infamous massacre at Camp Crystal Lake. Decades after the decapitation of Mrs. Vorhees, her deformed maniac son Jason is still lurking in the woods with a sack over his head. He has been a busy boy, building a hide-out at the deserted summer camp whilst hacking to death anyone who has dared step foot on his stomping ground (all with no intervention from the authorities).After a group of sex mad, hash smoking twenty-somethings searching for a secret marijuana crop become the latest victims of the hulking killer, Clay Miller (Jared Padalecki), the brother of one of the missing girls, goes in search of his sibling (Amanda Righetti). Whilst issuing 'missing' posters, Clay befriends Jenna (Danielle Panabaker), one of a bunch of friends partying in a nearby lakeside condo, and together they discover the terrible truth behind the Vorhee's legend.Admittedly, I'm not a huge fan of influential 80s slasher Friday the 13th, but compared to this modern take on the Jason Vorhees story, Sean S. Cunningham's original is a work of genius. Director Nispel's treatment of Shannon and Mark Swift's pedestrian screenplay is predictably slick, employing the same bag of flashy directorial tricks that made his remake of The Texas Chainsaw Massacre a hit with indiscriminate teen audiences the world over, but with little in the way of originality, a raft of irritating characters that consists primarily of unlikeable hunks and virtually indistinguishable bubble-headed bimbos, and a poorly considered narrative that sees Jason taking prisoners, discovering his iconic mask by accident, and being a dab hand with electrics, the result is stale, scare-free and, perhaps more pointedly, completely unnecessary.About the only thing Nispel does right is to get his tasty starlets to regularly strip off: viewers are treated to a spot of gratuitous topless wake boarding, a couple of enthusiastic shagging sessions, and one babe rubbing her breasts with baby oil. It adds absolutely nothing to the plot, but does distract one slightly from the fact that the film is a bit of a stinker.3.5 out of 10, rounded up to 4 for the oily cans.",Friday the 13th
