,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,endearing,8,13 January 2020,"Zak (Zack Gottsagen) is 22 with Down syndrome. He has no family and the state has placed him in a retirement home under the care of Eleanor (Dakota Johnson). After two years locked up in the home, he tries to run away multiple times. With Carl (Bruce Dern)'s help, he finally manages to escape between the window bars. He's a stowaway on Tyler (Shia LaBeouf)'s boat. Tyler has no fishing licence and resorted to stealing crab pots from Duncan (John Hawkes). He's on the run and reluctantly takes on Zak who has a dream of attending a wrestling school run by minor wrestling celebrity Salt Water Redneck (Thomas Haden Church).This is a road trip and water trip that pays tribute to Mark Twain. Zack is adorable. There is some tear jerking and some comedic hilarity. The acting is first rate and the characters are endearing. It is a little convenient for everybody to keep catching up to Zak although they do show the map where there is only that line. I think as long as the movie doesn't ignore it. These little contrivances can be excused. It's good that Tyler mentions pheromones. The other minor issue is the abrupt ending. There seems to be a switch which does suggest a tacked on ending. I like the ending but I would prefer not to get the misdirection. Overall, this is quite a magical trip.",The Peanut Butter Falcon
1,Horst_In_Translation,"Overall somewhat expected, but still charming at times",6,14 January 2020,"""The Peanut Butter Falcon"" (very cool title, I like peanut butter and apparently you can even eat it with fish and when he screams his new alias, it is quite hilarious) is a new American English-language movie that runs for slightly under 100 minutes and is the first full feature film effort by Tyler Nilson and Michael Schwartz, who directed and wrote this one. And even if they have worked for quite a while in the industry already (their experience shows here), for a rookie effort the outcome is pretty impressive and it makes me curious about their next films. The title character is played by Zack Gottsagen that you probably have not heard of, but don't worry. Neither have I. It is almost his first performance in a film too. However, you should have heard of LaBeouf, Johnson, Dern, Haden Church, Hawkes and maybe Bernthal as well. Gottsagen and LaBeouf are the undisputed leads and they certainly make it work. It is pretty amazing to see how well LaBeouf is doing right now and his role selection is just marvellous. Who would have thought that he could turn into America's maybe finest indie film actor after launching his big career with Transformers. And he is that good. I think he will have a bright future ahead and the first Oscar nomination is just a matter of time, although I wouldn't be surprised if he doesn't even care. Dakota Johnson is the biggest supporting player in this movie and it's good to see her in films like these too while everybody is being so harsh about 50 Shades. Not only does she look pretty stunning, she is also a talented actress (it's in her genes obviously). Bruce Dern is only in here during the first 30 minutes, even less probably, but he does a fine job for sure as always. With him I immediately had to think of his film Nebraska from a few years ago where he is the one going on a journey to a questionable target destination just like the main character does in this film here and both films have many references about specific regions of the United States. So when he helps him get out, he somehow uses his own experience. Nah just kidding. Of course, I know these are two very different characters. And with the impact Dern made in the first half hour, it seems that the final half hour it is Haden Church's turn and so does he. Jon Bernthal is used in flashbacks as he plays the late brother of one of the protagonists. John Hawkes I wish could have had more screen time, but he is sadly reduced to being a violent brute here. Far more talented actor than what he could show us here.Looking at the poster and trailer I thought actually it would be Gottsagen, LaBeouf and Johnson from beginning to end on the journey, but the first half is just Gottsagen and LeBoeuf and the two become good friends and even have a personal handshake between them. You have to go through special moments in order to deserve one as we find out. Johnson joins the group later on while all she wants initially is get the title character into safety again. But sooner or later she realizes that safety really means prison to him and at the end she fully understood, especially when she receives the information that they want to take the man to a place for junkies next. Now does that even make sense? I was surprised already that he could end up at a retirement home. The pudding painting with the escape plan is fun though. I think they did a lot right here. The boy's disability is constantly there, but it never really feels as if the film is about it at all and actually it is only about that when he brings it up himself and then it is even somewhat funny because his buddy knew anyway. In general, the characters feel credible and authentic and so do the dialogues. It was nice to watch and I never had the impression I was actually watching actors, but real people instead. The ending also offers pretty nice closure. We see that the main antagonist is about to hit one central character on the head with an iron rod and then the screen blacks out. So the filmmakers here played a bit with with us thinking if he could actually be dead, especially when we see only the other two in the car at the end, but number 3 is resting in the backseat. It was smart. They did not depict LaBeouf as somebody who is really strong physically and unrealistically beats up the bad guys, but instead he takes a beating himself. However, he will not let them humiliate his dead brother, so he sets fire. There is a bit of crime or at least negligence involved by everybody here like the act of arson I just mentioned or also Johnson's character actually letting the man get away, but you forget about that quickly because the characters are really depicted in a pretty likable manner. You feel as if you're with them really quickly and part of the group.As for the wrestling references, I never thought that the video could be really old already until we find out the school has been closed for a long time, but it does make sense too. Also the admittedly slightly unrealistic way in which the title character lifts the other guy towards the end and throws him out of the ring was kinda epic and a real nice reference back to some scenes earlier when we have the (former) professional wrestler say something like yeah that special move was just a camera effect and it wasn't even possible. However, Zak (almost the actor's real first name) shows us it is actually possible and wow the character was definitely way stronger than I thought he would be. Now that was surprising, even if he has a lot of muscle. Really funny ""You are not invited to my birthday"" quote too before he goes full rogue on him by the way. And it shows that even if you are disabled, you can fulfill really special acts, be it with the strength of your body or the strength of your mind. In general, I thought this film handled the subject of disability in a really accurate manner and stayed far away from both negative ends of the scale where it is too apologetic or too ruthless towards people like the central character. It was really nice. I somehow felt in-between maybe there will be some romance struggles because Zak could like the female protagonist as well, more than just a friend, but they did not take that path and that was probably a good decision. So a lot done right here. This is a film where it was safe to say it won't be featured (prominently) at the Academy Awards, but that is perfectly fine. I believe this does not mean it is worse than many of the actual Oscar nominees this year, actually even better than some, only that it went more under the radar. The happier I am that it succeeded nicely with other awards bodies and props to them for giving this movie some love. So should you and you can help for the film to go less under the radar this way. I recommend seeing it and give it a positive recommendation. There is definitely some nice charm to these slightly over 1.5 hours. Go for it!",The Peanut Butter Falcon
2,nogodnomasters,You'rt not invited to my birthday party,8,13 February 2020,"This is a heartwarming tale that centers around Zack (Zack Gottsagen) who has Downs Syndrome and is a ward of the state. He lives in a retirement community and desires to leave and become a professional wrestler. Saltwater Redneck (Thomas Haden Church) is his hero and has a school. With the help of Bruce Dern, Zack escapes and winds up traveling with Tyler (Shia LaBeouf) who is wanted for stealing crabs and setting a fire to crab traps. Meanwhile Dakota Johnson, who is not into anything kinky, is tasked with finding him.This is a feel good film. While it is not a comedy, it is light for the most part.Guide: F-word. No sex or nudity",The Peanut Butter Falcon
3,classicsoncall,"""I want to be a hero.""",7,7 March 2020,"Early in the picture, an elderly citizen of the retirement home (Bruce Dern), says to the story's principal character - ""Friends are the family you choose"". The rest of the picture demonstrates how that all plays out, as Zak (Zack Gottsagen), a young man with Down Syndrome, becomes a runaway to pursue his dream of becoming a professional wrestler. It appears that the story takes place in the present day, but if so, the owner of Bubba's trading post/gas stop is sorely behind the times with regular unleaded priced at a dollar nineteen, and premium at a dollar seventy five. Probably not going to get rich quick that way,Occasional flashbacks show how renegade Tyler (Shia LaBeouf) lost his older brother, as he undergoes a transition that allows him to become Zak's on the road caretaker and mentor, similar to the relationship he had with his older sibling. Tyler's personal hygiene and outgoing personality don't necessarily mesh when it comes to charming Zak's counselor Eleanor (Dakota Johnson), who makes it her mission to track down the missing youth. I didn't really see the chemistry there, but the story allows that to play out reasonably well in a fairly formulaic fashion.Before it's all over, Zak gets to meet his wrestling hero, the Salt Water Redneck (Thomas Haden Church), who retired years earlier but maintains a local connection to the back yard wrestling circuit. Hearing about Zak's dream, 'Clint' has a change of heart and decides to point the young man in the direction of his life affirming mission. Entering the wrestling ring as the Peanut Butter Falcon, Zak turns the tables on the local villain Samson (Jake the Snake Roberts) with a self improvised Atomic Throw, thus fulfilling a personal goal to become the hero he always wanted to be. Former wrestler Mick Foley also makes an appearance in the film as the wrestling referee and owner of 'Jacob's Inferno', the local wrestling hot spot. While all this was going on, I had to wonder why the role of the Salt Water Redneck wasn't cast with another pro wrestler, but Church was so good in the role it didn't really matter.",The Peanut Butter Falcon
4,BandSAboutMovies,Great!,7,14 May 2020,"This is the first film written and directed by Tyler Nilson and Michael Schwartz. It's really special. Yep - I'm going to dispense with that notion that a review has to wait to tell you how it feels about a movie until the end.It's all about Zak, a 22-year-old with Down syndrome played by an actor who also has it, Zack Gottsagen. He's living in an assisted living facility in North Carolina where he keeps escaping, hoping to find the school of his pro wrestling hero, the Salt Water Redneck (Thomas Haden Church).I love how this movie happened: The directors met Zack at a camp for disabled and non-disabled people and he expressed his desire to be a movie star. They wrote the script around him and his hopes and dreams.One night, thanks to his roommate Carl (Bruce Dern), Zak escapes and sneaks on to the fishing boat of Tyler (Shia LeBeouf), who has just been denied the ability to sell crab without a license, who he burns everyone else's boats. This sends Duncan and Ratboy, who is played by music artist Yelawolf, on his trail.Zak and Tyler become friends after a long and arduous journey as they elude the twosome, get baptized and also stay a step ahead of Zak's social worker, Eleanor (Dakota Johnson). Wrestling fans will enjoy seeing Jake Roberts and Mick Foley in major roles.This movie really made me emotional. Hopefully, you'll feel the same way. As someone who has lived a life in pro wrestling, I really understood Zak's need to perform. The idea that what exists on an old VHS tape not meaning as much today is something that we, as film fans, feel every day. I love that there was still magic, as Zak still gets a chance to have a match.",The Peanut Butter Falcon
5,CinemaSerf,Outstanding,8,23 October 2019,"I was a bit sceptical when I saw the casting for this - Shia LaBeouf trying to rehabilitate himself after his recent off-screen shenanigans with a heart-rending story about a lad with Down Syndrome? Well, how wrong was I? It is a an uplifting experience from start to finish. A brief appearance from Bruce Dern, a coating of of vaseline and away we go into a journey that sees Zak meet and travel with Tyler as they develop a bond that is truly joyful and convincing. You can tell that they both had fun making the film, the chemistry is palpable. Our family used to work closely with folks and their families coping with DS and the notion of restraining them for their own (and others' good) in institutions was never far away; this escape and subsequent adventure demonstrates, albeit fictionally, that the human spirit is alive and well in everyone. Highly recommend this film.",The Peanut Butter Falcon
6,oscaralbert,There's a horizontal scar running across the face of America . . .,10,4 September 2019,". . . commonly referred to as the ""Mason-Dixie Line"" (because the creatures living South of this slash mostly slurp from Mason Jars and Dixie Cups). THE PEANUT BUTTER FALCON deftly documents the low-lights of this deplorable backwater bailiwick, in which at least half of the occupants are differently-abled due to their parents' Medieval refusal to vaccinate and a thousand endemic Third World maladies such as the Zika Virus. As THE PEANUT BUTTER FALCON illustrates. most disputes in these better-dead-than-red states are settled with tire irons, which are wielded mercilessly against anyone with a mere smattering of smarts. Despite such brainless bopping, THE PEANUT BUTTER FALCON paints a picture of a region ripe for revolt, as Progressive proposals percolate among the South's Best and Brightest (epitomized here by the character ""Zac""). As some Old Fogeys are Hell-Bent upon retaining a 50-star flag for our U.S. Homeland, flicks such as THE PEANUT BUTTER FALCON and HOBBS-SHAW show how America cannot go wrong by substituting Samoa and Puerto Rico for a pair of uncouth Carolinas.",The Peanut Butter Falcon
7,evanston_dad,White Male Savior Fantasy,3,16 December 2019,"""The Peanut Butter Falcon"" is the worst kind of white male savior fantasy. It exists in a world where a screenwriter has things happen just because he wants them to, whether or not they're remotely believable or plausible. If the film had fully embraced a tone of fantastical whimsy, it might have all worked. But it instead opts for straight up realism, which makes the various plot developments feel lazy and stupid. And the whole thing just feels so underdeveloped, like the screenwriter came up with ideas but then didn't have the interest or the energy to fully flesh them out.Shia LeBeouf adds another obnoxious notch to his acting belt by playing a redneck loser who we're supposed to admire by the film's end because he teaches a young man with Down's Syndrome how to be a MAN. This means shunning authority, laughing at rules, and giving the middle finger to the system. That system, by the way, is represented by Dakota Johnson as the young man's caretaker. She inexplicably falls in love with LeBeouf despite the fact that he gives her absolutely no reason to, and joins him and her charge on a river raft journey in a nod to ""Huckleberry Finn"" so obvious it made my head spin. At the end of the movie, they all run off together to presumably be one big happy family, the screenplay conveniently ignoring how impossible and irresponsible this would actually be given the circumstances as they play out in the movie.""The Peanut Butter Falcon"" is full of sentiments that I suspect are the same kind that fuel Trump America. Its popularity, if movie review sites are any indication, mystify me.Grade: D",The Peanut Butter Falcon
8,morrison-dylan-fan,The falcon's peanut.,8,7 August 2021,"After a marathon viewing day watching the last magnificence shorts and feature films at the online Soho Horror Film Festival dedicated to titles by LGBT film makers,I was in the mood to end the night with a Comedy. Powering up Netflix UK,I stumbled on a Comedy that I've heard a lot of praise for,which led to me going on the road with the falcon.View on the film:Getting the role at the last minute after Ben Foster dropped out to spend time with his pregnant wife Laura Prepon, Shia LaBeouf gives an excellent,multi-layered performance as Tyler, whose drifting state in life is coiled by LaBeouf by a rather blunt line delivery of the great, thoughtful dialogue, which highlights the cold shoulder Tyler gives all who cross paths with him, which LaBeouf chips away at, as Zac builds a trust with him,that gives Tyler the confidence to lower his guard.Inspiring the making of the movie after meeting the film makers at a camp for disabled and non-disabled people,where he said that he wanted to be a movie star, Zack Gottsagen gives a magnetic turn in his feature film debut turn as Zac,with Gottsagen diving into physical Comedy exchanges with LeBeouf's Tyler with a real relish.Ignoring Eleanor (played by a sweet Dakota Johnson) demanding he return with her to the care home, Gottsagen has Zac perform a superplex on all those who say he can never achieve his dream, via Gottsagen splashing a smile of pure joy across Zac's face,as he wins a round at the end of the road.Leaving behind Zac's care home surroundings, co-writers/co-directors Michael Schwartz & Tyler Nilson make their feature film debut with a delightfully subtle, understated Road Movie atmosphere, travelling on the rural side roads with Zac and Tyler in long dolly and tracking shots glowing under natural light and a rustic score, which shimmer as the Peanut Butter Falcon scores his first victory.",The Peanut Butter Falcon
9,deloudelouvain,Heartwarming little gem.,9,20 November 2019,"After briefly reading a synopsis I didn't really know what to expect from The Peanut Butter Falcon. I was wondering if this would be a movie that I could enjoy but I'm glad I gave it a shot as it's certainly one of the better movies I watched this year, and I watch a lot of movies. It's a simple but effective story, showing us that people with down syndrome can have dreams and a fullfilling life. The chemistry and complicity between Zack Gottsagen and Shia LaBeouf looks sincere and is what makes this movie an enjoyable and emotion rich movie. I laughed a lot whilst you would think there is not much to laugh about with a serious subject like down syndrome. Zack Gottsagen did an excellent job playing his character, he made my day. Good cinematography, an excellent cast, an easy but amusing story to follow. I will definitely recommend this movie to others and I'm sure I will watch it again in the future.",The Peanut Butter Falcon
