,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,One of Kurosawa's best,9,2 August 2007,"While this movie is probably the most widely recognized film of the director Kurosawa, it isn't my personal favorite--though it's close. But considering how many wonderful films he made and how this movie sparked the Magnificent Seven films, its impact and importance can't be ignored. And I would have to say that it deserves all the attention--it's just too bad that other films like YOJIMBO, SANJURO and THE BAD SLEEP WELL just haven't gotten all the attention this film has. Actually, it['s strange that I am getting around to reviewing this film now--as I have seen it several times and thought I'd already reviewed it.The film begins in the feudal period in Japan in a small town that is being terrorized by a gang. These thugs periodically come to strip the people of what little they have as well as their dignity--much like locusts. Eventually, the gang's demands are so extreme that it appears they have no choice but to fight back when they next return--otherwise they face starvation. The problem is that these are simple peasants and they haven't got a prayer against Ronin (i.e., samurai who have no master). Eventually, townspeople get the idea to bring in some of their own Ronin to fight against the evil gang. At this point, the film concentrates on the seven men--who they are, their motivations, etc. It is here that the film really excels. In fact, probably the least exciting portion of the film is the eventual battle between the forces.An excellent character study and a film with so much to love--great acting, direction and a dandy and exciting script.",Seven Samurai
1,TheLittleSongbird,Kurasawa's best film,10,9 June 2012,"As much as I do love Ran, The Hidden Fortress and Throne of Blood, it was Seven Samurai that I love most of Akira Kurasawa's films. As with all Kurasawa's films, it is incredibly well made with authentic scenery that would give meaning to the term epic and the camera work is truly spectacular. This is especially true in the final battle, with inspired use of moving and multiple camera, precise editing, telephoto lenses and variegated film speeds. As always with Kurasawa, the direction is consistently brilliant. Add to that a stirring score from Fumio Hayasaka and a thoughtful script and you have more reasons why Seven Samurai is so good. The story unfolds slowly, but never felt dull to me and is never hampered by the three-and-a-half-hour running time. Plus Seven Samurai is interesting for being one of the first few to utilise the plot element of recruiting/gathering of heroes into a team to achieve a goal, seen especially with when the audience is first introduced Kambei. The action is spectacular and looks even better with the use of multiple cameras from various angles, and any humanity Seven Samurai has, and it does have a lot, is shown in a poignant way. The cast are excellent, with Takashi Shimura and especially Toshiro Mifune the standouts. Overall, of a resume of one of the greatest directors who ever lived, responsible for many wonderful movies(and I'd say that Seven Samurai and Ran are among the best movies ever made) Seven Samurai stands tall. One of the easiest 10/10s I've ever given. Bethany Cox",Seven Samurai
2,Leofwine_draca,"A strong, expertly-made, and influential movie",8,13 December 2016,"This Japanese samurai film from Akira Kurosawa sets up a classic action template that would inspire everything from THE MAGNIFICENT SEVEN to THE SEVEN MAGNIFICENT GLADIATORS and utilises the style of camera-work and direction that would inspire Hollywood movies till this day. Be warned, at three hours and ten minutes, this is a leisurely-paced film that takes its time to get to know the leading characters, and many fans of the type of slickly-edited, no-attention-span blockbusters that are made these days will find themselves struggling to sit through the film in one go. However, perseverance is worthwhile, because SEVEN SAMURAI is a very well made film despite the low budget. The direction and camera-work, as mentioned previously, are spot on and Kurosawa reveals himself at home both in the crisply-shot action sequences and the character-fuelled drama.Another big plus for the film is the cast, all of whom really add to the movie experience as a whole. Best of all is Takashi Shimura as Shimada, the chief samurai; taciturn yet friendly, strong yet understanding, he gives an outstanding performance. Shimada's character is off-set by Toshiro Mifune's Kikuchiyo, who has more of a scene-stealing part as a farmer's-son-turned-samurai; Mifune brings vitality and humour to the movie and, while I'm sure his gurning and frenzied comedy will not be to all tastes, he certainly ups the excitement and fun of the film whenever he's around. The supporting characters are also great, especially the stern Kyuzo and the youngster of the seven, Katsushiro.The plot is simple yet is strong enough to have been rehashed countless times. Elements of battle tactics and warfare are used sparingly but effectively, and the emotional punch is there; at the closing scenes, I felt like crying right along with Katsushiro, due to all the unnecessary bloodshed and killing that immediately preceded that moment. SEVEN SAMURAI is best experienced by watching it appreciatively; of course it looks dated nowadays, and many of the plot elements have become clichéd. Appreciating what it did to cinema in 1954, though, reveals what a strong, expertly-made and influential movie it really is.",Seven Samurai
3,SnoopyStyle,Iconic influential movie,9,10 December 2014,"It's early 16th century and Japan is in the midst of civil wars. A poor village faces constant harassment from bandits. A villager overhears that bandits are planning to come back after the harvest. After a debate, the village elder proposes to hire samurai. The villagers have little to offer. They witness heroic ronin Kambei rescue a boy. Young Katsushirō is desperate to be his disciple. Kambei reluctantly agrees to help the villagers but he determines that the defense needs at least seven samurai.This is simply one of the best movies ever. It is influential in so many other movies. The characters are funny and compelling. They are iconic in their simple characteristics. Modern audiences may find the over 3 hour running time a bit too long.",Seven Samurai
4,Hitchcoc,It Helped Define Film,10,2 September 2009,"This is a movie that makes over three hours seem like a few minutes. As with a great work of art, it appreciates on multiple viewings. This is a classic tale of an oppressed village under siege from enemies. They are plundered and attacked by murderous thieves and have little hope. Enter the good guys who aren't always seen as good guys. Yes, it is a classic plot, but there the comparison ends. The way Kurosawa frames his scenes, the action sequences, the close ups, the emotions expressed are seldom matched. This has everything: a massive spectacle with battle scenes unmatched, incredible acting by Kurosawa's stable, including his star Taoshiro Mifune. In the ""High Noon"" tradition, it has the theme that we need to help ourselves and not depend on others to help us. The Samurai, who have ruled for a long time, have fallen into disfavor and so there's a tension: Why should they fight if the villagers are only interested in keeping what is there's, even if it means constant raids and attacks. There are greater reviewers who have done justice to this film. I can only say that I am a huge fan.",Seven Samurai
5,claudio_carvalho,One of the Best Movies of Cinema History,10,2 August 2009,"In the Sixteenth Century, in Japan, a poor village is frequently looted by armed bandits losing their crop of rice. Their patriarch Grandpa advises the villagers to hire a Ronin to defend their village. Four farmers head to town to seek out their possible protectors, but they just can offer three meals of rice per day and lodging for the samurai. They succeed in hiring the warming-hearted veteran Kambei Shimada (Takashi Shimura) that advises that they need six other samurai to protect their lands. Kambei recruits the necessary five samurai and the brave jester Kikuchiyo (Toshirô Mifune) and move to the village. After a feared reception, Kambei plots a defense strategy and the samurai start training the farmers how to defend their lands and families for the battle that approaches. In order to celebrate the milestone of 4,000 reviews in IMDb, I decided to watch again ""The Seven Samurai"", the most known masterpiece of Akira Kurosawa and among my Top-10 movies ever. As far as I recall, this was the first samurai movie that I have watched and it is still my favorite despite many other excellent movies. ""The Seven Samurai"" is a perfect movie: the story and screenplay are amazing, dividing the dramatic story in the recruitment, reception, strategy, training, harvest, romance and the final battle of the samurai in such a way that the viewer does not feel the 207 minutes running time. The direction of Akira Kurosawa is perfectionist as usual, and the choreography of the battle in the rain is extremely realistic. The acting is top-notch, highlighting Toshirô Mifune in a great shape, climbing trees, jumping and fighting in the role of a funny character. The cinematography, set decoration, costumes, lighting, everything is fantastic. In 1960, John Sturges remade this masterpiece with the western ""The Magnificent Seven"". My vote is ten.Title (Brazil): ""Os 7 Samurais"" (""The 7 Samurai"")",Seven Samurai
6,classicsoncall,"""In life one finds friends in the strangest places.""",10,15 August 2014,"Apparently it took a second viewing for me to really appreciate this film. The first time around I must have been distracted to the point of being inattentive and today I'm glad I gave it another shot. What particularly struck me this time was the gorgeous cinematography, which hooks you right from the start with the menacing ride of the bandit clan upon the seemingly deserted village. Though filmed in black and white, the images are crisp and clean, elevating the result to a true work of art. In fact, the effect is hypnotic at times, and one must concentrate to stay with the story that unfolds.Thinking back on my first experience with the picture, I tried to figure out what might have prevented my viewing pleasure. Yes the film is long and there is a tendency for Kurosawa to keep the camera stationary for an inordinate length of time to establish mood and a point of view. Perhaps it also had something to do with the motion of the villagers who appear to react erratically, almost as if they were self consciously forcing their activity. Now obviously those elements have not gone away, but it's just that I saw it all in a different light with this viewing.Director Kurosawa does take his time building to the action. The entire first half of the film is used to introduce his characters and set up the framework for defending the village. When the village is finally assaulted by the marauding bandits, the samurai follow a methodical plan devised by their leader Kambei Shimada (Takashi Shimura), whereby one or two of the outlaws are allowed entry into the village while the rest are kept at bay, allowing the villagers to defeat their foes systematically and decisively. The villagers resemble a swarm of bees each time they descend on a fallen enemy.Through a diverse mix of personalities and temperaments, Kurosawa explores various character traits of the samurai, among them honor, loyalty, selflessness, courage and even humor. The comic relief offered by Kikuchiyo (Toshiro Mifune) when attempting to ride the horse for the first time came just at the right moment to break the unrelenting tension faced by the warriors. Kurosawa even delves into matters of the heart with the relationship of Katsushiro and Shino, unfavorably received by the obsessive behavior of Shino's father.All in all, I'm glad I gave this picture a second chance. ""Seven Samurai"" is a masterfully told story and a cinematic achievement, and will certainly warrant another viewing in due course.",Seven Samurai
7,gavin6942,A Truly Epic Film,8,31 March 2010,"A village has been hounded by bandits who come in to steal their rice and barley. Sick of it, they decide to hire a samurai to protect them before the next raid. Soon, the number grows to seven... and the bandits have a heck of fight on their hands.Akira Kurosawa is a master, both in writing and directing. Some have compared this film to Orson Welles' ""Citizen Kane"" for its greatness. And surely, we have seen many, many directors and films who have expressed their admiration -- sometimes in words, sometimes by imitation.The film has been said to be the first where an assembled group of men go on a mission. That may well be true. I find it even more impressive that Kurosawa was able to make such a production so relatively soon after World War II, when Japan should have been struggling with recovery. Indeed, the filming quality is not up to American standards for 1954, but he more than makes due with what he has.I really need to see the film again to get a fair assessment of it, but I enjoyed it greatly and think it needs more exposure.",Seven Samurai
8,jboothmillard,Seven Samurai,9,8 December 2010,"I read the description of this film given in the book 1001 Movies You Must See Before You Die, I was surprised to find out that it was remade into The Magnificent Seven, so naturally I wanted to see the original source, from director Akira Kurosawa. Basically, set in the 16th Century of Japan, a poor mountain village in the country is constantly being robbed, looted and made fearful by an armed gang of marauding bandits causing them to lose their rice crop. The villagers have finally had enough and decide that they need outside help to both defend themselves, and get rid of the thieves once and for all. Warm-hearted veteran samurai Kambei Shimada (BAFTA nominated Takashi Shimura) is approached by young samurai Katsushirô Okamoto (Isao Kimura)to be hired to defend the village, and he gladly accepts. Together, along with two of the town's farmers, under the advice of Kambei, they leave the village to find six other samurai warriors to protect the lands. They successfully find and recruit four skilled fighters and swordsmen, Gorōbei Katayama (Yoshio Inaba), Shichirôji (Daisuke Katô), Heihachi Hayashida (Minoru Chiaki) and Kyûzô (Seiji Miyaguchi). They had originally planned to leave with just these four men, but they spot clownish but skilled samurai Kikuchiyō Okamoto (BAFTA nominated Toshirô Mifune), and with everyone's encouragement, Katsushirô is secured as the seventh samurai. With the promise of three free meals a day the seven samurai look forward to their arrivals, but when they get back to the village with a fearful reception, but don't worry, things settle. Kambei gets to work immediately on the battle strategy against the gang of thieves, and the other samurai start training the people in the village to be ready for any incoming attack or raid. There are forty bandits in total, and the first attack gets underway, with a good amount of the opposite side being brought down, but of course there has to be a casualty. Gorōbei was shot and killed in the first attack, Kikuchiyo's friend Yohei (Bokuzen Hidari) was also killed in action, but the samurai and villagers are determined not to be beaten in the second bandit brawl. Kyûzô suffered the fate of the second attack, and the final attack finishes off the gang of thieves, with Kikuchiyō being the final samurai to meet their maker. In the end, the three surviving samurai, Kambei, Katsushirô and Shichirôji look over the villagers looking happy planting their new crop, and the graves of the other four warriors. Also starring Kamatari Fujiwara as Manzô, Yoshio Tsuchiya as Rikichi and Yoshio Kosugi as Mosuke. Being three hours and ten minutes long I was expecting to doze off and have to rewind at some point, but with great acting, the training and fight sequences, historical detail, humanism, the final battles, but also clever editing and speed techniques, this black and white is a masterpiece of foreign cinema, a brilliant classic action drama. It was nominated the Oscars for Best Art Direction-Set Decoration and Best Costume Design, and it was nominated the BAFTA for Best Film from any Source. Very good!",Seven Samurai
9,ccthemovieman-1,Not What It Is Cracked Up To Be,3,22 July 2006,"This 1954 Akiro Kuroswa-directed film has legendary status among critics. It was the forerunner for the western hit ""The Magnificent Seven.""Knowing these facts, I was anxious to see it. Wow, what a letdown! Yes, it had some nice photography but the story was way too slow-moving to sustain interest. It took FOREVER to get to the main action scene. By then, it was too late; I had lost interest. The film runs 160 minutes and can seem longer.So many of these Kurosawa films are overrated by the critics. Maybe it's not politically-correct to criticize this man's work, it's not the ""thing to do,"" so they keep telling everyone what great films like this are, hooking unsuspecting people like me into wasting my time and money on them..I wanted to like this, but I have to be honest, too. If you thinking of purchasing this, sight-unseen (especially with an expensive Criterion price) , don't say I didn't warn you.",Seven Samurai
