,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Lengthy but very impressive- Pacino makes the film as good as it is,9,13 February 2011,"Scent of a Woman may be very lengthy, but it is also a very impressive film. The film looks beautiful, Martin Brest's direction is quite excellent, the script avoids being too melodramatic or soapy it is actually quite poignant when it needs to be and the story while very loosely based on the 1974 Italian film is always believable.The acting is top-drawer. Chris O'Donnell is surprisingly impressive, I've known him to be bland before but he is quiet and understated here, and Gabrielle Anwar is lovely. But it is Al Pacino that makes the film as good as it is, he is just extraordinary. Whether tangoing with Anwar, berating O'Donnell's cowardly schoolmates or uttering his infamous laugh, Pacino whatever he's doing on screen gives one of his greatest performances.In conclusion, very impressive elevated more so by Pacino. 9/10 Bethany Cox",Scent of a Woman
1,bkoganbing,A Generation Gap Of Values,9,20 March 2008,"In Scent of a Woman Young Chris O'Donnell at the Baird Prep School on a scholarship, has to earn the money he needs for a round-trip back to Oregon to see his family at Christmas break. He takes a job posting off a bulletin board at school advertising for a companion to a blind man. The blind man turns out to be Al Pacino whose sister and her family want to unload him so they can go away for Thanksgiving.Pacino is no helpless invalid however. He's a former lieutenant colonel in the army and used to being obeyed on command. But he's facing a crisis in his life, he's just tired of being an invalid and dependent on people. O'Donnell's having a crisis too. Headmaster James Rebhorn feels he and another student, Philip Seymour Hoffman, saw an act of vandalism committed on the school grounds. It goes against O'Donnell's grain to be an informant. But these other kids, Hoffman included come from old money and can buy their way out of most things. If the ax has to fall as Pacino tells him, it's going to fall his way.The film is a touching story involving a generation gap of values that is bridged when Pacino and O'Donnell discover a genuine respect and affection for each other. Pacino's iconoclastic retired Lieutenant Colonel Frank Slade finally won for him an Oscar for Best Actor that his peers had not voted him, despite being nominated 7 previous times in both the lead and supporting categories. In fact that same year Pacino was also up in the Supporting Actor category for Glengarry Glen Ross.Chris O'Donnell had a breakout performance as the young preppie who has far more integrity than his richer and more privileged classmates. And Philip Seymour Hoffman is great as the kid who rats under the financial umbrella of daddy's millions.Scent of a Woman is a great part for Al Pacino, not my favorite role for him. That one for me is ....And Justice For All. Still this award like the one given to Paul Newman for The Color of Money is more for Pacino's lifetime of artistic achievement in the cinema. And that's one artistic life anyone could envy.",Scent of a Woman
2,SnoopyStyle,some memorable iconic moments,6,15 February 2016,"Charlie Simms (Chris O'Donnell) is a poor scholarship student attending an exclusive prep school filled with wealthy kids. He takes a job babysitting angry blind hard-drinking retired Army Ranger Lieutenant Colonel Frank Slade (Al Pacino) over the Thanksgiving weekend. He needs the money to go home to Oregon for Christmas. He witnesses with George Willis, Jr. (Philip Seymour Hoffman) a prank being prepared by some students on Dean Trask (James Rebhorn). Trask pushes Charlie for the names promising to expel them both at a special assembly. Trask also promises a guarantee admission to Harvard for Charlie. Frank convinces Charlie to go on a trip to NYC. Finally Frank reveals his plan to have a blow out and then kill himself.I am not a Chris O'Donnell fan during his early years. He is too weak and too bland. I hate it when movies make him the lead. He's not compelling enough to be the lead. Al Pacino is acting big and overshadows everything. His antics leave the movie with some very memorable iconic moments. I just don't care enough about the limp weak Charlie. The movie is also too long by half hour or more.",Scent of a Woman
3,kosmasp,Al taking it to a whole new level,9,18 April 2018,"Al Pacino does not even need all the senses to make us feel great. Seriously though while the movie itself might have been rated an 7 or 8, Pacino makes it really worth while. And while a young Phillip Seymour Hoffman is also a sight to be seen (I did imagine him playing the second lead a couple of times and it might have elevated this movie too), it's Chris O'Donell and his babyface and innocence we get served here.And his performance is good too, playing the gullible pupil to Als mentor and teacher. But of course there is so much more to it. Even if the life lesson might feel a bit too ""preachy"" and even if some reactions by Chris may not be as subtle as you wish they were, this really is gripping and when Al starts to talk .. every bet is off. This could be used as masterclass in acting, not that it's something new when it comes to Al. There is some swearing (if you mind) and there are also some flaws - which can be overlooked easily in the presence of greatness ...",Scent of a Woman
4,classicsoncall,"""Say hello to the potluck party from New York City!""",9,30 September 2018,"There's not too much doubt Al Pacino earned his Best Actor award against some pretty stiff competition. His portrayal of Lieutenant Colonel Frank Slade requires him to be cynical, ill tempered, spontaneous and overbearing, and he pulls it off with animal intensity. Personally, I don't think I would have hung around too long after an initial introduction to the Colonel. Not that I couldn't take it, but why willingly put up with the abuse? Charlie Simms (Chris O'Donnell) needed the money, so I guess you can't blame him there, but he sure did have to earn it.It's kind of difficult to know if Charlie made the right decision on not ratting out his merry prankster classmates. Slade's impassioned speech at the disciplinary hearing made it sound all right and good, but I kind of wonder if Charlie wouldn't have shown another kind of integrity in upholding the honor of the school. Tough call there, and in a way, he made it through without violating anyone's trust, but the path was greased by George Willis (Phillip Seymour Hoffman) getting grilled first. His old man's big bucks never really got a chance to help him.The story's narrative weaves in and out of the title's puzzling riddle, as the blind Colonel Slade's heightened senses take over in identifying and characterizing the women he meets. The tango scene in the movie was my favorite, eliciting applause from the bystanders who witnessed Slade's confident movements on the dance floor. What works against the film's credibility was that insane Ferrari ride through the streets of New York City at seventy five miles an hour, all without a hitch while proclaiming loudly that something like that would have been entirely impossible. Heck, even Dustin Hoffman got blindsided by a taxi on a closed off city street for a scene in ""Midnight Cowboy"". And he wasn't blind!",Scent of a Woman
5,lee_eisenberg,"Nowadays, it's hard to believe that this was directed by the same guy who did ""Gigli"".",8,11 October 2005,"After twenty years as an A-list star, Al Pacino took home an Oscar for his role in ""Scent of a Woman"". He plays blind Lt. Col. Frank Slade, who talks like he's ready to tear your throat apart, but has a heart of gold. Sound like a cliché? Well it's not. ""Scent of a Woman"" succeeds where so many movies have failed, probably because Al Pacino is in the lead role (almost anyone else very likely would have turned the character into a maudlin dweeb).Anyway, the story has college student Charlie Sims (Chris O'Donnell) agreeing to be a caretaker for Col. Slade, and the colonel takes Charlie on an adventure that he'll never forget. Along the way, a rather unusual event happens at Charlie's college (that scene will most likely make you at least giggle if not break out into laughter), and the colonel sees no choice but to get involved.Among other things, this movie has a number of people who weren't yet famous but would make their marks in later years: Philip Seymour Hoffman as Charlie's friend George, James Rebhorn as the dean, and even Frances Conroy several years before ""Six Feet Under"". ""Scent of a Woman"" is like a breath of fresh air in the stench of so many lousy movies. Which brings us to the question: why did director Martin Brest have to direct that god-awful ""Gigli""?",Scent of a Woman
6,jboothmillard,Scent of a Woman,8,12 May 2009,"From Oscar nominated director Martin Brest (Beverly Hills Cop, Meet Joe Black), I had heard and seen bits and pieces of this film and the lead actor, I just had to see it. Basically Charlie Simms (Golden Globe nominated Chris O'Donnell) attending Baird School, and classmate George Willis, Jr. (young Philip Seymour Hoffman) are witnesses to a prank on headmaster Mr. Trask (Independence Day's James Rebhorn), who secretly bribes Charlie for the culprits identities. Charlie, yearning for money to return to his family in Oregon, has accepted a job looking after blind, eccentric and retired U.S. Army Lieutenant Colonel Frank Slade (Oscar and Golden Globe winning Al Pacino) over the Thanksgiving weekend. Slade however plans a trip to New York, to supple all the pleasures, such as luxury hotel comfort, fine eating and drinking (wines), dancing, an escort, and after all this he plans to ""blow his brains out"". Over the time they spend together, Charlie sees what an interesting character Frank is, but of course it is when he is holding a gun that his conscience truly comes to a head. Thankfully Frank doesn't commit suicide, and they both return to New Hampshire, where Charlie faces his courtroom style assembly to find and punish the prank culprits. Frank surprisingly shows up, in place of Charlie's parents, and he shouts his opinions of all events Charlie has explained to him, and Frank manages to get him off the hook. Also starring Gabrielle Anwar as Donna, Richard Venture as W.R. Slade, Bradley Whitford as Randy, Ron Eldard as Officer Gore, Frances Conroy as Christine Downes, Sally Murphy as Karen Rossi and Nicholas Sadler as Harry Havemeyer. It may be almost two and half hors long, but I can't imagine any of the material being taken out. O'Donnell is very good as the unworldly teenage escort, but it is of course Pacino that steals the entire film with his brilliant eccentricity, avoiding too much sentimentality, he thoroughly deserved his Academy Award. His finest moments include recognising womens' perfumes (as the title suggests), the tango dance with Anwar, driving a rented Ferrari at high speed with a terrified O'Donnell, obviously the assembly, and every time he barks his famous ""hoo-ha"" cough. It was nominated the Oscars for Best Picture and Best Writing, Screenplay Based on Material from Another Medium, it was nominated the BAFTA for Best Adapted Screenplay, and it won the Golden Globes for Best Motion Picture - Drama and Best Screenplay. Al Pacino was number 1 on The 100 Greatest Movie Stars, he was number 26 on The 100 Greatest Pop Culture Icons, and he was number 5 (along with Robert De Niro) on The World's Greatest Actor. Very good!",Scent of a Woman
7,ccthemovieman-1,A Speech Everyone Likes,7,21 July 2006,"This was a different type of story with excellent acting by Al Pacino, who makes a speech at the end of the film that many people think is one of the coolest speeches they've ever heard on film.Pacino's character, ""Lt. Cl. Frank Slade,"" is a turnoff for awhile because he's so gruff, but he grows on you and becomes fascinating to watch as a blind man who doesn't act like a blind man. Chris O'Donnell, as ""Charlie Simms,"" plays the opposite: a nice, young college kid whom Pacino winds up taking under wing. The only part I didn't care for was the beginning with Charlie's obnoxious friends, but that ties in later with Pacino's memorable speech.A different kind of story, marred only by a little too much profanity. If you haven't seen it, I recommend checking it out. You'll enjoy it",Scent of a Woman
8,rmax304823,I Got A Loaded .45 Here -- You Got Pimples.,7,14 December 2011,"It's hokey and predictable but I enjoyed it. You need a feel good movie once in a while. It's cheaper than Xanax.Pacino won an Oscor for his portrayal of a blind and hopeless retired Army colonel, intent on one last expensive fling in New York before offing himself, and he deserved it. Unlike some other actors of his age who showed equal skill in their careers -- Jack Nicholson, for instance -- he hasn't settled into a well-worn and familiar groove. He seems to bring something a little fresh to every role. I think he was nominated seven times for an Academy Award before finally getting this one, for whatever such an award is worth.His best-known scene is the tango he does in the ballroom of the Pierre Hotel with Gabriel Anwar. She's had dance training but you couldn't tell from this scene. Pacino isn't much of a dancer but he doesn't have to be. Like the other guests in the room, Anwar and Pacino are swept up in the dramatic rhythm of the Argentine tune, which I think is called ""Por una cabeza,"" something about a horse race. Anyone who wants to see the dance done expertly, which is quite a sight, should check out Carlos Saura's ""Tango."" Gabriel Anwar is beautiful, elegant, exotic -- and she can act too. It's a small but memorable role and a rather complicated one, but she manages it exquisitely. It's the kind of part for which Jane Alexander won a Supporting Actress award for ""All the President's Men."" Too bad Anwar didn't get more prominence on the screen.The story itself -- preppie in a quandary takes a temporary job as Pacino's guide on his last fling -- is corny and familiar. If it had been made anywhere outside of Hollywood Pacino might have succeeded in blowing his brains out in the Waldorf Astoria. As it is, he is rescued and restored to his spiritual life by Chris O'Donnell as the troubled preppie.Back at the prestigious prep school, in an anticlimax, Pacino gets to save O'Donnell's hide by making the kind of unrelentingly brutal and honest speech about the meaning of ""honor"" that is usually reserved for the summations of heroic defense counsels. He bellows and waves his hands. The student body gives him a standing ovation and the stern headmaster, James Rebhorn, slumps in frustration. I felt a little sorry for Rebhorn. After all, it was he and his shiny new car that were under the giant balloon full of white paint when it was popped. He hadn't done anything to deserve it, and it was a trick dirty enough to pee off the Pope.O'Donnell hasn't been seen that much since this movie was released. He's the perfect prep school kid though. He looks just right, and wardrobe has given him a big help. And his voice has the high, piping quality of a boy just out of adolescence. As his, squeamish friend, Philip Seymoure Hoffman is inventive, if at times obvious. He's become a fine actor though.In the most tense scene, Pacino dons his dress uniform preparatory to shooting himself. It's a Lieutenant Colonel's uniform. I have a suggestion for the United States Army. Stop handing out so many campaign ribbons, badges, medals, name plates, and the other junk that festoons his chest. It's beginning to look a little Latin American, fellas.",Scent of a Woman
9,moonspinner55,Overcharged...,4,18 February 2007,"Prep school lad takes weekend job looking after blind, hard-bitten former Army colonel, who is on a personal mission of self-destruction. Adapted from the Giovanni Arpino novel and 1974 Italian film ""Profumo Di Donna"", this overlong picture directed by Martin Brest is unrestrained, overreaching and ham-fisted. Filmed in autumnal colors (brackish reds and browns), it doesn't even look good. Oscar winner Al Pacino chews the scenery in inelegant fashion--there are few real highlights to his performance because Brest encourages Pacino to treat every scene as a show shopper. Chris O'Donnell is easier to take as his teenage charge, yet the screenplay is obnoxious and continually prods us for a response with 'darkly comic' histrionics. *1/2 from ****",Scent of a Woman
