,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,A horrible movie,5,28 January 2014,"Ever watch a movie that you wish you could un-watch afterwards? That's the case with this needless remake of I SPIT ON YOUR GRAVE, which is just a horrible, mean-spirited and vicious movie all around. Admittedly the film starts off well on a subtle level, but by the time of the protracted rape sequence I was ready to turn it off. Then the second half features some torture porn-style revenge which leaves an equally foul taste in the mouth.It's hard to know why this film was made, except to shock. The production values are actually pretty decent, and it's also fairly hard to fault the acting of the small cast, all of whom are giving worthwhile performances. The various bloodthirsty special effects are all realistic, and the direction is passable. But the subject matter is so hostile, so obscene, so disturbing, that I can't imagine anyone procuring entertainment value from such a movie. Once watched I was glad to get rid of it.",I Spit on Your Grave
1,SnoopyStyle,I rather follow the girl after the escape,5,2 December 2014,"Jennifer Hills (Sarah Butler) rents an isolated cabin from Earl (Tracey Walter) to spends some quiet time writing her novel. At the gas station, she catches the attention of Johnny Miller (Jeff Branson) and his two friends Stanley (Daniel Franzese) and Andy (Rodney Eastman). Stanley stalks Jennifer with his camera. Mentally challenged Matthew (Chad Lindberg) comes to fix her toilet. The three guys grab Matthew along to rape her. She manages to escape and find safety with Sheriff Storch (Andrew Howard) but it's only the beginning.This starts out competently as a formulaic slasher movie. The rape scene is harsh especially with the cop. It's a disturbing reasonable start for a shock horror. The guys could be more threatening but they are more like frat boys instead of Deliverance. I didn't really like the cop's 'plan'. It has too many loose ends right from the start. I really don't like what happens after Jennifer escapes. I rather follow her than the men. It becomes a bunch of nothing special torture kills. The movie could have done a twist like Matthew taking on Jennifer's persona or if it's actually Jennifer's ghost. I'm fine that neither was used but then I want to see how Jennifer in the woods prepare her revenge. That's way more interesting to me then the idiot guys.",I Spit on Your Grave
2,claudio_carvalho,Deadly Revenge,4,14 August 2011,"The writer Jennifer Hills (Sarah Butler) rents an isolated lakeside cabin in the woods of the peaceful Mockingbird Trail for two months to write a novel. Two days later, she is brutally gang raped by three local bigoted rednecks from a gas station, the sheriff and one retarded handyman. Jennifer vanishes and is presumed dead; however she returns later to revenge against the rapists.""I Spit on Your Grave"" is a poor remake of the brutal 1978 cult ""Day of the Woman"". The original film is extremely realistic and violent; therefore the simple and scary story is absolutely credible. The unknown Camille Keaton has an amazing performance, especially in the impressive long sequence when she is repeatedly beaten and raped, giving the sensation that she is really raped in the filming.This remake is also brutal, but cannot be compared with the original film. The modifications do not develop characters and situations like in the ""Day of the Woman"" and introduce a deranged sheriff. I do not understand why someone could produce and direct a remake of such violent and sick story of rape and revenge. My vote is four.Title (Brazil): ""Doce Vingança"" (""Sweet Revenge"")",I Spit on Your Grave
3,nogodnomasters,OVERRATED REVENGE REMAKE,5,8 May 2019,"This is a remake of the old 1980's rape genre films for sick people. The plots are basically the same. A woman is raped. Woman gets revenge. Sometimes it is an abduction or a home invasion, or in this case, a woman is taken in her cabin by a bunch of rednecks. As compared to the original, the nudity was less in the remake and the rape scene less graphic. There I said it.Oh yes, the characters are more developed and the torture inflicted by the woman is a tad better, but is that why people watch rape films, for character? The same could be said for the remake of ""Last House on the Left,"" they watered down the rape and nudity. I can't believe with all these silicon soft core stars, they could not have picked something with more eye candy for the starring role instead of someone who can act.Decent folks will want to stay away from this movie. Sickos would be better off with the original or a David Hess film festival.",I Spit on Your Grave
4,kosmasp,Holding back/together,5,7 November 2010,"I have not seen the Original movie, so I cannot comment how true it is to that. But it does not pull any punches (or anything else for that matter, forgive the pun). The movie does work for it's actors. For the viewer to go through such an ordeal the actors have to be convincing and really good. And though I do not like to watch the things happening in here (especially if a movie is advertised sensationally and almost seems to exist for the sole purpose to ""entertain"" us with disgusting things) the main actress (though she has not been in many things) and Andrew Garfield carry the movie.There are character beats and illogical things, such as almost the complete end. Let's say that some things should have been better thought of. But then again, with a movie like this, it's not so much about thinking, but about reacting and bringing forth primal instincts (on both sides). Of course it does not get philosophical, but it does have that edge, if you wanna see it.",I Spit on Your Grave
5,Sleepin_Dragon,Beats the original.,8,20 May 2019,"It's not often that I'll favourably compare a remake to the original, but in this instance, I must. I thought the original was a pretty bad film, undoubtedly shocking, and deserving of its infamous name, but the remake I feel captures the essence of the revenge, and desperation of the victim to get her own back.It is of course shocking, and at times is quite sickening to watch, there were plenty of moments when I had to look away, but you can't help but feel a sense of justice as the tables get turned.Very nicely produced, and well acted. A remake I know, but worthy of being deemed something of a horror classic, one to give you a fear of Ravens for life. 8/10",I Spit on Your Grave
6,gavin6942,"A Weak, Toothless Remake of a Cult Classic",6,11 January 2011,"A young woman goes to a cabin in the woods in order to write a novel. Unfortunately, the locals do not think highly of young, unprotected women and she soon becomes their victim. Is this the end, or only just the beginning? Some have praised this version of ""I Spit on Your Grave"" as superior to Meir Zarchi's original film. I could not disagree more. This version is weak, far less stunning, and borders on the ""torture porn"" trend of the last decade that I thought -- incorrectly, apparently -- was dying.Some changes were made, such as updating technology and adding in a police man. But it was a very cliché addition, and the only aspect that makes it an improvement at all is because the officer has a daughter. The rest of it is just one-dimensional fluff.The nudity and rape scenes are toned down dramatically. Some have said the original pushed it too far, but that was the point: violence is not real when it is entertainment. It should horrify, shock and sicken you. This film shortens and weakened the rape sequences, making it more of a gimmick than a real shocker.From there, the film becomes ""torture porn"" -- how can we burn, chop, mutilate the men as badly as possible? It far exceeds the first film. And unlike the original's use of sex to lure the men to their doom (a clever turnaround), here it is just raw violence.I suppose the sound and picture quality are improved due to a decent budget and modern technology, but it is just a disposable film. I will go on pretending the remake never happened, because it is the ultimate disappointment. One more weak plot with weak characters, a remake that does not honor the original in any way or try to improve upon it.",I Spit on Your Grave
7,jboothmillard,I Spit on Your Grave,5,18 February 2011,"The 1978 controversial cult classic seemingly straight to video original is okay, I had a feeling that this remake would be terrible and a waste of time, but I was actually pleasantly surprised. Basically Jennifer Hill (Sarah Butler) has rented a cabin in the woods, somewhere in the deep south, in order to write a new novel, and on the way she encounters three guys while asking for directions at the gas station. She arrives at the cabin, and gets started on her new novel, she hears strange noises in the night, and then she is forced to get handyman Matthew (Chad Lindberg), a simple and quite retarded individual, to fix her plumbing. Then the next night she gets a visit from the three guys at the gas station, Johnny (Jeff Branson), Stanley (Daniel Franzese) and Andy (Rodney Eastman), and of course Matthew who told them about her, it is obvious that he may fancy her, and slowly they try to take advantage. They start assaulting her, and she manages to smash one of them on the head and run out, bumping into police sheriff Storch (Andrew Howard), but it turns out he is in on this attack on her as well. While Matthew refuses to have sex with her when they rip her clothes off, one by one they take advantage and rape her instead, until eventually Matthew does his business too. Limping away they planned to shoot Jennifer dead, but she instead jumps off the edge of the bridge falling into the water, but there is no sign of a body, they assume she is dead from drowning. A month or so later however their evil actions come back to haunt them, she is still alive, having lived on, apparently, eating bugs and stuff, and she is playing mind games on them, including giving them the tape from the camera one of them filmed the rape on. Matthew however is the first to actually see Jennifer, and knowing she is enraged he sobs for forgiveness, she plays like she is accepting it, but all she does is drag him with a rope by the neck, choking him. Next, Stanley steps into a bear trap, is tied with tape to a tree and has his eye lids forced open by fish hooks in them, so that he can be killed by having his eyes pecked out by birds. Then, Jennifer knocks Andy out with a baseball bat, ties him with some boards above a bath tub filling with water, for which she puts some lye, an acid like liquid, in it, and removing the board supporting his head he slowly dunks his head in and out, melting his face off. Group leader Johnny is next victim, he is also knocked out, strung up naked in a room with a ball gag in his mouth, she pulls his teeth out (as he was keen on her's), before finally getting some shears (hedge clippers) to cut off his cock, and let him bleed to death. Lastly, the sheriff, who has a pregnant wife and young daughter, is the final one to face the revenge of Jennifer, he is tied up with a shotgun rammed up his arse, and the trigger activated by the movement of a still living but unconscious Matthew will fire it, killing them both, it does and it ends with Jennifer evilly smirking. Also starring Tracey Walter as Earl and Mollie Milligan as Mrs. Storch. Butler is acting much more than the low budget version's original actress, and the actors playing the rapists do their parts well also, I was quite impressed by how much more violent this version was. If you've seen Saw or Hostel you'll be aware of the similar ""torture porn"" quality, people who have seen the original and the critics may not agree, but I personally say that this is actually a much more improved film, a good horror. Worth watching!",I Spit on Your Grave
8,BA_Harrison,A bold remake.,8,9 May 2011,"For years, a remake of I Spit On Your Grave was virtually unthinkable, such was the moral majority's revulsion at the original's harrowing rape scenes and brutal acts of revenge (Roger Ebert called the film 'an expression of the most diseased and perverted darker human natures'). The 21st century, however, has not only seen horror movie-makers successfully pushing the boundaries of the genre further than ever before, but also remaking virtually every classic horror movie of the 70s and 80s in the process. With the equally controversial rape/revenge classic The Last House On the Left' getting the remake treatment in 2009, it was only a matter of time before 'I Spit' followed suit...Directed by Steven R. Monroe, who must possess a set of brass balls the size of Jupiter to tackle such a project, and starring the equally courageous actress Sarah Butler, whose demanding role requires her to get naked from the waist down in order to suffer her gruelling on-screen ordeal, I Spit On Your Grave (2010) is an intense, raw and uncompromising experience that goes all out to surpass the nastiness of the original, and which often succeeds in doing so.Certainly, as far as the bloodthirsty acts of revenge are concerned, this version is much harsher: with a shed full of wickedly sharp tools and corrosive substances at her disposal, Butler's character, novelist Jennifer Hills, can get very creative in order to get even, and once she lays her hands on a shotgun... well, you'll have to watch to find out, but take it from me, it ain't pleasant!!! This effective remake also benefits from a thoughtful, well written script that expands on the original's basic story, adding a cool new character in the form of a scurrilous hick sheriff, whilst doing away with some of the original's more questionable aspects, most notably Jennifer's seduction of her attackers.I rate 'I Spit On Your Grave' (2010) a very respectable 8/10, which is the same as I gave the 1978 version; that said, if I HAD to choose between the two, I would go for the original, because of its genuinely gritty 70s vibe, its more harrowing rape sequence (Camille Keaton's torment goes on for what seems like an eternity), but most of all for simply being such an iconic piece of exploitation cinema (oh, and the full colour 1978 poster is better too!).",I Spit on Your Grave
9,paul_haakonsen,Wonderfully brutal and straight to the point...,8,18 September 2011,"I recall having seen the 1978 version a long, long time ago, but must confess that I can only recall parts of the movie. So I decided to give this 2010 remake version a go, without having any hopes or expectations to it.Wow! This movie was wicked. And in more than just one way. The story was compelling, even though it was twisted and perverse. But the movie just sweeps you up and takes you along for a ride, and you want to stick around and see what happens next. Basically, the story is about a young writer named Jennifer, who goes to a small town to write, and she is assaulted and tormented by a group of locals. Leaving her for dead, Jennifer comes back and takes revenge on those who wronged her.The ""I Spit On Your Grave"" 2010 remake had me nailed to the chair, especially because it was so brutal. This movie is definitely not for the faint hearted or for those easily offended. I was cringing several times throughout the movie and was curling in the chair in phantom pains as well. The way the brutal scenes were executed and portrayed was just off the charts. It was in a weird way, perfect brutality caught on film. Sounds bad to say, I know, but trust me, watch the movie and you will know what I am talking about. It was like you were right there in the movie yourself.Most of the people cast for the movie was new faces for me, I think I only recognized a single face, and he didn't even have a big role, that being Tracey Walter (playing Earl). Sarah Butler did a good job with the role of Jennifer, and she really came off quite believable. And credit is due the guys playing the tormentors as well, because they did good job with their roles as well (despite it being the roles of perverse deviants).""I Spit On Your Grave"" really surprised me and left me wanting for more. I actually want to sit down and watch the 1978 movie again to freshen up my memory of that version and compare it to this 2010 version.Normally I am not keen on Hollywood remakes of older movies, but this one really hit the nail straight on the head, and as the nail tore through the flesh, you will cringe, groan and want for more.There wasn't much music throughout the movie, or perhaps I just failed to notice it, because I was so caught up in the movie. But ""I Spit On Your Grave"" doesn't really need a hyped up score to work, because the story is selling (and telling) itself.The effects in the movie were good as well, though there wasn't an extraordinary amount of effects. But the effects that were used worked superbly and were straight to the point, showing and telling what needed to be portrayed. The movie has just the right amount of blood, guts and gore without turning into a splatterfest.If you haven't already gotten around to seeing this 2010 remake, then get yourself into gear and sit down to watch it. You will be in for quite an experience. But be warned; this movie is brutal. ""I Spit On Your Grave"" is definitely a movie that I will be popping into the DVD player again sometime in the future. It was wickedly awesome!",I Spit on Your Grave
