,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Really not very funny,4,7 May 2018,"I could swear that a few years ago Steven Soderbergh retired from the movies but here he is making them again. LOGAN LUCKY is a light-hearted crime comedy in much the same vein as OCEAN'S ELEVEN, although lacking that film's likeable, ensemble cast. Here we have a couple of lunk-headed brothers in the form of a limited Channing Tatum and an overrated Adam Driver who decide to carry out a heist during a Nascar race. Aiding them is an almost unrecognisable Daniel Craig as a quirky convict who has to be broken out of prison to help with the safecracking. Craig seems to be having more fun than he does in his Bond performances. The film is light on sense and heavy on humour, but I'm afraid I didn't find it very funny at all; Seth MacFarlane, for instance, is entirely unbelievable and annoying as the British racing driver.",Logan Lucky
1,SnoopyStyle,the southern Ocean,6,1 March 2018,"Jimmy Logan (Channing Tatum) is a former football star with a bum leg. He loses his construction job at the Charlotte Motor Speedway. His wealthy ex-wife threatens to move out of state taking their daughter with her. With his sister Mellie (Riley Keough) and one-handed Iraq-vet brother Clyde (Adam Driver), he devises a plan to rob the Speedway during a hectic race. They recruit explosive expert Joe Bang (Daniel Craig) despite him being locked up in prison. There are also Joe's idiot hillbilly tech brothers Sam and Fish.This is a fun little caper. Director Steven Soderbergh delivers every bit of white trash joy. The problem for me is that I don't believe in these characters. I don't know if anybody is from the south but certainly, 007 is no southerner. It's a wacky time in the vain of his Ocean movies. I kept seeing a platinum blonde James Bond which pulled me out of the movie. I wonder if Soderbergh didn't have to force his southern origins. I like the caper until the twist on the caper. Those surprise twist often comes in these movies but this one has a lot of conveniences. Overall, there are loads of light fun if one is willing.",Logan Lucky
2,Horst_In_Translation,A fun watch for the most part,6,9 October 2017,"""Logan Lucky"" is a new American film from 2017 and the most recent work by director Steven Soderbergh and with works like this we can be glad he did not actually retire as he intended a while ago. The screenplay is by Rebecca Blunt and it is actually her very first writing credit, so a really huge project to start off your career. It runs for almost 120 minutes and tells the story of two brothers planning and executing a heist while people pay attention to a nearby car race. There are many well-known actors in here. Tatum and Driver play the central characters while the supporting cast is also star-studded: Holmes, MacFarlane, 2-time Oscar winner Swank and Daniel Craig with platinum blonde hair. The latter was of course great fun for me as I am a big Bond fan and you really don't get to see Craig a lot outside the franchise. And ""fun"" is also what this film is really all about. It does not offer any truly great performances or deep and sophisticated character writing, but it is a truly entertaining adventure from start to finish. You will need a little while to understand and remember who is who as there are really many characters part of the story here, but once you made this connection, it becomes a really rewarding watch.Well perhaps there is a weakness here and there and the whole concept is not too realistic and probably nothing that could have actually happened like that in real life, but that does not take away one bit from the fun factor. It's most likely a film that will not find any slots during the most crucial awards ceremonies, but it is highly enjoyable and sometimes that's worth even more. A colorful, fast and often witty work that succeeds thanks to the likability of the characters in it. Almost everything was done right here and I think with the Coens in charge, this could have been one of the year's best as the story and approach would really fit their style. The way it actually turned out it was ""only"" a good movie, but definitely a highly promising rookie effort by Blunt that certainly makes me curious about her future projects. 2 hours certainly worth seeing. Go for it.",Logan Lucky
3,Prismark10,Racing to the vault,6,4 December 2017,"Logan Lucky by Steven Soderbergh is the flip side to his Ocean 11 trilogy that tended to get smugger with each new sequel.We follow the Logans, Jimmy (Channing Tatum) his one armed bartender brother Clyde (Adam Driver) and their sister Mellie (Riley Keough.) The family is notorious for being dogged by bad luck.Jimmy loses his job at a mine underneath a race track. He plans to rob the huge money vault located underground which collects all the takings during a NASCAR race.Jimmy needs the help of explosive expert Joe Bang (Daniel Craig) who is locked up and needs breaking out of jail and then put back in.Everyone with their southern drawls rather hoodwinks the audience that the Logans are not up to the heist or properly thought it through. The film is fun, actually rather clever but also a bit slow and laboured. I guess it is hard to take some of the characters too seriously but it is an enjoyable popcorn film.",Logan Lucky
4,kosmasp,Do you feel lucky ... Logan? Well do you?,8,27 October 2017,"I'm not trying to compare this with Dirty Harry in any way, I'm just playing with the words the title is giving us. And of course that applies to the movie in a sense too. I understand if people might go predictable and convenient on a couple of things. But the movie still has a lot of twists and turns along the way, to make it interesting.We have Channing Tatum who does carry this movie quite well, though he is helped a lot by the supporting cast around him. If you like caper movies and the thrill of them, this is one movie you will be interested in. If it depends on how this ends, you have to look at other reviews who may spoil this. I won't do that and let you find out ... I think they chose the right way to go ...",Logan Lucky
5,jboothmillard,Logan Lucky,5,13 December 2020,"I saw the trailer for this movie in the cinema, I didn't even realise that director Steven Soderbergh Sex, Lies, and Videotape, Erin Brockovich, Traffic, Ocean's Eleven) came out of retirement, intending Behind the Candelabra to be his final film, I hoped I would like it. Basically, in West Virginia, Jimmy Logan (Channing Tatum) is laid off from his construction job in the tunnels underneath the Charlotte Motor Speedway. He has a daughter, Sadie (Farrah Mackenzie), who he is really close to, she lives with her mother, Bobbie Jo (Katie Holmes), and new rich husband, Moody (David Denman). One night, Jimmy visits is brother, Clyde (Adam Driver), who lost his lower arm fighting in Iraq, at the bar he works as a bartender. At the bar, pretentious NASCAR-team owner Max Chilblain (Seth MacFarlane) makes fun of Clyde's disability; Jimmy gets into a fight with him, while Clyde sets fire to his car. The next day, Jimmy tells Clyde that he plans to rob the Speedway, exploiting his knowledge of its underground pneumatic tube system for moving its vast amount of money. Clyde and Jimmy recruit their sister Mellie (Riley Keough), incarcerated safe-cracker and explosives expert Joe Bang (Daniel Craig), and Joe's dim-witted brothers, Sam (Brian Gleeson, Brendan's son) and Fish (Jack Quaid, son of Dennis Quaid and Meg Ryan). They plan to break Joe out of prison and return him later the same day. Clyde intentionally gets himself sent to prison on a minor charge. With the help of a woman working at the vault, Mellie, Sam, and Fish infest the Speedway's tube system with painted cockroaches, determining which tubes go to the vault. While gathering supplies, Jimmy meets former schoolmate Sylvia Harrison (Katherine Waterston), she runs a mobile clinic which needs donations. Jimmy learns that construction at the speedway is being completed ahead of schedule, during the big and busier race on Memorial Day weekend, they are forced to mount the heist a week earlier. Joe arranges for fellow inmates to stage a riot, resulting in a lockdown, hiding his and Clyde's escape. Mellie meets them in a Ford Shelby GT350 stolen from Moody. At the speedway, Sam and Fish blow up a generator to disable the credit card machines, forcing vendors to take cash only. Clyde, Jimmy, and Joe enter the tube room, and Joe uses an improvised explosive device to blow open the gate from the tube to the vault. They connect the tube to a giant vacuum pump and suck up all the cash into garbage bags. Security guards investigate smoke from the explosion coming through the vents, but are diverted by Earl (Charles Halford), a customer at Clyde's bar. Jimmy accidentally reverses the direction of the vacuum, sucking Clyde's prosthetic arm into the machine. Sam and Fish get the money out and into Jimmy's truck. On his way out, Clyde is recognised by Chilblain and is forced to knock him out. Clyde and Joe manage to sneak back into the prison disguised as firefighters. Jimmy makes it to his daughter's beauty pageant just in time to see her perform his favourite song, ""Take Me Home, Country Roads"" by John Denver. Jimmy then abandons the money and anonymously informs the police of its location. The heist, dubbed ""Ocean's Seven-Eleven"" by the press, is investigated by FBI special agent Sarah Grayson (Hilary Swank). She suspects Jimmy, Clyde, and Joe, but has no substantial evidence. Due to the unwillingness of Warden Burns (Dwight Yoakam) to report the prison riot, Chilblain's seemingly false eyewitness account, NASCAR driver Dayton White (Sebastian Stan) being high on energy drinks, and the speedway president being satisfied with the money's recovery and insurance settlement, the case is closed after six months. Joe is released from prison and returns home; he is surprised to find a garbage bag of money buried in his yard. Sylvia receives an anonymous donation for her clinic, and the inmate who orchestrated the riot receives an envelope of cash when he is released. It is revealed that Jimmy had filled extra trash bags during the heist, which he hid at the dump to retrieve later. Jimmy gets a job working in a store and buys a house near his daughter and ex-wife's home, he happily reunites with everyone at Clyde's bar. Grayson is continuing the investigation, and enters the bar working undercover to keep an eye on Jimmy, Clyde, and Joe. Also starring Jim O'Heir as Cal, Macon Blair as Special Agent Brad Noonan, and LeAnn Rimes as herself. Tatum is perhaps questionable but reasonable as the lead, Driver is good, and Craig is likeable as he puts on an American accent and looks like he's having fun. This caper has some amusing moments, with prison and NASCAR scenes that add to it a little as well, the script is made up of one-liners, and it gets your attention at the right moments, an alright crime comedy. Worth watching!",Logan Lucky
6,paul_haakonsen,"Interesting concept, but slow storytelling...",5,6 January 2019,"I wasn't sure what to expect from ""Logan Lucky"". I just stumbled upon it by sheer random luck and had the time to watch it. So I did.While I normally don't watch a lot of heist movies, I do indulged once in a blue moon. However, I didn't know that ""Logan Lucky"" was a heist movie prior to watching it though.I must admit that I found the execution of the heist to actually be fun and interesting to watch. That was definitely a new thing to the heist genre. I sure hadn't seen a heist done like that before. And on that account it was actually interesting to watch the movie.The movie as a whole just felt somewhat prolonged and it didn't really have all that much going on narratively, which made the movie feel like it was slow paced and dragging along. And that is actually the reason for me giving ""Logan Lucky"" a very mediocre 5 out of 10 stars rating only.It should be mentioned that they actually had some very interesting names on the cast list, which included Channing Tatum, Daniel Craig, Adam Driver, Seth MacFarlane and Katie Holmes. For some reason, then I will always associate Adam Driver with the emo man-child from ""The Force Awakens"", and it will be hard for him to shed that mantle. But I will admit to the fact that he actually performed interesting and well in ""Logan Lucky"".All in all, ""Logan Lucky"" is an entertaining enough movie for what it turned out to be. Just a slow paced story it has to tell.",Logan Lucky
7,Quinoa1984,Soderbergh's Southern-Fried 'Hot Rock'...,8,21 August 2017,"...or, on further reflection, a bit of The Killing in there, only if it was much less compact in its time. If Donald Westlake was still writing his wacky but sincere and dark-in-the-margins comic capers, he might write something like this. It's not some grand masterpiece for an auteur to return with, but then Soderbergh wouldn't do that in a million cinematic years. He just makes his movies and he always has done that, and people either come or they don't (I remember an interview with him where he said he considers himself quite lucky due to having so many failures post 'Sex Lies' before finally getting back on his feet in the late 90's and that he'd probably be done if he did that today, but I digress).The point is, it's another of his crime films, and it's among the more entertaining ones, full of charm and wit and a grouping of actors (*Introducing* Daniel Craig) who get to play pretend while at the same time inhabiting what is a very real part of the country for a lot of people: the NASCAR, John Denver/Bob Seger loving South Heartland where, you know, times are tough all over. Even Katharine Waterston, who at first I thought was superfluous to the story, adds to it as a nurse who provides free health care to West Virginians who ""don't like the word charity."" This is the kind of movie where every actor, whether it's Riley Keough or Seth MacFarlane (who my wife didn't even recognize until I told her after it ended), are having a great time and it shows. It's a movie that has some pep in it step, this almost (by design probably, Soderbergh's a weird motherf***er like that) in contradiction to at times a lot of long takes and shots that let the actors inhabit the frame and take over, whether they move around or not. And as its plot moves along we know that this won't be an 'Oceans', at least in the way that characters mess up or kinks in the character's heist go on, and a major part of the fun is to spot when it might happen or to try and keep up with what may be a red herring or a genuine slip-up or something that is both a tiny or major plant to pay off later on. Meanwhile the soundtrack rocks, and its not in a way that puts *too* much attention on itself, just enough that it gives set pieces and little moments a distinct energy (i.e. ""Roadrunner"" as we see a montage of the Speedway as Tatum describes the layout to brother Driver).And certainly has its issues - Hillary Swank is so the weak link it's astonishing - but is a filmmaker, like Edgar Wright earlier this summer with Baby Driver, having the time of his life playing in the genre sandbox while creating amazing comic characters that you can take seriously. It also certainly has moments that the filmmaker clearly means to make us cringe while recognizing the cringe factor... or at least one, when Jimmy's little girl is giving her talent show performance (looking like, though she's a little older, one of those Toddlers & Tiaras kids, totally freakish in the make-up with the hair and giant eyes), as everyone is moved by it and sings along to 'Country Road', and... is it meant to be a heartfelt moment or Soderbergh satirizing how the South, where he came from (Louisiana, close enough to where this is), has a big heart despite the moments that make one take a step back.But Soderbergh doesn't make this moment one that is easy to say 'This is SATIRE!' It doesn't work like that for him either: this movie is all of a piece, as a shaggy crime story, the likes of which where the laziest (funniest) prison riot in movie history occurs involving a demand to the warden (there's another one, Dwight Yoakam!) that I won't mention here as it'd spoil a wonderful scene, while at the same time also a movie that is not subtle about its American commentary - both brothers are crippled in one way or another, one from Iraq, another from football, but so it goes - and also not shying away from having dumb but stubborn types. Daniel Craig might seem like one, but he's just having a blast a) being a real character actor again, getting to not be submerged in star power for a role like this (MacFarlane gets to do that too, and both swap accents), and b) the actors playing his brothers are ""those types"" we usually associate with rednecks... and they are, but there's a little more quirkiness there as well.I hope to check this out several more times over the years, maybe as soon as it hits video, and yet I also hope more people try to get to see it in theaters before it disappears; it didn't have a strong opening weekend, so in a sense it's Soderbergh going right back to where he was in the 90's, just doing what he does and experimenting in the form of cinema while also delivering the goods as an entertainer. Oh, and what a good writer ""Rebecca Blunt"" is. Ho-Ho.",Logan Lucky
8,tavm,Logan Lucky is quite a leisurely dramady about some low income people trying to pull a heist,7,28 August 2017,"This is another film directed by Steven Soderbergh who grew up in the same place I did, Baton Rouge, LA. That probably explains the LSU (not to mention the university's colors of purple and gold) reference at the beginning. Anyway, the lead character played by Channing Tatum gets fired from his construction job after his pre-existing condition is discovered while he also has to deal with his relationship with his ex-wife, his pre-teen daughter, and his one-armed (excuse me, one hand) brother (Adam Driver). So he resolves to pull a heist with the help of someone he knows from a prison cell played convincingly in a Southern accent by Daniel Craig. I'll just now say this isn't a bang-up action film, just a leisurely stroll through the lives of these lower-income people just trying to muddle through life. So that's a recommendation for Logan Lucky.",Logan Lucky
9,oscaralbert,This flick reminds us of why West Virginia is considered the USA's Most Russian State . . .,6,11 September 2017,". . . in case anyone has forgotten for an instant. LOGAN LUCKY's opening scene pictures ""Jimmy Logan"" as a West Virginian underground miner, losing his job because of a football disability. Recently released statistics from Football's Donated Brains Project prove that upwards of 99.5% of ex-football players have Brains of Mush. On a Per Capita basis, West Virginia is America's hardest hit state in terms of this Gridiron Catastrophe. Rampant brain dysfunction has led to WV suffering from the lowest levels of Education, Income, and Unionization in America. West Virginia has had more large scale (that is, 100+ fatalities) mining calamities than anywhere on earth, topping Russia, China, and South Africa's combined total. To add insult to injury, the tops of all the scenic mountains that would be State or National Parks anywhere else have been scraped away by giant mining machines in West Virginia. LOGAN LUCKY depicts West Virginia as a lawless, crime-ridden enclave overseen by inept and corrupt government officials, just like Russia. If you enjoy viewing squalid wastelands where anything goes, then LOGAN LUCKY is a ""must-see"" for you!",Logan Lucky
