,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,The film that made Jim Carrey an overnight sensation...,8,26 January 2011,"While Ace Ventura:Pet Detective is not my favourite of Jim Carrey's movie, it is a lot of fun. It may be a tad too short, and some of the silliness is overdone. But even with any problems, that still doesn't change the fact that I enjoyed this film immensely. The film looks good with the cinematography and scenery top notch. The script is incredibly funny and I like to quote it too. The story is quite silly, but it is a nice one too, and the film is also very snappily paced. Tom Shadyac's direction is also very energetic and imaginative. This was the film that made Jim Carrey an overnight sensation and a fine one it is too to receive that honour. He is excellent in this film, his style of humour mayn't be for everybody, but when he is at his best he is funny or nicely understated as he is in his dramas. All in all, fast, furious and fun. 8/10 Bethany Cox",Ace Ventura - Pet Detective
1,SnoopyStyle,Jim Carrey's crazy antics,6,29 September 2013,"Pet Detective Ace Ventura (Jim Carrey) is the man you call when crimes happen to animals. When Miami Dolphins' mascot dolphin Snowflake is stolen from its watertank, team official Melissa Robinson (Courteney Cox) must ask Ace Ventura to investigate. Police Lieutenant Lois Einhorn (Sean Young) hates the brash pet detective, but he always seems to be out-think everyone.Jim Carrey has made a virtue of going over the top. And he is extremely virtuous in this movie. He's at his rubbery best playing with animals and talking thru his butt. It's shocking at first. Then it gets cute. Then it gets a bit tired but the movie ends before it became annoying. For some, the movie probably didn't end soon enough. The antics get tiring. It just doesn't end. Although the final reveal is hilarious. The movie is just good enough to be fun.",Ace Ventura - Pet Detective
2,mark.waltz,"Jim Carrey proves, ""You are what you imitate.""",1,29 September 2016,"...and that being fake talking buttocks. Yes, that's the humor mentality that drives this trashy comedy that took another sketch comic from TV and moved them into the big screen. Carrey's schtick can get pretty tired really fast, and while he tried to tone it down in later films, did not have a memorable start in spite of box office success. The fact that his idiocy doesn't get him punched out (or worse) is head shaking. So once teenage boys and post teenage boys who never matured got him onto the list of top box office draws. For the rest of us, we stuck with our Hope and Crosby ""Road"" collection.I did laugh a few times (especially at the mincing muscle man whom Carrey for some reason checks out while using the urinal, followed by the eye roll), but I have to say, these films do not hold up with the exception of a few sequences taken out of context. I can't say if I would have laughed more when I was younger, but I really doubt it would have been much more. Ace Ventura is simply crude, idiotic and beyond annoying in every single aspect.So for the plot...it surrounds the escapades of the moronic pet detective hired to find the Miami dolphin's mascot, kidnapped right before the super bowl. Ventura, who has a collection of some cute (and not so cute) wild creatures, and perhaps they understand him, because he's definitely not human. What moments I did laugh at were almost embarrassing to me, and as a result, I could barely make it through.",Ace Ventura - Pet Detective
3,kosmasp,Obvious,6,21 July 2009,"If the movie was only called Ace Ventura, than I guess it would be a spoiler, to talk about Jim Careys job/character in this movie. But since it's pretty obvious what he does, I won't be taking too much away. Not that that is really possible, because the story is pretty thin as it is.But Jim Carey (who alongside ""The Mask"") got pretty popular with this movie, has an energy that is really breath taking. Even if you don't really like his attitude or his characters, you can't deny his dedication to ""milk"" (no pun intended) the most out of everything he does. And the same goes here, where he acts pretty ridiculous, but while others might have had a safe routine, he dares to do things, you wouldn't expect to see ... And while the movie has it's flaws, it's a pretty enjoyable watch",Ace Ventura - Pet Detective
4,lee_eisenberg,"""Lee, he's crazy!""",10,7 July 2005,"We saw ""Ace Ventura: Pet Detective"" right after ""The Mask"" came out. We could not have possibly predicted how wacky it would be. At the moment when Jim Carrey started butt-talking, my dad shouted out: ""Lee, he's crazy!"" And believe you me, he really was. Anyone who knows anything about the movie probably knows that Carrey plays the title character, who has to find the Miami Dolphins' mascot. But mostly, the whole movie is an excuse for him to be silly. And of course, the woman who played reporter Melissa (Courtney Cox) went on to play the reporter in the ""Scream"" trilogy.Well anyway, Ace Ventura really is a master of disguise, and it's almost hard to believe that after almost ten years of stagnation in comedy, this movie came and changed the way that we think about humor. Hilarious.",Ace Ventura - Pet Detective
5,jboothmillard,Ace Ventura: Pet Detective,8,9 March 2005,"This was Jim Carrey's first official role and launched his brilliant career. He stars as Ace Ventura: Pet Detective. ""He's the best there is. Actually, he's the only one there is."" The mascot of the Miami Dolphins ""Snowflake the Dolphin"" has been kidnapped. It is Ace's job to find this dolphin. He has help from Courney Cox (Arquette) and Sean Young who has a funny but sick story towards the end. There is also an appearance by legendary Miami Dolphin player Dan Marino (as himself). A hilarious film with wonderful slapstick and cuddly animals thrown in. The best part for me is seeing Ace being thrown about by a shark! Ace Ventura: When Nature Calls followed. Very good!",Ace Ventura - Pet Detective
6,ccthemovieman-1,"Believe-It-Or-Not, This Was A Hit Movie",4,17 June 2007,"I actually saw this movie one and one-third times. The ""third"" was the second viewing where it hit me that this was going to go from ""fairly funny"" to ""incredibly stupid"" in one viewing, so why continue? This kind of lame-brain humor is tolerable one time, is all I am saying.Carrey is good at what he does, and he's far better than the script. I can enjoy moronic humor many times, but this takes it to another level! How I sat through this the first time makes me shake my head in wonder, except that I was with a friend at the theater so was a big Miami Dolphins fan and wanted to see how quarterback Dan Marino acted in here. The story revolves around the pro football team's dolphin mascot being stolen. ""Ace"" may be weird and a bit stupid, but he has a good heart and that's why he make a likable character.Carrey can be funny with the stupid characters he plays - which includes this film - but he also be extremely annoying and wear thin fast. This is a great example of that. It's also an example of crude humor insert into what - on the surface - looks to be a ""cute animal picture."" This is not a kids' film - certainly not appropriate. It isn't much an adult film, either, but it sure served Carrey well and it helped catapult him into stardom.Apparently, a lot of folks like this movie because it spawned a sequel. If you thought this film was bad, don't see the sequel. It makes this movie look like ""Citizen Kane.""",Ace Ventura - Pet Detective
7,dbdumonteil,The animal lover,6,15 January 2005,"1994 was a beneficial year for Jim Carrey for three movies revealed him to the general public and lined his pockets: ""the Mask"", ""Dunb and Dumber"" and ""Ace Ventura"". At the level of quality, ""Ace Ventura"" finds itself between the two movies. It is better than the ""dumb"" movie made by the Farrelly brothers although it doesn't match the success of ""the Mask"". And precisely, in France, unlike the USA ""Ace Ventura"" was released after ""the Mask"" consequently to the commercial triumph of the latter and probably in order to arouse the public's interest for Jim Carrey. Having watched the hare-brained sequel, ""Ace Ventura: when nature calls"" (1995) before the present movie, I was able to compare the two movies and it is arguably the first one which is superior. Tom Shadyac isn't a renowned film-maker but in ""Ace Ventura"", he shows his ability in bringing a story to a successful conclusion while keeping an eye on his main actor's acting. The main difference with ""Ace Ventura: When Nature Calls"" lies in the fact that the detective story isn't too spoiled by Carrey's grimaces and his bombastic gestures. In another extent, the humor verges on bad taste, but fortunately, rarely. And there are some good gags without vulgarity which make honestly laugh.""Ace Ventura"" is more bearable and slightly higher the average of comedies in which Carrey acted. A last thing: if your favorite pet, one day goes missing, you've got someone to bring it back as fast as possible in your home.",Ace Ventura - Pet Detective
8,Quinoa1984,One of Carrey's best,9,15 April 2000,Ace Ventura: Pet Detective is classic comedy with rubberface Jim Carrey making his breakthrough performance to stardom.  His antics kept me rolling in the isles and have always given me a laugh when the film is on TV. Kudos to Carrey and everyone else who  worked on this film.,Ace Ventura - Pet Detective
9,sunwarrior13,Carrey Showcases Physical Comedy Skills,8,12 October 2012,"Ace Ventura: Pet Detective is a comedy film starring Jim Carrey,who plays the title role. It was developed by the film's original writer, Jack Bernstein, and co-producer, Bob Israel. It co-stars Courteney Cox, Tone Lōc, Sean Young and former Miami Dolphins quarterback Dan Marino.Ace Ventura is a low-rent private eye who specializes in recovering lost animals, so when Snowflake, the Miami Dolphins' aquatic mascot, is kidnapped, team representative Melissa Robinson puts Ace on the case. However, Snowflake isn't the only Miami Dolphin who has gone missing; several key members of the team also disappear, including quarterback Dan Marino, who is spirited away while filming a TV commercial. With the Super Bowl only two weeks away, will Ace be able to find Snowflake and the missing athletes in time to salvage the big game?Unlike famous bumbling sleuths such as Inspector Clouseau and Lt. Frank Drebin, there's no consistency to the ""Ace"" character, and the whole movie shifts in tone from social satire to sophomoric pranks and traditional cop show plotting.But nevertheless,this is a perfect platform for Jim Carrey to showcase his physical comedy skills.",Ace Ventura - Pet Detective
