,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Silly but hugely enjoyable, much better than I thought it would be",7,26 April 2010,"Well what can I say? Hugely enjoyable, silly yes but manages to be enjoyable. Yes with a predictable story that occasionally loses its lustre and some flimsy gags and a number of clichés. But what makes it watchable is the hilarious script, the good-natured spirit of the film, likable and relateable characters and fun performances from Vince Vaughan(really cool in one of his better movies- and performances as well), Ben Stiller, Rip Torn and Hank Azaria with an amusing cameo from David Hasselhoff. The direction is also good, and the film is nice to look at with a cool soundtrack. Overall, not perfect but watchable and funny. 7/10 Bethany Cox",Dodgeball - A True Underdog Story
1,SnoopyStyle,Funny Physical Comedy,8,3 November 2013,"White Goodman (Ben Stiller) is a raging douche and owner of Globo Gym. Peter LaFleur (Vince Vaughn) is a slob and the owner of Average Joe's Gymnasium. Peter LaFleur needs $50,000 or else he'll lose his gym to Goodman. LaFleur and the slackers at his gym figure on winning a dodgeball tournament. Goodman forms his own team to stop LaFleur.This is a stupid comedy. It's the good kind of stupid. We're allowed to laugh at the stupidity. That's a gift in the comedy world. Ben Stiller goes way out there as the amped up physical fitness guru. He has a good scene pawing his real life wife Christine Taylor. Even the dodgeball scenes are great. This is great slapsticks.",Dodgeball - A True Underdog Story
2,gavin6942,One of the Best Comedies of the Last Decade,9,13 August 2010,"A local gym is going under, largely because the owner refuses to collect fees from his clients. But when a larger rival gym threatens to take him over, it becomes personal... and unorthodox methods of raising money are used. The one decided on: dodgeball.Who is Rawson Marshall Thurber? That is the real question here. You have probably never heard of him, and other than ""Dodgeball"" his projects are not well known. Yet, he wrote and directed this film -- flawlessly -- and cast some of the best actors in the business. Plenty of big names here, and some great character actors. How did he do that?I have no idea. But what I do know is that this film is genuinely hilarious. The jokes are well-written, and well-delivered by the cast. Some of the best parts come from the cameos of some pop culture icons, and Jason Bateman's sports commentator role, Pepper Brooks, is his best role to date (even better than ""Arrested Development""). This is a must-see film for all fans of comedy.",Dodgeball - A True Underdog Story
3,lee_eisenberg,There was an article about Joel David Moore in The Oregonian two days ago.,10,21 December 2005,"""Dodgeball: A True Underdog Story"" is just plain old goof-ball-ism, and it doesn't pretend to be anything else. It has the Average Joes gym going up against Globo Gym in a tournament. The Average Joes gym is clearly a working class gym, while Globo Gym's slogan is ""We're better than you, and we know it!"" Maybe for the most part, this is a recycled triumph of the underdog story - where against all odds the ragtag team defeats the big guys with all the money - but the performances carry it to excellence. Ben Stiller, as Globo Gym owner White Goodman, makes a really funny slime-ball. Vince Vaughn, as Average Joes gym owner Peter La Fleur, creates a very commendable character. Christine Taylor, as reporter Kate Veatch, is what a reporter should be. Rip Torn, as trainer Patches O'Houlihan, is one acerbic SOB (Hank Azaria plays his younger self). And I now realize that Fran Stalinofskivich (from Ramanovia) was played by Missi Pyle, who also starred in ""Bringing Down the House"" and ""Charlie and the Chocolate Factory"".Oh yeah, and about that article. Joel David Moore is here in his native Portland shooting the indie flick ""Spiral"" with Amber Tamblyn (of TV's ""Joan of Arcadia"").",Dodgeball - A True Underdog Story
4,jboothmillard,Dodgeball,6,13 July 2005,"Quite a good film with a bit of a silly idea, but still very funny in places. Ben Stiller plays White Goodman, he owns a big and successful multi gym. Vince Vaughn plays Peter La Fleur, his gym next door does not do good business and Whitte wants to buy it. Unless Peter can get $50,000 he cannot keep his gym. Luckily Peter and the gang notice a competition to win $50,000 in a dodge ball game. Rip Torn as Patches O'Houlihan trains them for a while and they are ready. They beat many teams, but the final game is against White and his team. A very good story with a very good end, Stiller is pretty funny. Also starring Alan Tudyk as Steve the Pirate. Good!",Dodgeball - A True Underdog Story
5,ccthemovieman-1,'Patches' Mends This Tired Formulamatic Comedy,6,20 March 2006,"Well, here is yet another sleazy PG-13 modern-day comedy that also has genuinely funny characters and scenes. For those of us who care it's a shame we have have to put up with the bad stuff if you want laughs out of about any comedy made in the last 30 years....and this is a prime example. By the way, this is an ""R"" all the way, if any concerned parents are reading this. You need a computer to add up all the sex jokes in here and the last 30 minutes are really, really stupid. Both of those are typical, too. Yet, most of my friends said this was hilarious and to check the film out. Prior to the typically-dumb ending are some very funny moments, mostly provided by Ben Stiller's over-the-top fitness guru, ""White Goodman,"" a man who runs an ultra high-tech fitness center. Vince Vaughan plays the likable good guy small-gym owner who is in competition with Stiller, sort of like David against Goliath, the nerds against the jocks.....another formula that is so often used these days in comedies because it's always fun to see the little guy knock off the arrogant big jerk. Christine Taylor is the token young ""hottie"" that you also see in these kind of pictures: skinny, pretty, but not exactly the wholesome type.Rip Torn almost steals the show as ""Patches O'Houlihan,"" the old man who helps coach the underdog volleyball team using some unorthodox methods. I laugh every time I think of him. In fact, ""Patches"" puts the added edge in this film to elevate it slightly above a ""fair"" rating.A lot of the humor in here is the improbableness of the whole story. Of course, it's an insult to anyone's intelligence but that's part of the charm and one does get a decent amount of laughs for an hour-and-half, so it's not all bad.",Dodgeball - A True Underdog Story
6,BA_Harrison,You'll have a ball.,8,28 December 2016,"An archetypal (and purportedly true) underdog story, Dodgeball sees Vince Vaughn as lovable but apathetic gym owner Peter La Fleur, who, with his band of misfit customers, enters a national dodgeball tournament to try and win the $50,000 he needs to prevent his business from being acquired by corporate fitness freak White Goodman (Ben Stiller).The order of the day here is low-brow humour, with laughs derived from abject silliness, vulgarity and slapstick; thankfully, nearly all of the gags hit their target square in the face, meaning that even the most joyless of viewers will struggle to remain composed. Whether its the simple pleasure of seeing a person being hit in the knackers by a fast moving ball, the sight of an overweight cheerleader wearing no underwear falling ass down onto someone's face, or ridiculous lines of dialogue such as 'I've even seen a grown man satisfy a camel', Dodgeball is simply too daft not to enjoy.",Dodgeball - A True Underdog Story
7,Quinoa1984,"Funniest Sports Comedy since BASEketball (and, luckily, in that comedic tradition)",7,20 June 2004,"One of the things that debut filmmaker Rawson Marshall Thurber gets right at the start of Dodgeball, and runs with for the whole length of the film, is that if you're making a film out of this story (that includes the a-typical story and characters, in a comedy genre or otherwise) there's got to be a laugh a minute, literally.  And, amazingly, Thurbert pulls it off, along with a great ensemble cast headed by Ben Stiller and Vince Vaughn.  Because there is also a constant urge to make fun of anything, that nothing is out of bounds, disbelief is completely suspended, and Thurber reaches (credible) ZAZ comedy territory.Main baseline: Stiller and Vaughn trade places from March's Starsky and Hutch, as Stiller plays the tyrannical, egocentric head of Globo-Gym, which has been the monopolizer of physical fitness in the town.  Vaughn runs Average Joe's, a gym where the only people who work out are the ones who work there.  When Stiller bids to take over Vaughn's place, they fight back with a Dodgeball tournament with a prize enough to save Average Joe's. 
The story's just an excuse, anyway, as was the story for BASEketball or Airplane.  It's an excuse, so to speak, to let Stiller run wild with the persona he creates for White Goodman.  It's an original performance, even if one wonders if he played a character with these kind of qualities before on his show.  And Vaughn, as well as the assortment of supporting actors (Christine Taylor, Alan Tudyk, Stephen Root, Justin Long, Joel Moore, and especially Rip Torn), contribute a lot to the success of the laughs. They're relying on certain cliches, but they're the kind of cliches you can't take a bit seriously.  There are also a good deal of (surprise) cameos by the likes of William Shatner, Hank Azaria, Chuck Norris, and Lance Armstrong that sneak up and bring some of the funniest parts of the film. It's a good time, unless this just isn't your kind of movie.  Between A- and B+",Dodgeball - A True Underdog Story
8,wes-connors,I Just Threw Up in My Mouth a Little Bit,2,20 December 2009,"Couch-potatoed Vince Vaughn (as Peter La Fleur) and buff ""Happy Days"" fan Ben Stiller (as White Goodman) run rival workout clubs. Mr. Stiller, the more successful gym-runner, aims to take over the property run by Mr. Vaughn, which has somehow avoided foreclosure. To settle their disputes, club members from each play in a Las Vegas ""Dodgeball"" tournament, for a $50,000 cash prize. Beautiful blonde banker babe Christine Taylor (as Kate Veatch) attracts both Vaughn and Stiller.Written and directed by Rawson Marshall Thurber, ""Dodgeball"" lost its singular ""Razzie Award"" nomination - although Stiller may get a ""Lifetime Achievement"" consolation prize, one of these years. This film's joke is, basically people get hit by balls which also happens to be how you describe something in a man's pants Gary Cole and Jason Bateman are good announcers. Rip Torn plays a raunchy urine-drinking coach. Some familiar-faced cameos liven things up a little. Very little.** Dodgeball (6/18/04) Rawson Marshall Thurber ~ Vince Vaughn, Ben Stiller, Christine Taylor, Rip Torn",Dodgeball - A True Underdog Story
9,Coventry,Go Team Slapstick!,7,27 September 2004,"Once every few years, you're presented to a slapstick comedy so hilarious you instantly forget how LOW this form of entertainment actually is. I can't give a scientific explanation to state how come it's funny to see someone (preferably wearing glasses) getting hit in the face by a ballit just is. Dodgeball is vulgar, crude and without substancebut your stomach will hurt from laughing and don't we all need that from time to time? In case you really want to defend this film, you can always say it features tons of unsubtle criticism towards modern American image of exaggerated health-obsession. Ben Stiller's character is the personification of the obnoxious fitness guru: 'We're better than you, and we know it'. Opposed to him, there's Vince Vaughn as the chilled-minded, lovable guy who owns a fitness center for the underdeveloped wimps. Due to his financial situation, he risks losing his gym to Stiller except if he and his teams of misfits manage to win the world-famous dodgeball tournament. The film is a series of cheap chuckles, eccentric characters and outrageous one-liners. It's pretty funny to hear Stiller yell out lines like: 'You're a skid mark on the underpants of society'. Or the always-amusing Rip Torn encouraging his team with the words: 'you're as useful as a cock-flavored lollipop'. The acting is great as it can be with Ben Stiller and Rip Torn who go delightfully over the top and lots of enthusiast cameos (Chuck Norris, David Hasselhof, William Shatner and even Lance Armstrong). It sure isn't Schindler's List but Dodgball is great entertainment and stress releasing.",Dodgeball - A True Underdog Story
