,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,one twist too far,7,23 January 2020,"Another kid has gone missing in a sleepy bedroom community. Police detective Greg Harper (Jon Tenney) investigates. His psychiatrist wife Jackie (Helen Hunt) starts sensing strange happenings. Their teenage son is angered by her infidelity.I like the spooky mood which fits nicely with the icy coldness within the family. The phrogging is an intriguing reveal. I'm good with the second point of view. Then the reveals keep happening and it probably goes one too far. There is no need to bring in the missing boys. The last reveal has no foundation. Also Mindy has to be the last to confront the husband. Alec could come upon them and he's the one to get shot while she escapes. It would maintain the danger since she's the one who witnesses everything. Once she's dead, the man has no reason to believe that there is another person. Alec only knows that he killed Mindy. The movie is a terrific Hitchcockian thriller for the first two thirds. The ending has a few minor issues.",I See You
1,kosmasp,Hidden evil,9,7 February 2020,"If you can overcome how Helen Hunt is looking (Botox is my guess without researching it), the movie has a lot to offer. And just because she looks bloated, there is still some acting behind it all. But what really is the driving force behind the movie is the story and structure/edit of it all.You may be weirded out when certain things get shown again (from a slightly different perspective), but you will see (no pun intended), that it does make sense! It's well told and acted and it has a few surprises along the way that really elevate the movie quite a lot.",I See You
2,Sleepin_Dragon,A very good watch.,8,29 August 2020,"This is a very entertaining, clever thriller.I would class this as an intelligent piece of writing, somehow it's a thriller within a thriller, it has a jigsaw feel to it, you will watch it and have many questions, how, what and who. Those questions will be answered as the film progresses, the intensity also increases, it is very satisfying.What starts out as a relatively mild thriller soon morphs into something a lot darker, it goes through phases, ending as a very dark, twisted thriller.Nicely acted, Helen Hunt does a good job, but all the cast are good.It's a fine watch. 8/10.",I See You
3,Coventry,And I see... a plastic version of the once-ravishing Helen Hunt?!?,6,10 April 2021,"Whatever happened to Helen Hunt? She was one of the greatest actresses of the 90s and early 2000s, thanks to ""Mad About You"" and a couple of glorious film roles like ""As Good as it Gets"" and ""What Woman Want"". And - moreover - she was a natural and charismatic beauty! Unfortunately, it's a commonly known fact that Hollywood hardly has interesting film roles for strong and talented women over forty. This is the first time I've seen her act again in almost 20 years, and sadly you can't but immediately notice her plastic surgery, or facial Botox-treatments, or whatever it was. It's a real shame, and even quite painful, because she can't even depict emotions or different facial expressions anymore with her plastic face. But hey, if that is what Mrs. Hunt wanted, fine then. And I'm only here to review the movie ""I See You"", anyways.Speaking of which, it's praiseworthy - to say the least - that a film can alter my perception/opinion so drastically throughout its running time! Honestly, my overall thought of ""I See You"" during the first half was just a big giant ""meh"". Via a lot of pretentious but cheap tricks, like ominous music and short & abruptly edited interior shots, the inexperienced director Adam Randall too obviously tries to generate an ambiance of mystery and ambiguity, but it doesn't really work. In the house of the Harpers, a middle-aged couple with a rebellious teenage son and a giant martial crisis, there appears to be a strange supernatural entity at work. Meanwhile, the rest of the village is concerned with the disappearance of yet another young boy in the neighborhood. Halfway through, however, the same string of events is told again, but from a completely different and explicatory angle. This makes the film change from a seemingly dull supernatural horror movie into a raw and gritty survival thriller.I must admit that, even though I've seen and reviewed more than 4000 horror/cult movies already, I didn't see the principal twist coming at all. Some of the other plot twists are more obvious and used before, but the story idea that clarifies the missing silverware, locked closet doors, etc., is very clever, innovative and effectively disturbing.Surely Helen Hunt must have been very impressed when she first read the scenario, but I bet you couldn't tell by the expression on her face!",I See You
4,deloudelouvain,Great twists and turns.,8,22 January 2020,"I See You, categorized in the Crime/Drama/Horror genre, I would add the Mystery genre to that as the strength of this movie is definitely the surprise factor, the very clever twists and turns make this thriller more than enjoyable to watch. It's one of those movies you think you will figure it out to be completely surprised by the end. Very good job from writer Devon Graye. As for the directing Adam Randall maybe should have used creepier sound effects to make it even better but overall it's a good job. The cast was good as well, Helen Hunt can still act but what a transformation after all those years of absence, she didn't age very well but that doesn't effect her acting skills so it doesn't really matter. I See You is a pleasant surprise for this genre, better than expected. I would just ignore the negative reviews, they clearly don't have a clue when it's about a movie with suspense and clever story development. Definitely a movie I could watch again in the future.",I See You
5,DKosty123,Well Scripted Acted Directed,8,18 May 2020,"I see there is some young writing talent out here. This script is not the orthodox one and in fact it is written in a layer form. The film starts out and does everything in order up until a certain point in the story with the main characters. Then it restarts the entire story using a different set of characters point of view and shows us viewers what is really happening. The way to enjoy this film is to watch the first part, and try to guess what is really going on. Then expect to be wrong on some parts when you get to the second layer. It is darned entertaining to do it this way.I think it falls short of perfect in 2 places. First- the music theme tries to imitate John Carpenter's Halloween but this new theme is way over done. I think if the music was toned down or even lost it would be a more effective film. Second - spoiler- there is a point where a character named Alec is left alone in a garage for a long time. Logically with everything that has already happened most folks would have not sat there and waited for anyone to return to the house. Logically, they would have gotten the heck out of there and possibly gone to the authorities. That would spoil one dramatic scene, so I guess that is why it's not done.As far as the acting, Helen Hunt is fine though her role is limited in some ways. It is a fairly large cast so I can understand that her role is a lead, but she is not -spoiler- the action lead- so she really only has a handful of scenes. Judah Lewis as her son is the same way, his acting is fine but he has little action so his role, like Hunt's is a bit limited. Jon Tenney as Hunts Detective husband is excellent and he is one of the major roles in the entire film because his role is totally involved.Libe Barer plays Mindy very well and she is heavily involved in the story, though only in the second part of the film. Owen Teague as Alec is more involved in the second half and is very good too. Spoiler - the second half gets into certain clues visually which you see in the first half if your attentive. When watching this movie for the first time, pay attention to the clues, and then see how they turn out. That makes this a solid entertaining film.",I See You
6,Edvis-1997,8,8,16 May 2020,"Very well played. Nice movie I was thinking that this will be lame spiritual movie about ghosts and etc. but when they've revealed everything wow, nice job, my top 10 best movie of 2019.",I See You
7,851222,Original and good,8,15 July 2020,"Greetings from Lithuania.""I See You"" (2019) had a pretty original story which is rare these days. I did not see any trailers nor i read synopsis before watching it, so this movies plot was a really pleasant surprise for me. Its a good thriller with no winners and i will leave it at there. The only downside for me was Helen Hunt - the Oscar winning actress i actually like very much - she was amazing in anything she done in 90's - ""Twister"" (still a good guilty pleasure), the amazing ""As Good as It Gets"" - i like this actress but in this movie she was very stiff and wooden - whether she was miscast or it was a disappointing performance.Overall, ""I See You"" is a good mystery thriller with an original plot. The less you know about this movie the better it will be for you.",I See You
8,westsideschl,Mish·Mash,4,20 February 2020,"First sign of cheap, & used a lot in this movie, are lots of drone type overhead views of streets, houses, country side. Second sign, is the really poor quality audio where the speaking voices seem echoey, and at times out of sync with the actual speaking mouth. Also out of place & almost disconcerting was the background music & sound effects - didn't fit the storyline. Viewer made to think we have a haunting w/the usual electronics turning on/off.
Acting was as poor as our home invasion/kidnapping/dysfunctional family disjointed script.",I See You
9,nairtejas,Gripping,8,7 May 2021,"I See You is a gripping tale that brings together a family of three, the law enforcement, and some strange beings that first gives you a feeling of horror but then later takes a virulent turn to shock and impress you as you stay invested in the plot till the very end, only supported by the arresting background score. Best watched in a home theatre. Also, I learned about a new concept here.",I See You
