,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Bizarre and brilliant,10,12 October 2016,"One of the hands-down most bizarre movies you'll see in your entire life, Andrzej Zulawski's POSSESSION is a remarkable film that resists efforts to pigeonhole it into a genre. Is it a film about marriage breakdown, a la the great European art-house directors of old? Is it a slimy, slithery outer-space horror flick? Is it a crime flick, like the '70s Italian police movies, with private eyes, motorbike chases, and stunts? Or is it a character study of madness and self-hatred, a la Polanski's REPULSION? The answer is none of these and all of them. POSSESSION is a one of a film and a guaranteed love-it or hate-it experience.For what it's worth, I thought it was a really good film, even if it was once of those efforts that make you feel uncomfortable and, in a way, leave you wishing you'd never seen it (I felt the same about THE EXORCIST). Sometimes horror can be just too effective. The marriage disintegration scenes were the worst part of the film for me. Zulawski has his actors shout and scream their way through scene after scene, almost brawling in some instances, hitting and cutting each other and trashing their apartment. Don't expect subtlety here – characters have sudden mood swings and can transform from caring lovers to violent psychopaths in a split second. Isabelle Adjani carries the film, and I actually find her the most frightening thing on screen: her blank stare and icy demeanour give her an almost alien look. You end up really convinced that SHE is mad, so it may be one of the best performances out there.Sam Neill fares less role in a kind of up-and-down role, in the same year that he made his name in OMEN III: THE FINAL CONFLICT. Is he the hero? Is he the villain? Again, he's both and neither, and while I do like this actor a lot, some of his overacting is a little embarrassing. For his worth, though, Zulawski has assembled a great supporting cast of bit players and weirdos, with the highlight being Heinz Bennent's bisexual druggie. This man should have had an Oscar for the creepy character he plays here! One of the main characters in the film is a rarely-seen monster, a weird tentacled squid man animated by great effects from technician Carlo Rombaldi. This is a fantastic creation, even better as we only see it in a handful of moments, and once again Rombaldi has surpassed himself, here at the very highlight of his career.Where to begin with the rest of the movie? Some of it is nasty, with Adjani committing bloody murders and detectives lurking around; it feels like a giallo, something Argento would make, perhaps. The ending throws in some superbly-shot action scenes which come as a nice pay-off for the slow build-up. The climax has an evil doppelganger that reminded me of the alien in PREY. Other parts are just unnecessary – the subway miscarriage is way overdone and completely icky. No wonder this film became a 'video nasty' in Britain for a little while. The film has lots of odd undercurrents and there are even some comic bits. Homosexuality is a running theme, as is parenthood. The ending, with its sounds of bombs dropping, leaves the reader to make their own mind up about just what on earth is going on. I can't define POSSESSION, and I can't begin to describe it, but it scared and disturbed me which meant it worked as a horror flick.",Possession
1,SnoopyStyle,great surrealistic horror,8,20 December 2015,"Mark (Sam Neill) returns home in Berlin from a business trip and his wife Anna (Isabelle Adjani) is falling apart. She leaves taking their son Bob. He finds a postcard from Heinrich to Anna. He refuses to see Bob and goes nuts when meeting Anna. After three weeks of isolation, he returns home to find a dirty and bruised Bob home alone. He meets Bob's teacher Helen (Isabelle Adjani) who looks exactly like Anna with blond hair.I really love the surreal minimalism. It's creepy and fits a horror quite well. The over-the-top acting takes a little time to get used to but that also fits this alternate universe. Heinrich is insane acting but he highlights the outlandish nature of these character. Every scene seems to be trying incite a response from the audience. As the movie progress, it becomes weirder and crazier. It's a descend into madness. It has a bit of Cronenberg, a lot of experimental, Adjani's sexual wildness and some of the craziest scenes including one in a girls' ballet class. There are some unforgettable images in this movie.",Possession
2,claudio_carvalho,A Huge Deception,4,19 April 2004,"Anna (Isabelle Adjani) leaves her house, her husband Mark (Sam Neil), her son and her lover, to live with a strange creature in an old building. What a huge deception this movie was for me! I have been trying to achieve it for many years and finally it was released on DVD in Brazil. However, the story is so weird, non-sense, confused, disgusting and bizarre, that I cannot understand how it can be a cult movie. The impressive performance of Isabelle Adjani is something spectacular, stunning, and outstanding. It is rare to see a beautiful actress like her in such a role. Sam Neil also has a great performance, in the very beginning of his career. Honestly, the film has a great direction, photography, actors and actresses. Technically it is wonderful. It recalls David Cronenberg and Peter Greenaway styles, and even David Lynch. But the problem is the confused plot about obsession, looking like a nightmare and not making much sense along 123 minutes. In the end, I was very bored and disappointed. My vote is four.Title (Brazil): `Possessão' (`Possession')",Possession
3,gavin6942,Kafka Horror? Or What?,8,9 November 2015,"A woman starts exhibiting increasingly disturbing behavior after asking her husband (Sam Neill) for a divorce. Suspicions of infidelity soon give way to something much more sinister.This is a very absurd film. It starts off normal, making you think it is a drama or romance gone wrong. But even early on we get something telling us there is something off. Maybe a little David Lynch, maybe a little Franz Kafka. But something not quite right. And then it starts to build. There are moments that almost seem right out of Lovecraft.This seems to be a horror film that needs to be seen, but may not be very well known in the mainstream. Based on how many people rated it on IMDb, it can't be extremely obscure, but still enough that it has to be overlooked. And it shouldn't be.",Possession
4,rmax304823,Rx: Aromatherapy.,6,24 April 2016,"I won't spoil the end because I couldn't make it all the way through. I can't even guess at what the end was like. Three-quarters into the story I was exhausted and felt like committing suicide by swallowing a string of lighted firecrackers. Somebody actually tried that once, according to Dr. Carl Menninger.So far as I can make out, the fundamentals of the story are pretty banal. Sam Neill's wife, Isabelle Adjani, has had an affair with another man, and she may be having an affair with still another at the moment. Why? The new guy is a better lover than Neill.Neill is supposed to be distraught because he loves her deeply and desperately needs her to come home and reestablish her place in her family, including not just Neill but their young boy.That's about it for the fundamentals. The way it's written, acted, and directed can only be described as freakish. Sam Neill, for instance, is usually a reasonable kind of guy, a bit of a wimp. But make up has darkened his hair and eyebrows and he looks far more threatening than the pastor who scratched his head until it bled in ""Cry In The Dark."" Anxiety is his strong point as an actor but here he delivers outrage. His voice is a sneer. He smashes furniture. He beats his wife until bright crimson blood drips in festoons from her battered mouth. When she leaves him, he rents a hotel room and goes on a three-day drunk, after which you can almost smell him.In fact there's blood all over the place. Neill confronts the other man and takes a swing at him, only to get decked himself. But if Neill is bizarre, Isabel Adjani is plain nuts. She chatters to herself, shrieks constantly, tries to cut off her head with an electric carving knife, beats a detective with a broken bottle until he bleeds to death. What must her thoughts be? She gives us a token. ""Fate can control chance, but chance can influence fate, so it it fate? Is it chance?"" There's a lot of metaphysical flotsam in the script if you can hear it through the screams.The director seems to think all this is a superlative idea, shouting, bashing, murdering, glowering. I didn't. I kept thinking that it made the end of MY marriage look, well, what they call ""amicable,"" despite the gymnastics and the silly reports in the newspapers at the time. It seemed to me that if Neill loved her so much, he wouldn't always be batting her around and throwing chairs at her. The only ""love"" on display was between Neill and his son, and that would better be called affection. The director also has people standing much too close to each other when they speak, as if they were Arabs. If one speakers moves away, the other follows, continually violating his personal space. Sometimes, for no reason, a speaker will slowly whirl around and carome off the walls. The developments towards the end, about when I tuned out, are impossible to fit into the rest of the story. There is some kind of slimy, blood-covered organism that looks like a squid. It writhes in a bath of gore on a bed. ""He's exhausted,"" explains Adjani. ""He spent the whole night making love to me."" It's difficult to accept this chimera as Adjani's hallucination because a detective sees it too.Well. Make of it what you will. It's like Roman Polanksi's ""Repulsion,"" a little, only on methamphetamines.",Possession
5,BA_Harrison,"Quite possibly the least enjoyable of all the 'nasties' (and boy, there are some bad films on that list).",1,5 August 2012,"The inclusion of Andrzej Zulawski's Possession on the official video nasties list during the 80s (thanks to a couple of scenes involving goop, blood, mucous, and Isabelle Adjani) has forever guaranteed that it will be of interest to avid horror fans; a shame, because if any of the 72 titles deemed unsuitable for public viewing by the BBFC actually deserved to be wiped from our collective memory, its this piece of highly pretentious, extremely irritating, and very tiresome art-house dreck.Sam Neill and Isabelle Adjani play a married couple whose relationship is in tatters, Adjani having found herself a new lover or two, one of which is a slimy, many tentacled monster born of her id (or some such existential claptrap). Two hours of almost unbearable histrionics from the stars, interspersed by the occasional FX scene courtesy of Carlo 'ET' Rambaldi, this garbage is supposedly symbolic of the director's troubled state of mind as he struggled to work in the repressive environment of the Eastern Block while his own marriage fell apart. But while Possession may be a very personal piece for Zulawski, a cathartic movie that helped him to come to terms with his political and marital issues, I found it nothing but an utter bore from start to finish.",Possession
6,Quinoa1984,"""God is in me""",8,8 December 2011,"It's staggering to come up against a filmmaker who has a truly mad vision to put onto celluloid. If it's really believable and the maker isn't just putting on the audience it can take us into that madness. Possession is a film that is like it's title, taken with it's own sense of grandeur, starting off as a Scenes-from-a-Marriage-esque tale of downfall - with more ZAP and wildness in the fights the married couple have - but with something just not quite right. These scenes feel raw and uninhibited, by the actors and by the material, which goes to such extremes of how much they hurt one another that it becomes perversely funny.Why all the camera movement in this film, especially early on, where it turns into Vittorio Storaro Time with a Red Bull chaser? From the sensibility of the high emotions and hysteria on display, why not? If your material is going all out, then you might as well go all out with it. Isabelle Adjani really, REALLY goes to town here, forgetting that there's such a thing as 'chewing scenery' and just stampeding through it at times, with Sam Neill and the camera operator being breathless to keep up. It's a film that moves with real force and energy... sometimes maybe TOO much force and energy.For a film like possession, excess is not something that can be kept back, but what is so fascinating is that it's so intense at times, in the husband/wife interactions, the emotional violence springing out into physical abuse (at one point a slap is then encouraged into more, an uncomfortable scene done just right), that it's fascinating because it's going into such high volume. And as a horror film, a true horror film of the soul where it's laid bare and stripped out by a demon and f***ed with a spiky tail or something, it's bewildering, mind-boggling, and a dark pile of fun.A lot of it is the performances - Adjani worked her ass off to get that Cannes best actress win, and though there are times I can't understand her (not sure if it's the accent or the lines, like her 'fate and chance' monologue) and runs the gamut as a character who starts out flawed and damaged and gets so turned-inside-out she makes Linda Blair in the Exorcist look like a... girl. And Sam Neill has a kind of strange appeal here - at times he talks like he doesn't take these lines seriously, or is doing so SO much that it just becomes funny, and other times he is genuinely power-punching with his dramatic touch. In a scene like the restaurant fight he goes between both levels.But why I may, someday, after I can get over the experience, would return to Possession is that among the f***ing-insane style of films out there, there's nothing else quite like it. It revels in bringing the audience into its horror set-pieces, especially with that creature in the apartment as ambiguous a demon as the baby in Eraserhead, and the dread in every man going into that apartment harder to bear than the one before. And there is genuine pain, I think, in the filmmaking. I don't know the history behind the film's gestation but I'd wager the director had a bad marriage and expressed it, literally and metaphorically, with a tale of an unfaithful woman brought to madness by a demon... or maybe that's it.Possession doesn't spoon-feed at any point in time. On the contrary, and maybe this is a flaw I think, there's so little explanation of anything in the film that by the last fifteen minutes as Sam Neill's character goes ape-s**t and the husband/wife's child just gives up. It got to the point where I had my hands up in a 'what the hell!?' position sitting in my seat in the theater. Perhaps another viewing would solve some of my quandaries, or just make new ones. Whatever the case, the mood of this film is chilling and harrowing, and for those who like their dolly shots, this is a must-must-MUST see. Oh, and by the way, the creature effects - by the guy that did E.T.(!)",Possession
7,BandSAboutMovies,Woah...,8,22 September 2021,"So what the hell is going on here? Is Anna going insane? Is Mark (Sam Neill) unable to escape their breakup? Are they both dealing with things their own way, and by that, I mean Mark replacing his wife with a subservient drone of a woman (also Adjani) while Anna grows her own Mark in a jar? Is this all happening in a dream? Or are all the dead bodies, grocery throwing freakouts and electric knife mutual self-mutilation sessions really happening? Is it really about Zulawski divorcing himself from Poland? Or maybe as it was made in a still-divided Berlin, is it hopeful about the destruction and rebirth that will come from the tearing down of the Wall?Zulawski went into this movie wanting to kill himself, as his wife had left him (the scene where the child is left alone for hours and the husband comes home to discover his son naked and covered in jelly is autobiographical) while the strains that Adjani put herself through left her in the throes of massive depression and suicidal thoughts, which the director confirms that she acted upon but survived.Neill would later say, ""I call it the most extreme film I've ever made, in every possible respect, and he asked of us things I wouldn't and couldn't go to now. And I think I only just escaped that film with my sanity barely intact.""Mark is a spy home from the cold, yet he returns to a wife who no longer wants to be part of this relationship. She can't tell him why - it's not a new lover - but she doesn't want him any longer. He wants out of the espionage life, even if his handlers seemingly refuse to allow him that choice. Yet she does have a lover - Heinrich - who is not only cucking Mark but easily bests him in a punchup. He in turn attacks his soon-to-be ex-wife and then they take turns attacking one another and themselves with the aforementioned carving knife.Anna also has a second apartment and another life, a tentacled creature that lives with her, and a room full of destroyed body parts, which soon include the detective that Mark has hired to follow her and that detective's lover.Before long, the love that exists - or doesn't - between the married couple consumes everyone, sometimes in fire, sometimes in bullets, sometimes in knife wounds, sometimes just one another on the kitchen floor.That tentacle thing - credit goes to Carlo Rambaldi. You know, I just saw A Lizard In a Woman's Skin at a crowded drive-in and even horror-hardened viewers audibly gasped when his creation of still alive dogs torn apart flashed across the screen. Between that, Alien, Deep Red, A Bay of Blood and so many more, I find it rather life-affirming that the same man who created so many nightmarish visions also had a hand in creating E. T.At one point, Mark says, ""You know, when I'm away from you, I think of you as a monster or a woman possessed, and then I see you again and all this disappears."" This is the most real moment inside a film filled with a cavalcade of fantastic imagery. Tearing apart the life you once had for the promise of something new that may not be as good or may take a tremendous amount of emotional work is the most frightening thing I've ever done in my life. Possession gave me flashbacks to those moments where the world felt like it was ending every day, where I felt like a monster and when the only person you could confide in became the person you could never speak to again.Man, Possession is not an easy watch. Just warning anyone of that going in. But hey - movies should not be just wallpaper. They should attack you. They should change your consciousness. They should take your psyche like a rock tumbler and slam you against the walls over and over until you emerge better.",Possession
8,Coventry,Marriedwith Monstrosities!,3,24 August 2006,"This movie isahem a bit weird, maybe, and it's plain easy to see right away why it divides audiences into two extreme categories. ""Possession"" is a textbook example of the so-called ""love-it-or-hate-it film"" and there's really nothing in between! On the 1-10 weirdness scale, this movie easily gets a rating 20, as it is a non-stop series of bizarre events, demented characters and incomprehensible plot twists. If you add to that a whole lot of gore AND an attempt to stuff the film with symbolism, you get something that becomes incredibly hard to rate and ""masterpiece"" or ""turkey-trash"" purely lies in the eye of the beholder. Personally, I'm a big supporter of strange cinema (films like ""Sweet Movie"" or ""Santa Sangre"" are highly listed among my favorites), but even I thought that writer/director Adrzej Zulawski exaggerated with the constant adding of new and always odder elements. There's absolutely nothing that makes sense here and, eventually, the story lines and sub plots begin to contradict each other and the ambitious screenplay simply becomes one giant pseudo-artistic MESS! The entire story revolves on the troubled housewife Anna who abandons her husband Mark  upon his return from a very long business trip  as well as her eccentric lover Heinrich with no apparent motive. Both gentlemen don't handle this rejection very well, but they eventually discover that Anna left them for a piece of homemade fungus that has its own apartment in the center of the city! Yes, fungus! Not just any type of fungus, but fungus that feeds on private detectives and their gay lovers. Mark replaces his lost wife with her own doppelganger while Anna has a miscarriage in the subway and floods half of Berlin with blood and pus. Are we confused yet?? Well, in case you're not, there's a lot more weirdness where this came from, but I can't possibly bring myself to list it all. If you expect at least a minimum of logic when watching films, I strongly suggest you skip ""Possession"". It's either that or continuously asking yourself the question: ""Why is this happening""? Like Why are people cutting their own necks with an electric knife? Why does the self-acclaimed world sex-champion still live with his mother? What's up with the guy in pink socks? Why does it look like there are only 5 people living in the whole of Berlin? And about 10.000 other why-this & why-that situations, but you get the idea ""Possession"" often succeeds in being confusing and tedious at the same time (which really isn't a good combination) and the whole thing is very ugly to look at. It got labeled as a ""Video Nasty"" shortly after its release in Britain, due to some very explicit and sick gore (notably the aforementioned miscarriage sequence), but don't expect another ""Cannibal Holocaust"" or ""Maniac"", as this is pretentious gore. Pfff Isabelle Adjani's monologues seem to go on forever and I'm not quite sure whether Sam Neill knew what he was doing half of the time. Don't worry, Sam It's not your fault.",Possession
9,Hey_Sweden,Probably better seen than described.,6,18 February 2016,"""Possession"" is a remarkably intense, offbeat, and surreal drama, a truly personal project for Polish writer / director Andrzej Zulawski. He used his divorce and treatment by the Polish government as the genesis for his vision. That vision is of the mind boggling deterioration of a marital relationship, with themes of obsession and psycho sexual problems. Isabelle Adjani and Sam Neill play Anna and Mark, the couple in question. She now wants a divorce, and he's determined to find out WHY. It turns out, she does have a lover (Heinz Bennent), but that's not the only issue in her life. She becomes more unhinged, and Mark eventually discovers that she's got a pretty creepy secret that's come to murderous life.There's no question that this will be a hard slog for some viewers. Although trimmed of over 40 minutes for its American release, it runs over two hours in its uncut form, and it's NOT the horror film - at least, it's not JUST a horror film - that people might be led to believe it is. (Although it's gory and slimy enough to suit some tastes; Carlo Rambaldi did the creature effects.) It does take a dark and macabre turn in its second half, but it promises to be weird for the duration, early on.Zulawski obviously encouraged his actors to truly go for broke in their performances. Neill and especially Adjani tear into the scenery like they haven't done before or since, and again, the acting might prove to be a turn off for some in the audience. Bennent is good, and amusingly off kilter, in his supporting role, and Michael Hogben is an appealing child actor as Mark and Annas' boy Bob.There are interesting moments and conversations throughout, to be sure. The filmmaking is certainly slick. Zulawski managed to create here a unique, memorable entertainment that dips its toes into the waters of both art-house films and genre cinema, and does so with some style.Six out of 10.",Possession
