,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,One of the most underrated movie musicals!,9,5 February 2009,"The criticisms for Annie have been unfair I feel, then again maybe there's some bias as it was one of my absolute favourites as a kid and still is. There have been worse musicals before and since, as well as better admittedly(Wizard of Oz, Singin' in the Rain, West Side Story), High School Musical movies anyone, as well as The Wiz, Mame and A Chorus Line for examples? As for Aileen Quinn, she isn't ginger! She was wearing a wig, plus Annie has red hair! And she was about 10 years old, when she did this movie, and in my opinion she had a fantastic singing voice for her age, and she is an appealing and spunky actress. Albert Finney is just wonderful as Daddy Warbucks, with his gruff voice, and his slow transformation from stern to heartfelt.. it was totally believable. The locket scene was very moving. Broadway diva Ann Reinking was a lovely Grace Farrell(just look at her dancing in ""We Got Annie""), and I liked her voice very much. Sometimes though, it was hidden over the highest voices especially in ""I'm think i'm Gonna Like It Here"". But to be fair, the arrangements are always done to the abilities of the singers. Bernadette Peters and Tim Curry had a little less to do, but they were excellent in their villainous roles, and their rendition of ""Easy Street"" was wonderful. Carol Burnett was fantastic in this movie, making Miss Hannigan as nasty as humanly possible, and performance-wise steals the film. The dialogue is very witty and warm-hearted throughout and Burnett has the best lines, she sings and acts the heck out of ""Little Girls"". The servants did well too, though I don't know any of their names, though Geoffrey Holder was a delight as Punjab. The orphans are delightful, especially Toni Ann Gisondi as Molly, she was so cute, who put rare energy into ""Hard Knock Life"", and ""Without a smile."" I was really impressed with the performances. The songs are just marvellous, even the ones added to the movie(especially ""Sign""), except for ""Dumb Dog"", very forgettable and pointless. I have seen the stage play,(my sister Kathryn played Molly) and enjoyed it as well, though the movie should stand on its own and that's what people seem to not take into account. The 1999 film was good if too short and sugary sweet, but while this may seem like blasphemy I've always considered this the better film, more faithful doesn't always mean better you know. The wonderful title song ""Tommorow!"" played over the title credits, and there was a reprise in the white house, which is one of my favourite scenes. But it showed in her face that Aileen Quinn preferred ""Maybe."" ""Let's Go to the movies"" surprisingly worked on its own merits. It looked lovely with some nice movie star references, and the production values in the entire film are fabulous, glitzy and evocative. But the best element of the movie along with Burnett and the songs was the choreography by the immensely talented Arlene Phillips. I disagree that it was overblown, as a matter of fact it worked amazingly well. The only real criticisms I have with Annie, is that I agree that John Huston was the wrong director, I felt his heart wasn't really in it and his inexperience in the musical genre did show somewhat and while nail-biting the climax was a little contrived, but the performances, songs and choreography completely overshadowed them. Fantastic. 9/10 Bethany Cox",Annie
1,bkoganbing,The oldest orphan in the world,6,7 January 2016,"Little Orphan Annie as a comic strip ran for 86 years from 1924 to 2010 until 1968 under its original creator Harold Gray. Quite a bit is left out when you read a list of Annie's adventures in that period. But the film Annie captures the essence of what she was about. One thing though she never grew up staying a plucky and resourceful orphan with her benefactor Daddy Warbucks the Howard Hughes of the funny papers who had endless money. Young Aileen Quinn is our Annie and Daddy Warbucks is Albert Finney. The film is an adaption of the Broadway Musical that ran for six years and 2377 performances. It hadn't even finished it's Broadway run when the film came out. The film plot concerns Daddy Warbucks inviting a selected orphan out to the fabulous Warbucks estate and Annie gets to be the lucky girl. She gets to him with her innocent charm and plucky attitude.But the mean woman who runs the orphanage who is played with delicious panache by Carol Burnett wants to exploit the situation to her own advantage. Burnett enlists her conman brother Tim Curry and his wife Bernadette Peters. What they do and how Annie triumphs over all is for you to see the film.I'm not sure John Huston was the right choice to direct this, but Busby Berkeley was not available. Probably with a musical or two under his belt Huston might have made a classic. As it is it's not a bad film, just not a great one.In fact this adaption of a cartoon was really perfected by Warren Beatty when he created his Dick Tracy film. That's how you adapt a cartoon as a cartoon to film with live actors.Still Annie got a couple of Oscar nominations for adapted musical score and Art&Set Direction. I wish Burnett had been given recognition when she's on the film really takes off.A good musical with a good adaption for family viewing.",Annie
2,Leofwine_draca,Not a bad musical...,6,10 August 2015,"The songs in this are good, in any case, and that's the important thing about a musical. This is the definitive version of the classic novel in which a young orphan girl is adopted by a wealthy industrialist and forced to learn airs and graces which don't exactly come naturally to her.It's just a pity that so much of the running time consists of Aileen Quinn's histrionic acting as the screeching Annie. This kid can't say a word but instead has to shout everything in that god-awful voice of hers, and I cringed my way through all of her dialogue scenes. Still, as I said, the musical set-pieces are better, having real heart to them, so it's not all bad, and she's a much better singer than she is a speaker.Cast-wise, there's an exemplary turn from the unrecognisable Albert Finney as Warbucks, the benevolent benefactor, alongside stock villainous performances from the likes of Carol Burnett and Tim Curry. Watch out for LIVE AND LET DIE's Geoffrey Holder as the manservant, Punjab.",Annie
3,SnoopyStyle,try-hard Broadway musical,6,9 April 2016,"In the Great Depression, Annie (Aileen Quinn) is a precocious red-haired girl living in a girls' orphanage run by the cruel drunk Miss Hannigan (Carol Burnett). Annie rescues a dog and names him Sandy. Billionaire Daddy Warbucks (Albert Finney) invites an orphan to stay for a week to improve his image. His secretary Grace Farrell (Ann Reinking) picks out Annie. It's a giant mansion with lots of servants. Warbucks is not happy with the orphan not being a boy and the wet dog but he relents. Hannigan's no-good brother Rooster Hannigan (Tim Curry) gets out of jail early and bring over thieving girlfriend Lily St. Regis (Bernadette Peters). Annie wins over the tough Warbucks.There are a couple of really memorable songs. This is a try-hard musical. Outside of those catchy songs, this is a rather flat movie. All the girls are acting big like in a Broadway play. In fact, there is a lot of Broadway acting all around. John Huston's directions are rather old fashion. This is a functional transfer from the stage. I'm not a big fan of this type of acting especially for a two hour movie but little Aileen Quinn doesn't deserve a Razzie. That's a douche move.",Annie
4,Hitchcoc,A Good Version of a Decent Musical,8,30 November 2016,"A good adaptation of a Broadway hit. It features quite good performances by the likes of Albert Finley and Carol Burnett. There are the obligatory production numbers. The two I enjoyed the most were ""It's a Hard Knock LIfe"" and ""I'm Gonna LIke It Here."" Burnett' s Miss Hanagan is a boozing woman who has no moral sense, caring little if her little girls live or die. That's what is at issue in this musical. When Annie, a chronic runaway, somehow gets chosen to be the guest of Oliver Warbucks, it sets things in motion. Just like ""Oliver Twist,"" some see it as an opportunity and some see it as a dog-in-the -manger moment to prevent her from getting her due. Bernadette Peters and the irrepressible Tim Curry are the heavies. In the Broadway musical, the conclusion is not nearly as violent. It keeps our interest and Aileen Quinn is a pretty good Annie, perky and full of optimism.",Annie
5,mark.waltz,The sun will come out when they remake this for television.,5,2 November 2012,"The comic strip little girl finally got eyeballs when a smash hit Broadway musical took the cynics by surprise. But in the hands of a tough men's movie director (John Houston), the results were a lavish spectacular that stole the heart which had made the stage production so memorable. Having just seen the latest NYC production, I confirmed what I recalled of an earlier stage production and multiple viewings of this (three when it was first released) to reflect on what flawed this version. The basic Broadway structure remains with characters from the comic strip thrown in unnecessarily. In the title role, Aileen Quinn is thrown so violently in the viewer's face that it seemed unfair to the young actress. She gives her all in the role, so the fault lies in Houston's hands. Let's sum it up in just saying that even back in the 1930's, Little Orphan Annie was NOT Shirley Temple which is how Quinn is directed to play it.Carol Burnett basically plays Eunice's grandmother here, so the humor is there if not the originality. As Miss Hannigan, she has all the right ingredients, and rips ""Little Girls"" to shreds. But can TV's do-it-all miracle worker do anything wrong? Albert Finney takes on the role of Daddy Warbucks as if it were steak, devouring the role, bone and all. As the sweet Grace Farrell, Ann Reinking seems miscast, and gets to perform the movie's most awkward new song ""We've Got Annie"". In the villain roles, Tim Curry and Bernadette Peters seem slumming, although Curry (who the very same year played Bill Sikes in the very similar ""Oliver Twist"") appropriately plays the role tongue in cheek. Peters' inclusion as the floozie Lily St. Regis just indicates the attempt to make this almost a 2 plus hour long Carol Burnett Show sketch where lots of big name stars are thrown in for something really unworthy of their extensive talents.Burnett, Curry and Peters perform the show-stopping ""Easy Street"" which is filmed so awkwardly (with the camera right on the three as they stare right into it as well as cartoonish visual gags for Burnett) that it lands with a thud. Like the stage production, the other orphans don't come off as overly cute so that is one compensation. The cutting of several prominent songs (most notably ""NYC"") for new ones is another flaw. ""Let's Go to the Movies"" may seem lavish, but unlike ""NYC"", it really serves no other purpose than to remind the viewer that this was a Hollywood project rather than a Broadway one.Changes from the original Broadway production were many, which included the addition of several characters from the comic strip who didn't appear in the original stage version. This included Geoffrey Holder's casting as ""the Asp"" (Daddy Warbuck's chauffeur) whose performance is more cutesy than character driven. He was serviced better in the soda commercials he was doing around this time than the obnoxiously coy material he was given here. The big ""I Think I'm Going to Like It Here!"" seems like something out of Disney's big musicals, so filled with moments that might make adults cringe. Finney, having already proved that he could handle a musical with ""Scrooge"", is excellent as Daddy Warbucks. He's an obvious lovable old curmudgeon who needs something to remind him that he's alive, but unfortunately, Quinn's Annie is too plucky and in your face to really make Warbuck's affections for her realistic.Better as a made for T.V. remake which was just as lavish but far more likable overall, ""Annie"" suffers from striving too hard to be as far from its original Broadway source as it could be. This shows a lack of faith from the creator's part to gage what Hollywood audiences would want in a big movie musical in 1982. Hopefully with a third movie version of this classic having coming out and bombed, the third time will be an end to try and do this again. There are a lot of things to like here, but minor elements of inconsequential details make it a bit of a mess. That, and the film's altered ending for Miss Hannigan's fate, presented rather unbelievably after a badly included sequence with Annie in the hands of the villains where the entire Broadway plot was sent out the window.",Annie
6,gavin6942,A Cartoon Come to Life,6,8 February 2017,"A young orphan girl's adventures in finding a family that will take her.I shouldn't be too harsh on this film. It is something of a modern classic. More people know this film than any other version of it or the comic strip. And the songs ""Tomorrow"" and ""Hard Knock Life"", love them or hate them, are part of popular culture.But there are things that could be improved upon. Tim Curry's character, for example, arrives much too late. An increased presence from him and his mischief-making would be welcome. There is also some question about the character of ""Punjab"". I'm afraid to say anything about him, other than to note that there's no way this character can't be seen as offensive on some level. I mean, what the heck?",Annie
7,lee_eisenberg,"Remember when that woman watched it in ""Serial Mom""?",3,26 April 2006,"What the hell? John Huston was known for classics like ""The Maltese Falcon"", ""Treasure of the Sierra Madre"" and ""Moby Dick"". So why this? I probably last saw ""Annie"" when I was six, and now that I know that Carol Burnett, Albert Finney and Tim Curry all starred, maybe that does change things. But a really neat way that they used this movie was in John Waters's suburban satire ""Serial Mom"": in one scene, a woman watches it before...well, just watch the movie. It's sort of like when the title characters in ""Gremlins"" watched ""Snow White and the Seven Dwarfs"".All in all, maybe this passes as a cultural reference, but let's not treat it as a masterpiece.",Annie
8,jboothmillard,Annie,5,26 November 2007,"I am really glad I have this movie a second chance, the first time I watched it, I judged it too harshly, yes John Huston (The Asphalt Jungle, The Treasure of the Sierra Madre, The African Queen, The Man Who Would Be King) was perhaps the wrong director to take on the movie adaptation of the Broadway musical, based on the popular comic strip, but it doesn't matter. Basically, set during the Great Depression, Annie (introducing twice Golden Globe nominated, and Razzie winning and nominated Aileen Quinn) is one of the many orphans looked after by the stressed and hateful Miss Hannigan (Golden Globe nominated Carol Burnett). After Annie gets back from another attempted escape, Grace Farrell (Ann Reinking), who works for billionaire Oliver Warbucks (Albert Finney), is hoping to find a child to come and live in his mansion for a week, to improve his public image. Annie is the chosen child, but after arriving she is not a favourite with the grouchy master, but she has quickly charmed the hearts of all the staff, and after a while, she eventually connects with Warbucks. But Annie doesn't want to be adopted by Warbucks, because, before leaving her, her parents made a promise to return. So to make Annie happy, Warbucks offers a reward to the people who can come and prove their identity as her parents. This becomes a clever scheme by Hannigan, her brother Rooster (Tim Curry) and his girlfriend Lily St. Regis (Bernadette Peters) pose as her parents to claim the reward for themselves. But the children at the orphanage overheard their plan, including the fact that Miss Hannigan mentioned that she knows Annie's parents are dead, Warbucks and the others find out and go to rescue her. In the end, after the kidnap attempt, Rooster and Regis are arrested for their treachery, Hannigan becomes a reformed woman, and Annie lives happily with her newfound family that she always wanted. Also starring Live and Let Die's Geoffrey Holder as Punjab. Quinn is appealing as the little red-head title character, first time I watched admittedly she got on my nerves, thank goodness she grew on me, Burnett is suited perfectly to the role of the zesty head of the orphanage, and Finney does alright as the bald rich guy that is charmed by the moppet. ""It's a Hard Knock Life"" (which I also enjoy with Jay-Z or Dr. Evil rapping over it) and ""Tomorrow"" are the most memorable songs, the song and dance numbers are all choreographed well, and the costumes and beackgrounds bring the 1930s period to life. It did get mixed reviews and negative award nominations I thought were deserved, the first time I watched, I'm relieved to say I enjoyed it much more the second time, a reasonable and fun musical film. It was nominated the Oscars for Best Art Direction-Set Decoration and Best Music for Ralph Burns, it was nominated the BAFTA for Best Original Song for ""Tomorrow"", and it was nominated the Razzies for Worst Picture and Worst Screenplay. It was number 26 on The 100 Greatest Musicals. Worth watching!",Annie
9,ccthemovieman-1,"The Good And Bad Of ""Annie""",7,31 March 2006,"This updated version of the famous comic character, ""Li'l Orphan Annie,"" was pretty good and was very good at balancing all three aspects of music, comedy and drama.THE GOOD - Most of the songs are good because Aileen Quinn, as ""Annie,"" is so good. She has the best voice of a girl this young I've heard on film; she's cute and she can act. She is a legitimate Shirley Temple clone.Albert Finney also is enjoyable as ""Daddy Warbucks,"" although he does get a bit too loud at times. The little girls in the orphanage are talented: good singers and dancers. Their song-and-dance numbers are more entertaining than the adult's. Some of the latter's could have been left out, although there is a great Busby Berkeley-type number when the adults and kids all go to the movies. The period - around 1932 - is pretty to view with nice sets. This is a big budget film and it shows....and the ending is nice.THE BAD - Carol Burnett is really annoying to watch, not because she plays the villain but because of her abrasive voice and her pronounced ""G-d"" exclamations. Speaking of the latter, Tim Curry yells out a ""GD"" which has no place in a family film like this. Interesting also to note that, unlike the Temple movies, the only religion given credence here is Buddhism as Geoffrey Holder plays a Buddhist with supernatural powers. Give me a break! This is so typical of today's films. And another with that theme, of course, Democrat Roosevelt and his wife Eleanor are portrayed as extremely caring, wonderful people while Finney is the gruff Republican.OVERALL - Quinn and Finney are so good that they far outweigh Burnett's negative traits and make this a good film to own.",Annie
