,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,A lot closer to the book.....,7,31 December 2011,"I've gotta admit....I'm cheating a bit on the summary. I have never read J.M. Berrie's story ""Peter Pan"". But, my oldest daughter has and sat with me to watch this film and contributed a lot to the review--telling me how close and how different the story and film are. While this movie version is MUCH more adult than the cartoon, the book apparently is even more adult--such as having Peter apparently kill the Lost Boys when they get too old for Neverland! Yes, this IS NOT a story for little kids! In this version of Peter Pan, the story is quite a bit different from Disney's famous cartoon. Captain Hook kills quite a few people, Tinkerbell is even nastier and the film shows the depressed mom pining for her children after they've disappeared. The book, apparently, was darker. What is much different from the book, though, was the emphasis on romance between Wendy and Peter--as, in the book, Peter had little interest in this sort of thing and just wanted to play and live in the moment. I think they added this sexual tension (ewwww!) to try to make the story more cinematic. I think despite this, the film did strike a decent balance between the darkness of the story and how dark to make the film--but I would NOT recommend the film for younger viewers.One final word about the film. Despite good acting, too often I was distracted from this because of all the crazy filters that were used on the print. I am not sure if this was added later using computers (I assume this is the case), but too often it really was hard on the eyes and distracting.Verdict---worth seeing and MUCH better than ""Hook"". Still, despite being very different than the book, give me the Disney version.",Peter Pan
1,TheLittleSongbird,"Near-perfect film, about the boy who never grew up!",9,30 April 2009,"This film is amazing. I also really like the Disney film, but I was really unimpressed by its sequel. Both this and the Disney film are superior to the sequel Return To Neverland, and I also recommend the animated TV series Peter Pan and the Pirates, with Captain Hook at his most complex.I have only two flaws with this film. First, it isn't as complex and meaningful as the book by J.M.Barrie, which I think is one of the best children's books ever written. Secondly, likewise with Bobby Driscoll, the voice of Peter, in the Disney film, Jeremy Sumpter mayn't be to everyone's taste, as he doesn't quite live up to the playful and rather likable character in the book, but it is still a spirited performance.However, this film has a huge amount to recommend it. First of all, is the gorgeous scenery and the cinematography. Such beautiful and vivid colours, that left you in wonder and wanting more. I also liked the fact, the producers made the film darker than the book to some extent, like making Hook more complex and more suave, an idea that they didn't quite explore in the Disney film. The acting was very good indeed. Rachel Hurd Wood is the picture of innocence as Wendy, and Richard Briers does more than a capable job as Smee. Plus Ludivine Sagnier was awesome, one of my favourite interpretations of Tinkerbell actually. Stealing the acting honours, like Dustin Hoffmann, like Hans Conried, like Tim Curry(in the animated series), is the wonderful Jason Isaacs, in a sometimes terrifying portrayal of Hook. And seriously he should have got an award for his brilliant performance. The music score was lovely too, very fantasy-like and sparkling.In conclusion, a beautiful film, not as good as the book, but there is a lot to enjoy here. 9/10 Bethany Cox",Peter Pan
2,SnoopyStyle,Wendy on the edge of adulthood,8,17 November 2013,"This is a much more sexualized Wendy (Rachel Hurd-Wood), and Aunt Millicent (Lynn Redgrave) wants to teach her while banning her from the nursery. She is on the edge of becoming a woman. Mr Darling (Jason Isaacs) is trying to climb the social ladder. On her last night in the nursery, Peter Pan (Jeremy Sumpter) and Tinker Bell (Ludivine Sagnier) intrude on their lives.There is a lot of talk of kisses. Wendy is resisting the pull of adulthood but there's something happening between her and Peter. It seems to be taken a different tack on the never growing up aspect. It is diving right into the teenage hormones pool. It is a rather dangerous swim seeing how Rachel Hurd-Wood was no more than 12 at the time. In the end, they pull back before anything truly scandalous happened. It's quite a risky proposition to sexualize a children's fantasy. It is darker and not really the same as the Disney classic that everybody knows about. This one did it in a tasteful manner. The CGI especially Tinker Bell looks great. Ludivine Sagnier is actually able to act as a member of the cast. Jeremy Sumpter as Peter Pan is too effeminate. I think it's the curly hair. Everybody else does a good job. It's a darker Peter Pan movie with an edge.",Peter Pan
3,claudio_carvalho,A Delightful Version for Adults and Children of a Classic Fairytale,8,26 December 2004,"The tale of Peter Pan, Wendy, Captain Hook, Tink, Neverland and the crocodile that ate the hand of Captain Hook with an alarm clock, is told again, in a delightful version, for adults and children, of this classic fairytale. The story is magnificent and the special effects seem to be state-of-art, making the movie very beautiful and a worthwhile entertainment. However, I believe that the important role of Peter Pan deserved a better actor, since Jeremy Sumpter is expressionless in most dramatic situations, keeping the same face along the movie. Another weak choice is Ludivine Sagnier, who is not funny in the role of Tink, using grimaces trying to joke. She is an excellent actress, but she did not fit well to the character of Tink. The pirates are excellent, and belongs to Captain Hook, Smee & Company the best parts of the film. The other children have also great performances. My vote is eight.Title (Brazil): ""Peter Pan""",Peter Pan
4,jboothmillard,Peter Pan,5,30 January 2008,"I only heard of this film because the third Harry Potter film wasn't ready, so this was the film that pretty much replaced it for the Christmas period, from director P.J. Hogan (My Best Friend's Wedding). You know the basic plot, the Darling children: Wendy (Rachel Hurd-Wood), John (Harry Newell) and Michael (Freddie Popplewell) are all adventure seekers, and are whisked away by the boy who never grew up, Peter Pan (Jeremy Sumpter) and the magic dust of Tinker Bell/""Tink"" (Ludivine Sagnier) with their happy thoughts helping them fly to Neverland. Then the rest of the story is just the pretty scary Captain Hook (Jason Isaacs, also playing Mr. Darling, and his hook on the right instead of the traditional left) trying to catch or kill Peter and the other children, including The Lost Boys: Slightly (Theodore Chester), Tootles (Rupert Simonian), Curly (George MacKay), Nibs (Harry Eden) and the Twins (Patrick and Lachlan Gooch). Also starring Lynn Redgrave as Aunt Millicent, Richard Briers as Smee, The Sixth Sense's Olivia Williams as Mrs. Darling, Geoffrey Palmer as Sir Edward Quiller Couch, Carsen Gray as Tiger Lily and Saffron Burrows as the story's narrator. With quite a few sword fights, a cheesy bit where everyone shouts ""I do believe in fairies. I do, I do."" to bring a poisoned Tink back to life, some recognisable names and features I remember from the cartoon and Steven Spielberg versions, and some dark moments, this is an okay film, but like Spielberg's Hook, this is a film I won't be seeing to often, maybe never again. Worth watching!",Peter Pan
5,ma-cortes,Classic history with an enjoyable Peter Pan and colorful cinematography,7,31 December 2004,"The film centers about Peter Pan (Jeremy Sumpter), Tink (Ludivine Sagnier), Wendy (Raquel Evan-Wood) and brothers who escape from parents' home (Jason Isaacs and Olivia Williams) and they are going to Neverland . They will take on captain Hook ( Jason Isaacs) and pirates henchmen . The argument is similar to Walt Disney's classic , it's alike the cartoon had been made reality. The starring couple as Jeremy Sumpter and Raquel Wood are top notch and Jason Isaacs, sometimes good (the dad) and other bad (Hook) is excellent . Cinematography by Donald McAlpine and James Newton Howard musical score are breathtaking and spellbound . Industrial light magic (ILM , George Lucas production) special effects are awesome and spectacular . Sets are astounding and gorgeous . The picture mingles adventures, action, humor ,tongue in cheek , fantasy and a lot of entertainment . Since the beginning until the end the amusing is interminable . The fable will appeal to adventure and classic tales fans . Rating. 7/10 above average",Peter Pan
6,wes-connors,Peter Breaks Through,8,9 February 2009,"Nothing against the memorable versions featuring Betty Bronson, Bobby Driscoll, and Mary Martin - portraying James M. Barrie's boy wonder - but, this adaptation of ""Peter Pan"" comes closer to the spirit of the original work. For one thing, ""Peter"" is played by a real boy, which enables Jeremy Sumpter (as Peter) and Rachel Hurd-Wood (as Wendy) to more accurately portray Peter and Wendy as the pre-romantic couple. The novel's appealing mixture of ""romance"" and ""adventure"" is more in balance. The young characters, as children, mix ""yin"" and ""yang"". Both characters - Peter and Wendy - are important, and both possess the childlike masculine and feminine attributes.Mr. Hogan's cast and crew present an outstanding production. Jason Isaacs' ""Captain Hook"" supports the engaging younger performers beautifully. And, Lynn Redgrave is a welcome addition to the lore. Although this is a relatively faithful-to-the-original adaptation, it only touches upon Mr. Barrie's powerful ending (""When Wendy Grew Up""). So, a more perfect Peter has yet to be filmed...""Peter Pan"" is about that magical part of being a child, before sexuality (or, puberty) takes over, and becomes the prime directive. It's a time when Pirates and Fairies may still be real - and the difficulty in letting that part of your life go may be recalled by adults viewing director P.J. Hogan's exciting interpretation. If you don't remember the magic, watch your children enjoy ""Peter Pan"" - then, you might remember It's second to the right, and then straight on 'till morning ******** Peter Pan (2003) P.J. Hogan ~ Jeremy Sumpter, Rachel Hurd-Wood, Jason Isaacs",Peter Pan
7,Boba_Fett1138,Bad storytelling but the style compensates for this.,7,21 July 2005,"""Peter Pan"" is lacking on several levels, mainly due to the way the movie its story is told. Still this is a movie that is visually gorgeously looking and has some impressive special effects that all surpassed my expectations.Still ""Peter Pan"" remains a disappointing movie, mainly also because it has so many missed opportunities. The movie doesn't feel one bit adventurous or imaginative. It's almost as if the movie is taking itself way too serious. Also this is one of those movies that could had used some more humor and fun entertaining moments, like you would expect from a fantasy movie such as ""Peter Pan"". Will kids enjoy this movie? Not halve as much as ""Hook"" I'd say. But maybe the biggest missed opportunity of the entire movie is Jason Isaacs. I was excited when I first heard that he was going to play the famous captain Hook, I thought he would be perfect for the role. He was however highly underused in the movie and he didn't had an awful lot to do. I even liked him better in his role as the father Mr. Darling. Also most of the other characters are highly underused and underdeveloped. Smee, John, Michael and the lost boys don't seem to have a purpose at all in the movie and they could have easily been left out.The movie also does not feel coherent. At times the movie just jumps from one scene to another. It's almost as if there was some missing footage in between them.But yes of course the movie does has its moments and strong points. I kind of like the whole fairy dance sequences, which in my opinion is really cute and sweet and I like the way the love story between Peter and Wendy is portrayed. Jeremy Sumpter and Rachel Hurd-Wood are a nice sweet screen couple and there is some real chemistry between them on the screen. However I'm sure that in 10 years from now these two won't be in the business anymore, they will be one-day-flies. They are simply missing the talent to stay in the business.Really strongest point of the movie is the fantastic visual look it has. It has some really nice sets and some really splendid special effects. Also the musical score by James Newton Howard deserves praise.Even though as a movie this is a better one, I still find ""Hook"" to be a more recommendable movie than this one. This is mainly because this movie is lacking in adventure and fun moments...and it has no Dustin Hoffman as Hook. Yes, I know this movie follows the book of course more closely than Hook, which is an entirely different movie and story of course but I'm sure that the young ones will far more be entertained by it. Perhaps this movie will be best appreciated by adults.This movie could had been a great swashbuckling adventure ala ""Pirates of the Caribbean: The Curse of the Black Pearl"" but sadly it ain't so. While watching this movie I also couldn't help thinking about one thing; What if Tim Burton made a Peter Pan movie. How perfect would that be? I couldn't think of one better director to truly capture the magic and story the Peter Pan book has. Wishful thinking, I know.Seriously, you're better of watching ""Hook"" or Disney's ""Peter Pan"" from 1953.7/10http://bobafett1138.blogspot.com/",Peter Pan
8,neil-476,Decent,8,17 March 2020,"Siblings Wendy, John and Michael are talked into accompanying determined pre-adolesent Peter Pan to Neverland, where Wendy takes a role as would-be mother, and steps into a blood feud between Peter and the villainous pirate, Captain Hook.JM Barrie's childrens story certainly has legs,not only on paper and film, but also as a stage presentation. Although it is normally staged at Christmas and has its share of audience participation moments, it isn't actually a pantomime, the usual Christmas stage show aimed at British youngsters. Instead, it stands rather on its own, and has proved somewhat difficult to translate faithfully to the screen.This version does quite well. If it falls down, it does so in the casting of Peter. Jeremy Sumpter is actually quite a good Peter, but he is a very solidly American Peter in the midst of a very, very English cast. This, unfortunately, makes him feel rather out of place which, sadly, detracts from an otherwise excellent adaptation.",Peter Pan
9,anaconda-40658,Worthy Live Update.,8,9 March 2016,"Peter Pan (2003): Dir: P.J. Hogan / Cast: Jeremy Sumpter, Jason Isaacs, Rachel Hurd-Wood, Ludivine Sagnier, Lynn Regrave: Glorious live version of the 1953 animated classic with all the glitter and glam one could ask for. It is the story of a boy who would never grow up. He has the ability to take flight and eventually descends from the clouds and into the bedroom of twelve year old Wendy. She is immediately fascinated and accepts his offer to glide through the air joined by her brothers over the clouds and into the mystical Neverland. Once there they must fend off a band of pirates headed by the evil Captain Hook. Beautifully realized adaptation although it is highly unlikely that children could successfully sword fight pirates. Director P.J. Hogan does well combining humour, romance and adventure. Jeremy Sumpter is perfectly cast as Peter Pan whose mind is young yet his body is experienced in the realms of the unknown. Jason Isaacs is fantastic as Hook as well as playing the father of the children. Rachel Hurd-Wood nearly steals the film as Wendy in her curious disposition. Ludivine Sagnier plays pixie Tinkerbell who is small yet not without resources. Lynn Redgrave is cast as an aunt who desires to help Wendy in becoming an adult. Successful live version carries the intended theme of growing up as well as presenting beautiful visual wonderland. Score: 8 / 10",Peter Pan
