,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Not as good as Raiders of the Lost Ark but an improvement on Temple of Doom,9,3 September 2010,"Raiders of the Lost Ark was absolutely brilliant, while Temple of Doom was pretty good if disappointing. The Last Crusade improves on Temple of Doom while just lacking the brisk efficiency of Raiders. It looks fabulous and has a great music score. The script is deliciously witty especially with the interplay between Ford and Connery, and the story is engaging. The action is epic, and I liked the neat sequence at the beginning that explains things such as Indy's fear of snakes and how he got the scar on his chin. Steven Spielburg does an excellent job directing, while both Harrison Ford and Sean Connery(in a masterstroke of casting) are perfectly cast as Indy and Indy's father. On the whole, exciting, witty and fun. 9/10 Bethany Cox",Indiana Jones and the Last Crusade
1,bkoganbing,"If They Couldn't Get The Ark Of The Covenant, They'll Settle For The Holy Grail",9,15 June 2008,"When Indiana Jones went on his last crusade in search of the Holy Grail, the adventure took him to such far flung places as Venice, Vienna, Berlin, and the fictitious kingdom of Hatay in the Middle East. Well he wasn't just searching for the Holy Grail.A mysterious millionaire who's been a benefactor of archeology played by Julian Glover has hired the senior Henry Jones, who's always been a Grail seeker to look for it. But he's turned up quite missing and it's up to Harrison Ford to find his father.In an inspired piece of casting Sean Connery plays the senior Doctor Jones and the chemistry between Ford and Connery is fine. Connery is so good in the part that he makes you forget that it's usually Connery who gets to do the action stuff. Ford of course bares the burden of it while rescuing Dad from the clutches of the Nazis. They too are in pursuit of the Holy Grail. I guess if they couldn't get the Ark of the Covenant, they'll settle for the Grail. They've got a lovely female scientist in the person of Alison Doody in on the hunt.While I was watching Indiana Jones And The Last Crusade, the thought struck me that this was also the plot of Abbott and Costello Meet The Mummy. Of course with a budget a gazillion times more. But in that film Bud and Lou are in pursuit of Klaris the Mummy, Marie Windsor and a couple of henchmen are also after it, and so are the followers of Klaris led by Richard Deacon intent from not letting the secret out. Indiana Jones And The Last Crusade also has a group of people who know the secret of the Holy Grail, where it is, and they're not letting ANYONE remotely near it.Indiana Jones regulars like John Rhys-Davies and Denholm Elliott are also here and I also like the performance of 81 year old Robert Eddison in his next to last film as the Grail Knight. His is an astounding story and the last shot of him is for me the most memorable moment of the film.The first Indiana Jones film came out at the beginning of the Eighties and it's fitting and proper that this film came out as that decade came to a close. It's a worthy successor and in some ways superior to the first two films and a grand show.",Indiana Jones and the Last Crusade
2,Leofwine_draca,"The least of the trilogy, but still crowd-pleasing, old-fashioned escapism",9,4 August 2016,"Third time lucky for George Lucas and Steven Spielberg, who followed 1984's INDIANA JONES AND THE TEMPLE OF DOOM with this engaging comedy/adventure yarn which doesn't equal the dizzy heights of the previous adventures - it's a little too samey to do that - but still proves to be a better-than-average film of its type. My only complaint is the reliance on back projection, something not seen so much in the previous two films, which actually dates this more than RAIDERS OF THE LOST ARK despite the fact that RAIDERS was made eight years later (the poor effects are highlighted in the plane fight sequence). The film expertly blends comedy and adventure to make a fun, action-packed romp.Once again, the formula is familiar and offers up a ton of cliffhanging set-pieces. There's the opening train chase involving River Phoenix's young Indy; a thrilling fight on a boat which is being torn to shreds by a huge propeller; boat and motorbike chases; an excellent bit of action on a tank; and of course the finale which turns the deadly traps - a staple of the series - into an art form. The film is nicely violent in parts, with bloody shootings and a surprise decapitation, and bad guy Julian Glover gets a superbly gruesome demise after drinking from the wrong chalice and disintegrating into a skeleton at the film's conclusion - a scene which had me cowering behind my seat in tears when I saw it first as a kid.Harrison Ford effortlessly adopts the Indiana Jones mantle again after a five-year break, and despite looking slightly older he carries off the action and wisecracks with aplomb. Sean Connery - an actor I really didn't used to like very much - also acquits himself well with what is essentially the bumbling sidekick role (after the success of LETHAL WEAPON at the cinema, buddy-buddy movies were everywhere). Thanks to the presence of Connery's sidekick, there isn't an annoyingly ditzy female lead for a change, although Alison Doody gives her money's worth as a smouldering Nazi spy. Julian Glover excels as the smooth villain and it's nice to see Brits John Rhys-Davies and Denholm Elliott in major parts of the story. A thoroughly exciting - and funny with it - slice of old fashioned escapism, the kind they just didn't make in the 1990s.",Indiana Jones and the Last Crusade
3,SnoopyStyle,Great duo of Harrison Ford and Sean Connery,7,25 December 2013,"Indiana Jones is trying to correct the perception that he's a grave robber in the first section. As a teen, he tries to rescue an important gold artifact and later as an adult, he finally steals it back from a ruthless collector. Now there is a tablet about the location of the Holy Grail. Indy must stop the Nazis once again and rescue his father (Sean Connery).It's a return more to the original and abandoning the stupidity of 'Temple of Doom'. This time they have Sean Connery to play opposite Harrison Ford. It takes awhile to get them together, but once there, they make a great duo. I love their banter. Their chemistry saves this movie from being a sad reminder of better times.",Indiana Jones and the Last Crusade
4,Prismark10,Ride off to the sunset,9,3 August 2013,"Back to teaching, Indiana Jones finds out that his father has been kidnapped and he must set out to find him.His only clues are his father's diary notes, which were mysteriously sent to him earlier that day. They lead him to Italy, where he meets the alluring, Dr Elsa Schneider (Alison Doody.) She becomes an integral part of this story.Raiders of the Lost Ark was one hell of a ride, The Temple of Doom was too dark, too gruesome for some.The Last Crusade took the best elements of the first film. The Nazis, the search for a mystical religious artifact, Denholm Elliott and John Rhys Davies.The film starts with a sequence when Indy as a kid. This was an appetiser for Lucas's idea of the Young Indiana Jones adventures.The addition of Sean Connery as Indy's father leads to some of the best comic films in the moment, with also some literate moments, plenty of action and very nifty special effects.It is a Saturday afternoon at the movies spectacular.",Indiana Jones and the Last Crusade
5,mark.waltz,Once again chasing Nazi's.,9,1 January 2021,"The rollercoaster chases and huge bugs set aside as hour d'ourves have been put aside for this return to what really made the first one work: great adventure and a fantastic story, thrilling in every way. There's also a very interesting family connection made with the addition of Sean Connery as Dr. Henry Jones, Indiana's father, from whom he's been estranged from for years. Connery and Ford make a great pair, and instead of the ark of the covenant, they are after the holy grail, no Monty Python to be found.This starts like the first one did, with an old adventure, this time going back to the young Indiana (River Phoenix) who is after an ancient Indian relic in his home state. We fast forward to years later, still trying to get it, and then he's reunited with the loveable Marcus (Denholm Elliott) who tells him about the quest got the grail. This leads him onto another quest, to find his father, being held by men sworn to protect the grail, and eventually chased by Nazi's who have their own reason for wanting to get their hands on the grail, as well as the evil Julian Glover, a megalomaniac madman seeking eternal life.As usual, there's a beautiful woman, Alison Doody, a doctor of archaeology who may or may not be in cahoots with the Nazi's. The journey to the valley where the grail is comes after some really thrilling adventures including trips on a dirigible, a plane being chased by the German's bullets and later on the ground in a stolen car. The villains are terrifically evil (in keeping with the series tribute to the serials of Spielberg's youth), and Doody is an alluring if dangerous femme fatale. But the strength of this film lies with the chemistry of Harrison Ford and Sean Connery, a personal story as well as a spiritual one, and that makes this entry a triumph.",Indiana Jones and the Last Crusade
6,classicsoncall,"""Germany has declared war on the Jones boys!""",8,2 September 2014,"Somehow I gave this one a pass during it's original theatrical run, figuring that as in so many cases, the third film in a series would be a diluted version of the ones that went before. Well in many respects this picture is a retread of ""Raiders of the Lost Ark"" with it's serial style one danger after another to escape from. What makes it work I think is the father/son camaraderie of Harrison Ford and Sean Connery who play off each other effectively, and in many cases without saying a word. Like the 'she talks in her sleep' scene that floors Indy, that was just a hoot. And the old 'pen is mightier than the sword' gimmick takes on new meaning when the senior Jones finds himself in a tough spot. With all the location changes, character names and snakes and rats to distract you, the action is sometimes a little difficult to follow, but this is pretty much what you want your action adventures to look like. The Nazis take a beating too.",Indiana Jones and the Last Crusade
7,gavin6942,The Indy Trilogy Ends Strong,7,1 December 2014,"When Dr. Henry Jones Sr. (Sean Connery) suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones (Harrison Ford) must follow in his father's footsteps and stop the Nazis.The general consensus is that ""Raiders of the Lost Ark"" is the best Indiana Jones film, ""Temple of Doom"" was a disappointment, and this one was the redeemer: not as good as ""Raiders"" (but close), and better than ""Temple"". Now, in fairness, ""Temple"" is probably better than generally given credit, but the overall order is correct.The Nazi villains here are among the nastiest, the plot is weaving in the way that we want from an Indy film... and the object of their search? Well, how can you ever get better than the Holy Grail? (The original script called for the Fountain of Youth... maybe someday we will see that.)",Indiana Jones and the Last Crusade
8,lee_eisenberg,The 3rd time IS the charm!,10,9 December 2005,"After ""Temple of Doom"" went off in another direction, Steven Spielberg got the trilogy back on track with ""Indiana Jones and the Last Crusade"". The plot of course has the eponymous archaeologist (Harrison Ford) and his father Henry (Sean Connery) battling Nazis while searching for the Holy Grail. The hot babe this time is Dr. Elsa Schneider (Alison Doody), while Denholm Elliott and John Rhys-Davies return as Marcus Brody and Sallah, respectively. My favorite scene? Hard to say; this movie had so many cool scenes. OK, so the Indiana Jones movies were basically escapism, but well-done escapism. You won't be disappointed after seeing this movie.",Indiana Jones and the Last Crusade
9,jboothmillard,Indiana Jones and the Last Crusade,10,15 March 2005,"The first film Raiders of the Lost Ark is critics' favourite, the second Temple of Doom went just a tiny bit off the rails, and this third instalment is my personal favourite, besides the original, from director Steven Spielberg (Jaws, E.T. the Extra-Terrestrial, Schindler's List, Saving Private Ryan). The first ten minutes see young Indiana (River Phoenix) having his first adventure to rescue an artefact, a cross, and getting his iconic chin scar and fedora felt hat. Then, 1938, grown up Indy (Harrison Ford) is on a ship fighting to get the cross (oh, it is meant to be three years after he found the Lost Ark). Then the real story begins, he meets artefact collector, Walter Donovan (Julian Glover), who shows him a tablet marker with details about the cup of Christ (that he used during the last supper), the Holy Grail, which if drunk from will give eternal life/immortality. Donovan tells him to pick up where the scientist expert left off in Venice, Italy, believed to be the location of the second tablet marker, oh, this expert is Indy's father! So, he meets his Dad's assistant, Dr. Elsa Schneider (Alison Doody), they find the second marker under the library in the sewers, and some cultists dedicated to stopping anyone finding the Grail are after them for a while. He reaches his Dad, Professor Henry Jones (the excellent BAFTA and Golden Globe nominated Sir Sean Connery), and after escaping the Nazi Germans (yes, their back) they are on the run trying to get to the resting place of the Grail first. Old friends Marcus Brody (Denholm Elliot) and Sallah (John Rhys-Davies) also join them along the journey. Also starring Michael Byrne as Vogel, Kevork Malikyan as Kazim, Robert Eddison as Grail Knight, Richard Young as Fedora, Alexei Sayle as Sultan and Indy even comes face to face with Adolf Hitler (Michael Sheard). I should mention that Indiana's real name is Henry, that's why his Dad insists on calling him 'Junior' (George Lucas as writer named the character after his dog, Indiana, just like in the film). It won the Oscar for Best Sound Effects Editing, and it was nominated for Best Music for John Williams and Best Sound, and it was nominated the BAFTAs for Best Sound and Best Special Effects. Steven Spielberg was number 56 on The 100 Greatest Pop Culture Icons, River Phoenix was number 69, Sir Sean Connery number 8, and Harrison Ford number 5 on The 100 Greatest Movie Stars, Connery was also number 3 on The 50 Greatest British Actors, and Indiana Jones was number 2 on 100 Years, 100 Heroes & Villains. Outstanding!",Indiana Jones and the Last Crusade
