,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,A nice time passer,7,30 November 2017,"A few years ago, I went to a panel at New York ComicCon all about ""The Final Girls"". The movie hadn't yet debuted but the cast and filmmakers were there to hype the production. I enjoyed the panel but forgot to see the movie...and finally got around to it tonight. And, it turned out to be a decent little film. And, when I say 'little' it's because the film was low-budgeted and seemed to come and go rather quickly. Fortunately, the DVD is available through Netflix and it's worth your time.Before going on, it's important to note that I am talking about ""The Final Girls""...not ""The Final Girl"" from 2010.The story is about a group of five friends who inexplicably get stuck in a bad 1980s slasher film. While they know what's going to happen, they have a heck of a time avoiding death and only a seeming miracle can stop the killing machine, Billy.The film is a combination of comedy and pathos. I wish the film had focused more on comedy but my wife disagreed and liked the mix. Regardless, the film has many clever moments and is a nice sendoff of the genre. Worth seeing. And, it's one of the few films that features outtakes at the end that actually ARE worth seeing.",The Final Girls
1,SnoopyStyle,fun satirical homage to 80's horror,7,30 July 2016,"Amanda Cartwright (Malin Akerman) is a struggling actress trying to live down her icon role in the 80's slasher movie ""Camp Bloodbath"". She and her daughter Max (Taissa Farmiga) get into a car crash. Three years later, Max reluctantly attends a tribute screening of her late mother's most famous role. She is joined by her best friend Gertie Michaels (Alia Shawkat), Gertie's stepbrother horror-fan Duncan (Thomas Middleditch), fawning Chris (Alexander Ludwig), and Chris' jealous ex-girlfriend Vicki (Nina Dobrev). A fire starts in the theater. Max finds a machete and cuts into the screen. She and her friends escape the fire into the movie world. They encounter Max's mom playing Nancy and the rest of the cast. There's the womanizing Kurt and slutty Tina. The movie won't let them go and is suppose to end when the final girl Tina kills the masked killer Billy.It's a fun loving satirical stab at the 80's horror genre. It's Scream with more tongue in cheek. It also has a great heart with Max reuniting with a version of her mother. It's too bad that the outrageous Kurt and Tina don't last longer. The cast is great. It's a good homage to those movies with a few laughs and happy memories.",The Final Girls
2,claudio_carvalho,Has Potential to Become Cult-Movie,7,25 October 2015,"The teenager Max Cartwright (Taissa Farmiga) misses her mother Amanda Cartwright (Malin Akerman), who died three years ago in a car accident. Amanda was a horror movies actress that has become famous because of her character Nancy in the cult slasher film ""Camp Bloodbath 1 & 2"". Max is invited by her friend Duncan (Thomas Middleditch), who is the brother of her best friend Gertie Michaels (Alia Shawkat), to participate in the lecture in the end of the session of ""Camp Bloodbath 1 & 2"" promoted by the fans in the movie theater. Max meets the handsome Chris Briggs (Alexander Ludwig), who has broken up with his girlfriend Vicki Summers (Nina Dobrev), and they stay together. Out of the blue, there is a fire in the theater and Max, Chris, Duncan, Gertie and Vicki try to escape through the screen. But soon they find that they are trapped in ""Camp Bloodbath 1"" with the characters Nancy, Kurt (Adam DeVine), Tina (Angela Trimbur) and Paula (Chloe Bridges) in the summer camp. Further, the serial-killer Billy Murphy (Dan B. Norris) is hunting them down.""The Final Girls"" is an entertaining parody to slasher films that has potential to become cult-movie. The story entwines ""Friday the 13th"" or any other slasher in a summer camp with the idea of ""The Purple Rose of Cairo"" (1985), repeated in ""Last Action Hero"" (1993) and ""Pleasantville""(1998), where the viewer joins the characters in the film. There are many funny moments and Malin Akerman is so beautiful that convinces performing the role of the teenager Nancy. My vote is seven.Title (Brazil): ""Terror nos Bastidores"" (""Terror in the Backstage"")",The Final Girls
3,nogodnomasters,YOU JUST MESSED WITH THE WRONG VIRGIN,8,5 July 2018,"Amanda Cartwright (Malin Akerman) played Nancy in ""Camp Blood Bath"" a cult classic with a ""Friday the 13th"" script. She has a daughter Max (Taissa Farmiga) and loves the song ""Bette Davis Eyes."" Amanda dies in a traffic accident and three years later Max is coerced into going to a reunion showing of the film ""Camp Blood Bath."" During the feature Max and five of her friends get sucked into the film and integrate with the original cast which includes Max's deceased mother.The film is a comedy-horror. Taissa Farmiga nails the film. The way her eyes tear up and get glassy during scenes with her mom were actually too good and brought the comedy aspect down. The comedy and horror aspect could have been better. Many parts of the film had a sense of deja vu due to similarity with classic films, something they needed to extend to the entire film, i.e.. ""Scary Movie.""The concept for the film came from co-writer Joshua John Miller, whose dad Jason Miller ( Father Karras) died in the ""Exorcist."" He grew up watching his dad die in a film and wondered what it would be like if he was in the film with him.This is a good film, but seems to have been hyped in hopes of getting a lasting cult status. The writing just wasn't that great.Guide: F-bomb. No sex or nudity.",The Final Girls
4,kosmasp,Without rules,6,13 July 2019,"Let's star in a horror movie. A PG-13 horror movie that is based on slasher films. Well if that sounds a bit toothless, I can assure you that many will look upon it that way. There's almost no blood on display (except for one scene) and there are also other ""major"" ingredients missing. The original plan was to make it an R-rated movie, which did not happen obviously. There are quite a few fun bits of trivia like that in the audio commentary (though according to them only 14 year olds listen to them - another joke in case that wasn't clear).Now up until now that may all have sounded quite harsh, which was not my intention. The movie is good fun, but I wanted to make sure people know what they get themselves into (no pun intended). A CGI crash early on in the movie is quite well done and nice to watch. As are the characters, that are a bit of a parody of whatever went on in the 80s. The actors have a lot of fun and it shows. Still there are too many conveniences and coincidences, an ending that tries to be clever and other things you'll either like or be annoyed by. Try to watch it without thinking too much and you'll have a good time - do not compare it with things like Cabin in the Woods though",The Final Girls
5,Woodyanders,Crafty slasher horror meta homage/send-up,8,28 July 2020,"Max Cartwright (a fine and appealing portrayal by Taissa Farmiga) and her friends attend a revival theater screening of the cheesy 80's slasher flick ""Camp Bloodbath."" Max and her friends all must fight for their lives after they are mysteriously sucked into the events happening in the movieDirector Todd Strauss-Schulson keeps the ingenious and engrossing story moving along at a brisk pace, maintains an engaging tongue-in-cheek tone throughout, and displays a true wholehearted love for corny body count fare. The clever script by M.A. Fortin and Joshua John Miller pokes wickedly witty fun at various tried'n'true slice'n'dice tropes that include gnarly 80's slang, the inevitable have sex and die cliche, dumb cardboard characters, and a seemingly unstoppable and indestructible killer (hulking Daniel Norris). (Alas, this film does punk out on both the graphic gore and gratuitous female nudity, both of which were key ingredients in 80's slasher flicks.) Better still, there are even several touching scenes between Max and her deceased actress mother Amanda (a luminous performance by Malin Akerman), who plays sweet shy girl Nancy in ""Camp Bloodbath.""Moreover, it's acted with zest by an enthusiastic cast: Alexander Ludwig as amiable hunk Chris Briggs, Nina Dobrev as the snarky Vicki Summers, Alia Shawkat as the brash Gertie Michaels, Thomas Middleditch as the nerdy Duncan, Adam Devine as crude horndog Kurt, and Angela Trimbur as the ditsy Tina. The surprise ending is a total pip. The spirited shivery synthesizer score by Eddy Zak and Gregory James Jenkins hits the spot-on shuddery spot. An absolute treat for fans of knife-kill horror fare.",The Final Girls
6,Tweekums,A fun homage to '80s slasher films,8,27 June 2021,"Max Cartwright is a young woman whose mother, a former horror movie actress, dies in the film's prologue. Three years later she is persuaded to attend a showing of her mother's most famous roll; a victim in 'Camp Blood', an '80s slasher. During the screening a fire breaks out in the cinema... suddenly Max and four friends find themselves in Camp Blood! They quickly realise that the movie is playing out around them and they are now potential victims of the films villain; a masked man with a giant machete named Billy.Before watching this I'd not even heard of it; I was just looking for a ninety minute horror movie on Netflix and thought it might be okay. It turns out it is more than okay. It is an enjoyably homage to '80s slasher movies, most obviously the 'Friday the 13th' franchise. It knowingly plays with the tropes of the genre as our protagonists know what is scripted to happen and the 'rules of the genre'. It does however feel toned down; the violence is less gory, there is no nudity to speak of and there are more humorous moments than scary ones. Also, unlike those '80s films, this one has characters one can really care about; most obviously Max and Nancy, the girl played by Max's mother. The cast does a fine job bringing their characters to life and the location has the right look for the type of film; it also has some good '80s music to help with the mood. Overall I'd certainly recommend this to fans of '80s horror who want a good laugh.",The Final Girls
7,BA_Harrison,"Fun, but where's the blood and boobs?",7,12 October 2015,"Three years after the death of her actress mother Amanda (who really should have kept her eyes on the road), teenager Max (Taissa Farmiga) is talked into attending a showing of her mum's best known movie, cult '80s slasher Camp Bloodbath. When a fire breaks out in the theatre, Max and four of her school friends are forced to escape through the screen where they find themselves trapped inside the movie, stalked by its hulking, mask wearing, machete wielding killer, Billy Murphy.Written by M.A. Fortin and former actor Joshua Miller (who played the vampire kid in Near Dark), The Final Girls offers up no shortage of knowing clichés and clever meta-moments guaranteed to put a smile on the face of any self-respecting slasher fan: in order to improve their chances of survival, the pals must exploit their knowledge of slasher conventions, while dealing with such hurdles as black and white flashbacks and awkward moments of slow motion. Max also has the added issue of trying to preserve the life of camp counsellor Nancy, the character in the film that was played by her mother (a plot-line that adds genuine heart to the film).However, as ingenious as the script undoubtedly is, The Final Girls does miss the mark slightly by being a strictly PG-13 affair, director Todd Strauss-Schulson keeping the action free of the gore and nudity that is synonymous with '80s slashers. For the film to be absolutely true to the genre it is having so much fun with, there should have been at least one skinny dipping scene, some gratuitous sex, and a bit of decent splatter, but all it can offer is a few bloodless death scenes and a couple of the actresses in their underwear. For shame!6.5 out of 10, rounded up to 7 for having camp slut Tina dance to Cherry Pie by Warrant (such a good tune that I'm willing to turn a blind eye to the fact that it wasn't even released until 1990).",The Final Girls
8,BandSAboutMovies,Slasher life lessons,5,3 December 2019,"Hey! Remember when I watched Isn't It Romantic?This is the same director making the same movie, except instead of learning lessons from a romantic comedy, people are learning lessons from a slasher film.After another failed audition, Max Cartwright's mother Amanda (Malin Akerman) worries that she'll only be known for appearing in the 1986 slasher favorite Camp Bloodbath. Sadly, she dies soon after in a car accident.A few years later, at a double feature of the film and its sequel, a fire breaks out and Max (now Taissa Farmiga, the sister of Vera) and her friends escape by slicing the screen with a machete. They then enter the world of Camp Bloodbath, where they must escape Billy Murphy, the twisted serial killer who carries a not unlike Jason Vorhees machete.There's a great cast - Alia Shawkat from Arrested Development is in it, as well as Thomas Middleditch from Silicon Valley and Adam DeVine from Workaholics.Writers M.A. Fortin and Joshua John Miller based the characters in this film on some of their favorite slasher films. Nancy (also played by Akerland) is inspired by Ginny from Friday the 13th Part 2 and her name comes from A Nightmare On Elm Street's Nancy Thompson. And Tina was based on P.J. Soles' character Lynda van der Klok in Halloween and Jodi Draigie's Morgan from The House on Sorority Row.Perhaps even more interesting, Miller wrote this movie to deal with the death of his father Jason Miller, who starred as Father Karras in The Exorcist. And even cooler than that is that Joshua John Miller played Homer in Near Dark, Tim in River's Edge and also showed up in Teen Witch.",The Final Girls
9,Coventry,"I want to watch ""Camp Bloodbath"" instead!",5,27 October 2015,"Slasher parodies, '80s throwbacks or homages  Call it whatever you want, but fact remains that horror comedies form a delicate sub-genre and it's extremely difficult to make one that does justice to both the comedy as well as the horror aspects. We primarily get to see zombie comedies, and they pretty much all suck tremendously, but lately there have been quite a lot of attempts to spoof the typical '80s slasher genre, although the ambitious young writers/directors usually prefer to call them ""tributes"" in order not to offend the die-hard slasher fan base (yours truly included). And they are damn right to be careful, because even though us, '80s slasher fanatics, are very much aware of the fact that most of them are terribly bad and amateurish, we still love them a lot! The principal gimmick in ""The Final Girls"" is that a group of 2015 teenagers are catapulted back in time and end up on the scene of a non-existent '80s slasher movie called ""Camp Bloodbath"". Admittedly the idea is refreshing and holds a lot of potential, but still the first thing that went through my twisted mind was: ""Damn, I'd rather just watch a real '80s slasher called ""Camp Bloodbath instead of this!"" But hey, as said, the basic plot concept is interesting and the film does contain a handful of creative elements and unexpected twists, so I must state that I overall enjoyed ""The Final Girls"" and don't regret watching it. The cute Max (Taissa Farminga from the first season ""American Horror Story"") lost her mother in a stupid car accident – paying attention to the road could have been an option – three years ago and understandably still misses her a lot. She was an unsuccessful actress who forever remained linked to her role as naive virgin in a cheesy '80s slasher movie called ""Camp Bloodbath"". That movie somehow became a cult hit and Max reluctantly accepts to attend a special screening of the film in the presence of her friends. When fire breaks out in the theater, Max and her friends try to escape by cutting a hole in the cinema screen and – you guessed it – inexplicably end up in the eighties and at the entrance of Camp Blue Finch where the events of the movie are about to start. Max knows that her teenage mother is supposed to die at the hands of a maniacal killer called Billy, but she intends to save her and messes up the whole original scenario. ""The Final Girls"" sounds like a lot of cheesy undemanding fun, and it is, as long as you don't think too much and set aside all the ""rules"" of time-traveling, paradoxes and film-in-film narrative structures. Personally I liked how the script almost promptly eliminates a couple of dreadful clichés (like ""tough chicks don't die"" or even getting rid of the annoying ""horror geek"" quite fast) but deeply regretted that the film doesn't contain any gratuitous nudity or gory massacres. I reckon the fact it's a PG-13 flick, but these two ingredients are essential and mandatory in case you're referring to eighties horror cinema.",The Final Girls
