,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Far better than I expected.,9,14 April 2020,"""The Death of Stalin"" is a somewhat fact-based film. In other words, it tries its best to recreate the events around the time of Stalin's death, though the sources aren't exactly unbiased or 100% truthful....and sometimes the writers needed to infer what was said and done behind closed doors. Look at it as the best guess as to the events instead....and in this sense and many others the movie is marvelous and very well made.
The story begins shortly before Stalin's death from a cerebral hemorrhage. The machinations before and especially after are what is intriguing about the story....and how various evil scum surrounding Stalin all vied for power after his demise. It culminates with a very vivid and bloody scene...of a man who truly deserved his fate but watching it is NOT for the faint of heart.Apart from a bit of violence that might be off-putting (after all, the Stalinist regime was one of the most brutal and bloody in history), the film is a delight to watch. Excellent acting, amazing makeup and an interesting story all work together to make a really exciting film...well worth seeing.",The Death of Stalin
1,TheLittleSongbird,One of the best films of 2017,9,22 October 2017,"It must have been very daunting to make a film revolving around the period during the death of one of the world's most notorious dictators and mass murderers Joseph Stalin and its aftermath, and make it one that was entertaining, clever and beautifully produced and acted while not trivialising the horrors of the time.'The Death of Stalin' embraced this challenge and fully succeeded in its goal. 'The Death of Stalin' was one of those films where expectations were high (considering there are some truly great actors here) and those expectations were only met but exceeded. It won't be for the faint hearted, it can be violent in a very gruesome sense. While it is very evocative and well-researched, it is history but not quite as we know it (kind of like a more sophisticated version of Horrible Histories). Some may have a problem with the film not having authentic Soviet accents, and instead a mix of English and US ones, to me this was not a problem as there are many adaptations of Russian literature that mostly don't attempt authentic accents and when they are attempted it has wildly variable results.2017 has been a very hit and miss year from personal opinion for films. Some very good to great films and also some less than average to rubbish ones, as well as ones that fall somewhere in between. Some may say that for any year in film, but to me 2017 was one of the most hit and miss. 'The Death of Stalin' is a clear highlight. Didn't find that much wrong with it, the character of Svetlana is not as interesting and doesn't have the same depth as the rest of the characters perhaps but this is compensated by Andrea Riseborough still making the most of what she has. The occasional clunker in the writing too but they are vastly out shadowed by the rest of the script being so good.Even with a couple of minor reservations, 'The Death of Stalin' as said succeeds in achieving a very difficult task and achieving an ideal balance. Despite how it sounds it is not even close to being as offensive as it easily could have been, making something funny out of one of the darkest (maybe the darkest though it's not in a particularly good, if nowhere near as terrible, state now either periods for Russia/The Soviet Union)on paper does not sound tasteful, but 'The Death of Stalin' splendidly works its way around that potential issue.Visually, 'The Death of Stalin' looks beautiful. The settings and costumes are meticulous in detail and evocative, a lot of homework went into recreating this period, looking both sumptuous and atmospheric. The cinematography is fluid and natural and has the right amount of grit and audaciousness. The music has a mix of the rousing and understated.Armando Iannucci directs with complete command and control of the subject, his trademark touches of political amorality and dark and sometimes broad but witty and offbeat humour come through loud and clear. He doesn't try to soften reality, nor does he try to make it one big joke, he could easily have done that but he doesn't and he deserves a lot of credit for that.Further good things are a clever script that has genuinely funny moments and also some truly thought-provoking ones. As soon as the opening sequence begins and happens one knows they're in for a treat. 'The Death of Stalin' is never dull and is hugely entertaining but also has a darker edge in exploring the full terror of Soviet life during the Great Terror, struggle for power and the purge and not trivialising it, it's actually pretty harrowing and poignant.One cannot talk about 'The Death of Stalin' without mentioning the uniformly outstanding cast, the standouts being Simon Russell Beale giving a performance of almost Shakespearean complexity and Steve Buscemi who bags some of the best moments.Jason Isaacs steals scenes when he appears (and Paddy Considine delights in his), Andrea Riseborough makes the most of her role and Rupert Friend being this good was a pleasant surprise. Michael Palin is indeed more subdued form than usual but it suited the character and he does it perfectly, personally like that side to him. Jeffrey Tambor is great fun and Olga Kurylenko is expressive.Summarising, really great and one of 2017's best films. 9/10 Bethany Cox",The Death of Stalin
2,SnoopyStyle,some fun with a murderous satire,7,25 March 2018,"Joseph Stalin rules the Soviet Union with an iron fist. He produces a constant stream of enemy lists which his soldiers round up nightly. He is surrounded by yes men. After a laughable threat from pianist Maria Yudina, he has a stroke. Soon, he's dead and various leaders struggle for dominance. The most ambitious are Nikita Khrushchev (Steve Buscemi) and NKVD head Lavrentiy Beria. Molotov is the fumbling Foreign Minister. Field Marshal Zhukov is the bombastic war hero. Svetlana and unstable Vasily are Stalin's children. Beria uses his secret police, stealing Khrushchev's liberal reforms, and blackmail with Khrushchev's mistress Yudina's threatening note.This political satire has a few funny moments. It's oddly light in a dark world. That's the central problem which holds it back. The historical events are dire. The dictatorial police state is apocalyptic. This movie tries to have some light fun with it. The clash between comedy and reality is never far from the surface. The other issue I have is that Buscemi always looks like Buscemi. He never strikes me as Khrushchev. I see the historical Khruschev as a big, boisterous gangster. Buscemi always looks little. I can't see him as Khrushchev. This has plenty of quirky fun but those couple of things keep pulling me out of the movie.",The Death of Stalin
3,Horst_In_Translation,Close call if this is good or not,6,30 March 2018,"""The Death of Stalin"" is a co-production between no less than 4 countries that resulted in this new English-language movie that runs for 105 minutes. Well, it is new here as it just hit cinemas in Germany a day ago before I am writing this review. The film was nominated for 2 BAFTAs not too long ago and it is the most recent work by Oscar-nominated Scottish writer Armando Iannucci, who is known for Veep mostly of course (and the comedy at the series' and this film's core is simple about very incompetent people trying to ooze competence) and for his Oscar-nominated work ""In the Loop"". Now as for this one here: the title sounds fairly serious, but if you read the name Iannucci and know a bit about him, you will understand fairly quickly that the comedy genre is dominant in here. Still the dark humor lets them get away with some more serious stuff too when it comes to intrigue, cold-blooded murder even and of course actual historic events. There is much more in here than just the comedically entertaining perspective. With Buscemi and Tambor on board, they have two actors that I like quite a bit and I think they are doing a pretty great job, actually everybody here, not just these two, also some who I have not really been familiar with at all so far or just vaguely. The ensemble is perhaps the film's best component. Sets and costumes are decent too I'd say overall. And as a consequence I do believe that the film offers more positive than negative eventually. Still, there are glaring weaknesses too. It has more than just a few scenes and moments when it feels as if there is really weak focus and the movie could have been at least 15 minutes shorter if we take out all the sub-par material. And honestly, the fact that there are hilarious scenes should not make us ignore the fact that the balance between entertaining and informative is working pretty badly on some occasions. Yet the moments when they run for who gets to hug the daughter first almost manage to have us ignore that fact. And then there is the acting of course. I mentioned it before, but I definitely think that the cast makes some of the weak material look fairly strong surprisingly thanks to their individual talents.What else? Oh yeah. I would like to say that I am happy for Tambor here he is in a movie that has become quite a success really with everything going against him. Accusations and allegations without fundamental proof or eveidence should not keep us from enjoying his art and boy is he an artist. He shows it again here being part of many of the film's funniest moments. Thanks Jeffrey. Enough with that now though. I think this is certainly on a better level than Veep overall, which at some point just turned into unfunny try-hard anti-conservative propaganda, but today we shall not talk any further in detail about the JLD show. This movie we got here is almost never boring and very frequently hits the nail right on the head at least for me. I do think though that the comedy is not for everybody, so if you won't enjoy the approach in the first 15-20 minutes, you can probably switch it off because not too much is gonna change to be honest afterward in terms of style and atmosphere. For me it is a close call if I should give the film a thumbs-up and positive recommendation or a thumbs-down and negative recommendation, but Iannucci and his many writers here nail the comedic parts well enough for me to go for the former and actually the ending wasn't too bad either, so I will be generous and think that you can give this film a chance. It is not one of the best comedies, let alone films, of the year, but it is worth seeing if you like some of the actors here as much as I do. Go give it a chance, but don't expect Hitler in here or Cold War conflicts as this is really all about the Soviets and their power struggles. A subject complex enough for sure.",The Death of Stalin
4,Prismark10,A communist plot,8,25 February 2018,"You might think The Death of Stalin was a parody or a black comedy or a farce. We know that the actors are playing actual people some of whom lived until the late 1980s. The weird thing is the actual events depicted in the movie happened in some form.In real life, when Stalin was lying on the floor in his soiled pajamas after he suffered a stroke. They needed to call a meeting to decide whether to call a doctor. Stalin's personal physician was unavailable as he was being tortured at the time for suggesting Stalin needed more bed rest.Armando Iannucci mines comedy gold in an absurd, surreal, darkly violent tale of who wants to be the next leader of the Soviet Union. It is not a historical tale, it is a story of what can happen in any society where dogma and the bullet become the main currencies.",The Death of Stalin
5,nogodnomasters,Stalin would be proud.,10,27 December 2018,"Seriously? Moscow was run by the Keystone cops after Stalin died? The period right after Stalin's death was in turmoil as the ministers scramble for power, pretending to like each other. Steve Buscemi played Nikita Khrushchev like Steve Buscemi in ""The Big Lebowski"" and not the Khrushchev I saw on TV. He actually gave the guy a great sense of humor and personality.I personally don't know how much of the film has any historical accuracy, but it was the best death film since ""The Death of Mary Queen of Scots."" I believe Michael Palin was in that too.Guide: Lot's of swearing.",The Death of Stalin
6,kosmasp,Based on true events,9,14 July 2018,"More or less I guess - but the movie never goes into details what truly happened, rather keeping the satire and fun up. The acting is superb and the humor is as dark and twisted as you can imagine. PC this isn't, quite the opposite. And you can understand why some Russians might not like certain depictions of historical figures and events.So if you like wicked entertainment and are not afraid to laugh even when it seems wrong to do so, remember this is just a movie, so it's ok here. It's not like you are rooting for someone evil in reality. Also Jason Isaacs almost steals the movie entirely. There is nuance and there is just flat out ridiculous. But all in great quality and entertainment.",The Death of Stalin
7,Sleepin_Dragon,"Funny, scary, dark, take from it what you will!",9,26 October 2017,"The Death of Stalin is one of those films you will either love or just not get at all. Being someone with a big interest in Politics, and an interest in the events of the Soviet Union this was always going to be must watch. The material itself is almost frightening, some pretty horrific real life events happening, but performed in a way that you can't help but laugh at, albeit sometimes with a little dread.Superbly written as you'd expect by Armando Iannucci, if anyone knows political satire it's him! Steve Buscemi and Simon Russell Beale shine particularly.It's one of those films I want to see again. 9/10",The Death of Stalin
8,classicsoncall,"""I've had nightmares that made more sense than this!""",10,5 August 2019,"This is the kind of brilliant parody and satire I enjoy the most. It has a Coen Brothers feel to it, and that would have been my guess if the actual director hadn't been Armando Iannucci, a name I'm not familiar with but one which I will surely look up for more of his work. To be sure, the subject matter isn't such to be trivialized or made the subject of derision, but it's done so well you have to overlook the historical record and go with the absurdity of it all. And who knows, perhaps the members of the Soviet Politburo during the Fifties actually were this discombobulated and farcical behind the scenes, making things up as they go and rewriting policy on a dime when situations dictated it.I thought Steve Buscemi was the best here in his portrayal of Nikita Khruschev, but all the players turned in splendid performances. It probably helps if one were alive during the tumultuous period of the Fifties and early Sixties when a lot of these Russian names were in the news on almost a daily basis. Personally, my favorite moniker from that era was that of Anastas Mikoyan; it had just a wonderful ring to it. The actor Paul Whitehouse who represented Mikoyan was only introduced in a brief scene and didn't have anything to do during the rest of the story but I enjoyed hearing his name mentioned anyway. Jeffrey Tambor is conflictedly brilliant as Stalin's next in line, Georgy Malenkov, just one of the many characters here who had to perform a dual role on opposite sides of an argument to maintain a seat at the Committee table.Best of all are those sidebar scenes of Russian citizens being rounded up and given the treatment, like falling down stairs and being questioned by authorities. The dialog is absurdly comical, and I thought it great when Khruschev prefaced his 'We Will Bury You' speech at the Polish embassy in Moscow in 1956. Here he was addressing the corpse of Beria when he stated ""I will bury you in history, you fat f....."". Sorry I can't spell it out, but it was that kind of movie.Anyway, this won't be everyone's best choice of entertainment, but I got a huge kick out of it, so much so I watched it twice in a row. Fortunately, one is able to criticize it and not wind up in a Gulag, so give it a shot and see if you don't come away with a skewed sense of Russian history. It's probably a lot closer to reality than we could ever imagine.",The Death of Stalin
9,jboothmillard,The Death of Stalin,5,8 October 2018,"Written and directed by Armando Iannucci (I'm Alan Partridge, The Thick of It, Veep) and co-written by David Schneider, Ian Martin and Peter Fellows, I saw film critic Mark Kermode deliberating this on The Film Review on BBC News, it looked interesting. Basically in early 1953 in Moscow, Russia, Soviet dictator Josef Stalin (Adrian McLoughlin) has been in power for almost thirty years, the ""Great Terror"" has had a heavy cloak of state paranoia for all that time. During the night, 74-year-old Stalin collapses unexpectedly and is paralysed by a brain haemorrhage, his body is discovered the following morning, he died of a stroke. Members of the Central Committee are alerted and frenetic surge of raw panic spreads like a virus as they scramble to maintain order, weed out the competition, and, ultimately, take power. During this gut-wrenching roller-coaster of incessant plotting, tireless machinations, and frail allegiances, absolutely no one is safe, not even the feared chief of the secret police, Lavrenti Beria (Simon Russell Beale). Council member Nikita Khrushchev (Steve Buscemi) does his best to maintain order and thwart Beria's plans. Stalin's body is laid in state in the Hall of Columns, there are four days of national mourning, he is given a state funeral, organised by Khrushchev, Georgy Malenkov (Jeffrey Tambor), Vyacheslav Molotov (Michael Palin), and Beria, he was buried in Lenin's Mausoleum. Also starring Quantum of Solace's Olga Kurylenko as Maria Veniaminovna Yudina, Paddy Considine as Andreyev, Rupert Friend as Vasily Stalin, Jason Isaacs as Field Marshal Zhukov, Paul Whitehouse as Anastas Mikoyan, Andrea Riseborough as Svetlana Stalin, Dermot Crowley as Lazar Kaganovich, Roger Ashton-Griffiths as Musician 1 and Jeremy Limb as Musician 2. From what I understand, it sticks to the basics of the historical facts, but one of the big jokes is, all the characters are an array of British and American accents, rather than Russian, it is a funny concept, accompanied by well-played performances and a witty script, I will admit I lost my way with of the many of the discussions of politics and state affairs, but it is an interesting political satire comedy. It was nominated the BAFTAs for Best Adapted Screenplay and Outstanding British Film of the Year. Worth watching!",The Death of Stalin
10,Tweekums,A comedy about the paranoid aftermath of the death of a tyrant,9,29 May 2019,"In Stalin's Soviet Union everybody is terrified of offending the 'great man'; especially those closest to him. They all know the slightest mistake will lead to their deaths. When he suffers a cerebral haemorrhage at his dacha members of the Central Committee hurry to the scene... if he survives they want him to know how concerned they were but should he die they want to be ready to further their own careers. He does die and his deputy, Georgy Malenkov, is declared the new leader. However he is clearly a weak man and others, notably head of the Moscow party, Nikita Khrushchev, and the head of the NKVD, Lavrentiy Beria start planning to take ultimate control. As preparations are made for the funeral the scheming only intensifies and other members of the committee try to identify who will come out on top so they can support the winner and avoid the fate of those who upset Soviet leaders.One would expect a subject like this to be treated very seriously; after all Stalin was one of the worst tyrants the world has known and those jockeying to replace him were at least complicit in his crimes... however this portrayal is comic; and rightly so; tyrants deserve to be laughed at. The comedy is derived from the characters behaviour; each waiting to see which way the political wind blows before making a decision; often changing opinions mid-sentence. The cast, which includes plenty of well-known faces, does a fine job; always playing things straight which often serves to make things even funnier. While it is funny it is also very tense as the characters know one wrong word could be fatal. It may not be one hundred percent factually accurate but that doesn't matter too much given that it is a comedy not an historical drama. Overall I'd definitely recommend this to fans of dark comedy.",The Death of Stalin
11,Quinoa1984,"Russian ""Backstabbers"" by the Comrade OJays",8,29 March 2018,"This is like Dr. Strangelove but with fewer laughs (and I should say rightfully so!) and not as great an aesthetic... But then again thats a tall friggin order to fill. Taking place all within the first days if Stalin's death (with a sort of prologue showing the night before, which includes the obvious and ridiculous but probably very true set piece of an orchestra having to do their live performance again, audience included, because it wasn't recorded, plus the stroke that got him), this is satire so thick in its darkness you will get lost trying to find your way out.  With a couple of tweaks this could have been a straightforward and highly believable biopic on that period when Stalin's death revealed the many maggots writhing underneath the Red facade. Luckily Iannuci has learned from the masters - Michael Palin being here isnt an accident I'm guessing (Holy Grail was shot with the look of Pasolini influence) - that if you have an authentic backdrop, everything else you can buy into. While everyone using their own accents might seem distracting to some, I dug it; it's like, hey, you know what? Lets not kid ourselves with putting on phoney-baloney accents. It makes for a wholly unique, unnerving, often funny experience that I won't forget for a while. By the way, it's banned in Russia... Sure. They'll allow The Road Movie, but this?",The Death of Stalin
