,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Good spirited and absolutely hilarious film!,9,10 September 2009,"True the plot is a little corny, my only criticism of the movie, but Jim Carrey's wonderfully energetic and most of the time hilarious performance more than compensates. Liar Liar is easily one of Carrey's better films, I do confess I will need to see a few more of his movies before concluding which one's his best to save bias. What Liar Liar manages to do is have a slightly corny though very interesting idea, and make into a good spirited and absolutely hilarious film. The script almost the whole time verged on hysterically funny, and there are many priceless scenes, especially the courtroom scene- I needed to go to the bathroom to check I hadn't wet myself from laughing so much. The other performances were great, Cary Elwes was excellent, and the boy was very sweet and charming. Overall, a hilarious movie, that does cheer you up considerably after a hard day, I still chuckle even thinking of it. There is so much to recommend this, but at the end of the day, it is Carrey's picture. 9.5/10 Bethany Cox",Liar Liar
1,Leofwine_draca,It clicked,6,19 September 2021,Not a fan of Jim Carrey at all but I didn't mind this film too much and it's probably my favourite of his work. I just liked the way the 'no lying' storyline played out and the outrageous things he was saying; somehow it just clicked in this one.,Liar Liar
2,SnoopyStyle,Jim Carrey has energy,6,15 September 2013,"Fletcher Reede (Jim Carrey) is a fast talking attorney, and he is an amazing perpetual liar. He is divorced from his wife Audrey (Maura Tierney). When he breaks his promise to his son to be at his birthday party, his son uses his birthday wish to make his father stop lying for one full day. Jerry (Cary Elwes) is Audrey's new boyfriend, and he wants to take her to Boston away from Fletcher.Jim Carrey is using all his skills both physical and verbal for this Jim Carrey vehicle. You have appreciate that he put so much energy in this performance. He's not a likable guy until he stops lying. If you can stick it out until then, he might just grow on you.",Liar Liar
3,lee_eisenberg,Carrey forth the hilarious news,8,5 September 2006,"Doing his usual stuff, Jim Carrey plays a dishonest lawyer ignoring his son. When the son wishes for Carrey to speak only the truth for an entire day, Carrey spends the next day making every off-the-wall comment imaginable, and getting his face into weird contortions. It's hard to determine which is the funniest scene, just because of some of the things that he does, but the bathroom beating is really great.All in all, this can be interpreted as a reminder of the importance of family, but it's mostly an excuse to have fun. You just have to try and imagine being in his presence when he says and does these sorts of things. Really funny. Also starring Maura Tierney, Cary Elwes and Jennifer Tilly.",Liar Liar
4,jboothmillard,Liar Liar,9,4 March 2005,"This for me is one of the greatest slapstick comedy films, particularly with the leading star. Basically Fletcher Reede (Golden Globe nominated Jim Carrey) is the successful lawyer who has succeeded mainly with his numerous lies. But he is also the father of to-be 5 year old son, Max (Justin Cooper), and quite often lies to him, and his ex-wife, mother Audrey (Maura Tierney). But this is soon to change when at Max's birthday party, his son blows the candles and wishes ""for one day, Dad couldn't tell a lie"". Fletcher is now struggling with the revolution of only telling the truth, and he has to defend a case with his client Samantha Cole (sexy Jennifer Tilly)! He is now trying to end the havoc, and find a way out of telling the truth or the case. Also starring Saw's Cary Elwes as the annoying Jerry who plans to take Max and Audrey away with him to Boston, Anne Haney as Greta, Amanda Donohoe as Miranda (the first person he tells the truth to), Jason Bernard as Judge Marshall Stevens, Swoosie Kurtz as Dana Appleton, Mitch Ryan as Mr. Allan, Christopher Mayer as Kenneth Falk, Eric Pierpoint as Richard Cole and Scary Movie's Cheri Oteri as Jane. The highlights are the honest name-calling scene, and Carrey beating himself up in the bathroom. Jim Carrey was number 47 on The 100 Greatest Movie Stars, and Amanda Donohoe was number 38 on The 50 Greatest British Actresses. Very good!",Liar Liar
5,ccthemovieman-1,"Has Its Moments, But Wears Thin",6,14 May 2006,"This is another of fairly-early Jim Carrey films in which he played a dopey, exaggerated character that is funny but can wear thin on you after awhile. It's almost exhausting to watch this guy for over more than 45 minutes at one time with all the gyrations, rubber faces, screaming and yelling. I am glad he has mostly abandoned roles like this since the turn of the century and done a lot better work.But, the premise of the film is good and there are genuine some laugh-out-loud scenes, mainly early on in the film. If the language and Jim had just been toned down a bit, this would have a really good movie. Once again, this PG-13 rating is a joke. It is not what you want your young teens to watch.",Liar Liar
6,moonspinner55,Above-average Carrey comedy...,6,4 September 2006,"Rubbery actor Jim Carrey, after a brief dramatic respite, returns to slapstick nonsense with this above-average comedic vehicle. He plays a constantly lying lawyer and divorced dad who, via a wish from his slighted son, is forced to tell nothing but the truth for an entire day. Film has a very bright beginning, acceptable middle, but it falls apart at the finish line. Thankfully, the syrupy uplift is kept to a minimum up until that misjudged last act. Good supporting cast includes Jennifer Tilly, Swoosie Kurtz and Cheri Oteri. Carey Elwes, again parlaying his handsomeness into smarmy territory, offers nothing fresh, but Carrey mugs cheerfully throughout and makes the most of these sitcom-like set-ups, which are funny if somewhat shopworn. **1/2 from ****",Liar Liar
7,paul_haakonsen,One of the better Carrey movies...,6,9 January 2016,"This movie does have the trademark Jim Carrey comedy, but thankfully the rubber facial contortions were held to a minimum, which actually serve the movie quite well.Story-wise then ""Liar Liar"" is one of the better of Jim Carrey movies, because there is a deeper story to be told here, unlike many other of his movies which was essentially just physical comedy. The story in ""Liar Liar"" is about Fletcher Reede, a successful, fast-talking lawyer who spends more time at work than with his five year old son who is desperate for his father's attention. With one disappointment after the other, the son makes a desperate birthday wish; that his father will be unable to lie for 24 hours.The comedy was good, and the physical mimicry that is usually Associated with Jim Carrey was held to a minimum. And the cast ensemble was doing good jobs with their given roles, even though Jim Carrey cast a massive shadow over everyone else.I think that ""Liar Liar"" was a milestone and a turning point from the usual Jim Carrey routine and mass-produced physical comedy movies he is known for. Predictable, yes, but the movie is fun and entertaining nonetheless.""Liar Liar"" is a definite must watch if you enjoy a good comedy, or if you just enjoy Jim Carrey movies.",Liar Liar
8,dbdumonteil,truth hurts...,3,17 December 2004,"Fletcher Reede (Jim Carrey), is a lawyer who is estranged from his wife Audrey (Maura Tierney). His occupations maintain him far from his home and particularly from his son Max. But he really loves him. One day, for his birthday, Max wishes that his father can't lie for 24 hours. His wish will come true since for 24 hours, Reede will be through a living hell. One must suffer to improve oneself...With ""Liar Liar"", the authors set themselves the following target: to conceive a tailor-made movie for Jim Carrey. Why? Because they surely realized that their topic was thin and it would pose problems to write a screenplay holding water. So, to compensate for the very reduced potential of the script they decided to give Carrey a free hand and to leave a very important part of the film in his hands. Thus, the actor, once revealed with ""the Mask"" (1994) gets out again, without trying to bring anything new to his acting his comical elements that secured his success. It means: his grimaces, his showy expressions and his implausible cues for a kind of one man-show which often borders on the unacceptable. Carrey does his best to bring an ounce of credibility to his character but his bombastic (the term is weak) performance only succeeds in massacring the film. Worse, his third-rate acting is so significant that it leaves little place to the other actors' acting. Actors who try with difficulty to play opposite Carrey.This poor comedy shows once again that exclusively relying on a main actor to save a film can be a serious mistake. Fortunately, it seems that Carrey after this flick wanted to give the image of a conscientious actor capable to direct his career. Indeed, we will see him holding more serious roles where he will be able to restrain his tendency to third-rate acting. Try ""the Truman Show"" (1998), ""Man on the Moon"" (1999) or more recently ""Eternal Sunshine of the Spotless Mind"" (2004). Let's hope he goes on and perseveres in this way.",Liar Liar
9,blanche-2,For Jim Carrey fans,6,31 March 2009,"Jim Carrey is a super-talented comedian with a handsome, elastic face that by rights should be sagging around his knees, given the way he uses it, and he has more energy than any 20 people put together.I'm a big admirer of him as a talent and as a human being.That being said, the 1997 ""Liar, Liar"" is Jim Carrey all the way. He plays a busy, divorced lawyer who has the best of intentions regarding his five-year-old son Max but often winds up disappointing him. He also often takes the easy way out of situations by lying, usually the little white ones. On his son's birthday, he fails to appear at the party because he's having sex with an attorney (Amanda Donohue) who can help him become partner; he lies, obviously, about why he's not there. His son wishes that his father could just not lie for one day. He gets his wish.The premise is very funny, because I think most of us are not aware of the little platitudes we use so that we don't insult someone, hurt their feelings, or ruin our careers by stating what we really think of someone in power. In the situation of the Carrey character, he has to go into court to defend an adulterous wife (Jennifer Tilly) with a prenup that cuts her out if she ever cheated and claim she never committed adultery. Given his son's wish, he's finding the circumstances impossible.The story is nothing new, but Carrey's take on it is unique to him as he throws himself on the floor, writhes, sputters, makes noises with his throat, screws up his face - all as he's trying not to lie.The thing about Carrey is, you have to be in the mood for his specialized, way over the top humor. If you aren't, you need to skip this movie.A lot of fun for Carrey fans.",Liar Liar
10,Quinoa1984,Jim Carrey's typical blockbuster comedy,7,2 July 2000,"I laughed at a lot of this movie, but it just seemed like carrey had done this before (probably because he has).  Not that that is truly bad, carrey is the new king of facial comedy.  Just try to change a little.  Tom Shadyac gives some good direction, and Carrey is funny, but that's it. A-",Liar Liar
