,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Inferior to Sleepless in Seattle, but still an enjoyable film.",8,20 July 2009,"What I liked most about Sleepless in Seattle was its wit, humour and charm. You've Got Mail has the charm and the humour evident in the performances and chemistry of the actors, however it just lacks the wit of Sleepless in Seattle. Both Tom Hanks and Meg Ryan give excellent performances, and their chemistry is believable. The supporting performances from Greg Kinnear, Jean Stapleton and Parker Posey are also impressive, if careful not to overshadow the two leads. The music is lovely, and the backgrounds of New York are especially nice to look at. The direction is good, if lacking the extra bit of sparkle that was used in Seattle, and sometimes the script and story is a tad underdeveloped. But as a romantic comedy, I really liked it, it is very sweet and good natured and it makes me feel good. So I will give it a 7.5/10. Bethany Cox",You've Got Mail
1,SnoopyStyle,None of the magic of 'Sleepless',6,6 April 2014,"Kathleen Kelly (Meg Ryan) runs a small neighborhood children's book family store handed down to her from her dead mother. Joe Fox (Tom Hanks) runs a large corporate box store about to put her out of business. Unbeknownst to either one of them, they are the best of internet friends. But in the real world, they can't stand each other.Director Nora Ephron rejoins with her 'Sleepless in Seattle' leads. The biggest difference is that the magic isn't there this time around. Sleepless doesn't let them get together until very late in the movie. Yet the radio talk show phone calls allow more magic in the story than the tippy tappy quippy internet correspondence. This time around, the forced separation really damages the movie. Having them involved with different people does nothing but drag out the movie. It does improve markedly when they are together after the closing of the store. This is not a special rom-com but it's reasonably acceptable.",You've Got Mail
2,boblipton,Cheap and easy,6,15 March 2002,"Tom Hanks and Meg Ryan have great screen chemistry.  All of their movies show it.  And for the first three quarters of this film, they light up the screen.  This is the third time this movie has been made.  The first time, it was Ernst Lubitsch' THE SHOP AROUND THE CORNER  and a delight.  The second time, it was IN THE GOOD OLD SUMMERTIME and Judy Garland's songs and a brief turn by Buster Keaton made it a delight.This time, however, despite a sharp beginning and middle, the movie collapses at the end.  Nora Ephron's movies seem to do this all the time: you start to notice the easy manipulation of the audience, and then she rushes the ending to get it over with.",You've Got Mail
3,Prismark10,Pen pals to the end,4,31 March 2014,"The updated remake of The Little Shop Around the Corner that starred James Stewart reunites Tom Hanks and Meg Ryan who were both successful in Sleepless in Seattle.Hanks is Joe Fox whose family owns the big book store chain Fox Books, the pile em high discounted store with a coffee kiosk inside. They have just opened a new store near a small independent bookshop owned by Kathleen Kelly (Ryan) whose business is soon adversely affected.However both characters are also anonymously emailing each other and have been for some time and have a close and fond relationship but as business rivals they have an abrasive one as well has having respective partners.As a comedy-romance the film does not work and lacks the charm of the original. The IT element has aged the film (just check the dial up tone!) In fact they do not email but chat. The corporate politics is all over the place, both types of bookshops would now be suffering from online retailers such as Amazon which the film could had made reference to. Also Ryan shows her support for small retailers by drinking in Starbucks every day. What about standing shoulder to shoulder with an independent coffee shop?To me the film seemed to drag, the lack of charm in both characters hindered and I liked both their partners more.",You've Got Mail
4,jboothmillard,You've Got Mail,6,12 September 2005,"Director Nora Ephron, reunited by Tom Hanks and Meg Ryan who previously worked on Sleepless in Seattle with her, has created another romantic comedic like drama film about the secrets spread to someone but not by vocal. Basically Joe Fox (Tom Hanks) is a really bored book shop owner who wants to find someone to talk to, over the internet by email. He finds someone who refuses to give her name, just like him, and it is obviously the main girl, Kathleen Kelly (Golden Globe nominated Meg Ryan). After a while of talking to each other about their lives and their problems and interests, he decides he wants to meet this person. He doesn't know it (until later) but it is the woman who is trying to beat his book business with hers. But don't worry, there's a happy ending. Good!",You've Got Mail
5,moonspinner55,"Cookie-cutter romance, but Meg Ryan radiates with charm",7,9 July 2006,"Pleasant, warm-hearted fluff reworking 1940's ""The Shop Around the Corner"" (remade initially in 1949 as the musical ""In The Good Old Summertime""). Tom Hanks and Meg Ryan reteam for the second time as rival bookstore owners in New York City: she operates a Mom & Pop bookshop, he's opening another outlet in his retail chain nearby. They lock horns over business, yet are unaware they are also each other's internet pen-pal. Slick and occasionally too-cute, too cookie cutter, but also an entertaining picture nicely set during the holidays. Ryan can't help but radiate personality and charm, though Hanks is curiously rote here (and he looks tired to boot),. Terrific supporting cast certainly helps, with Greg Kinnear, Parker Posey, Jean Stapleton and Steve Zahn making up a bright ensemble. Engaging, if you're not too demanding. *** from ****",You've Got Mail
6,sunwarrior13,Romance In The Digital World,9,28 December 2011,"Sleepless in Seattle director Nora Ephron originally made a name for herself as the writer of romantic comedies such as Heartburn and When Harry Met Sally. She continues the genre with You've Got Mail, marking her second collaboration with actors Tom Hanks and Meg Ryan. The story brings romance and courtship into the electronic age of the World Wide Web via e-mail and chat rooms. The film is about two letter-writing lovers who are completely unaware that their sweetheart is in fact the person with whom they share a certain degree of animosity. An adaptation of Parfumerie was previously made as The Shop Around the Corner, a 1940 film by Ernst Lubitsch and also a 1949 musical remake, In the Good Old Summertime by Robert Z. Leonard starring Judy Garland. You've Got Mail updates that concept with the use of e-mail. Influences from Jane Austen's Pride and Prejudice can also be seen in the relationship between Joe Fox and Kathleen Kelly — a reference pointed out by these characters actually discussing Mr. Darcy and Miss Bennet in the film. Joe Fox and Kathleen Kelly live and work blocks from each other on New York City's Upper West Side. Their lives are practically intertwined. They both shop at the same place, frequent the same coffee shop, and even own competing bookstores on the same street. They also both have significant others of their own. Joe has the overly hyper book editor Patricia Eden, while Kathleen lives with the scholarly newspaper columnist Frank Navasky. Then they meet in a chat room. Though they keep their identities secret as they're known only by screen names ""NY152"" and ""Shopgirl"", they tell each other everything about their lives, including their private feelings, which slowly turn into affection for each other. When Joe decides to open a new branch of his ""Foxbooks"" chain that risks putting Kathleen's ""Shop Around the Corner"" out of business, the tension between them escalates. Surely her boutique business will be lost to the conglomerate with a built-in newsstand and coffee bar. When Joe sees Kathleen waiting for him in the restaurant where they agreed to meet up, he puts two and two together, but cannot face her, given their agreement not to reveal each others' names and professions. How can he reveal himself to her now, knowing that he is the cause of her misery? Hopefully, love will conquer all.It is a love story destined to be remembered as one of the best of the decade.Tom Hanks,Meg Ryan and America Online certainly are popular trademarks in the 90's.Chemistry between the leads were truly outstanding after they have previously worked with director Nora Ephron from another movie in the past.It has great humor and witty lines.Also,it was interesting as we get a glimpse of what romance will be in the digital world in the years to come.Although it is not a classic nor a masterpiece,it is still a must-see for people who love good romantic stories.",You've Got Mail
7,studioAT,The 'Sleepless in Seattle' team reunite...great,3,2 January 2017,"The trailer and DVD box bangs on a lot about the fact that this film reunites the three main players from mega hit 'Sleepless in Seattle' (Ephron, Hanks and Ryan) as a way of drawing us into this film, but forgets one small thing - what if you weren't that keen on 'Sleepless in Seattle' in the first place? I thought this film was OK, just OK. It has its moments, and Hanks/Ryan undeniably have good chemistry, but I certainly wouldn't rush to see it again. In fact all of the good moments were in the trailer.Due to the fact Ephron is directing this and 'Sleepless' are very similar, so if you didn't go mad for that film i'd avoid this one.",You've Got Mail
8,bevo-13678,Derivative,10,15 July 2021,Great movie. Think Harry met Sally whilst sleepless in Seattle.,You've Got Mail
9,Doylenf,"Another charming re-tread of ""The Shop Around the Corner""...",6,13 September 2006,"This time, instead of two people corresponding as pen pals and finding letters in their special post office boxes, we have them using the internet to find romance in cyberspace. And using smart looking New York backgrounds in lush color, upgraded technology to bring two would-be lovers together, and other modern sensibilities to the timeworn plot, Nora Ephron has come up with another charmer.TOM HANKS and MEG RYAN are the couple who can't tolerate each other when they work together but find out that they're actually soul mates when they correspond anonymously through e-mail messages. And in an age where couples are meeting and dating and eventually mating and marrying, thanks to computers, the story works and gets the benefit of a modern look.While it's unlikely that this will reach the popularity of SLEEPLESS IN SEATTLE, it's definitely worth a look just to enjoy the simple performances of Hanks and Ryan. GREG KINNEAR has a good supporting role and it's all brisk and amusing and easy to take.",You've Got Mail
