,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,The right film at the right time.,7,10 August 2011,"Whether you love this movie or not, you have to admire this movie for two reasons. First, its return on the dollar was among the best ever for any film. While the budget was a very modest $777,777.111 (no kidding), it returned $115,000,000 in the United States alone! No wonder this film made George Lucas famous. Second, it was very innovative. While I was not a huge fan of the film's style, it was unique and sure had an impact on the world as well as future films. No one had made a film like this before--chock full of one song after another blaring across the soundtrack and its odd semi-structureless plot was also quite unique.The film concerns a bunch of young adults just hanging out and cruising. There really isn't a lot more to it than that. Sure, their stories all reveal a bit about them through the course of the film, but most of the characters have no great depth. It's more like you are a voyeur watching some likable and not especially likable kids doing...well...nothing. Now if you grew up in the early 60s and remember all this, then it's a great stroll down memory lane. If you didn't, I think the movie will be more of a tough sell, as the nostalgia angle is non-existent. As for me, I wasn't even born until 1964, so the nostalgia aspect was less--but I loved the music and great cars. My daughter, while less impressed about EVERYTHING did grudgingly say that the music was great. She also said that she pretty much ignored the plot and just listened to the songs! And, perhaps, this is pretty typical of a person from her generation. As for me, the film was mildly interesting and I respect it--though I did not love it. This isn't really meant as a criticism--just a statement about how this film appealed to this 47 year-old guy. For the right audience, it's the perfect film. Otherwise, you might feels it's all a bit overrated.Aside from the nostalgia for the early 60s, the movie also is quite interesting when seen today because so many future stars and super-stars are in it--mostly when they were young unknowns. Ron Howard (a child star but not all that popular yet as an adult), Cindy Williams, Harrison Ford, Richard Dreyfus, Charles Martin Smith, Mackenzie Phillips and Suzanne Somers all appear in the film.",American Graffiti
1,Leofwine_draca,Portrayal of a great era,6,8 June 2016,"American Graffiti is the second film from George Lucas, made after his quirky sci-fi effort THX 1138 but before he gave up crafting real characters in favour of larger-than-life comic book fantasy entertainment. It's a paeon to a long-forgotten world that was the 1950s, and features as its cast a bunch of high school students celebrating graduation with all of the angst that comes with it.Films like this tend to be pretty easy to like, because the topics are universal and the situations are easy to identify with. Some of the themes covered here include machismo, gang culture, romance, nostalgia, and the ever-difficult transition from childhood to adulthood. American Graffiti isn't exactly a world-changing film but I found it likable enough, and the cast (including Richard Dreyfuss, Ron Howard, Charles Martin Smith, and Harrison Ford in early roles) are very good.One of the things I liked most about American Graffiti is the soundtrack. It's much better, say, than the original music in GREASE; I love 1950s film and many classics are featured here. Occasionally (and annoyingly) the song gets cut off halfway through, but nonetheless the soundtrack helps to make this film both likable and fun.",American Graffiti
2,SnoopyStyle,nice slice of an era,7,19 December 2014,"It's the end of the summer 1962 for a bunch of high school graduates. Curt Henderson (Richard Dreyfuss) is unsure about college. Steve Bolander (Ron Howard) expects to leave town tomorrow with Curt. He tells his girlfriend Curt's sister Laurie (Cindy Williams) that he wants to date other people while he's away. Terry ""The Toad"" Fields is their flunky friend. John Milner is their friend who's stuck in town. As they drive around on the strip, Curt is entranced by a girl (Suzanne Somers). John picks up little Carol Morrison (Mackenzie Phillips). Bob Falfa (Harrison Ford) is looking to race John. The Toad is driving Steve's car and meets the experienced Debbie Dunham (Candy Clark).George Lucas presents a convincing slice of American life. It's the music, the cars and the style of his youth. As an artifact, it's a terrific piece of a moment in time. As a story, it's rather scattered. The characters have their own separate stories. It would be more compelling to have them together developing chemistry and advancing their relationships. It is interesting to see some actors in their youth.",American Graffiti
3,Hitchcoc,It's of a time and place.,8,17 March 2006,"The first time I saw this film, I was utterly taken with it. My folks ran a restaurant which became a hangout for the kids of the mid to late fifties and early sixties. It wasn't a drive in, but it became a place for much of what went on in this movie. We were in a small town, so there are urban elements that didn't apply. But there was cruising. There were fights. There were tough guys. I remember John Steinke who spent his Saturday evenings shooting up people's mailboxes with his .22. Most of the kids were normal kids. Some portrayals of the fifties make it seem like everyone had a leather jacket and a duck tail haircut. These were just a small percentage. Most postured and pranced around like the kids we have today. Different times; same basic behavior. I loved the mythos. The girl in the white car. The average Joe (Richard Dreyfuss). The nerd. The girl friend who you thought would be your love forever. The scary future. It's all here. Then there is that midnight journey, that quest. Wolfman Jack, whose career was really made big by this film. The police, who are understandably obsessed with these hoods and what they do. It's a lot of fun. I don't know why, however, this film didn't wash quite as well the last time I saw it. Was it too many Happy Days episodes? Is it less relevant now? Have we no innocence? I just didn't feel the magic. Or is it that I was so much closer to the ages of the characters when I saw it the first time. It's still a landmark film. The cinematography is striking. See it if you haven't.",American Graffiti
4,mark.waltz,The last summer of youth.,9,26 January 2021,"1962, a summer night of dreams in this musically delightful view of a bunch of high school graduates enjoying cruising the strip for one last night of adventure.
The ensemble of some future big names provides the viewer with not only a nostalgic view to a past that took place a decade before this was made but the future where big stars and legends today when just starting off their career when this was made. Of course, Ron Howard (no longer Ronnie) had been around for quite a while as a child star, and in saying this, you're basically seeing a different version of Richie Cunningham from ""Happy Days"" which was right around the corner. His girl is Cindy Williams, the future Shirley Feeney, and their romantic issues surround the fact that he wants to date other people while continuing to call her his girlfriend.There's also nerdy Charles Martin Smith, nicknamed ""the toad"", an actually cute young man who is insecure in his dealings with the opposite sex, managing to pick up Candy Clark and trying to impress her in the vehicle he has just bought from Howard. Then there's Paul Le Mat, forced to tag along with jail bait Mackenzie Phillips who provides him with an adventure he'll never forget even though he doesn't get what he wants. Richard Dreyfuss is entranced by the blonde in the thunderbird, played by none other than Suzanne Somers who whispers ""I love you"" to him, causing him to roam around all night trying to find her.A great selection of classic songs are heard throughout, making this a huge birthday cake of nostalgia, and of course, ""Rock a round the Clock"" ended up being the opening theme of ""Happy Days* for its first season. outside of a few minor characters, this film is entirely made up of young people, one of the most amusing moments occurring when Smith encounters an obvious street drunk and gives him his money to buy him alcohol, which of course results with the man disappearing out the back.The series of events doesn't create a linear story, but everything is so well edited together that you don't even notice that it's nothing but a series of situations rather than a plot line. Produced by Francis Ford Coppola and directed by George Lucas, this film really stands the test of time for its nostalgic view of an innocent era that really wasn't so innocent, showing the calm before the storm in these young adults' lives. Harrison Ford shows up in a small role, quite funny in his exaggerated performance. The memory of malt shops, hoop skirts, saddle shoes and drag races down busy city streets will give younger viewers an idea of what their grandparents were doing during their innocent years, and for this viewer, taking this trip down memory lane again left me with a huge smile.",American Graffiti
5,classicsoncall,"""You just can't stay 17 forever"".",8,30 April 2011,"Saturday nights have turned into movie night at our household, which includes my wife, my adult daughter and my granddaughter. When my daughter posed the question 'what were the Sixties like', my answer included things like the Kennedy assassination, the Beatles arriving in 1964 to lead the British invasion, LBJ as President, civil rights demonstrations, Woodstock, and finally, Man's landing on the moon in 1969. It was a memorable era, and one that I have the most nostalgia for. ""American Graffiti"" is George Lucas' film tribute to an age of innocence before November 22nd, 1963; it's principal characters coming to terms with the prospect of tomorrow, a tomorrow that can be as awkward as a child taking his first step.That sense of nostalgia plays wonderfully today when you see who turned up in the picture. Richard Dreyfuss and Ron Howard hold lead roles, complemented by the likes of Cindy Williams, Paul Le Mat, MacKenzie Phillips and Bo Hopkins. Harrison Ford makes an early big screen appearance, and the action is all set to a wonderful era score, hosted in the film by legendary DJ Wolfman Jack. The disc jockey has a touching scene near the end of the picture with the Dreyfuss character, one in which he feigns 'knowing' The Wolfman, and promising to put Curt's message on the air to the mysterious blonde in the white '56 T-Bird.Some might say the picture has a dated quality, but heck, I think that's the point. It's a film about the Sixties, particularly the early Sixties, as the Baby Boomer children of the Greatest Generation started to make their presence felt in the world. I'm part of that Boomer crowd, and every day, THOSE times start to look better and better from the vantage point of present day. It was true back in 1940 that 'You Can't Go Home Again' when Thomas Wolfe's novel was published posthumously, and this picture explores some of the angst associated with the knowledge that once tomorrow comes and Curt Henderson heads 'back east' to college, attempts to relive youthful memories with friends and family will forever remain a futile exercise.",American Graffiti
6,gavin6942,Incredibly Entertaining Movie For How Little Actually Happens,8,25 September 2012,"A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.What blows my mind about this film is that it is a George Lucas movie. At the time, that meant nothing, but today he is known almost exclusively as the creator of ""Star Wars"". I would suspect that many ""Star Wars"" fans are not aware he made this movie or have even seen it (which is incredibly unfortunate). The only connection I could discern was the cameo from Harrison Ford, who was not yet famous. In fact, none of these people were really famous yet (with the exception of Ron Howard).I do love that essentially the film is nothing but two hours of kids driving their cars up and down a street. And yet, it is incredibly entertaining. There are subplots like the pre-college breakup, the dork getting the girl, the drag race, the street gang... but it all comes back to the cars, the music and the street.I received a very strong ""John Hughes vibe"" from this movie, and wonder if this influenced him in any way... there have been numerous ""last night together"" teen movies, but it seems like this was the one that really kicked off the trend.",American Graffiti
7,lee_eisenberg,"The Wolfman is everywhere, and so will this movie be forever. It really twists the night away!",10,26 October 2005,"In the movie that made him famous, George Lucas portrays several teenagers in Modesto, California, in 1962. Various things happen to them, and they see all sorts of things. Of course, the movie's other stars are the songs that make up the ultra-cool soundtrack. With a total of 45 classic tunes, this movie is a great time from beginning to end. You'll never forget the prank that Curt Henderson (Richard Dreyfuss) has to pull with the police car.Maybe some people might complain that the movie didn't really have much purpose, but that's too harsh; the point was for everyone to have a good time. And boy do we! With the soundtrack, plus great performances by Dreyfuss, Ron Howard (billed as ""Ronny"" for the last time), Charles Martin Smith, Paul LeMat, Cindy Williams, Candy Clark, Harrison Ford and Wolfman Jack, ""American Graffiti"" is a wonderful romp even today!",American Graffiti
8,jboothmillard,American Graffiti,7,31 January 2007,"Before his success with Star Wars, Oscar and Golden Globe nominated director George Lucas made this film based on his own experiences as a teenager, I remember watching it in college, but I'm glad I watched it again to get a better perspective, produced by Francis Ford Coppola. Basically, set on the last evening of summer vacation in 1962, in Modesto, California, a group of high school graduates and friends gather in the parking lot of Mel's Drive-In. Curt Henderson (Golden Globe nominated Richard Dreyfuss) and Steve Bolander (Ron Howard) are to travel ""Back East"" the following morning to start college. Curt has second thoughts about leaving Modesto. Steve gives his car to Terry ""The Toad"" Fields (The Untouchables' Charles Martin Smith) to look after until he returns. Laurie (BAFTA nominated Cindy Williams), Steve's girlfriend and Curt's sister, arrives. Steve suggests to Laurie that they see other people while he is away to ""strengthen"" their relationship. Though she does not appear upset, Laurie's emotions are affected during the many interactions through the night. Curt, Steve, and Laurie attend the back-to-high-school dance event. On the way, Curt sees a beautiful blonde woman (Suzanne Somers) driving a white Ford Thunderbird. She mouths the words ""I love you"" to Curt before driving away. Curt becomes desperate to find her. One of his friends tells him that she is the wife of a local jeweller, but Curt does not believe it. After leaving the dance, Curt is coerced by a group of greasers (""The Pharaohs"") into hooking a chain to a police car and ripping out its back axle. The Pharaohs tell Curt that ""The Blonde"" is a prostitute, which he does not believe. Curt drives to the radio station to ask disc jockey ""Wolfman Jack"" (himself) to read a message for her on the air. At the radio station, an employee tells Curt that Wolfman does not work there and that the shows are pre-recorded. The employee accepts the message and promises to try to have the Wolfman air it. As he is leaving, Curt sees the employee talking into the microphone hearing his voice he realises it is the Wolfman, who reads the message, asking ""The Blonde"" to meet Curt or call him on the pay phone at Mel's. Curt is awakened by the phone the next morning. ""The Blonde"" does not reveal her identity but tells Curt maybe they will meet that night. Curt replies that they probably will not because he is leaving town. Terry and John Milner (Golden Globe nominated Paul Le Mat), the drag-racing king, cruise the strip. Terry picks up flirtatious and rebellious Debbie (Oscar nominated Candy Clark). John inadvertently picks up annoying, precocious 12-year-old Carol (Mackenzie Phillips), who manipulates him into driving her around all night. Bob Falfa (Harrison Ford) is looking for John to challenge him to a race. Steve and Laurie continue to argue and make up through the evening. They finally split when Bob picks up Laurie. Bob finds John and goads him into racing. Many follow them to ""Paradise Road"" to watch. As John takes the lead, Bob's tire blows out, causing him to lose control, going into a ditch, rolling over, and the car catches fire. Steve and John leap out of their cars and rush to the wreck while Bob and Laurie crawl out and stagger away just before the vehicle explodes. Laurie grips Steve tightly and begs him not to leave her. He assures her that he will stay. At the airfield, Curt says goodbye to his parents, Laurie, Steve, John, and Terry. As the plane takes off, Curt gazes out the window and sees the white Thunderbird driving in parallel to his plane. An epilogue reveals that John was killed by a drunk driver in 1964, Terry was reported missing in action near An Loc in 1965, Steve is an insurance agent in Modesto and Curt is a writer in Canada. Also starring Bo Hopkins as Joe, Manuel Padilla Jr. As Carlos, Terence McGovern as Mr. Wolfe, and Kathleen Quinlan as Peg. Dreyfuss, Smith and Howard (before becoming a director) give good performances as the young wanting to find and impress the young females, and the brief appearances of Ford are interesting. You would be forgiven for thinking it is just teenagers driving around trying to pick up girls and go racing, but the soundtrack of 1960s hits more than makes up for this. Songs include: ""Rock Around the Clock"" by Bill Haley and the Comets, ""All Summer Long"" by The Beach Boys, ""Green Onions"" by Booker T. & the M. G.s, ""Runaway"" by Del Shannon, ""Sixteen Candles"" by The Crests, ""Johnny B. Goode"" by Chuck Berry, and ""That'll Be the Day"" by Buddy Holly. This film perfectly the 1960s nostalgia with its music, the cars, the fashion and the locations, moments of teens trying to get people to buy alcohol, causing police cars to crash and getting into tricky situations keep the pace going, the humour is light but reasonable, and it is good to experience an old-fashioned night on the town, a worthwhile coming-of-age drama. It was nominated the Oscars for Best Film Editing, Best Writing, Story and Screenplay Based on Factual Material or Material Not Previously Published or Produced, and Best Picture, and it won the Golden Globe for Best Motion Picture - Musical/Comedy. It was number 43 on 100 Years, 100 Laughs, and it was number 77 on 100 Years, 100 Movies. Very good!",American Graffiti
9,ccthemovieman-1,"Bad Then, Even Worse Now",1,20 June 2007,"I know a lot of people loved this movie, right from the start when they first saw it in the early 1970s at the theaters. I hated it then, and I hated it 25 years later when I gave it another chance on VHS. It was even worse now because you added ""dated"" to this list of negative adjectives describing this movie. Stories about teenage jerks are not what I call entertaining. The only thing worse than the usual ""coming of age"" movie is one that involves the kids of the 1960s, the worst decade in American history.Ron Howard and Cindy Williams played pretty decent kids but nerd-looking Charles Martin Smith and friend Paul LeMat were super annoying. I didn't appreciate the language in here, either. I didn't expect The Mickey Mouse Club or Opie from Mayberry, but six usages of the Lord's name in vain in the first half hour along with a bunch of other profanities didn't turn me on to this ""comedy."" I also didn't get any laughs, either. Was this supposed to be a comedy? I hope not. Nothing much happens anyway, just the life of these dorks who drive around all night trying to impress bimbos. Wow, this is ""deep."".The only enjoyment I got out of this film was listening to the voice of ""Wolfman Jack,"" the legendary rock deejay.",American Graffiti
