,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Inimitable bomb-on-a-bus thriller packs in the excitement,9,29 December 2016,"This high-octane thriller is a pretty good example of 'does what it says on the tin' film-making. There's a bus that'll explode if it slows down. End of story. The concept in itself is workable, but the film, directed by Jan De Bont's sure hand, is excellent, a real action classic with super-fast pacing and a storyline that never lets up. Things kick off with a tense rescue-trapped-passengers-in-an-elevator bid and are enlivened by an exploding bus shock scene.We're then into the heart of the story, on board of a primed-to-explode bus, and all the genre clichés are in place, albeit in a slick and well-oiled form. Keanu Reeves plays the young hero (not as good as in THE MATRIX but pretty good) and Dennis Hopper is his overacting nemesis, chewing the scenery with relish. There's a heady combination of stunt work, sudden death, explosions, and tense shoot-outs and the film truly lives up to its ""Die Hard on a bus"" tagline. The only weak links are a hang-dog Jeff Daniels, miscast in a non-comedic role, and Sandra Bullock, whose ditzy, screamy heroine quickly becomes grating. An intelligent script is the real highlight of this slightly workmanlike, but nonetheless excellent, thriller.",Speed
1,SnoopyStyle,uncredited Joss Whedon script doctoring shines through,8,27 September 2013,"A psychopathic bomber (Dennis Hopper) is extorting the city. He has rigged an elevator full of people to plummet. Young brash cop Jack Traven (Keanu Reeves) and his steady partner Harry Temple (Jeff Daniels) foil the bomber's plan in a nick of time. Then the bomber blows up a bus, and tells Traven that he will blow another one. When the bus hits 50 mph, the bomb will arm and explode if it slows below 50. The driver gets shot and Annie Porter (Sandra Bullock) has to take over. The premise is simple to understand. It's visceral and easy. But it's all about the fun dialog from Joss Whedon. It's snappy and fun. Sandra Bullock is the perfect conduit to put all those exchanges. At the start, Jeff Daniels and Keanu Reeves have that great chemistry. Then they switch it to Sandra. The writing really puts it over the top of just another good action thriller.",Speed
2,Horst_In_Translation,"Fun over realism admittedly, but I enjoyed it",6,23 July 2017,"""Speed"" is an American English-language film from 1994, so two more years only until this one has its 25th anniversary. It was directed by Jan de Bont (actually the first directorial effort of this prolific cinematographer) and written by Graham Yost and for both of them this (almost) 2-hour movie is among their most famous. One reason is that this film won 2 of its 3 Oscar nominations (lost Editing to Forrest Gump) and another is that this film is still considered one of the defining action films from the 1990s. It features the relatively young Keanu Reeves and Sandra Bullock and (the not so young) Dennis Hopper. This is obviously not a film about individual performances, but it needs to be said that Reeves was working the part nicely and Hopper was also good, but admittedly had very little to work with in terms of both screen time and material. Bullock on the other hand I don't even think the performance was a problem at all, but eventually her portrayal was the weakest from the entire film and it is ridiculous she even got awards attention for her turn. It is the epitome of a badly-written female character in an action movie. Early on she gets hit on by a guy who is somewhat of a mini antagonist, but of course she is too good for him and then there are these banter moments with Reeves' character and we knew exactly where this was heading. She is a tough intelligent woman, but needs constant saving and nice words from the big hero. I cannot deny I would have preferred her character to be left completely out of the picture, but I guess they did not want to go for a sausage fest. Oh well.Back to the positive: This film has a fairly massive runtime, but it never drags and has no lengths at all I would say. They weren't scared of sacrificing several of the good characters to show how evil the bad guy was and this is a brave approach that we do not always get. I also found it interesting how the movie, fitting the title, moves from slow to fast methods of transportation. It all starts in an elevator, then a bus (the core of the film), and eventually a metro train. Talking about the metro train, fans of the television show ""The West Wing"" will see (and hopefully enjoy) a familiar face in there. Back to this one here, this is not a film you want to go for if you are in need of realism. There were probably a hundred aspects that would not happen like that in reality or we can also include unrealistic plot developments here. There is a hole in the road and the rails aren't finished either? Nah. Also admittedly the screenplay is not particularly creative as all the ideas are fairly simple really, like the traffic jam or the lack of fuel etc. But I will admit they still worked. As did the entire film. It has its weaknesses and I would not call it a classic, but it was a genuinely entertaining two hours. I give it a thumbs-up and recommend checking it out.",Speed
3,Prismark10,There is a bomb on the bus,9,10 September 2014,"Speed is a terrific action blockbuster. I like to say high adrenaline but I am just limited to 50 Miles per hour!Jack Traven (Keanu Reeves) is a LA police officer who locks horn with ex cop Howard Payne (Dennis Hopper) who is hacked off with his retirement.Traven and his partner Harry (Jeff Daniels) has stopped Payne from blowing up a building.Now cunningly Payne has rigged a bus that will blow up if its speed drops below 50 MPH. Annie (Sandra Bullock) a passenger ends up driving the bus and Traven must save the passengers.The screenplay was probably destined to be Die Hard on a bus. There is a terrific bad guy, some nice humour, lots of action and suspense.It all makes for an enjoyable ride. There is good interplay with Reeves and Bullock. Although the filmmakers know they are not making high art they have given it enough love and attention to make the film an enduring classic.Maybe the film is overlong with an elaborate ending which they could had done without.",Speed
4,kosmasp,Do you feel the need .. the need for ...,9,24 June 2021,"No this has nothing at all to do with Top Gun - I just tried to be funny with this one. And it was quite a nice throwback. So I don't think I was overthinking the movie or its plot or anything ... and the writer and producer are right: the movie moves so fast, you don't really have time to think about how much sense it makes ... as in none.Talking about those two and while their audio commentary is from 2001, it feels as fresh as anything ... and self depravating too. And you won't even really realize anything wrong with Keanu (some have issues with his ""acting"") - this is suiting him good. And having the amazing Dennis Hopper as the main villain here works more than wonders.The movie is quite brutal though at times ... actually starts off with a bloody knife kill. There may be no nudity, but the R-Rating is deserved I'd say. Funny to hear that Halle Berry was up for the role that finally went to Sandra Bullock ... while I am pleased with the end result, I can't help but wonder ... that aside the movie is as nonsensical as I described it, so if you have issues with that (or the violence) you may not feel the 9 rating is deserved ... just try to free yourself of those feelings. And enjoy this rollercoaster ride ... I have not yet seen the sequel .. but I don't think I will like it as much as I did this.",Speed
5,classicsoncall,"""Excuse me. Are you out of your mind?""",8,20 May 2021,"Come on, you know it's impossible, but once you get caught up in the adrenaline rush it's hard to let go. I felt my foot tapping throughout this picture, keeping time with that speeding bus and groaning every time it made one of those impossible stunts. The freeway ramp was the clincher, no way that could happen but by that time you're simply along for the ride and can't let go. I think this was my first look at Sandra Bullock when I saw this so many years ago, a little too calm under pressure and not a drop of perspiration to indicate how tense her situation was. This was made a full two decades before Keanu Reeves' turn as John Wick, and it was like a warm up for all those nasty bumps he would take as an ex-hitman coming out of retirement. More than one thing doesn't ring true in this picture, like the bus passengers cheering with every successful maneuver, but what else were they gonna do? A big question mark was how Howard Payne (Dennis Hopper) made it out of the very first explosion scenario following the elevator incident to open the picture, but once things get under way that kind of gets lost in the shuffle. As a caper flick, this isn't one of your standard rob the vault deals, but it's just as tricky and way over the top. Put you mind on hold for a couple hours and you'll have a good time with this one. You'll never look at a ride on a bus the same way again.",Speed
6,gavin6942,Who Would Believe An Action Film Could Actually Be Good?,8,21 June 2010,"""Speed"", with bad actors Keanu Reeves and Sandra Bullock, poor dialogue and a plot that is completely pointless and nonsense, on top of the fact the bus making a jump... not going to happen. How is it that a film that is so bad could actually be so good? Because, let's face it, it's extremely enjoyable, popular and heavily quotable.I blame Joss Wheadon, who was a script doctor on this before becoming a big writer. He could fix just about anything, probably. And maybe having Dennis Hopper helped, too. He's like the perfect villain, so having him here being all creepy and devious pays off. I mean, sure, you could have hired his buddy Jack Nicholson, but there's a difference between crazy creepy and devious creepy.",Speed
7,lee_eisenberg,sped up to actually having a plot,7,24 April 2006,"If you look at ""Speed""'s plot, it sounds like any old ridiculous Hollywood movie: madman plants bomb on bus, cop has to stop bus from blowing up. Usually, I wouldn't even consider watching such a movie. However, Dennis Hopper as the terrorist carries the movie. His character Howard Payne is sort of a cross between his characters from ""Easy Rider"" and ""Apocalypse Now"", albeit totally evil. Keanu Reeves's character is one whom anyone could have played and it wouldn't be much different, although who else would say ""whoa"" like Reeves? And Sandra Bullock's character isn't bad.All in all, this is an above average action flick. Not a masterpiece by any stretch, but better than the usual Stallone or Schwarzenegger movie. Also starring Joe Morton, Jeff Daniels, Alan Ruck and Beth Grant.And one more thing: avoid the sequel like you would the Ebola virus!",Speed
8,jboothmillard,Speed,10,2 March 2007,"I had seen bits of the not-so-good sequel, I had seen the Father Ted spoof episode, ""Speed 3"", and now I have actually seen it, I love it! It does start a little slow with the opening credits and an elevator shaft, but the music is what keeps me interested. It then moves to the scene where the great villain, Howard Payne (a great Dennis Hopper) has planted a bomb on an elevator and held people inside ransom for $3.7m, and the heroes, Officer Jack Traven (Keanu Reeves) and Det. Harold 'Harry' Temple (Jeff Daniels, in a serious role, cool) manage to save the hostages, while Payne escapes. But it is not over for Traven, not long later he sees a bus explode, and is told on a near public phone that there is a bus with a bomb on it. If it goes over 50mph it is set, but if it goes below 50mph, it blows, and if anyone besides him gets off, he blows it. It is now a race against time, before 11pm, to figure some way to stop the bomb, or save the passengers, including revoked driver Annie Porter (Sandra Bullock), who returned in the sequel. Oh, and when they do stop it, it concludes with a speeding train chase. There are some fantastic twists in this adrenalin filled high action thriller. Also starring Terminator 2's Joe Morton as Capt. McMahon, Alan Ruck as Stephens, Saw II's Glenn Plummer as Jaguar Owner, Richard Lineback as Norwood, Beth Grant as Helen, Hawthorne James as Sam and Carlos Carrasco as Ortiz. It won the Oscars for Best Sound Effects Editing and Best Sound, and it was nominated for Best Film Editing, and it won the BAFTAs for Best Editing and Best Sound, and it was nominated for Best Special Effects. Dennis Hopper was number 80 on The 100 Greatest Movie Stars, and he was number 49 on The World's Greatest Actor, and the film was number 99 on 100 Years, 100 Thrills. Outstanding!",Speed
9,ccthemovieman-1,"Fun Story, But You Can't Find Dumber Leads Or Dialog",4,14 August 2006,"Yeah, I know this was a huge hit, and I enjoyed it when I first saw it, too, but on the second viewing, Sandra Bullock and Keanu Reeves - two of the dumbest-sounding actors in recent memory - made this too annoying for future viewings.Bullock, an airhead who has made very few, if any, good movies, must have majored in using God's name solely in exclamation, because that's about all she can say. This is probably Reeve's best role, which isn't saying much because he's normally as wooden-sounding as Pinochhio. To have both of these ""actors"" in the same movie, and still have it a big hit is a tribute to how well the suspense was made in this film, and how indiscriminating the public is when it comes to their actors, or the dialog in a film which is even worse in this movie than the actors.Nobody, but nobody, would make the kind of remarks the characters make it this film. Dennis Hopper's villainous character also gives us the Hollywood cliché of talking- instead-killing to the maximum here - another insult to any viewer of any intelligence.Having said all of that, the film gets points for having a simple-but very involving and interesting premise and a few spectacular action scenes that got everyone excited about seeing the film back in the mid '90s. So, if you can just put brain in a freezer for two hours, you have an entertaining film, and that still is worth something.",Speed
