,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Not the greatest, but I enjoyed it nonetheless",6,27 April 2016,"My love of the disaster genre means that I can enjoy this type of movie despite the myriad problems with it, alongside the inherent cheesiness and the poor writing which makes it laughable in places. It pales in comparison to stuff from the 1970s like THE TOWERING INFERNO and EARTHQUAKE, but it's certainly better than modern SyFy Channel and Asylum offerings, even if that's just because of the massive budget alone.The story is written so that the disaster scenes keep occurring throughout the movie. The CGI effects work is extensive, but it's also pretty good, and certainly better than in the awful 2012. Yes, you get all the flag-waving nonsense associated with this type of film, but you also get plenty of suspense scenes and depictions of post-earthquake devastation that you don't usually get to see in the movies.Dwayne Johnson continues to be a hulking, mildly charismatic presence in the movies, although he's no Schwarzenegger. Alexandra Daddario is there for her looks and certainly succeeds in that respect. The rest of the cast don't fare so well, with Ioan Gruffudd virtually reprising his role from SANCTUM and Paul Giamatti on autopilot, although at least we get to find out what happened to Art Parkinson (the disappearing Rickon Stark from TV's GAME OF THRONES). SAN ANDREAS is certainly undemanding entertainment, and not a film I'm in any hurry to sit through again, but compared to other offerings in this packed sub-genre, it's not THAT bad.",San Andreas
1,SnoopyStyle,lots of destruction,5,23 March 2016,"Raymond Gaines (Dwayne Johnson) is an LAFD rescue helicopter pilot. He is getting divorced to his wife Emma (Carla Gugino) after the death of their daughter Mallory. They still have their daughter Blake (Alexandra Daddario). Emma is moving in with her rich boyfriend Daniel Riddick (Ioan Gruffudd). Daniel is flying with Blake on a private plane to San Francisco as he opens his new highrise. Meanwhile, Caltech professor Dr. Lawrence Hayes (Paul Giamatti) is researching an earthquake predictor with reporter Serena Johnson (Archie Panjabi) doing a story on him. When the earthquake strikes, Blake is trapped as Daniel abandons her. Brothers Ben and Ollie Taylor come to the rescue.It's funny that I saw Charlton Heston's Earthquake (1974) just before watching this movie. CGI has created much better destruction. Neither has a terribly good story. It's weird that the seismic teams from both movies go to a dam. The Rock is great as always. His opening rescue is fun and exciting. It does bother me that he's a rescue pilot but he doesn't rescue a soul flying all over California. I love the destruction and the action but lots of bothersome things start piling up.It's weird that Raymond would tell Emma to bring as many people as possible to go up to the roof. He's only one helicopter and I doubt he could take more than ten people. They would be in terrible trouble if she's actually successful. Next, it bothered me that Ben brought Ollie down to the basement garage. I get the risk reward equation of rescuing the hot girl but he can't bring his little brother into that. Finally, Raymond and Emma is racing through the flooded streets like the Grand Prix. I cringed at thought of all those people they're running over as they speed through. You can forget about them stopping to help anybody else. That's the last straw for me. I can live with all the death and destruction but the heroes can't be running over everybody with their boat. There are a few overwrought scenes and I would like a connection between Dr. Hayes and the Gaines.",San Andreas
2,Prismark10,Cracks in the earth,5,17 March 2016,"San Andreas is a big dumb disaster action film but it is entertaining enough with some good special effects.The Rock plays a rescue pilot and a brave one as we see in the beginning. However he is soon to be divorced, as his ex has found a millionaire property magnate, he also cannot get over the death of his other child.When the big quake strikes, The Rock springs into action, despite all the chaos he rescues his wife from the top of a collapsing building and then goes looking for his daughter, abandoned by her mother's boyfriend and aided by two random British kids she just met.Never mind other people who are injured or needs rescuing, the Rock only has his family in mind and he will commandeer any vehicle he can get his hands on. The rest of the cast are underwritten such as Paul Giamatti's seismologist doing his best to warn others.A popcorn film that you will see once and that is it. However how many times will we see The Golden Gate Bridge being destroyed though?",San Andreas
3,mark.waltz,"Disasters happen, but are they always this same formula?",3,9 May 2016,"Remember Clark Gable searching for Jeanette Macdonald in 1906? Lana Turner struggling to avoid falling trees in exotic settings in two different movies? Charleston Heston and Ava Gardner struggling to find a way out of collapsed skyscrapers? Even Superman reversing a quake. Now those had moments of tension that were gripping and nail biting, but it was all about survival and helping others cope and nothing more. Along came the modern disaster movie which took basically the same synopsis and plugged in different names, different types of natural cataclysmic horrors and shoving it all around an estranged or separated family determined to get back together no matter what the cause.This surrounds the heroic Dwayne Johnson, aka ""The Rock"", having him and his ex-wife in a helicopter flying from L.A. to S.F. to rescue their daughter after his ex-wife Carla Gugino's boyfriend abandoned her, leaving her with a foppish British lad and his pesky younger brother. This was acceptable in ""Dante's Peak"", silly but tolerable in ""The Day After Tomorrow"" and eye- rolling and outlandish in ""2012"". If you thought that the exploding freeways and the collapsing buildings threatening the family driving and later flying through it, wait until you see ex-wife jumping up on collapsing debris to get to the Rock's helicopter.I had a feeling of the mentality of this movie with the opening of a twit- wit girl, not paying attention while driving through the San Gabriel mountains, looking back to grab a bottle of water and her phone (of course) and going over a cliff hundreds of feet because of rocks falling from a smaller quake, and surviving barely getting dirt on her face. How could the creators of this not realize what a disaster they had on their hands, maybe not in box office dollars (you could sell the Hoover dam to these types of movie audiences) but in critical pans. Blame ""Titanic"" for starting this wave of formula films that in retrospective just didn't know where to stop. Certainly watchable, this is beyond flawed and outlandish in so many ways. Computer generated effects and ear blasting dramatic music just intensify how over the top. As tragic as the real thing would be, there is no way that these characters would survive any of these intense situations. It's all too much, too repetitive, too dark and after a while, it is obvious what is going to happen. I can only watch so many of these movies, not just because of their absurdities, but because of the grim future they predict, and, I'm sorry. That ain't entertainment.",San Andreas
4,claudio_carvalho,"Lame Story, Great Special Effects",6,3 January 2016,"In Los Angeles, the Fire Department Air Rescue pilot Raymond ""Ray"" Gaines (Dwayne Johnson) will drive his daughter Blake (Alexandra Daddario) to San Francisco since she has joined the university. He is divorcing from his wife Emma (Carla Gugino) that intends to move in together with her wealthy boyfriend Daniel Riddick (Ioan Gruffudd). Meanwhile the researchers Dr. Lawrence Hayes (Paul Giamatti) and Dr. Kim Park (Will Yun Lee) from the Caltech travel to a dam to check their seismic studies and there is a strong earthquake collapsing the dam that kills Kim. Lawrence discovers that the San Andreas Fault is moving and will cause a huge earthquake in Los Angeles and San Francisco. Ray needs to travel to help the victims from the dam and Daniel offers to take Blake to San Francisco since he has a meeting in the city. Daniel brings Blake to his office and while waiting for him, she befriends the British architect Ben Taylor (Hugo Johnstone-Burt) and his younger brother Ollie Taylor (Art Parkinson). When Ray is flying to the dam, there is an earthquake in Los Angeles and he rescues Emma. When the earthquake reaches San Francisco, Daniel escapes with Blake to his limousine but the building collapses and she is trapped inside the car. Daniel flees from the building and leaves Blake behind. Blake succeeds in contacting her father but the cell phone dies. What will happen to her?""San Andreas"" is a popcorn disaster movie, a genre that was usual in the 70's, but with state-of-art special effects. Unfortunately, the lame and corny story is ridiculous. Ray uses the helicopter to rescue his wife and daughter and destroy it. He steals a pickup truck; an airplane from the hangar; and a boat to save his daughter apparently with no consequences. His ex-wife Emma resolves all her issues with Ray in the middle of the chaos. There is no cell phone, but the fixed-line telephone works perfectly despite the destruction and havoc. Blake, Ben and Ollie save the film. There is a tsunami and Ray drives the motor boat in the middle of the debris and possible survivors as if he were in a race. In the end, love is beautiful! My vote is six.Title (Brazil): ""Terremoto: A Falha de San Andreas""(""Earthquake: The San Andreas Fault"")",San Andreas
5,nogodnomasters,THIS IS NOT A NORMAL DAY,5,21 May 2018,"PLOT SPOILER REVIEW???Ray (Dwayne Johnson) is ex-military working for LA Fire and Rescue. In the opening scene, God rightly attempts to kill the world's most distracted driver, and Ray foils the plan with a helicopter that has its own swagger music. In a subplot that never connects, Paul Giamatti plays Professor Hayes at Cal Tech who predicts the big one, i.e what happens in Vegas, happens in LA.The basic plot is the same as an Asylum disaster movie plot. A great disaster happens, and the film concentrates on one typical 2.3 child family trying to come together. In this case substitute a new male friend and his brother for 1.3 kids. The main difference is that Ray is separated from his wife (Carla Gugino) who is going to live with her new boyfriend Daniel (Ioan Gruffudd) and his daughter Blake (Alexandra Daddario). Yes I had ""Taken"" plot flashbacks and wondered if they were going to include Albanians. Liam Neeson would have stopped the looters.As far as the plot, I really don't have to say anything more. Unless you are younger than the film rating, you will have the whole thing figured out in the first 10 minutes. Even the action within the scenes are predictable, like the Hoover dam scene hand off.The soundtrack was typical. What separated this from an Asylum flick was the special effects, actors, and lack of insignia gaffs.If you want on overly predictable action/disaster film, this is it.Guide: 1-2 F-bombs. No sex or nudity.",San Andreas
6,kosmasp,Shaking,6,10 July 2015,"It has been quite some time, since we last had a movie like this. You can't really invent anything new with the formula. All you can throw at the viewer (no pun intended) are the best possible special effects. Clichés? Well you know you'll get them. You also get very beautiful people here in the main roles (if you're not offended by that, you'll go on a journey with them).The Rock saving people? That's not a stretch. His charisma shines through the screen and you believe he's able to do most of the things that are depicted in this. The story itself is not going to have you guessing too much, but it's sufficient enough to carry what's going on. It's decent and the movie entertaining enough",San Andreas
7,Sleepin_Dragon,If only Dwayne Johnson could save the world.,5,14 October 2015,"The San Andreas Fault is 100 years overdue to get angry, but all that changes as the biggest earthquake (of course it is!) rips up. Ray (Dwayne Johnson) is a rescue Pilot, with family issues, his wife Emma has left him for Daniel Riddick. Daniel is in San Francisco with Ray's daughter Blake, when the Earthquakes start cranking up.So the start sets the tone, a woman in a Jeep hurtles off several rock faces and is OK. I'm surprised she wasn't lifting out clutching a Prada handbag and a bichon frise. All sense of reality has now gone.The CGI, special effects are utterly breathtaking, a step up from Day after tomorrow, 2012 etc, they are literally jaw dropping. The Hoover Dam destruction is awesome, that cost a few $£'s to produce. The filming and camera-work throughout are brilliant.The acting for the most part is pretty good, with this time of action movie you're not going to get Shakespeare. Great to see the stunning Archie Panjabi appear (Journalist.) Alexandra Daddario is really good (it's those eyes.)Some elements that you'd expect, Ray being able to pinpoint Emma in San Francisco, very likely? The Blake story also makes The Day after tomorrow's family meet up seem realistic. Every cliché imaginable is on show, there are too many to even begin, once again partner's new love turns out to be no good (when are they ever?) Almost every scene is contrived, whatever they need appears, cars, planes, phones.If disaster strikes I want more then Dwayne Johnson, Kylie and a guy with his laptop telling me to drop, cover and hold on.In some ways it's shocking, but it's too much fun to hate, incredibly repetitive, but very watchable in spite of it's huge flaws. 6/10",San Andreas
8,Tweekums,"An exciting, over-the-top disaster movie",8,25 July 2019,"This big-budget disaster movie sees Dwayne Johnson playing Raymond Gaines, a rescue helicopter pilot with the Los Angeles Fire Department. His wife is filing for divorce and her wealthy new boyfriend, Daniel Riddick, is taking Raymond's daughter, Blake, to San Francisco because he has to fly to Nevada after an earthquake destroys the Hoover Dam. Seismologists soon realise that it is a precursor to a massive quake that devastates Los Angeles and causes major damage throughout California. Raymond manages to rescue his wife and the pair head north to save their daughter. She is now with a pair of British boys, Ben and Ollie, the older of whom was in the city to apply for a job at Daniel's firm. Then an even larger quake strikes San Francisco; Blake and the boys must head to safe higher ground and hope Raymond can get to them.If you are looking for realism you are in the wrong place but if you just want an exciting roller-coaster ride of a movie where the protagonists survive a succession of disasters by the narrowest of margins then this is the film for you. The opening scene features a daring rescue which serves to introduce Raymond. After a very brief lull to introduce his family the action proper gets started. This begins with the spectacular destruction of the Hoover Dam and then escalates as we see Los Angeles and later San Francisco decimated; buildings collapse and famous landmarks destroyed. Dwayne Johnson impresses as Raymond Raines and the rest of the cast are solid even if the characters are for the most part playing second fiddle to the special effects. These effects looked fantastic on my relatively small television; I imagine they would have looked amazing on the big screen. Overall I'd say that this is well worth watching if you want a thrilling ride.",San Andreas
9,ma-cortes,Breathtaking and spectacular disaster movie with big name cast and decent special effects,6,11 October 2019,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot . Raymond Gaines (Dwayne Johnson) searches his estranged ex-wife (Carla Gugino) who is about to marry her new suitor (Ioan Gruffudd) . Both of them make a risked journey across the state in order to rescue his daughter Emma (Alexandra Daddario) . Meantime , the researchers Dr. Lawrence Hayes (Paul Giamatti) and Dr. Kim Park (Will Yun Lee) from the worldwide geophysical Caltech team are investigating strange events and learn that the earth's core is heating up, as they travel to a dam to control their seismic studies and there is a strong earthquake collapsing the dam. Later on , an earthquake causing death, destruction and wreak havoc. They fight for saving a fraction of the city's population, but the entire big town is doomed , as the citizens to escape the impending cataclysm. Along the way Raymong struggles to find a way to save his family. This impressive quake has an awesome and destructive power enhanced by the overwehelming special effects and digital sound. Ever have one of those days...? Pray you don't.Where will you be, who will you be with? San Andreas. We always knew this day would come. Then a series of global catastrophes threatens to annihilate mankind and unprecedented eruptions and earthquakes of unprecedented strength wreak havoc all around California. We Were Warned .Who will be left behind?The end is just the beginning. Geologists predicted it...Now, science has confirmed it...but we never imagined it could really happen. Mankind's earliest civilization warned us this day would come...Ordinary catastrophe movie in thrilling and vintage style with all star cast dealing with a huge earthquake outbursts at the noisy city of San Francisco .
Acceptable disaster movie paced in fits and starts with a great cast, though a little wasted . The plot summary centers in a valiant pilot who goes to look for his daughter and a sismologist who predicts disasters , fighting amount of dangers because of San Andreas Fail is cracking . The F.X. of computer generator are first rate , better than the classics 7o and 80 :""Earthquake"", ""Inferno towering"" and likeness to ""Volcano"" or ""Armaguedon"" and ¨2012¨. Thrilling screenplay dispenses absurd excitement as well as spectacular scenes and lots of action . This is a fast-paced, stylized disaster-spectacle film with noisy action , thrills , chills and strong images of destruction and chaos. In addition , cinematography and musical score are breathtaking . The impressive , state-of-art special effects and the good cast cannot save this passable film , at all . It lacks deep characterization , displaying some boring moments and a tiring script that was presumibly well paid . This was a successful catastrophe movie that belongs to disaster movie genre that in the 70s and 80s achieved splendor , such as : ¨Towering inferno¨ , ¨Poseidon¨, ¨Beyond Poseidon¨ , ¨The swarm¨, ¨Avalanche¨, ¨The Russian rollercoaster¨, ¨Avalanche express¨ , ¨Airport I, II, III..¨ and whose main representative was producer Irwin Allen . All of them packed primitive and traditional special effects , with no computer generator effects ; nowadays , these catastrophe movies are plenty of 3D FX , showing breathtakingly realist images . Main cast is pretty well, giving understanding interpretations , such as : Dwayne Johnson as pilot Raymond Gaines , wife Carla Gugino , their daughter Alexandra Daddario and Paul Giamatti . Support cast is frankly good such as Daniel Riddick , Ioan Gruffudd , Archie Panjabi , Hugo Johnstone , Art Parkinson , Will Yun Le and brief appearance by singer Kylie Minogue .It delivers a colorful and evocative ambient thanks to an expert cinematography cameraman by Steve Yedlin . As well as a frightening , suspenseful and moving musical score by Andrew Lockington . Being lavishly as well as efficiently produced , and competently directed by Brad Peyton . This non-sense but enjoyable disaster movie was decently directed by the Canadian writer/producer/filmmaker Brad Peyton , though with no originality and it has some flaws and gaps . Brad Peyton is a good writer , producer and filmmaker who has directed a few acceptable films , such as : ¨San Andres¨ , ¨Journey 2: The Mysterious Island¨, ¨Project Rampage¨ and ¨Incarnate¨ and he is shooting San Andreas II . Rating : 6/10 . Passable and decent catastrophe movie",San Andreas
