,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Interesting and worth watching, but Paul Thomas Anderson's weakest",7,4 July 2016,"Paul Thomas Anderson this reviewer has always considered to be an extremely talented director, and of his films 'Boogie Nights' and 'There Will Be Blood' are particularly wonderful.Before viewing 'Inherent Vice', this reviewer was yet to see a bad film from Anderson with 'Hard Eight still being a very good film. After seeing 'Inherent Vice', although for Anderson it's disappointing and could have been better that feeling still stands. It is completely understandable why people won't like it however, it is not for all tastes and even though 'Magnolia' and 'The Master' are polarising films that test the patience and challenge those who don't like those films 'Inherent Vice' has clearly divided viewers more than any other of Anderson's films.'Inherent Vice' does have its issues. Its biggest problem is the story, which seems to be the biggest flaw for a lot of people (even those who liked or loved the film have acknowledged it isn't as strong as the rest of the film). Here the story is meandering, over-entangled, over-complicated, draggy pace-wise and not very easy to follow, with a lack of pay off. It is adapted from Thomas Pynchon, and despite the noble effort it is living proof that Pynchon is very difficult to adapt and even considered unfilmable.The characters are not the usual realistically flawed or compellingly real characters of most of Anderson's films, here they are not as interesting or as developed apart from Phoenix's character, most of the supporting roles being caricatures. And this is a rare instance of the soundtrack being a disappointment, Anderson's films have always had memorable utilisation of music that are catchy and rich in emotion, but neither is the case here and mood-wise it's too subdued.On the other hand, 'Inherent Vice' is a superbly made film as is always the case with Anderson. As was said in my review for 'The Master', Anderson's films are some of the most visually beautiful and bold around. Exquisitely shot with sumptuous and atmospheric production values, Anderson's trademark visual style shines completely with his distinctive use of constantly moving camera, steadicam-based continuous long takes (a famous example in his films being the opening shot in 'Boogie Nights'), tracking shots and very multi-layered audio-visual imagery. Anderson's direction is superb.The script along with the costumes was Oscar-nominated, and those nominations were deserved, with the costumes being spot-on in representing the era. The script achieves some tremendously funny, often hilarious, moments, as well as an affectingly melancholic tone, balancing both adeptly. The acting is one of 'Inherent Vice's' biggest strengths. While not quite as good as his performance in 'The Master' Joaquin Phoenix is wonderful, while Josh Brolin attacks his role with gusto. Even with short appearances, Witherspoon, Martin Short, Owen Wilson, Jena Malone, Joanna Newsom, Maya Rudolph and Michael K Williams give brilliant supporting turns (Short in particular is a hoot), and Katherine Waterson is unforgettably sensual.Summing up, Anderson's weakest and has its problems, mostly with the story, but interesting and worth watching. 7/10 Bethany Cox",Inherent Vice
1,SnoopyStyle,fascinating stylish crime drama,6,8 July 2015,"It's Gordita Beach, California 1970. Larry ""Doc"" Sportello (Joaquin Phoenix) is a weed-smoking hippie private eye. His ex Shasta Fay Hepworth tells him about her fear that her lover real estate mogul Mickey Wolfmann is going to be abducted by his wife and her lover. This leads to a long winding investigation that connects to a ship called Golden Fang and a drug smuggling ring. Det. Bigfoot Bjornsen (Josh Brolin) is the hard up cop.Paul Thomas Anderson infuse this with a surreal strange hippie hard-boiled vibe. There are good performances. The plot is a meandering thing in a drug induced haze. It's hard and odd. It's a fascinating mood but I never really got involved with the story. Other than Shasta, it's hard to figure out what's in it for Doc in this case. If he saved Wolfmann, wouldn't Shasta live happily ever after with him? Did Tariq Khalil actually pay him? I don't mind a convoluted case but the little things do bug me. When does he get paid? This plot is relatively easy to follow but isn't easy to digest. Characters come in and out of the movie all the time. It's like a semi-coherent dream that stops making sense once you start dissecting it.",Inherent Vice
2,Horst_In_Translation,I was hoping for more,4,3 April 2015,"""Inherent Vice"" is a 2014 film that managed two Academy Award nominations and runs for no less than 2.5 hours. Let me start this review by saying that Joaquin Phoenix was great as always and is a definite contender for best actor out there right now. He really makes every character he plays these days his own. However, the script felt really confusing to me.There were so many interesting characters (especially all the females) in there, but they just weren't elaborated on to a sufficient degree, at least if you have not read Pyncheon's novel like myself. I did like the Witherspoon-Phoenix reunion from ""Walk the Line"" (fittingly Witherspoon also got her 2nd Oscar nomination this year, even if for another film), but I do not like that PTA always has to include his wife in his movies, again in a nothing part and I also don't really see much acting talent in Rudolph. I also do not like the movie's poster. I think Brolin is a good actor and he got some acclaim for his performance here, but his character was also completely confusing and the relationships including him and the villains were weird and unconvincing too. Owen Wilson, as always, did not do anything for me. The film featured basically all ethnic backgrounds. The central character is Italian and there are Asians, Blacks, (very) Whites, Scandinavians etc. and also no crime is omitted: murder, kidnapping, fraud, GBH, drug trafficking...Finally, let me say that without Phoenix this would have been entirely unwatchable probably and I am okay with his Golden Globe nomination. But I was just never wowed by this film, which is particularly disappointing as I really love some of PTA's other work such as ""There Will Be Blood"". I am curious to see if he and Phoenix will collaborate again like in ""The Master"", also a movie superior to this one here. So what could have been done better? Maybe this film should have been released as a miniseries for television and they would have had the running time to elaborate more on the characters to make this a satisfying viewing experience.",Inherent Vice
3,Prismark10,Inherent mess,2,26 November 2015,"Pretty early on I came to the conclusion that Paul Thomas Anderson's adaptation of Thomas Pynchon's novel Inherent Vice is not for me.However I persevered. I think I should get a medal for bravery.The film is some kind of stoner mystery and comedy. Maybe a spaced out version of Chinatown set in early 1970s LA with a loose plot, plenty of surrealism and cameos from famous actors. If you are looking for a coherent plot then look elsewhere.Joaquin Phoenix plays hazy Private Eye Larry 'Doc' Sportello contacted by an ex girlfriend whose married boyfriend has disappeared, maybe sent to a lunatic asylum by the missing man's wife.Doc gets mixed up with a black militant, a drugged out musician, a drugged out dentist and Josh Brolin as a tough LA cop with a fondness for frozen bananas.The film drags on in its meandering way. I felt Phoenix was miscast, maybe he just tries too hard to be the next Daniel Day-Lewis. Maybe Owen Wilson or even Brolin could had been the lead and brought a different take to the character. Phoenix was boring not helped that the film is boring.",Inherent Vice
4,nogodnomasters,DENTIST ON TRAMPOLINE,10,22 August 2018,"The adventure starts when Shasta Fay Hepworth (Katherine Waterston) requests the help of private detective Larry ""Doc"" Sportello (Joaquin Phoenix). Doc is a hippie who spends most of his time doing drugs. During the film he does alcohol, pot, acid, PCP, and cocaine while trying to solve various cases. Shasta is a former girlfriend who left a few months or a few years ago. She tells Doc she is the girlfriend of a married man Mickey Wolfmann (Eric Roberts in a cameo) and his wife (Serena Scott Thomas) and the wife's boyfriend are scheming to get Mickey committed.The story then weaves levels of complexity introducing new characters seeming unrelated to anything. Some characters such as ""Bigfoot"" (Josh Brolin) appear as stereotypes on the surface, but underneath the exterior is someone totally unexpected. At times this makes fun of 60's stoner films but maintains Coen Brothers type of humor throughout. The characters are far from stock. There is humor in the notes Doc takes down in his book. There were plenty of WTF moments and ""what the heck am I watching?"" feelings. It is a film you must either be stoned or fully engaged to watch. I would recommend the latter the first time through.Doc's journey takes him through a dead biker, Mental Asylum (Straight is Hip), Chinese smuggling, Dentist pedophile, massage parlor, and government conspiracy involving the FBI, DOJ and the Aryan Nation. Try to keep up.This is an oddball cult film that won't appeal to everyone.Guide F-bomb, sex, nudity (Katherine Waterston- FF)",Inherent Vice
5,kosmasp,Thinkings man Pain and Gain,8,21 June 2015,"Or something like that. Obviously you cannot compare the movie styles at all, but both ideas are based on something that really happened, with character (read people) ""acting a fool"" (or however else you want to call it). Phoenix playing it as straight and as not ""manly"" as possible (Arnold Schwarzenegger might call his character ""girly girl"" - him not me mind you!).So if you don't have an issue with a character who's probably mostly high (yes on drugs, like on a constant basis or clouded mind) and a story that might be a bit tricky to follow, you'll have a lot of fun with this. Especially considering the acting talent on hand. Also quite a few adult situations as your favorite rating system would call them. The movie is not taking itself too seriously and achieves a lightness within ... can you dig it?",Inherent Vice
6,gavin6942,"Hard to Follow, But Oddly Brilliant",7,16 February 2015,"In 1970, drug-fueled Los Angeles detective Larry ""Doc"" Sportello (Joaquin Phoenix) investigates the disappearance of a former girlfriend.Whether or not Los Angeles was like this in 1970 does not matter. For the sake of the story, this is the world Doc Sportello lives in, and it is one crazy place: drug cartels, ouija boards, crooked cops and hippie cults.The problem with this film, and what seems to turn most people off, is the very complex plot. Following in the same vein as ""The Long Goodbye"" or ""The Big Lebowski"", this is a world where many seemingly unrelated worlds intersect. And it is brilliant. Unfortunately, it is very hard to follow and that will ruin it for many people. Or, at best, it will make them want to watch it two or three times until it all starts to click.",Inherent Vice
7,lee_eisenberg,"in life, vices and virtues are bound to collide",6,11 May 2015,"Paul Thomas Anderson has shown himself to be one of the most important modern directors over the past twenty years: ""Boogie Nights"", ""Magnolia"", ""There Will Be Blood"" and ""The Master"". ""Inherent Vice"" is one of the weirdest movies that I've ever seen. Joaquin Phoenix plays a hippie detective investigating a disappearance in 1970 Los Angeles. Well, that's the main plot anyway. The movie mixes in as much as possible. But unlike most stories that add too much, I think that it helped this movie: we see a lot of things that were prominent in 1970. There's the Black Guerrilla Family, the protester at Nixon's speech, and other things. It's a pivot between '60s idealism and '70s cynicism.I haven't read the novel on which ""Inherent Vice"" is based, or any other Thomas Pynchon novel. As someone born long after the '60s ended I can't claim to fully understand what the era was all about. It's a pretty bizarre movie, but I'd say that it's worth seeing.A three-hour tour indeed!",Inherent Vice
8,jboothmillard,Inherent Vice,5,27 May 2017,"I saw the trailer for this film in the cinema, I was instantly attracted to it by the all-star cast, and it was directed by Paul Thomas Anderson (Boogie Nights, Magnolia, There Will Be Blood, The Master), so I'm glad when I got the opportunity to see it. Basically set in the year 1970, in Gordita Beach in southern California, pot head hippie private eye Larry ""Doc"" Sportello (Golden Globe nominated Joaquin Phoenix) is approached by ex-lover Shasta Fay Hempworth (Katherine Waterston). Shasta believes that her new lover, married real estate and land developer Mickey Z. Wolfmann (Eric Roberts), is the target of an abduction attempt by his wife and her lover, they want him committed to an insane asylum. Doc goes in search of Wolfmann, but soon finds other people are going missing, including Shasta, who one of them is assumed to be murdered. Along the way, Doc encounters many crazy characters and a wide array of issues from politics, cults, prostitution, the drug trade and dentistry, and involved with the ""Golden Fang"", an international drug smuggling operation. Accompanying Doc most of the way is LAPD detective Lieutenant Detective Christian F. ""Bigfoot"" Bjornsen (Josh Brolin), who is straight to the point, but does have a dark side, including need for therapy. Also starring Owen Wilson as Coy Harlingen, Reese Witherspoon as Deputy D.A. Penny Kimball, Benicio Del Toro as Sauncho Smilax, Esq., Martin Short as Dr. Rudy Blatnoyd, D.D.S., Jena Malone as Hope Harlingen, Joanna Newsom as Sortilège, Bridesmaids' Maya Rudolph as Petunia Leeway, Sasha Pieterse as Japonica Fenway, Michael Kenneth Williams as Tariq Khalil, Martin Donovan as Crocker Fenway, Serena Scott Thomas (Kristin's sister) as Sloane Wolfmann, Jeannie Berlin as Aunt Reet, Hong Chau as Jade, porn star Belladonna aka Michelle Sinclair as Clancy Charlock, Elaine Tan as Xandra, Keith Jardine as Puck Beaverton and Peter McRobbie as Adrian Prussia. Phoenix certainly stands out as the drug addled private eye, then little-know Waterston is impressive, all the other big names in the cast, including the adult actress, add something in their moments too. The film is based on the novel by Thomas Pynchon, his books have been considered unfilmable, and you can see why with this film, is is completely psychedelic and you can hardly concentrate getting entangled with the little storyline there is, but it is memorable for the use of colour and all details of the 1970s setting, a preposterous but interesting enough crime comedy drama. It was nominated the Oscars for Best Writing, Adapted Screenplay for Paul Thomas Anderson and Best Costume Design. Worth watching!",Inherent Vice
9,rmax304823,"Far Out, Man.",7,13 September 2015,"This story of a 1970 shaggy private eye (Phoenix) tracking down a missing person among scads of other tasks owes a lot to Thomas Pynchon's novel and about an equal amount to the Cohn brothers' ""The Big Liebowski."" I lost the plot pretty much in the first fifteen minutes, partly because Phoenix's ex girl friend (Waterston) recites her lines in a monotone that's barely above a hoarse whisper. Confusion about narrative threads isn't the kiss of death in this case because the whole film is episodic and involves dozens of characters who may or may not add something to the goings on.Anyway, the enjoyment lies in the weird direction by Paul Thomas Anderson, who I wish would drop his middle name. (Enough is enough.) The performances match the quality of the script, which is pretty good.There is one emblematic scene. Phoenix meets in a restaurant with a prim stranger who is bent on revenge for a tycoon's having debauched his daughter. Phoenix asks dumbly about what the man did. After all, she's of age. The man glowers. Oh, yes? How about his making her listen to all those original cast albums of Broadway musicals while he had his way with her? And taking her to endodontists' conventions -- those hotel rooms. The wall paper. The toilets. Those LAMPS! I won't go on about it. There doesn't seem to be much in the way of a message, thank God, unless it's that every generation looks weird to every other generation. Technically -- photography, art direction -- it's all at professional par. It doesn't move quickly. It just seems to savor every bizarre scene.I kind of enjoyed it.",Inherent Vice
