,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,super duper cute kid,7,27 December 2017,Frank Adler (Chris Evans) has been raising her niece Mary Adler (McKenna Grace) since her mathematical genius mother Diane left her as a baby and then committed suicide. He sends her off to first grade despite her protestation. Her teacher Bonnie Stevenson (Jenny Slate) realizes her mathematical skills. Frank resists efforts to put her into special school by the principal and his strict mother Evelyn Adler (Lindsay Duncan) who seeks to take custody. Roberta Taylor (Octavia Spencer) is their friend and landlord.Mckenna Grace is super duper cute missing-my-front-teeth adorable. Director Marc Webb keeps the movie running on the straight and narrow. Slate and Evans have a nice chemistry. This is not the most challenging film but it's an easy watch. I do have a problem with the resolution of the court case but the drama does need to go somewhere. It has the advantage of going where I wasn't expecting. It's a little girl alternate Good Will Hunting.,Gifted
1,Horst_In_Translation,"Not a miracle, but a fairly good watch",6,20 July 2017,"""Gifted"" is an American 100-minute film from this year (2017), so still a really new one we have here. The director is Marc Webb, who is still most known of course for his take on Spider Man starring Andrew Garfield. But this blockbuster should not be in the focus today. Instead, we talk about this film here that is writer Tom Flynn's most known work until now. It is the story of a young girl who is a child prodigy, just like her mother was. She lives with her uncle as her mother's genius was also her demise eventually and the uncle (played by Captain America Chris Evans) tries all he can to keep his niece from living a life as destructible as her mother did. There is also a bit of an evil stepmother character in here and that one is played by Lindsay Duncan, even if she is of course actually the grandmother and she wants her granddaughter to continue her daughter's work. Now I mentioned already some of the actors and characters here and I believe that Duncan is the MVP overall. Admittedly, it is by definition already a role with great potential, but she sure delivers and fulfills the expectations. The only contender for MVP is child actress Mckenna Grace, who I can see really having a bright career if she decides to keep making movies when entering adult life. She really had my eyes glued to the screen in every scene she was in and actually those were not as many scenes as you would expect as we see the people around her more than we see her at times.For Chris Evans, this is a worthy addition to his body of work too. He did a fine job most of the time and he is one of the current superhero actors who still need to establish themselves as character actors (something Cumberbatch, Ruffalo and RDJ have done a long time ago already), but he is on the right track. Jenny Slate I am still undecided. Eventually her character is a bit pointless. But the teacher parts early on were played well by her, the romance parts added almost nothing and in the second half of the film she is just there with no material at all. Oscar winner Octavia Spencer is once again a disappointment. Her character could have been left out completely and it would not have changed a thing. Besides, she has a tendency to play exactly the same character in every film she is in really and by now it has gotten stale and repetitive. Yes she has recognition value (like Slate too, maybe Evans could have a bit more), but that simply is not enough anymore in my opinion. Yeah, she brings some comedy here and there, but honestly the Black lawyer was really enough to have that genre covered.Story-wise, the film was convincingly written I would say. Here and there a minor weakness, but the argument ""kids don't talk/act like that"" can easily be refuted by the protagonist being different. The scene when Evans' character leaves the girl with the foster parents was probably the saddest and most touching of the entire film. Afterward, it turned a bit into a sob story, also with the dog being almost killed before daddy rushes in and then also the scene with Duncan's character back in action and the final confrontation scene when she realizes what she did to her daughter. It's truly walking the edge, probably depends on your perception if you think it's masterfully balancing or crossing the edge. The story arc with the finished theory I am not sure if I liked it. It came a bit surprising in possibly not the best way, but I think that the explanation was nicely handled and the interpretation too as we know the grandma will never leave the girl alone unless she gets these documents of which she did not even know existed. I think I can live with that as I can live with the entire film. It has its moments, both good and bad, and eventually it is worth checking out, even if I would not say it's best-of-the-year material or a must-see by any means. The highs are higher than the lows are lower I guess, so it's a positive recommendation from me. Thumbs up. Oh yeah, before I forget one final note: The entire thing reminded me a bit of ""What Maisie Knew"" from 5 years earlier, perhaps slightly inferior to that one, but both are defined through strong performances by girls playing core characters. If you liked WMK, you may end up enjoying this one too.",Gifted
2,nogodnomasters,The Man Who Shot Liberty Mutual,10,5 July 2017,"Mary Adler is a six year old mathematically gifted child being raised by her uncle Frank, a freelance boat repairman, in Florida. They own a one-eyed cat named Fred and rent from Octavia Spencer who always manages the perfect role or maybe she is just that good. Mary comes from a line of mathematical geniuses. Frank (Chris Evans) is attempting to raise Mary as a ""normal"" child reflecting on the wishes of her melancholy mother who is deceased. However, not everyone agrees with Frank as Mary is ""one in a billion"" which leads to a custody battle.Frank is also intelligent and has a flippant sense of humor. The film's strong points are its characters and underlying humor. Mckenna Grace did an excellent job as the gifted child and I love her more than my stupid niece in medical school. (Just kidding folks). The film focuses on developing gifted children for the benefit of society, or to let them have happy lives.Guide: 1 F-word. Implied sex. No nudity. ""The Girl with All the Gifts"" is a different film enjoyable on a different level",Gifted
3,kosmasp,True talent,9,9 June 2020,"Which is true of the actors involved but also part of the story you are about to embark and enjoy. Now some things may be predictable (relationships and where they are heading), but that does not take anything away from the movie. You had to have charismatic people in this one. To convey everything they go through and to help the movie not sink into some of the cliche traps it has to avoid.The kid actor is great too. You actually believe she is what she portrays. Great drama overall and really nice script and dialog too. I missed this in the cinemas, but got the opportunity to watch it the other day. This will work best with those open to a movie like this. Cynicism aside and you'll enjoy it",Gifted
4,jboothmillard,Gifted,7,25 June 2017,"I saw the trailer for this film no more than a week before it was released, it looked like a really simple idea, a brainy kid with a funny smart aleck personality and a custody battle, I was looking forward to it, directed by Marc Webb (500 Days of Summer, The Amazing Spider-Man). Basically in a small town near Tampa, Florida, seven-year-old Mary Adler (Mckenna Grace) is starting her first day at school in the first grade, she impresses and bewilders her teacher Bonnie Stevenson (Jenny Slate) showing her remarkable mathematical talent. Mary is offered a scholarship to a private school for gifted children, but her uncle and guardian Frank (Chris Evans), a freelance boat repairman, turns it down, based on the experience of his family with similar schools, he wants to give Mary the chance to have a ""normal"" childhood. Mary's mother Diane took her own life when Mary was six months old, Diane was a promising mathematician, dedicated to the Navier–Stokes problem, one of the unsolved Millennium Prize Problems, Mary has lived with Frank ever since her suicide. Seeking to gain custody of Mary and move her to Massachusetts is Evelyn (Lindsay Duncan), Frank's estranged mother and Mary's maternal grandmother, she believes Mary is a ""one-in-a- billion"" mathematical prodigy and should be specially tutored to prepare for a life devoted to mathematics. Frank however is adamant that his sister Diane would want her to be in a normal school and have a childhood she didn't have, so begins a court case to determine who gets custody, but Frank worries the judge will rule against him and he will lose Mary completely, he talks often about his concerns with close friend and neighbour Roberta Taylor (Octavia Spencer). Frank and his lawyer Greg Cullen (Glenn Plummer) agree a compromise, Mary will be placed in foster care and attend the private school Evelyn has chosen her to enrol, the foster parents live just 25 minutes from Frank's home, and he will have scheduled visits, Mary will be able to decide where she lives when she turns twelve. Mary is devastated at being placed in foster care, she initially refuses to see Frank, Bonnie finds out their one-eyed cat Fred was put up by the foster parents for adoption, due to allergy issues for Evelyn, Frank retrieves the cat from the pound, Evelyn has taken up residence in Mary's foster home guest house, and oversees Mary's education. Frank confronts Evelyn, revealing that before she killed herself she had solved the Navier–Stokes problem, but stipulated that the solution was to be withheld until Evelyn's death, it meant everything to Evelyn to see her daughter solve the problem she dedicated her life to. In the end, Frank offers to publish Diane's work, in return for Evelyn dropping her objection to him and gaining custody of Mary, Evelyn reluctantly agrees, Mary returns to the public school, and makes ""normal"" friends, but continues taking higher level courses in the afternoon. Also starring John M. Jackson as Judge Edward Nichols, John Finn as Aubrey Highsmith, Michael Kendall Kaplan as Justin Gilmore and Elizabeth Marvel as Gloria Davis. Evans strips his Captain America armour and shows his softer side well, Spencer gets her moments as the concerned neighbour, and Duncan does well as the English woman not being completely hateful, but the film does almost entirely belong to Grace, she creates both laughs and emotion as the cute, cheeky and highly intelligent girl. It is a very simple story, a girl with a gift, and the two people who can care for her fighting to decide her future, but it is not just all arguments and despair, there is plenty of room for funny moments, especially from the young talent, and there are some thoughtful scenes, including the discussion of God, it is a surprisingly affective and enjoyable comedy drama. Very good!",Gifted
5,neil-476,Lovely,9,9 May 2018,"Frank is bringing up his 7-year old niece Mary, following the suicide of her mother, Diane. The trouble is that Diane was a mathematical prodigy, and so is Mary, and Frank is minded to give Mary as normal a childhood as possible. When Frank's and Diane's mother Evelyn turns up, determined to ensure that Mary's full potential will be realised, it is clear that trouble lies ahead.There are some lovely character dynamics here. The relationship between Frank and Mary is at the heart of the story and is beautifully realised. But, cleverly, Evelyn is not entirely the monster she initially appears to be. Though she and Frank are very much at odds, there is still a mother/son relationship at work. And despite Diane's death over 6 years before the film starts, her relationships with her mother and brother are both crucial to the events of the film.Chris Evans is excellent as Frank, in a performance with not a hint of Johnny Storm or Steve Rogers in it. And British veteran Lindsay Duncan, not an actress given to sympathetic portrayals, gives us a beautifully ( and often very funny) Evelyn. Jenny Slate plays Mary's teacher Bonnie, bemused at finding this extraordinary child in her class, and rapidly discovering the consequences of getting far more involved than she had expected to, and Octavia Spencer plays Frank's next door neighbour Roberta.But Mckenna Grace, as Mary, owns this film. Aged 9 at the time of filming, she gives a performance of subtlety, control, emotion and power. She is undoubtedly a 7-year old child, but she is also a genius, and the conflict between the two - and how it factors into all her relationships - is extraordinarily well-handled by this self- assured child..The script is very good. It isn't full of dazzling wordplay, but it tells the story deftly and entertainingly.I loved this film, and it moved me frequently.",Gifted
6,AlsExGal,"A great family film, and a cut above what I've seen so far this year",8,12 September 2017,"It's not perfect (it becomes too solemn toward the end, and the ending itself seemed abrupt) , but this crowd pleaser pleased me. Chris Evans, out of superhero armor for once, was quite good as a man raising his young prodigy of a niece, Mary, alone following his sister's suicide. The niece, although tough at first, grew on me a lot, Octavia Spenser and Jenny Slate were charming in smaller roles, and Lindsay Duncan was magnificent as the film's villainess so to speak, and Mary's grandmother, imbuing her possibly one-note character with a nuanced, three-dimensional performance so that you couldn't help but understand her from time to time. The script was funny, tender, and moving.It all boils down to a custody fight in which the argument is what is better for Mary: to have every possible option available to her as she will with the grandmother and her money and stress on advanced education, or to be with the uncle in the belief that grandma's opportunities will simply suppress her life. Things are presented so that there really are two valid sides.While I sided with Evan, because the audience is largely following his story, I think there is some evidence to believe that the grandmother is offering a better future for the child, from a judge's perspective at least. How does this all work out? Watch and find out.I'd give it a solid recommendation.",Gifted
7,ferguson-6,how do we choose who chooses?,7,6 April 2017,"Greetings again from the darkness. The ""right"" choice isn't always obvious. Things get more complicated when even the ""best"" choice isn't clear. Place a young child at the heart of that decision tree, and the result may yield emotional turmoil and an abundance of moral high ground and judgment. Such best intentions are at the core of this latest from director Marc Webb (his first feature since 500 Days of Summer) and writer Tom Flynn.Frank (Chris Evans) is raising his 10 year old child prodigy niece Mary (Mckenna Grace) in low-key small town Florida. The circumstances that brought the two of them together aren't initially known, but are explained in a poignant moment later in the film. Frank has been home-schooling Mary and now believes it's time she transitions to public school for the socialization aspect  ""try being a kid for once"" he urges. Of course, Mary's teacher Bonnie (Jenny Slate, Obvious Child) immediately realizes Mary is special, and just like that, the wheels of the educational system are in motion to explain to Frank why they know what's best for Mary  a high-fallutin private school where she can be all she can be.There is a really nice and enjoyable story here of Uncle Frank dedicated to doing what he thinks is best for bright and charming and spirited young Mary, but it all comes crashing down when the bureaucrats, and ultimately Frank's mother (Lindsay Duncan), get involved. When the adults can't agree on the best route for Mary, a courtroom battle ensues. Ms. Duncan gets a witness scene reminiscent of Jack Nicholson in A Few Good Men, and her overall performance stands in effective stark contrast to the warm fuzzies of Mr. Evans.The supporting cast contributes nicely, though Octavia Spencer's role as kindly neighbor Roberta is more limited than it should be, and the love connection between Evans and Ms. Slate could have easily been omitted - but she is so pleasant on screen, that we don't mind at all. Glenn Plummer and John Finn are the attorneys who go to war, and Fred the one-eyed cat also gets plenty of screen time. But there is little doubt that the movie really belongs to the effervescent Miss Grace. She nails the back and forth between kid and genius, and we never doubt her sincerity.Child prodigies have been explored through other fine movies such as Little Man Tate, Searching for Bobby Fisher, and Shine, and while this one may run a bit heavier on melodrama, but it's worthy of that group. The best discussions after this movie would revolve around what's best for the child. Should she be deprived of ""higher"" education in order to live within a more ""normal"" social environment? Are any of the adults more interested in their own ego than in what's in the child's best interest? Home school vs public school vs private school is always good for some fireworks, and everyone has their own thoughts. So how do we decide who gets to decide? Does a parent get the final say on their child – even if their motivations may be in doubt? Should every kid be pushed to their academic – or artistic – or athletic – limits? The questions are many and the answers are complicated. There is a great line in the film that itself is worthy of conversation: ""You got on the bad side of a small-minded person with authority"". Yikes. Even Cat Stevens' great song ""The Wind"" can't soften that.",Gifted
8,phd_travel,Cute story and remarkable performance by the young actress,8,27 June 2017,There have been other genius kids movies before but this one is more watchable. Mckenna Grace the young actress playing the mathematics e=whiz kid is quite adorable and a very good actress - she looks like a young Kiernan Shipka. Chris Evans acts pretty well as her uncle who wants a normal life for her - don't think of him as an action hero at all here. Lindsay Duncan plays her proper British grandmother who want special things for her grandchild. All the cast are quite suited.The story is well written with some genuine laughs. The comic tone is good. The only part that seems a bit contrived and implausible is the part where the court would take her away and put her with a foster family rather than with either the uncle or grandmother. In the end she did need a special school anyway so he was a little wrong.Worth a watch.,Gifted
9,gradyharp,'He's a good person. He wanted me before I was smart.',10,30 July 2017,"Screenwriter Tom Flynn offers a well-considered and genuinely moving story about how we deal with gifted children – and adults. GIFTED is also about family connections and the impact on children whose parents are lost to them by separation whether in death by natural causes, by suicide, or by desertion. Marc Webb who has gathered an impeccable cast to enact this touching drama directs his sensitive story with aplomb.Frank Adler (Chris Evans) is a single man raising a child prodigy - his spirited young niece Mary (Mckenna Grace) in a coastal town in Florida. Frank's plans for a normal school life for Mary are foiled when the seven-year-old's mathematical abilities come to the attention of Frank's formidable mother Evelyn (Lindsay Duncan) whose plans for her granddaughter threaten to separate Frank and Mary. Octavia Spencer plays Roberta, Frank and Mary's landlady and best friend. Jenny Slate is Mary's teacher, Bonnie, a young woman whose concern for her student develops into a connection with her uncle as well. The story explores the relationship between a caring uncle who salvaged his niece when the mother of the girl (a brilliant mathematician) commits suicide – yearning to offer the brilliant gifted niece a 'normal life' despite custody battles and grandmother opinions.Chris Evans continues to prove that he is one of our more important serious actors of the day and eleven year old Mckenna Grace demonstrates why she is on of the most frequently seen young actresses in the young role parts. Octavia Spencer and Lindsay Duncan offer definitive performances in tough roles. This is a film with many levels of message and one that should be seen by a very wide audience.",Gifted
