,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,The less than creepy nun,4,5 October 2018,"Have an appreciation for horror, remember really liking 'The Conjuring' films (though they need a re-watch) and liked the idea. The advertising also suggested a quite creepy film if done right. Seeing that 'The Nun' was not positively received, critically and by word of mouth, however lowered my expectations somewhat, being one of not many to have respect for critics opinions.Seeing 'The Nun' with an open mind, with the intent of actually liking the film and going against the grain (as has actually been the case quite a number of times, though often do agree with general consensus), for me it was not as bad as many have said and it is not one of the worst of the year. It's not even among the worst of the horror genre. It was though a disappointment and managed to be worse than my lowered expectations, far from being one of the best of the year as well. 'The Nun' at least didn't insult my intelligence (on the most part), it is not that amateurish and didn't get the sense it was completely not trying, while thinking that it could have tried harder. From personal opinion, 'The Nun' does have similar problems as 'Slender Man', except it's a better film.Found 'The Nun' to be a good-looking film, very spooky in setting and atmospheric in lighting. It's slickly photographed too and the effects not cheap. The music does have an unsettling ambience and doesn't sound cheap in how it's recorded or orchestrated.It started off very well, the beginning was unnerving and did have dread and tension.However, 'The Nun' did go downhill quickly too early and struggles to recover. One is told too much and far too soon, which completely diminishes the suspense and makes things very predictable. The direction is both leaden and disorganised and while the actors try gamely they have nothing to work with, with clunky dialogue galore and poorly developed clichés passing for characters that are both bland and annoying.Dialogue throughout has no natural flow and reeks of cheese. The story is very poorly paced, mainly dull, and the back-story is far too ridiculous, clichéd and with bland atmosphere and nothing new to engage with it or take it at face value. It is not fun, with comic relief that is not funny, sometimes not tasteful and features too much. 'The Nun', like 'Slender Man', feels like a short film over-stretched to breaking point for a feature film, the content is just too little and the titular character is far too underused and is more so what than scary when revealed. 'The Nun' also fails at being scary or interesting, the too thin story and deadly dull pacing kills the tension, suspense and dread, making the atmosphere bland throughout, while there is too much of an over-reliance on jump-scares that are too random, senseless and obvious to be creepy.On the whole, not terrible but disappoints. 4/10 Bethany Cox",The Nun
1,Leofwine_draca,Little to say,4,25 January 2020,"THE NUN is a spin-off from the overrated CONJURING franchise and offers more of the same. Patrick Wilson and Vera Farmiga appear in cameo roles while in a case of nepotism Taissa Farmiga, Vera's sister, takes over the lead duties. The Romanian setting allows for some early gothic adventures which riff on various Dracula tropes, but soon we're in the familiar territory of demonic possession and endless hackneyed jump scares. With tired scripting and predictable CGI scares, THE NUN is yet another variant on the haunted house genre that really has very little to say for itself.",The Nun
2,SnoopyStyle,ok first half,4,9 November 2018,"It's 1952 Romania. An evil has risen in a small remote abbey. The Vatican sends Father Burke (Demián Bichir) and novice nun Sister Irene (Taissa Farmiga) to investigate. They are guided by local Frenchie (Jonas Bloquet).I was with this movie all the way up to a buried Father Burke being rescued. It's a solid horror up to that point. First, there is a jarring disconnection with the duo returning the next morning. The movie falls into a constant regurgitation of dark hallways and dark figures and random interiors. It's mind-numbing and not scary at all. It doesn't help that the general layout of the abbey is not clear or declared at all. The second half is a constant downhill slide to the bottom.",The Nun
3,claudio_carvalho,"Underrated with Fake One or Two Line ""Reviews""",7,24 November 2018,"In 1952, in Romania, a nun hangs herself to escape from an evil force. When the peasant Frenchie (Jonas Bloquet) finds her body, the Vatican sends the priest Burke (Demián Bichir) and the novice Irene (Taissa Farmiga) to the abbey to investigate the case. They team-up with Frenchie and soon Frenchie and Burke are is attacked by a demon. Irene learns that Burke is tormented for killing a boy in an exorcism. On the next morning, Irene is accepted in the abbey and learns that there is a gate to hell in the catacombs. Meanwhile Burke finds that a demon called Valak has unleashed through a breach. Now they have to seal the breach with the blood of Christ to trap Valak inside the gate.""The Nun"" is an underrated horror movie with fake one or two line ""reviews"" that IMDb has accepted this year, giving credibility zero to this site that was a reference in the past together with Rotten Tomatoes. The cinematography is magnificent, the atmosphere is spooky and the cast has good performances. Unfortunately the plot has a big flaw, since the powerful Valak has many chances to possess Irene as a vessel to leave the abbey but lures her many times instead. My vote is seven.Title (Brazil): ""A Freira"" (""The Nun"")",The Nun
4,nogodnomasters,That's not how I left her.,4,1 October 2018,"When a nun commits suicide the Vatican calls in Father Burke (Demián Bichir) miracle hunter and crossword puzzle enthusiast to investigate. He takes a long with him nun wanna-be Sister Irene (Taissa Farmiga) who had visions as a child. The location is in remote Romania (where else?) and the time appears to be post-WWII. The villagers claim the castle where the abbey is located is cursed. We get the castle backstory and the crux of the problem at 50 minutes into the film. Not hard to figure out. I thought Taissa Farmiga's face was perfect for the role. The priest, not so much. The dialogue was dry. Some jump scares and mild horror. I kept saying to myself, ""Is that it?"" No swearing, sex, or nudity. Note to self: If buried alive, don't use oxygen burning lighter.",The Nun
5,kosmasp,Nun of that,7,1 May 2019,"One of the alltime classics - the nun of that summary line that is. The movie is not close to a classic. It's not a ""stinker"" either though. It is more than decent overall. Yes it is predictable and yes it has jump scares and all that. But that is what we signed up for isn't it? I and the movie would argue so.While Marvel is quite succesful with their Universe, Conjuring created a Horror universe with quite some good movies. The first Annabelle may not have been up there quality wise, but the sequel made up for that. And this is fine too and was hinted at in Conjuring itself (and Annabelle Sequel). But we do get new players here, as was the case with the Annabelle Origin story. Now this will not shock hardcore horror fans that much, but it was made for a general audience anyway. Don't hold that against it. And yes cliches and predictabilities are high - there's still room to watch and enjoy/be scared though",The Nun
6,Sleepin_Dragon,What a disappointment this was.,4,7 October 2020,"I loved the trailer, from that it looked well produced, gothic and having a true horror vibe.....In reality, it's incredibly dull, you are led to believe that a Nun plays a central part, tormenting all around her, sadly we don't get much of her, when she appears, she looks good.Production values are decent, but they couldn't really go wrong with them given the story, it looks suitably gothic.The story is just so bland, there is nothing new here at all, it has all been done to death, every cliche under the sun imaginable is here.Genuinely the most interesting part was googling what Bonnie Aarons aka The Nun actually looked like in real life.4/10, may seem harsh, but the trailers promised a lot, and in all fairness, it sucked.",The Nun
7,classicsoncall,"""There is a powerful evil presence in this place.""",6,23 June 2021,"The whole time I'm watching I'm wondering if there was an actual story here. The opening set up is done fairly well, but after Sister Irene (Taissa Farmiga) saved Father Burke (Demián Bichir) from the coffin in the ground, it sort of just rambled along dark passageways and looked for ways to offer jump scares to live up to it's premise as a horror film. I will admit that the demonic nun of the title is one nasty piece of work and takes a truly hideous form. The film took the occasion of explaining to viewers the concept of a 'safety coffin', one in which a bell was attached through a metal tube so a person buried alive could alert a watchman at the cemetery. That's been associated with all kinds of clever sayings like 'saved by the bell', 'dead ringer' and 'working the graveyard shift', but if you do an internet search you'll come up with other explanations as well. Considering the preview we got of the satanic nun in ""The Conjuring 2"", I thought the movie would be much scarier with a more developed story. Oddly, the last name of the character Frenchie (Jonas Bloquet) in the film, which was Theriault, was very similar to a ghost character in Stephen King's latest horror/crime novel titled 'Later', and spelled Therriault. Interesting coincidence there. About the most interesting thing I got out of this picture.",The Nun
8,jboothmillard,The Nun,5,31 May 2021,"The Conjuring Universe had two spin-odd prequels, featuring the creepy doll Annabelle, but the other thing that has become significant in the series is the demonic nun, first seen in The Conjuring 2, so this spin-off focuses on this. Basically, set in 1952, in Romania, at the Saint Cartha's monastery, two nuns entering a tunnel to retrieve an ancient Christian relic are attacked by an unseen evil force. The surviving nun, Sister Victoria (Charlotte Hope), flees from the attacker, a demon appearing as a nun, and hangs herself. Her body is discovered by Maurice ""Frenchie"" Theriault (Jonas Bloquet), a villager who transports supplies to the nuns. The Vatican learns of the incident and summons Father Burke (Demián Bichir) to Rome. They ask him to travel with Sister Irene (Taissa Farmiga, Vera's sister), a novice nun, to investigate the situation. While Sister Irene is teaching children the relationship between religion and science in a school, when she is interrupted to accompany Father Burke to Romania. There they meet with Frenchie, who leads them to the abbey. They discover Victoria's body and take a key from her corpse. Then they encounter Mother Abbess (Gabrielle Downey) who informs them that the nuns observe a period of silence during the night and offers them a place to stay at the convent. Frenchie is returning to the village when he is attacked by a demon, but he escapes. Burke tells Irene about a boy named Daniel (August Maturo) he exorcised in the past; he is haunted by the memory of the boy's death who was fatally injured. Irene reveals that as a girl, she had visions causing the Church to take an interest in her. That night, Burke is rescued by Irene after being buried alive in the graveyard by the demonic entity. The next day, Irene and Burke return to the abbey, but only Irene can enter. She meets some of the other nuns and learns that they are praying constantly, swapping in shifts, to keep the evil entity at bay. Sister Oana (Ingrid Bisu) tells the story of the abbey's history. It was built in the Middle Ages as a castle by a Duke (Mark Steger) obsessed with the occult. The duke summoned the demon through a rift in the catacombs but was killed by Christian knights, who sealed the rift with a vial filled with the Blood of Christ. However, the bombings during World War II accidentally reopened the rift, unleashing the evil entity once again. Burke identifies the demon as Valak (Bonnie Aarons) and discovers the Abbess has been dead all along. Frenchie heads back to the abbey to help Irene and Burke. Irene is attacked by Valak and joins the nuns in desperate prayer to ward off the demon. But Irene discovers that none of the nuns she had seen and talked to were real, and that Victoria had been the last nun in the abbey and had sacrificed herself to stop Valak from possessing her body and unleashing evil. They theorise that Valak can only be stopped if they seal the rift with the blood of Christ contained in the reliquary. Irene then informs Burke that God has called her to make her solemn vows as a nun and asks Burke to elevate her to the status of a professed nun. After the trio unlocks the tunnel door with the key Victoria possessed, Irene is lured into a pentagram and possessed by Valak. Frenchie smears some of the blood of Christ on her face, casting out the demon. Burke is wounded by Daniel's ghost as Valak starts to drown Irene in a flooded chamber. Irene expels the blood of Christ in the demon's face, banishing it as the blood of Christ seals the rift. After Frenchie resuscitates Irene, he reveals his real name. Unbeknownst to the others, Maurice has been possessed by Valak, indicated by an inverted cross on his neck. Twenty years later at a university seminar, in Wakefield, Massachusetts, Carolyn Perron (Lili Taylor) watches Ed (Patrick Wilson) and Lorraine Warren (Vera Farmiga) and the footage of their attempt to exorcise a possessed Maurice. Also starring Sandra Teles as Sister Ruth, Manuela Ciucur as Sister Christine, Ani Sava as Sister Jessica, Maria Obretin as Sister Abigail, Michael Smiley as Bishop Pasquale, and Joseph Bishara as the voice of the Demon. Bichir and Farmiga are fine, there was only a little bit of a story I could follow, the many appearances of the evil nun are certainly memorable, the jump scares don't always work, but the special effects are good, and the eerie atmosphere is reasonable, a slow but not terrible gothic supernatural horror. Worth watching!",The Nun
9,BA_Harrison,Holy Crap.,3,12 May 2019,"1952: after a nun hangs herself in a Romanian abbey, the Vatican sends priest Father Burke (Demián Bichir) and novitiate nun Sister Irene (Taissa Farmiga) to investigate. They discover that a bombing raid during the war unleashed an ancient evil, Valak the defiler, and they must try and banish the demon and seal the gateway from whence it came (using an ancient artefact containing the blood of Christ).Do people really find nuns scary? Even ones that look like Marilyn Manson on an off day? I certainly don't (well, except maybe for Whoopi Goldberg in Sister Act **shudder**). The Nun, the latest entry in the Conjuring universe, fails to change that fact. Director Corin Hardy struggles to inject any fear into the cock and bull religious mumbo jumbo backstory for demon Valak, conjured up by writers Gary Dauberman and James Wan, and resorts to countless cheap jump scares, unimaginatively executed and extremely tedious to watch.Throw in terrible acting (what the hell was up with the accent of French-Canadian drifter Frenchie, played by Jonas Bloquet?), lots of crap CGI spooks, and a dumb ending in which Sister Irene takes a shot of Christ's blood and spits it into Valak's face, and what you have is far and away the worst film in the Conjuring universe (so far).",The Nun
10,paul_haakonsen,But the trailer made it look so awesome...,3,9 November 2018,"I remember seeing the trailer for ""The Nun"" in the cinema at another movie, and the trailer made the movie look really, really good. Of course, that is the sole purpose of a trailer.Turns out that ""The Nun"" was a horrible, horrible waste of time, money and effort. I actually fell asleep during the movie, about 1 hour into it. And I had to return to finish it at a later time, several days later. Why not the next day? Well, because what I saw that 1 hour before passing out was nowhere near being interesting.Now having finished it, I can honestly say that the last 30 minutes did not improve on the movie in any way. This was, at least, a less than mediocre foray into the horror genre.There was nothing scary about this movie, and it was just all a pile of cheap tricks that have been done and seen in countless movies prior to this 2018 movie - other movies that fared a lot better than this one.The acting in the movie was adequate, but it was blatantly obvious that the ones performing in the movie had next to nothing to work with in terms of script and storyline.I managed to suffer through ""The Nun"" to the end, and can honestly say that I am not returning to this movie a second time around.",The Nun
11,BandSAboutMovies,Horrifyingly trite.,2,8 September 2018,"The Nun is the fifth movie in The Conjuring Universe, which are dramatizations of the real-life cases of paranormal investigators and authors Ed and Lorraine Warren. As the true story of the Warrens gets controversial* - Ed Warren has been accused of having had a lover live in their house for four decades, starting when she was underage - not to mention Gerald Brittle, author of a book about the Warrens called The Demonologist, suing Warner Brothers claiming they stole his idea, it's only natural that the storyline move to only tangentially involves the main characters.The series begins with The Conjuring, directed by James Wan, during which the Warrens investigate the haunting of the Perron family. There's some tremendous art direction in this film, particularly when it comes to the Warren's occult museum where they keep all of the occult objects they come across, kind of like the trophies in Batman's cave. There are also some genuinely frightening moments, giving one hope that true scares still have a place in the multiplex.The first spin-off, 2014's Annabelle, was seen by many as a misstep. I enjoyed the film's Manson Family allusions if not the entire story. 2016's The Conjuring 2, which dealt with the Enfield Poltergeist incident (and offered potential spinoffs like The Crooked Man and Valak the Nun, who we'll get to in a second, I promise) got the series back on steady ground. And 2017's Annabelle: Creation was a box office success.Becca disliked both Annabelle movies at first, yet has come to enjoy both of them on video and has tattoos of Valak and Annabelle, so that should tell you how excited we were for the potential of The Nun, a movie that has been teased for over a year with effective trailers and artwork. Just look at that poster that's part of this article. Kudos to the PR and ad team that worked on this - you got us in the theater. But did we have a good time?Funny aside - the theater where we went is often my favorite to see a new horror film in. It's always packed with raucous teenagers who shout, scream and go crazy during the jump scares. None of that happened here. Perhaps it was the fact that the air conditioning didn't work on a 90 plus degree day (we were offered the chance to see something else or wait an hour to see another showing, but we decided to stick with it). Or perhaps it was the fact that someone brought a baby with colic to see the movie and that child coughed throughout, continually giving us the real world worry that someone was insane enough to bring a child to a 10 PM movie. Then again - if a movie is really engaging, it defeats its environment and captures you. I've seen some great movies in fleabag theaters, after all.The movie starts in 1950's Romania, two nuns are being attacked by something we can't see. They're searching for an artifact, yet one nun is dragged into the darkness while the other hangs herself to that she can't be taken by the demonic force. Her body, partially devoured by crows, is found in the morning by Frenchie, a villager who brings the nuns supplies.When the Vatican learns of these events, they send ""miracle hunter"" Father Burke and novitiate nun Sister Irene (Taissa Farmiga, sister of Vera, who is the actress who plays Lorraine Warren in these films) to investigate. There, they learn that Sister Victoria's body has moved from where she was laid to rest and that she's holding a strange key.While they stay at the abbey, all hell breaks loose. Irene has more of the visions she's had her entire life and Burke is haunted by a possessed child (spin-off alert) that he failed to save. Valak appears and buries Burke alive, with Irene saving him at the last minute by digging him up. There's a moment here where I thought, ""Surely they're not going to rip off the scene in Fulci's City of the Living Dead where Christopher George uses a pickaxe to rescue the girl."" Of course they do. But it's also framed and presented in a way that has none of the visceral impact of the way that Fulci shot it. Perhaps this is your first clue that I didn't like this movie very much.The next day, the nuns reveal that they've been praying non-stop to keep some dark evil at bay. After all, the abbey was built in the Dark Ages by an evil duke who worshipped the devil and summoned Valak, just at the moment that Crusaders broke in, killed him and sealed the gateway to Hell using the blood of Jesus Christ. The flashback that happens here presents us with a glimpse of a film that would have been much better and more exciting than what we're currently enduring, a film that necessitates constant looks at your watch and math to determine just how many minutes are left before you can escape the theater.Bombing runs during World War II broke the seal and now, the evil of Valak has been slowly leaking into the abbey and the surrounding village (again, a much better idea for a film that we only get glimpses of). Nun by nun has fallen to Valak's evil and now, the nun who seemingly runs the abbey has transformed into Daniel, the buy who Burke failed to exorcize, and is attacking him.While all that's going on, Frenchie comes back to help and Irene joins a prayer circle of nuns who were never really there in the first place. Valak carves a star into the shoulder of Irene before taking her to a room filled with dead nuns whose heads are covered by bloody rags, making one long for a better nun film such as Alucarda.This is where the film shows it has no concept of the occult, kind of a cardinal sin when it comes to making a movie about it. Valak traps Irene inside a pentagram, instead of the center of the pentagram being used to protect and ward off the evil spirits. Everything up to here is shown to be Irene's visions. Keep in mind that devout Catholics believe that feeling the presence of spirits would be heretical, but this is a script that doesn't understand anything that it's writing about, so just go with it.Finally, our heroic trio find the Blood of Christ (and a woman is entrusted with it, showing again that this film has no real understanding of the Catholic Church) and use it to stop Valak (again, with that Blood of Christ being spit out of a human mouth in an act that a devout Catholic would find completely against their belief).Because every movie in this series has to tie back to the others, it turns out that Frenchie is the possessed man that appeared in the footage the Warrens show when we first see them. That said - the dialogue where Ed says, ""They called him Frenchie,"" was added and did not appear in the original film.Let's cut to the chase. This is worse than a bad movie. It's a boring movie that squanders the promise of great scares. At no point was I worried for anyone's safety. There's no real story arc for any of the characters, nothing that moves them through other than interchangeable forces of good and evil for the sake of telling us about this great evil that we've already seen in a better movie.The Catholic Church has been through some rough media in the past few weeks. Completely justified bad media, mind you. The Nun seemingly takes place in some alternate world filled with free thinking nuns like Sister Irene who believe that we should question everything and who are presented as being seen as on the same level as a priest. I loved that in the midst of all the Satanic panic at the end of this film, she takes the time to finish her vows and become a full nun, as it's a great advertisement for a church that wants nothing to do with a movie like this that claims that exorcisms and possession are real. It's another one of God's mysteries: a film that is the best sales pitch for the Catholic Church in years is one that they'd abhor. Take it from someone who angrily yelled at the Pittsburgh Catholic** and their reviewer Father Peter Horton from the age of 9.I know that I've been down this same path so many times, determined not to be an old man yelling that movies used to be so much better when I was young. But time and time again, I get all excited about something new only to be crushed by the resulting boredom and ennui that modern horror delivers. I should have to watch The Other Hell three times in a row as my penance.",The Nun
