,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"It played better back in 1984, but it's still a good film.",7,5 August 2013,"Back when ""Beverly Hills Cop"" came out in 1984, it was a HUGE sensation--HUGE. Although the film cost about $14,000,000 to make, it earned back almost $250,000,000...in the US alone! And, the soundtrack from the film was almost as big--with many of the songs getting enormous airtime. In fact, the soundtrack was a HUGE hit as well. And, not surprisingly, Eddie Murphy soon decided to call it quits on ""Saturday Night Live"". On top of that, everyone seemed to be talking about the film...I can clearly remember that. Oddly, however, I didn't get around to seeing the film until now! And, now that I've seen it, I enjoyed it but also feel that the film sure would have played better back in the day than it does today.In this dramatic-comedy, Murphy plays Axel Foley--a freewheeling cop who seems to be the only one in the film who has a brain. He's smart and capable--and naturally the Detroit Police don't understand or appreciate him. One night, an old friend of Foley's shows up and after an evening partying, some assassins are waiting for them--killing the friend and sparing Foley. Clearly, Foley was not their target. Now, with the BAREST OF EVIDENCE, Foley is going on vacation to Beverly Hills to finish the investigation unofficially. However, once there, he finds the Beverly Hills Cops equally unappreciative of his talents and hassle him throughout most of the film. When the trail leads to a scum-bag named Maitland, the cops must decide whether to keep hassling Foley or jump into the fray with this out of control cop.The plot itself wasn't all that interesting to me and seemed a bit more like a plot from a TV cop show. However, this is not why folks liked the film. What folks liked, and I appreciated, was Murphy's humor--which was very much appreciated in order to liven up the mediocre plot. Is all this nonsense great? Nah...but it is quite good and Murphy's charisma was a MAJOR plus. Too bad this incredibly talented guy who made this and ""Dreamgirls"" (for which he received an Oscar nomination) also ended up making ""Norbit"" and ""The Adventures of Pluto Nash"". Worth seeing, though you should be aware of the very crude language, violence and brief nudity.By the way, and it's not a complaint, but HOW DID AXEL GET THAT GUN IN THE BACK OF HIS PANTS AT THE END OF THE FILM?! He was shot in his right shoulder (his shooting arm) and yet the gun is stuffed in the back of his pants---in a way that could only happen if he did it with his damaged arm. And, who sticks their gun back there anyway? They'll end up blowing their butt off!!",Beverly Hills Cop
1,TheLittleSongbird,Hugely enjoyable and features Eddie Murphy in his best role,10,25 September 2010,"Wow, I was surprised at how brilliant this film was. It was funny and thrilling and had Eddie Murphy in his best role. It looks great, with the cinematography, scenery and editing all stylish, and the soundtrack is note-perfect, while the script is fresh, believable and funny with plenty of wit, and the story is thrilling and fast paced. The direction is assured, and the acting is great. Eddie Murphy is brilliant playing his most likable character to date, and shares a believable chemistry with Judge Reinhold, John Ashton, Lisa Eilbacher and Steven Berkoff who all match him without fault. In conclusion, greatly enjoyable, and much better than its sequel. 10/10 Bethany Cox",Beverly Hills Cop
2,Leofwine_draca,"Not great, but still...",6,11 February 2012,"BEVERLY HILLS COP is one of the films that kick-started the action-comedy movie that ruled the 1980s. Films like LETHAL WEAPON and their ilk wouldn't have existed if Eddie Murphy hadn't come along to begin with and show them how it's done.I'll admit, right away, that I'm no Murphy fan. I've seen him in a couple of okayish movies (THE GOLDEN CHILD, METRO) but most of his filmography I wouldn't go near. BEVERLY HILLS COP presents him at his most successful and most commercial, full of wisecracks and edgy humour. Watching him go up against the staid, by-the-book-cops is a lot of fun.The film has dated quite a lot. The story feels a little bland and not much happens. Some of it's repetitive, and other scenes feel extraneous. There are a bunch of familiar faces (Ronny Cox, Steven Berkoff, Paul Reiser) but the really interesting roles go to Judge Reinhold and John Ashton. Watching the effect Murphy's character has on them is a lot of fun.That's good, because the action is fairly routine and there are no twists that you won't work out well in advance. In fact, I think this would be a pretty pedestrian film were it not for Murphy's larger-than-life turn. He brings the vital life and energy that helped turn this into a classic.",Beverly Hills Cop
3,SnoopyStyle,Great star vehicle for Eddie Murphy,8,4 January 2014,"Axel Foley (Eddie Murphy) is a brash young Detroit cop. His childhood friend Mikey returns from LA having crossed the wrong people. Mikey is executed while out with Axel. Axel doesn't get the murder case. So instead he takes his vacation time in Beverly Hills to investigate. There he runs into cops who do things a little differently.It's a simple formula of action and Eddie Murphy hijinx. Eddie Murphy makes jokes, do the action thing, and create havoc. Young Judge Reinhold, grisly John Ashton, and by-the-books Ronny Cox play the Beverly Hills cops. There is the clash of culture, and Murphy's hilarious laugh. This is a star vehicle for Eddie Murphy, and he drives it with style.",Beverly Hills Cop
4,Horst_In_Translation,Young talent on the rise,6,10 December 2014,"It is already the 30th anniversary for the early Eddie Murphy movie ""Beverly Hills Cop"". Director Martin Brest has a pretty unique body of work afterward. He scored 2 Oscar nominations for ""Scent of a Woman"" (the film that won Pacino finally his Oscar), but seemingly killed his career in 2003 with ""Gigli"" and has not directed a movie ever since. ""Beverly Hills Cop"" was the highest grossing film from 1984, ahead of classics like ""Indiana Jones"", ""Gremlins"", ""Karate Kid"" and ""Ghostbusters"". Quite a good year for cinema with a winner that you would not necessarily expect. Probably thanks to the commercial success, the script received an Academy Award nomination, and Harold Faltermeyer's excellent soundtrack scored some recognition at award shows as well. He had to wait for the sequel to get his Oscar nomination though. Fittingly for its audience numbers, the film also won People's Choice Award for Best Movie of the Year.Eddie Murphy was a rising star back then. He got a Golden Globe nomination, his second already after ""Trading Places"" and an earlier ""Best Newcomer"" nod for ""48 Hours"" and all this in his early 20s. There have been two sequels already for ""Beverly Hills Cop"" in the 10 years after the original, but judging from what the critics say, the quality got steadily worse. Maybe a possible 4th film, which could come out in 2016, will be received better again.I personally found this film work much better as a crime thriller than as a comedy. Murphy's usual stick has never been really my cup of tea, but it's not so bad that it destroys the whole movie. His character is as loud, obnoxious and smart as you know it from Murphy's other works. The film has all the ingredients: one rich evil antagonist, violent scary henchmen and a good-looking female, who has even less to do than the average Bond girl. It is all a bit predictable, but I liked the ending with the reference back to the made-up story Murphy told earlier in the film. That connection was nicely written. You could summarize this film as a story about a cop who goes from New York to Beverly Hills to solve the murder of his friend (oh back in the days when males could still tell males ""I love you"" without the audience smelling any homoerotic tendencies). Decide for yourself if you want to give it a go. If you do and if you have seen ""Breaking Bad"", you will find the young Jonathan Banks (Mike Ehrmanntraut) in the cast as well playing one of the bigger characters and he even has a shootout scene with Murphy.",Beverly Hills Cop
5,Prismark10,Beverly Hills Tops,10,31 July 2013,"This was one of the biggest comedies of all time. Before this film, there were black comedians in movies that never reached their promise.Eddie Murphy coming off 48 Hours and Trading Places hit the ball out of the park. He set the template for every black comedy actor to follow which is a bit of a curse in itself.This is essentially a fish out of water film, with a pure 80s soundtrack, violence, action and a bundle of laughs. The bad guys are vicious and menacing, there is very little charm in Steven Berkoff and Jonathan Banks.It is the Beverly Hills setting that gives Murphy's character full reign to contrast the police procedures in his native Detroit to that of the more sedate Los Angeles enclave of the rich and famous.Great support from John Ashton, Judge Reinhold and Ronny Cox.",Beverly Hills Cop
6,classicsoncall,"""One drink's not gonna kill us.""",8,22 May 2021,"This was a lot of fun back in the day and holds up pretty well even now, as I watched it once again the other evening. For me it was one of those movies that remain memorable because of Eddie Murphy's nervous energy and brilliant wisecracks owing to some edgy script writing. My favorite scenes were the banana in the tailpipe, the strip joint take down of the two hoods, and while watching this time around, I happened to be eating a roast beef sandwich while being reminded by Detective Billy Rosewood (Judge Reinhold) that by the time one hits fifty, you have about five pounds of undigested red meat in your colon. I'm a couple decades beyond that, so I probably have to compensate for another couple pounds or so. The film is punctuated by a hip and energetic soundtrack, with a great opener that sets the pace of the story with Glenn Frey's 'The Heat is On'. One minor point caught my attention when I heard it stated a night at the Beverly Hills Hotel went for two hundred thirty five dollars; that didn't sound like a whole lot to me, even for 1984, but it still probably caused the police department some irritation, seeing how it wound up on their tab. For me, this was one of Murphy's best flicks, suggesting one take a look at the couple of sequels that followed.",Beverly Hills Cop
7,gavin6942,Greatest Action Comedy Ever?,7,31 December 2012,"A freewheeling Detroit cop (Eddie Murphy) pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.I love that they took a Sylvester Stallone action film, made some modifications, and then turned it into an Eddie Murphy comedy. I think without a doubt this was a wise move -- how many Stallone films have been forgotten, whereas this one was one of the top-grossing films of all time and sparked two sequels (thus far).Heck, I am generally speaking not even a Murphy fan... but he is just so great here, and really in his element. Eddie Murphy is Axel Foley more than he is any other character he has played (though I suppose the kids today know him best as Donkey). And the banana in the tailpipe! I can see that joke a million times!",Beverly Hills Cop
8,lee_eisenberg,"A total '80s movie. And how did Martin Brest degenerate into ""Gigli""?",5,8 March 2006,"""Beverly Hills Cop"" is the sort of movie that I would usually give 10/10, but there unfortunately is a major problem with it. The movie presents no challenge to the status quo, portraying the police as the good guys.But other than that, the movie is pretty funny. With Eddie Murphy in as Axel Foley, one gets the feeling that they must have had fun making it. Which of course brings up a few questions: How did director Martin Brest go from this to a piece of dreckola like ""Gigli""? Why is Eddie Murphy currently doing movies like ""Daddy Day Care""? What ever became of Judge Reinhold? Oh well. The point is that you're sure to enjoy this movie, even if it is a total '80s movie. Neat.",Beverly Hills Cop
9,jboothmillard,Beverly Hills Cop,8,6 July 2010,"Eddie Murphy had great success in Saturday Night Live, and a good debut debut into film with 48 Hours, but this was the blockbuster that propelled him into stardom, from director Martin Brest (Scent of a Woman, Meet Joe Black). Basically Det. Axel Foley (Golden Globe nominated Murphy) is the young, talkative and wise-cracking Detroit cop, who while reckless in his crime solving has become talented since reforming from his hoodlum days. He delighted to see his childhood friend Mikey Tandino (James Russo), saying he is working in Beverly Hills as a security guard with Axel's mutual friend Jeannette 'Jenny' Summers (Lisa Eilbacher). Then Mikey is murdered right in front of Axel by a man named Zack (Jonathan Banks), and he is compelled to investigate the murder. Axel pretends to go on vacation in Beverly Hills to his boss Inspector Douglas Todd (Gil Hill), but there Lt. Andrew Bogomil (Total Recall's Ronny Cox) assigns Det. William 'Billy' Rosewood (Ruthless People's Judge Reinhold) and Det. Sgt. John Taggart (John Ashton) to keep an eye on him. With the help of Jenny, Axel meets her boss, and Mikey's one-time boss also, art gallery owner Victor Maitland (Steven Berkoff), who doubles as a drug kingpin, using the gallery as a cover-up. After confirming all the suspicions, Axel, with the co-operation of Bogomil, and the help of Rosewood and Taggart, they all go to bring Maitland to justice. Also starring Stephen Elliott as Police Chief Hubbard, Gilbert R. Hill as Insp. Douglas Todd, Art Kimbro as Det. Foster, Joel Bailey as Det. McCabe and Bronson Pinchot as Serge. You have to remind yourself sometimes that Murphy was a huge star famed for his foul mouth before going into the family films genre, but that is one of the big hooks, my favourite lines are his ""Get the f*** out of here!"" to the foreign and camp art guy. Anyway, Murphy really throws himself into this fun role that could have gone to Sylvester Stallone, he has a great swagger attitude to the character, and the supporting cast add to the fun as well. I have to admit also that the ""Axel F"" theme tune by Harold Faltermeyer is great, but sometimes I can't help but think of the Crazy Frog (which I do like). I was nominated the Oscar for Best Writing, Screenplay Written Directly for the Screen, it was nominated the BAFTA for Best Score for Harold Faltermeyer, and it was nominated the Golden Globe for Best Motion Picture - Comedy/Musical. Eddie Murphy was number 67 on The 100 Greatest Movie Stars, ""Axel F"" was number 28 on 50 Greatest One Hit Wonders, and the film was number 63 on 100 Years, 100 Laughs, and it was number 44 on The 50 Greatest Comedy Films. Very good!",Beverly Hills Cop
