,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,"Standard rom-com, but what's with all the A-listers.",6,7 September 2013,"Gigi Haim (Ginnifer Goodwin) is a young woman looking for a good guy in a sea of jerks. She blames her failures to the much passed around notion that guys act like jerks to girls they like. Alex (Justin Long) is a bar manager who just can't see how cute Ginnifer Goodwin is. It marks the reunion of these two actors from TV show Ed. That's the good part. If that's all, then this would a simple good rom-com.This is yet another pretty-girl-who-can't-find-a-good-guy rom-com. There's nothing with that other than it's utterly unoriginal. For some reason, all kinds of A-listers descended on this film. Chances are that Drew Barrymore as producer called in quite a few favors. Scarlett Johansson, Bradley Cooper, Ben Affleck, Jennifer Aniston, and Jennifer Connelly are just the big names. The trouble is that they are very distracting. With all the different story lines, none of the actors get enough screen time. They are just sucking away the screen time for the main leads. Luckily I like all the actors involved. Ginniger Goodwin is adorable. If they kept it simple, they would have a great rom-com.",He's Just Not That Into You
1,claudio_carvalho,"Marriages, Relationships and Affairs",7,16 May 2009,"The needy Gigi Haim (Ginnifer Goodwin) is an young woman seeking her prince charming in unsuccessful dates. After dating the real estate agent Conor Barry (Kevin Connolly), Gigi anxiously expects to receive a phone call from him. However Conor never calls her and she goes to the bar where he uses to go expecting to see him, but she meets his friend Alex (Justin Long) that works in the place. They become friends and Alex helps Gigi to interpret the subtle signs of the men.The aspirant singer Anna Taylor (Scarlet Johansson), who dated Conor, meets Ben Gunders (Bradley Cooper) in a supermarket and they begin a conversation, and Ben offers to help Anna in her career. Later Ben has a love affair with Anna, and his marriage with Janine Gunders (Jennifer Connelly) comes to an end.Beth Bartlett (Jennifer Aniston) lives with Neil Jones (Ben Affleck), who does not believe in marriage as an institution. When Beth's sister informs that she will get married, Beth pushes Neil to marry her affecting their relationship.""He's Just Not That Into You"" is a delightful movie about marriages, relationships and affairs. The entwined story with many characters is supported by a realistic screenplay and a magnificent cast. I saw this movie in a flight and I have really appreciated. My vote is seven.Title (Brazil): Not Available",He's Just Not That Into You
2,kosmasp,Wasted potential,5,14 June 2009,"In more than one sense. Story wise and actor/actress wise too. It's especially a shame, because it has a pretty strong beginning, has great actors in it and it seems to put a new spin on things. The main word is of course ""seems"".Because in the end, it falls back on clichés that it made fun of at the beginning. A movie with more than one main character isn't so new either. We have seen quite a few movies, that are far superior in the same vain(see Playing by heart just for one great example).Having characters saying things that should be clear by that moment in a long running relationship, just isn't right. But those things (and most of the ""real"" dialogue) are minor things, that don't really matter that much. What matters is, that actors get wasted and seem completely out of touch.The movie still gets points for trying. And women seem to love the movie more than men. Still another great movie, that handles relationships and their drama far better is called ""L'ultimo bacio"", an Italian production, which got remade in America as ""The Last Kiss"". I saw both and I'd say the original is better. Watch that for ""real"" drama and real people and almost no clichés.",He's Just Not That Into You
3,jboothmillard,He's Just Not That Into You,4,1 April 2012,"I heard some good things about this all star cast film with the easy to like theme and genre, but I was mistaken thinking that the critics liked it, and I only found that out after watching it, I can see what they mean now looking back, from director Ken Kwapis (License to Wed). Basically the story is set in Baltimore where five women and four men are trying to work their relationship and romantic problems, they are giving mixed signals to their other halves, or they are unsure what they really want. Single young woman Gigi Phillips (Mona Lisa Smile's Ginnifer Goodwin) has been having many unsuccessful dates with men, and constantly seeks advice and reality checks from her friend, sweet but cynical saloon keeper Alex (Justin Long). Gigi's friend and co-worker Janine (Jennifer Connelly) is having trouble in her recent marriage to Ben Gunders (Bradley Cooper), unaware he has become attracted to and is having an affair with Anna Marks (Scarlett Johansson). Anna also gets the attention of Conor Barry (Kevin Connolly), and it is only after she falls out with Ben that she decides to go with it, but she later admits that she doesn't want to go any further in the relationship. Gig's other coworker Beth Murphy (Jennifer Aniston) lives with boyfriend Neil Jones (Ben Affleck), she wants to get married after seven years but he does not believe in it, so eventually they break up, but after so many preparations for a wedding, and after her father Ken (Kris Kristofferson) has a heart attack, they do rekindle. Also seen trying to get somewhere with a man is kooky but likable Mary Harris (Drew Barrymore) who goes for the internet dating option, and she does eventually find that with Conor after helping him get business in ad columns. By the end of the film, Janine wants a divorce from Ben after finding out about the affair, Anna gets to perform as a singer on stage, Beth and Neil get married on a sailboat, and Gigi realises Alex may be the one after a long time and they do start a relationship. Also starring Luis Guzmán as Javier. The well known faces all get their equal amount of time on screen, Johansson is certainly the sexiest of the women, and Cooper is probably most watchable as the sleaze, I think Barrymore could have been on a bit more but she is nice as the slightly weird love seeking geek. I can see the connection to Sex and the City, because it is mostly from the perspective and side of the women, so it is not the most original of multi-layered story telling, but there are a few amusing moments, and some of the love stories are interesting to see play out, not a bad romantic comedy. Okay!",He's Just Not That Into You
4,tavm,He's Just Not That Into You was a nice rom-com surprise to me!,7,25 February 2009,"If you were fans of the following television shows: ""My So-Called Life"", ""Freaks and Geeks"", ""Friends"", ""Alias"", ""Ed"", and ""Dawson's Creek"", then I'd highly recommend this movie to you as a player or two from each of those series are in this movie! Among them: Wilson Cruz (MSCL), Busy Philipps (F&G and DC), Jennifer Anniston (Friends), Bradley Cooper (Alias), Justin Long and Ginnifer Goodwin (Ed), and Sasha Alexander (DC). Add Drew Barrymore, Jennifer Connelly, Scarlett Johansson, Ben Affleck, and Kris Kristofferson and you get a nearly all-star cast of this pretty amusing yet mostly entertaining multiple-character romantic comedy. Ken Kwapis as the director manages to mostly balance the various stories to their natural conclusions with not everyone getting the ""happy ending"" but some satisfied with their ""life goes on"" fate. And Long and Goodwin, both of whom had played characters romantically involved on ""Ed"", are two of the most appealing players here. So on that note, I highly recommend He's Just Not That Into You.",He's Just Not That Into You
5,ComedyFan2010,A decent chick flick,7,17 April 2010,"As someone who likes chick flicks I wasn't disappointed in this movie. It was funny, had a great cast and had an interesting story.My favourite was the relationship of Ben Affleck and Jennifer Anniston, and this is also the only relationship where I was disappointed in the end. I thought it was great how they showed that a man who doesn't believe in the social institution of marriage can still be a much better and loving partner than someone who is married. And at the end when Jennifer finally understands it and accepts it he proposes. WTF? I guess it was made because they wanted to make it 100% a happy end and for some women it can't be without the ring, but in my opinion it ruined what this couple was supposed to represent: true love that doesn't follow silly social standards.Other than that I think it was great. I dislike some characters and liked others but they were all very well done.",He's Just Not That Into You
6,edwagreen,Not Just into You- Going the Other Way ***,7,26 December 2009,"This is a contemporary film which really makes the guys look bad.Ben Affleck rarely appears in the film and he was probably better off for it.The picture, nonetheless, is decent because it deals with today's lives- relationships between men and women- the falsehoods, innuendos, the misgivings, the cheating, and a look at love included.The movie does make a case for the point that some people are not mature enough to go into marriage. Other women press the flesh constantly searching for the right men but coming up short. One woman goes through this and doesn't realize that the man who tells her what to do in individual situations in really the guy for her.Jennifer Connolly, the Oscar winner for ""A Beautiful Mind,"" steals the show here as a woman who married a guy who just wasn't ready for such a commitment. Equally good is Jennifer Aniston who realizes, only when her father is taken ill, that commitment isn't necessarily achieved through marriage as well as the doing of good deeds.An interesting film highlighting today's values.",He's Just Not That Into You
7,sunwarrior13,Adds Nothing New To Romcom Genres,7,2 October 2012,"He's Just Not That Into You is a film based on the self-help book of the same name by Greg Behrendt and Liz Tuccillo.The film features an ensemble cast that includes Ben Affleck, Sasha Alexander,Jennifer Aniston, Drew Barrymore, Jennifer Connelly, Kevin Connolly, Bradley Cooper, Ginnifer Goodwin, Scarlett Johansson and Justin Long. Ten people in Baltimore deal with their respective romantic problems, usually thwarted by the differing ideals and desires of their chosen partner.This was directed by Ken Kwapis.At the center of this movie is Gigi,a young woman who repeatedly misinterprets the behavior of her romantic partners and tries her best at attempting to understand the mixed signals she gets from the men she's dating. She gets advice from a bar owner (Justin Long) who prides himself on understanding the ins and outs of the dating scene. Gigi's co-worker Janine finds herself involved in a major redecorating project with her husband, Ben. Unknown to Janine, Ben contemplates an affair with Anna, an attractive woman trying to make a career as a singer. Another of Gigi's friends at work, Beth, enjoys a successful, healthy relationship with Neil, but storm clouds hover over them as he has no interest in getting married.This could have been an interesting multi-character film. Unfortunately,devotes too little time to each of its characters which reduces them to stereotypes.Also,it adds nothing new to this type of movie genres that is why it becomes cliché,formulaic and average.",He's Just Not That Into You
8,studioAT,Not that bad. Sadly not that great either,3,11 August 2017,"This film seems to really divide people, and while it doesn't exactly paint men in a good light (in most cases) it's a fairly enjoyable enough romantic film, with a good cast.It is however a bit long, almost as if it was trying to give all of the star players in the cast the chance to shine. Jennifer Aniston looks bored, and it's a shame that Drew Barrymore didn't have more to do at times.It has a few odd messages during its run time, and certainly has a strong 'women are awesome, men not so much' vibe to it, but for likable performances from Justin Long and Ginnifer Goodwin it's not that bad.",He's Just Not That Into You
9,preppy-3,Insipid chick flick,1,15 February 2009,"SPOILERS! Lousy movie. Pathetic loser Gigi (Gennifer Goodwin) takes dating advice from know it all Alex (Justin Long). Mary (Drew Barrymore) is having trouble finding ANY man! Conor (Kevin Connolly) is having the same trouble finding a woman. Married Ben (Bradley Cooper) to Janinie (Jennifer Connolly) falls into an affair with single Anna (Scarlett Johansson). AND Neil (Ben Affleck) and Beth (Jennifer Aniston) have been living together for 7 years. He's faithful to her--but she starts realizing she may need a commitment. Got all that?I was dying to see this movie! I love chick flicks and the cast of this had me excited. I thought with all these great actors how can it be bad? Well--I found out! The script is lousy--full of lines that real people would never utter. People in my audience were laughing at the serious parts! A few people walked out! Every single character in this is unlikable--there's not ONE character you could identify with. Gigi especially was incredibly annoying. Also all the stories are utterly predictable leading to outcomes that had the audience groaning and laughing. You would think with the cast the acting would be good. WRONG! Aniston and Johansson are easily the worst actors in this. The best were Cooper, Barrymore and Long. The rest were in the middle. Worst of all is its portrayal of women. They'll all needy, clinging, stupid, obnoxious and basically brain-dead idiots. The men don't come off much better. They all come of as being terrified of commitments, cheaters and liars. Badly acted, horribly written and downright insulting chick flick. I give it a 1.",He's Just Not That Into You
