,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,nogodnomasters,Have a bump with me.,8,19 April 2019,"This is a biopic of rock band Motley Crue who failed to conform to the pop music of the eighties. It follows the life of all four of the members allowing them all to have their monologue and asides. The film looks head on at the sex and drugs. The band sums it up at the end by saying it was amazing that they were all still alive and not in jail. Very entertaining and well done.F-word, sex, nudity.",The Dirt
1,paul_haakonsen,This definitely is The Dirt...,8,27 March 2019,"Sure, I have been listening to metal for the better part of 30 years, and of course Mötley Crüe has been among the bands that I listened to. And sure, I knew that there has been controversy around the band, just never bothered to catch up on what the controversy was.Then I found ""The Dirt"" on Netflix, and decided to watch it immediately. There was no hesitation, this was definitely a movie that needed to be watched. Sure, I had a little bit of worry about what it would be like - I mean, a movie based on a metal band.I am very glad that I sat down to watch ""The Dirt"", because not only does it offer an amazing insight into the story behind the glam rock band, in terms of their career, their individual ambitions, their lifestyles, and how becoming rock stars affected them, but it also turns out that ""The Dirt"" is a very entertaining movie.The movie has a very interesting ensemble of cast for the lead rockers; Colson Baker playing Tommy Lee, Douglas Booth playing Nicki Sixx, Daniel Webber playing Vince Neil and Iwan Rheon playing Mick Mars. These four really carried the movie so well individually and together on the screen. I think a lot of research has gone into the individual characters prior to shooting the movie, because it really seemed like they nailed the performances of the real band members.""The Dirt"" was entertaining from the very beginning and up to the end. And it definitely was a rollercoaster of emotions, ranging from hardcore party to sadness, loss and heartache. I was thoroughly entertained by this movie, and was initially settling on a 7 out of 10 rating, but I am upping it to 8, because this movie is a MUST watch for fans of Mötley Crüe.",The Dirt
2,Calicodreamin,Good Docudrama,8,21 April 2019,"Very interesting movie!
Enjoyed the cinema style, with the narration by each character and the look into the camera moments.
Music was awesome. Would recommend.",The Dirt
3,Wuchakk,One of the most entertaining music biopics ever made (but also nastiest),9,23 March 2019,"RELEASED IN 2019, ""The Dirt"" is a biography of Mötley Crüe from their inception in the early 80s to the mid-90s. Along with GnR, the band was the cream of the crop of 80's hair metal. They were notorious for their childish, debauched antics and the movie depicts this from the get-go with an off-putting bit o' raunch at a party. There's also an amusing pool sequence that gets pretty repellent with Ozzy pathetically trying to prove how ""crazy"" he was (I heard the curious story long ago so I was prepared for it).If you can handle that, this is one of the best band biopics in cinema; and more so if you favor Crüe's music. The movie has a sense of humor and includes a little parody; it's fun, dynamic, stirring and sometimes vile, but also dramatic and even moving, especially in the last act. A plus is that most of the characters have a story arc wherein they learn from their misdeeds and mature.The flick was based on drummer Tommy Lee's autobiography ""The Dirt: Confessions of the World's Most Notorious Rock Band,"" as well as the biographies of other band members & Co. So, while there's an over-the-top feel here and there, the events really happened with minor alterations for dramatic effect.The best way to rate a biopic is to compare it to others, including fictional ones loosely based on real-life characters, like ""Rock Star"" (2001) and ""The Rose"" (1979). As decent as those two are, ""The Dirt"" is all-around more entertaining. It's also superior to ""Walk the Line"" (2005), the slanderous ""The Doors"" (1991), the underrated ""The Perfect Age of Rock 'n' Roll"" (2009), ""Eddie and the Cruisers"" (1983) and ""The Runaways"" (2010). I'd put it on par with ""Coal Miner's Daughter"" (1980), but it's very different because the style of music and subculture is so radically different. Content-wise, it's closest to ""Rock Star,"" ""The Runaways"" and ""The Perfect Age of Rock 'n' Roll,"" but funner than the brooding latter.Douglas Booth is convincing as Nikki Sixx, the band leader/bassist/composer and so is Machine Gun Kelly as the hyperactive, but genial Tommy Lee. Iwan Rheon is also effective as the more mature and subdued guitarist Mick Mars. Daniel Webber unfortunately lacks the looks of singer Vince Neil, but is otherwise effective.THE MOVIE RUNS 1 hour, 47 minutes and was shot in Los Angeles and New Orleans.GRADE: A",The Dirt
4,trashgang,a must see,10,28 March 2019,"Growing up in the heydays of Motley Crew of course I was aware of all their shocking things they did in hotels and on tour, I knew their use of alcohol and drugs and even as I wasn't into their genre when I saw th etrailer for The Dirt on Netflix I wanted to see it immediately.Must say, some things I didn't knew (Skylar) and even watching it with the knowledge I still had a WTF or a laugh on my face. It even goes over the top, and based on true events you just can't believe it, the blowjob girl for example.The way the story is told with statements told towards the camera it makes it easy to swallow. Here and there you will here some music but the way the acting was done is top notch. And at the end you will see clips of the movie compared with the real Motley Crew and yes, they did look the same or did the same moves.Just sit back, grap your Daniels with you and enjoy, drugs, freedom, a lot of nudity and some sadness here and there. I liked it.
Gore 0/5
Nudity 2/5
Effects 0/5
Story 4/5
Comedy 1/5",The Dirt
5,jack_o_hasanov_imdb,4th Wall and Mötley Crüe,7,28 August 2021,"Mötley Crüe is one of the bands I listen to.I wasn't expecting such a movie, it was fun.As funny as it may seem, it is actually their tragicomic story.The casting wasn't good, a better cast could have made the movie better.But it was still interesting to listen to the Mötley Crüe music while watching their life, even if it was terrible. The fall of the 4th wall made the movie even more fun.P. S : Ozzy was great ;)",The Dirt
6,capone666,The Vidiot Reviews...,6,4 April 2019,"The DirtEighties hair bands never had to worry about the Me Too movement because everyone thought they were women.Fortunately, any relationships the band in this biography had with their groupies appeared consensual.When drummer Tommy Lee (Colson Baker) gets word his favourite band has disbanded, he propositions the bass player, Nikki Six (Douglas Booth), to form a new group with him. After securing guitarist Mick Mars (Iwan Rheon) and cover band singer Vince Neil (Daniel Webber) the foursome become Mötley Crüe. Eventually landing a record deal and garnering a few hits, the glam rockers implode due to drugs.Focusing mainly on the sex and debauchery, this montage filled adaptation of the band's notorious memoirs never goes beyond their sorted tales. Meanwhile, the acting is pitiable, the dialogue laughable and the lessons learned are contrived.And while groupies still exist, nowadays they have to sleep with the dead lead singer's hologram. Red Lightvidiotreviews.blogspot.ca",The Dirt
7,digitalbeachbum,OK but a partial truth,4,26 March 2019,"Having followed the band for many years since my high school days, this short biopic is a diluted pile of poop. There is too many moments, people, events and stories skipped or dropped because of either legal or personal reasons. The death of Hanoi Rocks' Razzle was an example of being watered down and the lack of Pamela Anderson shows that the director or the band wanted to hide certain things. I thought it was amusing but given their lack of memories, lost brain cells and the need to hide the truth I had to downgrade my rating. I found the production OK, but it isn't exactly The Dirt.",The Dirt
8,arfdawg-1,Horrible and Stoopid,1,4 May 2019,"This movie is just horrible and the good reviews are phonyThis makes Bohenian Rapsody look like Citizen Kane.Acting sucks.
Writing is atrocious and the direction is non-existent.",The Dirt
9,gwnightscream,Good Rock Bio-Drama!,7,31 March 2019,"This 2019 drama is based on the life of notorious, rock band, ""Motley Crue"" through the eyes of Nikki Sixx and his experiences with band members, Vince Neil, Mick Mars and Tommy Lee from the band's forming to semi-departure, wild tour moments, drug & alcohol addictions and tragic/complicated relationships. This is a good bio-drama featuring a decent cast and the film has some shocking, humorous and heartfelt moments. I recommend this, even if you're not really a fan of the group.",The Dirt
