,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,never felt the love,7,28 November 2015,"It's 1922 Mexico City. Frida Kahlo (Salma Hayek) is a rebellious student who is intrigued with artist Diego Rivera (Alfred Molina). She is severely injured in a trolley accident and left bedridden with lifelong pains. She regains her ability to walk. Diego takes an interest in Frida's work. They get married and begin a passionate complicated relationship. She befriends his jealous ex Lupe Marín. He constantly cheats on her. Their son dies in childbirth. She starts having affairs with both men and women including communist icon Leon Trotsky.I really love the first hour. Her accident, her recovery and their courtship are all very compelling. Then the second half kind of move on and on and on. The problem is that he's such a slut. He never really demonstrates his love for her. I guess there is dependence or codependence. It's not that appealing. He's horrible and it doesn't put her in a great light either. It needs to illuminate her or her art more than what the movie gives.",Frida
1,claudio_carvalho,"The Story of a Great Mexican Artist, With a Stunning Performance of Salma Hayek",8,24 February 2004,"Frida Kahlo (Salma Hayek) is an tempestuous teenager, when  she suffers a bus accident in Mexico. Her column and leg have multiples fractures and she is impaled by a metal bar. Her father and mother spend all the money they have in surgeries and treatments, and in the end, also due to her will and strength, she walks again. Frida shows her paintings to the famous painter, intellectual and communist Diego Rivera (Alfred Molina) to criticize them. He finds them excellent and they become friend, lovers and get married to each other. Diego is very unfaithful to her and has many night stands with his models, but when he has an affair with Frida's sister Cristina, their marriage ends and they divorce. In the 30's, Leon Trotsky (Geoffrey Rush) gets political asylum in Mexico and is lodged with his wife in the house of Frida's parents. Frida and Trotsky have an affair, when Trotsky's wife ask him to move to another place. Rivera moves to USA and Frida has a gangrene in her toes. They are amputated and Frida gets worse and worse, using pain killers, steel jackets and other treatment. But she starts painting maybe her best pictures. Rivera comes back to Frida and gets married with her for the second time, and stays with her until her death. The story of this Mexican artist is wonderfully presented in this movie, with a stunning performance of Salma Hayek. Frida is showed as a great artist, revolutionary human being, having a great sexuality, feeling pain due to her accident, but having a great pleasure in life. All the cast and the direction are excellent. The theme song (`Burn It Blue'), from the Brazilian Caetano Veloso, is wonderful and won the Oscar. The make-up also won an Oscar. An excellent entertainment indicated for any audience. My vote is eight.Title (Brazil): `Frida'",Frida
2,lee_eisenberg,She's still my favorite artist.,10,9 March 2006,"Salma Hayek does a perfect job playing Frida Kahlo. We see her tortured life and manage to feel it. Like ""Ray"" and ""Walk the Line"", this is a warts-and-all portrayal. Maybe the movie didn't go into her politics as it could have (her last public appearance was protesting against the CIA's overthrow of Guatemala's Pres. Jacobo Arbenz in 1954), but it did a really good job otherwise. ""Frida"" certainly deserved its Oscars for Makeup and Original Song. I think that Hayek should have gotten Best Actress. Also starring are Alfred Molina as Diego Rivera, Ashley Judd as Tina Modotti, Antonio Banderas as David Siquieros, Edward Norton as Nelson Rockefeller, and Geoffrey Rush as Leon Trotsky. A truly great movie.",Frida
3,jboothmillard,Frida,8,7 April 2007,"This is a very good biography mixing both the personal life and art work of a great Mexican artist and character. Oscar, BAFTA and Golden Globe Salma Hayek was the obvious choice to play Mexican (her true origin) painter Frida Kahlo who took the art world by storm with her self portraits, combining realism, symbolism and surrealism. But the personal life is much more the focus of this film, with her complicated relationship with womanising husband, cubist painter Diego Rivera (BAFTA nominated Alfred Molina), an illicit and controversial affair with Leon Trotsky (Geoffrey Rush), and being bisexual, many provocative and romantic entanglements with women. The use of Kahlo's artwork in the story is magnificent, the costumes are glamorous, the colours are lavish, and Hayek is fantastically gorgeous, especially in the nude (including the great lesbian romp), even with the unibrow/monobrow. It won the Oscars for Best Makeup, and Best Music, Original Score for Elliot Goldenthal, and it was nominated for Best Art Direction-Set Decoration, Best Costume Design, and Best Song for ""Burn It Blue"", it won the BAFTA for Best Make Up/Hair, and it was nominated for Best Costume Design, it won the Golden Globe for Best Original Score. Very good!",Frida
4,rmax304823,Salut.,6,29 May 2011,"I've only managed to see bits and pieces of this at irregular intervals but probably enough to form some reasonable observations.One is that there are three elements in the film and they get roughly equal time: the turbulent relationship between Frida Kahlo and the muralist Diego Rivera gets most of the attention; the success and frustrations that come along in the train of controversial art; and the politics of the cosmopolitan world of the 20s and 30s.The director does a fine job and is sometimes fairly innovative. You want to signal a passage of time or a radical change in location? The historical way of doing it would involve harp arpeggios, maybe a shivering dissolve, or pages fluttering from a calender. Here, the director, Julie Taymor, might take you through a perfectly apt collage of stills and paintings illustrating the new point in space and time.It took a little courage to cast Salma Hayek in the part of Frida. She's a sensual and attractive women, even with that penciled-in middle eyebrow over her glabella. But to surround the heroine with women as glamorous and sexy as Mia Maestro and Ashley Judd (who handles her Latin-American accent splendidly)? Good for them.The music by Elliot Goldenthal and the rest is memorable. The movie wouldn't be the same without it. So is the photography by Rodrigo Prieto. Modern photographers have developed an awful habit of using high contrast and casting the images in one or another designer variation of a ghoulish green. How nice to see a movie in which the chiles poblano don't look like avocados.For that matter, the art department deserves a bowl of guacamole the size of an Olympic swimming pool for capturing the period life of the bourgeoisie in Mexico City so convincingly. I can understand why the peons and haciendados might be grumbling and roiling but Frida and her friends and family? They suffer only the presence of long, groaning wooden tables covered with dishes of native Mexican food and internationally famous booze. Vast halls, spacious atria, potted tropical plants, surrounded by Olmec statues, sophisticated friends who bring you Marx and Schopenhauer if you're laid out in the hospital ""because you'll like it."" What a life. I think I'd have sat back and watched Ashley Judd and Salma Hayek tango all night if I could. Yes. Come to think of it, that was some tango.",Frida
5,ma-cortes,Splendid movie about two excellent Mexican painters and their troublesome relationship,7,5 May 2005,"The movie deals with the biography of Frida Kalho (well performed by Salma Hayek , though Laura San Giacomo was originally set to play her but was dropped when fans objected to a non-Mexican playing the role) who after a terrible accident with a trolley causes herself a crippling injury , then she gets away from her parents (Roger Rees and Patricia Spinola) to live on the paintings . She falls in love with famed muralist Diego Rivera (Alfred Molina , he gained 50 lbs , 23 kg , for this character) who bears a separated marriage (to Valeria Golino) . Later on , Frida is wedded to Diego and the troubles come out .The yarn relies heavily upon their tempestuous marriage , because the different artistic temperaments burst , creating a stormy relation . The picture is correctly based on historic deeds and even Edward Norton did an uncredited rewrite of the script . Thus , it appears Leon Trosky - who has romance to Frida- , but he's murdered with a hatchet by Ramon Mercader and then is framed Diego Rivera , though later being absolved . Besides , there are several famous people : Siqueiros (Antonio Banderas) , Nelson Rockefeller (Edward Norton) , Leon Trosky (Geoffrey Rush) and others very secondaries such as Andre Breton or Josephine Baker . Frida is specially known by her mustachioed and one-brow paintings and Rivera by his impressive murals and one of them was ordered to break by Nelson Rockefeller but reflected to famous communists on the ¨Rockefeller Center¨ . The film was perfectly directed by Julie Taymor and includes magnificent cinematography by Rodrigo Prieto as when imaginatively brings to life the scenes on the Kalho's paintings , where the color is glimmer and spellbound . The motion picture attained success and achieved enough box office , obtaining two Oscars for the awesome Musical Score (Elliot Goldenthal) and Make-up . Rating : Above average . Well Worth watching.",Frida
6,moonspinner55,"Surrealistic storybook presented in sweeping, romantic fashion...at the expense of the art",6,30 April 2009,"Mexican artist Frida Kahlo (1907-1954) painted self-portraits and surreal acts of God and madness like a woman possessed by a half-demon/half-angel; a book of her paintings is almost difficult to look through, as her singular sense of color (such as bloody crimson-reds and inky, staring blacks) and unflinching composition are violent, penetrating, twisted, and unnerving. Director Julie Taymor and actress-producer Salma Hayek's movie doesn't really get into the explosiveness of Kahlo's artistry, her rage, her desire to provoke--and no one on the screen comments on it, either. If it weren't for glimpses of Kahlo's artistic style, one might walk away from this film assuming she painted faces and flowers. Taymor is much more interested in the tumultuous love relationship between Kahlo and lusty, brazen, womanizing Communist painter Diego Rivera. Their shared passion for art may have gotten them into bed, yet her fiery need for pushing boundaries and his no-holds-barred take on revolutionary politics kept them together. This incredible partnership is expressed vividly, with wonderful performances by Hayek and Alfred Molina. Yet, the desire here should be to explore Frida's talents...what drove her to create such gut-wrenching works on the canvas? Did anyone recoil upon seeing them, or possibly object to the bloodletting she seemed to take such a morbid interest in? It's also disconcerting right from the start to hear everyone in the picture talking heavily-accented English in the midst of Mexico City, 1922. The presentation is indeed beautiful--maybe too beautiful--and the stormy marriage of the two artists is gripping; however, the real Frida Kahlo isn't out front--she's hovering on the edges of the film, peeking out at us once in awhile like a mad sprite. **1/2 from ****",Frida
7,Quinoa1984,Gives Salma Hayek a near oscar worthy performance,7,10 December 2002,"I can't determine how the Academy thinks in nomination standards (just look at Shakespeare in Love over Saving Private Ryan to see where they loose logic in the past), Hayek's role as Mexican artist Frida is definitely the best part of seeing the biopic on the woman.  The film tells her life story from school days to death, and is pitched up into occasional surreal country in the dramatic structure, or rather a sense of her art is incorporated into the storytelling, which is an impressive move on Taymor.  While I thought at times the overt drama had dips and peaks, the subject matter is of interest enough to reccomend it, and art admirers will get a good view not only of her paintings, but of her, as Hayek, in some brief, intoxicating sex scenes (first film since Desperado to have so).  Credit should also be given for the supporting cast, in particular Hayek's husband Molina and Rush's role as the communist exile.  B+",Frida
8,sunwarrior13,About A Mexican Painter,9,15 January 2012,"After being attached to a number of actors, directors, and producers, this long-gestating biography of one of Mexico's most prominent, iconoclastic painters reaches the screen under the guiding hand of producer/star Salma Hayek.Frida is a biographical film which depicts the professional and private life of the surrealist Mexican painter Frida Kahlo. It stars Hayek in her Academy Award nominated portrayal as Kahlo and Alfred Molina as her husband, Diego Rivera.The movie was adapted by Clancy Sigal, Diane Lake, Gregory Nava, Anna Thomas and Edward Norton from the book Frida: A Biography of Frida Kahlo by Hayden Herrera. It was directed by Julie Taymor.Hayek ages some 30 years on screen as she charts Frida Kahlo's life from feisty schoolgirl to Diego Rivera protégée to world-renowned artist in her own right. Frida details Kahlo's affluent upbringing in Mexico City, and her nurturing relationship with her traditional mother and philosophical father. Having already suffered the crippling effects of polio, Kahlo sustains further injuries when a city bus accident nearly ends her life. But in her bed-ridden state, the young artist produces dozens upon dozens of pieces; when she recovers, she presents them to the legendary -- and legendarily temperamental -- Rivera, who takes her under his wing as an artist, a political revolutionary, and, inevitably, a lover. But their relationship is fraught with trouble, as the philandering Rivera traverses the globe painting murals, and Kahlo languishes in obscurity, longing to make her mark on her own.Sporting mustache, Salma Hayek gives a solid performance in the otherwise conventional and mediocre biopic of the noted Spanish artist.Ms. Taymor also gets magnificent performance from Alfred Molina as the oversexed Diego Rivera.The film is passionate, provocative, hilarious, tragic and just dizzyingly beautiful to behold.But nevertheless,the screenplay's flatness ultimately defeats a film that's always a treat to look at.Taymor's only triumph is that her film, despite its distance from us in some ways, is pertinent and enthralling.",Frida
9,jotix100,Frida's art..,9,8 December 2002,"As film biographies go, this one is not as obnoxious as I thought it was going to be. Credit has to go to Julie Taymor for the treatment of the story of this unique painter who had such a horrible life. Thinking about possible castings, one can't imagine a lightweight such as Jennifer Lopez or anyone else as Frida. Salma Hayak brings the right amount of charm to make it work. Frida led such a horrendous life, what with the accident that crippled her, or her fixation with the painter Diego Rivera, who maybe was a genius, but in real life was a womanizer. Diego betrayed Frida constantly. Instead of turning away from him, Frida thrived in being dominated by him. She was a woman of contrasts.It's ironic that Frida dead is more famous that the struggling painter who led a precarious life and probably made very little from her art.",Frida
