,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,A bit different than I remembered....,8,19 March 2017,"I saw ""Magnum Force"" on television decades ago. Imagine my surprise when I watched it again tonight and there were a bunch of stuff that was NOT in the version I saw! Mostly, the gratuitous nudity was cut out of the movie. Now I am not one of these folks who is always against nudity in films...sometimes it has a place. But in this film, it all seems very gratuitous...and one of the MANY folks slaughtered in the pool scene (the topless lady) was a young Suzanne Somers before she became famous.In this story, someone, or some GROUP of folks, is taking out bad folks all around the San Francisco area. Some of the murdered scum- bags are folks that avoided prosecution, some are just dirt-bags who 'need' killing. Inspector Callahan (Clint Eastwood) is the guy determined to solve this case...and his boss, the Lieutenant (Hal Holbrook) seems to want to coddle criminals and stand in Callahan's way. Who the killer(s) are...well, that you'll have to see when you see the film.This movie is pretty much what you expect from a Dirty Harry film...lots of shooting*, mayhem, action and sex. The film certainly earns its R rating and is exciting. I still think the original film is much better but it's a worthy follow-up.*The IMDb trivia says ""This is the only film in the ""Dirty Harry"" series in which Harry doesn't kill any of the villains by shooting them, except the grocery store holdup men."". This is NOT the case, as Harry also shoots a guy in the skyjacking sequence...and he appears quite dead!",Magnum Force
1,bkoganbing,Harry Callahan's Back On The Job,9,2 September 2008,"At the end of Dirty Harry, Clint Eastwood throws a way his badge and ID after ending the life of that evil piece of protoplasm Scorpio. The intention obviously was like High Noon when Gary Cooper just threw away the marshal's badge after killing four Miller brothers, Eastwood was quitting the San Francisco PD.Well he must have thought better of it because Harry Callahan became such an iconic figure that the public wanted him back on the job. So Eastwood made the first of four sequels in Magnum Force.Somebody is doing a great job in reviving the vigilante tradition of San Francisco with a string of assassinations, starting with the opening sequence of a shooting of a labor/racketeer who massacred a rival and his whole family. Shades of the United Mine Worker's Tony Boyle and what he did with Joseph Yablonski. A pimp who murders a prostitute who was withholding on him, there's another massacre at the house of a drug dealer, it's getting open season on criminals.His supervisor Hal Holbrook hates his guts, but there's no one like Harry Callahan for these kinds of cases. Mitchell Ryan who's an old friend of Eastwood plays a cop falling apart at the seams and he looks good for it. And there's a group of four sharp shooting rookies on motorcycle patrol, Tim Matheson, David Soul, Kip Niven, and Robert Urich. Any one of them could be our vigilante. In a way Magnum Force is the polar opposite of Charles Bronson's Death Wish films. Bronson's pretty good at selecting some of the right kind of criminal scum to eradicate, but doing this seems to offend Eastwood although Deity only knows, this has been his game for a long time.There's a nice climatic sequence with an unarmed Eastwood dealing with the responsible party for all of this. Magnum Force is every bit the equal of Dirty Harry in action and violence.In the end as Clint's famous tag line in this film says, it turns out that Dirty Harry was dealing with a man who did not know his limitations.",Magnum Force
2,Leofwine_draca,Hugely influential police thriller and a delight to watch,8,20 August 2016,"This sequel to the popular DIRTY HARRY sees Clint Eastwood reprising the role (he would return another three times) of the tough cop ""Dirty"" Harry Callahan, this time tackling a vigilante bunch of young police officers who decide to rid their city of human waste - namely known criminals who have been set free by the courts. Of course their methods get out of hand, leading to the brutal murder of a policeman and the subsequent hunting by Callahan of the criminals. This is above-average stuff for the genre, full of great action sequences, lots of hard violence, and interesting characters. Clint Eastwood once again makes Callahan his own, an impeccably icy cool cop who's quick with the witty one-liner and who will always get his man.The DIRTY HARRY series in particular seems to be the main one to have influence the Italian ""polizia"" films of the '70s, and this follows a template very much like those - murders and incidents of crime are followed by investigation and a final battle between the good guys and police. And what a battle it is here. From excellent shoot-outs to speedy car chases, MAGNUM FORCE culminates in a fantastic chase sequence in which Harry goes one on three with the corrupt policemen out to kill him, in a well-realised and very violent car chase-cum-shootout episode which just keeps getting better and better, filled with cool stunts and on-the-edge situations.As well as Eastwood, there's a strong supporting cast including Hal Holbrook, excellent as Briggs, a rival with a deadly secret to hide from Harry. Look out for the familiar faces playing the vigilante squad before they were famous: David Soul, Tim Matheson, Kip Niven, and Robert Urich. Felton Perry seems to have been added on in an exploitative note as Harry's black sidekick, and one sequence involving his character is one of the most harrowing in the film. Of course there's also a string of cold-blooded murders for viewers to beware of, including the violent murder of a prostitute by her pimp and his subsequent shooting. MAGNUM FORCE, as the title might suggest, is a film in which guns and firearms figure predominantly - a real macho exercise in crime and the methods used to stop it. A classic in the crime genre which helped to shape the films that followed.",Magnum Force
3,SnoopyStyle,hardcore Dirty Harry,7,2 May 2015,"Mobster Carmine Ricca is released on a technicality. An unknown SFPD motorcycle cop rides up and kills him and his men. Inspector Dirty Harry Calahan (Clint Eastwood) has a new partner Early Smith. He wants in on the job but his superior Lieutenant Neil Briggs (Hal Holbrook) has relegated him to stakeout. While grabbing a bite at the airport, Calahan takes down a couple of hijackers. He runs into old timer cop Charlie McCoy (Mitch Ryan) who complains about the new culture of soft on criminals. He meets four eager rookie cops Phil Sweet (Tim Matheson), John Davis (David Soul), Red Astrachan (Kip Niven) and Mike Grimes (Robert Urich) at the shooting range. The vigilante shoots up a porn movie shoot. It get so bad that even Briggs calls in Calahan.The movie is hardcore Dirty Harry. It's the second in the franchise. There are some good action and good stunts. It gets ridiculous from time to time like the hijackers. The body count is pretty high. Some may object to any perceived message but that's trying a little too hard. Eastwood is still the standard for quiet machismo.",Magnum Force
4,Prismark10,Can you feel the force,8,20 July 2015,"Oh no, it is my television heroes as the bad guys. This view was probably echoed around the country when Magnum Force was first shown on British television in the early 1980s as it inferred that David Soul from Starsky & Hutch and Robert Urich from Vegas could be vigilante cops.Magnum Force is the first sequel to Dirty Harry. Clint Eastwood reprises his iconic role as the no nonsense San Francisco detective Harry Callahan. Eastwood was mindful of the criticism levelled at his character that he was a vigilante cop and this film was a response that labelling Harry as a vigilante is misconceived. Clint Eastwood always maintained that the Harry was critical of organisations and the bureaucracy that they carried. They simply would not let police to their jobs, possibly reflecting Eastwood's own libertarian views.In fact the plot really can be distilled to two people's views of organisations. Harry and his abrasive boss Lt Briggs (Hal Holbrook) on the face of it the anti-Dirty Harry, the cop who has never pulled a gun in the line of duty. Harry knows the system is broken but works within it. He might edge close to the line, even slightly cross it (which he seemed to have done in Dirty Harry) but respects the rule of law even if its only grudgingly. It looks like Briggs also realises that the justice system is broken but has a different solution.Watching Magnum Force again almost three decades later I expected the film to have aged. It certainly has a different depiction of San Francisco than the more tourist friendly picture postcard setting you get these days. Even the crooked segment of Lombard Street does not look like that anymore. What is striking though is the how action packed the film is, its absolutely modernist. I would say that this might be the precursor to the 1980s action thrillers.There was a time in action films where things moved slowly, you established settings, character and there would be a lull in between action scenes where you have quieter moments. Just look at Steve McQueen's Bullitt made a few years earlier and also set in San Francisco.In Magnum Force things are happening all the time. Bad guys getting bumped off by someone dressed up as a cop in a motorcycle. When we see Harry he gets into action pretty quickly as well, dressing up as a pilot to deal with a plane hijacking, later on we see him on a stakeout when a store is held up. The film is very well paced with incidents and action at regular intervals. Credit for that has to go to the writers more than the director Ted Post in my opinion.The film was written by Michael Cimino and John Milius. Both were the new wave of infant terrible of 1970s cinema which also included Scorsese, Spielberg , Coppola and De Palma. John Milius has always been a gun nut with a fascination with the military. He is regarded as the most right wing person in Hollywood. A film critic once said that's like calling someone out for being the tallest player in a professional basketball team!Cimino would go on to work with Eastwood the following year in Thunderbolt & Lightfoot which he wrote and directed. Cimino would achieve acclaim with The Deer Hunter and infamy through his follow up film, Heaven's Gate. He has not directed a feature film since 1996. There have been rumours he now lives life as a woman. What is true is that he has had a lot of bad plastic surgery.The film is called Magnum Force but during the climax notice that Harry dispatches the villains without once resorting to his gun. This is deliberate, Eastwood wanted to show Harry was more than a cop with a big gun that he had guile. It also reinforces the anti- vigilante message of the film. The ending is a little drawn out for my liking.One other thing about Harry in this film was sex appeal. Maybe he should be called X rated Harry as women just keep falling for him. Eastwood in his Dollar trilogy films was never into the ladies. That came in the movies in the 1970s which the star exploited as Eastwood became something of a sex symbol. I am sure it was also an ego thing on the part of Eastwood. It was the only thing that was odd about it, the Harry of Dirty Harry never seemed to have the social skills of being such a womaniser.The film is different in tone and style from Dirty Harry which is the best of the bunch. Magnum Force is a very good sequel and much better than the ones that followed.",Magnum Force
5,kosmasp,Character in Force,8,24 June 2020,"The weapon (gun) was as much a character of Dirty Harry as Harry Callahan himself. And while the man he made the very (in)famous ""Do you feel lucky? Well do ya, punk?"" speech to first (if you watched the first movie, you know he made that speech twice), seems to be a constant in the Dirty Harry movies, it's only Clint Eastwoods character who is the real constant in the movies. And the character name is not even in the title of the sequels ... weird? I'd say so, but then again what do I know? Apparently not as much as those marketing the movies.Now all that aside, one of the biggest criticisms, even back then, was how Harry was portrayed or what he might stand for. Judge, Jury and Executioner! So this takes that theme and shows us what that might spawn in certain police circles. And apart from taking that point apart, it shows a more human side to Harry too. It also tackles a sexism/homophobic threat that some might have seen in the first movie. In a joke Callahan makes it clear, he doesn't care about peoples sexuality - as long as they are efficient and do a great job, they can have any sexual preference they want.That may not fit the ""Republican"" flair many attest the character might have. Generaly speaking this was not made to be a political figure. It was made to be anything but that. Dirty Harry is his name, but ""dirty cop"" he ain't. Which others have to learn - even when the filmmaker involved in this, may have other thoughts in his commentary to the movie ... and while there is no real connection to the first one, I'd suggest watching them in the order they came out. There is progression that can be seen - even if only slight ones sometimes",Magnum Force
6,classicsoncall,"""A good man always knows his limitations.""",7,18 May 2021,"Clint Eastwood reprises his role as San Francisco police detective Harry Callahan in this sequel to the original ""Dirty Harry"". If you have a taste for criminals getting their due, you'll find a lot to like in this story, as Callahan's instincts put him on the trail of dirty cops who fancy themselves as judge, jury and executioner in their haste to dispatch the city's bad guys. A minor twist you can probably see coming has Harry's boss, Lieutenant Briggs (Hal Holbrook), as the leader of the rogue motorcycle cops who pretty much lets them decide on their own targets. The scene in which one of them guns down an entire swimming pool party was probably a wrong headed move in as much as there were probably some innocent guests in attendance, but it didn't seem to concern anyone investigating. Callahan's early statement about a man knowing his limitations is repeated a couple more times throughout the story, and sets up the final curtain for Briggs when Harry sets a timer on a bomb he discovered in his mail box. Oddly, of the four rookie cops who made up the ad hoc assassination team, Harry managed to take out three of them without firing a shot. He ran into one on a motorcycle with a car, pounded the crap out of a second, and managed somehow to have the third one careen off a parking deck into the bay. I found it interesting that three of the rogue policemen wound up portraying good guy lawmen in TV shows during their careers, David Soul in the Seventies series 'Starsky and Hutch', Robert Urich as a member of 'S. W. A. T.' in the Eighties, and Tim Matheson as a sheriff in the 'Wolf Lake' series in 2001-2002.",Magnum Force
7,jboothmillard,Magnum Force,5,5 July 2009,"Dirty Harry was a fantastic crime thriller, and even though this follow-up isn't as gripping, it certainly isn't terrible. Basically San Francisco detective Insp. 'Dirty' Harry Callahan (Clint Eastwood) is this time on the hunt for some killers who are murdering not innocent good people, but many major criminals, e.g. mafia, drug dealers, pimps, and these killers are in fact vigilante motorbike riding cops. There is not much more to say, other than there are one or two chases, a bomb disabling and explosion, and three expected deaths at the end. Also starring Hal Holbrook as Lt. Neil Briggs, Felton Perry as Insp. Early Smith, Mitchell 'Mitch' Ryan as Officer Charlie McCoy, David Soul as Officer John Davis, Tim Matheson as Officer Phil Sweet, Robert Urich as Officer Mike Grimes and Kip Niven as Officer Red Astrachan. The performance by Eastwood is still fine, and there are one or two moments to catch your eye, but I can't say this is just as good or better than the predecessor. Clint Eastwood was number 18 on The 100 Greatest Movie Stars, and he was number 61 on The 100 Greatest Pop Culture Icons, and Harry Callahan was number 17 on 100 Years, 100 Heroes & Villains. Worth watching!",Magnum Force
8,Woodyanders,Even Dirty Harry has his limits when it comes to bending the law,8,19 March 2017,"Maverick detective Harry Callahan (smoothly played by the ever-cool Clint Eastwood) faces off against a gang of rookie cops who are killing criminals that the flawed system has allowed to get away with their heinous misdeeds.Director Ted Post relates the engrossing story at a steady pace, maintains a pretty harsh'n'gritty tone throughout, and stages the rousing action sequences with skill and flair. The smart and trenchant script by John Milius and Michael Cimino takes a strong stance against the abuse of authority and states a powerful central point on how vigilantism opens up a can of moral worms that's more trouble than what it's worth. The sound acting by the sturdy cast keeps this film on track: Hal Holbrook as fed-up disapproving superior Lt. Briggs, Felton Perry as easygoing partner Early Smith, Mitchell Ryan as bitter burnt-out veteran patrolman McCoy, and John Mitchum as the cynical DiGiorgio. David Soul, Tim Matheson, Kip Niven, and Robert Urich are quite good as the eager rookie motorcycle cops who take the law into their own hands. The fetching Adele Yoshioka makes a nice impression as alluring hot to trot neighbor Sunny. The startling moments of brutal violence pack a fierce punch. Frank Stanley's crisp widescreen cinematography provides a pleasing polished look. Lalo Schifrin's funky-throbbing score hits the right-on groovy spot. A satisfying sequel to the excellent original.",Magnum Force
9,rmax304823,"It Is Big, Therefore I Am.",5,18 September 2010,"This can't help but be interesting. Dirty Harry was an engagingly tight-lipped character and the film was gorgeously shot in a gorgeous location, a right-wing wet dream. And, man, his gun was big.Dirty Harry and his gun soldier on, but this is craftsmanship without heart. It's no longer original, and it's done as if by numbers.Harry Callahan now works for Lt. Briggs (Holbrook) in homicide, and has a friend who is bent so far he's just about to break (Mitch Ryan). Four rookie traffic cops who carry .357 magnums can evidently outshoot Harry (!). And Harry gets a proposition from a friend's wife, which he turns down, and an enthusiastic proposal from a pretty Japanese neighbor, which he doesn't. His partner from the first film, Chico, is now teaching college and Harry is burdened with another minority partner, the African-American Felton Perry, who is there chiefly so that Harry can tell him (that is, the audience) about what's going on. He does not survive. The reason Felton Perry must be blown apart with a stick of celery in his mouth is that it's been decreed that the body count must be kept high.There are only two points worth making. One is that ""Dirty Harry"" was nailed by critics and by the public (who attended in droves) for being a Fascist fantasy, which it was. So now Harry must redeem himself by upholding the jurisprudential system in the face of an assault by an internal death squad that is intent on killing all the evildoers in San Francisco. The movie is a jab to the jaw of liberal critics.The second point is that there is no longer any poetry is this carefully constructed and successful piece of junk. The movie knows precisely where it wants to go and it gets there efficiently and without imagination.One of the more celebrated aspects of the original film was Harry's .44 magnum. Everyone was thrilled by that huge cannon Harry carted about. Therefore -- knowing this -- the film's credits roll over a static shot of a monster magnum being held against a blood-red background. The shot of the fist holding the gun seems to go on forever. Maybe it will. But -- no! As the credits end, the fist twists the barrel of the cannon towards the audience -- and SHOOTS.Well, what are we to make of this? We -- the audience, guilty of nothing more than stealing an occasional ash tray from a fancy Las Vegas motel? Or a towel from the beach at Waikiki? Oh, maybe a little cheating on our income tax return, but everyone does that. And the closet full of pantyhose is nothing more than a hobby, a collection, rather like a stamp collection except a bit more, well, exciting.What we are obviously supposed to make of that opening is that the folks who are bringing you this Grand Guignol don't care whether you're guilty of anything or not. They know you've come to the theater to see Harry wield his big gun, and they give it to you -- in your face. The gun wins the award for best supporting actor.In case that opening isn't enough, Ted Post, the director, gives you three shots of men loading their revolvers with the camera at ground level and the guns being held barrel-downward, pointing towards the lens.One of the things I gave ""Dirty Harry"" credit for was not trying to imitate the inimitable car chase from ""Bullet"" (1968). ""Magnum Force"" tries to rectify that error. A motorcycle chases a car down Vermont, the twistiest little street in the city, bar none. There are multiple crashes, a car explodes in a fireball, dead bodies (faceless and otherwise) abound, a pretty prostitute is made to drink a can of Drano and the camera shoots the scene from between her wildly waving legs. Whatever elements ground the original in reality are thrown away here in favor of cheap fantasy, a pandering of the worst sort.It probably looks pretty tame today. We ought to ask ourselves what that tells us about our vernacular culture.",Magnum Force
