,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,A terrific second Bond film,9,23 March 2008,"One thing I really appreciated about this film is the continuity. In DR. NO, Bond was about to score with a beautiful lady and here he once again is interrupted with the same lady! That was a nice touch.As for the rest of the film, it was terrific and nearly as perfect as DR. NO. In fact, they are both so good it's hard to determine which is the better film. DR. NO is closer to the Fleming novel but FROM Russia WITH LOVE had some terrific characters. Robert Shaw was amazing as the robot-like assassin (though very different from the sociopath in the book). Colonel Klebb was also one of the scariest and most malevolent ladies ever to appear in a Bond film. Together, they were a great team out to destroy Bond and both the Russian and British intelligence agencies.In addition to these baddies, the film had some lovely support from Italian Daniela Bianchi (playing a Russian) and Pedro Armendáriz (playing a Turk). Another supporting player really was the lovely scenery and locales for the film. Seeing Istanbul and the Orient Express was lovely and set a great mood for the film.Finally, I must point out that with the exception of a tear gas cannister and an interesting folding gun, the film lacked the wacky gadgets of the later Bond films. As for me, this was a huge plus--making this and DR. NO both tops for their realism and lack of reliance on special effects.",From Russia with Love
1,TheLittleSongbird,A superb James Bond movie,9,1 November 2009,"I loved From Russia With Love. If I had one minor problem with the film, it would be that I did find the film slow in places. But I cannot deny it is a tightly plotted and well acted James Bond thriller with superb action to boot. The film looks amazing, with wonderful cinematography and stunning locations, and the action is constantly fast paced and the stunts jaw dropping. The music score from John Barry is one of the more memorable scores in any Bond movie, with its brilliant main theme my favourite. We were also treated to the song From Russia With Love over the end credits, beautifully sung by the underrated Matt Munro. Sean Connery is in my eyes the definitive James Bond, handsome yet charismatic. As much as I did like Roger Moore and Daniel Craig(in general), Connery just has that extra something. Robert Shaw comes close to stealing the show, and Lotte Lenya as Rosa Klebb especially is unforgettable. All in all, superb is the only word I have to say about From Russia with Love. 9/10 Bethany Cox",From Russia with Love
2,bkoganbing,SPECTRE Sends Their Love To 007,8,2 May 2009,"After the success of Dr. No, the movie going public could not get enough of Sean Connery as James Bond. From Russia With Love was almost demanded to be made and it's proved to be one of the most durable of the Bond series in popularity.That infamous third echelon SPECTRE is after a new Russian decoding machine that the West would certainly like to lay its mitts on as well. But SPECTRE has something additional in mind. Knowing that MI5 will send its best in 007 after the decoder, they have it in mind to kill James Bond. And the alluring bait will be Daniela Bianchi, their agent.Of course as always no woman can resist the sex appeal of James Bond as packaged by Sean Connery. Personally I've always liked Roger Moore best in the part, I like Sean Connery as well, but more for his non-Bond roles. That I'm sure will be appreciated by Sean Connery should he ever get to read this review.The cinematography in a story that takes place in Istanbul and along the Mediterranean Sea is gorgeous. Connery gets a really outstanding cast in support including Pedro Armendariz for whom this was a final performance as Bond ally Ali Kerim Bey.Robert Shaw has a part of few words as the paid assassin SPECTRE has trained for the purpose of killing James Bond. Shaw is terrifying in his role and the fact he did it without much use of a voice that was one of the best in the English language, testifies to his ability as an actor. His confrontation with Connery on the Orient Express is one of the great fight scenes ever done on film.However I have a warm spot in my heart for Lotte Lenya as Rosa Klebb, the Russian defector now working for SPECTRE, the woman with those killer orthopedic shoes. Kenneth Cole never designed better.From Russia With Love has everything you want in a James Bond film, action, sex, and exotic locations. And Sean Connery, who could complain.",From Russia with Love
3,Leofwine_draca,One of the best of the early Bonds,9,19 July 2016,"After the success of DR. NO, a film which I personally didn't care for very much, the Bond series becomes a familiar hybrid of hi-tech gadgetry, high-speed chases, explosions, exotic locations, some very impressive stunts and action mixed in with a traditional romance, some cheesy one-liners, and a complex spy plot involving numerous factions. Yep, I enjoyed this film a lot, from the good cast to the well-shot locations and complex characters. This is what a real Bond film should be like.Here, Sean Connery looks and sounds more assured as Bond; indeed he's positively glowing in the role, and handles his action and lines with an easy smoothness. Connery is supported well by a love interest in the shape of Italian Bianchi; a hulking, memorable menace in the shape of the ever-excellent Robert Shaw; and a whole plethora of unusual and eccentric memorable supporting characters. These include Lotte Lenya as the lesbian Rosa Klebb, one of the most nasty little women you'll see (that poisoned shoe spike is a natty little weapon), and Pedro Armendariz who is excellent Kerim Bay, a friend of Bond's. Being filmed in the UK, a number of familiar British faces fill out the cast, including future Hammer starlet Martine Beswick as a virtually unrecognisable fighting gypsy girl. Desmond Llewellyn makes his first appearance as 'Q', handing out a supremely cool and lethal suitcase to 007.Action highlights include a shoot-out at a gypsy camp and a long, but highly tense, train ride in which Bond is stalked by the psychotic killer Shaw. This culminates in a fine one-on-one battle between the pair in a train carriage of all places, which was so good that it was revisited in LIVE AND LET DIE. To top things off, there's an explosive speedboat chase at the film's finale. One thing I liked a lot was the inclusion of more comedy than in the previous adventure, which Bond's one-liners being consistently amusing and lots of little odd touches (like Bond realising that Shaw is an impostor when he orders red wine with fish, of all things). In all, FROM Russia WITH LOVE is an intelligent adventure film for lovers of action and thrillers alike, with a great cast.",From Russia with Love
4,SnoopyStyle,Number 3 shoe knife,7,10 December 2013,"The second in the Bond franchise. SPECTRE is trying to inflame the cold war to weaken both sides. The plan is for Number 3 Klebb (Lotte Lenya) to trick Russian girl attaché Tatiana Romanova (Daniela Bianchi) to lure James Bond 007 (Sean Connery) into stealing Russian super secret Lektor decoding machine. After which, they would steal the machine from Bond and then frame him for it.The locations are more exotic. The action is bigger. I love Lotte Lenya as Number 3 Rosa Klebb. She creates an iconic villain better any of the other villains in this movie. I know she's not strictly a Bond girl, but I want so much to put her as top Bond girl. I mean com'on!! Shoe knife! I just wish she was the only one with the shoe knife.The story doesn't move quite as fast as the modern versions. It's still trying to play with the formula. There are a lot of scenes that takes its time on exposition. It's still spending time on spy craft. The cat and mouse game is still realistic. The ridiculous plans aren't here yet. The fights aren't as choreographed. It's in a transitional state.",From Russia with Love
5,Hitchcoc,Bond as He Was Intended,9,20 March 2014,"This is my favorite bond movie. It is a movie of intellect and suspense. It is a true spy movie. While there is some tongue-in-cheek stuff, it really has a balanced plot, good villains, sex, and a satisfying unfolding of events. Bond is put in a place where he knows he must trust someone but doesn't know who. He gets himself caught in a Cold War drama where the good guys aren't always obvious. He is being watched by his adversaries and must play a cool game of cat and mouse. The early Bond films gave us a human character and while Connery made the role his own, the gimmickry is less and the spying and counter-spying are more. I remember that this film was a challenge to my young mind. The efforts to find the secret mechanism work. Connery is able to enhance his suavity to the nth degree before becoming a bit of a caricature. When ""Goldfinger"" arrived (a wonderful movie) a bit of innocence had been left aside. I really like the James Bond in ""Dr. No"" and ""From Russia with Love."" From here he starts to transform into a sort of smug superhero--fun but a little hard to believe.",From Russia with Love
6,Horst_In_Translation,"But oh, you haunted me so",6,16 June 2015,"It's not safe to say what this refers to exactly, maybe Romanova, maybe Grant, maybe Mother Russia, maybe something else? Probably all of these. This is the BAFTA-winning film ""From Russia with Love"", Sean Connery's second movie as James Bond. At around 115 minutes, it is not a super short or super long movie, good running time I would say. The director is Terence Young and this is number two out of three Bond movies he directed. If you take a look at his body of work, he is really the epitome of a 007 film director and will always be remembered for his works on Britain's most competent spy. Same applies to writer Richard Maibaum, who stayed with the franchise for decades to come, basically for the rest of his life until the second Timothy Dalton film (out of two). We must also mention Johanna Harwood here, the second writer. Her career was rather short-lived, but she worked on the screenplays of the first three James Bond movies and a woman in this relatively influential position in an area of profession that was very male-centered back then, now that is what I call true emancipation and not what many people in the 21st century want us to think emancipation means. Also a pretty nice snippet of information to refute the idea that Bond films are anti-female with the way some women, especially Bond girls, are depicted in here. On a completely different note, it's also interesting how this film is set during an era where Cold War politics were a major issue and I personally would find it nice if they brought these on today as well in those films that follow the end of Craig's 007.But back to this one here: My favorite parts were the scene early on with the amateurish fake Bond (nice acting from Connery to appear clumsy) and the final scene with Lotte Lenya's character. She and Robert Shaw make for one of the more memorable (and most different) villain pairs in Bond history. In general, you can say that this film here had a really strong beginning and end. Unfortunately, not everything in-between is on the same level. But the scenes with Blofeld, even if we only see his cat (and how it scores a fish), the chess genius (really would have deserved more screen time, especially with how they introduced him through his effortless win) and Klebb were magnificent. The idea with the poisonous spike shoe and how the chess fella is taken out this way and how Lenya's character tries to take out Bond this way too was very interesting. Another cool inclusion in terms of ways how Bond almost dies. Speaking of these gadgets, we have Desmond Llewelyn's Q in here for the first time and if you look at how far back he is in the cast list, they surely did not think he would become such a memorable character and stay in these films for decades to come. Here he gives Bond a pretty special suitcase. Interestingly enough, the insight into the gadget headquarter we get here is the villains' location this time. Lots of firepower there and normally we see Q's headquarter. Another special character, on the good side again, is of course Moneypenny who has the usually entertaining banter with Bond here, even if I would not call it great. At least not this time. It was actually funnier when she was ""spying on"" her boss in (not so) secret later on. This movie also has a truly great theme song, which scored a Golden Globe nomination and it's even better when we actually hear Matt Monro's singing and not just the melody at the beginning of the movie. Nice it got included on several occasions and I think it is among the most forgotten Bond songs by now and even many Bond fans probably have no idea who Monro was, but he should not be forgotten at all in terms of quality.In this movie, you will find many of the features that made Bond so famous. The political references, the Bond Girls, Q, M, Blofeld, Moneypenny and a couple more. Girls belong to the antagonist side (okay, she does not really) is also something we see often in these films. Leiter is missing here though. However, I was wondering why this movie is called ""From Russia with Love"" as most of the action takes place in Turkey (just like in one of Craig's recent movies), some of it also in Zagreb and Venice, but none of it in Russia. The card Bond signed for Moneypenny may have been enough. That was a pretty solid moment though, also the music being played at the same time. But yeah, the title involves Russia back then when it also could have included Istanbul or Turkey in fact with how much this country is at the center of it all and also with how Turkey played a pretty crucial political role as a country kinda stuck between the two dominating global forces at that point. Maybe Russia is also referenced because Bond thought for the most part that the antagonist here is indeed the Soviet Union. But it's not which is another nice way to maybe not cause further political tension. The filmmakers made a good choice by not antagonizing the Soviets too much here, but actually letting the real villains in here come from another organization (SPECTRE, called PHANTOM in the German version). Also, a short ""Dr. No"" reference is included. He was one of them too. Anyway, this film is all about a priceless decoding machine and Bond's attempt to secure it for his government. Stunning women and sinister villains pave his way. The Russian girl falling for him and attacking Klebb in the end still kinda sent a fairly subtle message that the West was successful. Nicely done.However, even if I liked the scenes I mentioned earlier and Bond's showdown with Grant in the train (the legendary Orient Express was certainly a cool inclusion) was pretty memorable and tense, this film lacked some of the epic moments other Connery Bond movies had, especially ""Goldfinger"". Maybe this actually made it one of the more realistic Bond movies, but I felt it also took away some of the fun. Bond over the top is not a problem at all for me, actually a welcome inclusion. The lengthy sequence with this very influential Turkish fella to whom family ties meant everything did not impress me too much. The only positive thing I can say there is really how you could feel Bond was shaken to the core when he saw the man's corpse as they had really become friends by then. But their long sequences together and how they basically take out the Bulgarian antagonist (while still paying attention to Anita Ekberg's great mouth as if Gauls were talking about Cleopatra's nose) were among those moments I'd cut first from this film if I had to cut something. The scene with the attack on the gypsy village (and the gypsy women attacking each other which Bond understands without a translation) was slightly better, but also nothing that genuinely impressed me. But I guess they needed these scenes because they had to depict Bond and the Turk getting closer as he is basically his main ally in here. Pedro Armendáriz (not exactly Turkish) played the man and it is very sad how he died at a fairly early age very briefly after the release of this movie. Already mentioned Lotte Lenya, but I have to elaborate a bit more on her. The actress is nothing short of an icon here in Germany (and deservedly so) with her connection to Brecht and Weill and I think she is also much more forgotten as a Bond villain than she should be. She was magnificent. Thumbs-up too for the filmmakers for not being scared of depicting Klebb as a lesbian character. A bit of a brave move in the early 1960s. It is on the subtle side, but how she talks about the Bond girl's physical shape is telling nonetheless. I think there were one or two more quotes that make it easy to think that she her character saw nothing in men.Said woman who plays the central female character here was portrayed by actress Daniela Bianchi (not exactly Soviet either). I must say I personally found Romanova one of the less memorable Bond girls, but Lenya sure makes up for that. What an evil woman indeed. But as for Bianchi, I think some see her as the epitome of a Bond girl and consider her one of the greatest there is. Well, I strongly disagree. She is also out of the picture for a really long time after her introduction and it takes for 40 minutes or so until she shows up out of nowhere again in the bed of Bond's hotel room. This scene was fine, also with how Connery expresses more of an interest in the device than in her, but also how we see the bad guys watching behind a window. That was an amazing shot, maybe the best from the movie, no matter how brief it was. How it is exactly at the very end of this scene, it also feels as if they did not think it was anything special, but to me it felt great with how the action moved on to another location immediately afterwards. Bianchi's character was very young and still pretty naive, got played by Klebb, and fitting that she was drugged before the crucial train fight sequence, so she would not get in the way of the men having their life-or-death fight basically. That was rough and Bond commenting on Grant's excellent physical shape (Robert Shaw must have trained incredibly hard to get there) and us knowing who the latter really was added further tension. Still, Romanova (Bianchi, not Black Widow Johansson) got her moment in the end with the Rosa Klebb chambermaid fighting scene. There was not one single key antagonist in this movie, but a mix basically. Maybe Grant came closest in terms of screen time, but you can also consider Lenya, even if her last scene especially (and her lack of physical strength, even if the whip and spike shoe make up for it) made her feel more like the biggest hench(wo)man. Or Blofeld as the big man behind it all, but he was just not enough in here. So I go with Shaw's character probably. Actually, it surprises me that he was not a factor in the third film, but Auric Goldfinger was more than enough villainry on his own. That's it. All in all, this film here is a success and a must-see for fans of spy thriller movies. Positively recommended.",From Russia with Love
7,mark.waltz,"The roller coaster ride continues, bonding adventure with reality.",7,18 October 2017,"If not as colorful or as fantastically campy and over the top as its predecessor, ""Dr. No"", this still manages to provide plenty of thrills. Sean Connery is just as dry, this time dealing with a secret organization that provides itself on what we now know as fake news or alternative facts to throw the secret agents of the world off so they stay one step ahead on their nefarious plots. It's the first sighting of the unseen ""Number One"", the faceless man in wheelchair who strokes a white cat as he proclaims his sinister plans. But he underestimates the power of the British secret service, explained to Bond with gusto from Bernard Lee's M and observed by the witty Moneypenny (Lois Maxwell), still amused by Bond's womanizing. It's the rather brief presence of the legendary Austrian Singer/actress Lotte Lenya who provides the most sinister moments, presumed to be a sadistic lesbian as she gives the orders and makes a play for pretty Daniela Bianchi. Lenya makes much out of her small part, and as a result, is often referred to as one of the very best Bond villains. The story isn't as strong or detailed as others in the series, but there's plenty to keep your mind on the film. Scenes in Venice, Istanbul and a sequence on the Orient Express are filled with terrific fights, interesting tools of defense and even hundreds of rats running through shallow catacombs. The series had already gotten off to a great start, and the first follow-up is a ton of fun.",From Russia with Love
8,claudio_carvalho,Unforgettable Adventure,9,19 February 2013,"The SPECTRE Number 1 assigns the SPECTRE Number 3, Rosa Klebb (Lotte Lenya), who was ex-SMERSH operative before defecting Russia, and the SPECTRE Number 5 and expert planner Kronsteen (Vladek Sheybal) to plot a scheme to steal the Russian's Lektor decoder and revenge on James Bond (Sean Connery) for killing Dr. No. Rosa Klebb recruits the SPECTRE assassin Grant (Robert Shaw) and lures the naive and loyal Russian Corporal State Security Tatiana Romanova (Daniela Bianchi), who works at the Soviet consulate in Istanbul and believes that Rosa Klebb still works for SMERSH. Meanwhile M (Bernard Lee) summons James Bond and tells that Tatiana wants to defect to London and has offered the Lektor as part of the bargain. However, she wants to go to England with Bond.Bond and M suspect that it might be a trap, but Bond sees Tatiana's photo and decides to go to Istanbul, where he has the support of the local operative Kerim Bey (Pedro Armendariz). He meets Tatiana and they plot a plan to steal the Lektor and return to London. But they do not know that they are actually pawns in the scheme plotted by SPECTRE. ""From Russia with Love"" is an unforgettable adventure of James Bond and one of my favorite movies of this franchise. The poisoned spike in the toe of Rosa Klebb is maybe the most famous scene in 007 movies that I never forget. Daniela Bianchi is one of the most beautiful Bond girls and James Bond is a top-notch spy but also vulnerable and I like that. The story is very well written and has great characters.I do not know how many times I have seen ""From Russia with Love"", but the last time had been on 24 January 2000 on VHS. Yesterday I saw it again in a magnificent Bly-Ray in DTS. My vote is nine.Title (Brazil): ""Moscou Contra 007"" (""Moscow against 007"")",From Russia with Love
9,classicsoncall,"""Tell me, which lunatic asylum did they get you out of?""",7,14 December 2018,"I thought this film was a step up from ""Dr. No,"" the one that started the James Bond series the year before. Bond's (Sean Connery) fight scene with Donald Grant (Robert Shaw) in the tight quarters of the train compartment was excitingly staged and certainly looked more realistic than the awkward and clumsy looking one-on-one with Oddjob in ""Goldfinger"". With Shaw though, I had a tough time recognizing him as the same actor who a decade later looked a lot different in movies like ""Jaws"" and ""The Sting""; the blond coiffure just didn't go with his rugged looks. I liked the early reference to Shaw's character, Grant was described as a homicidal paranoiac. I don't know if the paranoia of his character came through so much, but you can't doubt the homicidal part.Lotte Lenya as the Russian turned SPECTRE agent Rosa Klebb was the first time I'd ever seen her as an actress. For years I always wondered about her name, immortalized in song, first by Louis Armstrong and later by Bobby Darin in his popular version of 'Mack the Knife'. She's right there in the lyrics with Jenny Diver, Sukey Tawdry and good old Lucy Brown. Check it out, it's one of my favorite tunes. The thing is, I would never have expected the real Lotte Lenya to be as threatening a presence as her character is in this flick. She wore the role pretty well, but I don't think that whack to Grant's stomach during his recruitment phase would have hurt anyone.I always find it cool when a movie references another picture that came out the same year by virtue of a movie marquee or some other source. There was a bit of self promotion for Eon Productions going on here with that huge poster of Bob Hope and Anita Ekberg in ""Call Me Bwana"", the one Bond was able to sight one of the villains through via the gaping mouth. For the record, that picture is kind of a dud, even with it's principal players, maybe more of a bomb than the ones lobbed by Bond in this picture. The action peaks in this one with a pretty cool oil slick inferno as Bond and his Russian beauty Tatiana Romanova (Daniela Bianchi) make their escape from the SPECTRE thugs. I don't think Tania ever did figure out she was working for SPECTRE by reporting to Rosa Klebb, not that she needed to once she fell for the inimitable James Bond.",From Russia with Love
