,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Exceptionally well made...,9,1 May 2016,"The story is about the Essex, a whaling ship that was, amazingly, sunk by a whale. The story is told through a flashback from one of the survivors of the journey and follows them from just before the cruise through their eventual rescue and return to Nantucket.While ""In the Heart of the Sea"" is a bit overlong, it is a tremendously well made film. The script, not surprisingly, takes a few liberties with the actual story but is, overall, essentially factual*. But what really blew me away was the look of the film-- the 1820 New England landscape, the ship and the whale attacks. While you know that most of this was done using CGI, you simply cannot tell by looking at it...it looks so amazingly real.*Several liberties were taken. A big one is the way the story is told--by the one survivor of the Essex affair back in 1950 who relates his story to Herman Melville. Well, this didn't happen...but it does make for a neat way to tell the story, so I didn't mind this. Additionally, First Mate Chase and his post-Essex life are COMPLETELY different from the way they're portrayed in the film. In each case, the changes were made to make the film more cinematic and enjoyable but also remind you that the actual story is a tad different.",In the Heart of the Sea
1,Leofwine_draca,Old-fashioned adventure with an overload of CGI,6,14 April 2018,"IN THE HEART OF THE SEA is an energetic and old-fashioned high seas adventure directed by Ron Howard and based on the same true story that inspired Herman Melville to write MOBY DICK. Unfortunately this leads to an extensive framing narrative involving Brendan Gleeson's salty old sea-dog and Ben Whishaw playing Melville, seeking material for his next novel. At times the narrative will be in the heart of the action before jumping back to the present, but they should have dropped this flabby extension of the running time all together to focus on the main story. It's the usual tale of survival at sea against the odds, with a battle against an abnormally large whale making up the heart of the narrative. Unfortunately, Howard gets obsessed with CGI here and at times the film is nothing more than a series of shots of actors against a green screen interacting with CGI. Still, the human drama is quite engrossing, and the cast is surprisingly good; Hemsworth flexs his acting chops unshackled from THOR, while Cillian Murphy, Joseph Mawle, Tom Holland and Frank Dillane all get their moments to shine.",In the Heart of the Sea
2,SnoopyStyle,missing the heart,6,12 April 2016,"In 1850, writer Herman Melville arrives in Nantucket Island to interview Tom Nickerson (Brendan Gleeson) about the lost of the whaling ship Essex. Tom was a young man when he joined the ship. George Pollard is the inexperienced captain from an established family. Owen Chase (Chris Hemsworth) is the experienced first mate who is looked down on and driven to captain his own boat. Matthew Joy (Cillian Murphy) is Owen's mate. The ship travels beyond the regular hunted-out grounds and faces a truly dangerous whale.Director Ron Howard delivers a visual experience combining an old oil painting and modern CGI. He adds in flares of closeups that is unique but not necessarily exciting. Some scenes remind me of an old 50s lifeboat movie. Some scenes are fully modern CGI. The action works well but it is simply missing the heart. It is missing the human emotion. It's the opposite of Melville's classic which is all about the human condition. The movie ends with the weakest of dilemma which nobody cares about. This should be all about an action survival movie. There are some beautiful looking but not that thrilling action scenes. The story could use a real villain and some more human conflicts.",In the Heart of the Sea
3,Hitchcoc,Intense Tale of Survival,7,14 February 2017,"I am a huge fan of Moby Dick. I've taught it as a novel; I've read it several times. Its artistry is beyond measure. Herman Melville certainly knew his stuff when it came to whaling and the sea. Apparently, Melville gained his inspiration from a particular whaling voyage that produced fodder for his imagination. This film takes the fictional Melville back to the time where he heard the story of the white whale. If one looks at the book as the allegory it is, we put the stamp of whiteness and all the implications of the color (or lack of it) that it implies. This movie takes any artistry out of the story. Ahab lost his leg and pursues the elusive cetacean in the ultimate act of revenge. Here, a bunch of guys get in over their heads. They had an overzealous captain who simply was out for the commercial value of the animal. When the whale destroys the ship (they do give him supernatural powers) part of the crew is in whaleboats, trying to get someplace safe. Terrible things happen, including cannablism, and some manage to hold off their fates till they are rescued. But there is something dull about the pacing of the story. We aren't made privy to much of what goes on among them. There are the obligatory sacrifices that are not new to this genre. It's a decent movie, but a better script and some more personal depth would have helped.",In the Heart of the Sea
4,Prismark10,Just too washy,6,12 November 2016,"Over the years Ron Howard film have tended to become more portentous and duller. A sense of perkiness and fun from his 1980s films has gone up in smoke.In the Heart of the Sea is told in flashback by one of the last survivors of the crew of the Essex, Thomas Nickerson (Brendon Gleeson) is a crusty sea dog who recounts to the author Herman Melville his adventures in his youth as the Essex was searching for whales whose oil was valued. Owen Chase (Chris Hemsworth) is the veteran second in command, respected by his crew but not deemed worthy enough to captain a whaling ship despite his skills and knowledge. George Pollard (Benjamin Walker) is given the task of captaining the Essex because he has the heritage and financial backing but is inexperienced and his mistakes lead to clashes with Chase.The crew struggle to get the required whale oil to be deemed a successful voyage and travel thousands of miles further to an area where there are reputed whale sightings only to encounter a giant sperm whale that wreaks havoc and the crew are stranded fighting for survival with the whale tormenting the men.The film is a soggy old fashioned tale of survival against the odds, a story which inspired the novel Moby Dick but the characters are thinly sketched and the film has the horrid teal colour grading with some iffy CGI.",In the Heart of the Sea
5,nogodnomasters,"WE'RE YOUR FAMILY, FOR BETTER OR WORSE. MOSTLY WORSE.",10,16 April 2018,"This is a slightly embellished story of the whaling ship Essex which was sunk by a Sperm Whale in 1820. This story was the inspiration for Melville's ""Moby Dick."" In the film Melville (Ben Whishaw) interviews the adult Thomas Nickerson (Brendan Gleeson) who spends his time in a bottle and is reluctant to tell his tale of woe. However his fourth wife (Michelle Fairley) convinces him because of their pecuniary predicament. Thomas was a 14 year old ""Greenhorn"" (Tom Holland) at the time and tells the story as a conflict between the privileged captain George Pollard (Benjamin Walker) and a disgruntle first mate Owen Chase (Chris Hemsworth) who was promised his own ship. As Pollard remarks, ""Some are born to the job, some born into it."" Thomas experiences his first ""Nantucket sleigh ride"" and gets to do all the dirty jobs.If you know the story they encounter a ""demon"" whale who hunts and haunts them.The story was well done and well acted if slightly inaccurate. Both Chase and Nickerson wrote accounts of the story and Melville used Chase's account for his inspiration. The interview appears to be fiction. There is a late emotional scene involving the Captain's cousin that wasn't quite accurate, but the results were the same.Good sea drama and half decent action flick.",In the Heart of the Sea
6,kosmasp,Big Fish: How we got here,6,26 November 2016,"Despite the fact that this tanked (the joke everyone is making) at the box office, this isn't half as bad, as some may let you believe it is. It's not the best movie either of course. But it does boast a nice pre-/sequel to one of the best known stories that plays on a boat in the ocean out there.The drama and the tension is there, and the story is being told from the ""future"", so there is a certain knowledge to a possible outcome. What it isn't, is the whole story you may expect. You could call this Ahab begins or something like that. But it's still enough to be entertained, though another Heart of the ocean is not going to happen. Guess it got lost in the ocean ... Jokes aside, this does more or less what it sets out to do, if that's enough for you, enjoy",In the Heart of the Sea
7,ma-cortes,"Adventure , thrills , and sea chases , being wonderfully shot in the Canary Islands , Spain",7,15 January 2016,"Agreeable retelling , vividly played , in which a Captain called Pollard (Benjamin Walker , though other actors that were considered included Benedict Cumberbatch, Tom Hiddleston, and Henry Cavill) and a tough first officer , Owen Chase (Chris Hemsworth) command a surly ship of whale hunters through sheer ruthlessness and ego . Fine rendition freely based on Herman Neville novel : ¨Moby Dick¨ , with enjoyable interpretations from all-star-cast . Based on the true story of the ship Essex , a whaling ship that was attacked and sunk by a sperm whale in the southern Pacific Ocean in 1820 . In this extremely loose adaptation of Melville's classic novel, George Pollard , Ahab-alike , is revealed initially not as a bitter and revengeful madman . This oceans saga features some survivors of a lost whaling ship and relates the tale of a white whale as well as the captain Pollard's obsession with desires for vendetta upon the greatest animal . It starts in New England , where an expert officer and harpooner signs aboard the whaling ship along with rookie captain George Pollard . Both of whom meet a motley crew formed by two-fisted sailors as Caleb Chappel (Paul Anderson) , Henry Coffin (Frank Dillane) , Richard Peterson (Osy Ikhile) , Benjamin Lawrence (Joseph Mawle) , Ramsdell (Sam Keeley ) and Matthew Joy (Cillian Murphy) , among others . They are attacked by a huge Cachalot that causes destruction and wreck havoc . Pollard , subsequently , consecrates his life to hunt it , full of hating and vengeance . He has a self-destructive obsession to hunt the white whale , carrying out obstinately his revenge and determination to seek avenge on the beast that destroyed his crew and ship .Based on a true incident inspired Herman Melville's ""Moby Dick"" . Yet another take on of Melville's classic battle of wills story described on the book titled ""In the Heart of the Sea: The Tragedy of the Whaleship Essex¨ by Nathaniel Philbrick , being well written by screenwriter Charles Leavitt . The picture is a fine as well as free adaptation of the famous novel well scripted/adapted and ably realized , though full of computer generator FX . ¨In the heart of the sea¨ is an attractive tale of life on the high seas , and in particular on board a whale schooner named 'Essex' , while in the classic novel is called ¨Pequod¨ . This impressive adaptation based on Herman Melville's 1851 classic novel is vividly brought to screen . The interactions between George Pollard , Owen Chase , Matthew Joy are reminiscent of ¨Moby Dick's personages¨ as Captain Ahab , Ishmael , Starbuck , Queequeg , Daggoo , as well as the main characters of ¨Billy Budd¨, another novel written by Herman Melville , and it results to be one of the most thrilling and moving see sagas ever written . Suspense and tension of the ocean is completely captured , including enduring frames as the braving storms , famine , panic and despair , the men will call into question their deepest beliefs , from the value of their existences to the morality of their works as whale-killers . Climatic battle between the giant whale and the harpooners , it is an overwhelming piece of cinema as you are likely to watch . Charles Leavitt , Rick Jaffa , Amanda Silver wrote the story and screenplay that was partially faith to the novel . And filmmaker Ron Howard stamping this movie with epic images and thought-provoking dialogs . Enjoyable recounting , including quite a few moments that click make this top-of-the-range movie more than watchable . The FX experts created a great whale made by means of ordinary computer generator . Top-notch main and secondary cast realize extraordinary performances . Chris Hemsworth is nice as well as Benjamin Walker and Tom Holland . This marks the second collaboration between director Ron Howard and actor Chris Hemsworth , their first collaboration was Rush (2013). Phenomenal support cast , plenty of familiar faces who give perfect interpretations , such as Brendan Gleeson , Cillian Murphy , Jordi Mollà , Michelle Fairley , Paul Anderson , Frank Dillane , Joseph Mawle , Donald Sumpter , Richard Bremmer and Ben Whishaw as Herman Melville Cameraman Anthony Dod Mantle's appropriate color cinematography splendidly conveys the bleaker qualities of the chase . Exciting and thrilling musical score by Roque Baños , being filmed on location in the Canaries , where in 1956 John Huston directed the classic version starred by Gregory Peck , Richard Basehart , Harry Andrews and Orson Welles . The motion picture was compellingly directed by Ron Howard . This is the sixth film directed by Ron Howard based on a true story. The others were ""Apolo 13 (1995)"", ""A beautiful mind (2001) "", ""Cinderella Man (2005)"", ""Frost versus Nixon (2008)"" and ""Rush (2013)"". Rating : Very good , better tan average . Well worth watching .",In the Heart of the Sea
8,Coventry,"This time, the Whale is tailing YOU!",5,12 June 2021,"A film about how a writer found inspiration to complete a world-famous and best-selling classic? Sure, why not. It's not too common but not entirely unseen, neither. I remember Ken Russell's ""Gothic"" and Marc Forster's ""Finding Neverland"", and they were both reasonably interesting. And besides, the novel in question here ""Moby Dick"" and that happens to be one of the greatest stories ever penned down! Largely fictional or not, the brilliant Herman Melville novel deserves a homage. ""In the Heart of the Sea"" narrates how the young author seeks out Tom Nickerson, the last remaining survivor of the Essex; - a Massachusetts' whaling ship that sunk reputedly after being attacked by a gigantic white whale. Although reluctant at first, Nickerson eventually tells the whole story in which he was merely a supportive character. Nickerson was an inexperienced cabin boy, while the real protagonists were the heroic first mate Owen Chase and the arrogant Captain Pollard.What overcame the Essex is a captivating and compelling piece of maritime history, and director Ron Howard is a terrific storyteller, but for my personal taste the film is much too digital, and much too computer engineered. One of the reasons why ""Moby Dick"" - more than 65 years old already - ranks among my favorite movies of all times is because it features such astonishing photography and authentic location work. The storms, the shipwrecks and the whale attacks in ""In the Heart of the Sea"" look too fake, period. The sperm whale, although really big for sure, isn't the least bit menacing. The performances are quite good, notably from Cillian Murphy and the young Tom Holland.",In the Heart of the Sea
9,Theo Robertson,A Rather Rudimentary Nantucket Sleighride,6,21 December 2015,"Good idea for a film . Take a source based upon the true account of the sinking of the whaling ship Essex that inspired Hermann Melville to write MOBY DICK . The incident also inspired prog-rock band mountain to write a track on their 1971 album called Nantucket sleighride which probably won't mean anything to most people reading this but Brits of a certain age know the instrumental break from the track as being the theme tune to WEEKEND WORLD and if nothing else probably explains why I developed a keen interest in politics and current affairs from an early age . On top of that we've got an Oscar winning director filming a cast of mainly British character actors in a story of epic adventure . What can go wrong ? To be fair there's not much wrong with IN THE HEART OF THE SEA but you're left feeling that things might have been done better , especially the element of human drama . This element is touched upon but never fully developed . Owen Chase finds himself coming in to serious conflict with Captain Pollard not in a dissimilar manner Captain Bligh and Fletcher Christian might have had on the Bounty but this is never explored because the film concentrates on a whale hunt . Stabbing sea-borne mammals to death with harpoons in order to capture the oil in their bodies probably won't go down well with a 21st Century audience but one would have thought more attention might have been paid to the human characters especially if they're going to find themselves in hot water later on . Instead everything involving the crew is skated over a bit too lightly Ah that's what the film's major failing is - it's sacrificed characterisation and everything else for spectacle . There's nothing necessarily wrong with this and it's not immediately noticeable on screen but much of this is achieved via CGI and green-screen . Again let me re-emphasise that this doesn't look like an amateur CGI fest you'd see on the SyFy channel but I've just had the pleasure of watching THE REVENANT a similar story of man versus nature from the same time period and some of the scenes there had me literally gasping ""WOW"" out loud . With IN THE HEART OF THE SEA I really didn't get the same reaction probably because it's a Hollywood blockbuster that tries hard but doesn't try hard enough to be different from every other Hollywood blockbuster from the last few years",In the Heart of the Sea
