,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Either I am a complete idiot (it IS possible) or this movie was incredibly boring....or both!,4,26 April 2012,"I have a VERY high ability to pay attention to very long films (having seen all of the Russian version of ""War and Peace"" at 414 minutes---TWICE, as well as ""The Winds of War"" and ""War and Remembrance"" at 883 and 1620 minutes each), although I could not stick with ""Tinker Tailor Soldier Spy"". I even tried watching this film on two different occasions--and just found my mind wandering. It isn't that the acting is bad (the film is made up of wonderful actors such as John Hurt and Colin Firth). And, perhaps it isn't because the story sucks--as a bazillion copies of the book have been sold and it also was a very successful British TV series. No, to me the trouble is the mood. The director chose to film the movie in the most somber manner possible. As a result, despite being a spy film, there is almost no energy. And everything is GRAY--very, very gray. Despite 1973 being a year known for its outrageous colors, everyone in the film wears gray and brown suits---and even the brown looked rather gray! This, combined with oppressively dismal music just made this a very unpleasant viewing experience for me. So unpleasant, I just didn't care at all for the characters and was kind of hoping international Communism would win JUST to shake it up and provide some interest!! I know the film was Oscar-nominated and folks love it based on the reviews I read, but apart from ""Tree of Life"", I can't think of a duller film that's received a nomination in recent years. I really wanted to like this.",Tinker Tailor Soldier Spy
1,TheLittleSongbird,"One of my most anticipated movies of the year, and I wasn't let down!",9,17 September 2011,"Ever since I first heard of this Tinker Tailor Soldier Spy, I knew I wanted to see it. Primarily because of the cast, with Gary Oldman and John Hurt two of the best underrated actors today, Colin Firth a vast majority of the time delivering solid to marvellous work, Mark Strong who impresses me more and more every time I see him and Tom Hardy and Benedict Cumberbatch two of the most promising young stars working now.Another point of interest is its source material and the 1979 version. At first, I did find the book somewhat a slow-burner and not to easy to get into. On repeat readings however, I do find it a compelling and very interesting piece of work. I had heard much about the 1979 version, and when I saw it I was more than impressed. It was tense, involving, I connected to the characters and Alec Guinness' performance in it for me was one of his most memorable and iconic of his very great career.About this Tinker Tailor Soldier Spy it did have a lot to live up to, considering how great the book and the Alec Guinness version were. And I think it succeeds, it admirably condenses a very difficult book which I imagine is a daunting task, and does extremely well on its own merits too(which is how I will judge the film). At first, like the book it is a slow-burner to start with, but once the tension rises, the story gets going and more characters introduced the film becomes more absorbing. The ending I agree was a little rushed, but I personally didn't find it too convoluted.I did find that Tinker Tailor Soldier Spy was very well made. The period recreation was wonderfully evoked, and even better than that it was authentic. The cinematography was also impressive, perhaps grainy, but it did suit the gritty, menacing tone of the film and atmosphere very well. The music is electrifying, it does play a subtle part in some scenes but also adds to any scene that is tense or shocking. The direction consistently is assured and don't fall into the trap of being too artsy.The script is thoughtful and has the basic feel of the prose of the book. The story as I have said is slow to start with, and it is a good idea for those who haven't read the book or seen the 1979 version to have a good enough idea of it before watching, but the number of shocking scenes such as the killing of Hardy's love interest and Firth's character's demise and the atmosphere throughout kept me interested and thrilled. Also the part where Ciaron Hinds' character hums the George Formby song, it was terrifying in a way that they'd been listening in but Cumberbatch's face was a picture! The pace is solid, alive to nuances and doesn't plod so much as for me to call it dull or something like that.Characterisation wise, Tinker Tailor Soldier Spy isn't as good as the 1979 version or the book even, but in many ways I can understand. The 1979 version did have more time and room to delve more into the characters. That said, I do commend the film in doing what it could to make the characters interesting and perhaps complex and I think any ""slow"" pacing helped with this rather than hindered it. I also loved that the emotion in this film is very under the surface rather than hard hitting. The acting is excellent.Gary Oldman is superb, George Smiley is perhaps one of his more subtler performances, but nonetheless it is still commanding and one of my personal favourite performances of his. Of the support cast, the standouts are Tom Hardy, whose character apart from Smiley was the film's most interesting, and Mark Strong whose charisma and intensity still captivates. Benedict Cumberbatch I initially wasn't sure about in regard to age, but the acting was so great I forgot about any worries. Colin Firth gives his usual solid performance, Toby Jones also excels and Kathy Burke does well in a hard role. John Hurt gives his all into what he's got, which goes to show how good an actor he is, he's got some good lines and excellent delivery but the character isn't as developed well or as natural as the rest.Overall, a very interesting and well done movie. It was one of my most anticipated movies of the year, and it ended up being one of my favourites too, which is saying a lot seeing how hit-and-miss so far 2011 has been for movies. 9/10 Bethany Cox",Tinker Tailor Soldier Spy
2,Leofwine_draca,No emotional investment,2,4 August 2012,"I like to invest with the characters I see in films. I like to experiencing what they're feeling, go with them on a journey, feel like I'm living their life as it plays out on screen. I like to laugh with them, cry with them, go psycho with them. Even the Japanese stone-face films of Beat Takeshi figure out clever ways to show the hidden emotions, the ones lurking behind the featureless faces.Sadly, TINKER TAILOR SOLDIER SPY is a film that offers absolutely zero emotional investment on the part of any of its characters. You simply don't care about any of them - in particular the lead, George Smiley, played by Gary Oldman. You know, I remember the days when Oldman used to fire up Hollywood with his blazing performances in the likes of LEON. These days, on the strength of this and his turns in the BATMAN films, he's simply a bore.The story is s-l-o-w and drawn out unnecessarily to no great end. It's also overly complex, and the script takes great delight in tricking the viewer with one unbelievable plot twist after another. I wasn't expecting another Bourne or Bond, but I was expecting characters I cared about in dramatic situations. I got neither. Tomas Alfredson, of the excellent LET THE RIGHT ONE IN (a film where, you know, I cared about what happened to the people in it) directs a film of an admitted icy beauty, but I can look at the ice formations in my freezer if I want to see that.Yes, the cast is good. Yes, it's a film that takes a more original approach to the spy genre than most as of late. But is it a good film? Not by a long shot. By the end, I was so uninvolved that I didn't even take note of who the real spy was - by that stage I was long past caring...",Tinker Tailor Soldier Spy
3,SnoopyStyle,This is no 007,8,18 August 2013,"It's the 70's in the world of British Intelligence. One of their four senior operative is suspected to be a Russian mole. George Smiley codename Beggarman (Gary Oldman) was forced into retirement but brought back in to hunt down the mole. Percy Alleline (Toby Jones) is codenamed Tinker. Bill Haydon (Colin Firth) is Tailor. Roy Bland (Ciarán Hinds) is Soldier.If 007 James Bond is the glitzy fanciful action hero spy in an unreal world, then John le Carré writes the exact opposite vision of the spy world. His is a murky, morally corrupt, unsatisfying world. And that's what we have here. The actors are beyond reproach. It's full of double speak, lies, and misdirections. Can they truly figure it all out? It's a great head scratching watch.",Tinker Tailor Soldier Spy
4,Hitchcoc,Cold War Chills,7,27 May 2012,"You know. When you are dealing with a complex writer like LeCarre, you are going to get a complex movie. Unfortunately, to the casual viewer, there's an awful lot that is going on that is grounded in the long dark past. While the story of the search for a mole in the network is a valid pivot point, there are so many intricacies that you are left to guess. Perhaps I am not that bright, but I need a bit more. I guess the question is, do I need a George Smiley playbook or a stack of books to follow this film. If that's the case, how many people can appreciate this? The time period in issue is really in the fairly distant past. I have to agree that so much of what we see is really dumbed down, but when the plots are so slowly developed and depend on so much inside stuff, even the astute viewer is left in the lurch. It isn't that I didn't like it. But I may have to give it another shot to really appreciate it.",Tinker Tailor Soldier Spy
5,Horst_In_Translation,"Great premise, but ultimately quite a disappointment",4,9 January 2020,"""Tinker Tailor Soldier Spy"" is a British film from 2011, so almost a decade old already now, and this one runs for slightly over two hours. This may sound a lot, but taking into account the original release was a miniseries back in the 1970s that ran for almost 5 hours, it puts things into perspective. I also can see why they struggle here because honestly content-wise it felt as if they weren't even close to elaborating on the characters the way they should have to make this a satisfying, let alone great, watch. Anyway, first the basics: The director is Tomas Alfredson from Sweden and I absolutely loved his earlier work ""Låt den rätte komma in"", which is probably still his most known work, but then this one here follows. TTSS is based on a novel by John le Carré and he was (despite his then already old age) also an executive producer for this movie, so I suppose he was happy with the outcome. At least critics liked it, more than the average imdb voter for sure. And so did awards bodies because this one was nominated for three Oscars (lead actor, score, screenplay), but it did not manage to win any. Well, I would say it did not even deserve the nominations. The screenplay nod is probably the worst (come on, it is two writers they should have seen how this went all kinds of wrong), but also Oldman was not really as good in here as he has been in other projects. I like the man and I am glad he won an Oscar, but here he was not hitting the right notes all the time. Also pretty embarrassing that I read some people say he should have won. The score nomination is maybe the only one that is not entirely undeserving. As for the cast, it is a pretty spectacular list. I will not mention them all as you can check the names out for yourself, but let me say from my subjective perspective there were actors in here I quite like (Hinds, wish he had more screen time) and others I did not like (Cumberbatch). It's maybe not the worst performance of his career, but I thought he was weak as always. Of course the script also did not do him any favors. Come on, are we really supposed to believe this weakling dares to and manages to punch a hunk like Tom Hardy. I mean Hardy was not Bane level back then yet, but still really ridiculous. As for Hardy, he was somewhat the only one I felt was a bit out of place because this is a very English movie and I mean he looks Russian, maybe French, and feels American , which is pretty strange because he is English. But I never saw him as an actor to the Crown. Still his story with the girl he falls for is among the film's better inclusions, but also really only because this film has many really weak moments and not because these scenes are particularly good.Colin Firth is an actor I am always pretty unsure if I like him or not. He has great recognition value and this film was made right after he won his Oscar for ""The King's Speech"". He is okay overall I guess, but like almost everybody else in here, he does not have too much to work with. When in the end we find out he is the one they have been looking for, i.e. the rat, it went all kinds of wrong. It felt they just picked him because he is the most known cast member. And like I said neither him, nor Hinds or Jones (another actor I like) etc. get the character elaboration they deserve, so it felt like basically just the audience waiting until Oldman's lead character is kind enough to reveal the identity of the black sheep to us. Like how we find out that he knew very early who did it. But there is no audience involvement whatsoever. The character does not take us on a journey with him as he gets closer to discovering the truth. Instead we get constant character interactions that sometimes drift completely away from the subject and the script feels just so messy. This applies as well to Strong's character and his story line about seemingly being killed, then still being a major part of the film constantly. The longer it goes, the more prominently he is featured. But he adds literally nothing, be it when he kills the bird in front of all the children or bonds with one kid, who is an outsider too, only to push him away in the end. And the worst is probably his killshot at Firth' character. Now that was really when the film hit rock-bottom. I have rarely seen an ending that feels so shocking for the sake of it that people leave the theater with this spectacular moment in their minds and maybe forget about all the mediocrity before that. It was just bad. Still, in-between it was alright here and there thanks to some scenes and pretty cool (nick)names like Control and a female first name synonym for the enemy, but even when it comes to the latter, they messed up in the end and failed to deliver an interesting solution or at least explanation there. Like I said in the title, this film really had some nice potential I think in terms of the cast, but also in terms of the story. What they turned it into is really disappointing. In-between, I occasionally had moments during whichI felt that maybe if it stays as solid as it was this exact moment, then perhaps I can give it 3 stars out of 5 and a positive recommendation, but at the end it wasn't a close call anymore because of how they messed up again. I can see why this film is moving closer to the 6 left of the comma here on imdb. And that would still be too high I believe. I have not read the novel this is based on, so not sure if I just don't like the base material or the approach they took here. Oh well, like I said le Carré was involved with the production here too, so I cannot go too easy on him in any case. I just believe that for one average-length movie it is very difficult to turn the base material here into quality and maybe I will check out the old miniseries at some point to see if that is better. I am actually not sure if this was the the first time I watched this movie here, could be that I saw it back then briefly after its release, but the fact that I am not sure already shows you that I did not find it memorable whatsoever back then either (if I saw it at all) and it sure does not get better on rewatch. I give it a thumbs-down. Not even worth checking out for an Oldman fan like myself. And normally I even like spy thrillers too. But they messed up too much here. Attention to detail can be seen on some occasions, but if the core story is so shoddy and lacks focus this much, attention to detail when it comes to minor aspects cannot save the film. Watch something else instead.",Tinker Tailor Soldier Spy
6,Prismark10,Smiley's catch,8,25 August 2014,"Tinker Tailor Soldier Spy is a best selling novel, turned to an award winning BBC television serial and now a condensed version has been turned to a film with a masterful performance by Gary Oldman at the centre.The film is effectively a 1970s British noir, a 'whodunit' as veteran spy George Smiley is brought back into the secret service to flush out a Soviet mole. Oldman has to bring a different take on Smiley from Alec Guinness and manages to bring a stillness where you try to figure out what he is thinking inside his head.Swedish Director Tomas Alfredson brings a stylistic retro view of the past and relies on actors such as Mark Strong, Tom Hardy, Colin Firth, Kathy Burke, Benedict Cumberbatch to bring out nuggets of their characters as Smiley gets closer to unearth the mole.The film has its detractors, those who have read the book or viewed the TV series felt short changed as the film had to cut out lot of the material. Karla is unseen and some may view Mrs Smiley being virtually invisible when her behaviour is fundamental to the plot.However the film has to be seen in its own merits and its a slow, thoughtful and a deceptively good version, finely acted.",Tinker Tailor Soldier Spy
7,kosmasp,Behind Glasses,9,23 March 2012,"I haven't seen the original mini-TV-series from the UK, so I can't judge the movie on behalf of that nor compare it to it. What I can say, is that this movie has superior acting in it, a story that does condone repeated viewing and just enough ""action"" to make it work. Why do I say the latter? Because there are a lot of people who'll dismiss this as talking heads movie. And this perception is not really wrong, because if you really want to see action and stunts and all that, than you shouldn't watch this movie.On the other hand, the talking heads do an amazing job and every nuance in their performance is just great. While you might find yourself struggling to follow the story, it all will be revealed by the end. One of my favorites of 2011, this movie has a lot going for it, tension being one of those things. Great directing job, something you could expect",Tinker Tailor Soldier Spy
8,classicsoncall,"""Nothing is genuine anymore.""",8,18 December 2012,"Without question, this is a film I'll have to watch another half dozen times or so to really know what's going on; the first two times just wasn't enough. And yet the story develops so methodically that it's impossible to divert one's attention because you know you'll miss something. Some will complain about the pacing and the non-linear story telling style but I found those elements drawing me in and forcing me to pay attention. Yet there's still that gnawing feeling that the film fell a clue or two short of allowing the viewer to figure out who the mole was sending information back to the Russians. In updated Charlie Chan fashion, Smiley (Gary Oldman) puts it all together but I really wanted to figure it out for myself, and so far I haven't been able to do it after a couple of tries. This is a quality film with excellent portrayals by a talented cast, so I'll be back again at some point. The haunting foreign rendition of ""Beyond the Sea"" at the finale was the icing on the cake for me.",Tinker Tailor Soldier Spy
9,gavin6942,Excellent Spy Thriller and Mystery,8,21 April 2013,"In the bleak days of the Cold War, espionage veteran George Smiley (Gary Oldman) is forced from semi-retirement to uncover a Soviet agent within MI6.Other reviewers have complained that the film is too ""obtuse"", and in fact the movie was recommended to me because the person who watched it did not know what they had seen and wanted to know if I could figure it out any better. And yes, it takes a while to get the timeline and characters straight.But I think this is a strong movie for just that reason. While not the fun, feel-good movie of the year, it is an intelligent spy mystery. You might have to watch it two or three times to really figure out who is working for who. And you may as well -- the actors are incredible, the cinematography gorgeous. Heck, it might even take a second viewing to figure out what ""circus"" and ""witchcraft"" are.Ebert wrote that the film ""looks, sounds and feels exactly right."" That about sums it up.",Tinker Tailor Soldier Spy
