,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Seth is not a good comic actor,5,12 March 2015,"It's 1882 in the small town of Old Stump, Arizona. Albert (Seth MacFarlane) is not a manly man and not a particularly good sheep farmer. His girlfriend Louise (Amanda Seyfried) breaks up with him for Foy (Neil Patrick Harris). His best friends are Edward (Giovanni Ribisi) and his prostitute girlfriend Ruth (Sarah Silverman). Clinch Leatherwood (Liam Neeson) is a ruthless bandit who places his wife Anna (Charlize Theron) in town. Albert befriends Anna who is looking for a nice guy.I have come to conclude that Seth MacFarlane is not a good comic actor. He's a good writer and is good with his voice. Here, he does poorly enough to make me question whether he's even actually a good director. He's just not expressive enough to be a performer. He's not leading man material. Without a real comic in the lead, Charlize Theron is put into an unenviable position to be funny. She's quite charming as the female Seth playing the dude in the relationship. Her cool-chick fun personality gives life to this movie but she is still not the lead. The two of them have good friendship chemistry together. There isn't much heat in the romance. I imagine many standup comedians and other actors could have excelled in this role. Seth is not the guy.",A Million Ways to Die in the West
1,Prismark10,Blazing photographers,4,14 September 2014,"First of all this is one of these films that showed all in its trailers, the good jokes that is.Secondly, Seth MacFarlane does not have enough to be a leading man and it needed another comedy actor to make the best of this film.Thirdly the story was let down when it lapses into frequent dullness. It needed to be sharper and wittier.What we have is a homage to the westerns mixed with low brow humour. Hold on, I think Blazing Saddles did this better.Amanda Seyfried and Charlize Theron are both appealing enough, Neil Patrick Harris gets into the spirit with a few off jokes and a song and dance number. Neeson plays it straight as the villain and there are a few cameos but its a poor show when the toilet humour are the best gags.",A Million Ways to Die in the West
2,nogodnomasters,If You've Only Got a Moustache,7,12 October 2018,"When you combine Seth MacFarlane with some major stars, you pretty much know what you are going to get: A crude comedy with some great scenes and a lot of scenes that don't work. This film is no different. The movie looks like it might be a spoof of the western film genre, but isn't. Its humor is generated from the crude anachronistic language, similar to Mel Brook's superior film ""History of the World..."" Some of the lines that didn't work were, ""You really shouldn't drink and horse.""Perhaps the biggest downer of the film was that Seth played the lead actor instead of hiring someone like Zach Galifianakis. Now if you don't think there were a million ways to die, Albert (Seth MacFarlane) gives us a head start on the list. The crude Sarah Silverman dialogue was perhaps the funniest part of the film. I always like it when she talks dirty.Fans of ""Ted"" should enjoy this film.Parental Guide: Excessive F-bombs. Sex. Rear male nudity...with a daisy",A Million Ways to Die in the West
3,kosmasp,Million ways to Ted in the West,6,20 September 2014,"No wait. This isn't Ted! Don't even think about Ted (until the sequel comes out that is, which might have happened by the time you read this). No try to watch this as what it is: a juvenile attempt to make a funny western movie. Which in parts does succeed. I'm not particular into all those fart jokes and whatnot, but the audience I was watching it with, was laughing almost all the time, so he must have done something right (at least).Now Sarah Silverman is known for having a potty mouth, shouldn't be a surprise either. One of the few surprises comes in the middle of the movie, inside a barn and with a quick cameo. Although it only really works, if you know and understand what this is about ... a nice touch for sure though. But that does not save the movie, neither does the added ending with another cameo and another reference (though much ""fresher""). Didn't catch it immediately, but someone in the audience did explain it to the rest. Not a bad effort, but maybe the high expectations made it fail in the end ...",A Million Ways to Die in the West
4,classicsoncall,"""What is there to live for on the frontier in 1882?""",7,1 February 2015,"I wasn't counting but I don't think there were a million ways to die here. What you have though is the ""Bad Santa"" of Western movies, a veritable ""Blazing Saddles"" on steroids by the time this thing runs it's course. I'm not big on the toilet humor aspects of the dialog here, but a lot of the picture actually was funny, leaving me more positive than negative on the movie. What MacFarlane's not afraid to do is take all the stereotypical PC nonsense and stand it on it's head, like you have in the runaway slave shooting gallery and the Islamic Death Chant. Maybe there was some outrage over this stuff when the flick came out but I didn't hear about it, but as you can see I'm a little late to this party. There was some clever stuff in the picture like the 'nobody's got a dollar' bit, the picture of the smiling guy, and the cowboy midgets, reminiscent of a real old time flick from 1938 - ""The Terror of Tiny Town"" with an all midget cast for a Western. Also somewhat derivative is the final showdown, hearkening back to the Gene Hackman/Sharon Stone spoof from 1995, ""The Quick and The Dead"". For me, the rapid fire one liners and snappy dialog get my attention, and total nonsense like Christopher Lloyd's cameo is always a treat. It shows that Seth MacFarlane is all over the place as a writer and nothing is too goofy that can't be worked into a script. I wonder what Clint Eastwood thought of Clinch Leatherwood.",A Million Ways to Die in the West
5,lee_eisenberg,Who hasn't wanted to picture the Old West as a bastion of teenage boy humor?,10,14 December 2014,"If you know that Seth MacFarlane is the creator of ""Family Guy"", then you'll have an idea of what ""A Million Ways to Die in the West"" contains. Executive producing this year's ""Cosmos"" showed that he has a serious side, but his silliness is on full display here with him in the lead role. The movie shows what the Old West would've been like had it been the brainchild of 10- to 14-year-old boys. Not even ""Blazing Saddles"" showed the stuff that we see here! I found Sarah Silverman's character to be the funniest, speaking as casually as she does about oral and anal sex. As for scenes, I liked the whole sequence with the Indians the best. But the movie always knows which kind of movie it is. ""AMWTDITW"" definitely won't be for everyone, but if you can accept nonstop crude humor then you'll enjoy it. And you're bound to find Charlize Theron and Amanda Seyfried both really hot.Nerd a--hole. Ha!",A Million Ways to Die in the West
6,jboothmillard,A Million Ways to Die in the West,8,10 June 2014,"I saw a short trailer for this film, and as soon as I saw the leading star, also director, and the scenario, and having enjoyed his previous live action comedy Ted, I was absolutely looking forward to seeing this film. Basically in 1882, in the town of Old Stump, Arizona, cowardly sheep farmer Albert (Seth MacFarlane) is dumped by his girlfriend Louise (Amanda Seyfried) following his refusal to fight in a gun duel, his only friends are inadequate Edward (Giovanni Ribisi) and his openly prostituting wife Ruth (Sarah Silverman), Albert plans to leave for San Francisco, believing the frontier has nothing more for him. Meanwhile infamous outlaw Clinch Leatherwood (Liam Neeson) has robbed and killed an Old Prospector (Back to the Future Part III's Matt Clark) to steal his gold nugget, he wants to leave to continue his banditry, so he orders his man Lewis (Jarhead's Evan Jones) to take his wife Anna (Charlize Theron) to the town to lay low, they pretend to be out of town siblings wanting to buy a farm. Lewis gets arrested for starting a bar fight, Albert saves Anna from it, and they form a friendship, and decide to go to the town fair together, whether they encounter Louise and her new boyfriend, moustache emporium owner Foy (Neil Patrick Harris), he challenges Albert to a shooting contest, which he loses, Anna steps in and defeats him, but following insults Albert angrily challenges Foy to a duel. With a week until the duel Anna teaches Albert how to shoot, and in the evening they attend a dance, where he is again humiliated by Foy with a song called ""If You've Only Got a Moustache"", but she spikes his drink with laxative, on the way home Anna and Albert share a kiss, which is witnessed by Lewis who broke out of jail and murdered the Sheriff (Rex Linn, also the Narrator), he tells this to Clinch. On the day of the duel Foy arrives stumbling and defecating violently, but Albert has realised Louise is no longer worth fighting for anymore and again forfeits a fight, but in the saloon Clinch arrives and demands to know who kissed his wife, he shoots a cowboy when no-one comes forward, Anna is revealed as his wife, and he threatens to kill more people if the guilty man duels with him at the noon the next day. Away from town Anna is forced by her husband to reveal it was Albert who kissed her, but before he can rape her she knocks him unconscious, she goes to Albert's farm where he confronts her, and then Clinch returns and recaptures her, while Albert escapes, only to be ambushed and captured by a tribe of Native Americans/Indians. The tribe threaten to burn him alive, but he saves himself speaking their language, and settling with them they give him hallucinogenic drugs that give him crazy visions of his childhood, and making him realise his love for Anna, and following this Albert returns to face Clinch, he shoots the bandit in the arm, and he dies slowly as the bullet was poisoned with rattlesnake venom, in the end Louise tries to win Albert back, having proved himself brave, but he rejects her and enters a relationship with Anna. Also starring The Last of the Mohicans' Wes Studi as Cochise, Christopher Hagen as George Stark, Family Guy's Alex Borstein as Millie and Bill Maher as Barn Dance Comedian, with cameos by Christopher Lloyd as Doc Brown mocking the western plot line of Back to the Future Part III, Aladdin's Gilbert Gottfried as Abraham Lincoln, Ewan McGregor as Cowboy at Fair (I didn't see him), Ryan Reynolds as the Man Killed by Clinch in the Bar, Sir Patrick Stewart as the Dream Voice, and Jamie Foxx as Django mocking the Django Unchained avenging of black slavery in the west. MacFarlane is likable as the frontier nerd, Theron is great being sassy and sexy, Neeson does well as the Irish villain, and spotting the genius cameos is fun, this is definitely the Blazing Saddles for the modern times, set in the Wild West, but with modern bad language and attitude, the best and most common jokes are the deaths and bodily functions, with some entertaining action thrown in, a really funny western comedy. Very good!",A Million Ways to Die in the West
7,paul_haakonsen,Could have been more enjoyable without the foul language...,5,31 August 2014,"I will say that the movie did have potential, and it did have a great story, just a shame that it was ruined by profoundly by below the belt jokes and foul language. Now, I am not one to frown upon foul language, but it was really inappropriate and misplaced in a western movie. And there was also a lot of things that were quite politically incorrect, so if you are easily offended, this movie might not just be for you.The story is about a sheep farmer named Albert who is dumped by his girlfriend Louise. He befriends a mysterious newcomer woman in town and finds out that she is the wife of a notorious gunslinger.The comedy throughout the movie was good enough, but mind you that there is a lot of jokes below the belt, and it is all accompanied by foul language. I laughed here and there, but it was starting to become too much and too immature towards the end.The acting in the movie was good, and Liam Neeson and Charlize Theron really carried the movie quite well.What was best about the movie was the cameo appearances throughout the course of the movie. You have Ewan McGregor, Ryan Reynolds, Patrick Stewart, Bill Maher, Jamie Foxx, but the best and most memorable appearance was Christopher Lloyd. And they reference to Mila Kunis during the scene with the Indians was also quite nice.The segment at the fair was without a doubt the best part of the entire movie.Overall, then I had initially expected much more from this movie, and having seen it, I must admit that I feel a little bit disappointed and cheated out of something that could have been so much more. If they had opted to not go with the foul language and excessive usage of the f-word, then just there the movie would have been much more enjoyable.""A Million Ways to Die in the West"" scores a mediocre 5 out of 10 stars from me.",A Million Ways to Die in the West
8,tavm,"With the many clever ways to present vulgar humor, I liked A Milllion Ways to Die in the West",7,10 June 2014,"Since I watched Ted about a year or so ago, I became aware of this Seth McFarlane more and more especially when he hosted the Oscars last year. I found him often clever and funny even with his take on many vulgarities which he continues with this movie. Since he co-wrote, directed, and is the leading player here, he should get credit for not only continuing to provide funny scenes and lines for his players but also some for himself especially when he rants on certain facts or just makes stuff up. There was also a cameo from another movie from the '80s that I was very pleasantly surprised by! So on that note, I recommend A Million Ways to Die in the West.",A Million Ways to Die in the West
9,edwagreen,Disgusting *,2,20 May 2015,"It's supposedly 1882 and Seth MacFarlane talks as though he is in current times and his constant use of profanity does not help matters either.Every conceivable way of dying in the most unusual ways are shown here. There are some disgusting scenes and for those who think they're comical, we have to set up some standards of morality.I don't know how Liam Neeson ever considered such a part in such a gross film.When you take all the vulgarity and nonsense away from the film, all you'd have is a simple tale of a gunslinger out to get his wife back and kill the guy with her.",A Million Ways to Die in the West
