,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,The first and best of the series,8,4 October 2010,"While decidedly languid and a tad too short, this is the first and best of the tales about the Australian living legend. The scenery and cinematography are very nice, and there are entertaining and somewhat informative parts in the script. The story is engaging too, and has both funny and quite tense bits. The direction is fine, and the acting is good enough. Paul Hogan is a very likable, charismatic and funny hero, and Linda Kozslowski is decent support. As for the sequels, the second was inferior but passable but the third isn't really worth bothering with. This though, while not perfect is the real deal and works as solid entertainment. 8/10 Bethany Cox",Crocodile Dundee
1,Leofwine_draca,Classic fish-out-of-water comedy,6,28 October 2017,"CROCODILE DUNDEE is a film every bit as likable and laid back as its main character. It's really the love child of Paul Hogan, who really had no career of any kind outside of this role. CROCODILE DUNDEE is a classic fish-out-of-water comedy in which an adventurer from the Australian outback arrives in New York and proceeds to experience a vivid kind of culture shock. I normally don't care for romantic comedies, but this one's genuinely funny, with sharp one-liners and edgy humour that wouldn't pass muster these days. Hogan is excellent in the part and dripping with charisma, while Linda Kozlowski makes an impact in what could have been an insipid part. Watch out for David Gulpilil's cameo, the funniest part of the film for me.",Crocodile Dundee
2,SnoopyStyle,Fun iconic cheesy character of the 80s,7,10 August 2014,"Sue Charlton (Linda Kozlowski) is a Newsday writer who was due back already but she hears a story about Michael J. ""Crocodile"" Dundee (Paul Hogan) who survived a crocodile attack in the Australian outback. He's a guide with his best friend Walter Reilly (John Meillon) based out of Walkabout Creek. He takes her out to the outback encountering aboriginal friend Neville Bell (David Gulpilil). She falls for Dundee and takes him back to NYC. Her overbearing boss Richard Mason (Mark Blum) is her boyfriend back home.I love the sly humor taking shots at some of stereotypes. Of course, it created one of the most iconic stereotypical character of the 80s. Some of humor is still there but much of it is dated. It's still a charmer and a fun movie. I do wish they limit some of the modern world jokes. They don't all work if they keep doing them. It's a case of less is more.",Crocodile Dundee
3,gavin6942,An 80s Classic,6,16 November 2014,"An American reporter (Linda Kozlowski) goes to the Australian outback to meet an eccentric crocodile poacher (Paul Hogan) and invites him to New York City.Love it or hate it, ""Crocodile Dundee"" was a huge hit in the 1980s, and made a boatload of money. Paul Hogan is still famous today (2014), more or less just for portraying this single role. That is rather impressive.Some parts of the film are pretty funny, while others are a tad boring. The romantic subplot tends to drag down the pace and humor, and actually ends up making the film not nearly as good as it could have been. This is one of the few ""classics"" that has been outdone by its sequel.",Crocodile Dundee
4,lee_eisenberg,"ironically, as a result, the Australian people are a little ticked off at Paul Hogan",7,8 October 2007,"I have to say that while ""Crocodile Dundee"" isn't the greatest movie ever, it certainly has it's moments. One might actually derive something about the theme of communication issues in Australian cinema: having spent his entire life in the Outback, Mick experiences culture shock in New York, and assumes that an African-American man is an Aborigine! A sad irony to the movie's success is the Australian people's anger at Paul Hogan. It's not just that the flick made non-Aussies view the country as people like Mick. You see, the people Down Under like to talk about cutting down the tall poppy, which means making sure that no one can consider him/herself better than everyone else. After the movie's success, Hogan's marriage collapsed and he married his co-star Linda Kozlowski. As far as the Aussies are concerned, he decided that he's better than them. Is this really what our world has come to?! But no matter. It is a pretty funny film. Sort of a precursor to ""Borat"" without all the teenage boy humor. I should say that the stuff about hunting crocs illegally made me cringe a little, but otherwise I liked it, and I'm sure that you will too.PS: Neville was played by David Gulpilil, the Aboriginal actor who also starred in ""Walkabout"", ""The Last Wave"" and ""Rabbit-Proof Fence"".",Crocodile Dundee
5,jboothmillard,"""Crocodile"" Dundee",7,4 January 2011,"The title gave me a clue about what the lead character had an association with, but other than that the only thing I knew is that he was Australian, and I had missed it a few times, then I got my chance. Basically New York reporter Sue Charlton (Golden Globe nominated Linda Kozlowski) has heard about a man who survived a crocodile attack in Australia, and she thinks it will a make a good story, so she travels out there to meet and interview the man himself. The man in question is crocodile hunter and co-owner of a safari business, Michael J. ""Crocodile"" Dundee (Golden Globe winning, and BAFTA nominated Paul Hogan, also writing) who runs the business with Walter Reilly (John Meillon), his trusted friend and mentor. The interview is pretty straight forward, so then he offers to take Sue on a tour of the park which lasts a few days, one day they are attacked by another crocodile which Mick saves her from. After learning so much about Mick during this time she certainly has enough for a story, but she thinks there will be more to add if he accepts her invitation to come back to America with her, he does. He of course has never been, so he is fascinated by the new life style he has come into, and all the different cultures of people around him, he is essentially a fish out of water. Mostly everyone he comes into contact with as he explores the city and everything it has to offer are quickly lightened up with his naivety to city life, but there are those who threaten him and he gets his large knife out to scare them off. She may be romantically involved with her boss, the dull editor Richard Mason (Mark Blum), but slowly Sue is also becoming very affectionate towards the friendly Aussie bushman. It is after being proposed to by Richard that Sue realises her true feelings, dumps her boyfriend, and with the help of two guys in the large Grand Central Station crowd she stops him leaving New York, he climbs over the people, and they share their first kiss. Also starring David Gulpilil as Neville Bell, Michael Lombard as Sam Charlton, Ritchie Singer as Con, Maggie Blinco as Ida, Steve Rackman as Donk, Gerry Skilton as Nugget, Terry Gill as Duffy, Peter Turnbull as Trevor and Khristina Totos as Rosita. Hogan is a likable character that doesn't have a bad bone, it is like Tarzan in a concrete jungle story as he ignores some taunts and outwits some villains. It is slightly questionable how this very simple film became so popular at the cinema, and spawned two sequels, it is a tiny bit overrated and overlooked possibly, but a fun and easy to reasonably easy to swallow comedy adventure. It was nominated the Oscar for Best Writing, Screenplay Written Directly for the Screen, it was nominated the BAFTA for Best Original Screenplay, and it was nominated the Golden Globe for Best Motion Picture - Comedy/Musical. It was number 55 on The Ultimate Film. Very good!",Crocodile Dundee
6,ccthemovieman-1,Winning Formula Made This A Big Hit,9,2 August 2007,"When you mix good comedy with action and a very likable leading character you get a hit movie. I never met anyone who didn't like this film, although there are always detractors to any movie and no movie is perfect, either.However, this was an extremely entertaining that made an international star out of Australian Paul Hogan. Two sequels followed this movie. They were decent but could not measure up to this effort.Not only was this a big success for Hogan and everyone else connected with it, but I believe he got a wife out of this wife, going on to marry his co-star Linda Kozlowski.As someone pointed out, Hogan, as crocodile man ""Mick Dundee"" made the rest of the world aware of a number of Aussie phrases. Few men played as manly as likeabe and charismatic a hero in the 1980s as Hogan and ""Mick."" Twenty years later, this is still a fun movie to watch now and then.",Crocodile Dundee
7,Quinoa1984,One of the best treats of the 80's,8,20 April 2001,"For someone who loves to see the ridiculous and often shameful displays of comedy, it is actually pleasing for someone to view a treat such as this film.  Crocodile Dundee is a classic 80's comedy about a New York paper writer who goes to Australia to get a story, and finds it in Mick Dundee, a legend in his own area as a croc wrangler and master of the outback.  But then, she decides to show him the rest of the world- really New York, where he fits in like Janet Reno in a size 4 cat suit.There are many memorable scenes with Hogan as the Croc man, many in New York (the that's not a knife, this is a knife is fokelore at this point), though there are some others in the Outback scenes.  Also, Linda Kozlowski is one hot piece here and she is a good love interest for Hogan.  Quite the comedy. A",Crocodile Dundee
8,bevo-13678,The original and the best,10,30 March 2020,Bloody funny Rom com. Easily the best crocodile Dundee. Perfect ending,Crocodile Dundee
9,hitchcockthelegend,He went walkabout.,8,29 November 2009,"New York reporter Sue Charlton hears of a guy in the outback of Australia who survived an attack by a crocodile. For research she meets up with ""Crocodile Mick Dundee"" and spends time with him out in dangerous Bush Country. Finding a rapport during their time together, Sue convinces Mick to go back with her to New York, which brings interesting results as Mick becomes a big hit by treating the Big Apple, and all that comes his way, the same as he would the Outback.Crocodile Dundee has a standard fish out of water comedy premise, yet with a number of truly funny sequences and an appealing turn from Paul Hogan as Dundee, it became a monster smash hit that the cinema watching public lapped up with glee. In a decade that is often considered or debated to be the worst for film, it may just be that cinema goers were desperate for a pick me up movie? Possibly, but undoubtedly Crocodile Dundee most assuredly is that type of escapist piece. However, to give that credence would, I feel, be doing it a disservice, for in spite of the rickety concept and the obviousness of where we will ultimately end up, it has bundles of earthy charm, a charm that many can identify with.As Dundee goes about his way, meeting pimps, transsexuals and muggers et al, they are not only very funny scenes, they are also points of reference to the ever changing way of the Continents. Not that the film doesn't come dangerously close to falling into a sugary rom-com mire, but with a strong performance from Linda Kozlowski as Sue, and Hogan introducing an icon to 80s cinema, Crocodile Dundee safely hits the target that it was surely aiming for. Besides, the love story here is very easy to get on side with, to support it and hanker for this opposites attract coupling to work out.Two sequels would follow, the first one was a retread reversal and just about passable, the second one, after a gap of 13 years, was bad and evidence that the joke had long since passed. Crocodile Dundee 86 holds up well as the escapist piece of cinema that it is. A nice film to revisit every other year, for it be simple, warm, and yes, I'll say it again, damn funny. 8/10",Crocodile Dundee
