,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,A souring experience,2,14 September 2021,The film that soured me to Anne Heche and it's no surprise that her career tanked afterwards. Harrison Ford is way too old for the role and the best thing is the Danny Trejo cameo. The scenario reeks of cliche and the humour just isn't funny.,Six Days Seven Nights
1,SnoopyStyle,Ford not the rom-com type,4,12 August 2015,"Robin Monroe (Anne Heche) is an assistant editor of a fashion magazine in NYC. She goes on a tropical vacation with boyfriend Frank Martin (David Schwimmer). After accepting Frank's proposal, Robin has a quick job to supervise a photo shoot. She hops on Quinn Harris (Harrison Ford)'s plane to make the short trip but a storm forces them to crash.I've never bought Harrison Ford as a rom-com lead and this is a prime example. Although he has more chemistry with Anne Heche than David Schwimmer has with her. This is pretty standard rom-com fare. If it had better actors for this type of movie, I think this could have worked. Anne Heche also has a bit of problem with light rom-coms. There is a specific type that these two actors don't necessarily fit.Then there is the switch in tone midway through. If that's the tone, then the first half is ill-fitting. I hate that the movie keeps going back to Schwimmer. His character really doesn't work for many reasons. This movie struggles to find the right tone.",Six Days Seven Nights
2,claudio_carvalho,Lost in Paradise,7,15 October 2021,"In New York, the assistant magazine editor Robin Monroe (Anne Heche) has dinner with her boyfriend Frank Martin (David Schwimmer) that invites her to spend six days and seven nights in the paradisiacal island Makatea. When they arrive in Tahiti, they take the charter owned by the rough middle-aged pilot Quinn Harris (Harrison Ford) and assisted by his friend, the hot Angelica (Jacqueline Obradors). On the arrival in Makatea, Frank proposes Robin and gives a ring to her. However, her editor Marjorie (Allison Janney) asks Robin to fly to Tahiti to cover a story and she hires Quinn, who has the only available plane, to travel during the night. Out of the blue, the weather changes and they crash on an uninhabited island. Now they have to support each other to survive and wait for the improbable rescue.""Six Days Seven Nights"" is a funny and romantic adventure from the 90's with Harrison Ford performing the free-spirited pilot Quinny and the gorgeous and expressive Anne Heche performing the independent New York woman Robin in the lead roles. The locations are amazingly beautiful and Quinny and Robin seem to be lost in paradise. The delightful romance is highly recommended for fans of the genre. My vote is seven.Title (Brazil): ""Seis Dias, Sete Noites"" (""Six Days Seven Nights"")",Six Days Seven Nights
3,lee_eisenberg,"If the people behind this movie believed that it equalled the original ""Swept Away"", they must be stupider than we realize.",3,13 July 2006,"In one of Harrison Ford's real low points, he plays a gruff pilot who gets stranded on an uncharted island with stuffy reporter Anne Heche. While Lina Wertmuller's ""Swept Away"" did a really good job with this sort of situation (and ""Gilligan's Island"" made it really funny), ""Six Days Seven Nights"" totally bungles it. It's got to be one of the most predictable movies ever.Overall, the movie brings up two questions: why can't Harrison Ford just stick with what he's good at, and why was Anne Heche getting so many roles in the late '90s? I assume that Ford probably wants to downplay his role in this movie (although his recent roles haven't been much better: ""K-19"", ""Hollywood Homicide"" and ""Firewall""). Ditto Heche. Also starring - and embarrassing themselves - are David Schwimmer, Allison Janney, Cliff Curtis and Danny Trejo. And above all, it showed that director Ivan Reitman was truly declining, to the point that he most recently backed Arnold Schwarzenegger for California governor.All in all, avoid this one.",Six Days Seven Nights
4,jboothmillard,Six Days Seven Nights,6,27 May 2008,"From director Ivan Reitman (Twins, Evolution) this is quite a good desert island that could have been slightly better and funnier, but worth watching none the less. Basically Robin Monroe (Anne Heche) and her long time boyfriend Frank Martin (David Schwimmer) take a vacation to the tropical paradise of Makatea in the South Pacific. They arrive and are taken to their hotel by plane by middle-aged American pilot Quinn Harris (Harrison Ford), and the vacation seems to be going well, for one day anyway. Robin can't escape her work when she is needed urgently, so she pays Quinn to take her to Tahiti, but a storm stops them, and they are struck, crash landing on a deserted island. They are now fighting for their survival, constantly bickering, and eventually slowly falling for each other. Frank meanwhile is trying to get people to search for them, while at the same time being tempted by the seduction of Quinn's ""friend"" Angelica (Jacqueline Obradors). Quinn and Robin have become more close to each other, and pirates threaten them, so they have to work fast to try and get the plane to fly again. In the end, injured Quinn and Robin get back to Makatea after defeating the pirates, and Robin and Frank admit their feeling for other people, and break up, and Robin and Quinn get their ""happy ending"". Good!",Six Days Seven Nights
5,ccthemovieman-1,"The Good & Bad Of 'Six Days, Seven Nights'",7,8 August 2006,"This romantic comedy and adventure story had a bunch of good and bad things going for or against it., but overall was an enjoying story that was a pleasant diversion. I don't know if I'd own it, but it's worth watching once or twice.THE GOOD - Some tremendous South Seas island scenery; a good mix of comedy and adventure with attractive leads in Anne Heshe and Harrison Ford; and fast-moving story meaning good entertainment.THE BAD - Poor messages about fidelity and marriages; an annoying, whining character played by David Schwimmer; too heavy - for family viewing - on the profanity and cleavage.",Six Days Seven Nights
6,rmax304823,Good Thing It Wasn't Longer.,4,25 November 2015,"Ivan Reitman, the director, is usually able to pep things up but you can't breathe life into a corpse.It wasn't possible to watch this thing all the way through but it wasn't necessary either because it's all so familiar from previous versions of the bourgeois lady stranded with the handsome roughneck on the island of Sarcastica. Or is it Moribunda? The formula was an enormous success with ""It Happened One Night"" in 1934, a commercial and critical success, and a lot of fun. There were imitations of course but the pattern seemed exhausted by 1941's ""The Bride Came C.O.D.,"" which had Bette Davis sitting on a cactus. But periodically since then the coffin creaks open and another attempt to use a tried and true formula emerges. Well, what the hell. All the originals were in black and white, and nobody watches old movies anymore.I really don't mind an occasional visit to the graveyard if the zombies turn out to be entertaining, but this is not. The anger and snottiness turn to love, sure, but it's not very funny. The jokes are the kind you might find in Laurel and Hardy. The dialog is bromidic. The performances are over pitched as if in an attempt to compensate for the uninspired plot.The writers haven't bothered with credibility much, but that's okay because this is supposed to be a romantic fantasy. Still, it's momentarily painful when you realize that they didn't care whether the setting was supposed to be Polynesia or the Caribbean. Everyone speaks English, some with a French accent, others with a Spanish accent. It doesn't matter to the writers, for whom a foreign accent is a foreign accent, just like the 1940s when the heroes spoke American and the Nazis spoke British.You have to be undemanding to enjoy this but the kids should get a kick out of it.",Six Days Seven Nights
7,dbdumonteil,holidays in the sun...,5,8 May 2003,"Do you know Francis Veber? He's one of the most popular French film-maker. He owes his success thanks to a comic method which he knows the secret. It's the confrontation of two people who have got a different disposition but are compelled to cohabit together in an unfriendly environment. This situation is told in a comedy tone By telling Harrison Ford and Anne Heche's adventures, Ivan Reitman must have been influenced by Francis Veber' method. Here, a confident and bold Harrison Ford mixes with a coward Anne Heche. After a dragging beginning, the movie becomes lively and rhythmic when our two heroes are stranded on the island. It contains good and funny moments, especially when the characters are having an argument. But, it follows a predictable advance: at first, Ford and Heche can't stand each other but little by little, they learn to know each other better. It's all the more as they'll have to go through a hard time so as to leave the island. Finally, it's love that will shine them.At the end, you get a nice but colorless comedy. Nevertheless, Reitman can sustain the interest during all the movie and skilfully avoids boredom.",Six Days Seven Nights
8,blanche-2,fails the litmus test,6,7 February 2001,"The litmus test is -- if [big star] weren't in this film, could it be a TV movie?  Alas, the answer is yes.  Though very entertaining with good performances, how Six Days Seven Nights made it to the big screen eludes me. It is not original and doesn't have the kind of script one demands of a feature film.  I was just glad I didn't pay $8.50 or more to see it in the theater - but it will do well in video, where it should have gone directly in the first place.",Six Days Seven Nights
9,Quinoa1984,Good if not great romance/comedy,6,3 January 2001,"Ivan Reitman's Six Days, Seven Nights has Anne Heche as a career woman who goes ion a tropical vacation with her boyfriend, but then a problem sidetracks her to go to another island.  But then the plane crashes she's on and her pilot (Harrison Ford) and her are stuck on the island with distaste towards each other.  Ford gets a pretty good change of pace here by going to the comedy timing and there is good comic direction by veteran Reitman, but Heche brings the film down with her annoying performance.  Still, it's watchable.  B",Six Days Seven Nights
