,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"This cost $6.000.000 to make and ""Plan 9"" only cost $60,000....Mr. Wiseau needs to take some lessons from Ed Wood.",1,6 August 2011,"Tommy Wiseau...who is this guy? The IMDb biography is pretty scant and his vaguely Eastern European accent is not at all explained. What also isn't explained is how he was able to somehow get $6,000,000 to make this film--as well as HOW it could cost that much to make this movie. After all, none of the actors are professionals (and it shows), the sets look like they are the homes of Wiseau or his friends and Wiseau himself wrote/directed/starred in the film. So where did all the money go?! Perhaps some could have been spent on TVs (see the end to know what I mean). I think most young filmmakers could do just as well with $47 and a HandyCam and chimp actors! ""The Room"" seems to have nothing to do with a room. Instead, it's like a soft-core porno film where the camera gets blocked anytime you are about to see most of the nudity. I counted something like 6 sex cenes--3 of which were in the first 25 minutes!! So is the film therefore sexy--God no!! I will be nice and not make any more comments about this--you just have to see the writhing bodies to know what I mean. After all, I'm a middle-aged chubby guy and so I don't have much room to talk. But wait, I am NOT starring in a film...so yes, I can say that they were kind of scary looking--particularly Wiseau. So, if there was an award for least sexy film, this one might win....unless Ernest Borgnine made a porno.So why has this film become a cult favorite? It's the dialog....and the acting to a lesser extent. It's as if much of the dialog were written by someone with only a limited knowledge of the English language. So often the same catch phrases are repeated again and again. And often what characters say seems very, very random. And, to make it worse, the post-production dubbing is hilariously out of sync at times. Honestly, the dialog in ""Plan 9"" is no worse--especially since Wood was not trying to make a serious film--whereas ""The Room"" is deadly serious.Is it ONLY the dialog and acting? Well, no. The writing is god-awful--inconsistent, with missing plot lines AND the inexplicable need for all the men to suddenly break into a game of tossing the football--even though they are only 3-5 feet apart and even when they are in tuxedos! I can clearly understand why at L.A. showings of the film, crowd members reportedly bring footballs and toss them about during the film! And, the musical dubbing is occasionally terrible. And, the plot is dull. And, there's the problem with Wiseau's character being the greatest yutz in film history--knowing that his girlfriend is cheating on him near the beginning of the film yet continuing to stay with her AND doing the funniest temper-tantrum scene in film history late in the movie (he should have yelled ""Hulk SMASH!!!"").By the way, the film says the couple in the film have been together five years and then later in the film it says seven. Either way, considering the age of Wiseau's co-star, she would have been between 11 and 13 when they first became a couple.Also, on the DVD there is an interview with Wiseau. You must see this--the dubbing was hilarious even for this 'making of' mini-films! Plus it tries to explain the repeated use of footballs in his film! And, he wears a nice suit.In conclusion, I must quote the film. ""Why, Johnny,...why?!?...""",The Room
1,TheLittleSongbird,So inept it's not even funny,1,19 June 2011,"I have seen a lot of bad movies, some have novelty value, some are guilty pleasures and some are downright atrocious. As inept and as appalling as The Room is, for me it belongs in the unintentionally funny/complete train wreck category. The film in my opinion is quite badly made. The settings are dull in the lighting and feel very limited and overly-compact, while the cinematography and editing are some of the worst I've seen in a while. The music feels jumpy and doesn't fit with some scenes, while apart from one classic ""I feel like I'm sitting on an atomic bomb waiting for it to go off"" the dialogue is inane and painfully cheesy, the story is thinner than a sewing thread, the direction is one of the most inept directing jobs I've encountered in recent years and the film in its pace is painfully slow in many spots. The acting is also atrocious from everybody involved. Tommy Wiseau is a big reason why The Room is so bad, he shows little talent for writing or directing, while his acting fares even worse as I can't remember a single moment where he didn't make me cringe. All in all, a truly inept film, might have some novelty value, but even that can't hide how appalling The Room is. 1/10 Bethany Cox",The Room
2,SnoopyStyle,so bad,2,13 July 2017,San Francisco banker Johnny is engaged to Lisa. She is bored with him. Her mother has much advice. Lisa starts an affair with Johnny's best friend Mark. Neighbor kid Denny keeps making passes at her. He has a run-in with a thug. There is Lisa's friend Michelle and her boyfriend Mike. They all have subplots which are barely followable.I hoped for a comically bad movie. This fulfills the need for being bad but it's hard to laugh when the movie is flailing away like this. The plot is chaotic and disjointed. The writing is awful. There are story threads that go everywhere and nowhere. The dialog is clunky accentuated by the amateurish acting. The worst is Tommy Wiseau's outrageous bad over-acting. He shocks me into laughing. Most everything else leaves me scratching my head.,The Room
3,claudio_carvalho,This Is Really a Very Bad Movie,1,13 February 2018,"After watching James Franco´s ""The Disaster Artist"", it is mandatory to any curious viewer to see ""The Room"" (2003) despite the bad expectations. ""The Room"" is a terrible amateurish movie that becomes hilarious and cult so bad it is. The story is absolutely silly, without continuity and laughable dialogs giving the sensation that was written by a high-school teenager. The cast is amateurish and ham, probably ashamed and embarrassed with their lines and their names in the credits. My vote is one (awful).Title (Brazil): Not Available",The Room
4,kosmasp,Disaster movie,3,17 January 2018,"Now I did not watch this when it came, I even avoided watching it until a couple of days ago. I wanted to see this before going into Disaster Artist (more on that movie on it's own page). Now before watching Disaster Artist I was thinking rating this a 1. Then I was like 1 sounds too much like so bad it's actually good, so I decided to go with a 2. And after Disaster Artist and some background on certain things, I'm willing to go for a 3.Why you may ask? Well, if you watch this with a couple of friends or strangerrs, this can be quite the experience. It's not about quality here (certainly not acting or script, the amount of repetition is suffocating and obnoxious to say the least), but about an experience with others about a really bad movie, that was meant to be a drama. Well I guess it's still a Drama, but not in the conventionnal sense.Tommy is really bad and it seems he has to be dubbed at times. There are quite a few ""What the ..."" moments. Tommys laugh is ... curious? Definitely very unique. There's no real story and there are 3 to 4 sex scenes in the first 20 minutes of the movie. But worry not (or do?), it changes pace from there. But there is nudity applenty, especially Tommys bare behind, and a strange position to have actual intercourse is being revealed too. Or at least a anatomically incorrect penetration spot if you want to call it that. Now that may sound just crazy, but some will find this very amusing.You can obviously watch just Highlights of this, but you will never know how bad it really is, if you don't watch it fully, to get the full experience of things. The closest to that, without going through the whole thing, is the Honest Trailer from Screen Junkies ...",The Room
5,gavin6942,The Greatest Film in the History of Western Civilization,8,17 November 2009,"Tommy loves Lisa, his future wife. But Mark, Johnny's best friend, is sleeping with Lisa. And Lisa's mother has breast cancer. And Denny, Johnny's adopted son, has a drug problem, or at least a money problem. What does all this have to do with each other? Not much.Could ""The Room"" be the greatest film ever made? Writer, director, producer and star Tommy Wiseau thinks so. The rumor is he submitted the film to the Academy for consideration as best picture. Sadly, he was turned away. ""The Room"" may not be the best picture of the year, but is probably the single greatest film of all time, at least from a purely entertaining point of view.Yes, the love scenes are recycled. Yes, some of the dialog makes no sense. Yes, there are countless subplots that go nowhere. Yes, one of the main characters disappears halfway through and is replaced by another guy. Yes, the music is bad. Yes, yes, yes. But somehow, the more things that seem to be wrong with this film -- a film that Wiseau assures us was ""meticulously"" made -- the better it gets.I was laughing so hard, I was in pain within fifteen minutes and cried. All of the ""Oh, hi Mark"" lines, and the epic ""you're tearing me apart"" were too much for me. I ended up spewing my guts, and several bottles of Coors Light, all over the place. The intensity of the awesome in the picture just blew me away.I have a new favorite film, and that film's name is ""The Room"". What other film could make me want to play football in a tuxedo or sing the ""Full House"" theme song? Only one film has that power... for the full effect, you really need to see a midnight screening of this film with the audience participation. Or at the very least, download the RiffTrax and laugh all over again... this film could be watched fifty times and still not begin to get old.",The Room
6,jboothmillard,The Room,1,16 January 2019,"Plan 9 from Outer Space is often cited as the worst movies ever made, there are many contenders that could take that title e.g. Caligula, Showgirls, Freddy Got Fingered, Jack and Jill, and many others, but this is the one mentioned the most, so I challenged myself, also being a critic, to watch it. Basically Johnny (Tommy Wiseau) is a successful banker living in a San Francisco townhouse, he seems to have everything he needs, a beautiful fiancée named Lisa (Juliette Danielle), and many friends. But Lisa has become dissatisfied with their relationship, which has lasted for seven years, she finds Johnny boring and wants more excitement in her life. Lisa's classy, sophisticated mother Claudette (Carolyn Minnott), who has been diagnosed with breast cancer, thinks that Johnny is good for her, and that if she truly doesn't love him anymore, she should tell him. Mark (Greg Sestero) is Johnny's best friend, he often visits the house, Lisa seduces him, despite his initial reluctance they begin a secret affair. Denny (Philip Haldiman) is a neighbouring college student, Johnny is supporting him financially and emotionally, so the young man sees him as a father figure, he also a crush on Lisa. Denny gets himself into trouble, he owes money to drug dealer Chris-R (Dan Janjigian), who threatens him with a gun on the roof of the townhouse, but Johnny, Lisa and Claudette rescue him. Johnny meanwhile overhears Lisa confessing to Claudette about her infidelity, he decides to attach a tape recorder to find out who her secret lover is. Denny confesses his feelings for Lisa himself, but he understands he is young and will find true love one day, he encourages him instead to pursue one of his classmates. Johnny is going mad with his anger at Lisa's betrayal and his desperation to find out who she is sleeping with, so he calls upon his and Mark's friend Peter (Kyle Vogt), a psychologist, for help. Mark also confides in Peter as he feels guilty about having an affair, Peter questions if the affair is with Lisa, Mark attacks him and almost tries to kill him, but they quickly reconcile. It is Johnny's birthday, and despite her insistence that she wants to end the engagement, Lisa and others surprise him with a party at the house. One of Johnny's friends catches Lisa kissing Mark while the other guests go outside, they are confronted about the affair, but then Johnny and the others come back in. Johnny announces that he and Lisa are expecting a child, but Lisa reveals that she lied about this to cover up the truth about her affair. At the end of the evening, Lisa flaunts her affair in front of Johnny, who verbally and physically attacks Mark. After the party, Johnny locks himself in the bathroom in despair, when he eventually comes out, he retrieves the cassette player and listens to an intimate conversation between Lisa and Mark. Johnny is outraged for Lisa's betrayal, she is prompted to end their relationship and engagement permanently, she plans to leave and live with Mark. Johnny has an emotional breakdown, angrily trashing furniture and destroying items in the apartment, until finally he collapses to the floor, and commits suicide, shooting himself with a gunshot in the mouth. Denny, Mark, and Lisa hear the commotion and rush upstairs, where they find his dead body. Mark blames Lisa for Johnny's death, he scolds her for deceitful behaviour, and tells her to get out of his life. An emotional Denny wants to be alone with Johnny, Lisa and Mark step back to give him a moment, but ultimately, they all stay and comfort each other as the police arrive. Also starring Robyn Paris as Michelle, Scott Holmes as Mike and Greg Ellery as Steven. Wiseau (also writing, producing and directing) is an ugly and untalented actor, Danielle is equally dire as his long-suffering girlfriend, and most of the other cast members are either inexperienced, or just let down by the terrible dialogue they were given. It includes many elements you would expect to see in a badly made independent movie, silly characters, bad acting, repetitive and terrible dialogue, clumsy camerawork, mistakes included and not edited out, the odd green-screen background in the rooftop scenes, bad editing and narrative structuring, there is no real story or plot, and supporting character subplots are unresolved, most prominent being the mother's breast cancer storyline. But for its bizarre and unconventional storytelling, technical and narrative flaws, Wiseau's ridiculous performance, and its overall awfulness, it has gained a cult following, and it spawned the more successful biographical film about the making of it, The Disaster Artist, I admit myself that I couldn't stop watching this, it was funny for all the wrong reasons, and it one of those ""so bad, it's good"" experiences, but it is a lacklustre black comedy romantic drama. Poor!",The Room
7,paul_haakonsen,The title makes no sense when you watch the movie...,3,14 August 2017,"I was recommended that I sat down and watched ""The Room"" as I have never seen it, only known about it by having heard friends mention it. I didn't really know what the movie was about, only that it was supposed to be a legendary bad movie. So of course I was a bit hesitant about actually taking the time to sit down and watch it. But since I had the chance, I decided to do so.And I can say that I have watched it now and can tick it off my watched movies list. In all honesty I can also say that this is not a movie that I will ever be watching a second time.The storyline in ""The Room"" was rather pointless. It was about a guy named Johnny whose girlfriend decides to have an affair with his best friend as she has grown tired of Johnny. And that was essentially the entire storyline wrapped up right there. To compliment this profoundly deep and fulfilling storyline was equally pointless and prolonged love-making scenes which didn't further the story one bit, and the movie would have been just a notch better if they had opted to not include those scenes at all.""The Room"" has a rather generic and flat character gallery to bring the story to life on the screen. And it didn't really help one bit that most of the cast were doing fairly poor jobs with their given roles and characters; most noticeably writer and director Tommy Wiseau whom also happened to play the lead role himself.The entire movie builds up to a confrontation between Johnny (played by Tommy Wiseau) and his best friend Mark (played by Greg Sestero), and this confrontation climaxes into what has to be one of the most hilarious and horrible fight scenes ever put to film between two men. The scene was intended to be serious and dramatic, but I was laughing so hard that I had tears in my eyes when I saw that, and I actually went back to watch it a second time just for an additional laugh.This epic fight scene then bridges over into a scene where Johnny has an uncontrolled fit of rage and totally ravages his bedroom as his girlfriend leaves him. This scene tops the fight scene in its level of ridiculousness. In fact, it is so bad that it has to be witnessed in order to fully grasp how bad it is.""The Room"" makes use of some green screen as well, which is quite odd, because it is when they are on the roof of their apartment building, then instead of just filming on top of an actual Apartment Building they opted to go for green screen. And the end result was just atrocious, as the background looks horribly fake and seems more like it was the result of an elementary school student's attempt of fidgeting with green screen.I can agree with my friend's statement that this movie is so bad that it actually has to be seen, because it truly is. ""The Room"" scores a 3 out of 10 stars from me, and I feel rather generous with that rating actually, which is primarily because the movie has an adequate production and editing value to it.",The Room
8,Quinoa1984,keep this in mind: people who award this a '10' are not being serious oh hi Mark,1,20 March 2010,"Tommy Wiseau may be a genius somewhere inside of his mind. I would still be interested to see it leap out at us unsuspecting viewers. For now, we have The Room on our hands, one of those real marvels of bad movie-making. It's a hilarious kind of bad movie, where one can see that the actors are trying, for better or worse (no, usually for the worse) to act in a serious capacity in their characters. The Room was written as a play first, and it shows: scenes in rooms, scenes on a rooftop (and what a view, ho-ho), scenes in a field somewhere throwing around a football, and back to the Room again. And now it's being touted by its maker as being a 'comedy'. This is called 'after-the-fact' thinking. It was made as a drama, in all sincerity, and now it's a matter of saving face, it becoming a midnight movie, a riot. It's worth it.Watch it with friends if you can't watch it with a packed audience. It's that kind of bad movie, where one can marvel at how Wiseau managed to eff-up continuity, where actors are supposed to be in a scene, repeating things they just said, saying things that are inconsistent with things said before, characters who disappear for stretches and reappear as if they were just there in the room the whole time. I admire a filmmaker who can do something this wretched, since it shows that somewhere inside of this guy is a voice of an artist. Bad, misguided, and perhaps just untalented. But who is Ed Wood if not an untalented artist who had a lot of ideas and a lack of skills and where-with-all to do it? Oh, and did I mention the film takes place in San Francisco? This point is hammered in so much you expect for Bullitt to roll over the hill at some point and run over one of the kids playing football. I could attempt to go further and describe the plot, but is there any aside from these several words: Johnny (Wiseau) has a fiancé he loves, she's cheating on him with his best friend, and neither of them can commit to letting Johnny go. Nothing else happens except many scenes of talking; someone may have mentioned a chamber drama in comparison to The Room, and it's not far off. I imagine Wiseau is a big fan of Ingmar Bergman, specifically Cries & Whispers (red walls, anyone?), and if so, more power to him. That it's often so bad as to be unwatchable, when not crying-buckets-of-tears hysterical in its laughter-quota, should also be noted with that.And one more thing that needs to be said about Tommy boy: he's not a good actor. This is something crucial - he is an easy target for us folks who watch bad movies searching for the next bad actor around the corner. He's so awful not simply because of his lack of emotion in scenes, but how over-emotional he gets when, say, he channels James Dean, or at the end when he (in an act ala Orson Welles in Citizen Kane) tears apart the house at the end. When he enters on the screen it's like an 80's hair-metal cover band is missing its roadie, and he's still in training. He may be inept as a director, and writer, and casting agent, and especially at those sex scenes (good God, someone resurrected BoyZ 2 Men!), but seeing him in the titular lead role is about enough to drive most sensible human beings out of the theater in droves, or shut off the DVD and ask netflix if it was a mistaken delivery.For the rest of us, however painful it can get, The Room is an entertaining debacle, poorly produced and all the funnier for it.",The Room
9,CinemaSerf,The room (for improvement),4,7 November 2021,"I suppose that you just have to leave your brain at the door for this nonsense. Sadly, at this most recent showing in London, we were not permitted to throw spoons (nor in theory, to call out - but, hey - good luck with that!). Anyway the somewhat unattractive ""Johnny"" (Tommy Wiseau) is living with pretty fiancée ""Lisa"" (Juliette Danielle) who decides that she'd probably rather hook up with the rather handsome ""Mark"" (Greg Sestero)... Will they get rumbled? Will things ever be the same again? Of course, the dialogue is abysmal, the sex scenes filmed in an out of focus fashion that we can only ever be truly thankful for, and the soundtrack is so cheesy that the whole thing just engenders audience participation on quite an unprecedented scale. This is garbage; there is no other word for it - yet it is eminently watchable (after three bottles of wine and some i/v gin). Carolyn Minnott is wonderfully earnest as mother ""Claudette"", too. It's amateur in just about every way, but funnily enough that might just be the reason it has achieved cult status. Aim very low, and you will still be setting your sights too high!",The Room
