,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,crazy wild fun,7,13 May 2016,"A group of young people work at the independent Empire Records. While closing up, Lucas (Rory Cochrane) discovers a contract in manager Joe Reaves (Anthony LaPaglia)'s office to sell out the store to big corporate Music Town. Lucas tries his luck with the store's cash to save the place and promptly loses $9k in Atlantic City. The next morning, A.J. (Johnny Whitworth) and Mark (Ethan Embry) are the first at the store. Corey Mason (Liv Tyler) and flirty friend Gina (Renée Zellweger) have a crush on 80's pop star Rex Manning (Maxwell Caulfield) who is coming to the store. His time is mostly pass and even his assistant Jane (Debi Mazar) doesn't like his music. Angry Deb (Robin Tunney) shaves her head. A.J. vows to reveal his love for Corey. They catch a young shoplifter who claims to be Warren Beatty. It's going to be a crazy day.This is a crazy wild mess of young people fun. The music is loud and mostly good. The story is full of teen angst. The best is the cast of great young up and comers. Tyler and Zellweger are in short skirts. Tunney actually shaves her hair. It's lots of teen melodramatic fun. The characters are appealing. It's certainly possible to be get-off-my-lawn on this movie but not me. Even a bad sleazy Maxwell Caulfield can't get me out of this movie.",Empire Records
1,classicsoncall,"""I guess nobody really has it all together.""",6,11 July 2018,"This film would have been a whole lot better if every character in it wasn't a caricature. Store clerk Mark (Ethan Embry) and shoplifter Warren (Brendan Sexton III) were the worst. There might be teens that clueless and arrogant respectively, but in this film, they were just plain annoying. And the record shop manager Joe Reaves (Anthony LaPaglia) spent an awful lot of time deliberating over what he'd do about the missing nine grand. Seemed pretty simple to me, but in keeping with the one big happy family concept, he presided over the madness going on with the serenity of a Buddhist monk. Maybe I'm just a little too far removed from the target audience for this picture but it did nothing for me. The story was fairly predictable about how the missing money would be replaced, while the teen angst aspect of all the employees wound up pretty much resolved by the time the closing credits rolled. Not very comparable to real life, but I guess the picture had it's time and place, which is to say, it's a good thing the Nineties are over.",Empire Records
2,gavin6942,One Day in A Record Store With Those Kids...,6,3 August 2007,"An employee steals the money from a record store's vault, with the hopes of gambling with it in Atlantic City and making it big. He fails, and the next day the store must face the reality: without the money, they will be turned into one of many chain stores where the more laid back approach to selling music just doesn't slide with those in charge. Also, this day features a visit from washed-up pop star Rex Manning.Directed by the writer and director of ""Pump Up The Volume"", this film simply is not as good as ""Pump Up The Volume"". And, sadly, it's also not the best movie about people hanging out in a record store -- ""High Fidelity"" is a better contender in that category. What this film does excel at is showing a store with way too many employees who do nothing (how can they possibly afford to pay these slackers) and really encapsulating what it was like to live circa 1995 (probably as much or even more so than ""Reality Bites"").That is really the only selling point for this film for me. Reminding me of 1995, when music like the Gin Blossoms was cool and people dressed like they were trying to escape the 1980s but didn't know how (and ended up turning to flannel for help). Sure, we have Robin Tunney (""The Craft"") and a young Liv Tyler... even Renee Zellweger. All fine actresses, but nothing worth seeing the film for if that's all you want to see.There's nothing new about the idea of trying to get a store saved from going under (or a school, or a radio station -- see ""UHF""). What makes this movie different is that the characters are just, well, weird. They sit around, don't do a lot of work, wander off for no reason, and nobody cares. The store could run more effectively with fewer employees, and the film would probably be tighter if one character was dropped (maybe Ethan Embry).Warren was by far the most entertaining part of the film for me. His hoodlum antics just made me very amused, and without him this would have been a highly dull film. Do I care about a girl's depression (which is never really explored or resolved) or another girl's acceptance to Harvard (which is barely covered) or a pill addiction (which is dealt with so minorly)? No. I am never given a reason to give half a fig. Each character is so shallow that their shallowness is almost deep in its presentation.If you need a flashback to 1995, this is a film for you. The music obviously plays a large role in this movie, and the styles will be familiar. But as far as being an outstanding film or a cultural achievement or even a cult classic, I guess I just don't see it. All the hype this film had or has circling around it don't amount to much. But, hype is like that -- almost never delivering on its promises.",Empire Records
3,jboothmillard,Empire Records,6,31 July 2010,"From the title I expected this to be some sort of film charting the success of a music studio or something, it sounded like it, I had no idea it was going to be a teen movie, and a pretty good one at that. Basically, Lucas (A Scanner Darkly's Rory Cochrane) is in charge of closing the Empire Records independent music store, and when he sees that the store could be taken over by another business, he decides to take the $9,000 in the safe and gamble it in Atlantic City to win big and save the store, ultimately he loses it. The next day he returns to work to tell boss Joe Reaves (Lantana's Anthony LaPaglia) the bad news, and Joe punishes him to stay sat on the office sofa, and only to move if he comes up with a way to get the money back. This day happens to be the day that the store has invited pompous and fading pop singer Rex Manning (Maxwell Caulfield) to promote his new album and sign autographs. Each individual teen character, high school students and young adults working in the store, are having their own emotional problems, all coming out on this day. Overachieving student Corey Mason (The Lord of the Rings' Liv Tyler) heading for Harvard University discovers Rex isn't the lovable singer he seems to be. Lovesick A.J. (Johnny Whitworth) wants to tell Corey his feelings for her at a precise time, and when he does it's the wrong time. Gina (Renée Zellweger) is the free spirit who takes advantage of her chance to get with Rex, but it may not have been the best decision and everyone disapproves, don't worry, this will change. Debra (The Craft's Robin Tunney) entered the store immediately shaving her hair off, and continues most of the day being a hostile, antisocial and near suicidal person, burying herself in work, but she come out once in a while. Finally, Mark (Ethan Embry/Randall) is the geeky one who is willing to make a tit of himself on the live news right outside to spread the word that the store needs money to survive. There is also the frequent appearance of the shoplifter calling himself ""Warren Beatty"" (Brendan Sexton III) who starts out as a troublemaker, but everyone warms to him and are willing to forgive him, and even consider him for a job in the store. In the end, after a big alcohol and music filled party in the street and the store, they manage to raise enough money for Joe to pay manager Mitchell Beck (Ben Bode) at first for a deposit, but he allows him to buy the store for himself. Also starring Debi Mazar as Jane and Coyote Shivers as Berko. Besides the up and coming stars Tyler and a more overshadowing Zellweger appearing, Cochrane is really good as the sarcastic and near brooding at times teen, and Caulfield has his moments as the snobbish and despised disappearing pop star. What I really liked about this teen movie, besides the great cast and ""let's pull together"" attitude, was the soundtrack, including The Buggles - ""Video Killed The Radio Star"", Edwyn Collins - ""A Girl Like You"" and The Flying Lizards - ""Money (That's What I Want)"", a fun comedy drama. Good!",Empire Records
4,BandSAboutMovies,A failure at first,7,29 May 2019,"Empire Records may not be a musical, but without music, it wouldn't really have much of a story, would it? It does fit into the main prerequisite for this week: it was a total bomb on release before finding an audience that was ready for it years after it was actually made. This coming of age and battle against the corporation film may have just been too much for 1995, but in 2019? It fits right in.Writer Carol Heikkinen supposedly worked at a Tower Records store (IMDB claims that it was store #166 at Phoenix's Christown Mall) and used tons of stories that she had experienced while working there.This is the story of 24 hours in the life of Delaware's Empire Records, an independent music store. It starts when Joe (Anthony LaPaglia, The Client, Annabelle: Creation), the store manager, allows Lucas (Rory Cochrane, Dazed and Confused) to close the store alone for the first time.That's when he learns that Music Town, a national entertainment big box store, is buying Empire Records. To keep its spirit of independence alive, he takes all $9,000 from that day's sales and sets out to quadruple it in Atlantic City. Sure, he doubles it, but Lucas' luck could never hold out.The next morning, a decimated Luchas is found by A.J. (Johnny Whitworth, who ended up being Blackout in Ghost Rider: Spirit of Vengeance before anyone cared about superhero movies) and Mark (Ethan Embry, Pete on Sneaky Pete). He tells the two of them of his plight as they try to keep him away from Joe, who is looking for the missing deposit once the bank and the actual owner call.The real heart of Empire Records lies within the kids that work there, like Corey (Liv Tyler), Gina (an impossibly young Renée Zellweger), the suicidal and soon-to-be bald Deb (Robin Tunney, The Craft) and her hanger-on boyfriend Berko (Coyote Shivers, who was married to Liv Tyler's mom at the time, former groupie Bebe Buell).The truth of it all is that Joe had wanted to become co-owner all along and had hoped to use that $9,000 to make it happen, keeping the store independent. Meanwhile, all hell is breaking loose because the store is dealing with Rex Manning Day.Yes, former 80's pop star Rex Manning (Maxwell Caulfield) is coming to the store, which has a line of older women and gay men ready to greet him. The store employees and even Rex's assistant (Debi Mazar, who continually wins me over in small roles) openly hate the singer, but Corey has been planning to give him her virginity. He blows her off and ends up sleeping with her best friend, Gina, as all hell breaks loose.So much of Empire Records really does hold true to the hijinks ensue manifesto. It's an episodic account of this one big day in the heart of a record store, complete with shoplifters being converted into employees, a mock funeral for Deb to cheer her up, an all-night benefit to ""Save the Empire"" and love winning against all costs. Oh yeah and Gwar shows up.It's amazing that this movie even made it on the screen, as it was severely edited in post-production, with three significant characters and 40 minutes of footage ending up on the cutting room floor.Reviewers said things like the movie was a ""soundtrack in search of a movie,"" ""deserved a bullet to put it out of its misery"" and it was a ""lost cause."" That said - the soundtrack album peaked at #63 on the Billboard charts and The Gin Blossoms' ""Til I Hear It From You"" and Edwyn Collins' ""A Girl Like You"" made it into the top 40.Today, a film that only made $300,000 on initial release plays revival houses and has enjoyed several home video re-releases. April 8th has now become Rex Manning Day to so many people now.Sadly, this movie may not mean much to kids today, as music stores have disappeared. Yes. even the big stores like Music Town.",Empire Records
5,michaelRokeefe,And the beat goes on.,4,13 June 2003,"A nice cast to look at and some good tunes spin; but don't expect more. Anthony LaPaglia is the manager of Empire Records an independent music store that is about to be taken over by a bigger music chain. He and his odd squad of employees must come up with the money to buy their collective personal haven. Teetering cult status with nothing but rampant chaotic bursts of action to show for it. The winsome part of the cast is Liv Tyler, Renee Zellweger and Robin Tunney. Also in the cast are Rory Cochrane, Debi Mazer and Maxwell Caulfield as the despised pop star. Toss back a couple of cool ones and relax.",Empire Records
6,hitchcockthelegend,"I do not regret the things I've done, but those I did not do.",8,2 May 2011,"Empire Records is directed by Allan Moyle and written by Carol Heikkinen. It stars, Anthony LaPaglia, Maxwell Caulfield, Debi Mazar, Johnny Whitworth, Liv Tyler, Renée Zellweger, Rory Cochrane, Robin Tunney & Ethan Embry. Plot centre's on one day at independent record store Empire Records. With the store under imminent threat of a take over by a corporate chain, this is no ordinary day. For on the day that the store will be visited by a fading pop star, they are forced to confront their personal issues, and maybe, just maybe, learn something about the people they work with.The film was a box office failure and was met with mostly negative reviews from the professional critics. Coming as it does from the director of critical/cult darling Pump Up the Volume, many were expecting a better and more hard edged picture than what they got. It also had to compete with certain 80's favourites brought to the cinematic world by John Hughes. While coming fast on the heels of the immensely popular Clerks (94) didn't help its cause either. Was it a case of bad timing? Is the film really just poor? And or, as mooted at the time: a career killer for those involved? Personally I think it's a film that needs revisiting now some 15 odd years after its release. In fact time has actually been kind to it and it now appears to have a good solid cult following. So unless you are judging it against the superior, record shop set, High Fidelity, you may find it's a film that's hard to dislike.Some of the complaints against it are fair, with the main one about it not having fully developed characters being as true as day is a day. While calling it one long stitched together music video has some substance when taking it at face value. Yet what is there is worthy of a second glance, they are interesting characters, and their respective hang-ups and pressures are evident enough for us to hang our hats on; even if it's set up to be accompanied by still more hipster indie rock music. There's also been much guff written about the film as regards calling it a teen angst film. Yes it is, but have these reviewers forgotten about the adults in the movie? LaPaglia's store owner, the father figure, trying to remain cool as his charges come under threat. Or Mazar, needing a wake up call from her job/career ignorance; and the big one, the delightful Caulfield (splendid bit of casting) as fading pop singer Rex Manning, imposter? Indeed. It's all relative as to why Empire Records deserves more than a once only viewing. As for the music, it does indeed rock, with each track carefully selected to be at one with the scene it accompanies. My favourite? AC/DC-If You Want Blood, a ball busting track for a vibrant and kicking scene.As for it being a career killing movie? The ladies of the piece have done rather well for themselves, Zellweger, Tunney and Tyler have made their marks in the industry, while Mazar has never been without work prior or post Empire Records. The guys haven't hit the heights of Zellweger and Tyler, which in the case of the excellent Rory Cochrane is not only a surprise, but also sad. Cochrane's Lucas is the key character and the glue in the middle of it all, always on hand with a dry quip or some philosophy, he's also supremely cool. Cochrane can be seen in serious mode leading 2006 thriller Right at Your Door. LaPaglia has always worked since 95, playing a number of different supporting characters, and Embry has appeared in big release's such as Vacancy and Eagle Eye. Caulfield has turned into the go to guy for TV shows and Whitworth, who quit acting for a while, pops up from time to time in minor roles such as in 3:10 To Yuma and The Rainmaker. So, not a career killer then.Stick it to the Man, Baby, Empire Records is a vibrant and funny movie. 7.5/10",Empire Records
7,DICK STEEL,A Nutshell Review: Empire Records Remix! Special Fan Edition (1995),7,29 November 2005,"This quirky take with memorable characters take place in a span of 24 hours in a record store known as Empire Records (Tower Records anyone?) It highlights a day in the life of the store employees, made up of teeny boppers like proverb spewing Lucas (Rory Cochrane), suicidal rebel Jane (Debi Mazar), slutty Gina (Renee Zellweger), smarty pants Corey (Liv Tyler), amongst others.The story starts off with Lucas taking nine thousand dollars from the cashier at night before he closes the store, and loses it all in a hilarious sequence at Atlantic City. Joe, the co-owner, learns about this, and the recovery of this amount of money forms the running theme in this movie.Thrown into the plot is an equally hilarious character Rex Manning, a has-been singer who's due at the store for an autograph session with his fans. You'll definitely dig one of his cheesy music videos. Corey has a crush on Rex, and tries to seduce him, but falls flat in embarrassment. Of course she's shocked when good friend Gina manages to pull the seduction off, and me-ow, a catfight ensues.As if the day isn't bogged down with too much activities in serving customers and spinning good music in the store, the employees learn that their beloved Empire Records will be absorbed by Music Town, a larger competitor. Therefore it's also a race against time to preserve the identity of their store.But it's a feel good movie, with feel good songs sprinkled with the occasional metal, so the ending is somewhat predictable with all threads and sub plots merging into one grand finale. Needless to mention, my primary objective is actually to watch Liv and Renee in one of their earlier movies :-)",Empire Records
8,Smells_Like_Cheese,A rock and roll good time of teen movies,8,31 October 2005,"I remember watching some of this when I was like 11 years old, a year after it came out. A friend of mine was just in love with this movie, but I didn't really watch much of it. I just couldn't relate or didn't get it.When I made my wonderful journey to Blockbuster Video, I noticed it again, and was just curious to see it. Renee Zelleweger, Liv Tyler, Robin Tunney? Wow. I'm glad I watched this movie, because I can relate to it more now. My work, lucky enough, is a lot like this movie. We're all close friends and have fun. But I'd like to work at Empire Records, they can actually dance in the store! :D The acting was fun and enjoyable and the story is a hoot. I would recommend Empire records for a watch. Just have fun with it. This was the time where there were some actual good teen movies. You also get the early glimpses of Rene and Liv. They actually look good in this movie! :D No offense to them. They just look weird now.8/10",Empire Records
9,The-Sarkologist,Pretty much my favourite romantic comedy,10,14 January 2012,"When coming to this movie there is so much in it that needs to be said and can be said that it is almost impossible to get everything out of it in 1000 words. Aristotle's unity of time and place plays out well in this film as the action occurs through a single day and plays out mostly in the record shop. Further, each of the characters in the film have an epiphany which will change the direction of their life.The first is Lucas. He is a character that had a hard life but Joe, the manager of the store, was willing to drag him out of the muck that he was in and give him a second chance. This willingness occurs at the beginning of the movie where he is entrusted to lock up, but he finds out that the store is going to be bought out so he attempts to win enough money to buy it out. What can be said is he fails, yet he still returns to face the problem, and Joe does not turn him over to the police, even though he deserves it. Lucas is basically the voice of wisdom. He has been through everything that everybody is going to, so even though he is facing the possibility of a lot of trouble, he is still able to console everybody and give them the wisdom that is needed.This brings me to Warren. He is a kid that is a shoplifter, but it seems that the kid has never had a close family. His background is not drawn out, but a lot of it is implied with his reaction to the close knit family that are the employers of Empire Records. He is hostile towards them, but the truth comes out when he enters the shop with a gun in a fit of jealous rage. He has never had a group of caring friends like those at Empire Records, so when he sees it, he wants to destroy it. If he cannot have it then nobody else can have it. The caring nature of Joe, and the people at Empire Records, turn to welcome him even though he stole from them and held them hostage.Debbie is the next namely because she faces up to Warren. It is not because she is tough but because she has been through death and is no longer scared of it. She enters the movie, goes straight into the bathroom and shaves off all of her hair. She constantly tries to avoid the questions of the others, though her bandaged wrist attracts their attention. Why did she try to commit suicide? Her answer is that she woke up and realised that everyday of her life was the same: the only difference was that the problems that piled upon her were different. But what was her real problem? We realise this at her funeral - she does not die but they give her a funeral so that she knows not only that she is a part of this family but that her death would hurt people and that she would be missed. She realises what her problem is - she simply wants to be noticed, that is why she dresses the way she does, acts the way she does, and shaves her hair - she simply wants to be noticed. At he funeral she suddenly realises that people not only notice her, but also love her.AJ is the next character. He is in love with Corey and wants to go to art college but he does not think that he is good enough. That is his problem: he does not have any faith in himself. He seems to be okay, but Lucas tells us at the beginning that everybody has a problem even though everybody denies that they do not have one. It is only when AJ is confronted by Corey that he realises that he has no faith in himself. He tells Corey that he loves her, but to Corey it is the wrong time. It wasn't because it started her thinking and she realised that she did love him, but even then he had given up because he did not expect it to happen, not to him. When confronted by Corey he realises that he is not hopeless and can do things, so he does.Gina doesn't really change because she already knows herself. She is more of a character that Corey reacts from. She and Corey are good friends, but Corey does not understand so when Gina screws Rex Manning, Corey freaks. She then realises that Gina was simply being herself and that is something that must be admired. Gina does not care what people think, and lets that known plain and clear.Joe is also an important character as he is the father figure in the movie. He has taken all of the characters in, including the delinquent Warren, and makes them apart of his family. Jane becomes the mother figure, or will as she does not take that role in the movie. Joe is the one that takes the big problems upon his own shoulders, but others come to him for help.Empire Records is a very good movie and as a friend says, it seems to capture the hopelessness of the 90's. It is a movie about family when the family unit is collapsing. It shows us that going out on our own never solves anything, and this is made clear right at the beginning when Lucas fails in his bid to win enough money to buy the store back. It is a movie that shows us that me must work together to survive and to overcome all of our problems, yet also shows us that there are somethings that we must do for ourselves.",Empire Records
