,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,BFF,8,2 March 2019,"Ralph (John C. Reilly) finds happiness with best friend Vanellope (Sarah Silverman). They spend all their spare time together whenever the Arcade closes for the night. Ralph accidentally breaks Sugar Rush and the duo sets off into the internet to fix the game through a newly connected Wi-Fi. Vanellope befriends Shank (Gal Gadot) from a different driving game. With fears of losing his best friend, Ralph cluelessly unleashes a virus which could literally break the internet.I love the friendship. I like the two characters. There are a few minor fun bits with the internet. I like KnowsMore and I like the Princesses. Those are the funniest parts. I'm less impressed with the more prominent BuzzzTube or Ebay. This is by no means perfect but I do like the more mature look at friendship. It maintains its visual appeal despite expanding into the internet. There is a logo overload aspect to the internet that cannot be helped. The surprise of discovery is no longer within the franchise but it is trying to take it to an interesting place. I appreciated this sequel as much as enjoyed it.",Ralph Breaks the Internet
1,boblipton,A Fine Sequel With Something New To Say,7,15 July 2020,"When the steering wheel on the Candy Crush machine gets broken, it turns out that the only replacement available in on the Internet, and too expensive for the owner of the Arcade. With the machine about to be shut down, all the characters will be left home, so Ralph and Vanellope go onto the Internet to get the spare.At first this animated cartoon appears to be more interested in Product Placement than in story or jokes, as the Internet is portrayed as a modern city with many real corporate logos revealed. As matters progress, however, story, character and jokes grow more important, as Ralph becomes a trending Internet star and Vanellope finds happiness in a rough, urban racing game. There's also a very nice section where Vanellope winds up on a Disney site, making friends with the Disney princesses, who are thrilled to spend their down time in tank tops and cut-offs.I'm not happy with this current era in Disney, when all the movies are either sequels or live-action remakes of classic animation. However, this turns out to be an amusing movie with some good life lessons.",Ralph Breaks the Internet
2,Prismark10,Ralph cannot handle cyberspace,5,13 February 2019,"Taking place six years after the events of the first film. Ralph and Vanellope are best friends. Vanellope though is getting bored of her Sugar Rush racing game. When Ralph makes a new track for her, the steering wheel of the arcade game breaks. The film never ponders why Vanellope managed to override the game player's actions.As a steering wheel for Sugar Rush costs too much money on ebay, the arcade owner is going to dismantle Sugar Rush.Ralph and Vanellope go into the wifi installed into the arcade and decide to get the steering wheel themselves from ebay. However they have no concept of money in this world. Even though in the virtual world, Ralph told the bartender all drinks were going to be paid by Fix It Felix.Faced with raising thousands of dollars for their ebay transaction in a short space o time. Ralph and Vanellope need to monetize their talents.Ralph Breaks the Internet starts off well in a world we are familiar with in the first Wreck it Ralph. It then becomes irrelevant and erratic with references to Disney properties that now incorporates Star Wars and Marvel characters. So Vanellope who is a princess spends time with other Disney Princesses. The film takes a sharp turn which is exacerbated with Vanellope wanting to stay and race in another more violent racing game modelled on Grand Theft Auto.It begins to feel a lot like Ready Player One, before the movie goes for a frenzied tribute to King Kong for its finale.At times this sequel lacked imagination. If Ralph really did go to the internet, he would had found various enhanced incarnations of Sugar Rush with more tracks and souped up cars. Vanellope would had no need to return to her arcade game.",Ralph Breaks the Internet
3,nogodnomasters,Friend,9,7 January 2019,"Ralph and Vanellope enter the Internet to buy a steering wheel for her broken game. While there, things get out of control.I love the voices of John C. Reilly and Sarah Silverman in the main roles. Gal Gadot as Shank was a nice touch. Admittedly my favorite part was Disney poking fun at itself with the Princesses.While I loved this film, I liked the first one better.",Ralph Breaks the Internet
4,lee_eisenberg,Disney reminds us what it is,5,10 June 2019,"In the antihero's second adventure, he and his friend have a series of online adventures. Probably the most important scene is when Vanellope visits Disney's website (because apparently the Mouse House is a shameless self-promoter). The whole sequence is basically Disney's reminder to us that it's on a mission to swallow all popular culture.Basically, I got what I expected with ""Ralph Breaks the Internet"". Just watch it anticipating a bunch of corny stuff that the tykes will find entertaining and you won't be disappointed.",Ralph Breaks the Internet
5,jboothmillard,Ralph Breaks the Internet,6,9 December 2018,"The first Oscar nominated Wreck-It-Ralph movie from Disney was really good fun, I was looking forward to another dose of video game themed fun, which had received quite a bit of hype, and it was interested to see the popular characters entering the internet. Basically it has been six years since Litwak's Family Fun Center and Arcade was saved, video games characters Wreck-It Ralph (John C. Reilly) and Vanellope von Schweetz (Sarah Silverman) are still best friends and hang out every night after work. Ralph is content with his current life, but Vanellope admits that she is bored of her games, Sugar Rush, being predictable and wishes for something more. Ralph tries to cheer her up by creating a secret bonus track during a race, Vanellope overrides player control to test it out, the resulting conflict between her and the player results in the steering wheel controller breaking. The company that made Sugar Rush is now defunct, the only replacement wheel available is on eBay, but it is too expensive for Mr. Litwak (Ed O'Neill), and he may have no choice but to unplug the game, which would leave the game's citizens homeless. After Ralph converses with his friend Fix-It Felix Jr. (Jack McBrayer) in Tapper's, he and all the other citizens are intrigued by the installation of a WiFi router, this allows access to the internet. Ralph decides to enter the internet to obtain the wheel from eBay, he brings Vanellope with him. They find eBay, and bid for the wheel available, but they get excited by the concept of bidding, and cannot afford to pay the amount they bid, they must complete the purchase within 24 hours or they will lose it. The two turn to a pop-up advertiser named J.P. Spamley (Bill Hader) to make money quick and are given the job to steal a valuable car belonging to Shank (Gal Gadot) from the popular online game Slaughter Race. Ralph and Vanellope manage to steal the car, and Shank and others chase them to get it back, but they are forced to return it. Shank admires Vanellope's driving skills and points her and Ralph to BuzzzTube, algorithm Yesss (Taraji P. Henson) knows all about what types of videos are trending, so Ralph decides to make a series of viral videos ripping off the popular trends to make money. Ralph's videos become a viral sensation, while an excited Vanellope joins Yesss's staff in spamming users with pop-up ads. Ralph is concerned about Vanellope and convinces Yesss to send her to a Disney fansite, she escapes from a group of First Order Stormtroopers, and meets all the Disney Princesses. Vanellope befriends the princesses and they encourage her to sing about her sense of unfulfillment, she does eventually reach a musical epiphany when Ralph calls her to confirm they have earned enough money to purchase the wheel. Vanellope does not meet him at eBay, Ralph calls her again, and he overhears her confessing to Shank she wants to stay in Slaughter Race because its unpredictability, challenges and sense of danger make her feel alive. Ralph is horrified about the thought of losing Vanellope, he turns to Spamley to find a way to make Slaughter Race boring for Vanellope by slowing things down. Ralph visits Double Dan (Alfred Molina), who creates an Insecurity Virus which will replicate any flaws it finds, this virus is unleashed on Slaughter Race, but it unexpectedly replicates Vanellope's glitch across the game, but Ralph is forced to rescue her before a reboot deletes her. Vanellope assumes the crash was her fault, but a guilty Ralph explains what he had done, she feels betrayed and throws away the hero medal she made him six years ago. While Ralph rushes to get back the medal, which has broken is half, the Insecurity Virus scans him and duplicates his personality flaws. This results in a legion of Ralph clones that destroy the Internet trying to find Vanellope. The real Ralph finds her, and they work with Yesss to lead the clones into an anti-virus software. But the Ralph clones combine into one giant automaton, Vanellope surrenders herself after seeing her friend in a losing battle, but Ralph confronts his clones, admitting to his insecurities, and saying that friendship between him and Vanellope will not end. With his insecurities resolved, the clones disintegrate, and the Internet is restored, and Ralph is saved from falling to his death by the Disney Princesses. Later, Shank arranges for Vanellope to stay in Slaughter Race, Ralph accepts this and returns to the arcade. Sugar Rush is plugged back in, and Ralph comes to terms with Vanellope's absence and socilaises with other game characters while staying in touch with Vanellope through video chats. Ralph and Velellope are also seen crashing and playing the game Pancake Milkshake along with a toddler player, and a supposed sneak preview of Frozen 2 is interrupted by Ralph rickrolling, imitating the video for ""Never Gonna Give You Up"" by Rick Astley. Also starring Jane Lynch as Calhoun, Alan Tudyk as KnowsMore, Sean Giambrone as The Eboy, Maurice LaMarche as Tapper, Alex Moffat as Jimmy, Futurama's John DiMaggio as Arthur, Rich Moore as Sour Bill / Zangief / Stormtrooper, Roger Craig Smith as Sonic the Hedgehog, Tim Allen as Buzz Lightyear, Brad Garrett as Eeyore, Anthony Daniels as C-3PO, Corey Burton as Grumpy, Vin Diesel as Baby Groot, Jason Hightower as Auctioneer, Nicole Scherzinger as Mo's Mom, Irene Bedard as Pocahontas, Kristen Bell as Anna, Jodi Benson as Ariel, Auli'i Cravalho as Moana, Jennifer Hale as Cinderella, Kate Higgins as Aurora, Linda Larkin as Jasmine, Kelly Macdonald as Merida, Idina Menzel as Elsa, Mandy Moore as Rapunzel, Paige O'Hara as Belle, Pamela Ribon as Snow White, Anika Noni Rose as Tiana and Ming-Na Wen as Mulan. Reilly remains suited to the cuddly voice of the big bodied and big-hearted character, Silverman is still funny as the slightly annoying young girl enthusiastic for new thrills, the special effects have been broadened, the familiar and new characters are fantastic, and the world of the internet is so cool, with clever jokes and satirising of the well-known companies featured and nods to how we lives our lives online, something for both adults and children to enjoy, a fun animated adventure. It was nominated the Oscar for Best Animated Feature Film, and it was nominated the Golden Globe for Best Motion Picture - Animated. Good!",Ralph Breaks the Internet
6,Tweekums,A solid Disney sequel,8,31 March 2020,"Set six year after the events shown in 'Wreck-it Ralph' this film provides another adventure for Ralph and Venellope. Their arcade has been connected to the internet but the characters are warned to stay away; however when Venellope's game breaks the two friends must brave the internet to acquire the necessary part. They find it on eBay but after some reckless bidding they need to earn the money fast. This leads to many adventures, including taking part in a dangerous racing game, Ralph creating a series of viral memes and Venellope encountering the Disney Princesses while fleeing from Stormtroopers! As Venellope contemplates staying there, their friendship is strained and Ralph takes action that could damage the entire internet.I really enjoyed this film although it must be said that many of the gags are aimed firmly at older viewers and some moments might be a little scary for younger fans. These moments include times of physical danger as well as emotional worries as Ralph and Venellope's friendship is tested. The numerous references to various internet sites are likely to go over the heads of younger viewers and the way it is hammered home that Disney now owns Star Wars and Marvel franchises isn't too subtle... even though I confess to rather enjoying the former. The gags, including many visual gags, come think and fast... I'm sure one would have to watch the film a few times to spot them all. As one would expect the animation looks great; the depiction of the internet is impressively immersive; I particularly liked the scenes that took place in the 'Slaughter Race' game. The characters are solid, Venellope is the more fun of the returning characters, Ralph is a bit too clingy at times... although the plot demands that to create the interesting situations. There are several good new characters; personal favourites being Shank, a race driver; and J.P. Spamley a 'pop-up pusher'. Overall I'd certainly recommend this to animation fans.",Ralph Breaks the Internet
7,paul_haakonsen,Better than part one...,7,19 January 2019,"I must admit that I did enjoy the first ""Wreck-It Ralph"" animated movie, but somehow this sequel had eluded me. But I got the chance to sit down and watch it, so of course I did. How could or would I not?The first thing that comes to mind is that the storyline in the 2018 ""Ralph Breaks the Internet"" was somewhat better than the 2012 animated movie, so they definitely upped their game here. I think the fact that they were putting in so much pop culture and modern references was the selling point for me. This is also why it scores a 7 out of 10 rating from me, whereas the first animated movie scored 6 out of 10.Like in the 2012 animated movie, the animation and art style here was just wonderful. I loved the characters and all the detail they had put into almost every single scene. There were so many wonderful things to behold in the background of many of the scenes, which actually makes it worth watching the movie a second time just to pick up on the minute details.It was really nice that they got together the crew for the voice acting from the first movie, and they also expanded with a very interesting and good selection of voice talents for the new characters.""Ralph Breaks the Internet"" is definitely an animated movie that is well worth watching for the entire family. I was genuinely entertained with this sequel, and I can warmly recommend that you watch it.",Ralph Breaks the Internet
8,tavm,Ralph Breas the Internet was quite an enjoyable sequel,8,2 December 2018,"I remember watching the original Wreck-It Ralph and enjoying it but I don't feel like looking back at my IMDb review of it right now. Maybe after I'm done with this one. Anyway, I watched it with my sister and her pre-teen daughter and we all enjoyed the further adventures of Ralph and his best friend Vanellope. Perhaps the funniest scenes involves Vanellope and the Disney princesses of which the original voices of many of them reprise them here. There's more but I'll just say that we all really enjoyed Ralph Breaks the Internet!",Ralph Breaks the Internet
9,studioAT,Sub-par sequel,2,24 August 2019,"While not being a classic the first 'Ralph' film was decent enough, and had a plot.This second instalment (was one even needed?) doesn't seem to be anything more than Disney showing off all the properties that they own (Marvel,Pixar etc) and having cameo's from those pop up.It has its moments (the Disney princess scene for example) but this is nowhere near as good as the original.",Ralph Breaks the Internet
