,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,I really liked this Disney flick that seemed to slip between the cracks,9,10 June 2007,"In the 1990s, I felt that Disney made quite a few undistinguished cartoons following Aladdin. Unlike most of the world, I wasn't all that enamored with THE LION KING and subsequent offerings such as the wretched HUNCHBACK OF NOTRE DAME and POCAHONTAS were huge disappointments. Sure, POCAHONTAS is a lovely film to watch, but it's so wrong historically and it's so politically correct and hokey. And as for HUNCHBACK, the story was so dark and unappealing, I have no idea WHO the intended audience was. So it was in this context that I expected to hate or at least be underwhelmed by MULAN. Instead, it seemed fresh, well-made, humorous and fun--something distinctly missing from these other films. While the anachronistic aspect of having a lady warrior is problematic, for once Disney had another strong and likable female lead following Belle in BEAUTY AND THE BEAST. This was a definite home-run for Disney and well worth your time whether you are a child or an adult.",Mulan
1,TheLittleSongbird,Definitely a Disney classic!,9,26 February 2009,"I love this movie, and so does my sister. I loved the fact, they based it in China, and they got the cultural aspects of Chinese life right. Bravo, Disney! The animation, especially during the avalanche scene, was spotless(loved that epic shot of the bird flying over the huns), and the music, especially in the attack of the huns/avalanche scene and the part where everyone bows down to Mulan towards the end(a real tear-jerker as was the ""greatest honour is having you for a daughter"" part) by Jerry Goldsmith was lovely too, Shan-Yu's theme was also haunting. The songs are better than they're given credit for, the best being ""Reflection"", ""I'll Make a Man out of You"" and the one in the end credits. I strongly recommend Vanessa Mae's rendition of ""Reflection"", which is extraordinary. The singing voices, from the likes of Lea Salonga and Donny Osmond, did match the voice actors, unlike Quest for Camelot. The characters are also very memorable; Ming Na's feisty Mulan(one of Disney's greatest female characters), George Takei's brooding ancestor, Eddie Murphy's hilarious Mushu- who bags most of the film's best lines-, BD Wong's handsome Shang, Miguel Ferrer's mysterious and often frightening Shan Yu(who actually is an effective and underrated villain despite having an all-too-easy and lame death scene) and of course Pat Morita's wise Emperor. Some aspects of the well-told story might fly over children's heads, but this is enthralling entertainment, that deserves a much higher rating. 9/10 Bethany Cox",Mulan
2,SnoopyStyle,the progression of the Disney princess,7,13 January 2015,"The Huns led by Shan Yu are invading China. The emperor is calling up one man from each family to join the army. Fa Mulan (Ming-Na Wen) fears her father is too sick and instead joins herself disguised as a man. Her ancestors call on the Great Stone Dragon to retrieve Mulan but clumsy small dragon Mushu (Eddie Murphy) accidentally cracks the statue. So Mushu tries to make Mulan a war hero so that they can return in triumph.It's a good evolution on the Disney princess movies. She is no longer the helpless victim. Like Beauty and Beast, Mulan willingly sacrifices herself but she's doing even more. She is actively trying to break out of the traditional gender roles. It's an admirable advancement but it's missing a few things. The most notable is the absent of any catchy great new song. Also Mulan dressed as a male soldier doesn't make for the best doll for the collection. Nevertheless this is a good story and fun exciting animation.",Mulan
3,Hitchcoc,A Very Good Character,8,24 June 2015,"I took my kids to this film when it was first released. I had not seen it since. My daughter holds it in high regard. It is quite a nice film. Mulan, the title character, is being groomed to marry, following the various requirements of one in her position. I would be interested to see how Chinese people today would accept or reject her as a character. The empire is being invaded by the Huns and one member of each family must go fight. Since she is an only child, her frail father must again put on his military uniform and go to fight. He can barely walk and it is horrible for Mulan to watch. She cuts her hair, dons the military clothing, and sets out to join the fray. She is accompanied by a dragon that the spirits have given her out of fear for her safety. Unfortunately, he is relatively useless. Played by Eddie Murphy, he is pretty much the same character as Donkey from Shrek. His mouth flaps constantly with no filter. Once she enters the service, she must maintain her boy-ness and perform deeds that make her useful to them. Her successes are often accidental, but she begins to be seen as a force to her fellow warriors. The Huns are enormous and dangerous, and she must eventually face off the with their leader, no easy task. This is all about having no standing in a culture of sexism that has been around for centuries. This would be quite inspiring for young girls.",Mulan
4,lee_eisenberg,I'm China tell you something,6,4 October 2017,"The story of Hua Mulan is probably not that well known outside China, Taiwan and Hong Kong, so most of the world will very likely only know Disney's adaptation. The title character is admirable enough, refusing to conform to traditional gender roles. My favorite character was Mushu, given an over-the-top personality by Eddie Murphy.Around the time that it got released, I remember reading about people of Asian descent who were unhappy with some of the depictions in ""Mulan"". I suspect that every movie has something that can come across as insensitive. Overall, the movie is enjoyable enough. As usual, I didn't pay much attention to the songs, instead concentrating on the action.The rest of the cast includes B. D. Wong (Dr. Wu in ""Jurassic Park""), June Foray (voice of Rocky the Squirrel) and George Takei (indelible as Sulu on ""Star Trek"", he later wrote a Broadway musical about the internment of the Japanese people in the US during WWII).",Mulan
5,jboothmillard,Mulan,7,24 September 2007,"I said to myself that I would need to see this Disney cartoon feature again to see why the critics give it four stars, and I'm glad I did and that I can agree. Basically, this is the retelling of a Chinese folktale. In ancient imperial China (during the Han dynasty), the Huns, led by the ruthless Shan Yu, (Miguel Ferrer), have invaded by breaching the Great Wall. In the Imperial City, the Emperor (Pat Morita) orders a general mobilisation, sending messages to recruit one man from each family for the Imperial Chinese Army. Fa Zhou (Soon-Tek Oh) is the only man of the Fa family, but his only daughter, Fa Mulan (Ming-Na, with Lea Salonga singing), fears for his life due to his poor health. To protect him, she cuts her hair and takes her father's sword and armour, disguising herself as a man to enlist in his place. The family quickly learns of her departure, but cannot risk trying to stop her, as the penalty for her actions would be death. So, Mulan's grandmother (June Foray, with Marni Nixon singing) prays to the family's ancestors for Mulan's safety. Led by the First Ancestor (George Takei), the spirits of the family decide to send the ""Great Stone Dragon"" to bring Mulan back. Disgraced former guardian Mushu (Eddie Murphy), a small red dragon named, is ordered to awaken him, but accidentally destroys the guardian's statue. Mushu resolves to go instead, hoping to redeem himself to the ancestors by making Mulan a war hero. Reporting to the training camp, Mulan passes as a man named ""Ping"", with Mushu providing encouragement and clumsy guidance throughout her deception. Under the command of Captain Li Shang (B. D. Wong, with Donny Osmond singing), she and her fellow recruits train as soldiers, with mixed results. Mulan finds it hard to hide her true identity from fellow soldiers, including Yao (Harvey Fierstein), Ling (Gedde Watanabe), and Chien-Po (Jerry Tondo), but gradually she and the others prove their strength and stamina. The Emperor's belligerent counsel, Chi-Fu (James Hong), threatens to dissuade the Emperor from allowing Shang's men to fight. So Mushu, with the help of a ""lucky"" cricket, crafts a fake letter from Shang's father, General Li (James Shigeta), ordering the soldiers to join the main imperial army in the mountains. The reinforcements set out and arrive at a burnt village, discovering that the Huns have massacred General Li and his troops. As the soldiers march up a mountain pass, they are ambushed by the Huns. Mulan cleverly uses a Huolongchushui cannon to cause an avalanche, which buries the entire Hun army. Mulan is wounded by Shan Yu during the battle, and her deception is revealed when the wound is bandaged. Instead of executing Mulan as the law requires, Shang spares her life, as she saved his, and she is expelled from the army. Mulan is left behind as the other soldiers depart for the Imperial City to report the Huns' defeat. However, Shan Yu and several of his warriors have survived the avalanche, and Mulan sees them heading towards the city. Mulan enters the city and warns Shang. The emperor is captured by the Huns who seize the palace. Mulan, Yao, Ling and Chien-Po disguise themselves as concubines and enter the palace, while Shang prevents Shan Yu from assassinating the Emperor. Mulan lures Shan Yu onto the roof, where they fight until she pins him with his own sword. Acting on Mulan's instructions, Mushu fires a large skyrocket at Shan Yu, propelling him into a firework launching tower, where he dies in the resulting explosion. The Emperor initially reprimands Mulan, but then he and the crowd of people gathered praise her for having saved them. They all bow to her in honour. She accepts the Emperor's crest and Shan Yu's sword as gifts. But she but politely declines his offer to be on his royal council and asks to return to her family. Mulan returns home and presents these gifts to her father, but he is happy to have her back. Having become enamoured with Mulan, Shang also arrives and accepts her invitation to stay for dinner. Watching the Fa family, Mushu is reinstated as a guardian as the spirits ancestors celebrate. Also starring Miriam Margolyes as Matchmaker, Freda Foh Shen as Fa Li (Mulan's mother), Frank Welker as Cri-Kee and Khan (Mulan's horse), and Mary Kay Bergman as various ancestors. The colourful animation is splendid, it is an interesting, political and cultural stuff with go a little over the heads of children watching, but with great set pieces, sweeping training and fight sequences, and likeable characters, especially Murphy as the wisecracking talking dragon, it is a good fun animated musical adventure. It was nominated the Oscar for Best Music for Matthew Wilder, David Zippel and Jerry Goldsmith, and it was nominated the Golden Globes for Best Original Score, and Best Original Song for ""Reflection"". Very good!",Mulan
6,Tweekums,The girl who saved China,9,2 May 2012,"Disney is probably the best known name in animation but because their films are almost never on television I don't think I'd seen one since I saw Pinocchio in the cinema in 1972 when I was five! For that reason when I saw 'Mulan' was going to be on television I just had to watch it.This film tells the tale of the eponymous Mulan; a Chinese girl living with her invalid father. When China is invaded by the Huns every family must send one male to fight for the emperor; as Mulan has no brothers this means her father must go for the sake of the family's honour. Knowing that he will almost certainly be killed Mulan cuts her hair short before taking her father's armour and sneaking out of the house at night to enlist. This is a foolhardy move as it would mean instant death and dishonour should her true gender be exposed. In order to save her the family ancestors are summoned and Mushu, a small dragon goes off to help her he too wasn't meant to go but he is determined to regain his position. When Mulan gets into the army things don't go too well at first and more than once it looks as if she will be caught; eventually however she and her comrades go into battle against the dreaded Hun and due to Mulan's bravery and quick thinking they prevail. Unfortunately for her though they learn she is a girl; because of her bravery she isn't killed but she is left behind in shame. When she sees that the Hun aren't all dead she must tell her friends and save the emperor this time she won't be hiding her gender they will! I was surprised how much I enjoyed this; the story was great and I really liked the protagonist, Ming-Na did a good job providing her voice. The most recognisable voice was provided my Eddie Murphy, who played the comedy sidekick Mushu; he did a good job and provided plenty of laughs from a character I initially thought might turn out to be irritating. While there are plenty of laughs there is also a good amount of drama and action; the scenes where Mulan sets off to join the army and where her unit finds the site where the rest of the army had been defeated were particularly poignant. The action scenes were quite dramatic; especially the 'avalanche scene'. Being a Disney film there were some songs and while they didn't have me humming along they did add some enjoyable moments. Being a U certificate there is nothing in this film that makes it unsuitable for young children and it is nice to see a children's film where the female protagonist doesn't need a man to rescue her from danger; here it is she who does the rescuing! Given how much I enjoyed this; I just hope it isn't another forty years till I catch another Disney animation!",Mulan
7,BA_Harrison,"Not one of Disney's best, but still good fun.",6,25 September 2006,"When China is attacked by the Huns, the emperor enlists one man from every family to help fight the savage invaders. In order to save her father (the only male in her family) from what would probably be certain death, beautiful Mulan disguises herself as a man and takes his place. Aided by Mushu, a wise-cracking dragon, and a 'lucky' cricket, Mulan learns how to be a soldier, saves the day and still has time to steal the heart of a dashing captain.Disney's adaptation of the Chinese legend of Mulan is a well animated and entertaining tale, but one that may not appeal to younger children due to its rather slow start and historical setting. Technically the film is superb, with some lovely stylish oriental flourishes to the animation and superb action scenes, but the unmemorable songs are less than impressive and many of the supporting characters lack the 'personality' we have come to expect from recent Disney films.Although definitely not a 'classic', Mulan is nevertheless still entertaining fare and, let's face it, even a poor Disney movie usually has enough merits to warrant a viewing (unless it's the Black Cauldron or Cars, of course!).",Mulan
8,moonspinner55,She's an Oriental Yentl,5,28 June 2001,"Good-looking but lumpish and derivative Disney animated musical based on Chinese folklore. Young girl, a failure in Concubine School, decides to join the Chinese Emperor's Army disguised as a boy to save her family's name. The dozen-plus ""drag"" jokes and vocal hamming from Eddie Murphy (as a tiny dragon) may make older kids giggle, but this is far from the studio's best work. The bathing sequence is a hoot, there are moments of beauty and wonder, but Mulan simply isn't a very intriguing character. The songs from Matthew Wilder and lyricist David Zippel are not memorable and the picture seems exceptionally long at 88 minutes. ** out of ****",Mulan
9,sunwarrior13,One Of The Best Disney Animated Musical Features,10,3 October 2012,"Mulan is an animated musical film directed by Tony Bancroft and Barry Cook.It is based on the Chinese legend of Hua Mulan,who is a girl pretends to be a man and takes her father's place in the army. Ming-Na, Eddie Murphy, Miguel Ferrer and BD Wong together with Miguel Ferrer,Harvey Fierstein,Beth Fowler,George Takei and Pat Morita provided voice to the characters.The screenplay was written by Rita Hsiao, Philip LaZebnik, Chris Sanders, Eugenia Bostwick-Singer, and Raymond Singer.It is set in China during the Han Dynasty. Fa Mulan is the only daughter of aged warrior Fa Zhou. She impersonates a man and takes her father's place during a general conscription to counter a fictitious Hun invasion led by Shan Yu. Along with her guardian dragon Mushu, her captain, Li Shang, a lucky cricket and her companions, Yao, Ling, and Chien-Po, she battles the invading Hun army.Exploring themes of family duty and honor, this movie breaks new ground as a Disney film, while still bringing vibrant animation and sprightly characters to the screen.What's terrific about it is its reaching for emotions that other movies run from: family love and duty, personal honor and group commitment, obedience and ingenuity.Overall, this is a lovely film, ranking with the best of Disney's animated features while taking on serious issues of war, honor, gender roles and family pride.",Mulan
