,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,some surprising fun,6,16 November 2019,"Dora lives with her parents (Eva Longoria, Michael Peña) in the jungle as they search for the lost Incan city of Parapata. She's a six year old with her backpack, map, monkey friend Boots, and cousin Diego while fending off the swiping fox Swiper. Ten years later, her parents send her to L.A. to live with her cousin Diego's family and socialize with regular kids. She is a fish out of water. Diego is embarrassed to be around her. Randy is the school nerd. Sammy is the hated overachiever. During a museum trip, the four outsiders are forced to be in a group. Treasure hunters kidnap Dora along with the three others and transport them back to the jungle. They plan to trade Dora to her parents for the lost city and its treasures. The kids are rescued by Alejandro who claims to be a friend of Dora's parents.I'm not expecting much from this movie. For the IP, I expected a kids movie with kids. I still think six year old Dora and Diego could have some great adventures in the jungle as a family film. It's the way I would want for a Dora movie. From the trailer, the movie sets out with a teenager Dora. It would have been more interesting for her to explore the concrete jungle. So, the movie is going a third way. It has its funny moments. Dora's unrelenting cheerfulness is awkwardly funny in a couple of scenes. The four kids have some good chemistry. This is fine but I don't see it expanding into a bigger franchise. It has no chance of being the next Harry Potter. I doubt that this one can generate a sequel.",Dora and the Lost City of Gold
1,nogodnomasters,"Can you say ""perfecto""?",10,31 August 2019,"Dora and her high school friends are on a rescue mission of her parents and looking for the Lost City of Gold. At times it was a nice combination of ""The Last Crusade"" and ""National Treasure."" The characters were delightful and comical. It included Dora's asides, which was questioned by people around her. Great entertainment for the entire family. A film adults will enjoy watching with their children. I was impressed with the historical reference to the ""United Fruit Company.""",Dora and the Lost City of Gold
2,paul_haakonsen,Surprisingly good and entertaining...,6,5 November 2019,"Well, I had a vague idea about whom Dora the Explorer was from a few glances on the TV when my son have been flipping through the children shows. So I sat down to watch this 2019 live action rendering of Dora the Explorer with my 9 year old son.Turns out that the movie was actually better than I had expected to be. I had expected this to be a children's movie, but it is actually a family movie, because there is something even for parents and adults to enjoy in the movie. So whatever beforehand assumptions I had about what I was in for was definitely put to rest at the hands of director James Bobin.Think about this as being sort of a light-hearted Indiana Jones adventure for the children and the family, and just take out the Nazis from the equation. Actually, the storyline in ""Dora and the Lost City of Gold"" was actually rather enjoyable, and the story was captivating and the good pacing of the story made it a very entertaining movie to sit through.They had a good ensemble of actors and actresses to portray the various roles, and Isabela Moner, playing Dora, really carried the movie quite well. It was sort of fun to realize that it was Benicio Del Toro whom voiced Swiper and Danny Trejo that voiced Boots. And they also had the likes of Michael Peña and Temuera Morrison in the movie as well.I was more than genuinely entertained and surprised with this movie, and it was definitely well worth sitting down with my son to watch. My rating of the 2019 ""Dora and the Lost City of Gold"" movie is a six out of ten stars.",Dora and the Lost City of Gold
3,oscaralbert,"In theaters the same month that ""the World's lungs"" are burning up . . .",7,24 August 2019,". . . DORA AND THE LOST CITY OF GOLD displays a remarkable lack of environmental awareness. (To the camera: ""Can you say 'I'm just in it for the money'?) ""Dora's"" story begins in the Amazon Rain Forest, most of which lies in a failed nation-state commonly referred to as ""Brazil."" To understand this horrid hovel of a homeland, just imagine an over-populated swamp in which the majority of voters mimic the deplorable basket of USA ""Red Statesmen."" Furthermore, imagine that these malingering miscreants elect an Arsonist-in-Chief who orders Earth's main oxygen production facility to be torched and burned to a crisp, wiping out the Seven Lost Tribes of Brazil, along with 47% of the planet's genetic diversity. (To the camera: ""Who gives a carp about the Real World?"") DORA AND THE LOST CITY OF GOLD is a not-so-funny spoof of this South American Armageddon. IF Dora had an ounce of gumption, she'd get on the stick and take out her neighborhood bully before he can entirely make good on his credible threat to Humanity's survival. Instead, she stumbles around in a daze, warbling songs about maps, backpacks, and carp holes for ""Going #2.""",Dora and the Lost City of Gold
4,neil-476,Great fun with a stellar title performance,9,25 August 2019,"Dora lives with her parents (and a very obviously CGI monkey) in the Peruvian rain forest, and wants to be an explorer like them when she grows up. But her parents send her to high school in the USA when she is in her teens as they think she needs to learn to socialise. Yet maybe the jungle is closer than she fears.My kids are in their 30s - I never saw the animated TV show which is the jumping off point for this live action family movie. But there are so many nods to it that I'm pretty sure it wouldn't surprise me to see it. However, I did see this movie, in which 15-year old Dora is smart, resourceful, and ready to burst into appropriate but pretty awful songs at the drop of a hat (I must make it clear that the awfulness is deliberate and usually quite funny).The film achieves a clever balancing act. For those to whom the TV series is a treasured part of childhood, it is honoured and respected. For those who haven't seen it, we are looking at a (very) junior level Indiana Jones adventure with a likeable ensemble, some excitement, and a lot of humour. I saw it in a small auditorium with about two dozen in the audience: there were places where the kids laughed, places where the adults laughed, and places where everyone laughed.15-year old Dora is played by Isabel Moner, now just turned 18. This is the 4th film I have seen her in, and the first she has headlined. Playing a relentlessly positive character who is essentially a real-life cartoon, and who could so easily be irritating, she gives us a Dora who is immensely likeable. Much of this, I suspect, comes from Miss Moner herself, who impresses me more with every film I see her in.",Dora and the Lost City of Gold
5,ericstevenson,It certainly looked awful,8,14 June 2020,"This movie is based on the immensely popular ""Dora The Explorer"" cartoon and its cartoon is one of the most hated cartoons ever made. It still set a record for biggest improvement from a TV show! It's amazing how something as beloved as ""Avatar: The Last Airbender"" can be made into one of the most hated films of all time, but this cartoon is made into something so good! Okay, it's not great but definitely good. There was a parody of this years before it was even made! The best part is that they don't take themselves seriously.While it's still a film worth seeing, I definitely think it went on too long. The pacing could have been better, especially how it went from young to old to High School to the jungle again. Still, it's got a great sense of humor and Dora is a very likeable character as are really all the characters. It's mostly played for laughs. Since when did live-action adaptations get so good?! They used to be some of the worst movies ever made! ***",Dora and the Lost City of Gold
6,cricketbat,Much more amusing than any episode of Dora the Explorer,7,19 September 2020,"Considering this movie is based on an educational children's cartoon, Dora and the Lost City of Gold is better than it has any right to be. It's much more amusing than any episode of Dora the Explorer. Isabela Moner is infectiously perky and it's obvious that she's enjoying her role. There are some absurd moments in this movie, but overall, it's an entertaining, self-depreciating ride for kids and adults.",Dora and the Lost City of Gold
7,tabuno,An Enjoyable and Decent Youthful Movie,8,30 December 2019,"This adaptation of the popular cartoon series brings to the big screen an upbeat and lavish story that is bubbly, optimistic with a good message in this entertaining comedic adventure. The central character of Dora is infectious and inviting with her authentic and valuable intelligent naivety. Her ability to make friends and her ability to both physically and mentally bore through obstacles instills hope and encouragement as a model to younger audiences. This is a decent and fun movie, sort of a Mr. Rogers in the wild.",Dora and the Lost City of Gold
8,UniqueParticle,I cant believe I saw this and enjoyed it,7,6 September 2019,"I was the only one in the theater which helped a lot, I'd be embarrassed to see this around others especially being 27 years old. There's quite a lot of dumb moments and heartwarming scenes too; luckily this only cost me 53 cents because of my Regal Unlimited subscription. Also an odd thing I've noticed is the actress who played Dora has really gone through puberty and yet she doesn't seem mature that's really the only problem I had. Is it so wrong to be innocent? I don't know anymore.",Dora and the Lost City of Gold
9,John6Daniels,Kiddie version of tomb raider,1,14 August 2019,"Yes it's the kiddie version of Tomb Raider.How this movie even made pass 500,000 (It made over 19 million) at the box office shows us why there are still very bad-dumb movies being made like Dora and the Lion King 2019.90s children movies had more heart, dept, fun, security, story and realism. Today just add bad jokes and violent PG gags and you got yourself a movie.",Dora and the Lost City of Gold
