,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,The premises of the TV series,8,11 June 2019,"Back in the 60s I tuned into ABC TV on Tuesday night to see how David Janssen as
Dr. Richard Kimble would once again escape the clutches of the law. Kimble was a convicted murderer who escaped execution in a train wreck. Once out Kimble
searches for a one armed man he saw leaving his home where his dead wife was
who can clear him. Searching for single wing and avoiding the cops was what was
behind every episode for four years.That's still in the film, but it's a more complex motive behind the killing and it
involves Kimble's colleagues in the medical field. Harrison Ford who is now
Richard Kimble is as resourceful as Janssen was on television. What is a change
is instead of the very dour Barry Morse as Lt.Gerard the pursuer and a lone hand pursuer we have good old boy Tommy Lee Jones who is in command of
a unit of Fugitive chasers. The voluble and quotable Jones earned himself a
Best Supporting Actor Oscar for what he did here.The tension is good and crackling throughout and both Ford and Jones have
their moments. Ford and Jones are evenly matched as adversaries. As the
pursuer Jones could easily have been made to look like Wile E. Coyote as Morse
was sometimes over the run of the TV series.Also Joe Pantoliano has some good moments as Jones's 2nd in command. He
has some droll lines.This is one case where a movie adaption of a classic television series did not
make you wax nostalgic for the series.",The Fugitive
1,Leofwine_draca,One of the best thrillers of the decade,8,18 June 2017,"The 1990s wasn't exactly a decade known for quality cinema. Particularly in the second half of the decade, Hollywood became obsessed with poor quality CGI and the like and the quality of movies in general plummeted. However, in terms of action movies and thrillers, there were still plenty of interesting titles being released, none more so than THE FUGITIVE. A remake of the cult 1960s TV series, this blockbuster hit pitted hunter Tommy Lee Jones against wronged man Harrison Ford in a refreshingly adult and old-fashioned story that could have been directed by Hitchcock back in the day.There's a lot to love about this one. Harrison Ford plays his usual resourceful hero, but he's more grounded and believable than most and as a whole the story is far more realistic than expected given the excesses of the decade. Jones is the scene-stealer here and deservedly won the Oscar for his wry, finely-judged performance that contains a lot of humour. The supporting cast is also of a high calibre. However, the real winner is director Andrew Davis, who brings back half the cast from UNDER SIEGE and crafts a film which is just as thrilling and edge-of-the-seat exciting. Despite a fairly lengthy running time, this journey is never slow, and it's only occasionally clichéd. It has a real drive to it, a sense of momentum that sees it through. A fine sequel, U.S. MARSHALS, followed.",The Fugitive
2,SnoopyStyle,Harrison Ford and Tommy Lee Jones perfectly matched,8,9 March 2014,"Dr. Richard Kimble (Harrison Ford) is called in for an emergency surgery. When he returns home, he finds an one arm guy murdering his wife (Sela Ward). The cops don't believe him, and he is wrongly convicted. Kimble's prison transport crashes when the prisoners try to take over and is run over by a train. Kimble escapes and Deputy US Marshal Samuel Gerard (Tommy Lee Jones) takes charge of catching Kimble. Meanwhile Kimble goes in search for his wife's killer.There are just so many classic moments from this movie. Not to mention that these two lead actors are perfectly cast as their characters. Those great lines just sings out of Tommy Lee Jones' mouth. The investigation is also compelling. The whole movie is just as entertaining as heck.",The Fugitive
3,Hitchcoc,Tommy Lee as Harrison Ford's Javert,9,3 January 2017,"Most of us remember David Jansen as the fugitive, Richard Kimble. Every episode was another hiding place, another near escape. Barry Morse's Gerard was tireless, obsessed. So now we have Harrison Ford, whose facial expressions of pain and anguish are priceless. He is the perfect victim of a crime he did not commit. He is formidable, like Indiana Jones, but always looking over his shoulder. Tommy Lee Jones as Gerard has that itch he needs to scratch. He is utterly determined to get Kimble. He continually puts himself in danger, risking his life for his cause. He is like Javert in ""Les Miserable,"" where the job supersedes all else. The close calls and the gyrations Gerard must perform to continue his pursuit are almost superhuman. Kimble is left with only one option. He must find the one-armed man and prove he committed the murder. This is a marvelous adventure film which should appeal to nearly every taste.",The Fugitive
4,classicsoncall,"""I didn't kill my wife.""",9,5 May 2018,"I'd only seen snippets of this movie in the past but never the entire picture until the other evening. I thought it was a well plotted thriller with only a couple of minor quibbles that distracted from the main story. One was when Richard Kimble (Harrison Ford), on the run from Deputy Marshal Samuel Gerard (Samuel Gerard), committed an unforced error by responding to the sound of his name on the staircase. The other was during the St. Patrick's Day Parade, Kimble sheds his heavy topcoat and when he heads out of the parade route, Gerard appears to have been walking closely behind without realizing it. My question would be - how and where would Kimble have discarded the coat without anyone noticing? Otherwise, the film's story line was well scripted with tantalizing details regarding the villains of the piece dispensed like crumbs to help the viewer follow Kimble's progress in solving the crime of his wife's murder. But aside from Kimble, it's Tommy Lee Jones's character, Samuel Gerard, that keeps the story crackling with beat pounding forensic work and deftly inserted humor to sharpen the suspense. I liked the idea that Gerard slowly but steadily brought his own way of thinking around to consider that Kimble might be innocent, something you don't see very often when authorities think they have an open and shut case. And in this instance, the case had already been decided once, so Gerard and the rest of his team were more or less involved in a deadly cat and mouse game until the pieces with Dr. Charles Nichols (Jeroen Krabbé) and security expert Sykes (Andreas Katsulas) began to fall into place. I guess the biggest downside to the picture if there is one, is that we didn't get to see Sela Ward all that much. As Mrs. Richard Kimble, she wasn't on screen very long, nor was Julianne Moore, who shares top billing as the doctor who smoked out Kimble's ruse at the hospital. Both were fine in limited roles, along with Joe Pantoliano as Gerard's second in command. But gee, who names their kid Cosmo?",The Fugitive
5,gavin6942,It Wasn't Me! It Was The One-Armed Man!,7,3 October 2006,"Harrison Ford is arrested for killing his wife, a crime he didn't commit. Through some incredible luck, he escapes on the way to the prison and returns to Chicago, completely undetected because he shaves off his beard. Can he find the real killer before the marshals (led by Tommy Lee Jones) track him down? This film is considered one of the better films out there. It was good, but I wouldn't say it was the greatest. Having just watched ""Striking Distance"", I found some of the similarities to be a bit unfortunate. I mean, they're two very different films but coming out about the same time makes me suspicious.Ford is great of course and Jones is the perfect man to face him. Julianne Moore also gets a top billing, but I'm not sure why because she has no more than five minutes of screen time. I could have used a full hour of her.What keeps this film going is the mystery and conspiracy. It runs very deep and keeps you guessing, so much so that even in the end you may need to watch the movie again to really understand who is connected to who and what. I think I saw a plot hole or two, but maybe it was just so complex I couldn't tell! The action is also good (especially the train-bus collision) but this should not be your reason for watching it.If you liked this movie, I strongly recommend you read up on the case of Dr. Sam Shephard. My understanding is that his case was the basis for the show and movie, so you might want to see how things happen in real life. Just a suggestion.",The Fugitive
6,lee_eisenberg,A perfect display of both men's talents.,7,1 October 2006,"I had never heard of the original TV series when the movie first came out, but when I saw the movie several years later, I was quite impressed. What's really interesting is the dichotomy of Richard Kimble (Harrison Ford) trying to escape, Sam Gerard (Tommy Lee Jones) trying to catch him, and how both men try to outsmart each other.OK, so how many man-on-the-run movies can there be? Well, ""The Fugitive"" justifies them. And while Tommy Lee Jones - who won Best Supporting Actor - has since become typecast as the pursuer, remember that this was the original. Of course, Harrison Ford is the real reason for the movie. His gravitas reaches unmatchable levels here. A real treat. Also starring Sela Ward, Julianne Moore and Jeroen Krabbe.",The Fugitive
7,jboothmillard,The Fugitive,8,22 September 2005,"I always like a good crime action thriller, and this is another fantastic one based on a TV series. Basically well respected surgeon Dr. Richard Kimble (Golden Globe nominated Harrison Ford) found his wife Helen (Sela Ward) ferociously murdered at home, and the police mistakenly found him and he was accused of murder. He was then tried, convicted and sentenced to death, however, he manages to escape when the prisoner transport bus crashes. Kimble is now on the run, both escaping the cops, led by Marshal Samuel Gerard (Oscar and Golden Globe winning, and BAFTA nominated Tommy Lee Jones), and trying to find the guilty man and prove his innocence. Also starring Julianne Moore as Dr. Anne Eastman, Joe Pantoliano as Deputy Marshal Cosmo Renfro, Andreas Katsulas as Frederick Sykes, The Living Daylights' Jeroen Krabbé as Dr. Charles Nichols, Daniel Roebuck as Deputy Marshal Robert Biggs, L. Scott Caldwell as Deputy Marshal Poole, Tom Wood as Deputy Marshal Noah Newman, Ron Dean as Detective Kelly and Joseph F. Kosala as Detective Rosetti. The action and some stunt sequences are exhilarating, Jones deserved the Oscar, and this film has very witty pace. Jones returned in a sequel, U.S. Marshals in 1998, which obviously cannot come close to the great action and thrills of this. It was nominated the Oscars for Best Cinematography, Best Sound Effects Editing, Best Film Editing, Best Music for James Newton Howard, Best Sound and Best Picture, it won the BAFTA for Best Sound, and it was nominated for Best Editing and Best Special Effects, and it was nominated the Golden Globe for Best Director for Andrew Davis. Harrison Ford was number 5 on The 100 Greatest Movie Stars, and the film was number 33 on 100 Years, 100 Thrills. Very good!",The Fugitive
8,ccthemovieman-1,Fabulous Thriller That Endures,10,17 October 2005,"This a one of the best thriller/suspense/action films I have ever watched, and I've seen tons of them for almost 50 years. It ""endures"" because it is just as entertaining on the sixth viewing as it is on the first.Of course it helped it was based on a TV show that people my age watched religiously every week, so the plot if familiar and many of us wanted to see how the movie would stack up to the TV program. Well, as good as the TV series was, this was far better. Two scenes alone: the train wreck and Harrison Ford taking a swan dive - were worth the price of the film. Great stuff.The story has been discussed by many so let me just add how much I appreciate the sound in this movie. When this film first came out on VHS, I used the opening moments as a demo model for various surround systems. The DVD has enhanced that as well as the picture.The film has just the right amount of action scenes, very interesting characters and a storyline complex enough to bring you back for multiple viewings to totally understand it. Ford, of course, is the star with Tommy Lee Jones a close second, but the more you watch this, the more you appreciate EVERYONE'S acting in this movie.And, by the way, filmmakers take note: here''s another example how you can make an ""edgy"" modern-day crime film without a ton of unnecessary f-words.",The Fugitive
9,rmax304823,The Doctor is Out.,6,3 August 2004,"Part of the fun of the original series, lo those many years ago, was watching Doctor Richard Kimble get turned into Doctor Richard Humble. I mean, here he is in the person of David Jansen, and we know he's got a sconce full of medical knowledge and everything, yet he's running from town to town being a gardener or a pool guy or something, never able to show off his skills until the end of the program when he's called on to reveal his identity by saving someone's life. It was like watching Jimmy Stewart in ""Destry Rides Again,"" the newly arrived sheriff acting like a bumbling inarticulate naive idiot until half-way through he unlimbers his guns and leaves the town goggle eyed.The movie lacks the tension associated with that kind of status discrepancy.It doesn't really matter much that Harrison Ford is a doctor. He's only called on to exercise his skills once. And he never is hired as a handy man or chimney sweep so there's no real mystery about his true occupation to be unraveled.I'm pretty much skipping the plot of the movie because it must be pretty well known by now. But I will say that the episodic semi-mystery of the original, with Kimball getting involved in the lives of various locals, has been dropped in favor of a standard chase/action movie, and not a bad one if you disregard certain facts. One of the facts to be disregarded, common to action movies of this caliber, is that the human body is destructible. Instance: Dr. Kimball does this Brody out of a sewer outlet and falls down the greatest biggest most horrifyingly tiptoptoloftical cascade of water you ever saw. The scene reminded me of an old Tarzan movie in which Tarzan dives off one of the towers of the Brooklyn Bridge. Like Tarzan, Harrison Ford, emerges from the midwinter water, shakes himself off like a dog, and makes off through the woods with only a look of irritation to show for the experience.The solution to the murder mystery, when it comes, arrives rather suddenly and without earlier hints. All of a sudden there is something to do with falsified results of liver damage. I don't know what's the big deal about Provasic. I once asked a doctor to give me something for my liver. He gave me a bag of onions and that was that. The ending involves more human indestructibility, multiple shootouts, a helicopter with one of those bright spotlights, a chase across a roof, a fist fight in which middle-aged doctors throw punches that would stun a rhinoceros, and so forth.Harrison Ford is okay. We don't get to see nearly enough of Julianne Moore.She exudes intelligence as well as a peculiar beauty. Tommy Lee Jones is outstanding. He brings something unique to each role. And Joe Pantoliano is as good as always, which is to say pretty good. Joeren Krabbe is a smooth villain. Well, with a name like that, could it be otherwise? Come to think of it, we should have seen more of Sela Ward too, a Southern black-eyed susan if there ever was one. It's easy to understand why, after she was murdered, Ford carried a grudge against the perpetrators.Well, see it if it's on TV sometime. Or rent it if you want action. And if you want action, the first bang-up bus-train collision should keep you happy for a while.",The Fugitive
