,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Terrific and very entertaining,8,9 March 2011,"I really like this movie and the sequel, this one being the better movie. The third act is silly perhaps, and the crime subplot could have been a little better handled. However, a lot of things make this movie terrific and very entertaining.I just love the songs, they are so upbeat and joyful, and they are wonderfully staged and sung. The nuns are great to watch, they are sweet, innocent and so easy to fall in love with. Whoopi Goldberg is absolutely terrific in the lead, she really gives it her all and it comes through loud and clear. The film looks great too, goes at a good pace and has a decent story and funny and charming script. Also, the direction is competent, and Maggie Smith is a welcome presence.Overall, thoroughly enjoyable and if you haven't seen the West End stage show, do, it's even better. 8/10 Bethany Cox",Sister Act
1,bkoganbing,Her own music ministry,7,12 March 2017,"Practically fresh from the Best Supporting Actress Oscar she won for Ghost, Whoopi Goldberg comes back with a pair of films as Deloris Cartier aka Sister Mary Clarence in Sister Act. Probably some of the best publicity the Catholic Church got since Bing Crosby playing a priest.Whoopi is the lead singer in a tribute Supremes act in Reno and mistress of casino owner Harvey Keitel. When she walk in on Harvey dispatching a snitch to the hereafter it's time to flee to the law.What to do with his witness against Keitel who is known to make people disappear is what Detective Bill Nunn has to solve. He calls in a favor and asks Mother Superior Maggie Smith in San Francisco to stash Whoopie in her big city convent under Sister Mary Clarence.Whoopie had a Catholic school experience and didn't take to it all that well is kind of an odd fish in the convent with nuns of all types and experiences. At this point Sister Act does become a lot like those Crosby films because in Going My Way Father O'Malley puts a little life in the church by organizing the neighborhood kids as a choir. And even more so in The Bells Of St.Mary's where the nuns are a rather nice choir.Whoopi puts her own music ministry together with some soul and some more contemporary music than Bing was doing in his day. But she still has Keitel looking to bump her off before trial.Some nice performances from those mentioned and from Kathy Najimy and Wendy Makkena as her sidekicks in convent mischief.I'm sure Maggie Smith who no doubt saw the Sound Of Music was beginning to create her own lyrics to How Do You Solve A Problem Like Whoopi.No problem for us at all, sit back and enjoy.",Sister Act
2,SnoopyStyle,fair simple comedy,6,21 January 2015,"Deloris Van Cartier (Whoopi Goldberg) is a singer in a Reno casino lounge act. Her boyfriend Vince LaRocca (Harvey Keitel) won't leave his wife. To her surprise, he's a mob boss and she witnesses him kill somebody. She becomes a witness for the police and they hide her as a nun in a convent run by the Reverend Mother (Maggie Smith). She clashes with convent life. She befriends some of the other nuns and she coaches the choir to some success. She also pushes the nuns to interact and clean up their rundown neighborhood to the dismay of the Reverend Mother. Meanwhile Vince has a large contract out on her life.The characters are likable. Kathy Najimy is fun. Whoopi has a bit of street wise edge that plays well with the other nuns. It's not anything with big laughs but it gives a few smile-worthy moments. It's conventional in its structure and humor.",Sister Act
3,Hitchcoc,Just Watch and Enjoy and Don't Think Too Much,6,30 December 2016,"Whoopie Goldberg dominates every scene. She is a woman of ""questionable"" character who finds herself in a convent, a true fish out of water. Her dominance on the screen is actually a distraction, however, because she stands in contrast to a group of competent actors who can't hold a candle to her. The sisters of the convent are a bunch of stereotypes. There is the shy one, the giddy crazy one, the severe mother superior, the somewhat irresponsible one. As Whoopie is absorbed into this new life, she begins to show her musical talents, forming a choir. I'm not religious at all, but there is something really crass about taking a group that have given their lives to God that doesn't wash very well. When they sing, they start out with the usual religious stuff but soon move into a more secular, upbeat presentation. It's as if the new arrival is saying, you need to go back to the world you left to give yourself to your God. I know it's a harsh comedy because there are people out there ready to kill Whoopie, but if I were Catholic I'd be a bit annoyed. It plays to the movie audience that thinks, boy those Nuns certainly have a great time! Watchable but hard to fathom as reality.",Sister Act
4,mark.waltz,...And then There Were Nuns.....,7,7 May 2015,"While the idea of an obviously Jewish nun was very funny in the initial plans for Bette Midler to star in this smash hit Touchstone comedy, the ultimate re-casting with Whoopie Goldberg probably did this more good in the long run. The story wasn't anything new, but the execution was so wonderful that it became one of the runaway comedy hits of the summer of 1993 and inspired both a sequel and a hit Broadway musical ultimately produced by the Whoop-ster herself. This basically could almost be called a semi-sequel to the 1960's pair of ""nun"" comedy's, ""The Trouble With Angels"" and ""Where Angels Go, Trouble Follows"", as one of those film's nuns (Mary Wickes) is back again in the habit, and in the follow-up film to this (""Sister Act II, Back in the Habit""), she was once again behind the wheel of a bus, delivering funny lines and gently stealing the film from Whoopie and the most memorial mother superior in film history, the wonderful Maggie Smith.There's no originality in the plot of second string Vegas singer Goldberg hiding out in a convent after seeing her white mobster lover kill a snitch. But what happens in a convent hopefully stays in the convent, that is until Goldberg takes over the ultra flat chorus and turns them into earthly ""Supreme"" beings. Their singing gets the attention of locales not interested in church, and before you can make a sign of the cross, ""his holiness"", the pope, is on his way for a visit, and Goldberg's hiding place is about to be revealed. After all, even in a habit, she looks conspicuously out of place, but even with putting the convent in danger and disturbing Mother Maggie's sanctity with a Catholic version of a nightclub show, she changes many lives, especially hers.It is the music here that thrills, as do many of the wise-cracking comments Goldberg makes. Even the tightly wound Maggie gets in her usual acidic comment when Bishop Joseph Maher reminds her of her duty to those in need and her vow of charity. ""I lied"", she dryly says. Newcomer Kathy Najimy also gets a few good lines in as a plump cheery nun who has a singing voice that could be used to warn of air raids. ""My mother told me I should become either a stewardess or a nun"", she cheerily smiles, adding ""Coffee?"" Newcomer Wendy Makkena is the shy noviate nun who with Goldberg's help proves that she does have a voice. The foursome of Goldberg, Wickes, Najimy and Makkena becomes a lovable clique, while various Broadway veterans surround out the chorus of other nuns as well. The Broadway musical had a long journey from its initial try-outs in Pasadena and Atlanta to New York, and fortunately, what seemed forced and rushed in the early Pasadena staging (where the Reverand Mother was written much more colder than Smith's and lightened up greatly) came together once it got to Broadway. It was a crowd-pleasing hit for two years, showing that with some divine intervention, this lovable film could put a smile on the face of even the staunchest critics. Even Goldberg as producer got into the mix for a bit when she briefly played Mother Superior in London. Seeing both variations of the stage show gave me the deepest respect for the out-of-town tryout, and loving this film as much as I do, I can appreciate the need to have it on stage even if the film in its own way is pretty much a guaranteed sale. So whether your spirituality is total bible thumping or barely existent or maybe even absent, unless you've been grabbed by evil demons which require an exorcism, you can't help but adore this cheerful look into the world of nuns which make them much more human than their undeserved reputations have allowed them to be.",Sister Act
5,lee_eisenberg,"""Some Like It Hot"" meets ""The Flying Nun""!",8,14 October 2007,"I'd heard of ""Sister Act"" for years but never seen it. Now I've finally seen it. While not every scene elicits rip-snorting laughter, the general idea is really funny. Obviously, we should suspect something crazy just knowing that Whoopi Goldberg co-stars with Maggie Smith (plus Harvey Keitel). But once Whoopi enters the convent and has all her trouble adjusting - I just cracked up when she tried to say grace - the real humor starts...with some great music to boot! All in all, director Emile Ardolino followed up ""Dirty Dancing"" with another impressive flick. If you ask me, the real musicals are the sorts of movies that feature music - whether or not the characters sing it - to show an individual's personality, as opposed to just having people break out into song (have you ever actually seen a person do that?). In that sense, ""Sister Act"" is a real musical. I sure recommend it. Really cool. Also starring Bill Nunn and Kathy Najimy.PS: the next time that Whoopi Golberg and Maggie Smith co-starred was the 74th Academy Awards. Whoopi hosted and Maggie was nominated for Best Supporting Actress for ""Gosford Park"".",Sister Act
6,jboothmillard,Sister Act,8,7 July 2005,"She may have won acclaim (and an Oscar nomination) in The Color Purple, and won the Oscar for Ghost, but the leading actress became huge with this very good comedy from director Emile Ardolino (Dirty Dancing). Basically Las Vegas, Reno lounge singer Deloris Van Cartier (Golden Globe nominated Whoopi Goldberg) witnesses his mobster boyfriend (she didn't know that at the time) Vince LaRocca (Harvey Keitel) killing an employer. She goes to the police, and Lt. Eddie Souther (Bill Nunn) puts her under witness protection, placing her in a convent full of nuns. The only person who also knows about her hiding out is Reverand Mother Superior (Dame Maggie Smith), but she insists that Delores does not arouse suspicion from the real nuns, so she gives her the new identity of Sister Mary Clarence. Obviously for a while Delores is very unhappy in this situation, but after getting in trouble letting Sister Mary Robert (Wendy Makkena) and Sister Mary Patrick (Kathy Najimy, a hilariously kooky performance, almost stealing the show) she has a purpose. Being put with the nun choir, Delores finds herself a job, replacing Sister Mary Lazarus (Mary Wickes) as head of the choir, and with her knowledge of Vegas music, she turns the awful singing into crowd bringing spectacle. She also makes a good image for the once failing convent, giving to the public (not just the singing). Of course, there is a point when the Reverand Mother is not confident with herself anymore, and Vincent was due to find Delores, but all is settled in the end. Filled with great comedy, great performances and great singing, just one of the best. It was nominated the Golden Globe for Best Motion Picture - Comedy/Musical. Very good!",Sister Act
7,ccthemovieman-1,Appealed To The Masses,8,25 May 2007,"I enjoyed this when it came out, just as millions of other folks did. It had a nice feel to it, good humor, great music and it didn't offend my at-that-time agnostic beliefs. It even had some action scenes. Many movies which combine genres (i.e. action and comedy) wind up successes. It's not a bad formula.Although Whoopi Goldberg is the undeniable star of this movie, Kathy Najimy as ""Sister Mary Patrick"" almost steals the show as the bubbly nun. However, always a sucker for a pretty and wholesome face, I preferred Mary Wickes as ""Sister Mary Lazarus."" She had this shy countenance to her before blossoming with her voice. Maybe that's why she had the name Lazarus as her personality rose from the dead.Over the years, I watched this three times and that was enough. By the end of the decade, I was a died-in-the-wool Christian conservative, so the very liberal Miss Goldberg lost her appeal to me.",Sister Act
8,ma-cortes,Whoopi takes over a ragtag nuns choir and organizes a swinging musical numbers,6,24 June 2008,"A Nevada club singer named Deloris(Whoopi Goldberg) is forced into the witness protection after accidentally seeing a murder by her mobster lover(Harvey Keitel). The police lieutenant(Bill Nunn) hide her and she takes shelter into a convent ruled by a stiff and waspish Mother Superior(the eminent Dame ,Maggie Smith). The Reno lounge singer donning nun's habit and organising the convent choir formed by sympathetic nuns who steal best laughs(Wendy Makkenna,Kathy Najimy, Mary Wickes, among others) and including a concert with presence of Pope John Pablo II.This amusing film with some genuinely funny moments follows the formula about a fish out water. Motormouth Whoopi Goldberg is pretty well the complete show and good performances for likable nuns,Makenna, Najimy and veteran Wickes and excellent Maggie Smith who disapproves modern methods. The musical numbers with a 'Diana Ross and the Supremes style', magical choreography and songs are catchy and done with gusto. The movie is amused and entertained with bemusing set pieces but don't let it make you expect too much. Well-done musical score with swinging tunes by Marc Shaiman and colorful cinematography by Adam Grenberg. The film is geared directly toward Whoopi Goldberg fans and young viewers .The motion picture is professionally directed by Emile Ardolino and was a surprising box office hit. Ardolino's speciality was dance and musicals. As it was, a semi-musical 'Dirty dancing', made his name in the cinema after years of Television specials and almost all the best moments in his few subsequent pictures were musical ones. Another speciality were comedies, such as he proved in '3 men and a little lady' and 'Chances are' . 'Dirty dancing and Sister act'were the biggest hits of his short films career , but he early died from AIDS. Followed by 'Sister act : Back in the habit', with similar casting and set in a rundown High School.",Sister Act
9,moonspinner55,Sweetly out of tune with reality,6,16 January 2004,"Watching this again on TV the other night, I couldn't help but noticing how polished and smooth ""Sister Act"" is--it looks like the perfect sitcom pilot. As a feature film, it seems a little cornball, with a completely unrealistic convent and nuns with different, colorful personalities. They unknowingly welcome a Reno lounge singer into their fold; she's on the lam from her mobster boyfriend (Harvey Keitel, game but looking a little strained). Film plays directly to the audience--after a one-liner, you almost expect a laugh-track; sometimes the sisters themselves provide a united chuckle. Flat at the beginning, Whoopi Goldberg loosens up somewhere in the middle, but she is overdirected and never gets to be human. **1/2 from ****",Sister Act
