,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,intriguing premise sappy execution,6,7 January 2020,"Stella Grant (Haley Lu Richardson) suffers from cystic fibrosis and spends most of her life getting treatment in hospitals. Even a lung transplant would only last about 5 years. As a precaution, patients are required to stay six feet apart to prevent cross infections. Poe (Moises Arias) is her gay best friend and Barb (Kimberly Hebert Gregory) is the protective head nurse. Stella falls for fellow patient Will Newman (Cole Sprouse) but they are forced to stay apart.The premise seems intriguing. I don't have any experience with CF so I don't know the reality. The use of video blog seems to have replaced the education film as the exposition dump. I still like the films more. They allow for clearer expositions. One can quickly dump and move on. In this movie, Will could be forced to sit through the film which he faints interest. The video blog thing can sap intensity without knowing it. For example, she talks about five feet with the pool cue for her blog when it would be infinitely more powerful to do it in front of Will. This movie does a great job transitioning from the blog to Will. It still creates a distance between the characters. With a premise that already creates that distance, the movie needs to work harder to physically connect the two young people. Ok! Boomer. Sure, I'm old and the blog is meant to project the reality of youth. Their closeness heightens the danger. Physical touch is the water for Jaws. As for Romeo and Juliet, it screams for a tragic ending. Despite some intriguing ideas, it falls to the two lovely leads to maintain chemistry. These are lovely actors and this is a nice ""cancer ward"" romance.",Five Feet Apart
1,nogodnomasters,Breathing Borrowed Air,4,4 May 2019,"This is another dying teens love story. They don't have cancer and run off to Europe and have sex. They have cystic fibrosis (CFers) and show each other their scars at a distance. Stella (Haley Lu Richardson) is a bit of a basket case and wants to save the world from Saint Grace hospital using an experimental drug waiting for some organ donor nearby of the same blood type to get decapitated in a car accident. She takes a shine to another CFer who is a bit of an MFer. But as always, she changes him because women always think they can change men.For me, love is never having to watch another dying teen love story. UGH! Like ""Twilight"" and ""Will Ferrell"" people will say how great it was and then grow out it and say, ""I can't believe I liked that.""",Five Feet Apart
2,kosmasp,Perspective and represantation,6,15 July 2021,"I just read a review that is from a person that actually has CF. And it reads genuine, not like someone who craves attention or just plain lies about it. That person overall likes the movie and thinks the represantation and the mostly accurate depiction of certain things (therapy and so forth) weigh more than the fact that the movie goes Hollywood on us. Romantic drama Hollywood that is - apparently there are other movies that get a lot more wrong.So who am I to dispute that or say something different? I am glad that person feels that way and I hope that is true for others who watch this. That being said, I would not be honest to myself or anyone else if I wouldn't rate this the way it felt to me. And the cliches that are being used, the predictability of it all and the fact that the movie ... well goes Hollywood on us, is something I can't leave outside my review and rating overall.The actors do their best with what they got and while it is tough for someone who doesn't have the experience of what they go through to know or understand all their reactions, we as viewers may understand certain feelings because they are human. Being closed away is one thing - wanting to break free or bend the rules another - one that has to thought about especially considering the risks one will take with it ... the ending is as dramatic and Hollywood as it gets and again something that is to be expected.So depending on your experience and your willingness to suspend your disbelief, you will be able to ""enjoy"" this more or less than others.",Five Feet Apart
3,Quinoa1984,A wonderful performance tops a mediocre sick-love story,5,7 April 2019,"As others have noted already, Hayley Lu Richardson is not only the part of this movie that holds it together, she single-handedly makes a (at *best/least*) two dimensional John Green rip-off (do we call this Greensploitation?) feel genuine and heartfelt and rising above the cliches. It may be that she just stands out so wholly because the rest of the cast is just competent and OK (including Cole Sprouse, who seems to have tried to channel a young American version of the form of Richard E Grant, and would have succeeded had he not been so bland), but she is simply one of those small revelations right now in the movies: charisma and charm but a seriousness and depth of soul that balances out the adorable quality. It's an A minus performance in a C plus film.... Oh, I'm sorry, did I say C plus? Um... Well, look, this movie does some good things for the first half to two thirds when it tries to not be so melodramatic and the characters can interact and the script gives some decent lines to two sick lovebirds... Not to say it isn't fighting against two giant types, one sorta muted (Black Sassy Nurse), but not too bad because she's, also a flaw as a missed opportunity, underdeveloped and underused as a full person in this story, and then, hold on folks, the (in Patton Oswalt voice) GAY BEST FRIEEEEEEEND!Like... C'mon, writers, this is what we have in 2019 (and just a month or so after Isnt it Romantic?) The gay dude who is there to literally be the sound-board for our leading lady (and sometimes leading artist-bro)? And maybe, for a moment or two, the filmmakers try to give him a little dramatic weight, but that gets deflated once his fate is revealed (spoiler: he also gets that bit where he gets to say to someone at a party, ""oh I cant wait to see so and so next week"" and I just put my hands over my face saying, ""oh no, not *this* old gag"").But I tried with Five Feet Apart, and to the director's and writer's credit they were trying (somewhat, but points all the same, like giving out gold stars and so on) to give this some pathos, and surrounded by the physical component of Cystic Fibrosis, where the characters can't touch and have to be in this space away from each other, and if I wasnt fully engaged like with a Green YA medical-sad-amusing romance I was at least letting it take me along and wasn't all that stupid and infuriating a journey (save for the occasional ""ill brood on the roof ala My Sister's Keeper).....But then the last fifteen minutes happen, and it turns into complete BS theatrics and hysterical nonsense, with sudden twists, a decision by a character that simply doesnt make sense based on what we have known about (spoiler) CPR *FOR DECADES*, and a final scene that you can tell the filmmakers are practically screaming from a bullhorn by the video village on set ""CRY you're gonna CRY NOW RIGHT? Flow my tears, the carpetbaggers said!"" But.... Yeah, no, this is all rushed hooey.If this kind of movie with a melancholy soundtrack and amiable and more or less talented leads and a warm and too gooey for its own good heart appeals to you, then go ahead and check it out once it's invariably on Lifetime in two months. Otherwise, you'll be left pondering a couple of things while not necessarily paying 100% attention to the plot, such as a) why doesn't Stella have anymore OCD after, oh, about an hour into this when it was clearly established as a key part of her character early on (and I know As Good As It Gets did that a little too, but not like this); and b) whatever happened to Claire Forlani? Hmm.",Five Feet Apart
4,neil-476,Engaging,8,1 April 2019,"Stella is a bright, breezy 17-year old, in hospital for a regular ""tune up"", necessary as a cystic fibrosis patient. Fortunately, she is a keen blogger, and her blogs give us the main information we need to appreciate what follows - the prognosis that most sufferers die by the age of 30, and that sufferers should never get within 6 feet of each other for fear of infection. So when Stella encounters fellow CF patient (and wilful free spirit) Will, it is only a matter of time before they fall for each other. And they can't even kiss.""Disease of the week"" movies are far from unknown and, more often than not, they are cross-pollinated with teen romance, as is the case here. Having said that, this is not bad of its kind. Haley Lu Richardson and Cole Sprouse are attractive - perhaps too attractive - as the leads. Moises Arias pleases as Poe, another CF patient, and is a world apart from the character he played in Ender's Game.The plot meanders away from the expected every now and then, although this is not an illness where happy endings are commonplace. The film is often emotional without too much blatant manipulation. The thing which saddened me most was the fact that these two young people in love are never able to kiss. Heartbreaking.",Five Feet Apart
5,ferguson-6,Rising star Haley Lu shines again,7,15 March 2019,"Greetings again from the darkness. The all-too-familiar sick/dying teenager genre is frequently associated with Lifetime Channel movies or something of that ilk. What sets this one apart (and above) many in the slew of similarly themed movies is the script, and more so, two outstanding lead performances. Director Justin Baldoni is best known as an actor and director of TV projects, but he (mostly) handles the script from Mikki Daughtry and Tobias Iaconis quite well.Rising star Haley Lu Richardson (COLUMBUS, SPLIT) plays Stella, a teenager who has been dealing with Cystic Fibrosis (CF) her entire life. When we first meet her, she has checked back in to the hospital for a ""tune-up"". Despite her breathing struggles and medical issues, Stella is a shining light of optimism who is friendly with the entire hospital staff and other patients. She's also OCD and maintains a strict regimen on her meds in hopes of hanging on long enough for the holy grail - a lung transplant, or ultimately a miracle cure for this death sentence disease. Stella maintains two to-do lists: one for the day, and another for her bucket list. She also runs a YouTube channel where she educates us on what it's like living with CF.On one of her frequent visits to the hospital nursery to watch the newborn babies, Stella crosses paths with Will (Cole Sprouse), a more cynical CF patient who has B cepacia form - so deadly that sufferers aren't included on the lung transplant list. In contrast to Stella, Will wonders if the hassle of treatment is worth the pain and inconvenience, when so little hope is present. CF patients are required to don gloves, masks, and oxygen packs. One rule that must not be broken is to maintain at least a 6 foot distance at all times between themselves and any other CF patient. The risk of passing along their specific mixture of bacteria is simply too great.'Opposites attract' is in play here as Stella and Will share only one trait, and it's a bond where being too close could literally kill one or both of them. These are smart and interesting characters who understand there are no ""happily ever afters"" in their future. We are along for the ride as they learn more about each other. Will is a talented sketch artist with a wicked sense of humor in his cartoons, while Stella carries a special burden of putting others at ease while focusing on the present and looking to the future, thanks to the exploits of her beloved older sister Abby (Sophia Bernard).Other supporting actors include Claire Forlani as Will's mother, Parminder Nagra (BEND IT LIKE BECKHAM) as the doctor, Kimberly Hebert Gregory as the strict and caring Nurse Barb, and Moises Arias as Poe, a witty gay teenager and fellow CF patient, who has been friends with Stella since they were young kids. As the romance blooms for Stella and Will, there are some too-familiar moments and a couple of lame musical interludes with slow-motion ... but there are also some terrific and heartfelt scenes. In particular, a pool cue at the pool is extraordinarily tender and romantic.The film teases us a few times with assumptions, but the theme of human touch is ever-present. For CF patients, is love selfish or is it an inherent need? 'The lights are like stars' is a nice touch that explains how this disease forces these folks to think a little differently and find joy in the moment ... yet still keep their distance. Sure, Ms. Richardson (a bona fide star in the making) and Mr. Sprouse are a bit too old to be playing teenagers, but their talent allows us to take in the layers here with the disease and the limitations on life. The film has plenty of laughs and plenty of tears (bring your tissue) as we watch a heartfelt romance while also learning some of the challenges facing the 30,000 CF patients in the U.S.",Five Feet Apart
6,ThomasDrufke,Another Star-making Turn From Richardson,6,29 March 2019,"I was hesitant to go and see Five Feet Apart for a few reasons, one being that the marketing material never caught my interest, and the other that this looked like a beat for beat remake of The Fault in Our Stars. That's pretty much exactly what the outcome of the actual product is sadly. However, the one clear standout here is that Haley Lu Richardson's performance is absolutely fantastic. She breaks free from all of the painfully cliched teen sick coming of age elements to give a star turn as Stella. She has great chemistry with Cole Sprouse, though the writing felt far more blatantly formulaic from his mouth than it did with Richardson. This felt very reminscent of Jessica Rothe in Happy Death Day, this realistically should be Richardson's breakout role. Not enough people have seen her previous work. And to put it bluntly, she saved this movie.6.2/10",Five Feet Apart
7,westsideschl,Had Potential,6,28 June 2019,"The complex genetic forms of cystic fibrosis, and range of partial (especially latest) treatments could have used more time in place of the overriding viewer enticing hook of teen love (I know, got to pay the bills.). Liked the presentation of the Burkholderia cepacia bacteria found commonly in the environment bacteria, but also would have liked to know more about it. Anyway, you knew a death was in the works as well as a happy (sort of) closure.",Five Feet Apart
8,ops-52535,emotional,7,27 May 2019,"Cf, a disease i had forgotten due to calcification in my amusing amazing brain, having read about it at nursing college, but here in norway treated just in the most developed hospitals, and they never live to the ageing that usually qualify to my trade, elderly care taking . i have had aids patients, but no cf'ers, alot of kols patients, but theyve usually made the mess at own riskits a good film, lots of ups and downs, the 6 feet rule is bend into 5 feet as the film runs, the acting are great, and the fact sheet pretty well followed.
what hesitates me though are the length of this movie and its passifistic pace of ''action''. there are many movies on the subjhect of '' i just died in your arms tonight'', that i feel have flown instead of still flying.anyway, have a look ,you wont regret it , because the issues are so important and dead serious, and i really melted by the looks of the female lead, especially her hair and the way its styled, just like my wife many years ago, and hers were even better,and still is, so the grumpy old man thinks that you should take care of every moment in your living life, itll soon be over and oblivion will make order.",Five Feet Apart
9,UniqueParticle,Haley Lu Richardson is so beautiful and spectacular!,9,3 January 2020,I didn't know anything about CF but I sure love this film and everything around it! Many aspects are sad while being intriguing; I love films like this so much all the conversations are great and the romance is incredible. Very much deserves the 7.2 or higher!,Five Feet Apart
