,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Youthful innocence and ageing wisdom,7,22 September 2018,"With a great idea, a director in Ron Howard who has done good films despite being disliked by many and a talented cast (Don Ameche, Maureen Stapleton, Jessica Tandy, Wilford Brimley), 'Cocoon' sounded to me like it would be good. Another interest point was its Oscar wins for Best Visual effects and Best Supporting Actor for Ameche (his only Oscar during his comeback period in a long career full of very good films and performances).'Cocoon' fortunately struck me as a good film, very intriguing that lifts the soul and charms with fun and emotional moments. It could have been even better and isn't perfect or one of the best films from that year, but there is an awful lot to like and even love here. Sadly it is rather overlooked today, a distinction that is not deserving, and deserving of much more credit than it gets. It may be overlong, with it faltering and running out of steam towards the end where it gets predictable, and the alien characters (excepting Brian Dennehy's, who fares very well here) are not quite as interesting or as developed as the older cast. Also found Tahnee Welch (while fetching) a bit bland in a plot-device role and Steve Guttenberg rather forgettable and somewhat annoying in his. To me, the older cast are far more memorable and compelling. All are very sassy and distinguished, with Ameche being an absolute joy (am not going to go into the debate of whether he deserved the Oscar or not, despite seeing many people citing his as one of the worst in the category and saying it was a career Oscar it wasn't an issue for me because it was a great performance in its own way). Stapleton, Tandy and Brimley bring sass and zest to their roles and Jack Gilford is a scene stealer. Visually, 'Cocoon' is very well made, the effects holding up well and thankfully not being overused or abused like is the case for some films. The photography boasts a lot of style and atmosphere, as well as an expansive and vibrant touch. James Horner provided a typically lush and not too sweeping or syrupy score that adds poignancy to the proceedings. The script has gently and laugh-out-loud funny moments, charm and heartfelt emotion and the story is uplifting and in particularly the first half imaginative with a suitably bittersweet message. Howard keeps things steady and in control and doesn't make the film wallow in sentimentality too much which was a wise move.Overall, an easy to like and watch film. 7/10 Bethany Cox",Cocoon
1,bkoganbing,New Spring in their step,10,10 February 2013,"The Citizen Kane of Ron Howard's directorial career has to be and still is Cocoon. It's a film that combines fantasy and science fiction better than any ever done before or since and it's the most life affirming item you'll ever see on the big screen or small. It also gives some of our older players some really fine roles and brought an Oscar late in his career to one of the class acts of Hollywood.The citizens of one of thousands of nursing homes are just whiling away the end hours of their lives and in Florida there's more of these homes than most places. Three of those citizens are Wilford Brimley, Hume Cronyn and Don Ameche. One of their activities is to go into an indoor swimming pool in a vacant house next door.But those activities are interrupted when four strangers, Brian Dennehy, Linda Harrison, Clint Howard, and Tyrone Power IV rent the place. It's that swimming pool that interests them. The quartet also rents Steve Guttenberg's boat and they bring up some large size boulder type rocks which they place in the pool.Our senior citizens keep going into the pool even with the rocks there and pretty soon they're noticing some marvelous changes, in Hume Cronyn, the most marvelous of all as his cancer goes into a complete remission, mystifying his doctors. That leads our group now joined by wives Jessica Tandy and Maureen Stapleton for Cronyn and Brimley and companion Gwen Verdon for Ameche that these are some special people.Special they are, humans they're not as the quartet shows them they're aliens in human body suits. And after some heartache and tragedy for both earth people and aliens, the aliens offer these old folks a chance never given to any humans before. For that you see Cocoon for.This is the kind of film that you can watch over and over and still feel good about yourselves and feel good that there are others out there in the vast universe who've played the game of life and have mastered the rules. There are so many other science fiction films that show monsters and other worldly creatures coming to earth with the most malicious of intentions. Cocoon is such a refreshing change.Cocoon got two Oscars in 1985 for special effects and a Best Supporting Actor Award for Don Ameche. In a sense it was wrong to single out Ameche because all the senior citizen players cut some fine characters that you'll remember and enjoy. But Ameche was always a class act in Hollywood, a person you'll not hear an unkind word about written or spoken by his contemporaries in a career that lasted from the Thirties to the Nineties. It was an award for a lifetime more than anything else.One of those characters also was Jack Gilford. There's a famous classic Twilight Zone episode which also takes place in a senior citizen home where the residents there are given the same chance as these people are. With a lot less attention I might add. Gilford fulfills the same function as Russell Collins did in The Twilight Zone, the one who stays behind because he can't bring himself to take the step necessary.Who knows how long or if humankind will approach what these aliens have, but in many ways Cocoon offers a peak into an existence more fabulous than ever portrayed on film before.",Cocoon
2,Leofwine_draca,Gloopy sentiment,5,1 August 2019,"COCOON is one of the big Hollywood sci-fi pictures of the 1980s, although it's also one of the most sentimental. I could stomach the similar *BATTERIES NOT INCLUDED thanks to the interesting plot and aliens, but this is an all-out feel-good movie that seems to have been particularly designed for elderly viewers to enjoy (Steve Guttenberg is, in particular, an unnecessary presence in the story). My main problem with it is that there isn't much in the way of a story. A group of old-timers have fun, swim in a pool and recapture their youth, but the whole second half is a rather dull journey with thriller elements that never take off. I found Brian Dennehy to be miscast as well. Certainly not a bad film, but it's not something I'd watch again.",Cocoon
3,SnoopyStyle,heart felt movie with legendary actors,8,17 April 2015,"It's the Sunny Shores Villas Retirement Community in St. Petersburg, Florida. Art Selwyn (Don Ameche), Ben Luckett (Wilford Brimley) and Joe Finley (Hume Cronyn) sneak into the mansion next door to swim in the pool. They are slowly losing against time. Jack Bonner (Steve Guttenberg) is a struggling boat owner. Walter (Brian Dennehy), Kitty (Tahnee Welch) and their group hire Bonner and his boat. Then they rent the mansion next to the retirement home. The old men sneak into the pool and discover that the new people have put in egg shaped boulders. They find themselves rejuvenated.Directed by Ron Howard, this is a real feel good movie. It doesn't hurt to have acting legends doing some 'heavy lifting'. There is a real heart in their story. Guttenberg is almost comic relief as he drools over Tahnee Welch. That's perfectly understandable. The plot is somewhat like 'Close Encounters of the Third Kind'. The older characters are not simplistic. They have fallibilities and nobilities. They make the movie great.",Cocoon
4,mark.waltz,The mix of laughter and tears gets me every time.,8,28 October 2021,"Get to know your extra terrestrial, especially when they have hearts as big as the ones played by Brian Dennehy, Tahnee Welch and their two fellow aliens, on earth to remove the more than dozen cocoons which they left behind thousands of years before. When Dennehy sheds a single tear over the ailing aliens dying after the life force is sucked out of them, you see something different than the monstrous ones from science fiction past. Only Robert Wise with ""The Day the Earth Stood Still"" and Spielberg with ""Close Encounters"" and ""E. T."" saw the potential of having aliens with souls bigger than anything humans could imagine, and here, it's Ron Howard who has continuously showed us his soul through similarly touching films of this nature.You've got one of the greatest ensembles here with veteran actors Don Ameche, Hume Cronyn, Wilford Brimley, Jack Gilford, Gwen Verdon, Jessica Tandy, Maureen Stapleton and Herta Ware as senior citizens living their last gasp at life as they try to find a fountain of youth, and for one of them, it will be too late. Ameche gets to break dance, Brimley bonds with a beloved grandson and Cronyn gets his groove back a bit too much while grouchy Gilford denies his ailing wife the chance to swim in the pool of life.The wives don't get the screen time of their husbands (although Ameche and Verdon are not married), but they each get tender moments that shows the kindness in their souls. Tandy and Cronyn get the strongest material dramatically while Ameche and Verdon seem to be having the most fun. Stapleton, her big heart shining through her infrequent moments, is very touching. Gilford and Ware are the most heartbreaking with the usually comical Gilford cast against type and giving a beautiful if bitter performance, yet very real.Then there's Steve Guttenberg as the struggling boat owner who aides Dennehy and finds love with Welch, funny and incredulous as he learns the truth, and getting a classic line when he discovers how these particular visitors from another planet make love. So there are lots of laughs and a few tears and amazement as you see all the great special effects that come in the way of this Sensational story, maybe truly out-of-this-world but one that will grab your heart and never let go.",Cocoon
5,classicsoncall,"""You know, I can't remember the last time I really took a risk"".",7,7 June 2009,"I generally get a kick out of stories wherein old timers (and for perspective, I'm almost there myself, already am by some reckoning), find renewed enthusiasm and vigor from a mythical fountain of youth. This one however only took me half way to the finish line. Maybe it had to do with the involvement of space aliens and giant pods, but more so I think with the virtually one sided opinion expressed by most of the central characters that giving up everything they have to live forever was the 'right thing to do' (sorry, that's just the way it came out, I wasn't thinking of Wilford Brimley's commercials).The set-up with Brimley's character you see, seemed to be pointing entirely in the other direction. The relationship with his grandson begged for a thorough soul searching moment in which Ben (Brimley) would decide in favor of staying put to share in the the joys of watching his fishing partner grow up and become a man. Sure, there was that one moment of doubt that was discussed with wife Mary (Maureen Stapleton), but it was dismissed rather quickly. Ultimately, I came away feeling that Ben's decision was somewhat selfish. Additionally, the way the picture ended, with the young boy gazing happily heavenward, didn't ring true for me. After all, he would grow old and die someday, while his grandparents were tooling around the universe in immortality.Without the whole alien pod subtext, I think the picture would have shown greater promise. There's nothing wrong with experiencing the sublime and magical, and if it makes you feel young again, so much the better. There may be 'better' things to do than running around the backyard with my own grandson as he tries to squirt me with his water gun, and falling down when he 'gets me'. But I don't think I'd want to give that up for a shot at living forever if I had to miss the experience.I'm reminded of a 1962 Rod Serling 'Twilight Zone' episode titled 'Kick the Can' that also took place in a nursing home. In that one, a senior citizen believes he's found the secret of youth in playing children's games. As in ""Cocoon"", there's another resident like Bernie (Jack Gilford) who remains a hold out, in favor of acting his own age. The story ends when the old man realizes he missed his opportunity to be a kid again, as he watches his friends skip off into the darkness to revive their youth. That mere twenty five minute story holds a lot more poignancy for me than ""Cocoon"", and as support, I've remembered it for forty years since I first saw it.",Cocoon
6,lee_eisenberg,When was the last time that Steve Guttenberg starred in a movie like this?,7,13 March 2006,"Ron Howard's movie ""Cocoon"" portrays several senior citizens who, after swimming in a nearby pool, begin to feel young again. The movie is bittersweet, as some of the characters die during the film, but uplifting overall; not a masterpiece, but quite well done. The final shot is really impressive.Not that this is really a part of the movie in general, but one mildly befuddling thing here is the presence of Steve Guttenberg. It's weird to think of him in a such a well regarded movie. Oh well. C'est la vie. The point is that Ron Howard made quite a movie here. It's likely to make you wonder what will become of you as you age.",Cocoon
7,jboothmillard,Cocoon,8,9 January 2008,"I must admit I tried watching it once and got bored or tired, but seeing it again I'm glad I gave it another chance, it is a pretty good science-fiction fantasy. Basically Arthur 'Art' Selwyn (Oscar winning Don Ameche, who I knew did the voice of Shadow, the golden retriever in Homeward Bound: The Incredible Journey), Benjamin 'Ben' Luckett (Wilford Brimley) and Joseph 'Joe' Finley (Hume Cronyn) are three ordinary old men living in the home, and they are annoyed that their swimming pool isn't heated. Meanwhile, Jack Bonner (Steve Guttenberg) has his boat hired by three ordinary looking people, Walter (Brian Dennehy), Kitty (Tahnee Welch, daughter of Raquel) and Doc (Mike Nomad) for three weeks, so that they collect some special underwater things, what look like rocks. These rocks, or rather cocoons, are put into their house swimming pool, and not long later Art, Ben and Joe are trespassing while they are gone to use the pool. After using the pool, they are discovering they can do more physical things they could not before, in other words, they are feeling young again. By accident, Jack discovers that his three passengers are aliens wearing skin suits, they call themselves Antereans, and they are on Earth collecting cocoons containing their friends, Jack agrees to help them, and knows they mean no harm. As the three old men embrace their new found youthfulness, they also discover the secret of the Antereans, and also the other old people in the home, especially Bernard 'Bernie' Lefkowitz (Jack Gilford) and Alma Finley (Jessica Tandy) wonder about (or do not want to be part of) this ""fountain of youth"", and when all the old people (except Bernie) jump into the water to soak in youth, this is what kills the aliens inside the cocoons. So in the end, since they have absorbed the youthfulness of the alien cocoons, all the old people have a tough decision to make, stay on the Earth, or come with the Antereans to their home world to live forever, so all except Bernie decide to go with them. Also starring Maureen Stapleton as Marilyn Luckett, Gwen Verdon as Bess McCarthy, Herta Ware as Rosie Lefkowitz, The NeverEnding Story's Barret Oliver as David, Linda Harrison as Susan, Tyrone Power Jr. as Pillsbury, Clint Howard (Ron's brother) as John Dexter, Charles Lampkin as Pops and Jorge Gil as Lou Pine. I don't think Guttenberg is as bad as the critics think he is, the special effects are impressive, and I can see reasons why Ameche won the Oscar, a good film. It won the Oscar for Best Visual Effects, and it was nominated the Golden Globe for Best Motion Picture - Comedy/Musical. Very good!",Cocoon
8,rmax304823,"If You Fill It, They Will Swim.",6,5 March 2007,"If you like ""Field of Dreams"" you ought to get a kick out of this Twilight-Zone fantasy too. They both follow a similar trajectory. Similar, in fact, to Twilight Zone's ""Kick the Can"" episode, in fact, from which both may be derived. The director, Ron Howard, hasn't taken any chances here in this sentimental, mildly amusing, mildly thought-provoking story, but then he rarely does.This expedition from Antares (looking quite normal on the outside) comes to Earth to retrieve some cocoons left behind earlier when their planet was about to be turned into a monstrous prune -- something like that, anyway. It doesn't matter.They retrieve the cocoons from the ocean floor and stash them temporarily in the swimming pool of a deserted Florida mansion. The pool is being secretly and illegally used for wading by a three old dudes from a neighboring retirement community, Wilfred Brimley, Hume Cronyn, and Don Ameche. Without anyone's seeming to realize it, the cocoons are infusing the water with some elan vital that is exponentially more powerful than Geritol and Viagra combined. The boys don't begin to actually look different but they regain, let's say, both their youthful vigor and the turgor associated with it.Instead of sedate dances at the club to old-time Glenn-Millerish swing music, they go to discos and Ameche does a break dance, wowing the audience. Soon their wives begin enjoying a dip or two as well, and the couples wind up climbing trees and chasing each other through the mangroves.There's a younger couple too, a girl from Antares (Tahnee Welsh) and the owner of the boat that the aliens have hired (Steve Guttenberg). They fall for each other. The problem is that underneath these plastic exteriors, the Antarens, Tahnee Welsh included, are diminutive bilaterally symmetrical beings with tiny mouths and big eyes and they glow with the blinding, eyeball-coagulating light of an arc lamp. This presents certain problems, as you can imagine, when the young man inquires of Welsh, ""How do Antarens, um, express affection for one another."" ""Not in the way you think,"" she replies, and we can feel the guy's heart sink, ""but we show ourselves."" Well, that doesn't sound too bad, especially when Welsh begins showing herself by ridding her plastic body of its hampering outer garments. But then, alas, it gets kind of twisted because the rest of what she ""shows"" him resembles one of those huge spinning wheels made of fireworks that one sees at the climax of a Fourth of July picnic. Call me old fashioned but I think it helps to be less than ten years old to appreciate that particular mode of affectionate self display.Tahnee Welsh can't act, unfortunately, but looks good just walking around. The three old dudes -- and their wives, and Brian Dennehy -- do quite well. Don Ameche practically renewed his career with this film. And Jessica Tandy STILL looks fine. One of the Antarens has a wordless part and is a ringer for Tyrone Power, probably because he is Tyrone Power, Jr.The cocoons are being drained of their mojo because of all the humans sucking up to them. The leader of the Antarens generously offers to take a few humans along with him back to his planet. Some go along. Some insist on ""playing out the hand they've been dealt, not shuffling the deck again."" (It's kind of like Burt Lancaster's character in ""Field of Dreams,"" stuck in the present.) I don't know that I particularly blame the risk-averse old folks who decide to hang back and not live forever. Who would want to be a bus boy or an assistant professor for one thousand years? Anyway, it was a successful movie. It must have been because there was a sequel, meaning that the committee of MBA's sitting up there on Antares decided to greenlight another installment because there was probably another nickel left to be squeezed out of this Fountain of Youth fantasy.",Cocoon
9,BA_Harrison,The old-timers steal the show.,7,10 February 2019,"Hard to believe it, but there was a time when Steve Guttenberg was a major box-office draw, and Cocoon was one of the films that made it so. Directed by Ron Howard, this touching (some might say 'schmaltzy') sci-fi is strictly Spielbergian in tone: two hours of family-friendly fantasy with a warmth and charm that it's hard not to appreciate. The plot might leave a few unanswered questions, but the action is expertly handled by Howard, the film offering moments of joy, wonderment and tear-jerking pathos.Guttenberg plays Floridian tour boat owner Jack Bonner, who discovers that the group of people who have hired his craft are actually extraterrestrials who have returned to earth after thousands of years to rescue their friends, who were left behind when Atlantis sank beneath the waves. Sealed in cocoons, the stranded aliens are retrieved from the sea bed and placed in a swimming pool to replenish their lifeforce, the very same pool that is frequented by three trespassing OAPs from a nearby home. When the trio - Art Selwyn (Don Ameche), Ben Luckett (Wilford Brimley) and Joe Finley (Hume Cronyn) - take a dip amongst the cocoons, they find themselves given a new lease of life.With so much experience between them, it's no surprise that the old-timers steal the show, leaving Guttenberg and his otherworldly pals to play second fiddle. Gutternberg is adequate in his role, Tahnee Welch plays the spindly-limbed love interest from another galaxy, and Brian Dennehy is dependable as the leader of the aliens, but none of them can hold a candle to the breakdancing Ameche and his elderly pals, with a special mention for Jack Gilford as reluctant pensioner Bernie Lefkowitz, who seriously tugs at the heart strings when he tries too late to save the life of his wife Rose (Herta Ware).The film does leave one wondering why the aliens took so long to return for their friends, why they are so happy to pop them back in the sea and take a load of meddlesome coffin-dodgers into outer space instead, and whether Jack is ultimately thrown into jail for manslaughter, but, hey, best not to dwell on these things... just sit back and enjoy the antics of the old people while trying to forget that Guttenberg's success in this film led to more Police Academy films and 3 Men and a Baby.",Cocoon
