,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"If you want some entertainment, look no further than this!",9,12 February 2009,"The only criticism is that at 2 and a quarter hours it is probably too long, I personally could have done without the spies, whose antics were rather silly rather than funny. Mind it is only two minutes longer than Mary Poppins, which I also love. Films like Mary Poppins, Wizard of Oz and this were my childhood favourites, and if you want some entertainment in a musical, look no further than this. It has a witty script, anything the Grandfather says is enough to crack anybody up and Gert Frobe as the Vulgarian king is hilarious. The songs are unforgettable, and beautifully staged, the car looks glorious and the performances are first-rate. Dick Van Dyke is brilliant here. Personally I think he was better than he was in Mary Poppins. Sally-Ann Howes is beautiful as Truly, and she has a beautiful voice(apparently she has perfect pitch) Unlike some people, I thought "" Lovely Lonely Man"" was lovely, and the imagery was as if you were in a fairytale. Lionel Jeffries is really entertaining as the Grandfather, I couldn't believe he was younger than Dick Van Dyke. The children can't sing, but they can act and are cute. Finally, Robert Helpmann's child catcher, competes with Tim Curry's Pennywise in It as the scariest character on film, and I genuinely mean that. This film is beautiful with fabulous costumes- Howes never looked lovely than in her stunning white dress in ""Lovely Lonely Man"" and sets(especially the castle and Truly's garden), a must see. 9.5/10 Bethany Cox",Chitty Chitty Bang Bang
1,bkoganbing,Rding With A Fine Four Fendered Friend,7,10 November 2007,"Chitty Chitty Bang Bang is probably the best Julie Andrews film that did not star Julie Andrews. Though with Dick Van Dyke in the male lead and the songs by the team of Sherman and Sherman, you've got to wonder whether the folks at United Artists did in fact consider Ms. Andrews originally.If they did, she turned it down because she wasn't the lead. The focus here is on Van Dyke an eccentric inventor in Edwardian Great Britain raising two small children with their grandfather, Lionel Jeffries who's a bit of an eccentric himself.I have to confess I do wonder what happened to mother. It's a family film so we assume Van Dyke's a widower. It's also never spelled out whether Jeffries is the paternal or maternal grandfather.Anyway when lovely Sally Ann Howes nearly runs over the children in her spanking new automobile, she feels bad and offers them a lift home and that's how the lady known as Truly Scrumptious comes into their lives.The kids have a mission, an old car that they play inside is about to be sold to the junkman for scrap and they want dad to buy it save it for them. The first part of the film is Van Dyke's quest for the money to buy the car. The second is their adventure in that magical car which Van Dyke transforms into an aerodynamical flivver. Of course some very nasty villains headed by Gert Frobe want the car.Gert Frobe is apparently the meeting point where Mary Poppins meets James Bond. Chitty Chitty Bang Bang originally was children's book written by James Bond author Ian Fleming for his son. Of course Frobe's best known role is in the title role in Goldfinger. It's also where Chitty Chitty Bang Bang goes into satire. Fleming was in British Intelligence during World War II and after the war some of Hitler's schemes which were already in practice about children being taken from parents and raised by the state became known. Frobe's kingdom is where the monarch decreed that children are forbidden and towards that end the sinister Child Catcher, played with aplomb by Robert Helpmann is used. Of course Van Dyke's foreign children are a prime target when they all arrive chasing a dirigible in which kidnappers have taken Lionel Jeffries thinking he's the inventor.Though Chitty Chitty Bang Bang gets silly at times it still remains a fine family film. And who could possibly resist a character named Truly Scrumptious which Sally Ann Howes is.",Chitty Chitty Bang Bang
2,Leofwine_draca,"Light, fluffy, fun",6,17 February 2014,"There's little to dislike about CHITTY CHITTY BANG BANG, a fun and colourful musical written by Ian Fleming, no less; it's packed with memorable music, has colourful cinematography, an imaginative script and a decent cast. Of the principal actors, it's fair to say that Dick Van Dyke puts memories of MARY POPPINS and dodgy accents behind him in his enthusiastic turn as madcap inventor Caractacus Potts.It's rare to find a film which boasts decent performances from the child actors, but they're good here, as are the likes of Benny Hill and Lionel Jeffries in support. The songs are a lot of fun, particularly the titular one, of course.My only complaint, which isn't too much of one, really, is that it grows more and more fantastic as it goes on, and the last third is more like a silly fantasy sequence; there's Roald Dahl to blame for that, I think. At least the writers saw this and put in an explanation of it being all a dream sequence so that it kind of makes sense.",Chitty Chitty Bang Bang
3,SnoopyStyle,Fun children's movie but not all of it works,6,27 November 2014,"In the 1908 Grand Prix de France, one of the cars crash and ends up in a garage in rural England which is beloved by children Jeremy and Jemima Potts. Mr. Coggins is looking to sell it for scrap. They live with Grandpa Potts, their widowed wacky inventor father Caractacus Potts (Dick Van Dyke) and their dog Edison. They meet wealthy Truly Scrumptious (Sally Ann Howes) driving her own car. She tries to tell Caractacus about his kids' truancy but he's unconcerned. They don't get along. One of his invention produces sweets with holes in them. He discovers that they toot and tries to sell them to Truly's confectionery manufacturer father Lord Scrumptious. He gets thrown out when the whistle brings dogs to overrun the factory. He eventually earns some money at the carnival and buys the car. The kids name it Chitty Chitty Bang Bang for the noise from the engine and the Bangs coming from the exhaust. They go to the beach for a picnic and Truly joins them. Caractacus tells them a story about the ruler of Vulgaria Baron Bomburst who wants to steal Chitty Chitty Bang Bang.This is from a children book written by Ian Fleming. Roald Dahl who wrote 'Charlie & the Chocolate Factory' also helps to write the screenplay. This is an unabashed children's movie. There are some disturbing aspects of the movie like the Child Catcher which I like. It doesn't all work. I don't particularly like the broad comedy coming from the two spies. Sally Ann Howes may be a great stage actress but she doesn't have the great presence as someone like Julie Andrews. Her chemistry with Dick Van Dyke is limited. There are a couple of fun songs. This doesn't quite measure up to 'Mary Poppins' but it tries to be in the same class. Also some of the magic seems to disappear when the movie goes to the castle. It's like the castle is too real and overwhelms any effort to give it a sense of fantasy. But you gotta love the car.",Chitty Chitty Bang Bang
4,mark.waltz,The guilty pleasure of all guilty pleasures.,7,22 December 2014,"There's so much to attack but so much to love (begrugingly) in this movie version of Ian Fleming's novel. Yes, indeed, the author of the Bond series wrote a musical about a magical car that floats, flies and bang bang bangs. It's also a lifesaver for the eccentric inventor Cattaragus Potts (Dick Van Dyke), his two precocious children (Adrian Hall and Heather Ripley), and a beautiful socialite (Sally Anne Howes) who is at the crossroads of her life and determined to get past the pretensions of being the daughter of a wealthy sweets manufacturer, Lord Scrumptious (a wonderfully imperious James Robertson Justice) who has nothing but her money to claim as her own. The widowed Potts and the lovely Truly don't hit it off at first (like many couples paired together in a movie musical), but her instant love for his children draws them closer, as does an adventure where they head off to a weird land of child-hating rulers and underground canyons where everybody under the age of 18 lives in fear.The Sherman Brothers achieve another hit in their musical catalog with the musical score, an obvious follow-up to ""Mary Poppins"", yet not released by Walt Disney. Van Dyke is the obvious choice for Potts, and with Julie Andrews unable to take on the role of the heroine, British musical diva Sally Anne Howes had her one American film role as Truly. ""Lovely, Lonely Man"" shows her as a gorgeous soprano, and it is sad for American audiences that she didn't get the chance to be seen in more films. Only some lucky audiences on Broadway got the chance to see her, mainly as a replacement in ""My Fair Lady"" for Andrews on Broadway.Hall and Ripley are delightful as the children, looking more real than the kids from ""Mary Poppins"" and delightfully coy in their attitudes towards life. Lionel Jeffries gives a glorious performance as their flustered grandfather, an eccentric world traveler who pretends to go around the world in his little shack which really appears to be an out-house. There's gloriously campy performances from Gert Frobe and Anna Quayle as the Baron and Baroness Bomburst who perform ""Choochy Face"" with the attitudes of teenagers in a seemingly perfect lovefest, but its obvious that the Baron can't stand her, leading to some hilarious innuendos of him obviously trying to snuff her out. ""Choochy Face"" is followed up by the hysterical visual of the dried-up court of prunes who surround them socially, giving this a cartoon feel in its live action presentation.Then, there's Robert Helpmann as the sinister looking Child Catcher, one of the most horrifying villains ever on screen, and one who probably gave a lot of children nightmares. He actually looks like he could be a distant relative of the Wicked Witch of the West, an escapee from Oz who was obviously banished by the little people who lived in that land. Even ""Willy Wonka"" with its darkness didn't have a character like this. Musically and choreographically, ""Chitty"" is phenomenal with several lavish production numbers, some extremely touching moments, and a fantasy element that is almost as magical as ""The Wizard of Oz"". A Broadway version proved to be even more elephantine than the movie, overly cute and missing the adult touches that made the movie as appealing to grown-ups as it was to children.",Chitty Chitty Bang Bang
5,lee_eisenberg,The world is upside down.,5,3 December 2006,"I know: you're going to call me a curmudgeon for what I'm going to say about ""Chitty Chitty Bang Bang"". But really folks, it's one of the hokiest movies imaginable. Maybe it's just that I don't like musicals - and this one seems to be almost a repeat of the equally hokey ""Mary Poppins"" - or maybe it seems like they're dissing Bulgaria, but I am not about to get enthralled by a movie like this. At least this time, Dick Van Dyke doesn't make a lousy attempt at an English accent.What I did while watching ""CCBB"" was what I often do while watching these sorts of movies: I heckled it, as Mike, Servo and Crow do to the crummy movies sent to them by Dr. Forrester on ""Mystery Science Theater 3000"". For example: ""You're not a very good father."" Hey, lady, give the guy a break; he tripped over an ottoman before this movie.""Bang, bang, chitty, chitty..."" Ever noticed what it spells if you change the ""c"" to ""s""? ""This nose never fails."" Yeah, but when it belonged to Nixon, it didn't smell his resignation coming.Probably what surprises me most about this movie is that Ian Fleming wrote it. How could it be that the man who wrote about a hunky super-spy bedding the world's hottest babes also wrote about a flying car? And Gert ""Goldfinger"" Frobe even stars! Speaking of which, when they first said Vulgaria, I thought that they said Bulgaria. I would assume that it was a Cold War thing, with Bulgaria in the Eastern Bloc and all. And why does the bad guy have to be a German baron ruling a non-free country? The whole movie comes across as propaganda in that sense.Oh well, at least it gives one an opportunity to make ""MST3K""-style jokes. As for the very fact that Dick Van Dyke starred in this, I read that in the late '60s and early '70s, he had a drinking problem; maybe to that we can attribute his decision to star in this. OK, I admit that that's probably not the reason that he starred in this. But any movie featuring a character named Jemima...well, doesn't that name have a reputation like the name Adolf? So that's my take on this.Still, it was neat to see Neuschwanstein Castle. I once put together a 6,000-piece puzzle showing it.",Chitty Chitty Bang Bang
6,jboothmillard,Chitty Chitty Bang Bang,6,4 May 2006,"This wasn't very popular at the cinema, I would of thought it would be. The makers of Mary Poppins and James Bond teamed together to create this musical based on Ian Fleming's great story about a fantastic invention. Knowing how fun and funny he was in Mary Poppins (apart from the accent), I really wanted to see what Dick Van Dyke would be like. He plays Caractacus Potts, an inventor, who recently created the great Toot Sweets for Truly Scrumptious (Sally Ann Howes), daughter of a candy factory owner. Anyway, the best invention that he created was the fantastic ""Chitty Chitty Bang Bang"" car, or ""Chitty"" for short. It can go really fast, float on water, and of course fly. Also starring Lionel Jeffries as Grandpa Potts, Gert Fröbe (Goldfinger) as Baron Bomburst, Benny Hill as Toymaker, James Robertson Justice as Lord Scrumptious, Robert Helpmann as the scary Child Catcher, Heather Ripley as Jemima, Adrian Hall as Jeremy, Barbara Windsor as Blonde and Desmond Llewelyn (Bond's Q) as Mr. Coggins. It may have been slightly long, and cheesy moments, but it is still a fun film for all the family. It was nominated the Oscar and Golden Globe for Best Song, ""Chitty Chitty Bang Bang"" (could have won either), and it was nominated the Golden Globe for Best Original Score for Richard M. Sherman and Robert B. Sherman. It was number 37 on The 100 Greatest Scary Moments for The Child Catcher, it was number 14 on The 100 Greatest Family Films, and it was number 11 on The 100 Greatest Musicals. Good!",Chitty Chitty Bang Bang
7,ccthemovieman-1,Strictly For Little Kids,3,31 March 2007,"I really enjoyed the beginning of this film with a neat old-time auto race. Then the main characters in the movie were introduced and they were all likable and nice. The kids were cute and Dick Van Dyke's inventions were fun to view. (So is Van Dyke's name in here: ""Caractacus Potts."")About halfway into the film - maybe this was just me - but those high-pitched whiny-type voices on the kids (""Daddy this, Daddy that"" constantly) got to me. By then, I also had the general flavor of the songs, which I did not find particularly good.The special-effects with the flying car might have been passable in 1968 but they look really dated now. The humor, too, was too juvenile especially with the villains who weren't funny, just stupid.However, I am writing this criticisms as an older adult and I am sure little kids would still like this movie, as they did 40 years ago, except even they are bound to get fidgety sitting through 144 minutes of this!",Chitty Chitty Bang Bang
8,ma-cortes,Stunning and amusing tale about a flying car and the family owner with a sympathetic Dick Van Dyke,7,7 January 2012,"This exciting children musical displays derring-do adventure, romance , thrills and spectacular frames with phenomenal production design . Imagination and fantasy with primitive but effective special effects galore including a mesmerizing photography with wonderful , marvelous landscapes . The flick gets lots of bombastic effects including flying machines , globes , romantic castles and numerous images have you on the edge of your seat . This is the most Fantasmagorical musical entertainment in the history of everything . In the early 20th century England, a weird inventor named Caractacus Potts (Dick Van Dyke who steals the show as likable dancer and splendid player) works in his rare artifacts , he lives along with his equally rare father (Lionel Jeffries) , and his two little boys named Jeremy (Adrian) and Jemima (Heather). When the kiddies beg their daddy to buy for them thhe wished plaything , a broken car sitting at a local junkyard , a garage whose owner is George Coggings (Desmond Llewelyn) . Then eccentric Caractacus does whatever he can to make some money to buy it. One plan to raise money involves the unexpected help of a beautiful girl they have just met named Truly Scrumptious (a pretty young woman well performed by Sally Anne Howes), the daughter of a candy factory wealthy owner (James Robertson Justice) . Using his magic skills, inventive Caractacus turns the piece of junk into a marvelous working machine , an amazing flying car that also navigates which they name Chitty Chitty Bang Bang because of the noise the engine sounds . At a seaside picnic with his children and Truly , Caractacus and Co. spins a fanciful tale of an eccentric inventor, his gorgeous new friend , his two children, and his favorite car named Chitty all in the faraway country of Vulgaria. The nasty Baron Bomburst, the king of Vulgaria, will do whatever he can to get his hands on the magical car. Then the villain Baron Bomburst (Gert Frobe) married to Baroness Bomburst (Anna Quayle) robs the car of ours friends . The baron has made kiddies illegal, being pursued by the sinister child catcher (Robert Helpmann) including the unsuspecting children of a stranger inventor of a fabulous car . Later on ,Caractacus helped by a toymaker (Benny Hill) have to attempt and save the kiddies of Vulgaria.This children motion picture mingles musical numbers , flat jokes , noisy action , flying car pursuits , humor with tongue-in-cheek, rip roaring and lots of amusement . This is an entertaining film loosely based on book by Ian Fleming and well adapted by Roal Dahl , it packs fantasy , musical numbers which both pastiche and subvert adventure and speculative fiction of the period ¨Belle Epoque . The picture incorporates contemporary action film as well as much use of adventure to portray its fanciful elements , furthermore visual effects within the form of the older-style films they have largely superseded . Riveting for its casting , but overall , roller-coaster spectacle . Most of the charm and wit remains from original story in this particular version . It results to be an amusing of somewhat aloof , storytelling of children classic with a magnificent star cast at its best . Stimulating adventures of ours protagonists are complemented by a breathtaking final attraction in the castle scenes . The film is a Dick Van Dyke recital , he sings , dances, stooges, makes acrobatics, tongue twister and pulls faces and grimaces . It's a farce with the master comic pretty amusing and with several choreography and musical numbers . Ideal main cast is completed by phenomenal secondary actors as Lionel Jeffries , James Robertson Justice , Benny Hill and Desmond Llewelin , among others. Atmospheric , lively score by Irwin Kostal , fitting splendidly to adventure and musical numbers , including the classic leitmotif . Colorful and glamorous cinematography by Christopher Challis in Super Panavision 7o with the fantastic château scenes filmed in Neuschwanstein Castle, Hohenschwangau, Schwangau, Bavaria, Germany . The picture is lavishly produced by Albert R Broccoli ,James Bond's producer, and brilliantly directed by Ken Hughes . He's a good writer, producer and director, who achieved big time when made ¨Cromwell¨, ¨Trials of Oscar Wilde¨ , ¨Casino Royale¨ and of course with ¨Chitty , Chitty Bang Bang¨.This is a highly amusing and frequently funny action-adventure romp with a witty script specifically aimed at a kiddies' audience , though excessive songs leave adult spectators a bit seasick . Picture is a vehicle Van Dyke , he's an authentic comic and real Farceur. If you like Dyke's crazy interpretation , you will most definitely enjoy this one . Well worth watching for passable special effects and an enjoyable performances from main cast as the children will like it.",Chitty Chitty Bang Bang
9,moonspinner55,Doggedly whimsical...,4,30 January 2009,"Elephantine, ersatz-Disney family film with musical interludes has kooky inventor Dick Van Dyke, his two moppet kids and new lady-love outwitting the rulers of an evil fantasy world with help from their airborne automobile. Director Ken Hughes, who also co-adapted Ian Fleming's novel with none other than Roald Dahl, can't manage to work up any life within this not-too-fantastic scenario; it's an adventure story involving a flying car which never lifts off. The sugary songs aside, this loosely-hinged and slowly-paced picture doesn't even look good. The special effects are bland and chintzy (even for 1968). As to the performances, Van Dyke has always been an acquired taste, but Sally Ann Howes is certainly no Julie Andrews (though Ken Hughes fashions her role accordingly). Songwriters Richard M. Sherman and Robert B. Sherman work with the very best of intentions here (and the title song is catchy, as is ""Truly Scrumptious""), but the Shermans are still doing what they did back in the early-'60s: winking and nudging at us with nursery ditties, almost all of which suffer from a fatal case of the cutes. *1/2 from ****",Chitty Chitty Bang Bang
