,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Technically well-made, but the film isn't particularly pleasant",8,30 December 2006,"Here's a quick summation of the movie--American GRAFFITI stretched out over a one year period, set in the middle of nowhere and filled with liberal doses of sex.This is a very good movie in most ways. The acting and writing are superb and the direction is great--no complaints about any of this. However, despite being technically well-done, the film isn't all that pleasant to watch and isn't really appropriate for kids so you might want to think twice before you watch it.First, as for the unpleasantness, most of this was intended by the writer and director. It's all about life in a small god-forsaken town in Texas circa 1951-2. And, while a dead-on look in most ways, it also exposes how dull and awful it would be to live in such a place--at least for modern audiences. To top it off, the film has an omnipresent country music soundtrack that is appropriate to the time and place BUT which will also irritate most modern viewers. Listening to old fashioned country music, to me, is much worse than a film packed with opera or even bluegrass--it's just NOT what my rock-n-roll ears like to hear!! But, there is nothing wrong about this per se--it just doesn't play so well with 21st century audiences.Now as far as the sex goes, the film's themes all seem to revolve around it and EVERYBODY talks about ""getting laid"" or you get to see them in the act (and, by the way, it is incredibly brief and poor sex to boot). In addition, there is some full-frontal nudity and so this isn't a film to show granny or the kids.Despite these comments, I did at least admire the film even if I didn't particularly enjoy watching it. When not having sex or running around naked, the characters were exceptionally compelling and well-written. The acting was universally stellar as well--with Timothy Bottoms a particular standout. As far as sets, cinematography and direction go, you can also tell this was a labor of love--they really tried so hard to re-create the era and create a strong sense of nostalgia.",The Last Picture Show
1,TheLittleSongbird,"For me, it's one of the best of the 70s",10,26 January 2011,"The 70s is the decade of a number of wonderful movies, and The Last Picture Show is not an exception. It is a poignant, audacious, affectionate and hugely relevant film that for me has never aged or lost its significance. The cinematography and production values are simply superb. The script is beautifully written and evocative, Bogdanovich's direction is exemplary and the story draws me in and never stops. The film also has well-rounded characters that you care fully about, the nostalgic elements are lovingly realised and the re-creation of a long-lost sense of community makes the film so rewarding. The acting is superb, Jeff Bridges is wonderful in his role and so is Cybill Sheppard, but for me it is Cloris Leachman who is simply incredible. Overall, beautiful film and one of the best of its decade. 10/10 Bethany Cox",The Last Picture Show
2,bkoganbing,The Texas Ice Princess,9,13 June 2007,"The Last Picture Show, set in Texas during the early Fifties is about the coming of age of two Texas teens, Timothy Bottoms and Jeff Bridgesand the young lady who has an effect on both of them, Cybill Shepherd.Cybill part of what passes for society in this small hole in the wall town that's seen its better days. Her father is rich because of some prosperous oil leases. Her mother Ellen Burstyn is thinking she's discreet in her affair with oil worker Clu Gulager, but there ain't any secrets in that town. Shepherd is pretty, but spoiled. She flirts from Bridges to Bottoms, gets involved with Randy Quaid, Gulager and others. She breaks up the friendship with Bottoms and Bridges temporarily and causes all kinds of other havoc.Bottoms is also taken up with his high school coach's wife who also is unhappily married. Cloris Leachman delivers a strong performance there, possibly the best among the female cast members.However The Last Picture Show is known as the film that brought Ben Johnson an Academy Award for Best Supporting Actor. Johnson drifted into acting, he was a rodeo performer who handled stock in several Hollywood films that John Ford took a liking to. He represented in his roles some of the best traditions of the American west as he does here.The tragedy is though he represents a way of life that has come and gone. And that it has passed is not for the better.Peter Bogdanovich as director got all kinds of deserved acclaim for this film that has become a classic. Sad to say Bogdanovich never quite did anything as good as The Last Picture Show.Almost 40 years later, The Last Picture Show still holds up well today and should not be missed.",The Last Picture Show
3,Leofwine_draca,"A look at life in a dead-end town, circa 1951",5,5 December 2016,"THE LAST PICTURE SHOW is a low budget, black and white character piece exploring the situation faced by youths coming of age in a dead-end Texas town in 1951. It's notable for helping a number of fresh-faced actors break into Hollywood; many of the cast here have gone on to great fame and fortune, and yet the film itself is a little disappointing, as is so often the way with these pictures that receive endless praise over the years.This film features more like a television production in terms of scale and I found it quite unaffecting, especially given the fact that many of the characters are self-centred and unlikeable. The exception is Cybill Shepherd, whose breathless beauty and carefully poised character is a highlight; she would later go on to greater things, not least TAXI DRIVER, but she's perfect here, capturing a sense of innocence mixed with desperation.The male characters fare less better, although the acting remains strong. Jeff Bridges plays a brash youth with some heart hidden away inside; Timothy Bottoms does the kind of kookiness that would later serve him well in the disaster flick Roller-coaster. Watch out for Randy Quaid in a small cameo, with the likes of Ellen Burstyn and Clu Gulager prop up the adult cast. THE LAST PICTURE SHOW is a film in which nothing much really happens, but it is realistic even if the effect is ultimately depressing. I thought Lucas's American GRAFFITI explored similar themes in a much more entertaining way.",The Last Picture Show
4,SnoopyStyle,aimless teens in coming-of-age movie,7,23 July 2014,"It's the small town life in the dusty Texas town of Anarene in the early '50s. There isn't much to do other than to go to the movie theater. Sonny Crawford (Timothy Bottoms) and Duane Jackson (Jeff Bridges) are best friends on the hapless football team and everybody complains about it. Duane is dating virginal Jacey Farrow (Cybill Shepherd) the daughter of the town's oil baron. Her cheating mother Lois (Ellen Burstyn) tells her to pursue somebody more capable. Lester Marlow (Randy Quaid) invites her to a naked swimming party. Sonny is bored with his girlfriend Charlene Duggs and he breaks up with her. He starts an affair with the unhappy wife of the high school coach Ruth Popper (Cloris Leachman). Sam the Lion (Ben Johnson) is the owner of the local café, pool hall and movie theater.It's an aimless rambling teen coming of age movie. In that way, the movie brings out a sense of place. It has a lot of good separate story lines weaving around in this town. There are some very memorable scenes. It is a little too slow at times. It's the style of that era but 2 hours is too long of a running time. The one thing that is sorely missing from director Peter Bogdanovich is a truly fitting soundtrack.",The Last Picture Show
5,Hitchcoc,It Makes You Sweat,10,6 April 2006,"This is a really outstanding film. It is a director's movie, with every nuance strictly controlled by Bogdonavich. It's a sweaty, sad, depressing sort of film. The vitality of the town has been drained by decades of malaise. The kids feel hopeless. The adults go from person to person and have affairs and experience emptiness. There's some depressing football team that can't tackle. But mostly there is a street with dirt on it and a mentally challenged boy who likes to sweep. It is rife with symbols. This boy is trying to sweep away the dirt that is infesting the town, but he has no effect. As a matter of fact, he is victimized by the other boys in the town--part of their fun. We have the contrast of the rich family in town with the Ellen Burstyn character and, of course, her daughter played by Cybill Shepherd. The boys who are in a hopeless prison of the town's making are like a bunch of horny bulldogs. She is the queen in the town, but that's not much of an honor. These guys are going nowhere and she might just be there, like her mother, 20 years from now. The director builds a world that isn't pleasant, but it's certainly a total depiction of a place without a future. The movie theater represents a last connection with excitement and enjoyment. But nobody goes anymore.",The Last Picture Show
6,Prismark10,The new easy riders,7,13 June 2016,"Film critic and fan of the French New Wave cinema Peter Bogdanovich adapted and directed The Last Picture Show. A film shot in black and white and a soundtrack consisting of songs played on the radio, phonograph and the jukebox.It is about a dying town in the early 1950s Texas at the beginning of the Korean war and television become the increased focus for the viewing habits of the family at home.Bogdanovich inspired by his heroes John Ford and Orson Welles opens the film with the the desert wind blowing through the empty streets of the town of Anarene. A blue collar town in decline where his young have little hope and prospects. All it has to offer is a diner, pool hall and a picture house all owned by Sam the Lion.Jeff Bridges, Cybill Shepherd and Timothy Bottoms are the high school students who ride around in cars, mess about and have inept fumbling in order to have sex. Shepherd is the flirty tease Jacy who leads the guys on but has her eyes set on the rich kid at the next big town. Her ticket to get her out of Anarene.Jeff Bridges as the more cock sure Duane goes out with Jacy, the prettiest girl in town but even he stumbles when he tries to have sex with Jacy who then moves on to Timothy Bottom's Sonny knowing he has been seeing and having a tender relationship with the older and married Ruth Popper the wife of the High School coach.The film despite the stark black and white photography and a cast of veterans that includes Ben Johnson, Cloris Leachman, Clu Gulager, Ellen Burstyn, Eileen Brennan is a lot more about the comic misadventures of the young students trying to get laid, a kind of thing we would see a later in the 1970s in movies like Animal House and American Graffiti . Jacy eventually gets satisfaction from an older man on a pool table, the same man who also has a casual dalliance with Jacy's mother.At the end of the movie the picture house does close down, an emblem of the dying town. Jacy has left town to go to college. Duane goes to fight in Korea and Sonny has the pool hall bequeathed to him by Sam the Lion. He also returns to Ruth Popper, a woman he has been mean to as he dropped her like a stone for Jacy. It also gives the film its most tender moment.Despite the harking back to film history this is a daring film made in an era of the counterculture and the abolition of the Hays Code as the film features full frontal nudity and frank exchanges about sex. Just observe the exchanges between Jacy and her mother, who encourages Jacy to be sexually experienced just so she does not get married to someone like Duane for sex and get stuck in a dead end town.",The Last Picture Show
7,classicsoncall,"""Just remember, beautiful, everything gets old if you do it often enough.""",10,15 August 2008,"It would have been impossible back in 1971 to predict which of the film's actors would have gone on to bigger and better things. As it was, this was my first look back then at folks like Timothy Bottoms, Jeff Bridges, and Cybil Shepherd. Tell me now, who didn't immediately fall head over heels for Shepherd after seeing this flick back in the day? As for Ben Johnson, his role here cemented my admiration of his work as an actor, having only seen him in various support and bit roles in Westerns prior. And for some odd reason, that bit of trivia about Cloris Leachman having been a Miss Chicago in 1946 somehow remained fixed in my mind for all these years. It was compelling to watch her character's appearance and demeanor change so dramatically throughout the picture, no doubt the basis for her Best Supporting Actress win for that year.I'm getting around to watching a whole host of pictures that I saw only once when they first came out, and I was somewhat surprised today to discover how bleak this picture actually is. Small town lives and ambitions crushed by mediocrity and boredom, punctuated by events that in some ways wind up defining the rest of their existence. Depressing realities for people like Lois Farrow (Ellen Burstyn), who marry for convenience and wind up living lives of quiet desperation; she sums it up herself - ""Everything is flat and empty here"". Sure there's a way out if you're someone on the outside looking in, but it's never that easy, is it? One's life becomes entangled and ensnared in relation to others, and the next thing you know, you wind up working till you're a hundred (Eilleen Brennan's Genevieve) to take care of your obligations.The other aspect of small town life touched on was observed by waitress Genevieve - ""A person can't sneeze in this town without somebody offering a handkerchief."" I don't know if anyone growing up in a big city can relate to that, I myself grew up in a town twice as big as Anarene, that is to say, a village of twenty two hundred instead of half that. It's true, you have a pretty good idea of what's going on with just about everyone else, and the flip side is they know about you too. When Genevieve made the remark, it was Sonny's (Tim Bottoms) first inkling that he just might be in trouble. And the odd thing is, he's never really called on it in a big way, even though each revelation that he's having an affair with a married woman comes as a jolt. Even the coach, as subtle as a brick in a punch bowl - ""You know a man never ought to cheat, unless it's for a good cause"".The film is full of intriguing little nuances like that, masterfully directed by Peter Bogdanovich, who broke from conventional storytelling by filming in black and white, and replacing a traditional score with background music from juke box tunes of the era. The silence during Jacy's (Shepherd) diving board scene is particularly noticeable, until giggles break out as she subconsciously trips up to conceal her embarrassment. A well played scene that looked like it could have come from, well, real life.Aside from the story, I was intrigued by the selection of films playing at The Royal. An opening scene had Spencer Tracy's ""Father of the Bride"", and an assortment of posters offered ""Sands of Iwo Jima"", Cagney's ""White Heat"", ""Winchester 73"" and ""Wagon Master"". That last one was a cool choice, it was one of Ben Johnson's few starring roles. I haven't seen that one actually, I'll have to get my hands on it.""The Last Picture Show"" won't appeal to everyone, it's a dismally bleak picture for a lot of it's run time. But it's a fascinating one as well, and one of the best examples of pure cinema from the 1970's I can think of. Highly recommended as a movie, and more so as an experience.",The Last Picture Show
8,lee_eisenberg,"Goodbye, America",10,30 December 2005,"By 1971, the image of a ""wholesome, small-town America"" was dying out (if not already completely defunct). Probably no movie captures that better than ""The Last Picture Show"". Set in the fictional Anarene, Texas, in the early '50s, the movie tells the story of several young people, their relationships with each other, and their understanding that the America which they know is slowly but surely disappearing; being filmed in black and white gives the flick a real sense of the past. The differences between the children and adults is most likely an allusion to the growing generation gap at the time of the movie's release. Jeff Bridges, Timothy Bottoms, Cybill Shepherd, Randy Quaid, Cloris Leachman, Ben Johnson, Ellen Burstyn, Eileen Brennan, and the rest of the cast play their roles perfectly, and this is a perfect movie in every way. Combined with movies like ""McCabe and Mrs. Miller"", ""A Clockwork Orange"", ""The French Connection"", ""Shaft"", ""Willard"", ""The Devils"", ""Bananas"" and ""La noche de Walpurgis"", ""The Last Picture Show"" may make 1971 the best movie year ever.",The Last Picture Show
9,jboothmillard,The Last Picture Show,7,30 April 2012,"From Oscar, BAFTA and Golden Globe nominated director Peter Bogdanovich (What's Up, Doc?, Paper Moon, Mask), I think I tried this film once before and gave up after just a few minutes, but I saw it was book listed as one of the 1001 Movies You Must See Before You Die, so I had to give it another chance. Basically, set in 1951, the time at the end of World War II and toward the beginning of the Korean War, in the tiny town of Anarene, Texas, we follow a group of young men on the cusp of adulthood. They spend their time mostly going to the picture/movie house (cinema), playing football and hanging with girls, the main characters being senior year high school students Sonny Crawford (Timothy Bottoms), who has and dumps unpleasant girlfriend Charlene Duggs (Sharon Ullrick/Taggart) to have an affair with middle-aged Ruth Popper (Oscar, BAFTA and Golden Globe winning Cloris Leachman), and Duane Jackson (Oscar nominated Jeff Bridges), who is dating pretty and wealthy Jacy Farrow (Golden Globe nominated Cybill Shepherd), daughter of Lois (Oscar and Golden Globe nominated Ellen Burstyn). As they try continue with their routines and whatever existence they have, Anarene is actually dying a slow death as many of the residents move away to the big cities to get jobs and raise families, and the boys are not sure whether to follow suit. Duane and Sonny have the choice of staying in the town where the most they can earn is the inheritance of the movie house from their legend and mentor Sam the Lion (Oscar, BAFTA and Golden Globe winning Ben Johnson), or of course move away as well to better their lives more significantly, and their graduation approaching makes these decisions more critical. The big blow comes when many of the remaining residents are not attending the second film in double feature showings at the movie house, meaning that it is forced to be closed down, so in the end it seems like the boys have to move on after all, leaving Anarene pretty much completely deserted. Also starring BAFTA nominated Eileen Brennan as Genevieve, Clu Gulager as Abilene, Sam Bottoms as Billy, Randy Quaid as Lester Marlow, Joe Heathcock as The Sheriff, Bill Thurman as Coach Popper and Barc Doyle as Joe Bob Blanton. Young Bridges gives a good performance, as far as I remember Johnson and Leachman are very good in their award winning performances, and the direction by Bogdanovich is pretty good, I will admit that I didn't really see any plot, in my opinion almost nothing happened, but most of it was interesting enough, a fine classic drama. It was nominated the Oscar for Best Cinematography, Best Writing, Screenplay Based on Material from Another Medium and Best Picture, and it won the BAFTA for Best Screenplay, and it was nominated for Best Film. It was number 95 on 100 Years, 100 Greatest Movies. Very good!",The Last Picture Show
