,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,One of Brian De Palma's best films,10,13 February 2011,"I was thoroughly impressed with Carlito's Way. So far it is my favourite Brian De Palma film alongside Carrie and The Untouchables. De Palma's direction itself is terrific, while some of the set pieces such as the pool fight, the 15-minute subway chase and the shenanigans on the train-station escalator are among the best in any De Palma film.The cinematography is excellent, the lighting is used in an interesting way and the scenery and locations are striking. In short, the film looks good. The soundtrack drives the film very well too, the script is smart and funny and the story is ceaselessly compelling. The pace is spot on, and the acting is very good. Al Pacino gives a suitably restrained performance which was a refreshing change from his excessive performance in Scarface, while the supporting cast have plenty of time to enjoy themselves.In conclusion, a fine film. 10/10 Bethany Cox",Carlito's Way
1,bkoganbing,They pull Al Pacino back in again in this film as well,8,8 March 2015,"The tragedy of Al Pacino's character Carlo Brigante is that after his shortened stretch in the joint he realizes there is a life out there beyond his gangster world and the mean streets of East Harlem. But Pacino only finds that out way too late. And like that other iconic Pacino character Michael Corleone he gets sucked right back in. In retrospect Pacino should have had a ticket for Florida waiting for him the New York minute he got out of prison.This would be a film totally dominated by Al Pacino had it not also been for the incredible performance of Sean Penn. If in fact Penn took the role only for the bread he certainly gave the movie-going public its money's worth when they paid to see Carlito's Way. I'm surprised that he was not given Oscar consideration.When a lot of money comes to Pacino and I won't reveal how, he buys into a nightclub with the intention of earning just enough money to set himself up in business in Florida. But in his way Pacino is a man of honor. He does owe his lawyer Penn big time. Penn in fact found a loop hole as good lawyers do and got Pacino sprung from a long rap. So when Penn asks for a favor, Pacino has to oblige.Penn is fascinated by the life the criminals he defends lead. The easy access to money and power and women have turned him into a pleasure maddened hedonist. Some other criminals he's been the attorney for Penn has not behaved honorably to put it mildly. He asks Pacino to help him cover up that fact though Pacino does not realize it at first. It's part of the undoing of both of them. The other part is the dismissive way he treats an up and coming gangster John Leguizamo. Think of Gregory Peck and how he treats Skip Homeier. in The Gunfighter.Penelope Ann Miller is a young dancer who is fascinated by Carlo Brigante and is drawn to him. For the audience she embodies us and our fascination. For Pacino she represents the good life he aspires to.In character development Carlo Brigante most resembles another of Pacino's iconic parts, that of Tony Montana. But classic film fans will recognize a strong resemblance to one of Humphrey Bogart's gangster roles in The Big Shot. If it were not for what Sean Penn gives us in Carlito's Way this would be strictly a personal Pacino work. Their scenes together in Carlito's Way are unforgettable.",Carlito's Way
2,Leofwine_draca,A second gangster classic from De Palma,10,23 December 2015,"Brian de Palma scores once again with another gangster epic. Despite having a number of flaws, CARLITO'S WAY is still a very good film, chronicling as it does so the life of Al Pacino's gangster as he is released from prison and determined to go straight. But we've all heard that before... Okay, so this film is behind SCARFACE, which was one of the best gangster films ever, but for the '90s it's very good and stands up on its own amongst all the junk filling the shelves these days. De Palma adds in all his trademark homages to Hitchcock (especially in the last twenty minutes) and stylistic touches which make this film interesting and sometimes exciting to watch.Where it falls apart somewhat is in the dialogue scenes, especially in the added romance between Pacino and Penelope Ann Miller. The film's running time does feel excessive (2 hours 19 minutes) and a lot of these scenes are dragged out. Miller is miscast as Pacino's love interest, because she just isn't a very convincing actress. Thankfully these stodgy moments only account for a quarter of the film. For the rest of the time we're back in familiar territory. The cast is populated by seedy villains (John Leguizamo is a standout as a creep), and it's Sean Penn who really excels in an unrecognisable role as Pacino's crooked lawyer, a cokehead to boot. Penn is very good here, a real character you love to hate.Obviously, though, it's Pacino who stands head and shoulders above the rest of the cast, and he doesn't disappoint either. He portrays a character who is out of touch with the modern world, a romantic who is sometimes crooked, sometimes violent, but infinitely likable. The violent content to the film has been toned down a lot since SCARFACE, but there are still a couple of bloody moments to behold from de Palma's gory, glory days including a wince-inducing shot to the face. Where this film really excels is in the final twenty minutes, a lengthy chase scene. This sequence is taught, tense and totally thrilling, and easily the best part of the entire film.Okay, so there are numerous flaws; the voice-over seems unnecessary and intrusive, as if De Palma had watched GOODFELLAS one too many times, the whodunit aspect of the ending is easily guessable, and the running time is far too long and needs judicious trimming. But despite these factors, CARLITO'S WAY is still a cut above the rest, and prime viewing for gangster fans.",Carlito's Way
3,SnoopyStyle,Good solid gangster movie,7,8 October 2014,"It's 1975 NYC. Puerto Rican Carlito Brigante (Al Pacino) is released after 5 years in prison when the evidence against him is thrown out. He claims to be reborn and dreams of buying into a car rental business for $75k in the Bahamas. Dave Kleinfeld (Sean Penn) is his lawyer. Dave wants to buy a club and have Carlito run it. His cousin Guajiro drags him to a drug deal but it all goes wrong. Guajiro is killed and Carlito escapes with the money which he uses to buy into the club. He is still in love with his ex Gail (Penelope Ann Miller). Benny Blanco (John Leguizamo) is a young gangster who feels slighted by Carlito. Meanwhile Dave is in trouble after stealing his client's $1 million payoff money.Director Brian De Palma reunites with Al Pacino in a gangster story. The problem is that it feels very familiar but it doesn't really measure up to past glory. It also seems like De Palma is retreating after a couple of missteps. On its own, this is a good solid gangster movie but it's not the best of the genre.",Carlito's Way
4,mark.waltz,The diary of an ugly life.,6,16 March 2017,"There's no rising above your station in life or destiny when you've been trained since adolescence. Pacino goes from Cuban mobster in Florida to Puerto Rican drug lord in the barrio. Not much has changed in my neighborhood as far as locations are concerned with the Metro North running above Park Avenue. The only difference is the clean-up it has undergone with police presence. But once upon a time, there was little safety walking down the streets of East Harlem, and this documents those ugly violent times where gang members didn't break into sing and dance a la ""West Side Story"".Practically every well known tough looking Hispanic actor makes an appearance in this, including several comics who show off their dramatic chops. While John Leguizamo went onto great fame in comedy standup, Rick Aviles (in a bit role as a brutal thug who gets a violent demise) is best known for the murdered in ""Ghost"", yet had a promising career in comedy before his early death. Among the other Hispanic actors, Luis Guzman stands out as Pacino's best friend who stands by him until a shocking end. Individual moments with these characters make you want them to escape, just as other moments want to make you see them fry.So while the cast is uniformally great (including a much disguised Sean Penn as an equally messed up defense attorney), the lives their characters lead are not so respectable. Through Pacino's voice over's, you get to hear his inner voice longing for a way out, but like Moses being lead to the burning bush, it's his destiny. He loves a beautiful white dancer (Penelope Ann Miller), but escaping his life is out of the question thanks to his past always sneaking up behind him. There are enemies who openly hate him (Leguizamo), those he trusts who betray him (Penn and Guzman) and the woman who loves him (Miller) and openly fears seeing him dying slowly in the middle of the night. While the film runs a lengthy 2 1/2 hours, the horrors of the every day fears will keep you mesmerized. Throats are slit, heads are bashed in, and flying bullets strike their victims in the most shocking of places. Many of the characters are pretty much perverts or beyond reproach, although there's a subtle hint of the gentleman in the often philosophical Carlito, as far away from ""Scarface's"" Tony Montana that Pacino and director Brian DePalma could make him. But it's obvious that this is a life where there are no winners. Like Faye Dunaway reveals as Bonnie Parker sadly, the only way out is death.",Carlito's Way
5,kosmasp,Say Hello to my Lawyers friend,8,3 August 2019,"The documentary on the disc was quite interesting. While not revealing everything (the names certain characters are based on, mostly a mix of string of people anyway, for example) I personally didn't know this was based on the second book that was written about Carlito. So the sequel, which actually was a prequel many years later was the one that is actually based on the novel called ""Carlitos Way"".Trivia aside, you have a Pacino who never does wrong, even if as De Palma predicted wouldn't help the movie much. Though many political reasons played into that. And while it did not get the immediate recognition back when it was released, it has quite the after life. And after life is a good point on the main character. What to do after life in prison? Going straight is easier said than done. Especially if you still are being influenced by many bad sources and hang out with the wrong people. Also Karma ... can you swing your luck and destiny overall?",Carlito's Way
6,gavin6942,Sean Penn's Best Role,8,18 May 2011,"There really is not much to say about this film -- Al Pacino stars with Brian De Palma directing. Separately, they both have made plenty of great films. Together, they made ""Scarface"". While this film may not be as iconic as ""Scarface"", it is every bit as good -- and features a character you can feel real sympathy for, as he is more than just a criminal.But I think what sets this film apart from others like it is Sean Penn. Oh man, this is easily his best role. I did not even recognize him until almost halfway through the film, despite staring right at the man. The voice, the mannerisms -- brilliant. And that hair, oh my. I cannot say I have ever been a huge Penn fan, but this is his crowning achievement and nobody could claim otherwise.",Carlito's Way
7,lee_eisenberg,"Even if Al Pacino gets typecast in crime-related roles, then movies like this justify it",7,8 May 2005,"Al Pacino plays Carlito Brigante, an ex-con who gets released from jail in 1970's New York City. He hopes to live an honest life, but his past unfortunately won't allow it. When he resists, things then get very ugly for everyone (to say the least).Pacino and Sean Penn (as his cocaine-addicted lawyer) are in their usual top-notch form, and Penelope Ann Miller adds an interesting spin as Carlito's legitimately living girlfriend trying to help him lead a straight life. While ""Carlito's Way"" may contain many of the things that one anticipates in a movie about criminal life, it always fulfills our expectations of what an A-list movie should be. Definitely one of Brian DePalma's best.",Carlito's Way
8,jboothmillard,Carlito's Way,7,14 November 2006,"From director Brian De Palma (Carrie, The Untouchables), I was looking forward to seeing the star of Scarface and its director reuniting ten years later. Basically Carlito 'Charlie' Brigante (Al Pacino) Puerto Rican ex-criminal who has served five years in prison, and he has vowed not to go back to his old ways, living as a regular citizen. He begins by rekindling his relationship with ex-lover Gail (Golden Globe nominated Penelope Ann Miller), buying a night club and saving money to go to the Bahamas. But Carlito's past fellow criminals aren't leaving him alone, his nephew gets him in a shoot-out, his criminal turning lawyer David Kleinfeld (Golden Globe nominated Sean Penn) wants ""favours"", and an old friend wants the police to catch him. Carlito plans to escape to Florida, but he has gotten involved with the wrong people for one last ""favour"", and he is wrongly blamed for a mob boss's death, so they are chasing after him. It all comes to a head with Carlito asking Gail to wait for him at the train station, and the mob gag members are trying to catch and kill him. Even after killing them all, Carlito still catches a bullet from Benny Blanco (John Leguizamo) and betraying Pachanga (Luis Guzmán), but don't worry, he lives. Also starring Ingrid Rogers as Steffie, James Rebhorn as Dist. Atty. Norwalk and The Lord of the Rings' Viggo Mortensen as Lalin. Pacino makes a good restrained, gently lisping ex-criminal that can't get away from his past, the supporting cast, especially Penn and Miller make fantastic performances too, and the witty script from Spider-Man writer David Koepp makes this quite a watchable crime thriller. Very good!",Carlito's Way
9,rmax304823,Injustice is meted out.,7,24 January 2008,"It's quite a decent movie. Al Pacino is Carlito Brigante, a Puerto Rican New Yorker. Sean Penn is Kleinfeld, the lawyer who gets him out of the slams after only five years on a thirty-year sentence. Penelope Ann Miller is Gail, the old girl friend Carlito takes up with again after his return to the city.Pacino used to be a big drug dealer and, having learned some things about life, is now ready to retire, with the intention of taking his cut of some money from the club he partly owns and flying off to the Bahamas or someplace with Miller, there to open a car dealership. He wants out of a city in which everyone now seems more corrupt than before he went upstate, a city in which ""honor"" has become an almost meaningless word, useful only in coercing help from someone else, merely an instrument.""You owe me,"" says Penn. And Pacino, honor bound, must do favor after favor for the weaselly, duplicitous, coke-snorting lawyer including, finally, involvement in the murder of a Mafia member and his son. Penn does the killings. Pacino didn't even know about Penn's plans, but the mob holds him equally responsible.And while he is running his club and figuring out the details of his escape to the Bahamas, Pacino is forced to enact the role of a man so unyielding and unforgiving that he must brush off brash youngsters who would like nothing more than to take his place in the city's underworld.It's a complicated world that Pacino inhabits. He needs to juggle too many goals. At the end, he is betrayed by his best friend and brought down, just as he is about to board the train for Florida. I once heard a lecture in anthropology on Hispanic fatalism and thought at the time it was just another cooked-up thematic generalization. But subsequent experience has made me wonder. This film, including Pacino's narrative voice over, could have been written and directed by that anthropologist, . (Or by my fatalistic barber, Luisito, for that matter.) The acting is fine all around, with not a sour note. The direction is equally competent. No show-off directorial adventitions. Everything looks just about right, from Carlito's wardrobe (black leather coat) to the interior of his night club with its neon distractions. Penelope Ann Miller, in a dramatic role, is to die for, or at least to dance with. When this movie was made, Pacino could still run like hell, just as he did in ""Serpico."" Actually, the direction is fine, aimed at an adult audience. There is a shoot out at the end, almost obligatory by now, but it's preceded by a super-tense game of hide-and-seek in Grand Central Station, with four mob guys darting around and looking for Pacino, who is doing his best to get to Miller and the train. A less mature execution would have involved dozens of guys with Uzis and thousands of bullets and exploding glass windows and naked women taking showers and cars blowing up in fireballs and Niagras of blood and berserk speeding trains and endangered baby carriages and little old lady by-standers and murdered clowns -- and it all would have been carried out in slow motion. The director has done such things before. Not here. The fact that the story can generate so much suspense and excitement with a minimum of gore is a tribute to the people who put this together.",Carlito's Way
