,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,One of the freshest horror films in years,7,6 July 2017,"Stephen King did well to praise THE AUTOPSY OF JANE DOE, a low budget but effective slice of modern-day horror, because it does feel very much in the spirit of an early King effort. It features strong direction from the guy behind the exemplary TROLL HUNTER, and two decent performances from Emile Hirsch and in particular Brian Cox, excellent as an aged mortician about to perform his most bizarre autopsy yet.I do love a single location film that gets everything right and this is such a film. It's fast-paced, quirky, and inventive, and the corpse-focused mayhem that ensues is reminiscent of the highs of Asian horror such as MR. VAMPIRE or THE EYE. I steeled myself for some extreme gore but the film turns out to be not as gory or disturbing as I'd feared, but it is effectively frightening and the storyline feels fresh and original. If only they made more horror films like this these days!",The Autopsy of Jane Doe
1,SnoopyStyle,nice little midnight horror,8,22 February 2018,The body of a dead young woman is found buried in the basement of a regular home. It is brought to coroners Tommy Tilden (Brian Cox) and his apprentice son Austin (Emile Hirsch). The sheriff is desperate for answers and Tommy decides to work thru the stormy night on the autopsy.This is a nice little midnight horror indie. It's got the great Brian Cox anchoring and Emile Hirsch shows up for an understudy role. The minutia of the autopsy is great and it turns into a solid haunting story. It's not necessarily ground breaking but it is very well made. There are a few good scares and generally good atmosphere.,The Autopsy of Jane Doe
2,Horst_In_Translation,Fun time at the morgue,6,20 November 2017,"""The Autopsy of Jane Doe"" is a 2016 horror film that is not long at all, easily clocks in before the 90-minute mark and this is perhaps the most known career effort by the two writers here. It is an English-language film of course directed by Norwegian André Øvredal and it is still his most recent release, even if he has new stuff coming out soon. I personally really loved his Trollhunter film and I must say his take on Jane Doe did not reach the same level of quality, at least not as a whole, even if there were some really special moments in here. Cox and Hirsch will certainly be known and recognized by film buffs and it's fitting that these two as the biggest names in here basically turn this film into a two-man show as they are in it from beginning to end. Maybe you could say three-man show because Olwen Catherine Kelly giving one of the hottest corpse performances of all time is visible all the time too and makes quite an impact while doing nothing actually except lying there.So yeah the two doctors get the corpse of a young woman and they are told that they have to find out what happened to her, what they determine as the cause of death. But the further they dive in the mystery, the more and more strange things keep happening. And a lot of it is really effective from the horror scare factor perspective. I think the middle part of these 85 minutes is perhaps the best, everything before and after that is okay too, but not great. I just love locked door horror and radio voices horror, gets me every time. Sadly, the final revelation and explanation of who this Jane Doe is and what happened to her did not turn out to my preference really, even if I kinda like realistic unhappy endings like this one here. A bit of a pity. The last shot was not to my liking either as it felt really rushed in. But the good news is that there is really all the opportunity for a sequel with how this one turned out in the end.The weakest moment of the film was perhaps the girlfriend's death and sadly the character as a whole could have been left out in my opinion. And why would he throw his weapon away? But these are only some cons here. I still think the acting, script, camera work and general premise work out well for the most part. There were a few moments where I was indeed scared and they entertained me nicely from start to finish. The location, i.e. the morgue, was a very good choice and as the gateway between life and death made sure the film delivered from the perspective of atmosphere constantly. All in all, I can see why this one received such a great deal of awards recognition. It shows that traditional horror films that go completely without comedy moments are not dead yet. (No pun intended.) Even I as somebody who has many genres he prefers over horror ended up liking this one quite a lot, so for horror film lovers it is a must-see although I am sure that they have seen the film already anyway as it did not go under the radar at all. In case I am wrong about you, then what are you waiting for? Go check it out now.",The Autopsy of Jane Doe
3,claudio_carvalho,"Creepy, Claustrophobic and Scary",7,22 December 2016,"While investigating the murder of a family, Sheriff Sheldon (Michael McElhatton) and his team are puzzled with the discovery of the body of a stranger buried in the basement that does not fit to the crime scene. He brings the corpse of the beautiful Jane Doe (Olwen Kelly) late night to the coroner Tommy Tilden (Brian Cox) and requests to have the cause of death until the next morning to have an answer to the press. Tommy's son and assistant Austin Tilden (Emile Hirsch) is ready to go to the movie theater with his girlfriend Emma (Ophelia Lovibond), but he decides to stay to help his father in the autopsy. Along the stormy and tragic night, they disclose weird and creepy secrets about Jane Doe.""The Autopsy of Jane Doe"" is a creepy, claustrophobic and scary low- budget horror movie. The screenplay is very well-written and the tension increases as long as the mystery about Jane Doe is discloses by the coroners. The limited use of special effects is another plus in this little gem. My vote is seven.Title (Brazil): Not Available",The Autopsy of Jane Doe
4,nogodnomasters,We are way past possible,8,21 August 2017,"Tommy Tilden (Brian Cox) and his son Austin (Emile Hirsch) perform autopsies. Late one night, a Jane Doe (Olwen Kelly) is brought in. The sheriff (Michael McElhatton) wants a cause of death by morning. Austin, who has a date (Ophelia Lovibond) stays and helps his father rather than exercise his option to leave. As they start examining the woman, things on and in her body don't make sense. Soon father and son, are in a struggle for their lives as inexplicable things happen around them.About 49 minutes into the film, the scare factor intensifies and this thing becomes fun, like ""The Night Shift."" Emile Hirsch was unconvincing in his role while Brian Cox was excellent. Olwen Kelly did a great job of shutting up and being still. Best picture at Austin Fantastic Fest and Fantastic Fest Jury Award, plus a couple of more wins. Nice storm metaphors and good job with the radio.Guide: F-word. Olwen Kelly corpse nudity. No sex.",The Autopsy of Jane Doe
5,kosmasp,Claustrophobia (as in Horror),8,27 November 2017,"For over a year I had heard about this movie, so there was quite some expectation that build up, even before I watched it. And the only thing I knew was that very vivid poster. I didn't even see the cast list (Brian Cox? Very nice). So watching this without any real input, I could enjoy this (or be frightened by it) as much as possible.The acting is really good, which was to be expected with the people attached. Obviously there is nudity, though not titillating (at least it is not meant to be). And while there is horror, this tries not to score points with gore, but rather with an atmosphere it builds. The story may be slim, but the setting is so crystal clear, that you get into the mood and the mindset of the people involved. It really messes you up, in a really good way. The credit and the good word of mouth this received are very well deserved",The Autopsy of Jane Doe
6,rmax304823,Witches -- Forgotten But Not Gone.,5,22 November 2017,"I was kind of hoping for a mystery. Okay. An autopsy. I expected the coroner or pathologist to uncover indication that the death was not was it seemed and this would lead to a policier in which the mystery of Jane Doe's death was unraveled and a villain manacled. Instead I got a zombie movie.The first hour or so is fine. The body of Jane Doe is brought in and the police officer says they need a cause of death by tomorrow. Brian Cox -- a good actor -- and Emile Hirsch play father and son coroners who aren't disturbed by chopping up and sawing at human remains. The autopsy shown is reasonably accurate. Cox does a decent job and follows the usual pattern, though he doesn't sniff the stomach contents, which is part of the ritual -- a ritual I'd be happy enough to ignore. In the autopsy I viewed, the face of the corpse was covered by a cloth, removing some of his humanity. I'm glad they didn't cover up Jane Doe's face. She's played by Olwen Kelly -- if ""played"" is the right word. She neither moves nor utters a sound. She makes an awfully good impression without them.Hirsch begins to suspect something is up when they begin extracting various exotic objects from the stomach -- Jimson weed (a hallucinogen), some kind of odd scroll, and on to other signs that this is a most unusual cadaver. In fact, it's not quite a cadaver yet, and whatever it is, it's highly miffed at the two guys whacking away at it, so PO'd that it causes all sorts of things to happen that logic is left behind in the dust -- or the peat, in this instance.There's a terrific thunderstorm, the radio sizzles for a moment and begins to play a song call ""Let the Sun Shine"" or something. The lights go out. Flashlights appear. The doors are locked and the elevator doesn't work. So father and son are locked in a morgue with a corpse that's animating the spirit world. It's a rather large morgue with a maze of hallways. The men are trying to escape the menace by hiding in the elevator with an ax. A figure approaches in the darkness and the flickering light reveals a decomposing old lady. The terrified Cox hacks it with a fire ax. It turns out to be Hirsch's girl friend, who expires bloodily on the floor.How Ophelia Lovibond managed to get into the morgue when all the doors were locked and the men couldn't leave, and why she approached silently and menacingly in the darkness without shouting a greeting is -- well, it's positively mystifying. So are a lot of other things -- doors opening and closing by themselves, voices from outside imitating the police, and the dead cat. So, after all this Schweinerei, do the guys manage to destroy the witch or at least appease the corpse? Nope. They both die, and the police, wanting to get rid of this odd body, have it shipped far away for burial somewhere else.I just got a whiff of a perfume whose base is cadaverine. Yes. I think I recognize it. It's called ""The Autopsy of Jane Doe II.""",The Autopsy of Jane Doe
7,ma-cortes,"Chilling and claustrophobic terror movie with thrills , suspense and supernatural events",7,27 June 2021,"In a mansion appears evidence of a cruelly murdered couple, both found by Sheriff Burke (Michael McElhatton), alongside the body of an almost intact and exceptionally preserved of a young woman in her mid-twenties. The Forensic crew formed by father Tommy (Brian Cox) and son Austin (Emile Hirsch) has to execute an urgent autopsy . Like father , like son , Austin follows teachings his daddy along the way the forensic practices . As Austin leaves his girlfriend (Ophelia Lovibond) with whom had amusement plans, deciding to stay with his father during the seemingly quiet night to carry out the autopsy due to the emergency of the case and amid a huge media frenzy. Things go wrong , when they discover cryptic marks , severed tongue , rare tattoos on the body of the young girl , as well as strange phenomenon and poltergeists successively happening. Body has a secret. Her curse lives deep within. Can they unearth pale Jane Doe's morbid secret?Horror fairy tale , being consistently paced, finely played by starring duo : Brian Cox, Emile Hirsch and with a lot of gore , twists and turns .Weird terror movie that's heavy on gory autopsy scenes with acceptable though completely interior production design , colorful cinematography and decent but no excessive special effects , incuding gruesomely vivid guts . A twisted plot in which father and son become involved into a supernatural intrigue resulting in plunging themselves deeper and deeper towards a world of impossible occurrences and equally inexplicable findings . It contains adequate cinematography by Roman Osin, as well as thrilling and suspenseful musical score by Danny Bensi and Saunder Jurriaans . The motion picture was competently directed André Øvredal. This is a good director with a short but interesting career with penchant for Chillers and Horror movies. This is André Øvredal's first English-language film. Andre is a craftsman who has made various nice films , such as : ""The Tunnel"" , ""Scary Stories"", ""Mortal"" , ""Troll Hunters"" , ""Future Murder""and some shorts. Rating : 7/10 . Better than average Terror movie in spite of developing itself at limited interior scenarios. Well worth watching.",The Autopsy of Jane Doe
8,BA_Harrison,A cut above the rest.,8,6 July 2018,"Father and son coroners, Tommy and Austin Tilden (Brian Cox and Emile Hirsch), attempt to find the cause of death of an unidentified woman found half buried in the basement at the scene of a multiple homicide. As they delve deeper and deeper, they discover a series of bizarre clues that point to a bone-chilling conclusion.In a genre saturated with mediocre movies, supernatural horror The Autopsy of Jane Doe stands out as a superbly crafted creepfest that delivers nerve-jangling shivers, while providing enough graphic gruesomeness for those who enjoy more visceral thrills.The film starts out as a fascinating study of a rather revolting vocation, as Tommy and Austin systematically dissect the 'Jane Doe' looking for answers, with director André Øvredal lovingly capturing every sloppy detail of the process. Things start to get seriously creepy once the pair start to reveal the truth about the woman's past, all the evidence pointing to the unthinkable, the action ultimately entering the realms of the fantastic.Øvredal expertly cranks up the suspense, using his shadowy morgue setting to great effect, gradually introducing more and more unsettling elements guaranteed to leave the viewer with sweaty palms and on the edge of their seat (there's something about a reanimated corpse with its eyes and mouth sewn shut that really gets the heart a-pounding, although its the simple sound of a ringing bell that generates maximum tension).Best watched alone at night with the lights out and the doors open, The Autopsy of Jane Doe is a good old-fashioned scary horror that rarely puts a foot wrong, and in these days, that's something to be celebrated.",The Autopsy of Jane Doe
9,paul_haakonsen,Dead but not resting...,6,2 May 2017,"What lured me in to watch ""The Autopsy of Jane Doe"", aside from it being a horror movie, was the synopsis for the movie. This synopsis seemed like the movie could actually turn out to be quite interesting.I will be the first to admit that ""The Autopsy of Jane Doe"" is a rather thrilling and suspenseful movie. And it was genuinely creepy enough to actually be disturbing. Director André Øvredal was really quite good at pacing the movie and combining storytelling with atmosphere and suspense.The movie has some really good acting performances, despite it being very, very limited in numbers of actors and actresses, actually. I will take a moment to point out Brian Cox's performance in this movie, because he was really great here, and he carried the movie so nicely. It was as if the role of senior coroner Tommy was written specifically with him in mind.""The Autopsy of Jane Doe"" starts out with the audience knowing very little about what is to happen, and slowly more and more odd and disturbing things happen in the cellar. However, it is the way that the audience is kept in the dark and forced to speculate and guess at what is going on that really adds flavor to the storyline. And the build up of suspense and scares is quite intense and so well-executed that it adds a very in-your-face atmosphere to the movie.The special effects in the movie were also quite good and convincing. And it is nice to see a horror movie that doesn't solely rely on its special effects in order to be effective in terms of how entertaining and scary the movie turns out to be.This is definitely one of the better horror movies that came around in 2016. If you enjoy the horror genre, then I can strongly recommend that you take the time to sit down and watch ""The Autopsy of Jane Doe"", as it is quite entertaining and definitely worth the time and effort.",The Autopsy of Jane Doe
