,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Splendid mountaineering thriller is the best of its type,8,25 February 2017,"Having just watched the mountaineering thriller EVEREST, I can report that it's the best-ever film I've seen detailing the subject matter, a mini classic of a movie that blows away memories of the similarly-themed WHITE TOWER (the old '50s effort with Glenn Ford that now seems woefully dated) and the slightly cheesy VERTICAL LIMIT. In addition, EVEREST has the hook of being based on a true story that took place in the 1990s, adding to the realism which is top notch throughout.The plot ingredients of this film are familiar yet it all works and that's because they gel together very nicely. A huge bunch of characters decide to ascend Mount Everest just when a massive storm is due to hit. There's the usual gamut of back stories, rescue attempts, and back-home characterisation, and it's all thoroughly involving. The characters work well because of the ensemble cast; these are real people with no clear-cut heroes and villains, just people driven for whatever reasons.The likes of Jason Clarke and Josh Brolin give performances among the best of their careers when they play down-to-earth guys like these. The sentimentalism is kept at bay which I appreciated. The CGI effects are splendid because you don't notice them - the whole thing is authentic from the outset. Icelandic director Baltasar Kormakur uses his old directorial tricks from THE DEEP in really putting you outside in the elements, making you shiver and shake as if you're there in person. It's quite splendid.",Everest
1,SnoopyStyle,compelling mountaineering,7,9 September 2016,"More and more commercial expeditions are climbing Mount Everest. In the summer of 1996, Adventure Consultants is one of the many teams making the attempt. Rob Hall (Jason Clarke) is the veteran leader leaving behind his pregnant wife Jan (Keira Knightley) in New Zealand. Beck Weathers (Josh Brolin) and Doug Hansen (John Hawkes) are two of the client climbers. Guy Cotter (Sam Worthington) is an assistant and Helen Wilton (Emily Watson) coordinates from base camp. The group arrives at the summit late. Veteran climber Scott Fischer (Jake Gyllenhaal) had been climbing back and forth between camps. Doug convinces Rob to stay even later and then a storm hits the peak. They can't find any extra oxygen tanks. The group gets scattered and struggles to find safety.The story leading up to the summit lacks narrative drive. The first half simply has no tension and the characters don't have depth. It's a series of elevation points and uncompelling events. It might be better to concentrate solely on Jason Clarke and start later on the climb. It should lay out the map and the climb better. There are some compelling scenes. It may look best as IMAX 3D. The chaos during the storm has good tension. It is able to lay out the situation despite the chaos.",Everest
2,Prismark10,Everest tourism,6,8 September 2019,"Everest has an all star cast, great scenery, some nice shots when disaster strikes. The trouble is it's just too disjointed and starts sluggishly as it needs to introduce its over crowded cast and characterisation.Based on true events that happened in 1996. Two commercial expeditions led by Rob Hall (Jason Clarke) and Scott Fischer (Jake Gyllenhaal) team up to climb the summit of Everest together. However a severe blizzard spells disaster for the climbers as they need to descent the mountain.Despite starting slowly we never get much depth regarding the characters or their motivations. It also never delves into the commercialization of these Everest expeditions where people go for adventure tourism and pay top dollar. Even though it is based on true events the narrative never grabs you but the mountain looks exhilarating and scary at the same time.",Everest
3,claudio_carvalho,Impressively Realistic,7,13 March 2016,"In 1996, the leaders of the commercial expeditions Adventure Consultants and Mountain Madness, Rob Hall (Jason Clarke) and Scott Fischer (Jake Gyllenhaal), decide to team up to climb the Everest together. After the brief preparation and training, they attempt to reach the summit. However a blizzard strikes the Everest and they need to urgently descent the mountain. Rob loses some clients and when the oxygen bottle runs out, Rob discovers that there are no spare bottles on the location that it should be. His friend Doug Hansen (John Hawkes) falls off the path and dies and Rob is stranded near the top of the Everest. Meanwhile Scott is totally exhausted and his clients continue to descent leaving Scott, the veteran Yasuko Namba (Naoko Mori) and the Texan Beck Weathers (Josh Brolin) behind. Later the rescue team succeeds in saving Beck that has lost both hands and nose. In the end, the survivors return home and Rob's corpse is left in Everest. ""Everest"" is an impressively realistic film based on a true story. It is hard to see what is real and what special effects along the film are. The screenplay uses personal dramas entwined with the lead story and the direction is tight. The cast with famous names has great performance and this film is highly recommended. My vote is seven.Title (Brazil): ""Everest""",Everest
4,nogodnomasters,THE LAST WORD ALWAYS BELONGS TO THE MOUNTAIN,7,27 April 2019,"Based on a true story from 1996.Rob Hall (Jason Clarke) leads a group of climbers up Everest.He is a ""hand holder"" and safety comes first with him. He had prevented his last group from reaching the top because of a storm. Scott Fisher (Jake Gyllenhaal) leads another group. He feels if a person can't make it on their own, they don't deserve to reach the top. Most of the film is build up. They spend 40 days walking up the mountain in an attempt to acclimate. There are scenes which explain the hazards to the body such as lack of oxygen and cold.The disaster doesn't happen to late in the film, i.e. after an hour. As far as disaster films go, watching people laying down covered with snow on is realistic, but not as exciting as a hungry Yeti chasing them. I did not watch the film in IMAX for which it was designed. I would suggest to get the full effect of the mountain, IMAX is a must, otherwise the film will just be light drama and light action. There is only so much of snow blowing across a mountain I can watch. The film emphasizes safety, teamwork, and family.Guide: No swearing, sex, or nudity. And yes that was Keira Knightley.",Everest
5,kosmasp,E as in Experience,8,6 September 2016,"I'm not a (mountain) climber myself, but the way this movie is shot really takes you right into the heart of it all. Even if I didn't see it in IMAX 3D, I did see it on the (smaller) big screen nonetheless and it did add to the whole watching experience. It's also nice to have strong actors in this, who convincingly portray their characters (haven't seen any background or behind the scenes stuff yet, so can't talk about the amount of ""fake""/greenscreen used).Having said that, this is not for the fainthearted. It takes a lot out of people to climb a mountain, even more so if it's a really big one like Everest. And the (weather) conditions are beyond what anyone can imagine, even just talking about them. So from the safety of your home or theater or wherever you're watching this, you can go on a trip that while still will is able to drain you, it will leave you satisfied and suspenseful until the end",Everest
6,classicsoncall,"""The last word always belongs to the mountain.""",7,28 July 2019,"This is an excellent primer for anyone considering a mountain climbing experience. It ought to convince you to stay home and wait by the fireplace with a nice snifter of brandy on hand. And the thing is, for the amateur climbers who hoped to scale Mt. Everest, a lot of the prep work was already done for them, things like those ladder bridges and all the rope climbs that had to be in place in order to get up those icy verticals. Imagine if they had to do that themselves. Well, I'm convinced it's not for me, even if the end result would be that you're sitting on top of the world.What one does get to consider regarding the successful climbers is what a reverence and awe they place in the accomplishment. The mountain itself is extremely unforgiving of mistakes and miscalculations, and even the pros take life into their own hands with every attempt. Then there's the often unknowable element of weather conditions that play havoc virtually at the drop of a hat. For those who make this their life's work I express my sincere admiration; it takes a certain rare individual to face all those elements on any given day.The only thing that took me out of the story were the presence of the celebrity actors who participated in the project. You know going in that Jason Clarke, John Hawkes, Josh Brolin, and Jake Gyllenhaal aren't really risking life and limb for the sake of the movie. It might have been better to use less familiar faces in their roles to lend a greater pathos to the eventual fates that befell the ones who didn't make it. Still, it's a gripping story based on an actual event that occurred in 1996, and a powerful reminder that not all attempts at personal goal fulfillment will end successfully.",Everest
7,jboothmillard,Everest,6,25 February 2021,"I remember seeing the trailer for this film in the cinema, I didn't realise it was based on a true story, I was looking forward to it because of a good cast, positive ratings, and it looked good, so directed by Baltasar Kormákur (Contraband, 2 Guns, Trapped, Adrift). Basically, New Zealand's intrepid mountaineer, Robert ""Rob"" Edwin Hall (Jason Clarke), with his company named ""Adventure Consultants"", has been guiding amateur climbers on Mount Everest since 1992. In May 1996, several commercial expeditions at the base camp of Everest prepare to climb to the summit. Scott Fischer (Jake Gyllenhaal) is the chief guide for rival adventure company, Mountain Madness. Rob's clients include experienced climber Beck Weathers (Josh Brolin), former mailman Doug Hansen (The Sessions' John Hawkes) who is pursuing his dream, climbing veteran Yasuko Namba (Naoko Mori) who hopes to complete her final Seven Summits ascent, and Outside magazine journalist Jon Krakauer (Michael Kelly). Helen Wilton (Emily Watson) manages Rob's base camp. Before leaving New Zealand a month earlier, Rob said goodbye to his pregnant wife, Jan (Keira Knightley), and promised that he will be home for the birth. At the base camp, Rob receives a fax from her, informing him that their unborn baby is a girl. He wants to name her Sarah, but Jan disagrees. Worried about climbers overcrowding, Rob persuades Scott to cooperate to reduce delays. On the summit attempt, Rob's group departs from Camp IV before dawn, planning to complete the ascent and begin descending by 2:00pm, the latest safe time to ensure return before nightfall. The group discovers that guide ropes are not installed on the upper reaches of the climb, this delays them by over an hour. Beck has eyesight problems and stops. Rob tells him to return to base camp if his condition worsens in half an hour. Scott hurries down to camp to help another climber, but plans to reascend, and Rob warns him about overexertion. Rob reaches the summit on time and is joined by other climbers including Yasuko, who is elated to plant her Japanese flag. Descending, Rob encounters Doug struggling to ascend just above the Hillary Step and orders him to go back down. Doug insists on continuing, saying that he will not get the chance again. Rob reluctantly agrees and they reach the summit two hours later, well past the safe return time. Doug is exhausted and suffering from altitude sickness. With them, Scott is also exhausted and suffering high-altitude pulmonary edema (fluid accumulation in the lungs). As Rob helps Doug down, a blizzard strikes while Doug's oxygen tank is empty, causing him to suffer hypoxia. No extra bottles are stored on route as Rob asked and he radios Helen to send more oxygen. Rob briefly leaves Doug, who semi-consciously detaches himself from the guide rope and walks unsteadily along the narrow path, then silently falls to his death. Scott's condition worsens. He tells his fellow climbers to go on without him. He lies down and later dies. Descending climbers reach Beck, whose vision is still impaired, but they all become lost as the blizzard obliterates the trail. Three climbers go for help, leaving Beck and Yasuko. Guide Andy 'Harold' Harris (The Ring's Martin Henderson) reaches Rob with spare oxygen, but the cylinder opening is frozen shut. They huddle together in the storm. While Rob sleeps, Andy begins to hallucinate. He then strips off his outer clothing and slides to his death. In the morning, Rob radios Helen that Doug and Andy are gone, and that his limbs are frozen. Helen calls Jan, hoping that Rob will respond to her voice. Jan tells Rob that he must keep moving. Rob tells her that he is cold but otherwise comfortable, and asks her to name their baby Sarah, dying soon afterwards. Returning climbers tell the camp that Beck and Yasuko are stranded. But the severe weather makes a rescue impossible. Helen calls Beck's wife, Peach (Robin Wright), and informs her of the situation. In the morning, Beck miraculously awakens, but finds that Yasuko is dead. He stumbles down to camp alone, severely frostbitten and in need of medical help. Peach calls the American Embassy and organises a helicopter rescue. Nepal Army pilot Lieutenant Colonel Madan Khatri Chhetri (Vijaya Lama) flies a helicopter to take Beck to hospital. Meanwhile, one of Scott's guides, Anatoli Boukreev (Ingvar Sigurdsson), finds his body, and moves it off the trail. Returning home, Helen and Jan have an emotional reunion, and Jan later successfully gives birth to a daughter who she names Sarah. Beck returns to his family, heavily bandaged. The ending reveals that he lost both hands and nose to frostbite, and that Rob's body remains on Everest. Also starring Sam Worthington as Guy Cotter, Elizabeth Debicki as Caroline MacKenzie, Thomas M. Wright as Michael Groom, Tom Goodman-Hill as Neal Beidleman, Clive Standen as Ed Viesturs, Vanessa Kirby as Sandy Hill Pittman, and Mia Goth as Meg Weathers. The ensemble cast all do well in their parts, the fateful climbing sequences are gripping, the freezing conditions and nail-biting moments get your attention, and the sights and scenery (filmed in the Austrian Alps, Iceland, and Nepal) look great, a most worthwhile adventure thriller. Good!",Everest
8,rmax304823,Imperfect Storm.,6,6 September 2016,"This is ""based on a true story"" of people who climbed, or tried to climb, Mount Everest in 1996. It was difficult enough getting to the peak but on their way back to base camp a storm blew up and four of the team were lost and one lost his hands and nose to frostbite.It's more like a National Geographic Special than a feature film. The locations are magnificent and indifferent. The top peaks are wind whipped and the storm, when it appears, is congested with roiling black clouds and lightning. There have been other movies about mountain climbing but they've never used such effective computer-generated imagery.The personalities -- some of them -- are established well enough without any complicated back stories but individuals are more or less lost during the climb, when everyone is bundled up and masked.And the story is otherwise confusing. The director and, especially, the editor, Mick Audsley, are responsible for making it clear who's who and who's where. The occasional location titles help -- ""Camp Number Two -- 2 PM."" But I gradually lost track of what was happening except to two or three members of the team, and even then I didn't know just where they were. Some of the incidents must have been improvised for dramatic purposes. Doug is panting and exhausted but lets the rest of the team descend while he struggles towards the peak. The leader, Rob, helps him, and the two men finally stand alone, with Doug whooping and planting his fingertip on the point of the highest boulder. Since both men died, the scene is cast in doubt.One of the film's more admirable aspects is its lack of sentiment. There are a few too many minutes of Rob (the sympatico Jason Clarke) moaning his last words over the radio to his wife Jen (the refulgently gorgeous Kiera Knightly) but otherwise the deaths are well handled. Two men slip off a cliff during the storm but there is no Wilhelm scream. There's no exceptional sound at all, just the constant whoosh of wind. Nor does the camera follow the falling body, tumbling over and over. Nope. The two guys slip on the snow and fall out of the frame. Nicely done.Not to be picky but when one of the men (Doug, played by Josh Brolin) finally stumbles back into base camp on his own, all frostbitten and hypothermic and half blind, the first thing they do is take his frozen fingers and dunk them into bowls of steaming water. Eskimo mythology gives us several layers of hell, where the bad folks go, just as our mythology does. The lowest level of Eskimo hell is eternal torment associated with the thawing out of frostbite. There's no indication of pain here, just relief. And I hope that steaming water was merely warm rather than hot.If one wanted to, he or she could read the analog of an organic lifetime into this story. Everyone begins in high spirits, calling each other ""mate"" and ""man"", all of them exuberant -- ""What a GREAT VIEW."" Then they reach the peak or almost reach it and begin a descent that ends in tragedy for some and distress for the rest.What is it that drives someone to climb Mount Everest anyway? What the hell is the point? Nobody knows. ""Because it's there,"" is too flip, and the reasons given by the team members are fatuous. It probably has something to do with self testing, seeing how much we can get away with, whether seeing how fast we can run without collapsing, parking illegally, or outwitting a mountain.",Everest
9,ma-cortes,"Action adventure film details the efforts of brave climbers , including exciting and moving mountain-climbing scenes",7,24 October 2018,"Based on the Incredible True Story set in The Most Dangerous Place On Earth, the highest point on Earth, Himalaya Mountains , as some climbers tackle the climbing the world's first largest mountain, Everest . ¨Everest"" boasts a stunning cast as Jason Clarke, Josh Brolin, Robin Wright , Jake Gyllenhaal , Sam Worthington and Kiera Knightley. This deals with the story of New Zealand's intrepid mountaineer Robert ""Rob"" Edwin Hall : Jason Clarke , who on May 10, 1996, successfully led 19 clients to the summit without a single fatality , but subsequently , things go wrong . Rob Hall together with Scott Fischer: Jake Gyllenhaal , teamed up on a joint expedition . All of them set out to scale a famous and risked mountain to ascend Mount Everest only to come face to face with a relentless fight for survival when they start their final ascent since the peak and descend to the base campament and challenging the harshest conditions and imaginable odds .
Nice film with spectacular scenes , snowbound , thrills , emotion , a lot of ropes ,and piolets ; and , of course , fight for life in which at the end, a furious blizzard struck and they have to survive at whatever means , facing off blistering winds and freezing temperatures . Beautiful Nepal scenary fails to totally compensate for a number of slow-moving scenes . Each person's true nature is revealed as they scale the peak , which many climbers have defied and failed in previous attempts, but , finally the two teams must endure in an epic battle to survive against nearly impossible risks . The trip to scale the first highest peak involves a long palaver among them , and much parley between persons of different countries , cultures or level of sophistication . As the climbers argue with other partners , porters , challenges from old rivals and beyond the cliche dialogue . As the main issue results to be a violent storm strikes the mountain, engulfing the adventurers in one of the fiercest blizzards ever , as they suffer several dangers , in which the climbers encounter innumerable odds along the way , including an ascent of sheer rock face , an avalanche and a fall down perpendicular mountain ice . Protagonists give good acting delivering philosophical debating , at times .The main cast and support cast are pretty good , full of known actors as John Hawkes , Emily Watson , Sam Worthington , Keira Knightley ,Vanessa Kirby , Clive Standen , Robin Wright , Naoko Mori , Elizabeth Debicki , Michael Kelly , among others . The film is frankly well ; however, slightly overwrought ,with several dreary lapses , but exciting and stirring .This one belongs to ¨Climbling Subgenre¨ with important films such as "" The White Tower"" with Glenn Ford , Claude Rains , "" The Eiger sanction"" with Clint Eastwood, George Kennedy, Jack Cassidy and ""K2¨by Frank Roddan with Matt Craven , Michael Biehn and Julia Nickson .It contains a sensitive as well as thrilling musical score by Dario Marianelli . Impressive photography by Salvatore Tonino who does wonders shooting the moutainous outdoors , showing impressive landscapes and breathtaking mountains . It was actually shot on location in South Base Camp, Mount Everest, Nepal , Tenzing-Hillary Airport, Lukla, Nepal ,Namche Bazaar, Kathmandu , Nepal and Val Senales, Trentino-Alto Adige, Italy . The motion picture was well directed by Baltasar Kormakur whose intention is made clear early on : the hard climbing and the omnipotence of nature as metaphor , as well as a sour denounce on the increasing demand for expeditions to Everest, being based on real events . Baltasar who was born in Reykjavik, Iceland , he is a writer/Producer/filmmaker, an artisan who has directed a number of decent movies of all kinds of genres . As he has directed¨Contraband,"" which was a remake of Oskar Johansson's ""Reykjavik Rotterdam,"" and he produced through his Blueeyes Productions, along with Working Title Films. Kormákur's next films were the thriller ""2 Guns,"" starring Denzel Washington and Mark Wahlberg, ¨The missionary , ¨The Oath¨ , ¨Adrift¨ , among others . Rating : 7/10 . Better than average .",Everest
