,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Witches' Brew of Mismatch Genre,4,9 March 2014,"Sally (Sandra Bullock) and Gillian Owens (Nicole Kidman) have been told by their aunts (Stockard Channing, Dianne Wiest) early on about the family curse. Their ancestor Maria Owens was hung as a witch, but she survives. She was exiled to what is now their home Maria's Island in Massachusetts with her unborn child. She casts a spell to never fall in love. The curse has endured killing all the men that Owens women love. Gillian is the wild child and she wanders away from home. Sally stayed home. Against all odds, she falls in love with her husband and has two girls. Everything seems fine until the curse strike her husband dead. Then drunken mess Gillian calls one night for help. Gillian's boyfriend Jimmy (Goran Visnjic) takes both sisters hostage. Sally tries to dose Jimmy with belladonna but an overdose kills him. So they bury his body in the yard. Police detective Gary Hallet (Aidan Quinn) comes investigating the missing Jimmy. Only Jimmy's spirit is now haunting the sisters.This movie is a witches' brew of mismatch genres. It wants so desperately to be a rom-com. But there are some really dark fantasy elements that would probably be better off as a thriller. And then there are real slices of horror. It's a wildly inconsistent mess. For so much of it, director Griffin Dunne is using such a delicate light touch to the tone that all the murder and mayhem seems weirdly fake. Bullock and Kidman are great actors who has good chemistry together as sisters. However, the chemistry between Bullock and Quinn is questionable. The main reason being that the love may be spell induced. I just don't know what to do with this mess.",Practical Magic
1,mark.waltz,Women become witches because men are jerks or far too nice. Take your pick.,3,19 April 2016,"A fabulous foursome of award winning actresses couldn't save this amoral view of the dark side of the gentle sex, minus the morality and right over wrong viewpoint of ""The Witches"" and ""Hocus Pocus"". Veterans Stockard Channing and Dianne Wiest are the eccentric spell casting aunts who take in orphaned nieces and turn them to the light side of the dark side. Growing up to be Sandra Bullock and Nicole Kidman, they end up in bad relationships thanks to an ancient curse where any man who marries into their family will die a tragic death. Of course, Bullock ends up with two daughters (obviously no sons allowed), and the pattern threatens to be repeated.Sweetly filmed, there is still nothing that hides the fact that this really is spiritually ugly. Even in the two films that I mentioned, as well as 'The Witches of Eastwick"", there was no denying the fact that the witches actually were up to no good. Here the two older aunts are presented as fun- loving Auntie Mame types, and the two younger women are presented in such heroic aspects that it is difficult to see past the fact that they are involved in dark forces. A scene where Channing and Wiest meet with a client determined to make a man fall in love with her just gives the insinuation that a woman has to turn to the dark side in order to find love in her life, and that is a very disturbing precedent, especially in a film that has such a family air about it. One of the major issues with this ""chick flick"" is that it doesn't really do any service to the advancement of women and any reason to take stories like this seriously. Certainly, Bullock's ill-fated marriage to a really nice man is emotional, but the one dimensional lover that Kidman ends up is written with absolutely no redeeming values. Aidan Quinn, as a detective on the sister's trail, is believable with a variation of qualities, but his sudden transformation under a witches spell falls short of believable. The gathering of local women in the conclusion is very anti- male, and the very final scene proves that this was just an attempt to sugarcoat what the witchy women of this family was really all about. While I can enjoy films which tackle horrific, supernatural or macabre subject matters, I strongly believe that the movies have a strong obligation to present certain ideas in a moralistic manner. There is nothing moral about showing unnatural ways of controlling another human being, and certainly any kind of magical spell to control nature is wrong. I'm guilty of adoring Channing and Wiest too much to judge them, and the fact that I liked them so much in this was very disturbing to me. They ain't no ""Rosemary's Baby"" type coven, and certainly not getting the come-uppance of the three sisters from ""Hocus Pocus"" made this questionable as to the motives of the filmmakers. And when they say that there's no devil in their craft, the only word that I can think of in response is, ""Bull!""",Practical Magic
2,gavin6942,Something of a Precursor to American Horror Story,6,11 December 2015,"The wry, comic romantic tale follows the Owens sisters, Sally and Gillian, as they struggle to use their hereditary gift for practical magic to overcome the obstacles in discovering true love.I have to give this film a 6 rather than a 7 or 8, because it seems like it was trying to go in different directions, which made it never strong enough as any one genre. It could be fantasy, but it's not. It could be PG-13 horror, but it's not. It could be romantic comedy, but it's not. There should have been something more here than what we got.What is interesting is the inclusion of music from Stevie Nicks, the ""White Witch"". This makes me think the film had to be a strong influence on the writers of ""American Horror Story"". The hereditary witches, the mixing of potions, bringing the dead back... and Stevie Nicks. This can't just be written off as generic witch stuff.",Practical Magic
3,jboothmillard,Practical Magic,4,3 November 2008,"I would need to see it again to write a better review, but this is the basics and what I remember. Sisters Sally (Sandra Bullock) and Gillian Owens (Nicole Kidman) are witches, Gillian is the wild one with abusive boyfriend Jimmy Angelov (Ice Age's Goran Visnjic), and Sally is the home-loving one falling for detective Gary Hallet (Legends of the Fall's Aidan Quinn), who is trying to find Angelov. Also in the story are the Owens witchy aunts, Frances (Grease's Stockard Channing) and Jet (Edward Scissorhands' Dianne Wiest). Apparently this is meant to be a black comedy, but I don't remember laughing, so obviously seeing it again would help. Okay!",Practical Magic
4,moonspinner55,Mild magic...,4,30 December 2006,"Sandra Bullock and Nicole Kidman are well-cast as estranged sisters in the present day who reunite, only to become involved in a murder, covering their tracks while dodging an out-of-town cop who's hot on the case. After rocketing to stardom with her co-starring role in ""Speed"", Sandra Bullock has struggled with her celebrity and the results on-screen have been mixed, to say the least (""While You Were Sleeping"" was cute, but I barely made it through ""28 Days"", which felt like it). ""Practical Magic"" is a mild fantasy with dramatic and comedic overtones, admirably more of a character-study than a special effects-induced outing (which probably turned many viewers off). The attempt is certainly there, the production design is handsome, but the characters don't really come off. Bullock is truly appealing, though Kidman and Aidan Quinn have very little to work with, and the supporting actresses (Stockard Channing and Dianne Wiest) are forgettable, much like the film. It's a time-filler, leaving no lasting impression. *1/2 from ****",Practical Magic
5,blanche-2,Light and entertaining,8,13 July 2009,"Sandra Bullock, Nicole Kidman, Stockard Channing and Dianne Wiest indulge in some ""Practical Magic,"" a 1998 film directed by Griffin Dunne. Bullock and Kidman play sisters, Sally and Gillian, both of whom are witches. One (Kidman) is free-wheeling and out in the world, and Bullock is a widowed mother with children who refuses to have anything to do with magic. One of their ancestors put a curse on any man involved with a woman in her family, and the curse lost the sisters their father and Bullock's husband. Her two aunts, however, Francis and Bridget (Channing and Wiest) still practice their spells. When Gillian takes up with the wrong man (again) (Goran Visjnic), she calls Sally. As a result of Sally's help, they find themselves in a lot of trouble and have to take drastic measures. Things don't work out as planned.I'm not sure what the problem is - it appears that some people on IMDb expect every film to be Magnolia, and if it isn't, they reject it as junk. This movie is what it is intended to be - light, with some suspense, some scares, some fun, lots of warmth, and great characters. If you read the book, disappointment is more understandable, and I feel your pain.The acting is excellent, with four top actresses as the stars, and the relationships between them are excellent as well. As others have mentioned, the best part of the film is when they start calling neighbors so they can have a coven.Highly recommended.",Practical Magic
6,edwagreen,Practical Magic: How Stupid Can We Get? 0*,1,7 November 2009,"This movie is beyond the pits.Stop already with the Salem witch trials, condemnation and the ultimate curses placed by witches that are inherited through the years.This picture was almost a dumb take-off of Hocus-Pocus of several years back.Hard to believe that great actresses Stockard Channing and Diane Wiest would play two relatively benign aunts in this horrible mess.The curse is that through the ages, a beetle comes along to bring the demise to husbands of the women. Their children are ostracized by others.Sandra Bullock tries hard but she has such ridiculous material to work with. Nicole Kidman doesn't even look like herself as she vamps around. How many times do you have to kill her boyfriend? 3 strikes and you're out in baseball. This hodge-podge of a movie shouldn't have even reached strike 1.",Practical Magic
7,view_and_review,Miss Me With This,2,2 December 2020,The opening scene a narrator was telling the story of their ancestor Maria. She was a witch. She escaped a hanging. She waited for her love and he never showed. She was devastated. She then cast a spell that love would never come near her again. This spell became a curse for her and all of her female descendants.That's all I needed to hear to know where this movie was going. I watched about an hour more just to see if I was wrong then turned it off. Just another romance story of a different color. Miss me with this one.,Practical Magic
8,anaconda-40658,Practically Works With Leads and Visuals.,6,16 December 2015,"Practical Magic (1998): Dir: Griffin Dunne / Cast: Sandra Bullock, Nicole Kidman, Aiden Quinn, Dianne Wiest, Stockard Channing: Black comedy that may be referencing Sandra Bullock and her practical daily living or her instructions to her children not to use magic. It can mean love, which is much more powerful than magic. Bullock and Nicole Kidman are sisters plagued by their mother's curse after dying of a broken heart. It is said that any males they love will surely die. Bullock is married and has two children until her husband is struck by a truck. Kidman hangs loose until her boyfriend becomes abusive. Held at gunpoint Bullock accidentally poisons him. Bullock states that there is no devil in magic. She obviously obtains her's out of a box of Lucky Charms. Witchcraft is treated as a game as oppose to dangerous. Director Griffin Dunne bypasses predictable storytelling with exquisite visual elements. This is an improvement over his previous film Addicted to Love, but neither films clash humour and their dark elements very successfully. Bullock and Kidman survive the hocus-pocus bullshit with fine chemistry but Aiden Quinn as the investigating officer is standard. Dianne Wiest and Stockard Channing play their crazy aunts. Despite its seemingly free spirit attitude, this film is not for children. Interesting yet unfocused, which fades the real magic. Score: 6 / 10",Practical Magic
9,The_Void,Just as disappointing as you've heard it is,5,26 September 2005,"I decided to ignore the negative comments that this film has received and just make up my own mind. After all, witchcraft is always an intriguing subject and films with two strong female leads often interest me...but I'm sad to say, this is one of those occasions where it's better to listen to what you've heard. Actually, for the first hour or so; Practical Magic isn't all that bad. It's not all that good, but it sets itself up well, and constantly seems to be hinting that better is to come. The plot revolves around two witches bringing one of their boyfriends back to life, and I thought that once this got put into action, the film was going to pick up more; but to my surprise, once the plot gets going; the film just falls apart. Throughout the film, we know that the family of witches is hated by the local community because they're ""different"" - yet once we get past the halfway point, the neighbourhood is coming round to help the girls cast a spell! This is just one of the inconsistencies of this film, and throughout I got the impression that Practical Magic doesn't think much of it's audience's intelligence.The plot revolves around two girls that are witches. They grow up into Sandra Bullock and Nicole Kidman; the former being happily married to a man she loves, while the latter has found herself in all sorts of trouble with a nasty boyfriend played by Goran Visnijic. However, a curse on the family means that any man they love will meet an untimely death, and that's what happens to Sandra Bullock's husband. Kidman's boyfriend dies too, only it's by her hands and despite trying to bring him back to life; he becomes an evil entity that haunts the sisters. It doesn't sound all that engrossing, and it isn't. The plot has the potential to give way to an interesting flick, but it's themes are all over the place and, as mentioned, the film becomes ridiculous after we get past the halfway point. The two leads are good, however, and give the film it's only solid positive element. Casting Diane Wiest as an aging aunt was something of a stroke of genius, as I cant think of anyone that fits the bill better - but generally speaking, any form of genius is something that this film is very much lacking.",Practical Magic
