,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"A tough film to explain or even discuss, as there are so many alternative explanations for what you've just seen.",8,21 July 2021,"""Donnie Darko"" is a mind-bending film that is VERY hard to rate or even review. It's incredibly strange and watchable...but also confusing and open to MANY interpretations. My advice is just watch it and see what you think.The weirdness of this film doesn't surprise me that much since it stars Jake Gyllenhaal, an actor who seems to love taking chances with mind-bending and provoking scripts. Think about it...this actor hasn't just made one weird film but many...such as ""Source Code"", ""Nightcrawler"", ""Brokeback Mountain"", ""Love and Other Drugs"" as well as ""Accidental Love""....all VERY unusual and difficult to categorize films. He certainly is a risk-taker....and I really appreciate that and seek out his films because of this.The story is ""Donnie Darko"" is hard to describe....but I'll try. Donnie (Gyllehaal) is a disturbed high school student who apparently is in therapy after an incident involving arson. As the movie progresses, several things become obvious: he's brilliant, he can see the hypocrisy and bull around him, he's obsessed with time travel AND he's psychotic and dangerous. And, as the film progresses you see the world as he does...filled with all sorts of apparent delusions, including an imaginary friend dressed as a demonic rabbit, Frank. You KNOW all this will lead to something horrible...but what, you can't predict. What also is odd is that despite being highly disturbed, Donnie is, somehow, on to something...but what?!The film is a mind-bending experience. I didn't love it, but I really respect it for trying to do something unique. I film you will probably either love or hate...I think it's worth your time.",Donnie Darko
1,Leofwine_draca,One-of-a-kind head-scratcher,9,27 June 2016,"DONNIE DARKO is a film hard to classify. Some might pass it off as a routine teen flick but they'd be mistaken. It has all the trappings of adolescent movies, from soul-searching teenage talk to parent problems and plenty of intrigue and simmering violence at the local high school, but it goes a lot further than that.The base of the story involves a paradox in time, and it is set in an alternate universe packed with imaginative effects and a really creepy guy in a rabbit costume who goes by the name of Frank. I can't really say any more, except that this is the film that brought THE DAY AFTER TOMORROW star Gyllenhaal to fame, and he is excellent, as is the rest of the cast – including Patrick Swayze in a very surprising change of character.This is one of those movies with a plot that doesn't make much sense until the end, where a couple of twists or three make what has come previously crystal clear. It's a good trick, and one you won't tire of. Add onto that an '80s setting and plenty of cool Tears for Fears music (which could almost have been written for this movie) and you have an emotional thriller with a heart and a brain. It might leave you scratching your head, but repeat viewings should remedy that.",Donnie Darko
2,SnoopyStyle,cool premise and unique blend,8,10 April 2015,"It's 1988 upper class suburb Middlesex, Virginia. Donnie Darko (Jake Gyllenhaal) is a disturbed kid who talks to a giant creepy bunny called Frank and disappears at night. His parents (Mary McDonnell, Holmes Osborne) have him talking to psychiatrist Dr. Lilian Thurman (Katharine Ross). Frank tells him that the world is ending in 28 days. A jet engine crashes into his room while he's away sleepwalking. No one knows where it came from. He falls for new student Gretchen Ross (Jena Malone). The school is flooded and English teacher Karen Pomeroy (Drew Barrymore)'s assignment is blamed. Gym teacher Kitty Farmer (Beth Grant) begins to teach lessons from motivational speaker Jim Cunningham (Patrick Swayze). His science teacher Dr. Kenneth Monnitoff (Noah Wyle) gives him a time travel book written by local mad woman Roberta Sparrow.I love the weird moody style. It's got a surreal suburbia that feels more like the small town in Blue Velvet. It's a beautiful place on the surface hiding an ugly core. Frank is just weird and Jake Gyllenhaal plays off of it with a disturbing performance. There is the crazy sci-fi element. All of it mash together in one of the most unique blend. The 80s music is terrific. I also didn't notice Seth Rogen was in this until watching much later. The final ending is a little bit confusing and I'm not sure what it all means. I would have preferred one that wraps up with more sense.",Donnie Darko
3,Hitchcoc,Worth a Second Look,9,22 February 2011,"This is a film that crept up on me. It takes one time to sense the rhythms of this film and to accept the strange apparitions that dominate it. As the closing song, ""Mad World,"" typifies, the central character can only accept his demons and, in doing so, have a scintilla of joy. This is about a different kind of altruism, unstuck in time, that some of us wish we could have. Donnie is a popular guy with all kinds of possibilities. He is loving, smart, and eccentric. His family has him seeing a psychiatrist because his actions due to misunderstood visions have caused him to act violently at times. They love him and want him so badly to sort things out. He finds a soul mate, but she has her own demons and never fully understands what is going on. I can't say much because a first time viewer needs to be kept completely in the dark. I would like to watch this again to see things unfold with foreknowledge. It's one of the most intriguing movies I've ever seen.",Donnie Darko
4,Horst_In_Translation,"I see some of the appeal, it all comes through weirdness",6,29 September 2021,"""Donnie Darko"" is an American English-language movie from 2001 and this means that it has its 20th anniversary this year and as people consider it a cult classic nowadays and have done so for a while, many theaters here in Berlin and probably other places too have decided to give this the big screen treatment again and as I have not seen it before, I surely took the chance now to give it a watch. If you look at the amount of ratings here on imdb and also the average rating, it's pretty obvious why. But let's start with the basics: The writer and director is Richard Kelly. He was only around the age of 25 when he made this film and it will probably stay his most known work forever. He kept working on other projects in the first ten years of the new millennium, but as of now he has not worked on a new movie in over a decade, so maybe his career is even over for good. Still with this film here he has reached a kind of popularity like not many others, even if probably not too many remember his exact name. At least not if we compare his name to lead actor Jake Gyllenhaal. He became an Oscar nominee for a certain cowboy movie less than five years later and it is kinda ironic because of how young he seems in this one we have here. Well, he was only 20 and a few other cast members were even younger. This includes Jena Malone who is really stunning in here for sure. From the rest of the cast, the maybe most known actor is the late Patrick Swayze. The most successful is maybe Mary McDonnell with her two Oscar nominations and fans of the movie The Graduate will also see an interesting supporting inclusion. Finally, I also need to mention Holmes Osborne. He may not have had a career as big as the woman who plays his character's wife, but he is surely on par with her and his comedic reactions especially when he hears what the title character said to a teacher were spot-on. Also those moments in which he is confronted with Michael Dukakis. Oh and Maggie Gyllenhaal is in here too. However, her role is really absolutely minimal. She has this argument very early on at the table with her real and on-screen brother, which is really more on the banter side and one the not too many comedic inclusions when certain kinds of obscene language are brought in, especially with the reactions of a tiny girl.The thing that came to my mind first when we see Donnie Darko on the ground there in the very first scene after something that looked like a bike accident was how he (or the actor) looked incredibly female and had you not been familiar with J. Gyllenhaal, you could here and there think he was a girl. But really only in this scene. Even if he was still pretty young, he had been acting for a decade already at that point. So quite experienced and with this childhood background, it's no surprise to see him still going strong 20 years later. There you see how time flies. There are references to Dukakis' unsuccessful run for presidency here, so this shows you that it was the late 1980s basically during which this film was set (apart from all the inclusions with the exact date being specifically written on the screen). Which means that there were around 12 years between the making of this film and the time in which it was set. And now it is 20 years between the making of this film and today, so much more. You get the point. The movie stays comfortably under two hours, but is still really long at over 110 minutes. I think the most common version these days is the director's cut and I guess that with Kelly not working on other stuff (at least not movie-wise) he had all the time in the world to come up with this one. It's also a film that will have you see bunnies or rabbits for once from a completely, not so cute perspective wit the one we have in here. Look at the imdb title poster and you already know roughtly what I mean, even if he looks a bit like Terminator on there. This is also not the direction this film is heading. But it is pretty creepy and mysterious most of the time. Probably too mysterious to really grasp it overall, especially not in one viewing. But still as you may get confused while watching, you will still be happy that you are not in this one because it really does not feel like an era or area where you could find happiness quickly. Quite the opposite, it's all rather messed up. Also as I just mentioned the rabbit, I had no clue who the human wearing the costume was and why he was this significant.One thing that is safe here is that this is surely not a film that Christian people will particularly enjoy. So many reasons why. I am not even talking about the language and obscenities, but I mean look at Swayze's character alone and what is revealed about him. Initially, I thought that Darko really put these illegal recordings of minors there to incriminate him, but I guess those were really his. Swayze's character's I mean. Okay, well it was probably not too realistic that Darko found the man's wallet right in front of his house out of nowhere, but hey, if you take a look at other stuff here, this is not a film that wants to be seen as realistic. Another coincidence would be that the book Darko is crazy about was actually written by the old confused woman. The ending or what happens before that was especially strange. We have the two bullies (one of them portrayed by the young Seth Rogen) again there out of nowhere in a pretty dangerous scene with a knife and then a car arrives with the rabbit inside and he shows up to save Darko, but actually kills his love interest instead. And that leads to Darko taking the shot at the character you see on the poster and now we know where he got this eye injury, so this scene basically plays somehow before almost everything we see before that and this is where the time travel element massively comes into play. Then there is this emm.. engine(?) from the plane that falls down and this time it kills Donnie as we see his father cry heavily and his mother have eye contact with Malone's character who now in this scenario never met Darko as she tells us (and a boy from the neighborhood) herself. And the plane is the one in which his mother was with the group of young girls. This band or whatever it was and there you could ask about the inclusion of Darko's youngest sister. Obviously she lives in the end. So yeah, it was all incredibly mysterious and same applied to the role Drew Barrymore portrayed in here. I have a feeling that even after the tenth viewing, there will still be massive questions marks to this movie. Maybe actually, it was just striving to be too deep and in the process makes no sense for the most part. I for one am confused people like it so much, maybe they just like the title character's bizarre state of mind and the 80s refences.With the former I am of course referring to a teenage boy in the middle of puberty dealing with a severe mental disorder. This results in the bunny, this results in strange liquid shapes coming out of characters' bellies (also his own eventually), and nice references on other film and television projects like Married with Children, Evil Dead and even the Smurfs. Not sure what was up with that. Maybe it is simply a movie with which you appreciate the individual scenes and inclusions and not the product as a whole. That will perhaps make it easier to remotely grasp the outcome. Not surprised to read that several people attached to this project, including lead actor Gyllenhaal himself, admitted they had no idea what all this was about. I am not sure if with this one here I would say I am disappointed or relieved that Kelly's filmmaking career was not a long one. But when there's moments like the Mad World (Gary Jules' version is not the original by the way) song near the end, I think I'd say it is a bit of a pity that there isn't more stuff from Kelly. Love this song! Then again, I have not even remotely seen everything else he did. Has anybody here seen Kelly? Sorry, I just had to. But then there are also moments when it felt a bit like a Tommy Wiseau film, also with the overall plot and there are many examples during which it just felt so wild.There are many other scenes and inclusions and characters I could talk about, but probably the best idea would be that you watch this film yourself. I am giving a positive recommendation here overall and that was never in doubt, even if there was also never really the option for me to call this one of 2001's best. Not a great movie, just maybe an interesting watch due to all the oddities. Another one linked to the production was that Germans did not see this before late 2003 and Italians had to wait for almost another year after even. It was not a huge success, but I saw that theaters were really packed when it found its way to the big screen again now in 2021, so if they keep showing it for quite a while now, it could gain almost more money than it did right after its release back then. Kinda fitting though with the aura that surrounds this movie and most people knowing Gyllenhaal right now. And Swayze anyway too. There are also comedic moments. I mentioned one or two already, but it's more through oddity too like the chubby girl in her ballet outfit and how it was supposed to represent grace, the first promo video you saw including Swayze's character, the aforementioned daddy's reaction(s) etc. Aside from that, in terms of romance it works like most high school oddball comedies with the kissing references for example. Okay, the girl had a murderous stepdad apparently, so not this normal either you could say. That is really it now. I suggest you go watch it yourself, no matter if on the big or small screen because words cannot even come close to describing the creative(?) chaos included in here in an accurate manner. It's a slightly memorable experience perhaps, but not really a highly memorable movie. Seeing it once is enough from my perspective. I'm still glad I did. Recommended. (tt0246578)",Donnie Darko
5,claudio_carvalho,One of the Weirdest and Most Intriguing Cult Movies Ever,8,18 January 2004,"Donnie Darko (Jake Gyllenhaal) is a paranoid schizophrenic anti-social teenager having therapy with Dr. Lilian Thurman (Katharine Ross) and using medication. He has visions of a giant rabbit, Frank, the Fuzzy Bunny, who instructs him to make violent acts, like destroying the fire hydrant and piping to flood his high-school like in Graham Greene's book, which text was read in his English class, or burning to the ground the house of the hypocrite Jim Cunningham (Patrick Swayze). Donnie is not at home when an engine turbine falls of a plane into his bedroom without any explanation. He predicts the doomsday and is very interested in time travel through the wormhole.""Donnie Darko"" is one of the weirdest cult movies ever. Richard Kelly follows the same school of David Lynch, making a very intriguing movie with the usual elements of this director, such as in ""The Lost Highway"", using characters very bizarre and dark. The story is confusing and quite nonsense but holds the attention until the very end, with great cast and performances. My vote is eight.Title (Brazil): ""Donnie Darko""Note: On 16 November 2014, I saw this movie again.",Donnie Darko
6,kosmasp,Future,8,21 July 2009,"An extremely complex structure/movie, that might be too much for some people. Too much information, a too confusing plot line, not enough action, too slow a pace. All things that could be said about this movie. But it's still gripping. Even if you don't get what it means, after watching it the first time (I didn't), it still is a mesmerizing experience.In a time-line that doesn't seem clear, in a world that looks like ours, but feels entirely different, this movie gets its strength from the plot, which as well can be it's weak point for many. If you're not appalled to the strange, feel free to experience this movie ...",Donnie Darko
7,classicsoncall,"""How does it feel to have a wacko for a son?""",8,6 November 2017,"I've read more than a handful of reviews here on IMDb for this film, and it's interesting to see so many different interpretations, many that conflict with each other, but still making sense in their own way. I have to admit, I missed a lot of the picture's nuance watching it for the first time, so returned to it a day later to view it once more. One has to accept the time travel premise for the story to work because of the way Donnie Darko (Jake Gyllenhaal) rewinds things all the way back to the day of the jet engine crash. What's a lot more complex are all the in-between steps that take place showing how Donnie connects with Frank Bunny and the way in which he deals with his paranoid schizophrenia.I don't pretend to 'get' everything that went on in the story and I don't know if multiple repeat viewings would help clear things up. I think more exposure would only lead to more theories about what was going on in the mind of writer and first time director Richard Kelly when he put this movie together. There's some conjecture that Donnie was attempting to find a way to prevent the end of the world from taking place, but if you think about it, Frank's warning was essentially true for Donnie - his 'world' came to an end when he returned to his room near the end of the story.There's something I'd like to mention in connection with the transparent, watery, balloon-like vision Donnie had emanating from people in his immediate orbit and from himself as well. Mystics and healers speak of a 'silver cord' that connects one's spirit to the physical body when one dreams or experiences astral projection. It's to keep a person's spirit safe on it's journey while separate from the body. That idea didn't come across in Donnie's experience so I wonder if that was something on Kelly's mind when he came up with the concept.Over all I'm not quite sure what to make of this movie. Though it's kind of bizarre, I did like it enough to pursue it a second time and in due course I'll probably want to catch it a few more times. Some movies just manage to get under your skin and for me, this was one of them. My viewing of the film was of the original theatrical version, stated by some viewers here that it's the preferred one versus the director's cut. It couldn't hurt to try the alternate one down the road.",Donnie Darko
8,gavin6942,One of the Greatest Films of My Generation,8,18 March 2013,"A troubled teenager (Jake Gyllenhaal) is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes, after narrowly escaping a bizarre accident.Having graduated high school in 1999, I was very much a product of the 1990s. And being into the industrial music scene, I saw the 90s as a decade consumed with nihilistic imagery, both with films and music. Friedrich Nietzsche was back in a big way, for better or worse (probably worse, since he is so misunderstood by people).""Donnie Darko"" missed the 1990s, but I think many people may age saw it as the film that capped their experience of adolescence. The film is quite nihilistic (in the most uplifting way) and even has James Duval in a minor (but important) role. Duval was well-known to those of us who gravitated to the films of Gregg Araki.Before we had ""Lost"", this was the film that sparked amateur philosophy debates. We were not quoting Locke or Descartes, but we were wondering what it all meant, what was the deeper meaning, is time travel really possible... it all seemed so profound. Looking back now (in 2013 at age 32), I cannot help but wonder how much of this was youthful eyes and mind, and how much was really in the film... but I did find myself captivated watching it (yet) again, many years since the days when it was on constant rewind.Richard Kelly was supposed to be the next big thing after this film came out. As near as I can tell, that never happened. ""Southland Tales"" never really took off. And then ""The Box""... a film that wants to be deep, but probably is not. Many of the Darko devotees (myself included) wanted there to be something in the story, something beyond the original version, but it all seems so convoluted.Anyway, ""Donnie Darko"" remains a classic of modern independent cinema.",Donnie Darko
9,lee_eisenberg,in the context of September 11...,9,7 April 2006,"""Donnie Darko"" is not the easiest movie to explain. The title character (Jake Gyllenhaal) is a high school student in 1988 who narrowly escapes death one night by wondering out of his house before a jet engine crashes into his room. He then has visions of an evil-looking rabbit who may or may not be there to warn him of something.That's the bare plot, but there's of course the question of the movie's overarching idea. That's very much up to interpretation. Is it about time travel? Maybe so; I can't say for certain. But other things strike me about the movie. One scene shows the debate between George Bush Sr and Michael Dukakis, in which Bush praises Panama's president. This gives an obvious sense of irony, possibly an allusion to what ends up happening in the movie.But I would really like to talk about the movie in the context of September 11, 2001, as the movie was released shortly thereafter. It's not just that ""Donnie Darko"" creates an eerie, mind-blowing feeling similar to the one that we got on 9/11. There is also Patrick Swayze's pop-psychologist: to me, at least, he represents the ""Bible-for-everything"" agenda that Bush used 9/11 to try and push.But that's just me. I don't know for certain what the movie's saying. But I do recommend it. Interestingly, around the time that it was released, the Steve Martin vehicle ""Novocaine"" also featured a sinister-looking rabbit. Hmmm...",Donnie Darko
