,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Zombie horror masterwork from Korea,8,1 March 2017,"South Korea has made plenty of horror films over the last couple of decades, but very few of them have been zombie films; the country typically favours ghost or psycho tales like WHISPERING CORRIDORS or I SAW THE DEVIL. That changes with TRAIN TO BUSAN, a Hollywood-feel film that owes more than a debt of inspiration to WORLD WAR Z in its depiction of fast, feral zombies that amass into a CGI-animated crowd on occasion.This film is straightforward enough, with a simple premise: zombies on a train. And yet it also happens to be thoroughly gripping, exciting, and indeed excellent, thanks to the skill of director Yeon Sang-ho who is known for his animated features like KING OF PIGS. The reason this film succeeds where others fail is down to the characterisation, which is superb for a straight horror tale. The characters are realistic, well-drawn, and appealing, and there's plenty of sentiment while at the same time the film narrowly avoids falling into melodrama.This is a visceral journey that has the viewer on the edge of his or her train seat for much of the running time. It starts off eerie and foreboding and then builds a momentum that never flags right up until the end. The CGI effects are pretty good although occasionally weak, but that doesn't matter a jot when everything else is so well portrayed. The actors impress as always in Korea, putting tons of energy and heart into their performances, and as an action-horror film this is difficult to surpass. I enjoyed every moment.",Train to Busan
1,SnoopyStyle,Korean zombie train,8,9 August 2017,"It's the start of the zombie apocalypse. The population is caught unaware. An injured girl scrambles onto a train leaving Seoul for Busan. She had been bitten by an infected and soon becomes an infected herself. The infection spreads and the survivors find safety in a few cars. Among the survivors are a girl and her often-absent fund manager father, a strong man and his pregnant wife, two elderly sisters, a baseball team and one cheerleader, and a selfish businessman.This is solid zombie fare. The zombies are reminiscent of World War Z. In fact, it might as well be a small part of that franchise. The characters are well-drawn. They are memorable. There are about ten good characters. The action is thrilling and scary both small and large scale. There is good tension throughout. There is one climatic scene that is trying too hard emotionally but that's a small flaw in an otherwise flawless action film.",Train to Busan
2,Prismark10,Train to Busan,7,28 April 2019,"Train to Busan (Busanhaeng) is a South Korean survivalist zombie movie.It owes more to the Hollywood disaster movies on the 1970s such as The Poseidon Adventure or the Airport films.Seok-woo is a divorced fund manager. A workaholic who never has much time for his young daughter Su-an. They board a train so she can visit her mother. An injured young woman scrambles onto the train before it leaves Seoul. She had been bitten and becomes infected by some type of virus that turns her into a flesh eating zombie.As she bites others, they too become infected and in turn attack other passengers and staff. Some of the survivors try to move quickly to the safe carriages.Survivors include Seok-woo and his daughter, a pregnant woman and her macho husband, two elderly sisters, members of a high school baseball team, a selfish tycoon and a few others. As the train journey continues, they get picked off one by one.The zombies have been inspired by World War Z as at times they can be fast moving. The director has done well in maintaining tension and a claustrophobic atmosphere before moving the action to other places.The characters are nicely fleshed out and this is one of the better zombie movies.",Train to Busan
3,claudio_carvalho,One of the Best Zombie Films ever Made,8,14 September 2016,"The investment manager Seok Woo (Yoo Gong) is a divorced man that lives in Seoul, with his daughter a Soo-an (Soo-an Kim) and his mother. Seok Woo is a selfish man and neglects Soo-an that misses her mother that lives in Busan. On Soo-an's birthday, she asks to visit her mother and Seok Woo travels with her with the intention of returning after lunch. They board the fast train KTX and a sick woman also boards another wagon. During the journey, the woman attacks a train staff and soon all the passenger in the wagon are attacked turning into zombies. Soon Seok Woo realizes that there is a zombie outbreak in South Korea and together with the passenger Sang Hwa (Dong-seok Ma), who is traveling with his pregnant wife Sung Gyeong (Yu-mi Jeong), they isolate the safe front wagons from the infected ones. Along their journey, the non-infected passengers have to fight the zombies and the selfishness of the human being. ""Busanhaeng"", a.k.a. ""Train to Busan"", is one of the best zombie films ever made. The story is original and there is deep character development, which is not usual in horror movies, showing the different behavior of the human being in a stressful situation depending on his or her character (or lack of). The direction is amazing and the action scenes are fantastic. The screenplay is melodramatic but also attractive; the beautiful cinematography and special effects and make-up are highlighted by perfect edition. The cast has good performance but the girl Soo-an Kim is impressive and steals the show. We hope Hollywood industry does not destroy this little gem with the usual remake. My vote is eight.Title (Brazil): Not Available",Train to Busan
4,nogodnomasters,Keyword: Zombie,8,8 October 2017,"Seok Woo is a fund manager in Seoul. His wife left him and lives in Busan. Seok didn't spend a lot of time with his family, always at work. After screwing up his daughter Soo-an's birthday, he fulfills her wish of wanting to go to Busan and see her mother. During this time there is ""a small leak at the plant"" which leads to the proverbial zombie outbreak and of course one gets on the train to create havoc for the film.The film is a bit heavy. It is about family, sharing, and sacrifice...things Seok Woo placed second to himself. He now must work as a team and learn different values to save his daughter. The film becomes a bitter-sweet zombie drama before it is all over. Almost 2 hours long and needs about 10-15 minutes cut from it.Guide: No sex or nudity. No swearing in the English subtitles, but I think there was some in Korean not translated.",Train to Busan
5,kosmasp,Even Korea isn't safe,8,17 April 2017,"From zombies that is. Obviously if you're not into horror and/or zombies you probably shouldn't watch this. While it does also work as a drama (some of the best horror movies do), there is a lot of blood and a lot of violence. Just putting that out there (or should it be in there?). They also made an Anime as prequel to this. And while that is good in its own right (if you don't have an aversion against animated movies), you don't have to watch it beforehand.The acting is more than decent for a movie like this, but it is really a fast paced movie, so once it starts running, there is no real slowing down. Which is also true of the zombies. So if you're a ""purist"", you may take issue with that. I personally like the slow zombies myself too. It becomes more of an action movie, when they run. Having said that, when it's done as good as it is here, I don't mind either.South Korea is good when it comes to action, so that was kind of to be expected. If you had the opportunity to watch this on the big screen, good for you. But with home cinemas evolved there is enough to take and enjoy at home too. Best watch it with friends though, to get a vibe going",Train to Busan
6,lee_eisenberg,zombie express,10,29 January 2017,"Another zombie movie? Yes, and Yeon Sang-ho's ""Busanhaeng"" (""Train to Busan"" in English) is a cool one. The plot involves a zombie apocalypse overrunning South Korea, while a group of train passengers tries to contain the infected passengers. Just as most zombie movies give their living dead unique attributes, this one does: the zombies can't see in the dark, so they have to rely on their hearing (meaning that the living can sneak past silently when the train passes through tunnels).It's not a masterpiece, but fun. I suspect that it's fun to play zombies, or whatever the infected people are supposed to be. The subplot about the absentee father and his daughter trying to reconnect gave the movie a more human side than most zombie movies out there. I hope that Yeon continues making movies like this.",Train to Busan
7,Woodyanders,"One hell of an intense, exciting, and emotional ride",9,6 November 2019,"A motley assortment of passengers on a train going from Seoul to Bosun are put in great jeopardy when they find themselves caught up in a sudden zombie outbreak both on said train and in the outside world as well.Director/co-writer Sang-ho Yeon keeps the gripping story hurtling along at a breathless breakneck pace, takes time to develop the characters, ably builds a tremendous amount of nerve-rattling tension, maintains a tough take-no-prisoners tone throughout, and stages the attack scenes with rousing go-for-the-throat gusto. Most importantly, Yeon and co-writer Joo-Suk Park bring a surprising pronounced element of pathos and humanity to the premise which in turn ensures that there's plenty of genuinely moving heart to go along with all the harrowing horror. The excellent acting by the tip-top cast further keeps the film on track, with especially stand-out contributions from Yoo Gong as negligent workaholic dad Seok-woo, Su-an Kim as his estranged daughter Soo-an, Dong-seok Ma as the brave Sang-hwa, Yu-mi Jung as the pregnant Seong-Kyeong, Eui-sung Kim as selfish business tycoon Yon-suk, Gwi-hwa Choi as a scared homeless guy, and Sohee as perky cheerleader Jin-hee. The infected folks are extremely ferocious and frightening. Proof positive that there's still some invigorating life left in the zombie horror genre.",Train to Busan
8,Tweekums,Train to Busan,9,7 August 2019,"Seok-woo is a workaholic fund manager living in Seoul with his mother and Su-an, his young daughter. She is desperate to see her mother, who lives four hundred and fifty kilometres away in Busan. Eventually her father agrees to take her and together they board the train to Busan. As the train prepares to depart we are introduced to a few other characters; a man and his pregnant wife; a pair of older women; a school girl and her boyfriend a wealthy business executive; a homeless man who keeps saying 'everybody is dead!' and a girl who is behaving strangely. Soon after the train sets off this girl attacks a train attendant... it is clear that she was infected with something that causes extreme violence. It isn't long before more and more become infected and survivors are barricading themselves in the remaining safe parts of the train. If that weren't enough it is clear that the infection is affecting people throughout South Korea.I really enjoyed this South Korean zombie film; it provided tension from soon after the start right to the final scene. The zombies are more like those infected in '28 Days Later' than classic slow shuffling ones some people might not be keen on that but I think so long as they are scary all is good... and these provided the scares. The film nicely establishes rules that these particular zombies follow. Inevitably there are plenty of gory scenes, but nothing too excessive, and it isn't entirely obvious who, if anybody, will survive. The key characters are introduced well and fairly quickly; they include a good cross section of society and both heroes and cowards. Setting the film in the confined space of a speeding train adds an extra danger as there are limited places for survivors to hide safely for any length of time. The cast is solid and make us believe in their characters; similarly the special effects are pretty impressive. Overall I'd say that this is definitely a film to watch if you like zombie movies.These comments are based on watching the film in Korean with English subtitles.",Train to Busan
9,ma-cortes,"Magnificent Zombie movie concerning a virus breaks out in South Korea, and passengers struggle to fend off the living dead hordes",8,8 February 2019,"Top-notch Zombie movie includes hectic action , thrills , chills , gutsy scenes and loads of gore , regarding several passengers attempting to survive on the train from Seoul to Busan . It is a harrowing zombie horror-thriller that follows a group of terrified passengers fighting their way through a countrywide viral outbreak while trapped on a suspicion-filled, blood-drenched bullet train ride to Busan, a southern resort city that has managed to hold off the zombie hordes... or so everyone hopes . This thrilling film results to one of the highest earning horror movies of the last years , full of eerie scenes with zombies and moving events . It tells the story of the happenings that follow after a zombie apocalypse . While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan . As a divorced father, Seok-woo , along with his daughter Su-an, heads for Busan to meet her mother , then he discovers that the world has been taken over by zombies. Shortly after , the father and other passengers struggle to fend off the zombie hordes . It follows a group of survivors on a train , who travel in search of a safe and secure home. The movie goes on to explore the challenges of the passengers on a train and in a station overrun by zombies who take a toll on the survivors, taking on the greatest dangers to their continuing survival when the zombies roam surround . As the characters are changed by the constant exposure to death and some grow willing to do anything to survive. Escape from the zombies! Get on board to stay alive! Life-or-death survival begins
This excellent picture packs noisy action , chills , violence , lots of blood and gore , dealing with life-or-death survival in train bound to Busan . It's a solid film , a terror story plenty of suspense , restless horror, and in cinematographic style . It deals with a merciless fight for survival in which some survivors struggle to fend off the zombie hordes ; as well as competing with other passangers who are prepared to do whatever it takes to survive . The main premise is the following : A divorced daddy spares time with his daughter , as he offers to take her on the train to see her mother in Busan , as the train departs, an abnormal virus spreads from a girl who is infected, and people start to transform to zombies. Will Seok-woo and Su-an make it out alive? .The flesh-eating zombies appearance deliver the goods plenty of screams, shocks and tension . The horror moments are compactly made and fast moving . This movie is the sequel of his animated film Seoul Station, and both releasing in 2016, the movie gained a lot of attention from South Korea, and internationally, because he choose the genre that not a lot of South Korean director choose which is the zombie flick. The movie was screened at the Midnight Screening at Cannes Festival, the movie was rumored to be remake with by the Hollywood production . Train to Busan is the first South Korean movie that gained 10 millions theatergoers in South Korea, and the number is still counting. It achieved a big success thanks to the interesting plot and the Zombies are vey well carried out , excellent make-up and acting , in fact actors who played zombies had to go through zombie school to learn how to walk and move like zombies .¨Train to Busan¨ has got several Awards and nominations such as : Nominated for a 2016 Blue Dragon Film Award in the Best New Director category , Won the Yu Hyun-mok Film Arts Award a the 2016 Buil Film Awards and Won the Best New Director Award at the 2017 Baeksang Arts Awards . The motion picture was magnificently made by director Yeon Sang-ho , being his debut feature . This filmmaker is very loved by Cannes thanks to his edgy animation. He is a good director, and a fine screen writer . At the beginning he made few short films , then set up his own production house Studio Dadashow in 2004. Yeon Sang Ho known for directing a animated film such as The King of Pigs, The Window, The Fake, and his latest animated film is in 2016 called Seoul Station. Yeon Sang-Ho sometimes created his movie based on his own personal life as well. For example the The King of Pigs, he said that he was inspired by his own life experience, and he cried during the writing time of the script, The Window is based on his life during his mandatory . Train to Busan rating : 8/10 . Above average movie . Well worth warching . The picture will appeal to Zombie-sub-genre fans .",Train to Busan
