,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,feeling the lost of Jackson,4,4 September 2021,"Moody (Samuel L. Jackson) is a professional assassin and Anna (Maggie Q) is his protégé. They return to London after killing and stealing from a notorious gangster. She runs an antique book store and one day, the mysterious Rembrandt (Michael Keaton) walks in.This had some fun while Jackson remains on the screen. I thought he and Maggie Q work as a comedic action duo. She's the straight man. She doesn't talk much and Jackson can bounce anything off of her. The movie really loses something when it loses him. It becomes a derivative silent assassin movie when early on, it promised to be a fun irreverent blow-em-up movie. While he's gone, the movie feels like it lost something and it never really recovers it even after the reveal. This probably works better as a buddy killer comedy.",The Protege
1,boblipton,How Is There Anyone Alive In The World?,4,22 October 2021,"Maggie Q is a professional assassin. When her mentor, Samuel L. Jackson, is killed by the Rumanian Mafia, she decides to get some vengeance. Equally skilled assassin Michael Keaton meets with her to warn her off in a collegial manner.Director Martin Campbell is a specialist in films about violent people in horrible situations, like several entries in the James Bond series, and GREEN LANTERN. This one is stylishly directed, as is his wont, but I find the story itself to be annoying. It reminds me of the John Wick series, in which everyone you meet is an assassin, and the audience is left wondering why they don't all wind up killing each other.",The Protege
2,Prismark10,The Protégé,6,1 September 2021,"Martin Campbell directed the landmark BBC thriller Edge of Darkness in 1985. He was then given the task to reboot the James Bond franchise twice.Nowadays Campbell is a veteran relegated to making B movies.The Protégé has plenty of raw action, some of the violence is hard edged. The plot is forgettable and half baked.Anna (Maggie Q) was taken in by an assassin called Moody (Samuel L Jackson) who found her as a child in Vietnam.Moody has trained Anna to be a contract killer. She also uses a vintage bookshop in London as a front. One day a man called Rembrandt (Michael Keaton) walks into her shop and Anna's world changes.Soon people she knows have been killed and Anna goes after the baddies for revenge. The finale ends up in Vietnam where Anna's traumatic past is revealed.Along the way Ann has several showdowns with the enigmatic Rembrandt who is a fixer for a shady billionaire philanthropist who once faked his own death.The Protégé is a slickly action thriller let down by a poor plot which holds little surprises.Maggie Q is fine. Samuel L Jackson can do this in his sleep.Keaton makes the most of the action scenes which is remarkable given his age. Although he gives the movie some class, you get the feeling he is slumming it after a career boost from movies such as Birdman and Spotlight.",The Protege
3,nogodnomasters,He is a bad man who has done very bad things,8,6 September 2021,"Moody (Samuel L. Jackson) is a hitman who saved Anna (Maggie Q) as a child and raised her to be in the business. While searching for Lucas Hayes, they get attacked and Moody dies. Anna returns to Vietnam to find the very rich and powerful man who killed her mentor.Anna's enemy is Michael Keaton. They have a chemistry that makes their relationship odd. Enjoyable action film with a bunch of old timers still at it.Guide: F-word, brief nudity. Implied sex.",The Protege
4,kosmasp,Revenge Maggie Q style,8,11 November 2021,"When you sometimes read famous actors appear in a movie you may not have heard anything about, mostly the actors are in the movie for a couple of seconds. In this case, especially Michael Keaton really is in this a lot more than I expected. And he is sooooo good in it. It's the Keaton charme you may say - and you would not be wrong.The movie concentrates on Maggie Q and her mission(s). You may already know what she is after if you watched the trailer, but there are still a few surprises along the way. Also the action is quite well choreographed. Yes Maggie Q, Michael Keaton and others probably only did a small percentage of their stunts - but that is what the stunt people are there for.And let's not forget: the movie was made by Martin Campbell. Which is the reason this was shown in theatres in America - unfortunately not in Germany though. I can imagine the impact this has on a bigger screen too, but it is not the same. Well made, even if it has the odd cliche once in a while. The actors and the action make up for that ... also the story does take you to wild places ... for better or worse of course, but I'd argue mostly for better.",The Protege
5,paul_haakonsen,Good action crime thriller...,6,8 October 2021,"Initially I was thrilled about getting to sit down to watch ""The Protége"" from writer Richard Wenk and director Martin Campbell, but someone had mentioned that the movie wasn't really all that great. So it was with a bit of doubt that I sat down to watch ""The Protége"". Regardless of how it was playing out, then I would watch it, as the movie had a rather nice cast ensemble.And I must say that I am glad that I opted to watch the movie, because I happened to enjoy the movie. This was a good old fashioned action crime thriller, for better or worse. Sure, the storyline and plot may have been predictable and somewhat generic, but who cares? It made for good wholesome entertainment.The storyline is easily followed and doesn't really require all that much in the intellectual department, so you just switch off the old gray and lean back and enjoy the movie. And yeah, that was actually a good thing about the movie, because it is a munch-on-the-popcorn-and-enjoy-the-action kind of movie.""The Protége"" has a good cast ensemble. And truth be told, of course I had to watch ""The Protége"" given the fact that Maggie Q was starring in it, as she tends to make some pretty decent action movies. And she was nicely cast for ""The Protége"", I will say that much. And it certainly was nice to have the likes of Michael Keaton and Samuel L. Jackson in a movie such as this as well.There is a good amount of action and fight scenes throughout the course of ""The Protége"", which definitely help bring the movie up and into a good pacing.I was adequately entertained by ""The Protége"", and it is a movie well-worth watching if you like action crime thrillers.My rating of ""The Protége"" lands on a six out of ten stars.",The Protege
6,siderite,The only good thing was Michael Keaton,5,11 September 2021,"If you want a movie about a kickass female assassin, try Kate (2021), which I watched just before this. It may have influenced my rating, since this is not particularly a bad movie, but it is certainly not a good one.In this film, Maggie Q is a child taken as a protégé of a famous assassin, played by Samuel L. Jackson. He gets killed so she starts a crusade to find the person who ordered the hit. The beginning is formulaic and mediocre, but it's the best part of the film. The middle is a chaotic mess, filled with hard to believe scenes, and the ending is a big WTF. I mean, she has Jackson as a father figure, a man celebrating 70, but then she has an affair with Keaton, who is of the same age and the person in charge of killing her and protecting her target. And that ""twist"". Ugh!To be frank, I only watched this because of the cast: some Romanians that I was curious to see acting in a Hollywood film and the holly trinity of Jackson, Keaton and Patrick. However they are all old and came here for the money only. And the Romanian actors had a few lines before they died. Classic.Bottom line: Michael Keaton was great with what they gave him, but other than that the film was pretty dumb.",The Protege
7,thesar-2,Pretty Protégé,8,2 September 2021,"This was one of those rare movies I saw the poster and knew because of: Maggie Q, Michael Keaton, Martin Campbell and Sam Jackson, I had to see this. And I was correct.Total throwback to the 90s/early 2000s action/revenge thrillers with a badass, beautiful assassin only, they really made her vulnerable this time. Which I liked, but I was more pleased when she knew all the angles, escape paths and if she'd make it out dead or alive.Moody rescues little Anna from Vietnam after a horrible incident and gives her a new life....as a highly trained assassin like himself. When he's found dead after researching an old missing person, Anna will stop at nothing to find out why and eliminate the people in the path she takes.Movie's not without its flaws - I didn't like the big reveal in the end of the 2nd act and Batman, er, Michael Keaton is supposedly the most brilliant bodyguard, but leaves the door unlocked. (I understood why, but he can't be #1 and #10 best at the same time.)Still, I love Maggie Q for many years and she was SO MUCH fun to watch here, even when she's down. Plus, Keaton, so awesome he still looks and acts as great as his Jackie Brown days. And I especially loved the ending. Highly recommended for old spy/slow-burn action lovers.***Final Thoughts: And still...I wish she was superhuman. Boy, do I love superhuman good OR bad guys. Especially women ones.",The Protege
8,UniqueParticle,Yo this movie is super awesome!,9,22 August 2021,"I absolutely love Maggie Q in The Protégés and Live Free or Die Hard, I need to see her in more! This has some of the most thrilling action I've ever seen, some clever dialogue, very good story and excellent acting. It's so wonderful to see Micheal Keaton and Samuel L. Jackson still do stylish action like they were in the 90's in my opinion some of the best movies came out then. I wouldn't trust the ones that didn't like a lot about The Protégée cause it's got everything you'd want in the genre while being well filmed! I don't know why this already has down votes but that not nice!",The Protege
9,cruise01,Just another assassin like action film that puts Maggie Q in action.,6,24 August 2021,"3 out of 5 stars.The Protege is a fair action thriller film that has some entertaining action. Boring plot. And decent cast performances. Its one of those assassin like films where the story is about an assassin going after a group of bad guys. Who killed one of her own friends for tying up loose ends. Sure there is a little more to the story.The plot is about Anna (Maggie Q) an assassin who works for Moody (Samuel L. Jackson). Who is like a farher figure to her when he took her in when her family was killed and she went on a vengeance spree as a child. When Rembrandt (Michael Keaton) and his man go after a person she is friends with. She decides to go after them all.The plot is like any other assassin flick. Sets up the action and for the character to go beat down through so many guys and crazy shoot outs. Once credits start rolling. The film is forgettable.It does have a lot of entertaining action sequences and shoot outs. Maggie Q stealing the show. She is great in Nikita series. And the film is kind of like a movie version of it. Michael Keaton was decent as the character. Along with Samuel L. Jackson.Sadly, Martin Campbells direction has been a slight disappointment. His early films like Legend or Mask of Zorro. Vertical Limit. Goldeneye and Casino Royale were his better films. And his recent work has been a slight let down.",The Protege
