,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,grantss,Listless and absurd,3,13 September 2021,"A young couple, Pippa and Thomas, discover that their neighbours are not at all privacy-conscious, allowing them to see all that happens in their apartment. They start spying on them, initially simply out of voyeurism. However, Pippa then starts meddling in the neighbours' lives, with dire consequences.A film that is billed as a steamy thriller but for the most part it is pretty listless and tame, meandering aimlessly about. This results in the film taking about 20-30 minutes longer than it should.When it finally does find a direction it is absurd and implausible. It seems so tangential and ridiculous that It feels like the writer generated it randomly.Not much to recommend (though I didn't mind Sydney Sweeney...).So much for ""if you can't make a good movie, make a short movie"".",The Voyeurs
1,neil-476,Not a disaster,6,17 October 2021,"A young couple move into an apartment, and the girl becomes obsessive about the sexual behaviour of the couple in the apartment across the way. No-one in this film has curtains or blinds.I was expecting this movie to be a typical skinflick (and it does have a steamy scene featuring the pneumatic Ms Sweeney: this girl has a great future in front of her, and when I say ""great future"", that's not what I mean at all, know what I mean?).But, in fact, there is a tolerable plot, some interesting ethical issues, a couple of decent twists, some lovely photography and well-crafted sound design, so there is worthwhile stuff to watch.Unfortunately, the male protagonist is annoying and the first half the film is very slow, so there's that, too. That brought it down from 7 to 6 stars for me.",The Voyeurs
2,wellthatswhatithinkanyway,"Refreshingly explicit thriller, ruined by its own indulgence",7,23 September 2021,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday MorningPippa (Sydney Sweeney) and Thomas (Justice Smith) are a young couple who live in an apartment in New York City. From the view of their window, they are able to stare across the street into the apartment of fellow young couple Seb (Ben Hardy) and Julia (Natasha Bordizzo) and the open eroticism they enjoy with each other. After a while, what they are able to see crosses boundaries, and when Pippa strikes a friendship with Julia through her work as an optician, it sets in motion a devastating chain of events with deadly consequences.We live in a time where privacy has become largely redundant. If we don't have apps spying on us through our phones, tracking our movements and relaying it to God knows who, or companies selling our data to whoever we inadvertently allow them, to reality TV shows where we spy in on the private affairs of people we don't know for entertainment they're in on, the age where everything felt secure feels long gone. And so, there is at least a refreshing honesty in what they both know they're doing to the central protagonists of director Michael Mohen's dark erotic thriller, an at least pleasingly adult and unrestrained piece with a deeper undertone.Disasterously, it fails initially right at the beginning, introducing us to two undercooked, rather unengaging lead characters, who fail to really draw us in until they start their unethical business. This will write it off for some, but for those who stick around, it does develop in to a more dark and compelling piece, with lead star Sweeney displaying a skittish vulnerability as the girl with a dark secret, while part time East Ender Hardy has a strong presence as the domineering third party player, building up to a shocking conclusion with a dark twist, which gives it the feel of an old Tales of the Unexpected episode, but for some reason it decides to prattle on for another twenty or so minutes, completely ruining what could have been a great ending with a ridiculous turn of events.If it had had the good sense to end when it should have, it could have worked as a dark morality tale, but spoilt by its own indulgence, it leaves a nonsensical lasting impression, despite everything it got right, not least a drowned out new version of Billy Idol's 1983 classic Eyes Without a Face playing over the beginning and end credits. ***",The Voyeurs
3,ops-52535,its a fable...,8,11 September 2021,"About happiness, grief, exploitation, revenge, avenge, photographic arts, sex, romance and fantasy, and as if it werent enough death leaves them blind, forever.Its a fantastic erotic drama thriller about voyerism within the glassy environment of the urban interface, and if youre not tantalized to drop a glance into your neighbours realms after watching this movie then youre a robot.Story and plot has resemblances to many films made over the past 50 years, and has the impertinent sexual glow that only a few might lit into a fire. The 50 shades of... series lingers in my mind,but i think this film will give the audience a better and more rewarding experience, and may in the end have extinguished the hormone rush of sexuality.I will put this on for my wife to see... alone...cause you never know the fallout of physical excercise a grumpy old man will have to endure afterwards. So take a deep dive into some of the finest filmographical fables made in the last decade. A recommend.",The Voyeurs
4,subxerogravity,"Overall, I'm going to lean towards liking this flick",6,11 September 2021,"I'm a little indifferent about this film.I watch the movie because Sydney Sweeney and Justice Smith were in it. Two actors that I come to enjoy and they were really good in it together.The story was really good too. If the bottom-line plot is that vengeance is an artform, then this movie has an ending that's almost a masterpiece.However, the story could have been handled better. The movie was a little too over reaching with the trivia (like the fact that one of the Voyeurs is an eye doctor). Things I feel that should have come off as subtle seem to be slapping me in the face whenever I turn around.The actors were pretty good at keeping us in the moment but not good enough for me not to see what was coming next in this predicable erotic thriller.As an erotic thriller however its top notch and it had its melodramatic moments that hit in a cool way.",The Voyeurs
5,jtindahouse,A hidden gem,9,16 September 2021,"Early on in 'The Voyeurs' I thought we were in for the typical 'Rare Window' storyline we have seen dozens of times before. How wrong I was. This film is very different to that, and has so much more going on. This is one of those rare hidden gems where you see an IMDb rating of only 5.8/10 and could easily discard it, but if you do give it a chance you are so glad you did. I had a great time with this movie.The movie is hyper-sexual. Early on it implies that it is going to be quite modest, but this is very much misleading, and from there the film becomes very erotic for almost the duration. It feels very much like 'Basic Instinct' where there is a genuinely interesting story taking place and the eroticism is just a part of the ingredients.The film is a little longer than average for this type of movie, falling just short of two hours. I found myself so interested and invested in the story that the extra time didn't bother me at all, and instead allowed the movie to move at a more natural pace.The final act of this movie is bonkers. It throws everything it has at the kitchen wall, and most of it sticks. The twists and turns are authentically shocking and really caught me off guard. I can't recommend this film highly enough. Please see it. 9/10.",The Voyeurs
6,jadavix,Silly tawdry erotic thriller with aspirations at social commentary it never reaches,6,13 October 2021,"Not only is ""The Voyeurs"" the kind of movie Steven Soderbergh makes, I also wish that he had made it. Michael Haneke, too. These auteurs would have found a style befitting of the material that would have made it seem plausible, that would have kept us engrossed, and that, hopefully, would not have required the ridiculous, jarring twists and turns that the movie ends on.The young couple move into an apartment in Montreal with windows that look directly into an apartment across the street. The very first time they look, they watch the couple in that apartment have sex. They continue to watch, get turned on, and even go so far as planting a listening device.The climactic twist isn't entirely predictable. I wasn't surprised. But still, Soderbergh or Haneke could have put more of a point on it. Here it was a bit ""meh"", as my generation likes to say.I really think that the twists and turns that come after were put in as an afterthought when the director realised nobody was going to buy what he had sold up to that point. It almost feels like a consolation prize, as though he's saying, ""I agree that sucked because I don't have the skill to do it the way Haneke would have... oh well, here's some extra tawdry garbage.""He should have just made an erotic thriller. This is more like ""Sliver"" than ""Benny's Video"" or even ""The Girlfriend Experience"". And an erotic thriller would have been more fun. The attempts at seriousness or social commentary come to nothing, and in the final act, are totally abandoned.",The Voyeurs
7,kwenchow,"Even though I pity the main character, but this film is really engaging to watch! Well done!",6,23 October 2021,"This film start with a bunch of people walking at the street, and a woman closing the curtain in the fitting room scene! As turnout, this film is about a voyeur ""Pippa"" need to take revenge on her neighbors(Seb, and Julia) who causing the death of her boyfriend(Thomas)! Entire film full of adult fantasy scene! Make the film quite watchable! Especially the main character scene! At the end, Seb, and Julia blinded by Pippa! That's it! A quite entertain film!",The Voyeurs
8,andrewchristianjr,PRETTY DECENT.,6,29 October 2021,"For much of the 2 hours this retro ""erotic"" thriller moves at a snails pace, then everything speeds up for the denouement, at which stage the plot becomes absurd. It has a few good moments, but overall lacks genuine tension, a plausible plot and the viewer is left with a ""so what"" feeling.",The Voyeurs
9,caspian1978,Got You To Look !,7,10 September 2021,"Don't lie to yourself. 95% of the people who want to watch this are here to see Sydney Sweeney's assets and nothing else. For those fans, you got what you paid for. Her eye candy alone makes this movie deserving of an audience. Now, for those who decided to watch this movie from start to end without fast forwarding to just the scenes with Sydney Sweeney showcasing her goods, you will be happy to find a movie with an actual plot. For all you Haters with high expectations, I want to remind you all that this movie is not Gone with the Wind. Therefore, those with low expectations will be blown away at this movie's high production value, decent acting, and interesting plot with a good ending. Those who hate this movie need to get their eyes checked for multiple reasons. The Voyeurs is exactly what it sets out to be. If you are looking for anything else, you came to the wrong movie. Worth the watch and even a few rewinds.",The Voyeurs
