,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Bondurant Family Values,7,2 April 2013,"Lawless is the story of the three Bondurant brothers from Franklin County, Virginia, Tom Hardy, Jason Clarke, and the runt of the litter Shia LaBoeuf. Before World War I the Bondurants made a good living selling moonshine, but now Prohibition has arrived and there are new problems on the horizon for those in that business.One of the most colossal pieces of stupidity that America ever indulged in was Prohibition. We actually amended our constitution so that we could regulate morals. A good lesson for those who think regulation of one's personal behavior is a desired thing. What the Bondurants have to deal with is law enforcement which is in the form of a corrupt District Attorney Tim Tolin.An idea like Prohibition is sure to bring out the corruption in many who see it as a way to take bribes. Tolin is one of those and he has a special deputy in Guy Pearce ready to enforce the law and those who don't bribe. That would be the Bondurants and we have the makings of an old fashioned mountain feud brewing.LaBoeuf has a lot of trouble living up to the legend his brothers have created. In fact his weakness is the cause of a lot of problems. But when a young mountain kid Dane DeHaan is murdered by Pearce that gets a war started.Both LaBoeuf and Pearce deliver some standout performances in Lawless. This is based on a novelization of some real incidents by a descendant of the Bondurant family. The recreation of Prohbition era rural Virginia is well done. Definitely worth a look.",Lawless
1,Leofwine_draca,The potential for greatness,6,19 January 2013,"LAWLESS, another period drama from John Hillcoat (following his excellent Australian western, THE PROPOSITION) has the potential for real greatness. All the elements are in place: stars playing at the top of their game, a fine eye for authentic detail, a story ripe for exploitation, lots of well-directed gritty violence and a real sense of menace and danger. Unfortunately, though, while this film is perfectly entertaining, it never reaches what I can term 'classic' status.The problem lies with Nick Cave's script, which has all the right ingredients – but in the wrong order. The story should be involving and engaging throughout, but there are weak spots that scupper its chances. I mean, do any of the viewers really want to watch the romantic nonsense with Mia Wasikowska and Jessica Chastain? Both characters are redundant and slow the film down whenever they appear, whilst Gary Oldman is almost entirely wasted as a big-city gangster, limited to just one decent scene.Instead, we're given lots of moments with Shia LaBeouf, playing a cowardly younger brother who must learn to stand on his own two feet as the story progresses. I'm no fan of LaBeouf – he reminds me of a greasy Screech from Saved by the Bell too much – but he's actually pretty good here, and he fits the role very well; a nice casting choice. Of course, he's inevitably acted off the screen by a taciturn Tom Hardy and a weaselly Guy Pearce, while CHRONICLE's Dane DeHaan gives perhaps the most underrated performance.Hillcoat adapts himself to the material very well, bringing the dusty rural locales to life and providing some truly hard-hitting moments along the way. The ending is very good, but more scenes earlier on should have been of the same calibre instead of being merely pretty good. In the end, LAWLESS can't hold a candle to the sheer excellence of THE PROPOSITION, although it is a film I'll enjoy revisiting in future.",Lawless
2,SnoopyStyle,Shia LaBeouf need to dial back but Tom Hardy is spot on,7,27 August 2013,"It's 1931. The Bondurant brothers (Tom Hardy, Shia LaBeouf,and Jason Clarke) are bootleggers in Franklyn County, Virginia. They fight each other but in the end, together they fight all comers who threaten their family and their business. Special Deputy Charley Rakes (Guy Pearce) is a corrupt officer. Maggie Beauford (Jessica Chastain) is Tom Hardy's love interest, and Bertha Minnix (Mia Wasikowska) is Shia's.There are great performances but it's Tom Hardy who gives an eye opening performance. He is rock solid throughout this movie. Shia LaBeouf's character is too pathetic and too hyper. I think he needed to dial back his performance. It is gritty. It's hard. It doesn't amount to better but it's plenty good.",Lawless
3,Prismark10,Dumb moonshine tales,1,25 November 2014,"Lawless is set in the Prohibition era of rural Virginia, a state where bootleggers are doing well making moonshine.The three Bondurant brothers have a nice set up with the eldest Tom Hardy having almost indestructible powers. He survived the Great War and here cutthroats and bent coppers are no match for him.Special Deputy Rakes (Guy Pearce) a corrupt, dandy will do anything to bring down the Bondurant brothers and will resort to underhanded and violent means.The film has a well known cast of international actors including Gary Oldman who flits in and out of the picture. What the film does not have is a coherent screenplay by musician Nick Cave.In fact the screenplay adapted from supposedly true live events is inept. Rakes is such a despicable baddie that when one of them gets his chance to wipe him out, he fluffs it. In turn Rakes gets revenge on more friends and family members of the Bondurant's leading to another show-down with him. Darn, I never saw that coming.In fact everything in this film is sign posted, it's directed in a heavy handed manner with even the acting rather on the broad side. The story is not even that original. The film is dumb and goes out of its way to insult the viewer's intelligence.Let's make a deal Mr Cave, do not write any more films and I will not buy anymore of your albums.",Lawless
4,claudio_carvalho,Land and Time of Gangsters and Corruption,6,6 January 2013,"In 1931, in Franklyn County, Virginia, Forrest Bondurant (Tom Hardy) is a legend as immortal after surviving the war. Together with his brothers Howard (Jason Clarke) and the coward Jack (Shia LaBeouf), the Bondurant family has a distillery and bootlegging business. When the corrupt District Attorney Mason Wardell (Tim Tolin) arrives in Franklyn with the unscrupulous Special Deputy Charles Rakes (Guy Pearce), the Bondurant family refuses to pay the required bribe to the authorities. Rakes pursuits the brothers and unsuccessfully tries to find their distillery.Meanwhile Forrest hires the waitress Maggie (Jessica Chastain), a woman with a hidden past in Chicago, and they fall in love with each other. Jack courts the preacher's daughter Bertha Minnix (Mia Wasikowska) and deals a great load of alcoholic liquor with the powerful gangster Floyd Banner (Gary Oldman). Jack shows off in Franklyn attracting the attention of Rakes that finds the location of their distillery. When he kills the crippled Cricket Pate (Dane DeHaan), the locals join forces to face the corrupt authorities.""Lawless"" is based on the true story of the Bondurant's family in a land and time of gangsters and corruption. This movie has a fantastic cast; top-notch performances and art direction, but unfortunately something is missing to be a great movie. My vote is six.Title (Brazil): ""Os Infratores"" (""The Infractors"")",Lawless
5,nogodnomasters,Beyond the point of forgiveness,8,2 December 2017,"During prohibition in Franklin Co. Virginia, three restaurant entrepreneur brothers operate an illegal moonshine business. Unfortunately everyone wants a piece of the pie, one that they are not eager to share. The brothers consist of Forrest (Tom Hardy), the brains and philosopher of the group. Howard (Jason Clarke) is a berserker, and Jack (Shia LaBeouf) is the shy driver. Jack is sweet on a Mennonite preacher's daughter (Mia Wasikowska) who likes his ""bad boy"" image.Guy Pearce plays Charlie Rakes, a one sided unlikable crooked deputy who makes us root for the moonshiners. Jessica Chastain provides a little style to the film as a city girl (former feather dancer) who wants to get away from Chicago and winds up working the restaurant for Forrest.As things pan out, young Jack must suddenly grow himself a set and take over the family enterprise against the odds. Good acting. High intensity.Parental Guide: F-bomb, sex, nudity (Malinda Baker), implied rape.",Lawless
6,kosmasp,Fearless,7,22 March 2013,"Gary Oldman might not be as prominent featured in the movie, as he could've been, but the story does concentrate on the family. Tom Hardy, Shia LaBeauf and Jessica Chastain have quite meaty roles. For the running time you get to see a lot of them. And the movie does cover a period that hopefully the viewer is interested in. Alcohol prohibited? Some might feel there is no movie there (then again that would render a few classics void).The movie did not well at the box office, which would suggest that people either didn't like the theme of the movie or weren't convinced by the casting. Both would be a shame, because the movie does deserve better. Give it a chance and watch it.",Lawless
7,classicsoncall,"""Don't expect no biscuits coming out around here.""",8,16 December 2012,"Set during the Depression era of the 1930's, ""Lawless"" is a bit like your hard edged Western jacked up on illegal moonshine. In tone, it reminds me of the HBO series 'Justified', but set eighty years earlier in rural Franklin County, Virginia instead of modern day Kentucky. I'm not up on the current crop of popular young actors, but the main players led by Shia LaBeouf did just fine here in this tale of three brothers who refuse to share the proceeds of their liquor trade with Chicago mobsters and corrupt local law enforcement. Apparently the picture is based on the true story of the Franklin County Moonshine Conspiracy that ended along with Prohibition in December 1933. Given their sordid and violent history, the Bondurant Brothers (LaBeouf, Tom Hardy, Jason Clarke) eventually settled into fairly routine normal lives, but they must have been quite the local legends back in their day. The violence in the picture is brutal and bloody, and creative elements include that 'surprise' in the jar and what has to be the most hideous example of tar and feathering ever committed to film. Personally I found the picture engrossing but can understand how it wouldn't make everyone's must see list.",Lawless
8,gavin6942,"Great Period Piece, Though Hard to Tell Where Truth Ends",7,20 November 2012,"Set in Depression-era Franklin County, Virginia, a bootlegging gang is threatened by a new deputy and other authorities who want a cut of their profits.I have to say this is a great film. I mean, how can it not be? You have a powerful cast of Tom Hardy, Guy Pearce, the ubiquitous Jessica Chastain, Gary Oldman... and you have it directed by the man who made ""The Road"". That is already a winning combination.And then you have a nice story of violence, romance, crime and set it in Prohibition times. I love older stories like this, or ""Public Enemies"" and ""Gangs of New York"". And it happens to be a true story that probably not too many people know about.My only real problem with it was... where does fact blend with fiction? The book the film is based off of is a historical fiction. The events are basically true, the Bondurant family is a real family... but did it play out like this with the gun fights, slashed throat and more? I am unable to tell.",Lawless
9,jboothmillard,Lawless,6,5 February 2013,"I knew that this film was about gangsters, and from the trailer I saw I was certainly interested because of the impressive cast list, I didn't know it was based on a real trio of crime brothers, and I felt a bit odd finding out the critics gave it a low rating, because I really liked it, from director John Hillcoat (The Proposition). Basically, set in 1931, in Franklin County, Virginia the Bondurant brothers: eldest Forrest (Tom Hardy), second oldest Howard (Jason Clarke) and youngest Jack (Shia LaBeouf), are successful and illegally bootlegging alcoholic spirit moonshine in a gas station with the help of friend Cricket Pate (Dane DeHaan). One day mobster Floyd Banner (Gary Oldman) is seen by Jack shooting a competitor, and returning to the station Forrest has hired dancer Maggie Beauford (Jessica Chastain) from Chicago as a waitress, but they are still visited, on the behalf of Virginia Commonwealth Attorney Mason Wardell (Tim Tolin), by new arrival Special Deputy Charlie Rakes (Guy Pearce), wanting a cut of the illegal alcohol distribution profits. Forrest threatens to kill Rakes if he returns after refusing this, and he tries to gain the alliance of other bootleggers to stand against the lawman, but they have to eventually give into the intimidating actions, and meanwhile Jack is making a fool of himself meeting daughter of the local Brethren preacher Bertha Minnix (Alice in Wonderland's Mia Wasikowska), but she only becomes more interested with her father forbidding them from seeing each other, and when he returns to Cricket's cabin Rakes is there searching and he gets brutally beaten to pass a message on to his brothers. Forrest tells his violently hurt brother to fight for himself, and Howard gets drunk before an arranged meeting with potential clients from Chicago, and when these two men harass Maggie they are beaten up by Forrest, but they only end up returning to slash his throat and rape her. He recovers in hospital, and with Cricket travelling with him Jack try to sell the remaining liquor in Chicago, but their clients double-cross, but Banner rescues them because he recognises Jack, and he knows Forrest was attacked, the identity of the two assailants, their address and that they are working for Rakes, and later Forrest and Howard torture and kill them as a message for their boss. The brothers and regular client Banner move the distillation equipment to the woods so that more profit can be made, and with the money Jack continues courting Bertha, Forrest and Maggie begin a relationship and move into the station together, she does not reveal she was raped, when Jack is showing Bertha the distillation centre they are ambushed by Rakes and his men who followed them, they flee with Howard and Cricket, but Cricket is caught by them and murdered. Jack wanting revenge for the death speeds to the roadblock at the local bridge where Rakes is waiting, the bootleggers and Howard follow after him, Maggie tries to stop Forrest from getting involved because she does not want to see him hurt again as she was the one who found him with his throat slashed, he realises she was attacked too, and at the roadblock a gun fight breaks out. Forrest ends up shot several times, Jack and Howard manage to fatally shoot and stab Rakes in the back, and with all the men dead and the Bondurant brothers surviving they decide to retire after Prohibition ends, and in the end, by 1940, Forrest who lived married Maggie, Jack married Bertha, and Howard married a local woman, and all of them had children, but Forrest walked out one night into a frozen lake and died of pneumonia. Also starring Chris McGarry as Danny and Noah Taylor as Gummy Walsh. Hardy is a great choice as the eldest of the brothers with his commanding and nurturing ways, LeBeouf does well as the sensitive but strong willed youngest brother, Pearce proves a sinister character as the one trying to catch them transporting booze, set during the time when any alcohol use was illegal it is an interesting story, and the moments of action is exciting and well-paced, I personally found it a watchable period crime drama. Good!",Lawless
