,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Pretty, but soulless with it",5,1 February 2014,"I have to say I was disappointed by FAST FIVE. I've been deriving minor enjoyment from these movies since they began, and I'd heard good things about this movie; how it had less CGI, how it was bigger, better and more intense as an action flick. Well, the good news is that it feels fresher in that it veers off in a slightly different direction in that it's not ALL about the car chases this time around, but it still feels lacklustre and less than the sum of its parts.The problem with this film is that the franchise is just getting too big and too sluggish now. There are too many guys in the team, too many of whom are token ethnic or misplaced comic relief. It means that few of the principle cast get much screen time. Vin Diesel is hulking and kind, but never gets a chance to emote. The Rock, as the new participant, bags the best role, but really the film is about those two guys and that's it. Paul Walker seems bored and the likes of Sung Kang barely register.The plot feels like something from the recent Italian Job and GONE IN 60 SECONDS remakes with the team assembling in Brazil to rip-off a drugs lord. Despite the huge budget and plethora of car-smashing stunts, it's never as exciting as I'd hoped it would be; the viewer feels detached from the action, set back and never as fully involved as he is in a really good action movie (like a Bourne film; I'm thinking in particular of the climactic car chase in THE BOURNE SUPREMACY). I'll keep watching these, but I hope number six gets a few more things right.",Fast Five
1,SnoopyStyle,More action than anybody can possibly expect,7,23 February 2014,"Following the previous installment, Brian O'Conner (Paul Walker) and Mia Toretto (Jordana Brewster) breaks out her brother Dom (Vin Diesel) from the prison transport. They escape to Rio de Janeiro. Running low on cash, they do a job with Vince to steal cars from a train. However everything goes wrong. Three DEA agents are killed, and the three escapees get blamed. They find a chip in the car that shows where master criminal Reyes (Joaquim de Almeida) has hidden his $100 million. Meanwhile DSS agent Luke Hobbs (Dwayne Johnson) has arrived to catch the three and bring them back to justice. He takes uncorrupted local cop Elena Neves (Elsa Pataky) as his translator. Instead of running away, the three decide to call in reinforcements to pull off the greatest robbery ever.Director Justin Lin is bringing more action than ever. The addition of big action star The Rock just raises the bar that much higher. It starts with a great car-train action scene. Then a foot chase in the barrios looks incredible. That's barely half of it. I do wish the story be simplified even more. Most people watch this for the action, not for the story. This is a movie that delivers the action and exceeds the expectations.",Fast Five
2,boblipton,The Fifth Time They Pull Their Last Job,5,16 October 2021,"Vin Diesel is broken out of prison by the usual gang. With Dwayne Johnson in hot pursuit, they head off to Rio De Janeiro, where they steal some hot cars in the first practical effects showpiece. They turn out to belong to druglord Joaquim de Almeida; they discover he stored all his extensive papers detailing his evil empire and a hundred million dollars in cash in one of the cars, as one does, and decide to steal that for the second big practical effects showpiece as yet another last job they'll ever do.There are some fine performers here, but the cars are the real stars, and more work is done to make sure you can hear the engines than the dialogue. No one in the intended audience has ever heard of a muffler apparently. Still, the things they put these cars through is astonishing, if you like that sort of thing. Given that it has taken me ten years to see this hit movie, should give you an idea of how I feel about the matter.",Fast Five
3,claudio_carvalho,The Day When Puerto Rico Has Become Rio de Janeiro,6,17 September 2011,"The former agent Brian O'Conner (Paul Walker) and his girlfriend Mia Toretto (Jordana Brewster) rescue her brother Dominic Toretto (Vin Diesel) during the transportation to the prison and they flee to Rio de Janeiro. They rob a car from custody and find that the powerful drug lord Hernan Reyes (Joaquim de Almeida) has a US$ 100,000.00 in a safe located inside the police station and protected by corrupt policeman. Dominic invites his skilled crew to steal the dirty money and achieve their freedom, moving to a country without extradition to the USA. Meanwhile the tough FBI agent Luke Hobbs (Dwayne Johnson) comes to Brazil with an elite force to arrest Dominic and Brian.""Fast Five"" is an entertaining action film, with cartoonish shootings and fights and an insane car race that destroys dozens of cars and locations. Vin Diesel, Paul Walker and Dwayne Johnson are synonym of great action scenes, and is nice to see the gorgeous Jordana Brewster that speaks a perfect Portuguese and Elsa Pataky.For Brazilian and specially ""cariocas"" (natives from Rio de Janeiro), this film is also a comedy with the stereotyped Rio and a great quantity of mistakes. Most of the scenes are shot in Puerto Rico; most of the accent of actors speaking Portuguese are not from Rio but from São Paulo or from native in Spanish; Hernan Reyes is not a Brazilian name and Joaquim de Almeida is an actor from Portugal; there are ridiculous geographical mistakes, like for example, the references to the noble areas of Avenida Atlântica and Leblon. The sequences in the slums are also funny, since the modus operandi of armed drug dealers is totally different, using snipers from the top of the hills and barriers in the accesses to avoid the police and paramilitary forces. An American force would never have jurisdiction in Brazil. Last but not the least, there are many corrupt cops in Brazil, but never in such level. I do not understand why the production has not used Brazilian actors and actresses in supporting roles to giver credibility to the footages with the external landscapes of Rio de Janeiro. My vote is six.Title (Brazil): ""Velozes & Furiosos 5 - Operação Rio"" (""Fast & Furious 5 – Operation Rio"")",Fast Five
4,nogodnomasters,In a World Where Frictional Coefficients Don't Exist,9,24 January 2018,"** MINOR PLOT SYNOPSIS (MINUS ENDING)**Vin Diesel is busted out of prison and is reunited with his sister Jordana Brewster (who I fell in love with in D.E.B.S.) and her bf Paul Walker in Rio, the most recognized skyline in the world. They are bad guys stealing cars off a train. As things turned out, these were cars seized by the Brazilian DEA, who for some reason unlike their American counterparts don't disable the vehicles. Due to infighting, the effort is partially botched and Vin Diesel and Walker end up as captives of a Rio mobster. They discover he wants one of the cars back real bad. After they escape they dismantle the car to find out way.Meanwhile Dwayne Johnson comes down from the US to take back Vin Diesel. It seems the US has jurisdiction in Brazil, but hey its a movie. From a chip in the vehicle, Vin Diesel discovers that the crime boss has money stored in various cash houses throughout the city. Walker and Vin Diesel assemble a Mission Impossible team to go after the cash. They attack the first cash house and burn the money which forces the mobster to relocate all his eggs into one basket. As it turns out, that basket is inside the evidence safe at the police station, making the task of that one last hit a bit more difficult. At this point the movie takes a few interesting twists and turns.The plot contains numerous implausibilities as does most Mission Impossible action movies, vehicles that can bust through concrete walls (that never use rebar), and don't even scratch the head lights. The ending will keep Myth Busters busy for a season.",Fast Five
5,kosmasp,Quite a lot,7,26 December 2011,"And I am not referring to the number of movies the ""Fast and Furious"" franchise has built up to now. I am talking about the actors involved in this. Which leads me to the conclusion that Justin Lin must have done quite a lot things right too. Not only does he return again and again to the franchise (it's his third time at the helm), but he brings back a lot of people you'll recognize from the previous movies.That of course means, that you might want to freshen up your memory and re-watch the previous movies. Yes even the ""Tokyo Drift"" one! A new face is Dwayne ""The Rock"" Johnson of course. And while he's not quite Tommy Lee Jones (as seen in ""The Fugitive""), he brings a lot to this movie! All the actors do not count of course, if the action isn't right. And you have some very nice set pieces here, very well choreographed. A real fun ride then. Of course you can tell that this won't be the last one (stay and watch until the end credits roll through to get a tag end/scene), so I do wonder, since the title get smaller and smaller, will they call the next one ""F-Six""? And then ""F7""?! But until then, enjoy the movies as much as you can :o) (just don't try it at home/on the streets yourself!)",Fast Five
6,jboothmillard,Fast Five,7,8 October 2015,"This was the fifth film in the non-stop high octane franchise full of cool and fast cars racing and chasing each other, including lots of action and some stunts along the way, directed by Justin Lin (The Fast and the Furious: Tokyo Drift, Fast & Furious 4 and 5). Basically Dominic ""Dom"" Toretto (Vin Diesel) is being transported to prison, but his sister Mia (Jordana Brewster) and friend Brian O'Conner (Paul Walker) cause the bus to crash, allowing Dom to escape, the authorities begin a search for them, the trio meanwhile travel to Rio de Janeiro. They join their friend Vince (Matt Schulze) to participate in a job to try and steal three cars from a train, it is discovered that U.S. Drug Enforcement Administration (DEA) agents are on the train, then they end up getting captured by right-hand man Zizi (Michael Irby) and his henchmen, bringing them to crime lord Herman Reyes (Joaquim de Almeida), but they manage to escape and get to their safe house. Brian, Dom and Mia investigate the importance of the one car Reyes was trying to get his hands on, a computer chip is found in it, looking at this Brian discovers details of Reyes' criminal empire, including the locations of 100 million U.S. dollars in cash. Diplomatic Security Service agent Luke Hobbs (Dwayne 'The Rock' Johnson) is assigned to find and arrest Dom and Brian, they are found, but the safe house is also surrounded by Reyes' men, Dom suggests splitting up as they make their escape, but Mia reveals she is pregnant with Brian's child, they stick together and form a plan to steal the millions of dollars. Organising a team, with some old friends, including Tej Parker (rapper Chris 'Ludacris' Bridges), Roman Pearce (Transformers' Tyrese Gibson), Han (The Fast and the Furious: Tokyo Drift's Sung Kang), Gisele Yashar (Gal Gadot), Tego Leo (Tego Calderón) and Rico Santos (rapper Don Omar), they form a plan to steal the $100 million and split an equal share, this will enable them all to start new lives. After some time planning the infiltration of Heyes' building, stealing the safe containing the millions, and cracking it open, and of course training with very fast cars to pass security cameras, the team are ready to carry out the robbery, when Hobbs and his team catch up to them. Dom, Mia, Brian and Vince are found and arrested, being transported to the airport the convoy is attacked by Reyes' men, Hobbs' men are killed, but the four save Hobbs and officer Elena Neves (Elsa Pataky), Vince is shot and killed, but they escape the attack, and Hobbs and Elena agree to help with the heist. The gang break into the police station and steal the vault holding Heyes' money, dragging it through the city, the police chase them, Brian is able to kill Zizi in the pursuit, Hobbs arrives on the scene and kills an injured Reyes, and he gives Brian and Dom a head start to escape, but only if they leave the vault. However during the chase the team were able to switch the real vault with one looking identical, the cash is split between the team, including Vince's family getting his share, they all do their separate ways, on a tropical beach Brian is relaxing with a visibly pregnant Mia, and Dom arrives with Elena, Brian and Dom challenge each other to a final no-stakes race, for old times. In the post-credits sequence Hobbs is trying to catch up with the heist gang, Monica Fuentes (Eva Mendes) hands him a file concerning a hijack in Berlin, it shows a recent photograph of Dom's former girlfriend Leticia ""Letty"" Ortiz (Michelle Rodriguez), who was presumed dead (following the events of Fast & Furious), this will continue in the following film. Also starring Alimi Ballard as Fusco, Fernando Chien as Wilkes, Yorgo Constantine as Chato and Geoff Meed as Macroy. From the fourth film onwards the series changed in mood and style, it may feel different but in a way it's more modern, the plot bringing back familiar past characters for a great fast-paced heist is great fun. To be honest, the storyline going on is not the thing to pay the fullest attention to, it is the pedal-to-the-metal stuff, all the colourful and cool cars fuelled up, with extra rocket boosters and switches, that speed and crash their way around, and the explosions and stunts along the way keep the pace up as well, all in all it's a most entertaining action thriller. Very good!",Fast Five
7,Tweekums,Fast & Furious 5,8,13 February 2017,"After Brian and Mia help Dom Toretto escape from a prison transport the three of them flee to Rio de Janeiro where they meet Dom's old friend Vince. He has a job for them; steal some fast cars that are being transported by train what none of them know is that the cars have been seized by the US DEA and the person wanting them stolen is local drug lord Hernan Reyes. It becomes apparent that they are only really after one of the cars. Dom and his friends take that car and discover why it is so important; the chip in the car's GPS system includes data that gives the location of all the locations where Reyes stores his ill earned money. Dom decides that they will steal the lot but before they do that they will have to assemble a team of specialists. He and Brian will also have to avoid capture by agent Luke Hobbs and his team who believe Dom and Brian were responsible for the deaths of DEA agents on the train.This is a fine fifth instalment in this apparently endless franchise. This one is less about cars than the previous films although they obviously play a key role. Instead we get more conventional action with fighting, shootouts and finally an impressive heist. The action is nicely spread throughout the film and is suitably varied. It all leads to a spectacular, if somewhat unlikely, chase where Dom, Brian and the team race away from countless corrupt Rio cops and Reyes' men while dragging a massive vault through Rio leaving a trail of destruction as they go. Vin Diesel and Paul Walker have developed a great chemistry over course of the series and are on top form here. Dwayne Johnson is a welcome addition to the cast as Hobbs as is Elsa Pataky as Brazilian police officer Elena Neves; hopefully both will return in future instalments; the ending suggests that they probably will. The Rio setting is used well without overdoing the 'Tourist Board' shots. As well as great action there are some good laughs; the black guy claiming to be a while guy with a 'great tan' was hysterical as the line was so well delivered. I'd certainly recommend this film to anybody who loves over-the-top action but don't want anything too unpleasant.",Fast Five
8,BA_Harrison,Vin Diesel vs The Rock.,6,22 July 2018,"Fast & Furious 5 steers the series even further away from 'car-porn' and into more accessible over-the-top summer blockbuster territory. This one even has The Rock in it!The film opens as part four closed, with Dom's team rescuing their friend while he is en route to prison by orchestrating a bus crash that, in reality, would kill everyone inside. Of course, by now, reality has nothing to do with the Fast & Furious franchise: this is a preposterous slam-bang spectacle that would have left me with a big grin on my face if it hadn't been so drawn out. At well over two hours, part 5 is at least thirty minutes longer than it needed to be. Trim the fat and it might have been the most enjoyable one so far.Anyway, with Dom free (and somehow devoid of any injuries), the action moves to Brazil where the team decide to pull another car robbery (from a speeding train, no less). Lots of mayhem ensues, with more death defying stunts, after which the crew discover a computer chip hidden inside one of the vehicles that details the activities of Rio De Janeiro's top crime lord. Armed with this information, the gang decide to pull one more heist: steal the bad guy's money - all $100million of it. Meanwhile, top US agent Hobbs (Dwayne Johnson) is on their trail.Unfortunately, the preparation for the daring raid is where things tend to drag (although we do get to see Gal Gadot in a small bikini, so it's not all bad). The film does, however, eventually culminate in one of the craziest heist scenes in cinema, with Dom and Brian dragging a humongous metal safe around the streets of Rio, laying waste to buildings and cars in the process. Oh, and there's a car with a mini-gun that pops out of the sun roof! All of this is mindless popcorn fun if you can check your sense of logic at the door on the way in - it's just a shame that getting there is a bit of a slog at times.",Fast Five
9,paul_haakonsen,Vroom vroom... strap yourself in for a fast-paced ride...,7,22 August 2011,"Having seen the previous four movies in the series, I can't really claim to be a fan, yet here I am again, sitting down to watch another of these movies. Now, I am not a fan of fast cars, street racing, nor of Vin Diesel, but there is just something about this 5th installment of the series that works so well.Of all the movies so far, this part is the one with the most interesting and solid storyline. Sure, it was pretty far out there at times, but in overall, it did work quite well. The movie has lots of action, fast paced scenes and racing, impressive cars, and a load of really good shots of Rio.From the very beginning of the movie, you are in for a thrill-ride, and it doesn't stop until the movie is over and the credits start scrolling. You will be riveted in your chair by this movie, that much is certain. What I liked was that the heist was more a focal point of the movie, as compared to the fancy cars.The chase scene on foot through the narrow, winding streets, alleys and rooftops of Rio was mind-blowing. That was, for me at least, perhaps the most action packed scene of the movie. It was just so intense. It was like you were there yourself.And the scene where they had the vault dragging after them, well it was a bit too much, a tad over the top, but it was still nice though. Yet, how very, very odd that it was only police casualties and no civilian casualties in this scene. That was just not cool. Hadn't seen something like that in a movie before, so it was impressive to see, and it looked awesome. But I think once a vault that size would get into motion and swing about, the cars would be pulled with it, and not be able to steer it around and maneuver it like they were doing. But hey, this is a movie after all.The acting in the movie was good, despite me not being a fan of Vin Diesel, then he did do it well enough. As did the other people on the cast list. It was cool to see Dwayne Johnson in this movie, though I didn't really buy into it when his character joined up with the criminals. That was just too unreal.If they manage to keep up this level of intensity and action in the 6th part, scheduled for 2013, then we will certainly be in for one impressive ride.For a non-particular fan of the ""Fast and Furious"" series, this 5th installment impressed me quite a lot.",Fast Five
