,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Not as good as the original, but still entertaining",7,9 March 2011,"Sister Act 2:Back in the Habit is not as good as the original, but it is still entertaining compared to the disaster it could have been. It is not as well thought-out in the plot, the direction is lacking a tad, and the film does start off rather slowly.Thankfully though it does pick up, and the latter half almost equals the best parts of the original. The cinematography and production values are excellent and the script is funny and charming. Whoopi Goldberg once again has fun in her role, Maggie Smith once again is a welcome presence, the music is joyful and upbeat and the nuns are as infectious as ever.All in all, an entertaining sequel. 7/10 Bethany Cox",Sister Act 2 - Back in the Habit
1,bkoganbing,Undercover nun,6,13 March 2017,"With Sister Act 2: Back In The Habit Whoopi Goldberg is back as a faux nun who gets a request from Mother Superior Maggie Smith from the first Sister Act to go back undercover to help save a Catholic School run by the Catholic brothers headed in this case by Barnard Hughes. They need a music teacher and Whoopi's credentials were amply proved in the first Sister Act.Once again plot gambits are taken from those Bing Crosby classics that Leo McCarey did. Like in The Bells Of St. Mary's Whoopi is sent in to a failing Catholic School. Like in Going My Way she forms a really great choir from the raw material she finds in her music class. She also has to deal with a secular villain with church ties. James Coburn is hardly anything like the lovable Henry Travers as Mr. Bogardus in The Bells Of St. Mary's and has to be dealt with differently.If you bring Whoopi back you surely have to give her that lovable posse she formed from the first Sister Act. Kathy Najimy, Wendy Makkena and the lovable veteran Mary Wickes have all returned as well.The music is the best part of this film especially Lauryn Hill who is the centerpiece of that choir. Lauryn's scenes with Sheryl Ralph playing her mother who thinks her music aspirations are foolish are quite tender and real.The element of personal danger for Whoopi is not present in the sequel, it's lighter and at times a bit silly. Still I enjoyed it and Whoopi Goldberg's fans and many others will as well.",Sister Act 2 - Back in the Habit
2,SnoopyStyle,"good music, good young cast and Whoopi",5,28 November 2015,"Deloris van Cartier (Whoopi Goldberg) is headlining in her own show in Vegas. Sisters Mary Patrick (Kathy Najimy), Mary Robert and Mary Lazarus attend her show. Mother Superior (Maggie Smith) had sent them to retrieve her to teach music in St. Francis High School. She agrees becoming Sister Mary Clarence once again. The school is run by Father Maurice with math teacher Father Ignatius, Latin teacher Father Thomas and the cook Father Wolfgang who only makes bratwurst. The rambunctious class includes leader Rita Watson (Lauryn Hill), brown-noser Tyler Chase, new Muslim Ahmal, white rapper Frank-Hey, graffiti artist Sketch, Margaret (Jennifer Love Hewitt) and Maria (Alanna Ubach). She discovers that the school is being closed by the end of the semester.The premise makes no sense. It's obvious that this is a movie driving for a young cast and the returning characters led by Whoopi. The premise is a simple excuse to get the movie there. Once there, the music is good. The young cast has a few standouts and a couple of familiar stars in their early years. The returning actors are great. However, the story is flat and lacks any freshness.",Sister Act 2 - Back in the Habit
3,mark.waltz,"Nun of your lip, now!",4,7 May 2015,"The sisters are back, and here, they are running a school far away from the quiet San Francisco convent where they first met Dolores Van Cartier (Whoopie Goldberg). Mother Superior Maggie Smith, having lightened up towards ""Sister Mary Clarence"" in the first entry, sends her old pals Mary Wickes, Kathy Najimy and Wendy Makkena to Vegas to bring Dolores back, to help save her school from scheming property owner James Coburn. Like ""The Bells of St. Mary's"", they are in danger of loosing the school which may not be accredited, and Goldberg's job is to help them win financial support by getting the unenthusiastic chorus to L.A. for a choral contest. Yes, this is basically a Mickey/Judy movie, ""Let's put on a show and crush the goals of some mean adult"", only in nun's habits and catholic school uniforms. But while not as well thought out as the original, it remains entertaining and diverting.The edge is gone with the lack of a mob intrusion into the convent's life, but with many Catholic schools going under thanks to lack of funding or decreasing attendance, this was much more realistic. The subplots concerning individual students are many, from the troubled rebel who yearns for her mother's approval but doesn't go about the right way in getting it, to the talented young boy who shows he just needs some guts to bring out his true spirit, and pretty much the entire school's need to understand that these nuns are just as spirited, if more, than they are.What isn't realistic is the fact that just a year after singing for the pope, these nuns aren't recognized by the kids, and that they don't know who Dolores Van Cartier is from her previous newspaper headlines. ""Are you really a Vegas showgirl?"" one student asks incredulously. ""No, I am a headliner"", Goldberg says as only she can. The lack of continuity between the two films gives it a definite ""sitcom"" feel, but unlike most sitcoms, this one rises above mediocrity because it is just so pleasant to sit through, especially when the kids get their act together, take it on the road, and sing to the Lord, not just to win, but to show that they've grown ever since Sister Mary Clarence came into their lives.Like in the two 1960's film where she played a bus driving nun, Mary Wickes gets back in front of the wheel, and also continues the string of funny delivery with lines that with other actors would just draw blank stares. Coburn is appropriately stolid, while such popular character actors as Barnard Hughes and Michael Jeter take on priestly roles with joyous glee. The same group of Broadway supporting players are back as singing nuns, with special mention to Susan Johnson, Beth Fowler and Ruth Kobart, as full voiced on screen as they were on stage. While the original ""Sister Act"" got its own big Broadway musical, the producers of that show (including Whoopie) were wise to realize that based upon previous experiences of hit musicals attempting sequels to just quit while they were ahead. ""Sister Act II"" is great as a video entertainment, and to take it any further would be fruitless.",Sister Act 2 - Back in the Habit
4,jboothmillard,Sister Act 2: Back in the Habit,6,6 July 2005,"The first film was more original, funny and musical, but this sequel is certainly worth a look, from director Bill Duke, aka Mac in Predator. Basically Deloris Van Cartier (Whoopi Goldberg) is back in her Las Vegas lifestyle being a more successful singer, and at her show Sisters Mary Patrick (Kathy Najimy), Mary Lazarus (Mary Wickes) and Mary Robert (Wendy Makkena) come and take her to Mother Superior (Dame Maggie Smith). She asks Deloris if she would help teach music to students at the run-down parochial school, and knowing that the nuns helped her get more success, she agrees to don the habit again to become Sister Mary Clarence. At first the students are determined not to learn anything, and they also have their fun making Deloris look foolish (e.g. super glue on her chair), but they soon the school is due to be closed by local authority chief Mr. Crisp (James Coburn), so they are determined to prove they are learning. So forms a choir, and all talent breaks out, so much in fact, that they are entered into the state choir singing competition. Best singer Rita Louise Watson (young Lauryn Hill, from the Fugees) goes, despite her mother forbidding her to sing, and even with some pretty good choirs before them, and the same song as one of them, they do a fantastic performance, and deserved to win it (well, we probably knew they would anyway). Also starring Barnard Hughes as Father Maurice, Michael Jeter as Father Ignatius, Sheryl Lee Ralph as Florence Watson, Robert Pastorelli as Joey Bustamente, Thomas Gottschalk as Father Wolfgang, Brad Sullivan as Father Thomas, Alanna Ubach as Maria, Ryan Toby as Westley Glen 'Ahmal' James, Ron Johnson as Richard 'Sketch' Pinshum, young Jennifer Love Hewitt as Margaret, Devin Kamin as Frankie, Christian Fitzharris as Tyler Chase, Tanya Blount as Tanya and Mehran Marcos Sedghi as Marcos. Goldberg is very likable, Najimy still has the wild eccentricity, and even with a story that is not as engaging as the first, the musical and song sequences, such as ""Oh Happy Day"" and ""Joyful, Joyful"" keep you entertained. Good!",Sister Act 2 - Back in the Habit
5,ccthemovieman-1,"Very Offensive, Poor Sequel",1,25 May 2007,"As with many sequels, this doesn't measure up to the original. In fact, I found this film - as opposed to the first one - very offensive. Of course, my beliefs had changed since first viewing ""Sister Act."" However, this film definitely irreverent.There are many irreverent remarks made throughout this film made by a number of people who just take the credibility of a real Believer to task. Yeah, the nuns are still ""good guys,"" but don't fool yourself: there's a lot of secular bias in this script. Nobody in here, including all the Catholics, takes Christianity with an seriousness. Hey, if Hollywood takes it as a joke, it wants everyone to do the same. That seems to be the message of this movie.Also, as in many sequels they took a part of something that worked, and then overdid it the second time. In this case, it's Kathy Nijimy's role. She was cute and bubbly in a minor role in the original, got recognized for her performance and now has much bigger part. Unfortunately, they overdid all that giggling to the point where the woman is downright annoying.",Sister Act 2 - Back in the Habit
6,ma-cortes,Likable Woopy Goldberg goes back as Sister Mary Clarence to teach music to a group of rebel students in a rundown college,6,23 June 2013,"This is an acceptable though inferior sequel to ¨Sister act¨ , a surprising box office hit ; it has a similar casting and set at an old High School which is destined for closure . The club singer Deloris Van Cartier (Whoopi Goldberg) is again asked to don the nun's habit to help a Catholic school , presided over by Superior Mother (Maggie Smith) and formed by charming nuns (Wendy Makkenna, Kathy Najimy , Mary Wickes, among others). Friendly Deloris back and has to teach music to a bunch of students in their parochial college which is fated for closure . She creates a choir to participate in the state championship . A group of stereotypical botcher monks (Barnard Hughes , Michael Jeter) and a greedy administrator (James Coburn) attempt to detain them . However ,one of the girls (Lauryn Hill) , who is the most talented of the team , is banned to sing by her mummy (Sheryl Lee Ralph) . Los Angeles lounge singer donning nun's habit and organizing the convent choir formed by sympathetic nuns who steal best laughs and including a spectacular as well as amusing concert .This entertaining film with some genuinely funny moments follows the formula about a fish out water . Motormouth and kind Whoopi Goldberg is pretty well as the vaudeville star become unexpected nun , she is a complete show . Whoopi Goldberg was very unhappy making the first film and made this sequel only after Disney decided to finance her dream project, Sarafina! . Good performances from agreeable nuns , Wendy Makkenna , Kathy Najimy , the veteran Mary Wickes and excellent Maggie Smith who disapproves modern methods . Fine support cast , being this the first movie for Lauryn Hill, Ryan Toby and Jennifer Love Hewitt . And Whoopi Goldberg's daughter, Alex Martin, appears in this movie as one of the classroom children . The musical numbers in 'Diana Ross and the Supremes style', magical choreography and songs are catchy and done with gusto . The movie is amusing and entertaining with enjoyable set pieces but don't let it make you expect too much . Well-done musical score with swinging tunes by Marc Shaiman and Miles Goodman ; including colorful cinematography by Oliver Wood . The film is geared directly toward Whoopi Goldberg fans and young viewers . The motion picture was professionally directed by Bill Duke . Bill is a known and prestigious secondary actor , usual in villain roles as Commando (1985) and especially as one of Schwarzenegger's jungle commandos in Depredator (1987). After cutting his directorial teeth on the small screen , Duke directed his first feature film with the crime drama , ¨Rage in Harlem¨ (1991). This was followed by another impressive crime film ¨Deep cover¨ (1992), then made this comedy sequel , Sister Act 2 (1993). Duke has since continued to divide his time between appearing both in front of the camera and behind it , and remains a dynamic, stimulating and creative talent in Hollywood.",Sister Act 2 - Back in the Habit
7,moonspinner55,Desperation time...,3,29 January 2006,"Fairly desperate sequel to 1992's ""Sister Act"" has one-time lounge singer Whoopi Goldberg now a big attraction in Las Vegas, but called back to the convent by those kooky nuns to help bring order to a school full of rebellious teenagers. Poorly constructed script just begs for a lighter touch, but everything is hammered home. James Coburn looks appropriately puzzled as the proverbial villain of the piece (he wants to shut the school down, and after meeting the students, any audience may come to sympathize with him). Goldberg's mere presence brings a smile, but this is hand-me-down material (much more so than the cookie-cutter first installment) and is completely without merit. *1/2 from ****",Sister Act 2 - Back in the Habit
8,studioAT,A joyful joyful sequel,5,8 June 2012,"Did the original Sister Act need a sequel? Probably not but the success of the first one meant that the inevitable sequel was made in 1993.And to the credit of everyone involved it's not that bad and proves and enjoyable way to spend 90 minutes. While the story isn't really that strong and the first 30 minutes are a little manic as the director tries to re-establish the characters, the story and the reason for Goldberg going back in disguise (because, let's face it, that's what audiences want to see.And so begins a film that has some good moments of comedy and music. It's not as good as the first but then again most sequels aren't. The main thing is that this film doesn't tarnish the reputation of the first and shows again that nuns can be funny.",Sister Act 2 - Back in the Habit
9,bevo-13678,Really???,10,2 April 2020,There's some sort of story to this????? I'm sure I did watch it. Obviously I wasn't paying attention,Sister Act 2 - Back in the Habit
