,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,beautiful pairing in clunky romance,5,4 February 2017,"Rosie Dunne (Lily Collins) and Alex Stewart (Sam Claflin) have been friends since 5 years old. Her life is changing at 30. In flashback starting with her 18th birthday, their relationship is shown as they go on their separate journeys. He loses his virginity to Bethany Williams (Suki Waterhouse) which drives Rosie to self-obsessed Greg (Christian Cooke). Alex goes off to Harvard and finds new girlfriend Sally (Tamsin Egerton). Rosie gets unexpected pregnant from her one awkward night with Greg which derails her plans to study in Boston near Alex.Lily Collins is lovely. Sam Claflin has his boyish charms. This romance could be better. Despite the beautiful pairing, it never really pulls it off completely. It has a fun start. The condom bit is hilarious. There is a way for this relationship to go to develop a great epic romance. It takes odd turns which really throws it off. By the second half, I don't want them to get together. Quite frankly, none of the men are good enough for her. This should really be Rosie's story. Lily Collins is good enough to pull that off.","Love, Rosie"
1,Prismark10,Comfort viewing,5,4 August 2019,"There is a lot to like in Love, Rosie including appealing leads who are wonderfully photographed but this is a sub par Four Weddings and a Funeral.Rosie Dunne (Lily Collins) and Alex Stewart (Sam Claflin) have been childhood friends who are meant to be with each other. However Rosie gets pregnant after a one night stand, Alex goes off to Boston to study at Harvard and she does not want to stand in his way. Eventually Alex gets engaged over there and Rosie marries the father to her child.Throughout the film you just want the two main characters to properly talk to each other to clear up any misunderstandings. Instead the film dreams up further silly contrivances to keep Rosie and Alex from hooking up to each other. So they repeatedly have a dalliance with people who are second best.This is an energetic rom-com, amiable enough to watch but it never rises above average.","Love, Rosie"
2,kosmasp,True Love,7,5 July 2015,"To say this is predictable would be an understatement, but same thing goes for many action movies as far as predictability goes. Actually the fact that two people belong together is so painfully obvious you do wonder how they came up to fill over 100 minutes in here. Looks like a lot of things go wrong ... who'd have thought? Putting a scene from ""now"" at the beginning just to backtrack was a neat idea though.Still some things happen, that might not be as expected. But such is life and the overall impression still says the same. The main actors/characters do their best to keep the tension high and the story going. Even when the script has them do things, they shouldn't be doing. An overall good romantic comedy, fun to watch as a couple","Love, Rosie"
3,sunwarrior13,"Love, Rosie Is More Than Just Another Romantic Film",10,26 June 2015,"Love, Rosie is a romantic comedy and dramatic film based on the 2004 novel Where Rainbows End by Cecelia Ahern.It is a story about lifelong friends who have had countless frustrations and hurdles of having a romantic relationship with each other.It stars Lily Collins and Sam Claflin together with Tamsin Egerton, Suki Waterhouse, Jaime Winstone and Lily Laight.Alex and Rosie have been best friends since their childhood days.They grew up together and shared the highs and lows from being a child until adulthood.They truly felt that there is something more as they definitely have feelings for each other.But they find themselves set into different directions after countless opportunities of being together romantically brought about by the complexities of life like a baby,a marriage,studying in America,having a relationship with another person and missed moments of expressing their feelings for one another.Despite the many changes of their lives,they tried to maintained contact with one another and shared their joy and sorrows of life.Will they find way to end up with each other?This is definitely a charming film.The main characters - Alex and Rosie - are definitely endearing,attractive and full of charisma that the viewer do care for them as they pursue their dreams,careers and one shot at romance.Credit also goes to Lily Collins and Sam Claflin as they gave their all to make characters compelling and interesting enough to make it more than just another predictable,contrived and clichéd romantic movie.It is definitely a joy to watch and entertaining as the audience will definitely feel for both Alex and Rosie from their growth as individuals;to the near misses they have experienced all throughout their lives for love; and when they finally end up with each other at the end.","Love, Rosie"
4,studioAT,Terrible adaptation,1,8 March 2015,"The original source material,'Where Rainbows End' was a very good book and you can see why Hollywood came calling to turn the story of Alex and Rosie through the ages into a film.Sadly they didn't do a good job. At all. The basic plot remains the same but there are so many liberties taken that fans of the book surely must be shaking their heads and going 'where is the story we fell in love with first time around?'. The author says in the DVD interview that she welcomed the changes but what's left is a very by the numbers romantic comedy that verges awkwardly between cliché and dull.The book had charm, it had warmth. This version is rude and sweary to the point where I stopped caring about the characters.The only bright spot (and I really had to search for it) was Lily Collins who captures many of the qualities that made Rosie so endearing in the book.From a very good book comes a very average film. A missed opportunity if ever there was one.","Love, Rosie"
5,neil-476,Predictable but charming,8,25 October 2014,"Rosie and Alex have been best friends since primary school. They nearly got romantic on Rosie's 18th birthday, but Rosie was way too drunk. Since then, both have had relationships, just not with each other - timing has always worked against them.When I watched the trailer for Love, Rosie, I thought ""I now know exactly what will happen in this film."" But I like Lily Collins, so I went to see it anyway. And I was quite right - the story progresses along the tramlines which are displayed in that trailer (with one or two little sidetracks), so don't expect any earth-shattering surprises.But it doesn't matter. Lily Collins and Sam Claflin have an easy chemistry, the film is a romantic drama with some gently amusing moments, the supporting cast is good, and Collins turns out to be able to do a bit of acting, too.I enjoyed this.","Love, Rosie"
6,ferguson-6,Talking beats Texting,5,9 February 2015,"Greetings again from the darkness. More Romantic-Drama than Romantic-Comedy, the story spans 12 years – a necessary change of structure from the 45 year saga of Cecilia Ahern's novel and source material ""Where Rainbows End"". It's a familiar theme of boy-girl friendship muddled by quasi-romantic interludes of frustration, confusion, missed signals, and misplaced pride.Rosie (Lily Collins) and Alex (Sam Clafin) have been friends since they were 5 years old, and their bond means they discuss everything from Alex's weird dreams to leaving England together. Well, everything except what they really think of each other. On Rosie's 18th birthday, a poorly executed, drunken spin atop a barstool, leads to the proverbial fork in the romantic road  and off to the dance go Rosie and Alex with other partners. One cringe-inducing condom mishap later and Alex is headed off to school in the U.S., while Rosie stays behind to tend to other responsibilities.In the mode of One Day, or Four Weddings and A Funeral, we track the separate lives of Rosie and Alex. Though connected mostly through texts, the next dozen years bring more than enough opportunity for these two to right a wrong, but predictably bad timing is always their worst enemy. The adapted screenplay from Juliette Towhidi (Calendar Girls) and the direction of Christian Ditter allow us to really understand Rosie and care for her, while the supermodel dalliances of Alex keep him at arm's length.The film's best scenes and most interesting sequences are those centered on Rosie. Lily Collins (Phil's daughter) really steps up her game here and shows some promise for things to come in her career. Most enjoyable are her scenes with the more streetwise Ruby (played by Jaime Winston, daughter of the very cool Ray). The film's weakest moments involve the attempts at slapstick humor. The two worst: a scene involving handcuffs and a headboard and an elementary school; and another scene with the group awkwardly scurrying through an airport. Both seem out of place with the almost pensive nature of so many other moments in the film.In an attempt to lighten the mood and ensure the viewers are on track, numerous songs are utilized and act almost as a narrator for the dramatic turns. Most of these are a bit overbearing rather than serving as a complement to the story. Despite the shortcomings, the message of friendship and dreams is one worth delivering  even if the presentation may be a bit cheesy except for the most hopeless of romantics amongst us.","Love, Rosie"
7,bombersflyup,"Okay, watchable.",4,26 August 2020,"Love Rosie has the characters and fine acting, but a brutal plot.So much unnecessary drama and nothing deep or funny to raise it above mediocrity. A simple phone call could have prevented a lot. The moments where she's with her daughter, handcuffed to the bed etc, that's where it should have stayed.","Love, Rosie"
8,inkblot11,"A Brit, less-lighthearted variation of When Harry Met Sally; sweet, enjoyable",7,16 September 2015,"In London, Rosie (Lily Collins) and Alex (Sam Claflin) have been friends since childhood. Now about to graduate high school, Lily and Alex get drunk at a party and almost kiss, but Rosie passes out first. The moment, if it meant a shift in their friendship, is gone. Soon after, Lily has a one night stand with a jerk, resulting in an untimely pregnancy. Since Alex is off to study in the States, Lily doesn't want to ruin his entrance into the college experience and doesn't tell him she is expecting. But, since the plan was for Lily to go the same school, eventually the secret comes out. What follows in the years after is an off-kilter friendship-romance, with Rosie and Alex never ""free"" of relationships at the same time. Rosie becomes a hotel maid to support her daughter while Alex continues school and lives with two demanding women in a row. Rosie even tries matching up with the father of her child, with disastrous results. If R and A are truly meant to be together, will it not happen until they reach old age? We shall see! This Brit variation on When Harry Met Sally is more serious than this previous work, with far less light-hearted moments. Rosie and Alex endure years of disappointments and terrible partners on the way to true love. As the principal actors, Collins and Claflin are very fine, with the rest of the cast supporting them nicely. The two continent settings are nice, while costumes, a polished script and a sometimes slow but careful direction makes for a film romance fans will enjoy. Therefore, if you are ready for a new trip into the world of sweet love tales, this one is for you, dear viewer.","Love, Rosie"
9,Reno-Rangan,You can't respect the friendship by denying the facts.,8,2 September 2015,"Definitely a modern love story. The movie covers the story of the title character, Rosie's 12 years of life. From the night when she celebrates her 18th birthday till becomes the 30 year old mother. It's a long journey in the real life, and the movie report only the romance side of the life as it is a romantic comedy. Based on the book named 'Where Rainbow Ends', but lots of changes have been done to make a youthfully celebratible movie for the young generation.Usually, the famous romantic dramas are slow, lengthy, and well developed characters. Of course, this one was a romcom, though, much better in many aspect with less emotions and swift pace. About the characters, it was Rosie's perspective and having Alex as a counterpart, the rest are not given much importance other than permits a fair display. Nowadays I kind like Lily Collins, she's cute, maybe it is a crush. But that does not the reason to I like this film, not entirely true. I find it somewhat atypical with many convincing scenes and lines.The story is intensifyingly frustrates us as it takes extreme turns all the time just to make a further riddle and complicate. But that is how the screenplay survives or there won't be any story to tell. It might be Rosie's romance, but you don't have to be a woman/girl to enjoy this film. I don't believe such kind of categorisation, because in the earlier time everyone believed animation is for children only and then it proved wrong. So if a man can watch a movie without damaging his brain, losing his eyesight, or becoming paralysed, then I don't see an issue rather making up everything himself. Hope you all enjoy the movie as I did.7.5/10","Love, Rosie"
