,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Home of fear,7,1 January 2019,"Having been on a roll watching and reviewing gradually over time films belonging in horror film franchises, the Chucky/'Child's Play' films were the most recent to get this treatment. Part of my want to see them was my fascination to see if killer doll Chucky deserved his horror icon status. My conclusion seeing the films is that he does deserve it and a hugely entertaining and creepy character, that is quite a bit better than the films.The 'Child's Play'/Chucky films vary in quality, some decent to good, others not so good. Don't consider any of them unwatchable though. 'Curse of Chucky' is one of the good ones despite its faults, not a film that blew me away and will never be a favourite but it both scared and entertained me, as the main objective for the franchise that is a very good thing. As far as the 'Child's Play'/Chucky films go, the best will always be the first one. 'Curse of Chucky', for me and quite a number of others, is though one of the best of the series. Would go as far to say that it beats 'Bride of Chucky' as the best since the first and it vastly improves on the disappointing 'Seed of Chucky' which along with 'Child's Play 3' is my least favourite.Really appreciated that 'Curse of Chucky' returned to its roots and the closest of the sequels to capture the tone of the first film. Although there may not be an awful lot of surprises in the surprises, this return gave the sense that the franchise had been revived and been brought new overdue life. There is far more of a reliance on horror, and genuinely scary and suspenseful horror film, than the comedic approach adopted by most of the sequels, which varied greatly. The opening sequence is truly foreboding and the kills are imaginative, gloriously gory and freaky, without veering on being too tasteless.Yet 'Curse of Chucky' doesn't take itself too seriously as a result, the wickedly funny one-liners and dialogue remain still. Chucky is as frightening and entertaining as ever, plus used much more and better than he was in 'Seed of Chucky' and Nica is a likeable protagonist that one roots for. Brad Dourif continues to voice Chucky with relish and his daughter Fiona is both cute and spirited. The film looks great, very stylish and haunting with terrific effects, even in the lesser films the production values were always among the good things. The music is suitably eerie and the direction is skilful.Not that 'Curse of Chucky' is perfect, but the good things far outweigh the cons. The rest of the cast are on the bland side. There are pacing issues here and there, momentum does sag.The ending felt anti-climactic and rushed.Otherwise, pretty good and one of the best in the series. 7/10 Bethany Cox",Curse of Chucky
1,Leofwine_draca,Seen it all before,4,25 February 2018,"I saw CURSE OF CHUCKY getting positive reviews on here but I have no idea why. I appreciate that the series went back to its serious horror roots after the inanity of SEED OF CHUCKY, but instead this just plays out as a typical slow-paced horror flick set in one of those gloomy old mansions. Fiona Dourif, daughter of Brad, plays the wheelchair-bound lead, but the plot quickly descends into tedium after the well-written opening sequence. An unlikeable cast of characters are eventually bumped off in cheap gruesome ways while Chucky is his usual wisecracking killer self. The whole thing feels like a pale imitation of the original trilogy but there really is nothing new to see here.",Curse of Chucky
2,SnoopyStyle,much better than expected,7,30 October 2017,"Nica is disabled since birth living with her overbearing mother. They are surprised with a delivery of a Chucky doll. The mother dies mysteriously and is ruled a suicide. Nica's sister Barb arrives to care for her. She brings along her husband Ian, daughter Alice, and au pair Jill. With money trouble, Barb wants to sell the house for her half of the inheritance. Alice finds Chucky and immediately takes to him. Father Frank joins them for dinner and gets poisoned by Chucky. The poison kicks in and he's decapitated in a car crash. Officer Stanton investigates.This is straight to VOD. It has a stripped down horror house aspect and it's surprisingly good. It's more cinematic than it deserves to be. The house has a nice creepy look. The camera takes interesting shots with good creepy closeups especially with Chucky. Chucky alumni Don Mancini gets most of the credit. He's not only writing but also directing this one. There isn't much exposition and there isn't much need for it. It's a bunch of people in a house with the killer doll and they don't know it. There are nice little twists. It's simple and it works. It's almost classic in its execution.",Curse of Chucky
3,claudio_carvalho,Play with This!,7,14 October 2013,"The depressed Sarah (Chantal Quesnelle) lives with her disabled daughter Nica (Fiona Dourif), who is stuck in a wheelchair since she was born, in an isolated old house. Sarah receives a package with the creepy red- haired doll Chucky and she throws it in the garbage. But during the night she is found dead and Chucky is sat on a chair in the living room. Nica's sister Barb (Danielle Bisutti) attends the funeral with her estranged husband Ian (Brennan Elliott); their little daughter Alice (Summer Howell); the nanny Jill (Maitland McConnell) and her friend Father Frank (A Martinez). Along the night, there are mysterious deaths and Nica discovers that the package was sent from the evidence depositary. She also researches the Internet and suspects that Chucky might be behind the murders. ""Curse of Chucky"" is a great return of the franchise with a sinister history of Chucky. The cinematography and the camera work are top-notch and the plot is well developed. Wait until the end of the credits since the movie continues with a long scene; in the end, ""play with this""! My vote is seven.Title (Brazil): ""A Maldição de Chucky"" (""The Curse of Chucky"")",Curse of Chucky
4,nogodnomasters,Friend to the end,10,23 March 2018,"Nica (Fiona Dourif) who is bound to a wheelchair gets a Chucky Doll in the mail. After her mother is gone, her controlling sister Barb (Danielle Bisutti) comes with her family to comfort Nica. This includes the Nanny (Maitland McConnell) a Denise Richards looking nymph you pray doesn't die before she can take a shower. The film adds some nice touches by starring Fiona Dourif, the daughter of Brad Dourif who is Chucky's voice. The throw back to Jennifer Tilly was a bonus.In case you forgot the Chucky story, he rehashes it. This is a straight forward Chucky film which includes blood squirts, puns, and of course a doll with a knife.Must see for fans of the franchise, a fitting sequel.Parental Guide: F-bombs. No sex or nudity. Maitland in red bra and panties.",Curse of Chucky
5,kosmasp,I can't hide it,8,27 October 2013,"I am really excited, especially because this is a major improvement to the recent output of Chucky movies. This really hits the spot or mark or whatever you want to call it. Unrated version should be the one to watch obviously. The movie might not have many surprises plot wise (you know the drill, no pun intended), but it has one very funny revealing that ignited a lot of hooting in the cinema. And deservedly so! It might be gender based hollering though.Whatever the case, the lead actress is the daughter of ... the voice of Chucky! Which is a very strange thing to do and play as you can imagine. Something she revealed in the Q&A after the movie was presented too. Very convincing, as is everyone else in the movie. There was not a moment where I felt not entertained. So I might have given the movie a point to much (a 7 would be more appropriate), but that is what happens, when a movie defies expectations and is actually exactly what it should be",Curse of Chucky
6,jboothmillard,Curse of Chucky,6,5 November 2014,"The Child's Play series has had its up and downs over the last twenty five years, this sixth entry in the series may not have been released in the cinemas, and I was perhaps skeptical, but I was still going to watch, directed by creator of the killer doll, Don Mancini (Seed of Chucky). Basically it has been four years since the events of the last film, at the Pierce family home, where paraplegic Nica (Fiona Dourif, Brad's daughter) lives with her mother Sarah (Chantal Quesnelle), Good Guy doll Chucky (Brad Dourif) arrives in the mail, later that night Sarah is found dead after a stab wound, her death is assumed to be suicide. The next day Nica's sister Barbie 'Barb' (Danielle Bisutti), accompanied by her husband Ian (Brennan Elliott) and their daughter Alice (Summer H. Howell), live-in nanny Jill (Maitland McConnell) and priest Father Frank (A Martinez) arrive, Alice finds Chucky and keeps him. Chili is cooked for dinner by Alice and Nica, rat poison is secretly poured into one of the bowls by Chucky, Father Frank is the one who eats the poison, after leaving the house he is decapitated in a car crash, before he left he mentioned recognising the doll, possibly from news reports, Nica curious searches the Internet, and she finds articles about unsolved Chucky murders, and a link to serial killer Charles Lee Ray, aka The Lakeshore Strangler. During the night Chucky sneaks out of Alice's bed and electrocutes Jill to death using a bucket of dripping rain water and ground power outlets, this causes a blackout, and next Barb goes to check on Alice, seeing Chucky on the stairs she assumes Alice is in the attic, up there Barb finds Chucky again, she notices a dent on his face, slowly she peels fake plastic to reveal his facial scars, then he comes to life to killed her with a kitchen knife. Nica realises the danger and with the elevator out of orders attempts to crawl upstairs, Barb is already dead and Chucky reveals himself to Nica, she wakes Ian who who takes her to the garage before going back to find Alice, but Chucky is there to start the car and attempt to kill her with monoxide poisoning. Ian returns and accuses Nica of the murders, he looks back at footage he recorded with a secret camera placed on Chucky, he was trying to catch Barb's affair with Jill, he realises Chucky is alive, but before he can do anything he is killed with a hatchet, she breaks out from her restraints and detaches Chucky's head with the hatchet, but he is still alive and reattaches his head, pushing Nica over the balcony she falls to the ground floor. She asks Chucky why he is doing this, through flashbacks Chucky explains that a long time ago he was a friend of the family and in love with Sarah, while she was heavily pregnant he kidnapped her and killed Nica's father, Sarah betrayed Chucky and called the police, he stabbed her in stomach, meaning baby Nica was born paraplegic, the run from the police led to his death as a human, setting off the events that have happened since, Chucky came back to Sarah for revenge. Nica and Chucky have a scuffle after she taunts him and he tries to finish killing her, the power is restored and a police officer soon arrives at the house, he sees Barb's body upstairs and Nica holding a bloody knife, Chucky remains still, she is seen on trial, found of guilty of the murders, and sent to an insane asylum, Chucky is there as an exhibit in the case, he taunts him again. Chucky is taken in a plastic bag by the arresting officer to be delivered to an unknown person, it is Tiffany (Jennifer Tilly), who slits his throat, she is the one who mails Chucky to his next victim, Alice, who is some time later living with her grandmother, he persuades her to play the game ""Hide the Soul"", chanting to try and transfer his soul into her body, and at that moment the grandmother appears with a plastic bag over her head, Chucky tried to asphyxiate her. The last scene, after the credits have rolled, sees adult Andy Barclay (Child Play's Alex Vincent) receiving a package delivery, he turns his head to answer the phone to his mother, Chucky cuts his way out of the package with a knife, but Andy anticipated his arrival, he holds a shotgun and says ""Play with this"", before pulling the trigger. Bride of... and Seed of... brought to the series a fun horror spoof aspect, this one returns to the series routes, being eerie, with Dourif still remaining the great nasty possessed toy with the one-liners, and the bloody deaths are still inventive, it is a surprisingly satisfactory horror film. Good!",Curse of Chucky
7,BA_Harrison,A change in style for Chucky.,8,9 April 2014,"I reckon I enjoyed the previous Child's Play movie, Seed of Chucky, more than most, largely thanks to the completely bats**t bonkers approach, and I would loved to have seen the series continue in this vein; however, those behind the franchise clearly felt that a change was in order, because Curse of Chucky, the latest in the series, sees a return to basics, the film going for suspense and scares rather than outrageous OTT silliness.In some ways, this entry works as something of a reboot for the franchise, at least in terms of style. Not only is this one far more sober in tone than the last couple of movies, but it is also much nastier in terms of realistic violence, with some truly gut-churning scenes of gore. While I still would have loved to have seen another seriously nutso Chucky movie, as a gorehound, I couldn't help but appreciate this film's vicious streak. A juicy severed head gag, a barf-worthy knife-in-the-eye, and a really nauseating axe blow to the jaw are the film's sickening highlights.Curse of Chucky also benefits from a neat unexpected twist involving an adulterous affair, a convincing performance from first-time child actress Summer H. Howell, a memorable turn from grown-up actress Maitland McConnell (hubba, hubba!), and the welcome return of a familiar face in the film's closing moments.7.5 out of 10, rounded up to 8 for the excellent splatter.",Curse of Chucky
8,paul_haakonsen,"Entertaining, but nothing jaw-dropping or mind-blowing to be had here...",5,8 October 2013,"Honestly, then I had no clue that they made another Chucky movie, and it wasn't really something that particularly spawned any sense of excitement in me when I stumbled upon the movie by sheer luck.""Curse of Chucky"" is a good enough movie in itself, however, it isn't a movie that will revolutionize the Chucky franchise, and at the same time it is not a movie that really left a lasting mark. Is it a movie that the franchise would have been any less interesting if they hadn't made this? No.The story is about a family receiving a Good Guy doll in the mail, from an unlisted sender. People start to die and blood runs red in the old house as the doll comes to life and starts slashing left and right.This movie didn't really bring all that much to the franchise. However, and this was actually the best part of the movie; you are introduced to the story of Charles Ray prior to what happened in the first movie.The deaths in the movie were something that you would expect from the previous movies, and they just didn't stand out or impress in any way. The effects were alright, but the death scenes were, well in lack of better words, mundane.The acting in the movie was quite alright, as it was with the prior movies as well. Nothing extraordinary, but people did good enough jobs with their given roles and characters. Brad Dourif does a great job with his voice acting, and his iconic voice is the true voice of Chucky.One of the better parts of the movie was towards the ending, because there is a nice cameo appearance here.",Curse of Chucky
9,Coventry,No more Mr. Slapstick Doll,6,29 October 2013,"Depending how you liked the previous installments in the ""Child's Play"" (Chucky) franchise, you will either consider it one of the best  or one of the worst of the series. Personally, I found ""Curse of Chucky"" the second best out of six movies. That still doesn't mean it's a great horror movie, but most definitely a step up the ladder for Don Mancini & Company and an enjoyable flick. Back in 1988, the original ""Child's Play"" was a reasonably creepy flick and it deservedly gained a modest classic status. Parts two and three were prototypic sequels, meaning more of the same in order generate quick cash. Ten years after the original, some enlightened spirits decided it would be a great idea to turn the franchise into slapstick with ""Bride of Chucky"". It was a Hollywood choice, you either love or hate hit. The series hit absolute rock-bottom in 2004 with ""Seed of Chucky"", a completely unendurable stinker with a lousy film-within-film structure and tasteless humor. Strangely enough, it was Don Mancini himself who ridiculed his own creation, but now – and again nearly a decade later – he corrects his mistake with the more traditional and old-fashioned ""Curse of Chucky"".For nearly the entire movie, the script pretends that the previous two movies never existed. Serial killer Charles Lee Ray's persona is trapped in the ginger Good Guys doll named Chucky and he arrives, in a parcel, at the doorstep of the wheelchair-bound Nica and her mother. The next morning, Nica finds her mother dead in a pool of blood and Chucky inexplicably pops up at various places around the house. While Nica's family gathers together, and her young niece Alice falls in love with the Chucky doll, we slowly discover Charles Lee Ray's connection to these people and his diabolical plan to return in human shape. ""Curse of Chucky"" is never really innovative or even surprising, but that doesn't matter because it's efficient. In spite of being a straight-to-video production, it's much more suspenseful and atmospheric than any of its predecessors. Chucky spits out a lot less comical monologues (but more often reverts to this classic Good Guys quotes like ""I like to be hugged"" and ""I'll be your friend till the end"") and the murders are more brutal and horrific than before. The script is quite incoherent near the end, but it was definitely courageous and satisfying (for the fans of the very first film) to clear up a few enigmas around Charles Lee Ray's persona. And plus, it was the ideal occasion to bring Brad Dourif back on the screen entirely rather than just his voice. Moreover, the film also stars his talented and ravishing daughter Fiona in one of her first lead roles. Chucky is a horror symbol again, so even if imperfect, I recommend this flick!",Curse of Chucky
