,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Silly thriller,4,26 July 2014,"THE GLASS HOUSE is another over-plotted, overwritten and entirely overblown Hollywood thriller that goes over age-old ground without ever finding its own original standing. It's a sanitised, teen-friendly movie with a teen lead and a narrative that hints at plenty but never once approaches anything remotely dark.The story goes that the youthful protagonist (played by the utterly cold Leelee Sobieski) and her younger brother are sent to live with some family friends after they're orphaned in a car accident. The girl soon realises that something's seriously wrong in their new home, a sinister situation embodied by an overacting Stellan Skarsgard (a guy who seems to be typecast as the bad guy in Hollywood).That's a halfway decent premise, but THE GLASS HOUSE wastes its potential as it goes on, ending up mired in a muddled middle and uninspiring climax. You can literally work out everything that's going to happen in the first half hour, and there are no surprises or genuine shocks. There's no decent acting, either; bringing in Bruce Dern as the family lawyer doesn't do much, while Daniel Sackheim's direction is staid and uninspiring. It's best to give this one a miss.",The Glass House
1,SnoopyStyle,Leelee too calm for scary movie,5,10 November 2013,"Ruby Baker (Leelee Sobieski) is orphaned when her parents die in a car crash. She and her brother moves in with family friends Terry (Stellan Skarsgård) and Erin Glass (Diane Lane). When she starts wondering about their substantial trust fund, the Glasses turn on them.Leelee Sobieski is too damn calm. That's a big no no in a horror movie if she wants to be the frightened little girl. There is some great potential for super creepiness. Stellan Skarsgård is able to project that creepy old guy. But it never elevates to the level of a scary movie. It ends up being a weak scare and perfunctory action. And the start seems to have been negated by the move. The whole thing seems simplified and shallow.",The Glass House
2,kosmasp,Get out,5,4 June 2021,"The house that is - but if you've seen just one other thriller ... ok maybe a couple. And while I usually am more forgiving and leniant ... that's what others tell me ... well in this case, it is just too much. The way the characters act and react ... suspension of disbelief, I know. I just couldn't .. there is just too much of it.Good actors are involved in this, but even they can't save it really. Predictable to say the least ... I was curious to see the sequel, though I don't know if they are related to each other - no pun intended ... but I might just skip that for now. We'll see ...",The Glass House
3,lee_eisenberg,Glass-ical film or not?,6,27 June 2006,"The seemingly-good-people-turn-out-to-be-something-else plot has been used so many times that another one hardly registers. Don't get me wrong. ""The Glass House"" isn't a bad movie by any stretch, but the plot seems pretty routine. Still, the movie itself manages to be pretty intense, building things up in such a way that usually only would happen in an Ira Levin novel. As it is, you just may never trust anyone again after watching this movie.So, all in all, it's an OK movie. But I do usually expect just a little bit better from Leelee Sobieski, Diane Lane, Stellan Skarsgard and Bruce Dern.So should people in glass houses throw stones?",The Glass House
4,rmax304823,Teen-aged Orphan Girl in Jeopardy.,2,16 December 2009,"An egregious piece of commercial trash, uninspired and soulless.Leelee Sobieski is a 16-year-old whose wealthy parents were just killed in a traffic ""accident."" She and her younger brother are handed over to the only guardians available -- Stellan Skarsgard and his wife Diane Lane. But mischief is afoot. The guardians owe an enormous amount of money to the mob and intend to cheat Sobieksi and her brother out of the four million bucks in the trust fund. They'll kill the kids if necessary. After all, it turns out, they engineered the parents' car so as to disable it, disposing of the parents and leaving the two kids as helpless orphans. Something like that.Leelee Sobieski, I kind of like. Her acting talents may be modest but at least they exist. And her features are memorable -- those plump cheeks, that tiny mouth whose upper lip is chevron shaped, and those startling blue Tartar eyes. She reminds me of Dee Dee Myers, the former adviser to President Clinton. Dee Dee, Leelee. Might they not be one and the same person? True, I am nervous. Very, very nervous, but why WILL you call me mad? Let me put it this way. Have you ever seen the two of them in the same room at the same time? I thought not. Stellan Skarsgard is always dependable, and sometimes more than that. The other performers fade into the woodwork.It's the plot that sinks this attempt at a chiller. There isn't a single instant that doesn't make a viewer feel that, somewhere, some time, he's seen this before. (And he has.) It incorporates every cliché in the formula.I'll give just one example. Skarsgard is making a private, incriminating phone call late at night in his Malibu mansion. Sobieski is downstairs in the kitchen. She picks up the second phone and pushes ""Listen."" She accidentally makes a slight noise. Skarsgard hears it and begins to creep suspiciously toward the kitchen, but Sobieski doesn't know he's heard. Closer and closer. Cross-cutting between the scowling Skarsgard with the phone to his ear and the unsuspecting wide-eyed Sobieski behind the kitchen door. Skarsgard reaches the door. Sobieski yanks her head around. Skarsgard flings the door open. No Sobieski. She's darted away just in time.This sort of thing goes on and on. In the climactic auto chase, Skarsgard rams through a wall and his Jaguar rolls down a cliff and smashes to pieces.I glanced gratefully heavenward -- at least they'd managed to avoid the ritual of the corpse leaping back to life. But, no. While Sobieski and her brother sit alone in their silent car on the highway, the shockingly bloodied Skarsgard staggers through the hole in the wall with the intent of killing the two children. You know what I want to be when I grow up? One of the heavies in a horror movie. They never die. They take a beating but keep on ticking.If you've never seen a movie before -- if you've never HEARD of movies -- you'll probably find this one engaging.",The Glass House
5,BA_Harrison,Sobieski just about makes it worthwhile...,5,27 August 2013,"As much as I like me some Sobieski, especially when wearing a bikini as she does here, I cannot recommend The Glass House as anything other than a mildly entertaining yet instantly forgettable piece of trash; it certainly doesn't work as a taut psychological thriller as intended, the far-fetched nature of the scenario draining any tension from proceedings.Lovely Leelee plays Ruby, the oldest of two siblings who go to live with new guardians, Terry and Erin Glass (Stellan Skarsgård and Diane Lane), after their parents die in a car crash. As time passes, Ruby begins to suspect that her parents' wreck was not an accident, but that they were actually murdered by Terry in order to get his hands on the children's $4m trust fund.A hackneyed plot loaded with implausible situations and predictable outcomes ensures that The Glass House never achieves the edge-of-the-seat atmosphere it aims for. As the film approaches its final act, the level of preposterousness goes off the chart, Terry becoming an indestructible killing machine who survives certain death to return for one more attempt at killing meddling teenager Ruby.Still, Sobieski does look mighty fine in that swimsuit...",The Glass House
6,moonspinner55,"Ridiculous, illogical, overwrought",4,27 January 2006,"Teen melodrama posing as a thriller has mopey 16-year-old girl (Leelee Sobieski, taking 'sullen' to a new plateau) and her pre-teen brother suddenly orphaned when their parents are mysteriously killed in a car wreck; wealthy friends of the family take the kids in, but Sobieski immediately smells a rat in the ritzy woodwork and starts playing sleuth. On a non-think level, the film is watchable, maybe even dopey fun (it's certainly well-cast, although I don't know what the hell Diane Lane is doing playing second fiddle to Leelee Sobieski). However, the plot threads completely unravel in the final stretch, leading to a series of events which are so outlandish, they'd be a real hoot if the picture didn't take itself so seriously. Sobieski, looking like Helen Hunt's little sister (but with the same impenetrable expression throughout), gets stuck portraying an inconsistently-developed character, but she does have her moments (particularly in a well-written dinner scene with Stellan Skarsgård). Daniel Sackheim's heavy-handed direction forces the overripe style of the piece, while poor Bruce Dern (as the family lawyer, who keeps switching sides) and Kathy Baker (as an agent with Child Protective Services, so easily bamboozled she makes all such agents look bad) come off looking like incompetents. ""The Glass House"" had a fair amount of promise which goes sadly unrealized. Followed by a video sequel in 2006. *1/2 from ****",The Glass House
7,Quinoa1984,"Knew the plot from the start, with or without the trailer's help",4,14 September 2001,"The Glass House, a new suspense thriller from the guy who brought you the drek known as I Know What You Did Last Summer, Urban Legend, Soul Survivors, what have you.  Anyway, it is so routine with the shots, performances and even in just the design alone that if the actors were playing themselves they'd probably get impatient and I'd be outta the theater in 15 minutes.Well, if you wanna know the plot, here goes.  A teen girl (like the sound of that, especially with Sobieski in the role) and her kid brother have a sadness in they're life when they're parents die in a car accident.  The new guardians, old friends the Glasses (Skarsgard and Lane) who take them into they're home, however not everything is as it seems, and, well you know how the number goes.  Hardly even worth the rental when it comes out on video, only miniscule perks are seeing Sobieski, and Lane acting like a Junkie. D+",The Glass House
8,michaelRokeefe,It is not easy to hide in a house of glass.,5,31 December 2002,"This thriller has the chances of being a real chiller...but falls apart. The script leaves a lot to be desired in a story that has too many holes in it. Two orphaned kids(Leelee Sobieski and Trevor Morgan) go to live with a wealthy couple(Stellan Skarsgard and Diane Lane) who are not as benevolent as they seem. The couple is cash strapped and intend to swindle the youngsters out of their inheritance. Some pretty wicked behavior keeps interest alive. Sobieski and Lane do their best with the characters they have to work with, but both barely unleash their talent. Sobieski's sexpot appearance is wasted. Also in the cast are Bruce Dern, Chris Noth, Kathy Baker and Michael O'Keefe.",The Glass House
9,Theo Robertson,Kill That Glass Scumbag,5,15 December 2003,"If THE GLASS HOUSE had concentrated on the angst of Ruby Baker a sixteen year old girl orphaned in a car crash this might have been a better film , but the themes of parental loss and being an outsider aren`t as intensively explored as they could have been , instead we`re treated to a ludicurous thriller that feels extremely retro and would have possibly worked better if it was produced ten years earlier when "" The person from hell "" type movies were all the rage . Having said that THE GLASS HOUSE  wasn`t the worst movie I`d seen all week and it would have a poorer movie if it wasn`t for Stellan Skarsgard as scumbag Terry Glass . It would have been easy for Skarsgard to overplay his role but he gives a subdued performance which is very effective",The Glass House
